study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,pb214_activity,pb214_activity_se,pb214_unit,delta_c13
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,85,90,0.77,0.0144,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.58
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,90,95,0.73,0.017,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.1
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,single set of methods,95,100,1.14,0.011899999999999999,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.58
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,0,5,0.43,0.0528,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.14
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,5,10,0.63,0.0323,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.24
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,10,15,0.67,0.0275,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.15
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,15,20,0.51,0.0318,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.26
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,20,25,0.79,0.0191,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.84
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,25,30,0.66,0.0199,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.87
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,30,35,0.89,0.0187,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.66
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,35,40,0.73,0.0197,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.85
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,40,45,0.85,0.015700000000000002,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,NA
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,45,50,0.82,0.0183,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.82
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,50,55.00000000000001,0.79,0.0158,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.49
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,55.00000000000001,60,0.87,0.018600000000000002,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.82
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,60,65,1,0.013500000000000002,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.73
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,65,70,0.85,0.0139,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.71
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,70,75,0.9,0.013000000000000001,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.08
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,75,80,0.87,0.0105,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.58
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,80,85,1.04,0.0105,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.74
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,85,90,0.88,0.0098,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.62
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,90,95,1.16,0.0087,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.76
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,single set of methods,95,100,0.96,0.0109,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.84
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,0,5,0.35,0.029900000000000003,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.06
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,5,10,0.61,0.0315,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.99
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,10,15,0.74,0.029900000000000003,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.72
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,15,20,0.69,0.0319,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.18
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,20,25,0.76,0.0331,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.23
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,25,30,0.69,0.032,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.33
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,30,35,0.71,0.0433,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.41
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,35,40,0.62,0.0516,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-29.06
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,40,45,0.51,0.064,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-29.25
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,45,50,0.56,0.057300000000000004,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.88
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,50,55.00000000000001,0.65,0.0527,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.66
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,55.00000000000001,60,0.57,0.0438,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.35
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,60,65,0.72,0.037599999999999995,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.29
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,65,70,0.57,0.0438,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.93
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,70,75,0.62,0.0305,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.25
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,75,80,0.71,0.0277,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.01
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,80,85,0.74,0.0179,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.57
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,85,90,0.83,0.0152,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.29
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,90,95,0.76,0.0148,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.76
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,single set of methods,95,100,0.8,0.015,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.94
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,0,5,0.35,0.029900000000000003,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.06
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,5,10,0.61,0.0315,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.99
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,10,15,0.74,0.029900000000000003,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.72
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,15,20,0.69,0.0319,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.18
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,20,25,0.76,0.0331,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.23
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,25,30,0.69,0.032,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.33
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,30,35,0.71,0.0433,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.41
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,35,40,0.62,0.0516,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-29.06
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,40,45,0.51,0.064,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-29.25
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,45,50,0.56,0.057300000000000004,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.88
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,50,55.00000000000001,0.65,0.0527,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.66
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,55.00000000000001,60,0.57,0.0438,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.35
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,60,65,0.72,0.037599999999999995,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.29
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,65,70,0.57,0.0438,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.93
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,70,75,0.62,0.0305,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.25
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,75,80,0.71,0.0277,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.01
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,80,85,0.74,0.0179,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.57
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,85,90,0.83,0.0152,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.29
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,90,95,0.76,0.0148,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.76
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,single set of methods,95,100,0.8,0.015,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.94
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,0,5,0.32,0.0369,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.81
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,5,10,0.54,0.0382,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.97
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,10,15,0.6,0.0393,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.11
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,15,20,0.72,0.0296,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.41
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,20,25,0.71,0.0248,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.35
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,25,30,0.79,0.0212,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-23.86
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,30,35,0.87,0.0174,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.5
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,35,40,0.63,0.0169,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.38
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,40,45,0.79,0.0231,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.4
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,45,50,0.52,0.0231,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.92
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,50,55.00000000000001,0.53,0.0206,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.36
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,55.00000000000001,60,0.88,0.016200000000000003,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.7
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,60,65,0.84,0.015700000000000002,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.95
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,65,70,0.68,0.024300000000000002,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.89
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,70,75,0.83,0.0173,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.85
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,75,80,0.64,0.0235,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.26
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,80,85,0.74,0.022799999999999997,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.23
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,85,90,0.75,0.018600000000000002,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-26.82
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,90,95,0.78,0.0203,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.17
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,single set of methods,95,100,0.78,0.0235,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.2
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,0,5,0.44,0.0455,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.6
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,5,10,0.81,0.0432,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.47
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,10,15,1.16,0.035,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.3
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,15,20,1.09,0.0355,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.25
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,20,25,0.76,0.0535,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.39
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,25,30,0.76,0.1121,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.43
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,30,35,0.68,0.0929,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.14
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,35,40,0.85,0.07139999999999999,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.25
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,40,45,0.83,0.0889,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.57
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,45,50,0.63,0.12300000000000001,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.57
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,50,55.00000000000001,0.61,0.126,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.25
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,55.00000000000001,60,0.65,0.0817,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.38
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,60,65,0.76,0.0935,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.45
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,65,70,0.63,0.0874,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.38
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,70,75,0.8,0.069,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.08
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,75,80,0.8,0.0706,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.04
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,80,85,0.76,0.08810000000000001,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.3
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,85,90,0.86,0.0417,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-25.81
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,90,95,1.14,0.0342,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.42
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E16,single set of methods,95,100,1.26,0.0273,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.26
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E44,single set of methods,0,5,0.6,0.042800000000000005,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.13
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E44,single set of methods,5,10,0.53,0.060899999999999996,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.1
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E44,single set of methods,10,15,0.62,0.0547,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.26
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E44,single set of methods,15,20,0.54,0.08789999999999999,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.2
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E44,single set of methods,20,25,0.56,0.09029999999999999,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-28.1
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E44,single set of methods,25,30,0.6,0.0955,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.92
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E44,single set of methods,30,35,0.51,0.1032,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.84
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E44,single set of methods,35,40,0.44,0.15,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.9
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E44,single set of methods,40,45,0.58,0.1157,NA,NA,becquerelsPerKilogram,NA,NA,NA,NA,becquerelsPerKilogram,NA,NA,becquerelsPerKilogram,-27.62
