BlueCarbonID,CMA,Location,Park,NearbyPark,North,East,Site,Habitat,Replicate,Depth_cm,Dry_weight_g,Height_cm,Volume_cm3,DBD_g_cm3,TC_mg_g,OC_mg_g,IC_mg_g,TN_mg_g,Percent_C,mg_Corg_cm3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1018,EG,DOU,Croajingolong National Park,,-37.525917,149.697050,2,SM,2,28_30,55.06,2,39.27,1.40,11.34,14.27,,1.15,1.43,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1019,EG,DOU,Croajingolong National Park,,-37.526000,149.696567,3,SM,3,0_2,8.17,2,39.27,0.21,193.40,194.91,,12.51,19.49,40.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1020,EG,DOU,Croajingolong National Park,,-37.526000,149.696567,3,SM,3,14_16,22.67,2,39.27,0.58,57.94,61.49,,4.45,6.15,35.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1021,EG,DOU,Croajingolong National Park,,-37.526000,149.696567,3,SM,3,28_30,50.52,2,39.27,1.29,4.66,5.13,,0.51,0.51,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1022,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.697250,146.245733,1,SG,1,0_2,55.28,2,39.27,1.41,5.44,4.12,1.40,0.27,0.41,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1023,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.697250,146.245733,1,SG,1,14_16,62.87,2,39.27,1.60,9.42,3.50,6.67,0.22,0.35,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1024,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.697250,146.245733,1,SG,1,28_30,63.17,2,39.27,1.61,11.30,3.87,8.22,0.22,0.39,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1025,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.697167,146.244583,2,SG,2,0_2,57.43,2,39.27,1.46,2.65,3.06,,0.27,0.31,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1026,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.697167,146.244583,2,SG,2,14_16,60.28,2,39.27,1.54,1.93,2.65,,0.25,0.27,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1027,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.697167,146.244583,2,SG,2,28_30,62.28,2,39.27,1.59,4.08,4.26,,0.33,0.43,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1028,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.696817,146.243150,3,SG,3,0_2,40.59,2,39.27,1.03,4.42,4.99,,0.44,0.50,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1029,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.696817,146.243150,3,SG,3,14_16,62.60,2,39.27,1.59,3.89,1.63,2.00,0.14,0.16,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1030,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.696817,146.243150,3,SG,3,28_30,54.25,2,39.27,1.38,3.55,3.56,,0.29,0.36,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1031,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.694367,146.243817,5,MG,2,0_2,21.88,2,39.27,0.56,40.75,38.94,,3.17,3.89,21.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1032,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.694367,146.243817,5,MG,2,14_16,53.69,2,39.27,1.37,6.89,7.48,,0.54,0.75,10.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1033,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.694367,146.243817,5,MG,2,28_30,57.66,2,39.27,1.47,5.97,5.91,,0.38,0.59,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1034,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.693917,146.243433,6,MG,3,0_2,32.57,2,39.27,0.83,23.32,22.39,,1.82,2.24,18.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1035,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.693917,146.243433,6,MG,3,14_16,52.76,2,39.27,1.34,5.97,6.04,,0.46,0.60,8.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1036,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.693917,146.243433,6,MG,3,28_30,49.80,2,39.27,1.27,3.52,3.82,,0.30,0.38,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1197,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.694900,146.243733,4,MG,1,28_30,65.93,2,39.27,1.68,5.11,4.82,,0.32,0.48,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1198,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.693650,146.243600,7,SM,1,0_2,25.67,2,39.27,0.65,22.21,23.04,,1.82,2.30,15.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1199,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.693650,146.243600,7,SM,1,14_16,54.83,2,39.27,1.40,5.51,5.49,,0.40,0.55,7.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1200,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.693650,146.243600,7,SM,1,28_30,67.94,2,39.27,1.73,2.77,3.80,,0.29,0.38,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1201,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.694133,146.243950,8,SM,2,14_16,45.97,2,39.27,1.17,19.30,19.52,,1.24,1.95,22.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1202,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.694467,146.244083,9,SM,3,0_2,45.01,2,39.27,1.15,13.04,13.18,,0.99,1.32,15.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1203,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.694467,146.244083,9,SM,3,14_16,55.81,2,39.27,1.42,3.39,4.36,,0.37,0.44,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1204,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.694467,146.244083,9,SM,3,28_30,43.09,2,39.27,1.10,2.69,3.29,,0.26,0.33,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1921,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.694133,146.243950,8,SM,2,0_2,19.51,2,39.27,0.50,59.74,65.08,,4.74,6.51,32.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1922,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.694133,146.243950,8,SM,2,28_30,62.49,2,39.27,1.59,3.54,4.42,,0.38,0.44,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1927,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.694900,146.243733,4,MG,1,0_2,53.74,2,39.27,1.37,3.88,3.87,,0.34,0.39,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1928,WG,FOS,Corner Inlet Marine and Coastal Park,,-38.694900,146.243733,4,MG,1,14_16,58.24,2,39.27,1.48,7.21,7.68,,0.50,0.77,11.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1327,C,GEE,,,-38.135600,144.355917,3,SG,3,0_2,30.65,2,39.27,0.78,46.70,20.45,23.63,1.93,2.04,15.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1328,C,GEE,,,-38.135600,144.355917,3,SG,3,14_16,47.92,2,39.27,1.22,24.77,6.54,16.60,0.55,0.65,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1329,C,GEE,,,-38.135600,144.355917,3,SG,3,28_30,40.33,2,39.27,1.03,27.07,5.35,20.21,0.41,0.53,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1336,C,GEE,,,-38.136617,144.356200,1,SG,1,0_2,52.11,2,39.27,1.33,30.74,17.03,10.51,1.00,1.70,22.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1337,C,GEE,,,-38.136617,144.356200,1,SG,1,14_16,55.86,2,39.27,1.42,34.17,16.76,11.97,0.50,1.68,23.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1338,C,GEE,,,-38.136617,144.356200,1,SG,1,28_30,59.41,2,39.27,1.51,35.28,14.70,13.77,0.45,1.47,22.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1482,C,GEE,,,-38.136933,144.356350,2,SG,2,0_2,24.29,2,39.27,0.62,60.92,44.04,17.08,4.60,4.40,27.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1483,C,GEE,,,-38.136933,144.356350,2,SG,2,14_16,51.31,2,39.27,1.31,24.11,9.12,10.80,0.73,0.91,11.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1484,C,GEE,,,-38.136933,144.356350,2,SG,2,28_30,65.75,2,39.27,1.67,3.41,0.10,8.50,0.11,0.01,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1389,PPW,HAS,,French Island MNP,-38.317900,145.195717,2,SM,2,0_2,8.28,2,39.27,0.21,232.99,246.20,,18.28,24.62,51.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1390,PPW,HAS,,French Island MNP,-38.317900,145.195717,2,SM,2,14_16,29.06,2,39.27,0.74,48.08,56.89,,5.57,5.69,42.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1391,PPW,HAS,,French Island MNP,-38.317900,145.195717,2,SM,2,28_30,35.52,2,39.27,0.90,20.40,18.84,,2.32,1.88,17.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1521,PPW,HAS,,French Island MNP,-38.317533,145.195100,1,SM,1,0_2,8.33,2,39.27,0.21,268.01,277.86,,18.42,27.79,58.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1522,PPW,HAS,,French Island MNP,-38.317533,145.195100,1,SM,1,14_16,22.24,2,39.27,0.57,103.60,113.51,,9.19,11.35,64.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1523,PPW,HAS,,French Island MNP,-38.317533,145.195100,1,SM,1,28_30,39.12,2,39.27,1.00,13.26,13.02,,1.65,1.30,12.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1524,PPW,HAS,,French Island MNP,-38.318383,145.196150,3,SM,3,0_2,8.79,2,39.27,0.22,175.17,183.39,,13.35,18.34,41.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1525,PPW,HAS,,French Island MNP,-38.318383,145.196150,3,SM,3,14_16,13.20,2,39.27,0.34,117.08,129.73,,11.00,12.97,43.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1526,PPW,HAS,,French Island MNP,-38.318383,145.196150,3,SM,3,28_30,25.76,2,39.27,0.66,35.84,33.93,,3.14,3.39,22.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1560,PPW,HAS,,French Island MNP,-38.317433,145.196033,6,MG,3,0_2,18.12,2,39.27,0.46,57.20,60.99,,4.38,6.10,28.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1561,PPW,HAS,,French Island MNP,-38.317433,145.196033,6,MG,3,14_16,17.72,2,39.27,0.45,64.01,70.16,,4.42,7.02,31.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1562,PPW,HAS,,French Island MNP,-38.317433,145.196033,6,MG,3,28_30,15.23,2,39.27,0.39,82.91,76.47,,4.00,7.65,29.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1655,PPW,HAS,,French Island MNP,-38.318200,145.196517,4,MG,1,0_2,26.33,2,39.27,0.67,36.37,40.28,,3.51,4.03,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1656,PPW,HAS,,French Island MNP,-38.318200,145.196517,4,MG,1,14_16,9.53,2,39.27,0.24,100.92,105.09,,7.28,10.51,25.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1657,PPW,HAS,,French Island MNP,-38.318200,145.196517,4,MG,1,28_30,17.47,2,39.27,0.44,61.10,64.00,,4.19,6.40,28.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1658,PPW,HAS,,French Island MNP,-38.317900,145.196250,5,MG,2,0_2,23.21,2,39.27,0.59,30.99,33.60,,3.15,3.36,19.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1659,PPW,HAS,,French Island MNP,-38.317900,145.196250,5,MG,2,14_16,14.96,2,39.27,0.38,59.00,63.72,,5.29,6.37,24.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1660,PPW,HAS,,French Island MNP,-38.317900,145.196250,5,MG,2,28_30,18.77,2,39.27,0.48,148.18,160.45,,8.00,16.05,76.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1433,C,HOS,Lake Connewarre Wildlife Reserve,,-38.241233,144.420900,1,SM,1,0_2,7.76,2,39.27,0.20,224.82,233.77,,14.97,23.38,46.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1434,C,HOS,Lake Connewarre Wildlife Reserve,,-38.241233,144.420900,1,SM,1,14_16,59.24,2,39.27,1.51,6.68,6.92,,0.55,0.69,10.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1435,C,HOS,Lake Connewarre Wildlife Reserve,,-38.241233,144.420900,1,SM,1,28_30,61.47,2,39.27,1.57,40.74,0.30,54.78,0.14,0.03,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1566,C,HOS,Lake Connewarre Wildlife Reserve,,-38.240783,144.421083,2,SM,2,0_2,8.07,2,39.27,0.21,258.70,273.77,,16.71,27.38,56.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1567,C,HOS,Lake Connewarre Wildlife Reserve,,-38.240783,144.421083,2,SM,2,14_16,66.27,2,39.27,1.69,7.95,8.64,,0.76,0.86,14.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1568,C,HOS,Lake Connewarre Wildlife Reserve,,-38.240783,144.421083,2,SM,2,28_30,48.25,2,39.27,1.23,30.99,2.87,35.58,0.55,0.29,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1695,C,HOS,Lake Connewarre Wildlife Reserve,,-38.240350,144.421217,3,SM,3,0_2,5.50,2,39.27,0.14,254.53,269.95,,16.23,26.99,37.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1696,C,HOS,Lake Connewarre Wildlife Reserve,,-38.240350,144.421217,3,SM,3,14_16,34.72,2,39.27,0.88,24.11,22.28,,2.46,2.23,19.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1697,C,HOS,Lake Connewarre Wildlife Reserve,,-38.240350,144.421217,3,SM,3,28_30,50.55,2,39.27,1.29,37.47,1.85,43.07,0.30,0.19,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1368,C,IND,Salt Lagoon State Nature Reserve,,-38.161167,144.714300,1,SM,1,0_2,15.19,2,39.27,0.39,181.42,131.60,48.41,11.31,13.16,50.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1369,C,IND,Salt Lagoon State Nature Reserve,,-38.161167,144.714300,1,SM,1,14_16,52.67,2,39.27,1.34,4.37,4.54,,0.58,0.45,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1370,C,IND,Salt Lagoon State Nature Reserve,,-38.161167,144.714300,1,SM,1,28_30,55.12,2,39.27,1.40,12.46,2.19,8.74,0.25,0.22,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1512,C,IND,Salt Lagoon State Nature Reserve,,-38.160283,144.715000,3,SM,3,0_2,19.52,2,39.27,0.50,167.23,88.22,66.33,7.99,8.82,43.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1513,C,IND,Salt Lagoon State Nature Reserve,,-38.160283,144.715000,3,SM,3,14_16,82.69,2,39.27,2.11,13.38,2.16,15.00,0.74,0.22,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1514,C,IND,Salt Lagoon State Nature Reserve,,-38.160283,144.715000,3,SM,3,28_30,80.48,2,39.27,2.05,37.96,0.40,41.79,0.19,0.04,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1614,C,IND,Salt Lagoon State Nature Reserve,,-38.161983,144.713817,2,SM,2,0_2,9.54,2,39.27,0.24,228.88,223.98,37.04,16.66,22.40,54.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1615,C,IND,Salt Lagoon State Nature Reserve,,-38.161983,144.713817,2,SM,2,14_16,60.71,2,39.27,1.55,25.59,6.13,15.80,0.76,0.61,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1616,C,IND,Salt Lagoon State Nature Reserve,,-38.161983,144.713817,2,SM,2,28_30,53.10,2,39.27,1.35,19.09,1.37,30.69,0.49,0.14,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1572,PPW,JAW,Jawbone MS,,-37.867250,144.878167,7,SG,1,0_2,43.95,2,39.27,1.12,4.75,3.69,0.84,0.36,0.37,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1573,PPW,JAW,Jawbone MS,,-37.867250,144.878167,7,SG,1,14_16,55.26,2,39.27,1.41,8.78,3.53,3.79,0.26,0.35,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1574,PPW,JAW,Jawbone MS,,-37.867250,144.878167,7,SG,1,28_30,54.23,2,39.27,1.38,42.74,4.44,30.91,0.50,0.44,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1593,PPW,JAW,Jawbone MS,,-37.867217,144.878017,8,SG,2,0_2,49.73,2,39.27,1.27,8.11,6.52,1.68,0.63,0.65,8.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1594,PPW,JAW,Jawbone MS,,-37.867217,144.878017,8,SG,2,14_16,47.38,2,39.27,1.21,26.78,4.29,13.88,0.25,0.43,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1595,PPW,JAW,Jawbone MS,,-37.867217,144.878017,8,SG,2,28_30,58.04,2,39.27,1.48,41.76,3.43,29.31,0.35,0.34,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1752,PPW,JAW,Jawbone MS,,-37.867117,144.878450,4,MG,1,0_2,22.28,2,39.27,0.57,100.01,101.31,,6.88,10.13,57.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1753,PPW,JAW,Jawbone MS,,-37.867117,144.878450,4,MG,1,14_16,51.84,2,39.27,1.32,9.74,8.25,,0.54,0.83,10.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1754,PPW,JAW,Jawbone MS,,-37.867117,144.878450,4,MG,1,28_30,56.15,2,39.27,1.43,8.93,7.88,,0.72,0.79,11.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1755,PPW,JAW,Jawbone MS,,-37.866300,144.878983,1,SM,1,0_2,7.00,2,39.27,0.18,196.08,201.61,,13.64,20.16,35.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1756,PPW,JAW,Jawbone MS,,-37.866300,144.878983,1,SM,1,14_16,51.91,2,39.27,1.32,9.87,9.78,,0.98,0.98,12.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1757,PPW,JAW,Jawbone MS,,-37.866300,144.878983,1,SM,1,28_30,76.78,2,39.27,1.96,0.84,1.12,,0.23,0.11,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1758,PPW,JAW,Jawbone MS,,-37.867167,144.877833,9,SG,3,0_2,43.80,2,39.27,1.12,10.06,6.21,3.56,0.71,0.62,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1759,PPW,JAW,Jawbone MS,,-37.867167,144.877833,9,SG,3,14_16,56.64,2,39.27,1.44,45.36,2.86,32.63,0.34,0.29,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1760,PPW,JAW,Jawbone MS,,-37.867167,144.877833,9,SG,3,28_30,56.58,2,39.27,1.44,59.33,2.11,49.58,0.38,0.21,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1761,PPW,JAW,Jawbone MS,,-37.866633,144.878500,3,SM,3,0_2,8.60,2,39.27,0.22,256.73,259.25,,15.53,25.92,56.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1762,PPW,JAW,Jawbone MS,,-37.866633,144.878500,3,SM,3,14_16,33.09,2,39.27,0.84,55.56,55.28,,4.47,5.53,46.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1763,PPW,JAW,Jawbone MS,,-37.866633,144.878500,3,SM,3,28_30,58.13,2,39.27,1.48,6.00,5.73,,0.54,0.57,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1764,PPW,JAW,Jawbone MS,,-37.866783,144.878050,6,MG,3,0_2,51.48,2,39.27,1.31,16.95,14.42,,1.05,1.44,18.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1765,PPW,JAW,Jawbone MS,,-37.866783,144.878050,6,MG,3,14_16,52.34,2,39.27,1.33,16.71,15.47,,0.94,1.55,20.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1766,PPW,JAW,Jawbone MS,,-37.866783,144.878050,6,MG,3,28_30,57.11,2,39.27,1.45,10.65,9.69,,0.77,0.97,14.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1767,PPW,JAW,Jawbone MS,,-37.866583,144.878917,2,SM,2,0_2,7.06,2,39.27,0.18,269.55,265.82,,16.42,26.58,47.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1768,PPW,JAW,Jawbone MS,,-37.866583,144.878917,2,SM,2,14_16,40.55,2,39.27,1.03,38.05,37.45,,3.35,3.75,38.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1769,PPW,JAW,Jawbone MS,,-37.866583,144.878917,2,SM,2,28_30,41.70,2,39.27,1.06,41.56,42.16,,3.60,4.22,44.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1770,PPW,JAW,Jawbone MS,,-37.867017,144.878367,5,MG,2,0_2,28.40,2,39.27,0.72,54.52,54.83,,3.78,5.48,39.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1771,PPW,JAW,Jawbone MS,,-37.867017,144.878367,5,MG,2,14_16,60.94,2,39.27,1.55,12.32,11.49,,0.82,1.15,17.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1772,PPW,JAW,Jawbone MS,,-37.867017,144.878367,5,MG,2,28_30,60.57,2,39.27,1.54,11.64,10.38,,0.78,1.04,16.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1037,EG,KAL,Nyerimilang Park,,-37.870617,147.939183,3,SM,3,0_2,5.86,2,39.27,0.15,199.48,205.63,,14.37,20.56,30.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1039,EG,KAL,Nyerimilang Park,,-37.870617,147.939183,3,SM,3,14_16,21.83,2,39.27,0.56,50.43,52.31,,3.77,5.23,29.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1041,EG,KAL,Nyerimilang Park,,-37.870617,147.939183,3,SM,3,28_30,12.15,2,39.27,0.31,169.90,175.27,,9.95,17.53,54.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1291,EG,KAL,Nyerimilang Park,,-37.871800,147.938983,1,SM,1,0_2,5.35,2,39.27,0.14,259.00,265.25,,17.35,26.52,36.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1292,EG,KAL,Nyerimilang Park,,-37.871800,147.938983,1,SM,1,14_16,13.04,2,39.27,0.33,102.63,109.35,,8.04,10.94,36.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1293,EG,KAL,Nyerimilang Park,,-37.871800,147.938983,1,SM,1,28_30,10.69,2,39.27,0.27,234.25,240.90,,14.10,24.09,65.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1773,EG,KAL,Nyerimilang Park,,-37.871183,147.938933,2,SM,2,0_2,6.23,2,39.27,0.16,265.15,265.19,,16.54,26.52,42.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1774,EG,KAL,Nyerimilang Park,,-37.871183,147.938933,2,SM,2,14_16,12.40,2,39.27,0.32,143.99,150.90,,9.83,15.09,47.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1775,EG,KAL,Nyerimilang Park,,-37.871183,147.938933,2,SM,2,28_30,10.43,2,39.27,0.27,201.90,209.82,,12.12,20.98,55.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1046,EG,LAE,,,-37.874400,147.987500,1,SG,1,0_2,71.38,2,39.27,1.82,9.06,3.70,6.22,0.23,0.37,6.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1047,EG,LAE,,,-37.874400,147.987500,1,SG,1,14_16,60.84,2,39.27,1.55,1.24,1.30,,0.07,0.13,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1048,EG,LAE,,,-37.874400,147.987500,1,SG,1,28_30,49.39,2,39.27,1.26,0.93,1.63,,0.12,0.16,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1205,EG,LAE,,,-37.874317,147.987533,2,SG,2,0_2,74.26,2,39.27,1.89,3.86,2.00,1.93,0.14,0.20,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1206,EG,LAE,,,-37.874317,147.987533,2,SG,2,14_16,46.43,2,39.27,1.18,1.64,1.92,0.45,0.10,0.19,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1206,EG,LAE,,,-37.874317,147.987533,2,SG,2,28_30,,2,39.27,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1454,EG,LAE,,,-37.874300,147.987517,3,SG,3,0_2,72.54,2,39.27,1.85,4.93,3.47,1.64,0.19,0.35,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1454,EG,LAE,,,-37.874300,147.987517,3,SG,3,14_16,,2,39.27,,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1454,EG,LAE,,,-37.874300,147.987517,3,SG,3,28_30,,2,39.27,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueC1043,EG,LAK,,,-37.878767,147.997717,3,SG,3,0_2,22.33,2,39.27,0.57,24.53,20.76,,1.92,2.08,11.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
