study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit
Gundersen_et_al_2024,PP,PP3,single set of methods,16,18,0.14,NA,NA,NA,NA,47.98,5.48,71.82,2.24,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP3,single set of methods,20,22,0.12,NA,NA,NA,NA,3.7,5.31,27.54,1.8,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP3,single set of methods,24,26,0.12,NA,NA,NA,NA,0,5.27,23.76,1.65,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP3,single set of methods,28,30,0.12,0.39,NA,NA,NA,0,9.25,23.71,7.78,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP4,single set of methods,0,2,0.09,0.38,NA,NA,NA,4.09,1.81,5.76,0.7,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP4,single set of methods,2,4,0.1,NA,NA,NA,NA,3.6,2.24,5.27,1.5,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP4,single set of methods,4,6,0.12,NA,NA,NA,NA,3.39,2.28,5.06,1.55,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP4,single set of methods,6,8,0.11,NA,NA,NA,NA,1.28,2.79,2.95,2.23,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP4,single set of methods,8,10,0.11,0.41,NA,NA,NA,1.57,2.06,3.24,1.21,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP4,single set of methods,12,14,0.12,NA,NA,NA,NA,0.91,2.29,2.58,1.57,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP4,single set of methods,16,18,0.1,NA,NA,NA,NA,0.04,2.14,1.71,1.35,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP4,single set of methods,20,22,0.12,NA,NA,NA,NA,0,1.95,1.4,1.01,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP4,single set of methods,24,26,0.11,NA,NA,NA,NA,0.05,2.35,1.72,1.65,becquerelPerKilogram
Gundersen_et_al_2024,PP,PP4,single set of methods,28,30,0.12,0.45,NA,NA,NA,0,2.07,-0.13,1.24,becquerelPerKilogram
Gundersen_et_al_2024,BH,BH3,single set of methods,10,12,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH3,single set of methods,14,16,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH3,single set of methods,18,20,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH3,single set of methods,22,24,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH3,single set of methods,26,28,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH3,single set of methods,30,32,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH3,single set of methods,32,34,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH3,single set of methods,34,36,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH3,single set of methods,36,38,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH3,single set of methods,38,40,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH3,single set of methods,40,42,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH3,single set of methods,42,44,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH3,single set of methods,44,46,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH3,single set of methods,46,48,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH3,single set of methods,48,50,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,10,12,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,14,16,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,18,20,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,22,24,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,26,28,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,30,32,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,32,34,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,34,36,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,36,38,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,38,40,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,40,42,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,42,44,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,44,46,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,46,48,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH4,single set of methods,48,50,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,14,16,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,18,20,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,22,24,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,26,28,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,30,32,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,32,34,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,34,36,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,36,38,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,38,40,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,40,42,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,42,44,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,44,46,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,46,48,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN1,single set of methods,48,50,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN2,single set of methods,14,16,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN2,single set of methods,18,20,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN2,single set of methods,22,24,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN2,single set of methods,36,38,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN2,single set of methods,38,40,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN2,single set of methods,42,44,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN2,single set of methods,48,50,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,18,20,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,22,24,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,26,28,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,32,34,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,36,38,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,38,40,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,42,44,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,44,46,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN3,single set of methods,46,48,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,10,12,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,14,16,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,18,20,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,22,24,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,26,28,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,30,32,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,32,34,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,34,36,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,36,38,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,38,40,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,40,42,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,42,44,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,44,46,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,46,48,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,single set of methods,48,50,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,0,2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,2,4,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,4,6,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,6,8,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,8,10,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,10,12,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,12,14,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,14,16,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,16,18,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,18,20,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,20,22,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,22,24,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,24,26,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,26,28,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,28,30,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,30,32,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,32,34,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,34,36,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,36,38,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,38,40,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,40,42,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,42,44,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,44,46,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,46,48,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH1,single set of methods,48,50,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,10,12,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,14,16,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,18,20,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,22,24,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,26,28,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,30,32,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,32,34,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,34,36,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,36,38,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,38,40,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,40,42,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,42,44,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,44,46,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,46,48,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH2,single set of methods,48,50,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,10,12,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,14,16,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,18,20,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,22,24,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,26,28,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,30,32,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,32,34,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,34,36,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,36,38,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,38,40,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,40,42,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,42,44,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,44,46,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,46,48,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH3,single set of methods,48,50,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,2,4,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,10,12,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,14,16,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,18,20,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,22,24,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,26,28,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,30,32,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,32,34,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,34,36,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,36,38,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,38,40,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,40,42,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,42,44,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,44,46,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,46,48,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,single set of methods,48,50,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,10,12,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,14,16,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,16,18,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,18,20,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,20,22,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,22,24,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,26,28,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,30,32,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,32,34,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,34,36,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,36,38,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,38,40,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,40,42,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,42,44,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,44,46,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,46,48,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP1,single set of methods,48,50,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,10,12,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,14,16,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,18,20,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,22,24,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,26,28,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,30,32,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,32,34,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,34,36,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,36,38,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,38,40,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,40,42,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,42,44,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,44,46,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,46,48,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP2,single set of methods,48,50,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,10,12,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,14,16,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,18,20,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,22,24,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,26,28,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,30,32,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,32,34,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,34,36,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,36,38,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,38,40,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,40,42,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,42,44,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,44,46,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,46,48,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP3,single set of methods,48,50,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,10,12,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,14,16,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,18,20,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,22,24,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,26,28,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,30,32,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,32,34,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,34,36,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,36,38,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,38,40,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,40,42,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,42,44,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,44,46,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,46,48,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PP,PP4,single set of methods,48,50,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
