Source,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
Burke et al 2022,North Bull Island (North Lagoon),3,Saltmarsh,53.37209,-6.15151,direct from dataset,Ireland,2019,0.14,0.23,LOI,8.01,0.25,18,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),3,Saltmarsh,53.37209,-6.15151,direct from dataset,Ireland,2019,0.32,0.45,LOI,2.49,0.43,6,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),3,Saltmarsh,53.37209,-6.15151,direct from dataset,Ireland,2019,0.6,0.77,LOI,0.81,0.31,2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),4,Saltmarsh,53.37346,-6.1521,direct from dataset,Ireland,2019,0,0.15,LOI,4.25,0.48,10,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),4,Saltmarsh,53.37346,-6.1521,direct from dataset,Ireland,2019,0.15,0.3,LOI,0.81,0.90,2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),4,Saltmarsh,53.37346,-6.1521,direct from dataset,Ireland,2019,0.3,0.42,LOI,0.81,0.94,2,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),4,Saltmarsh,53.37346,-6.1521,direct from dataset,Ireland,2019,0.42,0.58,LOI,0.00,0.44,0,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),5,Saltmarsh,53.37309,-6.1512,direct from dataset,Ireland,2019,0,0.12,LOI,7.04,0.41,16,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),5,Saltmarsh,53.37309,-6.1512,direct from dataset,Ireland,2019,0.12,0.24,LOI,5.16,0.45,12,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),5,Saltmarsh,53.37309,-6.1512,direct from dataset,Ireland,2019,0.36,0.48,LOI,0.00,0.93,0,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),5,Saltmarsh,53.37309,-6.1512,direct from dataset,Ireland,2019,0.48,0.64,LOI,0.00,0.63,0,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),6,Saltmarsh,53.3728,-6.1505,direct from dataset,Ireland,2019,0,0.12,LOI,11.04,0.32,24,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),6,Saltmarsh,53.3728,-6.1505,direct from dataset,Ireland,2019,0.12,0.24,LOI,6.09,0.32,14,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),6,Saltmarsh,53.3728,-6.1505,direct from dataset,Ireland,2019,0.36,0.49,LOI,1.64,0.86,4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (North Lagoon),6,Saltmarsh,53.3728,-6.1505,direct from dataset,Ireland,2019,0.49,0.65,LOI,0.00,0.82,0,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),1,Saltmarsh,53.36931,-6.15542,direct from dataset,Ireland,2019,0,0.05,LOI,31.61,0.16,58,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),1,Saltmarsh,53.36931,-6.15542,direct from dataset,Ireland,2019,0.08,0.13,LOI,12.09,0.19,26,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),1,Saltmarsh,53.36931,-6.15542,direct from dataset,Ireland,2019,0.18,0.24,LOI,3.36,0.45,8,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),1,Saltmarsh,53.36931,-6.15542,direct from dataset,Ireland,2019,0.32,0.41,LOI,0.00,0.64,0,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),2,Saltmarsh,53.3698,-6.15655,direct from dataset,Ireland,2019,0,0.06,LOI,9.00,0.40,20,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),2,Saltmarsh,53.3698,-6.15655,direct from dataset,Ireland,2019,0.06,0.12,LOI,14.25,0.21,30,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),2,Saltmarsh,53.3698,-6.15655,direct from dataset,Ireland,2019,0.18,0.24,LOI,4.25,0.36,10,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),2,Saltmarsh,53.3698,-6.15655,direct from dataset,Ireland,2019,0.3,0.38,LOI,0.00,0.91,0,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),3,Saltmarsh,53.36954,-6.15867,direct from dataset,Ireland,2019,0,0.08,LOI,5.16,0.13,12,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),3,Saltmarsh,53.36954,-6.15867,direct from dataset,Ireland,2019,0.08,0.18,LOI,5.16,0.28,12,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),3,Saltmarsh,53.36954,-6.15867,direct from dataset,Ireland,2019,0.18,0.29,LOI,1.64,0.70,4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),5,Saltmarsh,53.37008,-6.15659,direct from dataset,Ireland,2019,0,0.06,LOI,9.00,0.31,20,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),5,Saltmarsh,53.37008,-6.15659,direct from dataset,Ireland,2019,0.06,0.16,LOI,14.25,0.22,30,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),5,Saltmarsh,53.37008,-6.15659,direct from dataset,Ireland,2019,0.16,0.3,LOI,4.25,0.58,10,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),5,Saltmarsh,53.37008,-6.15659,direct from dataset,Ireland,2019,0.3,0.43,LOI,0.00,0.63,0,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),6,Saltmarsh,53.37046,-6.15863,direct from dataset,Ireland,2019,0,0.12,LOI,7.04,0.24,16,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),6,Saltmarsh,53.37046,-6.15863,direct from dataset,Ireland,2019,0.2,0.38,LOI,1.64,0.84,4,(0.4*%LOI)+0.0025*(%LOI^2)
Burke et al 2022,North Bull Island (South Lagoon),6,Saltmarsh,53.37046,-6.15863,direct from dataset,Ireland,2019,0.38,0.54,LOI,0.00,1.02,0,(0.4*%LOI)+0.0025*(%LOI^2)
