study_id,site_id,method_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_6_mangrove,15,20,0.1725,0.632015,0.31033
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_6_mangrove,20,25,0.1521,0.665942,0.33305999999999997
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_6_mangrove,25,30,0.1831,0.651545,0.33546
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_6_mangrove,30,35,0.1935,0.644142,0.31888
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_6_mangrove,35,40,0.1847,0.649561,0.31913
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_6_mangrove,40,45,0.2094,0.640305,0.31754
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_6_mangrove,45,50,0.1802,0.640364,0.30683
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_6_mangrove,72.5,77.5,0.1956,0.6930270000000001,0.34131999999999996
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_6_mangrove,122.5,127.5,0.1134,0.5483480000000001,0.24297000000000002
Morrissette_et_al_2023,Drowned Caye,single set of methods,Drowned Caye_2_6_mangrove,170,175,0.4506,0.146546,0.05164
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_1_mangrove,0,5,0.3806,0.183523,0.06455
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_1_mangrove,5,10,0.5004,0.09676399999999999,0.03115
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_1_mangrove,10,15,0.7958,0.045570000000000006,0.0131
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_1_mangrove,15,20,0.6452,0.044085,0.014419999999999999
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_1_mangrove,20,25,1.0162,0.032368,0.00983
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_1_mangrove,25,30,0.9019,0.024548,0.00844
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_1_mangrove,30,35,1.0831,0.026002,0.00481
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_1_mangrove,35,40,0.9436,0.026799,0.00395
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_1_mangrove,40,45,0.8873,0.030067,0.11682000000000001
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_1_mangrove,45,50,1.0036,0.038944,0.00827
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_1_mangrove,72.5,77.5,1.1553,0.049308,0.00805
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_1_mangrove,97,102,0.7156,0.089479,0.03188
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_2_mangrove,0,5,0.2015,0.23234200000000002,0.07135
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_2_mangrove,5,10,0.4216,0.128242,0.04095
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_2_mangrove,10,15,0.9545,0.078953,0.0274
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_2_mangrove,15,20,0.7897,0.061833,0.01555
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_2_mangrove,20,25,0.9236,0.051453,0.01014
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_2_mangrove,25,30,0.9979,0.054309,0.013389999999999999
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_2_mangrove,30,35,0.7148,0.045473999999999994,0.11564999999999999
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_2_mangrove,35,40,0.8827,0.054158,0.0078000000000000005
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_2_mangrove,40,45,0.7684,0.08693400000000001,0.02577
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_2_mangrove,45,50,0.7608,0.097737,0.03288
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_2_mangrove,72.5,77.5,0.7415,0.05802399999999999,0.014610000000000001
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_2_mangrove,95,100,0.8468,0.067096,0.023799999999999998
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_3_mangrove,0,5,0.1449,0.313624,0.01429
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_3_mangrove,5,10,0.216,0.296439,0.01343
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_3_mangrove,10,15,0.2879,0.212127,0.00897
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_3_mangrove,15,20,0.364,0.139242,0.00522
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_3_mangrove,20,25,0.3774,0.092507,0.00291
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_3_mangrove,25,30,0.7292,0.06720100000000001,0.0017699999999999999
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_3_mangrove,30,35,0.7407,0.064615,0.0015199999999999999
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_3_mangrove,35,40,0.8883,0.052797000000000004,9.4e-4
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_3_mangrove,40,45,1.2237,0.035542,6.6e-4
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_3_mangrove,45,50,0.9143,0.037946,6.8e-4
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_3_mangrove,50,55,1.0105,0.033741,7.4e-4
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_3_mangrove,55,60,1.0258,0.040687,5.899999999999999e-4
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_3_mangrove,60,65,0.85,0.041132999999999996,5.899999999999999e-4
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_4_mangrove,0,5,0.211,0.238713,0.07626000000000001
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_4_mangrove,5,10,0.342,0.191941,0.048330000000000005
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_4_mangrove,10,15,0.5868,0.127679,0.0222
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_4_mangrove,15,20,0.7152,0.086758,0.09386
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_4_mangrove,20,25,0.8987,0.063238,0.0034799999999999996
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_4_mangrove,25,30,0.8845,0.058518,0.01163
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_4_mangrove,30,35,1.2307,0.030706999999999998,0.00333
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_4_mangrove,35,40,1.2985,0.032354,0.00261
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_5_mangrove,0,5,0.2709,0.18323499999999998,0.031306
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_5_mangrove,5,10,0.5706,0.10824,0.02243
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_5_mangrove,10,15,0.7972,0.067375,0.00842
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_5_mangrove,15,20,0.8936,0.06727999999999999,0.0063
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_5_mangrove,20,25,0.9281,0.039064999999999996,0.00722
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_5_mangrove,25,30,1.1455,0.036742,0.006500000000000001
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_5_mangrove,30,35,1.1555,0.038432,0.00528
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_5_mangrove,35,40,1.2234,0.033645,0.0042899999999999995
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_5_mangrove,40,45,1.0542,0.038083,0.00468
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_5_mangrove,45,50,0.9479,0.055866,0.012629999999999999
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_5_mangrove,123,128,0.9983,0.074334,0.01942
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_6_mangrove,0,5,0.2546,0.21323899999999998,0.05941
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_6_mangrove,5,10,0.6168,0.107424,0.01687
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_6_mangrove,10,15,0.8779,0.047835,0.00181
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_6_mangrove,15,20,0.9353,0.041464,0.00109
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_6_mangrove,20,25,1.0393,0.035934,0.0035299999999999997
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_6_mangrove,25,30,1.1792,0.042418,0.00367
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_6_mangrove,30,35,1.2809,0.043362,0.00368
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_6_mangrove,35,40,1.2584,0.041879,0.004030000000000001
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_6_mangrove,40,45,1.138,0.043769999999999996,0.0028899999999999998
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_6_mangrove,45,50,1.1013,0.055125,0.0086
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_6_mangrove,50,55,0.8802,0.054786,0.00697
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_1_6_mangrove,120,125,1.0286,0.06711,0.01376
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_1_mangrove,0,5,0.7842,0.105559,0.01524
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_1_mangrove,5,10,0.7579,0.088438,0.0087
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_1_mangrove,10,15,0.8137,0.075995,0.00469
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_1_mangrove,15,20,1.0414,0.080982,0.00373
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_1_mangrove,20,25,1.1379,0.06098,0.00263
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_1_mangrove,25,30,1.1468,0.05273799999999999,0.00311
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_1_mangrove,30,35,1.3332,0.037631,4.2e-4
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_1_mangrove,35,40,1.1983,0.039857000000000004,0.00212
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_1_mangrove,40,45,1.3826,0.033601,9.299999999999999e-4
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_1_mangrove,45,50,1.3735,0.033912,0.0013900000000000002
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_2_mangrove,0,5,0.5026,0.167376,0.01633
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_2_mangrove,5,10,0.7056,0.065591,0.01238
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_2_mangrove,10,15,0.7789,0.08139300000000001,0.0163
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_2_mangrove,15,20,0.8145,0.080653,0.017410000000000002
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_2_mangrove,20,25,1.089,0.049175,0.00738
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_2_mangrove,25,30,1.0681,0.058068999999999996,0.01184
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_2_mangrove,30,35,0.7597,0.09137100000000001,0.025910000000000002
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_2_mangrove,35,40,0.545,0.151641,0.05183
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_2_mangrove,40,45,0.5823,0.16832799999999998,0.06349
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_2_mangrove,45,50,0.7163,0.127993,0.04196
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_3_mangrove,0,5,0.6015,0.11276199999999999,0.0279
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_3_mangrove,5,10,0.5527,0.13258599999999998,0.01854
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_3_mangrove,10,15,0.503,0.121841,0.01756
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_3_mangrove,15,20,0.6485,0.074383,0.01109
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_3_mangrove,20,25,0.9599,0.052176,0.01012
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_3_mangrove,25,30,1.1392,0.04338,0.008100000000000001
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_3_mangrove,30,35,0.8678,0.049648000000000005,0.01113
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_3_mangrove,35,40,0.69,0.097366,0.02027
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_3_mangrove,40,45,0.6131,0.12760300000000002,0.029750000000000002
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_3_mangrove,45,48,0.2511,0.145623,0.03184
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_4_mangrove,0,5,0.4847,0.152301,0.034327
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_4_mangrove,5,10,0.5362,0.12736,0.02009
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_4_mangrove,10,15,0.6281,0.11894500000000001,0.01399
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_4_mangrove,15,20,0.9763,0.10298600000000001,0.00736
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_4_mangrove,20,25,1.011,0.054757999999999994,0.0072499999999999995
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_4_mangrove,25,30,0.9601,0.049493,0.006979999999999999
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_4_mangrove,30,35,0.9793,0.039931999999999995,0.00451
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_4_mangrove,35,40,1.2042,0.027537,0.0027700000000000003
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_4_mangrove,40,45,1.0816,0.027863000000000002,0.00253
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_4_mangrove,45,50,1.2803,0.025709,0.00423
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_4_mangrove,65,69,0.8458,0.038828,0.00483
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_5_mangrove,0,5,0.4311,0.133982,0.028130000000000002
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_5_mangrove,5,10,0.7161,0.08331799999999999,0.014119999999999999
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_5_mangrove,10,15,0.8332,0.052058,0.00849
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_5_mangrove,15,20,1.1744,0.045783,0.01057
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_5_mangrove,20,25,1.3328,0.040239000000000004,0.00605
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_5_mangrove,25,30,1.2989,0.038858000000000004,0.00216
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_5_mangrove,30,35,1.1408,0.059559,0.005410000000000001
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_5_mangrove,35,40,0.8097,0.094667,0.00856
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_5_mangrove,40,45,0.5939,0.110075,0.014450000000000001
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_6_mangrove,0,5,0.3633,0.14391400000000001,0.03169
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_6_mangrove,5,10,0.534,0.116938,0.01804
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_6_mangrove,10,15,0.587,0.11425700000000001,0.01692
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_6_mangrove,15,20,0.571,0.107971,0.01233
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_6_mangrove,20,25,1.4283,0.070915,0.01217
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_6_mangrove,25,30,1.8457,0.05273799999999999,0.01022
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_6_mangrove,30,35,1.016,0.058685,0.010329999999999999
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_6_mangrove,35,40,1.1335,0.035454,0.0049499999999999995
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_6_mangrove,40,45,1.0161,0.032265,0.00374
Morrissette_et_al_2023,Shipstern Lagoon,single set of methods,Shipstern Lagoon_2_6_mangrove,45,47,1.1789,0.035847000000000004,0.0046700000000000005
Morrissette_et_al_2023,New River,single set of methods,New River_1_1_mangrove,0,5,0.1572,0.36619,0.13589600000000002
Morrissette_et_al_2023,New River,single set of methods,New River_1_1_mangrove,5,10,0.2563,0.363061,0.264836
Morrissette_et_al_2023,New River,single set of methods,New River_1_1_mangrove,10,15,0.3779,0.264172,0.093306
Morrissette_et_al_2023,New River,single set of methods,New River_1_1_mangrove,15,20,0.6654,0.141793,0.041357
Morrissette_et_al_2023,New River,single set of methods,New River_1_1_mangrove,20,25,1.1094,0.087007,-0.037948
Morrissette_et_al_2023,New River,single set of methods,New River_1_1_mangrove,25,30,0.832,0.099855,0.028496
Morrissette_et_al_2023,New River,single set of methods,New River_1_1_mangrove,30,35,1.028,0.05332099999999999,0.007949000000000001
Morrissette_et_al_2023,New River,single set of methods,New River_1_1_mangrove,35,40,1.1149,0.041238000000000004,0.005422
Morrissette_et_al_2023,New River,single set of methods,New River_1_1_mangrove,40,45,1.0481,0.048152999999999994,0.00262
Morrissette_et_al_2023,New River,single set of methods,New River_1_1_mangrove,45,50,0.8073,0.046117,0.007387
Morrissette_et_al_2023,New River,single set of methods,New River_1_1_mangrove,72.5,77.5,1.3219,0.16717300000000002,0.00321
Morrissette_et_al_2023,New River,single set of methods,New River_1_1_mangrove,115,120,0.8655,0.190403,0.045414
Morrissette_et_al_2023,New River,single set of methods,New River_1_1_mangrove,172.5,177.5,0.6699,0.27220500000000003,0.076264
Morrissette_et_al_2023,New River,single set of methods,New River_1_1_mangrove,219,224,0.7865,0.262762,0.045973
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,0,5,0.1161,0.687781,0.34896099999999997
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,5,10,0.1455,0.704853,0.354028
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,10,15,0.2201,0.48512099999999997,0.194517
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,15,20,0.1973,0.55716,0.22734400000000002
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,20,25,0.5175,0.202882,0.072042
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,25,30,0.7214,0.109705,0.029295
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,30,35,0.9891,0.05804,0.01099
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,35,40,0.8589,0.047534,0.005
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,40,45,1.2499,0.031919,0.002967
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,45,50,1.1583,0.0338,0.11196
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,72.5,77.5,1.2156,0.181643,0.007285000000000001
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,111,116,1.051,0.161317,0.004796
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,122.5,127.5,0.6899,0.229828,0.079958
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,145,150,0.6483,0.374925,0.130119
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,170,175,0.4997,0.324759,0.11591699999999999
Morrissette_et_al_2023,New River,single set of methods,New River_1_2_mangrove,222.5,227.5,0.3168,0.496622,0.22941199999999998
Morrissette_et_al_2023,New River,single set of methods,New River_1_3_mangrove,0,5,0.3198,0.298051,0.10482
Morrissette_et_al_2023,New River,single set of methods,New River_1_3_mangrove,5,10,0.5642,0.162303,0.04424
Morrissette_et_al_2023,New River,single set of methods,New River_1_3_mangrove,10,15,0.5847,0.11773600000000001,0.03537
Morrissette_et_al_2023,New River,single set of methods,New River_1_3_mangrove,15,20,0.7637,0.11372199999999999,0.028769999999999997
Morrissette_et_al_2023,New River,single set of methods,New River_1_3_mangrove,20,25,0.6317,0.11656599999999999,0.02831
Morrissette_et_al_2023,New River,single set of methods,New River_1_3_mangrove,25,30,0.762,0.097311,0.02491
Morrissette_et_al_2023,New River,single set of methods,New River_1_3_mangrove,30,35,0.2414,0.228813,0.094827
Morrissette_et_al_2023,New River,single set of methods,New River_1_3_mangrove,35,40,0.8139,0.07286,0.01625
Morrissette_et_al_2023,New River,single set of methods,New River_1_3_mangrove,40,45,0.9845,0.048681999999999996,0.00831
Morrissette_et_al_2023,New River,single set of methods,New River_1_3_mangrove,45,50,0.9132,0.064061,0.0108
Morrissette_et_al_2023,New River,single set of methods,New River_1_3_mangrove,72.5,77.5,1.3563,0.16436,0.001164
Morrissette_et_al_2023,New River,single set of methods,New River_1_3_mangrove,110,115,1.0667,0.22154800000000002,0.032174999999999995
Morrissette_et_al_2023,New River,single set of methods,New River_1_3_mangrove,125,130,0.7425,0.174535,0.027402000000000003
Morrissette_et_al_2023,New River,single set of methods,New River_1_4_mangrove,0,5,0.1588,0.6148089999999999,0.22367
Morrissette_et_al_2023,New River,single set of methods,New River_1_4_mangrove,5,10,0.3157,0.300541,0.11010999999999999
Morrissette_et_al_2023,New River,single set of methods,New River_1_4_mangrove,10,15,0.4918,0.163105,0.053970000000000004
Morrissette_et_al_2023,New River,single set of methods,New River_1_4_mangrove,15,20,0.5904,0.06768500000000001,0.02129
Morrissette_et_al_2023,New River,single set of methods,New River_1_4_mangrove,20,25,0.9941,0.054276,0.010029999999999999
Morrissette_et_al_2023,New River,single set of methods,New River_1_4_mangrove,25,30,1.0875,0.141096,0.00801
Morrissette_et_al_2023,New River,single set of methods,New River_1_4_mangrove,30,35,1.2608,0.13888,0.0037
Morrissette_et_al_2023,New River,single set of methods,New River_1_4_mangrove,35,40,1.3161,0.164373,2.9e-4
Morrissette_et_al_2023,New River,single set of methods,New River_1_4_mangrove,40,45,1.2758,0.172912,-7.5e-4
Morrissette_et_al_2023,New River,single set of methods,New River_1_4_mangrove,45,50,1.3831,0.167772,-0.00191
Morrissette_et_al_2023,New River,single set of methods,New River_1_5_mangrove,0,5,0.1329,0.711978,0.331162
Morrissette_et_al_2023,New River,single set of methods,New River_1_5_mangrove,5,10,0.1394,0.635898,0.30142199999999997
Morrissette_et_al_2023,New River,single set of methods,New River_1_5_mangrove,10,15,0.2431,0.285362,0.09451000000000001
Morrissette_et_al_2023,New River,single set of methods,New River_1_5_mangrove,15,20,0.1577,0.695323,0.340189
Morrissette_et_al_2023,New River,single set of methods,New River_1_5_mangrove,20,25,0.1763,0.5685819999999999,0.24245999999999998
Morrissette_et_al_2023,New River,single set of methods,New River_1_5_mangrove,25,30,0.2634,0.413275,0.17803000000000002
Morrissette_et_al_2023,New River,single set of methods,New River_1_5_mangrove,30,35,0.2802,0.378902,0.15955
Morrissette_et_al_2023,New River,single set of methods,New River_1_5_mangrove,35,40,0.7623,0.24038,0.02924
Morrissette_et_al_2023,New River,single set of methods,New River_1_5_mangrove,40,45,0.853,0.20842,0.04198
Morrissette_et_al_2023,New River,single set of methods,New River_1_5_mangrove,45,50,0.7928,0.218278,0.0304
Morrissette_et_al_2023,New River,single set of methods,New River_1_5_mangrove,72,77,0.7489,0.127942,0.037055
Morrissette_et_al_2023,New River,single set of methods,New River_1_5_mangrove,122,127,1.2942,0.16998100000000002,0.004615
Morrissette_et_al_2023,New River,single set of methods,New River_1_5_mangrove,222.5,227.5,0.2977,0.43454099999999996,0.17162299999999997
Morrissette_et_al_2023,New River,single set of methods,New River_1_5_mangrove,265,270,0.1863,0.686992,0.31721900000000003
Morrissette_et_al_2023,New River,single set of methods,New River_1_6_mangrove,0,5,0.154,0.690222,0.34481
Morrissette_et_al_2023,New River,single set of methods,New River_1_6_mangrove,5,10,0.1341,0.6819670000000001,0.33244999999999997
Morrissette_et_al_2023,New River,single set of methods,New River_1_6_mangrove,10,15,0.1667,0.518764,0.24263
Morrissette_et_al_2023,New River,single set of methods,New River_1_6_mangrove,15,20,0.1823,0.542998,0.2373
Morrissette_et_al_2023,New River,single set of methods,New River_1_6_mangrove,20,25,0.2158,0.5127579999999999,0.21558
Morrissette_et_al_2023,New River,single set of methods,New River_1_6_mangrove,25,30,0.2461,0.53521,0.24760000000000001
Morrissette_et_al_2023,New River,single set of methods,New River_1_6_mangrove,30,35,0.3399,0.30620000000000003,0.13555999999999999
