"study_id","bibliography_id","publication_type","bibtype","title","volume","issn","url","doi","number","journal","publisher","author","year","month","pages"
"Cuellar-Martinez_et_al_2019","Cuellar-Martinez_et_al_2019_article","associated source","Article","Relevance of carbon burial and storage in two contrasting blue carbon ecosystems of a north-east Pacific coastal lagoon","675","0048-9697","http://dx.doi.org/10.1016/j.scitotenv.2019.03.388","10.1016/j.scitotenv.2019.03.388",NA,"Science of The Total Environment","Elsevier BV","Tomasa Cuellar-Martinez and Ana Carolina Ruiz-Fernández and Joan-Albert Sanchez-Cabeza and Libia-Hascibe Pérez-Bernal and Jose Sandoval-Gil","2019","jul","581–593"
"Cuellar-Martinez_et_al_2019","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Cuellar-Martinez_et_al_2020","Cuellar-Martinez_et_al_2020_article","associated source","Article","Temporal records of organic carbon stocks and burial rates in Mexican blue carbon coastal ecosystems throughout the Anthropocene","192","0921-8181","http://dx.doi.org/10.1016/j.gloplacha.2020.103215","10.1016/j.gloplacha.2020.103215",NA,"Global and Planetary Change","Elsevier BV","Tomasa Cuellar-Martinez and Ana Carolina Ruiz-Fernández and Joan-Albert Sanchez-Cabeza and Libia Pérez-Bernal and Perla Guadalupe López-Mendoza and Vladislav Carnero-Bravo and Claudia Maricusa Agraz-Hernández and Brigitta Ine {van Tussenbroek} and Jose Sandoval-Gil and José Gilberto Cardoso-Mohedano and Yosahandy Vázquez-Molina and Giovanni Aldana-Gutiérrez","2020","sep","103215"
"Cuellar-Martinez_et_al_2020","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Ewers_Lewis_et_al_2020","Ewers_Lewis_et_al_2020_article","associated source","Article","Variability and Vulnerability of Coastal ‘Blue Carbon’ Stocks: A Case Study from Southeast Australia","21","1435-0629","http://dx.doi.org/10.1007/s10021-017-0150-z","10.1007/s10021-017-0150-z","2","Ecosystems","Springer Science and Business Media LLC","Carolyn J. {Ewers Lewis} and Paul E. Carnell and Jonathan Sanderman and Jeffrey A. Baldock and Peter I. Macreadie","2017","apr","263–279"
"Ewers_Lewis_et_al_2020","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Ford_et_al_2016","Ford_et_al_2016_data","primary dataset","Misc","Coastal Biodiversity and Ecosystem Service Sustainability (CBESS) soil organic matter content from three soil depths on saltmarsh sites at Morecambe Bay and Essex",NA,NA,"https://catalogue.ceh.ac.uk/id/90457ba1-f291-4158-82dc-425d7cbb1ac5","10.5285/90457BA1-F291-4158-82DC-425D7CBB1AC5",NA,NA,"NERC Environmental Information Data Centre","H. Ford and A. Garbutt and M. Skov","2016",NA,NA
"Ford_et_al_2016","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Gallagher_et_al_2021","Gallagher_et_al_2021_article","associated source","Article","Inorganic and Black Carbon Hotspots Constrain Blue Carbon Mitigation Services Across Tropical Seagrass and Temperate Tidal Marshes","41","1943-6246","http://dx.doi.org/10.1007/s13157-021-01460-3","10.1007/s13157-021-01460-3","5","Wetlands","Springer Science and Business Media LLC","John Barry Gallagher and Vishnu Prahalad and John Aalders","2021","jun",NA
"Gallagher_et_al_2021","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Gao_et_al_2016","Gao_et_al_2016_article","associated source","Article","The effect of biomass variations of Spartina alterniflora on the organic carbon content and composition of a salt marsh in northern Jiangsu Province, China","95","0925-8574","http://dx.doi.org/10.1016/j.ecoleng.2016.06.088","10.1016/j.ecoleng.2016.06.088",NA,"Ecological Engineering","Elsevier BV","Jian Hua Gao and Zhen Xing Feng and Lian Chen and Ya Ping Wang and Fenglong Bai and Jun Li","2016","oct","160–170"
"Gao_et_al_2016","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Gao_et_al_2016","Xia_et_al_2022_synthesis","associated source","Article","Storage, patterns and influencing factors for soil organic carbon in coastal wetlands of China","28","1365-2486","http://dx.doi.org/10.1111/gcb.16325","10.1111/gcb.16325","20","Global Change Biology","Wiley","Shaopan Xia and Zhaoliang Song and Lukas {Van Zwieten} and Laodong Guo and Changxun Yu and Weiqi Wang and Qiang Li and Iain P. Hartley and Yuanhe Yang and Hongyan Liu and Yidong Wang and Xiangbin Ran and Cong‐Qiang Liu and Hailong Wang","2022","jul","6065–6085"
"Gonzalez-Alcaraz_et_al_2015","Gonzalez-Alcaraz_et_al_2015_article","associated source","Article","Contribution of soil properties to the assessment of a seawater irrigation programme as a management strategy for abandoned solar saltworks","126","0341-8162","http://dx.doi.org/10.1016/j.catena.2014.11.012","10.1016/j.catena.2014.11.012",NA,"CATENA","Elsevier BV","M.N. González-Alcaraz and B. Aránega and H.M. Conesa and M.J. Delgado and J. Álvarez-Rogel","2015","mar","189–200"
"Gonzalez-Alcaraz_et_al_2015","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Gorham_et_al_2021","Gorham_et_al_2021_article","associated source","Article","Soil Carbon Stocks Vary Across Geomorphic Settings in Australian Temperate Tidal Marsh Ecosystems","24","1435-0629","http://dx.doi.org/10.1007/s10021-020-00520-9","10.1007/s10021-020-00520-9","2","Ecosystems","Springer Science and Business Media LLC","Connor Gorham and Paul Lavery and Jeffrey J. Kelleway and Cristian Salinas and Oscar Serrano","2020","jun","319–334"
"Gorham_et_al_2021","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Graversen_et_al_2022","Graversen_et_al_2022_article","associated source","Article","Carbon sequestration is not inhibited by livestock grazing in Danish salt marshes","67","1939-5590","http://dx.doi.org/10.1002/lno.12011","10.1002/lno.12011","S2","Limnology and Oceanography","Wiley","Anna Elizabeth Løvgren Graversen and Gary T. Banta and Pere Masque and Dorte Krause‐Jensen","2022","jan",NA
"Graversen_et_al_2022","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Grey_et_al_2021","Grey_et_al_2021_article","associated source","Article","Geochemical mapping of a blue carbon zone: Investigation of the influence of riverine input on tidal affected zones in Bull Island","45","2352-4855","http://dx.doi.org/10.1016/j.rsma.2021.101834","10.1016/j.rsma.2021.101834",NA,"Regional Studies in Marine Science","Elsevier BV","Anthony Grey and Aisling Cunningham and Alan Lee and Xavier Monteys and Seamus Coveney and Margaret V. McCaul and Brian T. Murphy and Thomas McCloughlin and Brooks Hidaka and Brian P. Kelleher","2021","jun","101834"
"Grey_et_al_2021","Maxwell_et_al_2023_synthesis","synthesis source","Article","Global dataset of soil organic carbon in tidal marshes","10","2052-4463","http://dx.doi.org/10.1038/s41597-023-02633-x","10.1038/s41597-023-02633-x","1","Scientific Data","Springer Science and Business Media LLC","Tania L. Maxwell and André S. Rovai and Maria Fernanda Adame and Janine B. Adams and José Álvarez-Rogel and William E. N. Austin and Kim Beasy and Francesco Boscutti and Michael E. Böttcher and Tjeerd J. Bouma and Richard H. Bulmer and Annette Burden and Shannon A. Burke and Saritta Camacho and Doongar R. Chaudhary and Gail L. Chmura and Margareth Copertino and Grace M. Cott and Christopher Craft and John Day and Carmen B. {de los Santos} and Lionel Denis and Weixin Ding and Joanna C. Ellison and Carolyn J. {Ewers Lewis} and Luise Giani and Maria Gispert and Swanne Gontharet and José A. González-Pérez and M. Nazaret González-Alcaraz and Connor Gorham and Anna Elizabeth L. Graversen and Anthony Grey and Roberta Guerra and Qiang He and James R. Holmquist and Alice R. Jones and José A. Juanes and Brian P. Kelleher and Karen E. Kohfeld and Dorte Krause-Jensen and Anna Lafratta and Paul S. Lavery and Edward A. Laws and Carmen Leiva-Dueñas and Pei Sun Loh and Catherine E. Lovelock and Carolyn J. Lundquist and Peter I. Macreadie and Inés Mazarrasa and J. Patrick Megonigal and Joao M. Neto and Juliana Nogueira and Michael J. Osland and Jordi F. Pagès and Nipuni Perera and Eva-Maria Pfeiffer and Thomas Pollmann and Jacqueline L. Raw and María Recio and Ana Carolina Ruiz-Fernández and Sophie K. Russell and John M. Rybczyk and Marek Sammul and Christian Sanders and Rui Santos and Oscar Serrano and Matthias Siewert and Craig Smeaton and Zhaoliang Song and Carmen Trasar-Cepeda and Robert R. Twilley and Marijn {Van de Broek} and Stefano Vitti and Livia Vittori Antisari and Baptiste Voltz and Christy N. Wails and Raymond D. Ward and Melissa Ward and Jaxine Wolfe and Renmin Yang and Sebastian Zubrzycki and Emily Landis and Lindsey Smart and Mark Spalding and Thomas A. Worthington","2023","nov",NA
"Gu_et_al_2020","Gu_et_al_2020_data","primary dataset","Misc","Data for: Invasive Phragmites increases blue carbon stock and soil volume in a St. Lawrence estuary marsh",NA,NA,"https://data.mendeley.com/datasets/2dg3spxsbh/2","10.17632/2DG3SPXSBH.2",NA,NA,"Mendeley","Jiali Gu","2020",NA,NA
