"study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon","depth_interval_notes","delta_c13"
"Graversen_et_al_2022","Horsens","Horsens Grazed","single set of methods",24,26,1.033333,0.09823333,0.01373,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Grazed","single set of methods",26,28.000000000000004,1.27,0.037200000000000004,0.00867,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Grazed","single set of methods",28.000000000000004,30,1.25,0.0623,0.00369,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Grazed","single set of methods",30,32,1.31,0.0271,0.00555,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Grazed","single set of methods",32,34,1.42,0.024300000000000002,0.0032300000000000002,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Grazed","single set of methods",34,36,1.36,0.03445,0.004525,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Grazed","single set of methods",36,38,1.31,0.0327,0.0023499999999999997,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Grazed","single set of methods",38,40,1.28,0.022400000000000003,0.0042,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Grazed","single set of methods",40,42,1.2,0.0219,0.00193,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Grazed","single set of methods",42,46,1.37,0.0151,0.00263,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Grazed","single set of methods",46,50,1.31,0.0203,0.00158,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Grazed","single set of methods",50,54,1.23,0.0202,5.3e-4,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Grazed","single set of methods",54,57.99999999999999,1.16,0.041100000000000005,0.00316,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",0,1,0.18,0.2457,0.12164,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",1,2,0.21,0.35229999999999995,0.1234167,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",2,3,0.27,0.4705,0.12379,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",3,4,0.26,0.23190000000000002,0.11019,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",4,5,0.27,0.2738,0.09423999999999999,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",5,6,0.27,0.2805,0.09736,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",6,7.000000000000001,0.25,0.22870000000000001,0.08467000000000001,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",7.000000000000001,8,0.3866667,0.3535333,0.08878,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",8,9,0.52,0.2651,0.041639999999999996,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",9,10,0.79,0.151,0.04259,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",10,12,0.57,0.2412,0.07176,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",12,14.000000000000002,0.98,0.21600000000000003,0.05039,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",14.000000000000002,16,1.09,0.0916,0.013229999999999999,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",16,18,1.19,0.066,0.009649999999999999,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",18,20,1.25,0.0718,0.0033,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",20,22,1.24,0.0379,0.0034899999999999996,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",22,24,1.63,0.0432,0.0017000000000000001,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",24,26,1.51,0.03193333,0.00231,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",30,32,1.49,0.0187,9.6e-4,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",32,34,1.54,0.030600000000000002,0.00121,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",34,36,1.43,0.0304,0.002663333,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",36,38,1.23,0.0191,0.0016200000000000001,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",38,40,1.64,0.0235,0.00471,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",40,42,1.36,0.014199999999999999,8e-4,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",42,46,1.47,0.023,0.0010299999999999999,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",46,50,1.3,0.0128,0.00106,NA,NA
"Graversen_et_al_2022","Horsens","Horsens Ungrazed","single set of methods",50,52,1.34,0.0187,0.00362,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",0,1,0.93,0.139,0.02874,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",1,2,1.31,0.048799999999999996,0.01061667,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",2,3,1.35,0.0542,0.0076500000000000005,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",3,4,1.47,0.0559,0.00848,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",4,5,1.38,0.0565,0.00803,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",5,6,1.16,0.08650000000000001,0.00987,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",6,7.000000000000001,1.32,0.060899999999999996,0.014530000000000001,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",7.000000000000001,8,1.265,0.0639,0.011675,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",8,9,1.21,0.0728,0.0118,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",9,10,1.34,0.07440000000000001,0.00945,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",10,12,1.16,0.09609999999999999,0.01667,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",12,14.000000000000002,1.1,0.107,0.02557,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",14.000000000000002,16,1.22,0.07463333,0.01272667,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",16,18,0.85,0.1582,0.03125,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",18,20,0.97,0.16329999999999997,0.02374,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",20,22,0.92,0.1858,0.02709,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",22,24,0.69,0.1975,0.04376,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",24,26,0.6733333,0.2829333,0.07373667,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",26,28.000000000000004,0.48,0.3195,0.06863000000000001,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",28.000000000000004,30,0.75,0.1891,0.03627,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",30,32,1.03,0.09230000000000001,0.02027,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",32,34,0.73,0.15109999999999998,0.040209999999999996,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",34,36,1.406667,0.036833330000000004,0.002843333,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",36,38,1.26,0.0273,0.00517,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Grazed","single set of methods",38,40,1.2,0.0397,0.008579999999999999,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",0,1,1.11,0.05,0.00366,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",1,2,1.093333,0.054766669999999996,0.008966667000000001,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",2,3,1.08,0.0827,0.012199999999999999,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",3,4,1.29,0.0634,0.00674,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",4,5,1.16,0.0483,0.0046300000000000004,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",5,6,1.16,0.0562,0.00603,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",6,7.000000000000001,1.21,0.0726,0.01024,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",7.000000000000001,8,1.13,0.0635,0.010813330000000001,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",8,9,1.16,0.0602,0.009389999999999999,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",9,10,1.18,0.049,0.008539999999999999,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",10,12,1.08,0.0525,0.006840000000000001,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",12,14.000000000000002,1.15,0.0421,0.00436,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",14.000000000000002,16,1.02,0.08136666999999999,0.0124,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",16,18,1.17,0.058499999999999996,0.00766,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",18,20,1.2,0.0381,0.00497,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",20,22,1.19,0.0538,0.00835,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",22,24,1.1,0.0863,0.02894,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",24,26,1.243333,0.04676667,0.00792,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",26,28.000000000000004,1.21,0.0492,0.00641,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",28.000000000000004,30,1.23,0.0444,0.00522,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",30,32,1.14,0.0794,0.010860000000000002,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",32,34,1.26,0.0572,0.006750000000000001,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",34,36,1.226667,0.03956667,0.005156667,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",36,38,1.13,0.0805,0.010960000000000001,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",38,40,1,0.1076,0.020659999999999998,NA,NA
"Graversen_et_al_2022","Mariager","Mariager Ungrazed","single set of methods",40,42,1.18,0.0475,0.004,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",0,1,0.83,0.17350000000000002,0.03084,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",1,2,0.8533333,0.14616669999999998,0.02933333,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",2,3,0.75,0.18489999999999998,0.03548,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",3,4,0.62,0.2469,0.05085,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",4,5,0.59,0.2808,0.06299,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",5,6,0.56,0.2687,0.04918,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",6,7.000000000000001,0.81,0.2318,0.047619999999999996,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",7.000000000000001,8,0.7466667,0.2083333,0.04260333,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",8,9,0.97,0.1273,0.033479999999999996,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",9,10,1.04,0.0933,0.01802,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",10,12,0.96,0.0824,0.012490000000000001,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",12,14.000000000000002,1.08,0.0548,0.01343,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",14.000000000000002,16,1.145,0.06955,0.01885,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",16,18,1.17,0.0388,0.00505,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",18,20,1.27,0.0269,0.00425,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",20,22,1.16,0.0558,0.00786,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",22,24,1.05,0.069,0.01376,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",24,26,1.183333,0.0509,0.006346667,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",26,28.000000000000004,1.2,0.0582,0.00993,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",28.000000000000004,30,0.97,0.0857,0.0187,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",30,32,1.18,0.0483,0.00662,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",32,34,1.15,0.0406,0.005600000000000001,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",34,36,1.173333,0.052000000000000005,0.006346667,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",36,38,1.3,0.059000000000000004,0.00906,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",38,40,1.22,0.0358,0.00507,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",40,42,1.1,0.0558,0.015780000000000002,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",42,46,1.19,0.0747,0.011779999999999999,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",46,50,1.24,0.0323,0.00825,NA,NA
"Graversen_et_al_2022","Randers","Randers Grazed","single set of methods",50,53,1.33,0.0245,0.00542,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",0,1,0.85,0.11800000000000001,0.03781,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",1,2,0.8933333,0.125,0.02467333,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",2,3,0.9,0.10710000000000001,0.01891,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",3,4,0.82,0.09359999999999999,0.01804,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",4,5,0.94,0.0941,0.00631,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",5,6,0.69,0.16519999999999999,0.02997,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",6,7.000000000000001,0.72,0.1543,0.03709,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",7.000000000000001,8,0.82,0.1532667,0.03061,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",8,9,0.69,0.1378,0.02934,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",9,10,0.94,0.1164,0.01619,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",10,12,1.11,0.058600000000000006,0.015229999999999999,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",12,14.000000000000002,1.05,0.0699,0.01952,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",14.000000000000002,16,1.206667,0.03646667,0.0074199999999999995,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",16,18,1.14,0.0425,0.01019,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",18,20,1.27,0.0276,0.00313,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",20,22,1.11,0.0667,0.02033,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",22,24,1.2,0.051699999999999996,0.00764,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",24,26,1.216667,0.03806667,0.006693333,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",26,28.000000000000004,1.25,0.019799999999999998,0.0029,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",28.000000000000004,30,1.06,0.0571,0.0070799999999999995,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",30,32,1.19,0.0316,0.00631,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",32,34,1.28,0.0218,0.00517,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",34,36,1.22,0.025766670000000002,0.002886667,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",36,38,1.18,0.036000000000000004,0.00672,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",38,40,1.2,0.0355,0.0039000000000000003,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",40,42,1.26,0.0414,0.0022,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",42,46,1.06,0.0308,0.00627,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",46,50,1.07,0.061399999999999996,0.01758,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",50,54,1.07,0.0859,0.01094,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",54,57.99999999999999,1.26,0.0332,0.00502,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",57.99999999999999,62,1.27,0.0155,0.00148,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",62,66,1.25,0.0098,0.00104,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",66,70,1.16,0.0083,0.001,NA,NA
"Graversen_et_al_2022","Randers","Randers Ungrazed","single set of methods",70,71,1.17,0.009899999999999999,0.0011799999999999998,NA,NA
"Grey_et_al_2021","Bull Island","AG Bull Island 26","single set of methods",0,10,NA,0.0139,0.045667,"Salt marsh mud; Outlier - SOC greater than SOM",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 27","single set of methods",0,10,NA,0.22,0.042699999999999995,"Very wet soil",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 29","single set of methods",0,10,NA,0.5599000000000001,0.1052,"Heavy mud",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 30","single set of methods",0,10,NA,0.049800000000000004,0.041717000000000004,"Soil",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 31","single set of methods",0,10,NA,0.049699999999999994,0.049800000000000004,"Muddy soil; Outlier - SOC greater than SOM",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 32","single set of methods",0,10,NA,0.0707,0.018432999999999998,"Soil",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 33","single set of methods",0,10,NA,0.4814,0.106,"Soil",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 34","single set of methods",0,10,NA,0.0649,0.0015329999999999999,"Mud flat mud with algae",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 35","single set of methods",0,10,NA,0.3265,0.066693,"Soil",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 36","single set of methods",0,10,NA,0.2348,0.0931,"Heavy muddy soil",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 37","single set of methods",0,10,NA,0.13849999999999998,0.038867,"Soil",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 38","single set of methods",0,10,NA,0.615,0.1272,"Soil",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 39","single set of methods",0,10,NA,0.032400000000000005,0.0058330000000000005,"Heavy black mud",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 40","single set of methods",0,10,NA,0.5394,0.159467,"Soil",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 41","single set of methods",0,10,NA,0.139,0.0417,"Salt marsh mud",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 42","single set of methods",0,10,NA,0.1435,0.0632,"Soil",NA
"Grey_et_al_2021","Bull Island","AG Bull Island 43","single set of methods",0,10,NA,0.1478,0.0537,"Soil with bush vegetation",NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",0,2,0.305,0.1193,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",2,4,0.441,0.1193,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",4,6,0.468,0.1389,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",6,8,0.486,0.1051,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",8,10,0.473,0.0978,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",10,12,0.517,0.1152,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",12,14.000000000000002,0.7,0.10710000000000001,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",14.000000000000002,16,0.632,0.1035,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",16,18,0.799,0.09759999999999999,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",18,20,0.777,0.0958,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",20,22,0.716,0.07769999999999999,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",22,24,0.647,0.08789999999999999,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",24,26,0.782,0.0839,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",26,28.000000000000004,0.759,0.0809,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",28.000000000000004,30,0.806,0.0786,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",30,32,0.745,0.08449999999999999,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",32,34,0.902,0.0727,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",34,36,0.818,0.075,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-1","single set of methods",36,38,0.966,0.0732,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",0,2,0.384,0.12390000000000001,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",2,4,0.374,0.1404,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",4,6,0.472,0.1438,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",6,8,0.645,0.09960000000000001,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",8,10,0.698,0.0818,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",10,12,0.69,0.07980000000000001,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",12,14.000000000000002,0.776,0.0764,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",14.000000000000002,16,0.723,0.0786,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",16,18,0.725,0.0857,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",18,20,0.697,0.0866,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",20,22,0.709,0.0863,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",22,24,0.734,0.0852,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",24,26,0.788,0.0786,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",26,28.000000000000004,0.926,0.0748,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-2","single set of methods",28.000000000000004,30,0.861,0.0766,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",0,2,0.447,0.1353,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",2,4,0.477,0.13849999999999998,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",4,6,0.411,0.1421,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",6,8,0.51,0.122,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",8,10,0.458,0.1198,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",10,12,0.635,0.1024,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",12,14.000000000000002,0.631,0.11720000000000001,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",14.000000000000002,16,0.757,0.0843,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",16,18,0.67,0.0859,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",18,20,0.675,0.085,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",20,22,0.618,0.0971,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",22,24,0.703,0.0839,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",24,26,0.684,0.08109999999999999,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",26,28.000000000000004,0.722,0.08539999999999999,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP1-3","single set of methods",28.000000000000004,30,0.666,0.0786,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP2-1","single set of methods",0,2,0.302,0.2036,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP2-1","single set of methods",2,4,0.26,0.2473,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP2-1","single set of methods",4,6,0.253,0.23149999999999998,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP2-1","single set of methods",6,8,0.253,0.2683,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP2-1","single set of methods",8,10,0.297,0.27940000000000004,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP2-1","single set of methods",10,12,0.321,0.2169,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP2-1","single set of methods",12,14.000000000000002,0.39,0.1782,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP2-1","single set of methods",14.000000000000002,16,0.328,0.20879999999999999,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP2-1","single set of methods",16,18,0.498,0.18309999999999998,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP2-1","single set of methods",18,20,0.488,0.1629,NA,NA,NA
"Gu_et_al_2020","La Pocatiere","LP2-1","single set of methods",20,22,0.597,0.13019999999999998,NA,NA,NA
