"[Abbreviations: ID, identification; cm, centimeter; g-water/g-wet, grams of water per grams of wet sediment; cm^3-voids/cm^3-wet, cubic centimeters of voids per cubic centimeter of wet sediment; g/cm^3, grams per cubic centimeter; g-OM/g-dry, grams of organic matter per gram of dry sediment; --, no reported value]",,,,,
Sample ID,"Water Content (g-water/g-wet)",Porosity (cm^3-voids/cm^3-wet),"Dry Bulk Density (g/cm^3)","Loss On Ignition (g-OM/g-dry)",
14CCT01-GB36D,7-Jun,0.74,0.88,0.27,0.322
14CCT01-GB36D,8-Jul,0.75,0.88,0.26,0.285
14CCT01-GB36D,9-Aug,0.77,0.89,0.23,0.301
14CCT01-GB36D,10-Sep,0.73,0.87,0.29,0.241
14CCT01-GB36D,11-Oct,0.68,0.84,0.37,0.161
14CCT01-GB36D,12-Nov,0.75,0.88,0.27,0.234
14CCT01-GB36D,13-Dec,0.79,0.9,0.21,0.312
14CCT01-GB36D,13-14,0.77,0.89,0.23,0.285
14CCT01-GB36D,14-15,0.69,0.85,0.36,0.186
14CCT01-GB36D,15-16,0.53,0.74,0.61,0.076
14CCT01-GB36D,15-16a,,,,0.08
14CCT01-GB36D,16-17,0.64,0.82,0.44,0.14
14CCT01-GB36D,17-18,0.7,0.86,0.33,0.161
14CCT01-GB36D,18-19,0.7,0.86,0.34,0.167
14CCT01-GB36D,19-20,0.69,0.85,0.36,0.153
14CCT01-GB36D,20-21,0.7,0.85,0.34,0.141
14CCT01-GB36D,21-22,0.62,0.81,0.45,0.106
14CCT01-GB36D,22-23,0.53,0.74,0.64,0.064
14CCT01-GB36D,23-24,0.43,0.65,0.86,0.052
14CCT01-GB36D,24-25,0.41,0.63,0.95,0.042
14CCT01-GB36D,24-25a,,,,0.113
14CCT01-GB36D,25-26,0.51,0.72,0.69,0.068
14CCT01-GB36D,26-27,0.51,0.73,0.67,0.072
14CCT01-GB36D,27-28,0.41,0.63,0.93,0.047
14CCT01-GB36D,27-28a,,,,0.026
14CCT01-GB36D,28-29,0.44,0.66,0.88,0.053
14CCT01-GB36D,29-30,0.45,0.67,0.79,0.054
14CCT01-GB36D,30-31,0.4,0.62,1,0.04
14CCT01-GB36D,31-32,0.49,0.71,0.74,0.059
14CCT01-GB36D,32-33,0.54,0.75,0.66,0.076
14CCT01-GB36D,33-34,0.5,0.72,0.75,0.065
,,,,,
,,,,,
14CCT01-GB39D,0-1,0.67,0.83,0.38,0.184
14CCT01-GB39D,0-1a,,,,0.184
14CCT01-GB39D,2-Jan,0.6,0.79,0.49,0.138
14CCT01-GB39D,3-Feb,0.58,0.78,0.53,0.129
14CCT01-GB39D,4-Mar,0.62,0.8,0.46,0.164
14CCT01-GB39D,5-Apr,0.65,0.82,0.4,0.204
14CCT01-GB39D,6-May,0.66,0.83,0.42,0.201
14CCT01-GB39D,7-Jun,0.68,0.84,0.36,0.245
14CCT01-GB39D,8-Jul,0.64,0.82,0.42,0.213
14CCT01-GB39D,9-Aug,0.65,0.82,0.38,0.195
14CCT01-GB39D,10-Sep,0.67,0.83,0.37,0.207
14CCT01-GB39D,11-Oct,0.71,0.86,0.32,0.234
14CCT01-GB39D,10-11a,,,,0.246
14CCT01-GB39D,12-Nov,0.7,0.85,0.33,0.198
14CCT01-GB39D,13-Dec,0.69,0.85,0.35,0.19
14CCT01-GB39D,13-14,0.69,0.84,0.35,0.197
14CCT01-GB39D,14-15,0.71,0.86,0.32,0.226
14CCT01-GB39D,15-16,0.68,0.84,0.35,0.188
14CCT01-GB39D,16-17,0.63,0.81,0.42,0.149
14CCT01-GB39D,17-18,0.61,0.79,0.47,0.141
14CCT01-GB39D,18-19,0.62,0.8,0.45,0.142
14CCT01-GB39D,19-20,0.6,0.79,0.48,0.141
14CCT01-GB39D,20-21,0.55,0.75,0.57,0.106
14CCT01-GB39D,20-21a,,,,0.112
14CCT01-GB39D,21-22,0.57,0.77,0.53,0.112
14CCT01-GB39D,22-23,0.57,0.77,0.54,0.113
14CCT01-GB39D,23-24,0.5,0.72,0.69,0.075
14CCT01-GB39D,24-25,0.55,0.76,0.53,0.108
14CCT01-GB39D,25-26,0.53,0.74,0.6,0.096
14CCT01-GB39D,26-27,0.54,0.74,0.59,0.104
14CCT01-GB39D,27-28,0.54,0.75,0.59,0.113
14CCT01-GB39D,28-29,0.48,0.7,0.68,0.088
14CCT01-GB39D,29-30,0.46,0.68,0.78,0.079
14CCT01-GB39D,30-31,0.45,0.67,0.78,0.079
14CCT01-GB39D,30-31a,,,,0.077
14CCT01-GB39D,31-32,0.47,0.69,0.73,0.086
14CCT01-GB39D,32-34,0.53,0.74,0.62,0.103
,,,,,
,,,,,
14CCT01-GB53D,0-1,0.69,0.85,0.36,0.2337
14CCT01-GB53D,2-Jan,0.63,0.81,0.44,0.1563
14CCT01-GB53D,3-Feb,0.44,0.66,0.8,0.0596
14CCT01-GB53D,2-3a,,,,0.053
14CCT01-GB53D,4-Mar,0.45,0.67,0.75,0.074
14CCT01-GB53D,5-Apr,0.57,0.77,0.51,0.111
14CCT01-GB53D,6-May,0.61,0.8,0.45,0.1509
14CCT01-GB53D,7-Jun,0.64,0.82,0.41,0.1812
14CCT01-GB53D,8-Jul,0.74,0.88,0.25,0.3003
14CCT01-GB53D,9-Aug,0.68,0.84,0.35,0.2137
14CCT01-GB53D,10-Sep,0.59,0.78,0.51,0.1221
14CCT01-GB53D,9-10a,,,,0.1249
14CCT01-GB53D,11-Oct,0.66,0.83,0.38,0.1976
14CCT01-GB53D,12-Nov,0.68,0.84,0.35,0.2364
14CCT01-GB53D,13-Dec,0.72,0.87,0.28,0.2563
14CCT01-GB53D,13-14,0.72,0.87,0.29,0.2423
14CCT01-GB53D,14-15,0.61,0.8,0.47,0.1478
14CCT01-GB53D,15-16,0.64,0.82,0.41,0.1391
14CCT01-GB53D,16-17,0.75,0.88,0.26,0.2517
14CCT01-GB53D,17-18,0.77,0.89,0.24,0.2867
14CCT01-GB53D,18-19,0.72,0.86,0.31,0.2023
14CCT01-GB53D,19-20,0.68,0.84,0.34,0.1735
14CCT01-GB53D,20-21,0.73,0.87,0.29,0.2273
14CCT01-GB53D,21-22,0.72,0.87,0.3,0.2472
14CCT01-GB53D,22-23,0.61,0.79,0.48,0.1342
14CCT01-GB53D,23-24,0.49,0.71,0.69,0.0818
14CCT01-GB53D,23-24a,,,,0.0763
14CCT01-GB53D,24-25,0.51,0.72,0.66,0.0803
14CCT01-GB53D,25-26,0.5,0.71,0.67,0.0856
14CCT01-GB53D,26-27,0.55,0.75,0.58,0.0859
14CCT01-GB53D,27-28,0.59,0.78,0.52,0.1221
14CCT01-GB53D,27-28a,,,,0.1177
14CCT01-GB53D,28-29,0.61,0.79,0.46,0.1337
14CCT01-GB53D,29-30,0.62,0.81,0.47,0.1566
14CCT01-GB53D,30-31,0.61,0.8,0.49,0.1372
14CCT01-GB53D,31-32,0.55,0.75,0.6,0.1021
14CCT01-GB53D,32-33,0.55,0.75,0.59,0.0967
14CCT01-GB53D,32-33a,,,,0.0964
14CCT01-GB53D,33-34,0.53,0.74,0.61,0.0869
,,,,,
,,,,,
14CCT01-GB60D,0-1,0.6,0.79,0.48,0.148
14CCT01-GB60D,2-Jan,0.58,0.78,0.51,0.097
14CCT01-GB60D,3-Feb,0.66,0.83,0.39,0.164
14CCT01-GB60D,4-Mar,0.58,0.78,0.51,0.108
14CCT01-GB60D,5-Apr,0.67,0.84,0.36,0.191
14CCT01-GB60D,6-May,0.81,0.92,0.19,0.378
14CCT01-GB60D,7-Jun,0.77,0.89,0.24,0.287
14CCT01-GB60D,6-7a,,,,0.298
14CCT01-GB60D,8-Jul,0.54,0.74,0.62,0.085
14CCT01-GB60D,9-Aug,0.5,0.72,0.62,0.06
14CCT01-GB60D,10-Sep,0.73,0.87,0.28,0.245
14CCT01-GB60D,11-Oct,0.67,0.84,0.38,0.162
14CCT01-GB60D,12-Nov,0.73,0.87,0.29,0.203
14CCT01-GB60D,13-Dec,0.78,0.9,0.22,0.311
14CCT01-GB60D,13-14,0.69,0.85,0.34,0.176
14CCT01-GB60D,14-15,0.74,0.88,0.27,0.222
14CCT01-GB60D,14-15a,,,,0.221
14CCT01-GB60D,15-16,0.8,0.91,0.19,0.35
14CCT01-GB60D,16-17,0.81,0.92,0.18,0.367
14CCT01-GB60D,17-18,0.78,0.9,0.22,0.288
14CCT01-GB60D,18-19,0.74,0.88,0.27,0.255
14CCT01-GB60D,19-20,0.78,0.9,0.23,0.297
14CCT01-GB60D,20-21,0.81,0.92,0.19,0.394
14CCT01-GB60D,21-22,0.81,0.92,0.18,0.372
14CCT01-GB60D,22-23,0.8,0.91,0.19,0.373
14CCT01-GB60D,23-24,0.77,0.9,0.22,0.282
14CCT01-GB60D,24-25,0.71,0.86,0.26,0.191
14CCT01-GB60D,25-26,0.63,0.81,0.33,0.13
14CCT01-GB60D,26-27,0.62,0.8,0.46,0.117
14CCT01-GB60D,26-27a,,,,0.11
14CCT01-GB60D,27-28,0.57,0.77,0.51,0.091
14CCT01-GB60D,28-29,0.57,0.76,0.55,0.093
14CCT01-GB60D,29-30,0.6,0.79,0.48,0.103
14CCT01-GB60D,30-31,0.59,0.78,0.51,0.103
14CCT01-GB60D,31-32,0.59,0.79,0.49,0.107
14CCT01-GB60D,32-33,0.55,0.76,0.59,0.095
14CCT01-GB60D,33-34,0.52,0.73,0.6,0.081
14CCT01-GB60D,34-35,0.54,0.75,0.62,0.101
14CCT01-GB60D,35-36,0.59,0.79,0.46,0.122
14CCT01-GB60D,36-37,0.6,0.79,0.49,0.115
14CCT01-GB60D,36-37a,,,,0.123
,,,,,
,,,,,
14CCT01-GB64D,0-1,0.59,0.78,0.5,0.138
14CCT01-GB64D,2-Jan,0.63,0.81,0.44,0.145
14CCT01-GB64D,3-Feb,0.58,0.77,0.52,0.114
14CCT01-GB64D,4-Mar,0.6,0.79,0.48,0.126
14CCT01-GB64D,5-Apr,0.62,0.8,0.47,0.142
14CCT01-GB64D,4-5a,,,,0.143
14CCT01-GB64D,6-May,0.59,0.79,0.51,0.125
14CCT01-GB64D,7-Jun,0.6,0.79,0.47,0.125
14CCT01-GB64D,8-Jul,0.64,0.82,0.4,0.174
14CCT01-GB64D,9-Aug,0.68,0.84,0.42,0.202
14CCT01-GB64D,10-Sep,0.7,0.85,0.34,0.213
14CCT01-GB64D,11-Oct,0.69,0.85,0.33,0.218
14CCT01-GB64D,12-Nov,0.7,0.86,0.33,0.222
14CCT01-GB64D,13-Dec,0.69,0.85,0.34,0.208
14CCT01-GB64D,13-14,0.69,0.85,0.34,0.177
14CCT01-GB64D,14-15,0.69,0.85,0.34,0.168
14CCT01-GB64D,14-15a,,,,0.17
14CCT01-GB64D,15-16,0.71,0.86,0.3,0.19
14CCT01-GB64D,16-17,0.7,0.86,0.32,0.185
14CCT01-GB64D,17-18,0.68,0.84,0.28,0.169
14CCT01-GB64D,18-19,0.66,0.83,0.43,0.141
14CCT01-GB64D,19-20,0.67,0.83,0.39,0.169
14CCT01-GB64D,20-21,0.63,0.81,0.43,0.15
14CCT01-GB64D,21-22,0.56,0.76,0.54,0.108
14CCT01-GB64D,22-23,0.58,0.77,0.52,0.107
14CCT01-GB64D,23-24,0.56,0.76,0.54,0.109
14CCT01-GB64D,24-25,0.53,0.74,0.63,0.089
14CCT01-GB64D,24-25a,,,,0.098
14CCT01-GB64D,25-26,0.55,0.75,0.59,0.092
14CCT01-GB64D,26-27,0.6,0.79,0.51,0.134
14CCT01-GB64D,27-28,0.63,0.81,0.43,0.156
14CCT01-GB64D,28-29,0.6,0.79,0.49,0.134
14CCT01-GB64D,29-30,0.58,0.78,0.52,0.119
14CCT01-GB64D,30-31,0.59,0.78,0.51,0.111
14CCT01-GB64D,31-32,0.57,0.77,0.55,0.098
14CCT01-GB64D,32-33,0.54,0.75,0.6,0.105
14CCT01-GB64D,33-34,0.53,0.74,0.61,0.098
14CCT01-GB64D,34-35,0.56,0.76,0.53,0.103
14CCT01-GB64D,34-35a,,,,0.1
14CCT01-GB64D,35-36,0.57,0.77,0.52,0.113
a = replicate analysis,,,,,
