"[Abbreviations: ID, indentification; cm, centimeter; g-water/g-wet, grams of water per grams of wet sediment; cm^3-voids/cm^3-wet, cubic centimeters of voids per cubic centimeter of wet sediment; g/cm^3, grams per cubic centimeter; g-OM/g-dry, grams of organic matter per gram of dry sediment; --, no data]",,,,,
Sample/Core ID,"Depth
 (cm)","Water 
Content 
(g-water/g-wet)",Porosity (cm^3-voids/cm^3-wet),"Dry Bulk 
Density 
(g/cm^3)","Loss On 
Ignition 
(g-OM/g-dry)"
16CCT03-GB236M,26-27a,,,,0.018
16CCT03-GB236M,27-28,0.20,0.38,1.47,0.019
16CCT03-GB236M,28-29,0.21,0.40,1.47,0.020
16CCT03-GB236M,29-30,0.21,0.39,1.47,0.021
16CCT03-GB236M,30-31,0.21,0.39,1.50,0.022
16CCT03-GB236M,31-32,0.21,0.40,1.46,0.022
16CCT03-GB236M,32-33,0.21,0.39,1.51,0.022
16CCT03-GB236M,32-33a,,,,0.021
16CCT03-GB236M,33-34,0.19,0.38,1.51,0.021
16CCT03-GB236M,34-35,0.19,0.37,1.55,0.021
16CCT03-GB236M,35-36,0.18,0.36,1.57,0.020
16CCT03-GB236M,36-37,0.18,0.35,1.62,0.019
,,,,,
,,,,,
16CCT03-GB237M,0-1,0.43,0.66,0.83,0.030
16CCT03-GB237M,1-2,0.41,0.64,0.90,0.032
16CCT03-GB237M,2-3,0.42,0.64,0.88,0.034
16CCT03-GB237M,3-4,0.41,0.63,0.89,0.033
16CCT03-GB237M,3-4a,,,,0.033
16CCT03-GB237M,4-5,0.39,0.62,0.95,0.031
16CCT03-GB237M,5-6,0.36,0.58,0.98,0.030
16CCT03-GB237M,6-7,0.35,0.57,1.02,0.028
16CCT03-GB237M,7-8,0.35,0.57,1.03,0.026
16CCT03-GB237M,8-9,0.32,0.54,1.12,0.025
16CCT03-GB237M,9-10,0.34,0.56,1.06,0.026
16CCT03-GB237M,10-11,0.34,0.57,1.07,0.027
16CCT03-GB237M,10-11a,,,,0.027
16CCT03-GB237M,11-12,0.34,0.56,1.05,0.027
16CCT03-GB237M,12-13,0.34,0.56,1.07,0.027
16CCT03-GB237M,13-14,0.32,0.55,1.10,0.027
16CCT03-GB237M,13-14a,,,,0.028
16CCT03-GB237M,14-15,0.34,0.56,1.06,0.027
16CCT03-GB237M,15-16,0.32,0.54,1.10,0.027
16CCT03-GB237M,16-17,0.33,0.55,1.10,0.026
16CCT03-GB237M,17-18,0.32,0.54,1.11,0.026
16CCT03-GB237M,17-18a,,,,0.027
16CCT03-GB237M,18-19,0.31,0.53,1.15,0.029
16CCT03-GB237M,19-20,0.33,0.55,1.08,0.029
16CCT03-GB237M,20-21,0.32,0.54,1.12,0.030
16CCT03-GB237M,21-22,0.34,0.57,1.03,0.039
16CCT03-GB237M,21-22a,,,,0.037
16CCT03-GB237M,22-23,0.40,0.63,0.90,0.051
16CCT03-GB237M,23-24,0.32,0.54,1.06,0.030
16CCT03-GB237M,24-25,0.33,0.55,1.11,0.034
16CCT03-GB237M,24-25a,,,,0.034
16CCT03-GB237M,25-26,0.32,0.54,1.03,0.034
16CCT03-GB237M,26-27,0.29,0.50,1.17,0.031
16CCT03-GB237M,27-28,0.29,0.51,1.15,0.031
16CCT03-GB237M,28-29,0.36,0.58,1.03,0.044
16CCT03-GB237M,29-30,0.35,0.57,1.00,0.041
,,,,,
,,,,,
16CCT03-GB238M,0-1,0.42,0.64,0.86,0.028
16CCT03-GB238M,1-2,0.35,0.57,0.90,0.022
16CCT03-GB238M,2-3,0.36,0.58,0.99,0.025
16CCT03-GB238M,2-3a,,,,0.025
16CCT03-GB238M,3-4,0.36,0.59,1.00,0.027
16CCT03-GB238M,4-5,0.36,0.59,0.99,0.028
16CCT03-GB238M,5-6,0.31,0.53,1.14,0.029
16CCT03-GB238M,6-7,0.36,0.59,0.99,0.030
16CCT03-GB238M,7-8,0.33,0.55,1.10,0.027
16CCT03-GB238M,8-9,0.27,0.48,1.25,0.025
16CCT03-GB238M,9-10,0.31,0.53,1.15,0.025
16CCT03-GB238M,9-10a,,,,0.024
16CCT03-GB238M,10-11,0.31,0.53,1.15,0.025
16CCT03-GB238M,11-12,0.30,0.52,1.18,0.025
16CCT03-GB238M,12-13,0.31,0.53,1.15,0.025
16CCT03-GB238M,13-14,0.30,0.52,1.18,0.026
16CCT03-GB238M,14-15,0.31,0.53,1.16,0.027
16CCT03-GB238M,14-15a,,,,0.027
16CCT03-GB238M,15-16,0.28,0.49,1.25,0.027
16CCT03-GB238M,16-17,0.30,0.51,1.17,0.025
16CCT03-GB238M,17-18,0.30,0.51,1.20,0.026
16CCT03-GB238M,18-19,0.28,0.49,1.25,0.024
16CCT03-GB238M,19-20,0.27,0.47,1.31,0.024
16CCT03-GB238M,19-20a,,,,0.025
16CCT03-GB238M,20-21,0.26,0.46,1.29,0.023
16CCT03-GB238M,21-22,0.27,0.47,1.29,0.023
16CCT03-GB238M,22-23,0.27,0.48,1.28,0.023
16CCT03-GB238M,23-24,0.27,0.48,1.28,0.023
16CCT03-GB238M,24-25,0.27,0.48,1.27,0.023
16CCT03-GB238M,24-25a,,,,0.024
16CCT03-GB238M,25-26,0.26,0.47,1.30,0.022
16CCT03-GB238M,26-27,0.24,0.44,1.37,0.020
16CCT03-GB238M,27-28,0.25,0.45,1.36,0.021
16CCT03-GB238M,28-29,0.25,0.45,1.33,0.023
16CCT03-GB238M,29-30,0.24,0.44,1.40,0.022
16CCT03-GB238M,29-30a,,,,0.023
16CCT03-GB238M,30-31,0.25,0.45,1.32,0.027
,,,,,
,,,,,
16CCT03-GB239M,0-1,0.33,0.55,1.13,0.015
16CCT03-GB239M,1-2,0.32,0.54,1.14,0.017
16CCT03-GB239M,1-2a,,,,0.017
16CCT03-GB239M,2-3,0.34,0.57,1.09,0.021
16CCT03-GB239M,3-4,0.30,0.52,1.16,0.017
16CCT03-GB239M,4-5,0.30,0.52,1.18,0.018
16CCT03-GB239M,5-6,0.30,0.52,1.21,0.020
16CCT03-GB239M,6-7,0.29,0.51,1.23,0.020
16CCT03-GB239M,7-8,0.27,0.48,1.28,0.018
16CCT03-GB239M,7-8a,,,,0.019
16CCT03-GB239M,8-9,0.25,0.46,1.33,0.018
16CCT03-GB239M,9-10,0.26,0.47,1.31,0.019
16CCT03-GB239M,10-11,0.28,0.49,1.24,0.020
16CCT03-GB239M,11-12,0.28,0.50,1.24,0.022
16CCT03-GB239M,12-13,0.29,0.50,1.22,0.021
16CCT03-GB239M,12-13a,,,,0.021
16CCT03-GB239M,13-14,0.28,0.50,1.23,0.022
16CCT03-GB239M,14-15,0.28,0.49,1.27,0.021
16CCT03-GB239M,15-16,0.27,0.48,1.28,0.020
16CCT03-GB239M,16-17,0.25,0.45,1.36,0.018
16CCT03-GB239M,17-18,0.25,0.46,1.35,0.019
16CCT03-GB239M,17-18a,,,,0.018
16CCT03-GB239M,18-19,0.27,0.48,1.30,0.019
16CCT03-GB239M,19-20,0.26,0.47,1.33,0.020
16CCT03-GB239M,20-21,0.26,0.47,1.33,0.019
16CCT03-GB239M,21-22,0.27,0.48,1.26,0.020
16CCT03-GB239M,22-23,0.27,0.48,1.37,0.020
16CCT03-GB239M,23-24,0.27,0.47,1.31,0.020
16CCT03-GB239M,23-24a,,,,0.021
16CCT03-GB239M,24-25,0.28,0.50,1.25,0.021
16CCT03-GB239M,25-26,0.28,0.50,1.26,0.022
16CCT03-GB239M,26-27,0.29,0.51,1.20,0.022
16CCT03-GB239M,27-28,0.27,0.48,1.29,0.022
16CCT03-GB239M,27-28a,,,,0.022
16CCT03-GB239M,28-29,0.27,0.48,1.25,0.022
16CCT03-GB239M,29-30,0.27,0.48,1.28,0.021
16CCT03-GB239M,30-31,0.26,0.47,1.30,0.020
16CCT03-GB239M,31-32,0.27,0.48,1.31,0.022
16CCT03-GB239M,31-32a,,,,0.021
16CCT03-GB239M,32-33,0.27,0.48,1.25,0.023
16CCT03-GB239M,33-34,0.26,0.47,1.32,0.021
16CCT03-GB239M,34-35,0.26,0.47,1.29,0.023
16CCT03-GB239M,35-36,0.26,0.47,1.32,0.022
16CCT03-GB239M,35-36a,,,,0.022
16CCT03-GB239M,36-37,0.26,0.47,1.30,0.022
,,,,,
,,,,,
16CCT03-GB240M,0-1,0.61,0.79,0.49,0.053
16CCT03-GB240M,1-2,0.44,0.67,0.82,0.029
16CCT03-GB240M,1-2a,,,,0.029
16CCT03-GB240M,2-3,0.46,0.68,0.78,0.031
16CCT03-GB240M,3-4,0.48,0.70,0.74,0.035
16CCT03-GB240M,4-5,0.45,0.67,0.80,0.033
16CCT03-GB240M,5-6,0.31,0.53,1.19,0.022
16CCT03-GB240M,6-7,0.37,0.60,0.99,0.027
16CCT03-GB240M,6-7a,,,,0.027
16CCT03-GB240M,7-8,0.38,0.60,0.98,0.030
16CCT03-GB240M,8-9,0.35,0.58,1.05,0.027
16CCT03-GB240M,9-10,0.33,0.56,1.08,0.024
16CCT03-GB240M,10-11,0.33,0.55,1.11,0.025
16CCT03-GB240M,11-12,0.35,0.58,1.03,0.027
16CCT03-GB240M,12-13,0.36,0.58,1.04,0.029
16CCT03-GB240M,13-14,0.36,0.59,1.01,0.031
16CCT03-GB240M,13-14a,,,,0.032
16CCT03-GB240M,14-15,0.35,0.58,1.00,0.029
16CCT03-GB240M,15-16,0.31,0.53,1.15,0.027
16CCT03-GB240M,16-17,0.34,0.56,1.09,0.027
16CCT03-GB240M,17-18,0.32,0.54,1.15,0.026
16CCT03-GB240M,18-19,0.31,0.53,1.16,0.026
16CCT03-GB240M,19-20,0.30,0.52,1.19,0.025
16CCT03-GB240M,20-21,0.28,0.49,1.26,0.023
16CCT03-GB240M,20-21a,,,,0.023
16CCT03-GB240M,21-22,0.26,0.47,1.30,0.024
,,,,,
,,,,,
16CCT03-GB244M,0-1,0.30,0.52,1.19,0.016
16CCT03-GB244M,1-2,0.28,0.49,1.28,0.016
16CCT03-GB244M,2-3,0.28,0.49,1.24,0.017
16CCT03-GB244M,2-3a,,,,0.018
16CCT03-GB244M,3-4,0.27,0.48,1.28,0.016
16CCT03-GB244M,4-5,0.26,0.47,1.33,0.016
16CCT03-GB244M,5-6,0.27,0.48,1.30,0.017
16CCT03-GB244M,6-7,0.26,0.47,1.32,0.018
16CCT03-GB244M,7-8,0.25,0.45,1.37,0.016
16CCT03-GB244M,7-8a,,,,0.017
16CCT03-GB244M,8-9,0.24,0.45,1.39,0.016
16CCT03-GB244M,9-10,0.24,0.44,1.42,0.016
16CCT03-GB244M,10-11,0.23,0.42,1.44,0.014
16CCT03-GB244M,11-12,0.26,0.47,1.30,0.017
16CCT03-GB244M,12-13,0.27,0.48,1.28,0.022
16CCT03-GB244M,13-14,0.27,0.48,1.31,0.021
16CCT03-GB244M,13-14a,,,,0.021
16CCT03-GB244M,14-15,0.25,0.45,1.38,0.018
16CCT03-GB244M,15-16,0.24,0.44,1.39,0.017
16CCT03-GB244M,16-17,0.23,0.42,1.44,0.015
16CCT03-GB244M,17-18,0.22,0.42,1.45,0.014
16CCT03-GB244M,18-19,0.21,0.40,1.49,0.014
16CCT03-GB244M,18-19a,,,,0.014
16CCT03-GB244M,19-20,0.21,0.40,1.45,0.015
16CCT03-GB244M,20-21,0.21,0.40,1.48,0.016
16CCT03-GB244M,21-22,0.22,0.41,1.46,0.018
16CCT03-GB244M,22-23,0.23,0.43,1.43,0.018
16CCT03-GB244M,23-24,0.22,0.41,1.45,0.017
16CCT03-GB244M,23-24a,,,,0.016
16CCT03-GB244M,24-25,0.21,0.40,1.48,0.016
16CCT03-GB244M,25-26,0.21,0.40,--,0.016
16CCT03-GB244M,26-27,0.22,0.41,1.47,0.019
16CCT03-GB244M,26-27a,,,,0.018
16CCT03-GB244M,27-28,0.21,0.40,1.44,0.019
16CCT03-GB244M,28-28.5,0.21,0.39,1.48,0.018
,,,,,
,,,,,
16CCT03-GB245M,0-1,0.49,0.70,0.72,0.040
16CCT03-GB245M,1-2,0.46,0.68,0.78,0.040
16CCT03-GB245M,1-2a,,,,0.040
16CCT03-GB245M,2-3,0.47,0.69,0.76,0.047
16CCT03-GB245M,3-4,0.45,0.67,0.79,0.047
16CCT03-GB245M,4-5,0.44,0.67,0.80,0.049
16CCT03-GB245M,5-6,0.43,0.65,0.82,0.051
16CCT03-GB245M,6-7,0.42,0.64,0.87,0.054
16CCT03-GB245M,7-8,0.41,0.64,0.86,0.055
16CCT03-GB245M,7-8a,,,,0.055
16CCT03-GB245M,8-9,0.41,0.63,0.88,0.057
16CCT03-GB245M,9-10,0.40,0.62,0.89,0.056
16CCT03-GB245M,10-11,0.38,0.61,0.94,0.054
16CCT03-GB245M,11-12,0.38,0.61,0.93,0.053
16CCT03-GB245M,12-13,0.38,0.61,0.93,0.055
16CCT03-GB245M,13-14,0.39,0.61,0.91,0.054
16CCT03-GB245M,13-14a,,,,0.055
16CCT03-GB245M,14-15,0.38,0.61,0.93,0.053
16CCT03-GB245M,15-16,0.37,0.59,0.96,0.051
16CCT03-GB245M,16-17,0.36,0.58,1.01,0.048
16CCT03-GB245M,17-18,0.33,0.55,1.06,0.043
16CCT03-GB245M,18-19,0.33,0.55,1.09,0.043
16CCT03-GB245M,18-19a,,,,0.043
16CCT03-GB245M,19-20,0.33,0.55,1.08,0.044
16CCT03-GB245M,20-21,0.32,0.54,1.12,0.043
16CCT03-GB245M,21-22,0.31,0.53,1.13,0.041
16CCT03-GB245M,22-23,0.30,0.51,1.19,0.038
16CCT03-GB245M,23-24,0.26,0.46,1.30,0.031
16CCT03-GB245M,23-24a,,,,0.029
16CCT03-GB245M,24-25,0.24,0.44,1.38,0.027
16CCT03-GB245M,25-26,0.24,0.43,1.37,0.026
,,,,,
,,,,,
16CCT03-GB254M,0-1,0.32,0.54,1.14,0.013
16CCT03-GB254M,1-2,0.24,0.44,1.38,0.010
16CCT03-GB254M,2-3,0.25,0.46,1.33,0.012
16CCT03-GB254M,3-4,0.28,0.50,1.21,0.018
16CCT03-GB254M,3-4a,,,,0.018
16CCT03-GB254M,4-5,0.29,0.51,1.23,0.020
16CCT03-GB254M,5-6,0.26,0.46,1.33,0.017
16CCT03-GB254M,6-7,0.25,0.46,1.35,0.017
16CCT03-GB254M,7-8,0.26,0.46,1.26,0.020
16CCT03-GB254M,8-9,0.27,0.48,1.30,0.023
16CCT03-GB254M,8-9a,,,,0.022
16CCT03-GB254M,9-10,0.27,0.48,1.28,0.025
16CCT03-GB254M,10-11,0.26,0.47,1.25,0.024
16CCT03-GB254M,11-12,0.28,0.49,1.26,0.025
16CCT03-GB254M,12-13,0.27,0.49,1.27,0.024
16CCT03-GB254M,12-13a,,,,0.022
16CCT03-GB254M,13-14,0.29,0.51,1.22,0.026
16CCT03-GB254M,14-15,0.29,0.50,1.23,0.026
16CCT03-GB254M,15-16,0.30,0.52,1.18,0.026
16CCT03-GB254M,16-17,0.30,0.52,1.18,0.029
16CCT03-GB254M,17-18,0.30,0.51,1.18,0.029
16CCT03-GB254M,18-19,0.30,0.52,1.17,0.028
16CCT03-GB254M,19-20,0.29,0.51,1.20,0.026
16CCT03-GB254M,20-21,0.28,0.50,1.23,0.027
16CCT03-GB254M,20-21a,,,,0.025
16CCT03-GB254M,21-22,0.27,0.48,1.26,0.023
16CCT03-GB254M,22-23,0.26,0.46,1.33,0.021
16CCT03-GB254M,22-23a,,,,0.021
16CCT03-GB254M,23-24,0.28,0.49,1.22,0.022
16CCT03-GB254M,24-25,0.27,0.49,1.24,0.021
16CCT03-GB254M,25-26,0.27,0.48,1.29,0.022
16CCT03-GB254M,26-27,0.29,0.50,1.23,0.025
16CCT03-GB254M,27-28,0.28,0.49,1.24,0.025
16CCT03-GB254M,28-29,0.26,0.47,1.30,0.023
16CCT03-GB254M,28-29a,,,,0.023
16CCT03-GB254M,29-30,0.26,0.46,1.35,0.022
16CCT03-GB254M,30-31,0.26,0.47,1.21,0.023
16CCT03-GB254M,31-32,0.26,0.46,1.32,0.022
16CCT03-GB254M,32-33,0.25,0.46,1.35,0.021
16CCT03-GB254M,32-33a,,,,0.021
16CCT03-GB254M,33-34,0.25,0.46,1.33,0.021
16CCT03-GB254M,34-35,0.26,0.46,1.32,0.021
16CCT03-GB254M,35-36,0.27,0.48,1.28,0.024
16CCT03-GB254M,36-37,0.26,0.47,1.31,0.024
16CCT03-GB254M,37-38,0.24,0.45,1.37,0.019
16CCT03-GB254M,38-39,0.24,0.44,1.39,0.019
16CCT03-GB254M,38-39a,,,,0.019
16CCT03-GB254M,39-40,0.23,0.42,1.41,0.019
16CCT03-GB254M,40-41,0.21,0.39,1.48,0.018
16CCT03-GB254M,41-42,0.21,0.40,1.45,0.019
,,,,,
,,,,,
16CCT03-GB250V,0-2,0.20,0.38,1.48,0.016
16CCT03-GB250V,12-14,0.21,0.41,1.43,0.021
16CCT03-GB250V,30-32,0.22,0.41,1.41,0.020
16CCT03-GB250V,42-44,0.39,0.62,0.88,0.096
16CCT03-GB250V,53-55,0.23,0.43,1.40,0.023
16CCT03-GB250V,72-74,0.23,0.43,1.35,0.036
16CCT03-GB250V,77-79,0.18,0.36,1.50,0.023
16CCT03-GB250V,77-79a,,,,0.023
16CCT03-GB250V,92-94,0.19,0.37,1.57,0.024
16CCT03-GB250V,112-114,0.18,0.35,1.50,0.020
16CCT03-GB250V,135-137,0.22,0.41,1.44,0.029
16CCT03-GB250V,163-165,0.24,0.44,1.30,0.034
16CCT03-GB250V,182-184,0.23,0.43,1.35,0.035
16CCT03-GB250V,200-202,0.20,0.39,1.44,0.025
16CCT03-GB250V,200-202a,,,,0.025
16CCT03-GB250V,217-219,0.24,0.44,1.39,0.033
,,,,,
,,,,,
16CCT03-GB255V,0-2,--,--,--,0.004
16CCT03-GB255V,20-22,0.19,0.36,1.31,0.009
16CCT03-GB255V,35-37,0.20,0.39,1.30,0.011
16CCT03-GB255V,51-53,0.23,0.42,1.46,0.015
16CCT03-GB255V,58-60,0.25,0.45,1.35,0.021
16CCT03-GB255V,58-60a,,,,0.022
16CCT03-GB255V,70-72,0.26,0.46,1.27,0.025
16CCT03-GB255V,90-92,0.24,0.45,1.25,0.023
16CCT03-GB255V,114-116,0.24,0.44,1.35,0.022
16CCT03-GB255V,132-134,0.26,0.47,1.32,0.028
16CCT03-GB255V,132-134a,,,,0.026
16CCT03-GB255V,149-151,0.27,0.48,1.35,0.036
16CCT03-GB255V,171-173,0.20,0.39,1.51,0.026
16CCT03-GB255V,194-196,0.18,0.36,1.54,0.021
16CCT03-GB255V,212-214,0.13,0.28,1.36,0.018
16CCT03-GB255V,236-239,0.10,0.21,1.47,0.013
16CCT03-GB255V,236-239a,,,,0.013
16CCT03-GB255V,255-257,0.10,0.21,1.31,0.017
a = replicate laboratory analysis,,,,,
,,,,,
