Site ID,Depth Interval Code,Bulk Density,Loss on Ignition,Percent TC,137Cs,137Cs error
24,22,0.174,0.140,5.3,0.692,0.063
24,23,0.221,0.107,3.2,0.553,0.061
24,24,0.155,0.123,3.7,0.840,0.063
24,25,0.169,0.158,5.7,0.617,0.058
24,26,0.143,0.183,6.9,0.312,0.048
24,27,0.082,0.154,6.8,0.083,0.033
24,28,0.237,0.174,7.4,0.279,0.028
24,29,0.100,0.190,10.0,.,.
25,1,0.102,0.234,9.4,0.058,0.022
25,2,0.236,0.159,5.9,0.093,0.032
25,3,0.252,0.108,6.6,0.136,0.027
25,4,0.325,0.111,6.1,0.128,0.020
25,5,0.105,0.285,10.2,0.062,0.029
25,6,0.105,0.308,12.8,0.185,0.033
25,7,0.060,0.333,13.7,0.234,0.070
25,8,0.116,0.313,14.2,0.229,0.049
25,9,0.097,0.297,14.3,0.203,0.052
25,10,0.105,0.355,14.1,0.362,0.053
25,11,0.085,0.334,14.4,0.342,0.046
25,12,0.087,0.343,15.6,0.402,0.067
25,13,0.052,0.313,13.9,0.500,0.072
25,14,0.144,0.407,24.0,0.749,0.074
25,15,0.072,0.335,13.9,0.967,0.082
25,16,0.254,0.252,20.3,1.124,0.087
25,17,0.227,0.105,3.9,1.166,0.069
25,18,0.287,0.073,1.6,0.548,0.050
25,19,0.082,0.375,16.9,1.045,0.061
25,20,0.258,0.133,3.9,3.774,0.129
25,21,0.101,0.339,15.3,1.172,0.064
25,22,0.123,0.261,11.9,1.115,0.067
25,23,0.101,0.438,12.5,0.376,0.058
25,24,0.156,0.287,12.6,0.323,0.047
25,25,0.124,0.306,12.5,0.155,0.046
25,26,0.104,0.311,12.9,0.173,0.045
25,27,0.093,0.247,11.4,0.215,0.044
25,28,0.111,0.312,11.0,.,.
25,29,0.076,0.350,13.6,.,.
