Site,Ecosystem,Emirate,plot,depth (cm),section length (cm),total core length (cm), % loss on ignition (LOI), % total carbon (TC),% inorganic carbon (IC),% organic carbon (OC),% nitrogen (N),proportion TC,proportion IC,proportion OC,proportion N,dry bulk density (g/cm3),TC density (g/cm3),IC density (g/cm3),OC density (g/cm3),TC (g/cm2),IC (g/cm2),OC (g/cm2),TC (g/m2),IC    (g/m2),OC (g/m2),TC (Mg/ha),IC  (Mg/ha),OC (Mg/ha),notes,,
Jubail Is. 3 yr,planted mangrove,Abu Dhabi,2,50-100,50,,2.546,9.61,8.58,1.04,0.000,0.096,0.086,0.010,0.00000,1.426,0.137,0.122,0.015,6.853,6.115,0.738,68531.2,61149.9,7381.4,685.31,611.50,73.81,,,
Jubail Is. 3 yr,planted mangrove,Abu Dhabi,3,0-15,15,71,2.790,9.94,9.34,0.60,0.088,0.099,0.093,0.006,0.00088,1.144,0.114,0.107,0.007,1.707,1.603,0.103,17066.0,16033.3,1032.7,170.66,160.33,10.33,,,
Jubail Is. 3 yr,planted mangrove,Abu Dhabi,3,15-30,15,,2.518,9.77,9.12,0.65,0.067,0.098,0.091,0.006,0.00067,1.336,0.131,0.122,0.009,1.958,1.829,0.130,19581.4,18285.0,1296.4,195.81,182.85,12.96,,,
Jubail Is. 3 yr,planted mangrove,Abu Dhabi,3,30-50,20,,2.267,9.77,9.57,0.20,0.000,0.098,0.096,0.002,0.00000,1.498,0.146,0.143,0.003,2.929,2.869,0.060,29286.7,28690.7,596.0,292.87,286.91,5.96,,,
Jubail Is. 3 yr,planted mangrove,Abu Dhabi,3,50-71,21,,2.298,8.57,8.21,0.36,0.000,0.086,0.082,0.004,0.00000,1.376,0.118,0.113,0.005,2.477,2.374,0.103,24771.1,23742.5,1028.6,247.71,237.42,10.29,,,
Jubail Is. 3 yr,planted mangrove,Abu Dhabi,4,0-15,15,67,3.271,9.60,9.15,0.45,0.091,0.096,0.092,0.004,0.00091,1.236,0.119,0.113,0.005,1.779,1.696,0.082,17787.1,16962.3,824.9,177.87,169.62,8.25,,,
Jubail Is. 3 yr,planted mangrove,Abu Dhabi,4,15-30,15,,2.541,9.68,9.26,0.42,0.071,0.097,0.093,0.004,0.00071,1.417,0.137,0.131,0.006,2.057,1.969,0.088,20569.5,19685.9,883.6,205.70,196.86,8.84,,,
Jubail Is. 3 yr,planted mangrove,Abu Dhabi,4,30-50,20,,2.628,10.15,9.47,0.68,0.000,0.102,0.095,0.007,0.00000,1.412,0.143,0.134,0.010,2.866,2.674,0.192,28664.3,26744.7,1919.6,286.64,267.45,19.20,,,
Jubail Is. 3 yr,planted mangrove,Abu Dhabi,4,50-67,17,,2.322,9.35,8.77,0.58,0.000,0.093,0.088,0.006,0.00000,1.433,0.134,0.126,0.008,2.277,2.137,0.140,22772.0,21370.3,1401.7,227.72,213.70,14.02,,,
Jubail Is. 3 yr,planted mangrove,Abu Dhabi,5,0-15,15,40,3.184,10.04,9.28,0.76,0.089,0.100,0.093,0.008,0.00089,1.153,0.116,0.107,0.009,1.735,1.604,0.131,17350.5,16036.1,1314.4,173.51,160.36,13.14,,,
Jubail Is. 3 yr,planted mangrove,Abu Dhabi,5,15-30,15,,2.546,9.36,8.84,0.53,0.068,0.094,0.088,0.005,0.00068,1.298,0.122,0.115,0.007,1.824,1.721,0.102,18236.5,17212.7,1023.8,182.37,172.13,10.24,,,
Jubail Is. 3 yr,planted mangrove,Abu Dhabi,5,30-40,10,,2.457,10.00,9.42,0.58,0.061,0.100,0.094,0.006,0.00061,1.427,0.143,0.134,0.008,1.428,1.345,0.083,14276.8,13449.9,826.9,142.77,134.50,8.27,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,1,0-15,15,100,6.024,11.15,9.06,2.09,0.092,0.111,0.091,0.021,0.00092,1.092,0.122,0.099,0.023,1.826,1.484,0.342,18263.7,14842.5,3421.3,182.64,148.42,34.21,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,1,15-30,15,,8.714,10.22,8.08,2.13,0.109,0.102,0.081,0.021,0.00109,1.331,0.136,0.108,0.028,2.040,1.614,0.426,20402.2,16138.6,4263.6,204.02,161.39,42.64,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,1,30-50,20,,4.469,10.85,9.94,0.91,0.111,0.109,0.099,0.009,0.00111,1.118,0.121,0.111,0.010,2.427,2.223,0.204,24268.7,22232.6,2036.1,242.69,222.33,20.36,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,1,50-100,50,,3.558,11.42,10.29,1.13,0.063,0.114,0.103,0.011,0.00063,1.109,0.127,0.114,0.013,6.333,5.704,0.629,63332.3,57040.7,6291.6,633.32,570.41,62.92,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,2,0-12,12,12,2.886,10.05,9.69,0.36,0.000,0.101,0.097,0.004,0.00000,1.400,0.141,0.136,0.005,1.689,1.628,0.061,16893.5,16280.6,612.9,168.94,162.81,6.13,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,3,0-15,15,100,4.574,10.53,9.22,1.31,0.000,0.105,0.092,0.013,0.00000,1.444,0.152,0.133,0.019,2.281,1.998,0.284,22814.4,19977.6,2836.9,228.14,199.78,28.37,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,3,15-30,15,,5.623,11.06,9.46,1.60,0.000,0.111,0.095,0.016,0.00000,1.461,0.162,0.138,0.023,2.424,2.073,0.350,24235.8,20731.4,3504.4,242.36,207.31,35.04,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,3,30-50,20,,3.070,11.88,10.59,1.29,0.033,0.119,0.106,0.013,0.00033,1.366,0.162,0.145,0.018,3.245,2.892,0.353,32446.1,28915.9,3530.2,324.46,289.16,35.30,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,3,50-100,50,,4.078,11.64,10.03,1.61,0.048,0.116,0.100,0.016,0.00048,1.109,0.129,0.111,0.018,6.455,5.560,0.895,64545.6,55599.4,8946.2,645.46,555.99,89.46,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,4,0-15,15,100,10.120,10.43,7.92,2.51,0.068,0.104,0.079,0.025,0.00068,1.279,0.133,0.101,0.032,2.002,1.520,0.482,20023.6,15198.8,4824.7,200.24,151.99,48.25,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,4,15-30,15,,4.853,10.94,9.64,1.29,0.000,0.109,0.096,0.013,0.00000,1.445,0.158,0.139,0.019,2.371,2.091,0.280,23709.8,20905.2,2804.6,237.10,209.05,28.05,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,4,30-50,20,,3.611,11.80,10.43,1.37,0.063,0.118,0.104,0.014,0.00063,1.286,0.152,0.134,0.018,3.036,2.683,0.353,30358.6,26831.1,3527.4,303.59,268.31,35.27,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,4,50-100,50,,4.446,11.74,10.02,1.72,0.073,0.117,0.100,0.017,0.00073,1.249,0.147,0.125,0.021,7.330,6.256,1.075,73303.9,62557.1,10746.9,733.04,625.57,107.47,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,5,0-15,15,100,7.199,10.10,8.23,1.87,0.089,0.101,0.082,0.019,0.00089,1.389,0.140,0.114,0.026,2.104,1.715,0.389,21043.9,17151.0,3892.9,210.44,171.51,38.93,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,5,15-30,15,,18.363,9.85,5.10,4.75,0.159,0.099,0.051,0.048,0.00159,1.137,0.112,0.058,0.054,1.681,0.870,0.811,16809.8,8702.7,8107.2,168.10,87.03,81.07,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,5,30-50,20,,4.307,11.60,10.25,1.35,0.104,0.116,0.103,0.013,0.00104,1.128,0.131,0.116,0.015,2.616,2.313,0.304,26163.1,23126.7,3036.3,261.63,231.27,30.36,,,
Jubail Is. 7 yr,planted mangrove,Abu Dhabi,5,50-100,50,,4.813,12.68,9.83,2.85,0.111,0.127,0.098,0.029,0.00111,1.087,0.138,0.107,0.031,6.896,5.344,1.552,68956.7,53438.8,15517.9,689.57,534.39,155.18,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,1,0-15,15,100,5.414,11.66,9.82,1.84,0.118,0.117,0.098,0.018,0.00118,1.159,0.135,0.114,0.021,2.026,1.706,0.320,20261.4,17060.0,3201.4,202.61,170.60,32.01,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,1,15-30,15,,3.379,11.59,10.54,1.05,0.063,0.116,0.105,0.010,0.00063,1.176,0.136,0.124,0.012,2.045,1.860,0.185,20447.1,18596.8,1850.3,204.47,185.97,18.50,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,1,30-50,20,,4.308,11.36,9.95,1.42,0.000,0.114,0.099,0.014,0.00000,0.891,0.101,0.089,0.013,2.025,1.772,0.253,20246.9,17718.2,2528.7,202.47,177.18,25.29,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,1,50-100,50,,5.011,11.34,9.73,1.61,0.088,0.113,0.097,0.016,0.00088,0.867,0.098,0.084,0.014,4.916,4.219,0.697,49163.5,42189.3,6974.2,491.63,421.89,69.74,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,2,0-15,15,100,6.064,11.99,9.77,2.21,0.107,0.120,0.098,0.022,0.00107,0.959,0.115,0.094,0.021,1.725,1.407,0.319,17253.5,14068.0,3185.6,172.54,140.68,31.86,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,2,15-30,15,,3.247,11.50,10.39,1.12,0.052,0.115,0.104,0.011,0.00052,1.175,0.135,0.122,0.013,2.028,1.831,0.197,20279.0,18313.1,1965.9,202.79,183.13,19.66,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,2,30-50,20,,4.997,11.43,9.64,1.79,0.091,0.114,0.096,0.018,0.00091,0.770,0.088,0.074,0.014,1.761,1.485,0.276,17607.2,14847.0,2760.2,176.07,148.47,27.60,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,2,50-100,50,,5.253,11.47,9.40,2.07,0.092,0.115,0.094,0.021,0.00092,0.828,0.095,0.078,0.017,4.749,3.892,0.857,47490.3,38923.4,8566.9,474.90,389.23,85.67,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,3,0-15,15,100,4.842,11.65,10.01,1.64,0.093,0.117,0.100,0.016,0.00093,1.102,0.128,0.110,0.018,1.926,1.654,0.272,19258.9,16543.9,2715.1,192.59,165.44,27.15,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,3,15-30,15,,3.849,11.51,10.32,1.20,0.000,0.115,0.103,0.012,0.00000,1.025,0.118,0.106,0.012,1.770,1.586,0.184,17696.6,15857.9,1838.7,176.97,158.58,18.39,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,3,30-50,20,,4.837,11.41,9.79,1.62,0.076,0.114,0.098,0.016,0.00076,0.866,0.099,0.085,0.014,1.975,1.695,0.281,19753.3,16946.3,2807.0,197.53,169.46,28.07,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,3,50-100,50,,5.150,11.89,10.07,1.82,0.079,0.119,0.101,0.018,0.00079,0.899,0.107,0.091,0.016,5.344,4.526,0.817,53437.6,45264.2,8173.5,534.38,452.64,81.73,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,4,0-15,15,100,2.989,12.11,10.56,1.55,0.027,0.121,0.106,0.016,0.00027,1.284,0.156,0.136,0.020,2.333,2.034,0.299,23332.1,20339.6,2992.5,233.32,203.40,29.93,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,4,15-30,15,,3.726,11.39,10.11,1.29,0.032,0.114,0.101,0.013,0.00032,0.907,0.103,0.092,0.012,1.551,1.376,0.175,15508.3,13755.1,1753.2,155.08,137.55,17.53,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,4,30-50,20,,4.872,11.55,9.68,1.87,0.087,0.115,0.097,0.019,0.00087,0.843,0.097,0.082,0.016,1.948,1.633,0.315,19481.3,16333.3,3148.0,194.81,163.33,31.48,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,4,50-100,50,,5.128,11.42,9.68,1.74,0.091,0.114,0.097,0.017,0.00091,0.903,0.103,0.087,0.016,5.154,4.369,0.784,51536.3,43692.4,7843.9,515.36,436.92,78.44,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,5,0-15,15,100,3.902,11.66,10.39,1.27,0.056,0.117,0.104,0.013,0.00056,1.297,0.151,0.135,0.016,2.269,2.022,0.247,22692.1,20221.1,2471.1,226.92,202.21,24.71,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,5,15-30,15,,3.696,11.68,10.38,1.30,0.000,0.117,0.104,0.013,0.00000,1.115,0.130,0.116,0.015,1.953,1.735,0.218,19534.2,17354.6,2179.6,195.34,173.55,21.80,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,5,30-50,20,,4.441,11.49,9.95,1.53,0.073,0.115,0.100,0.015,0.00073,0.879,0.101,0.087,0.013,2.019,1.749,0.270,20191.4,17493.6,2697.8,201.91,174.94,26.98,,,
Jubail Is. 10 yr,planted mangrove,Abu Dhabi,5,50-100,50,,4.770,11.42,9.65,1.76,0.000,0.114,0.097,0.018,0.00000,0.867,0.099,0.084,0.015,4.950,4.186,0.764,49502.1,41857.7,7644.3,495.02,418.58,76.44,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,1,0-15,15,65,2.532,9.95,9.62,0.33,0.000,0.100,0.096,0.003,0.00000,1.515,0.151,0.146,0.005,2.262,2.187,0.075,22622.6,21872.5,750.1,226.23,218.73,7.50,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,1,15-30,15,,2.431,10.63,9.84,0.79,0.000,0.106,0.098,0.008,0.00000,1.835,0.195,0.181,0.015,2.926,2.708,0.219,29264.8,27079.1,2185.8,292.65,270.79,21.86,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,1,30-65,35,,2.705,11.16,10.23,0.94,0.000,0.112,0.102,0.009,0.00000,1.821,0.203,0.186,0.017,7.114,6.518,0.596,71142.3,65178.0,5964.3,711.42,651.78,59.64,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,2,0-15,15,62,2.698,10.77,9.74,1.03,0.045,0.108,0.097,0.010,0.00045,1.564,0.168,0.152,0.016,2.526,2.284,0.242,25256.0,22838.8,2417.1,252.56,228.39,24.17,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,2,15-30,15,,2.512,10.55,9.55,1.00,0.000,0.106,0.096,0.010,0.00000,1.840,0.194,0.176,0.018,2.912,2.636,0.277,29124.2,26355.6,2768.6,291.24,263.56,27.69,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,2,30-62,32,,3.310,11.59,10.29,1.30,0.065,0.116,0.103,0.013,0.00065,1.517,0.176,0.156,0.020,5.628,4.999,0.629,56278.7,49986.7,6292.0,562.79,499.87,62.92,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,3,0-15,15,85,4.146,10.08,9.48,0.60,0.055,0.101,0.095,0.006,0.00055,1.466,0.148,0.139,0.009,2.217,2.085,0.131,22166.8,20852.7,1314.1,221.67,208.53,13.14,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,3,15-30,15,,2.961,11.36,11.11,0.25,0.047,0.114,0.111,0.003,0.00047,1.611,0.183,0.179,0.004,2.746,2.685,0.061,27460.8,26847.3,613.5,274.61,268.47,6.14,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,3,30-50,20,,2.777,10.97,10.75,0.22,0.021,0.110,0.107,0.002,0.00021,1.642,0.180,0.176,0.004,3.603,3.529,0.074,36025.9,35287.5,738.4,360.26,352.88,7.38,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,3,50-85,35,,2.956,11.59,10.69,0.90,0.051,0.116,0.107,0.009,0.00051,1.689,0.196,0.181,0.015,6.852,6.320,0.533,68524.4,63198.0,5326.4,685.24,631.98,53.26,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,4,0-15,15,97,3.058,11.04,9.95,1.09,0.052,0.110,0.099,0.011,0.00052,1.412,0.156,0.140,0.015,2.338,2.107,0.231,23375.3,21065.9,2309.4,233.75,210.66,23.09,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,4,15-30,15,,5.374,11.26,9.36,1.90,0.124,0.113,0.094,0.019,0.00124,1.129,0.127,0.106,0.021,1.907,1.585,0.322,19067.7,15851.6,3216.0,190.68,158.52,32.16,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,4,30-50,20,,3.763,10.62,10.17,0.45,0.071,0.106,0.102,0.005,0.00071,1.542,0.164,0.157,0.007,3.276,3.137,0.139,32757.8,31365.2,1392.7,327.58,313.65,13.93,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,4,50-97,47,,3.011,11.74,10.35,1.38,0.048,0.117,0.104,0.014,0.00048,1.575,0.185,0.163,0.022,8.691,7.666,1.025,86909.1,76656.5,10252.6,869.09,766.57,102.53,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,5,0-15,15,94,3.196,10.55,9.91,0.63,0.048,0.105,0.099,0.006,0.00048,1.271,0.134,0.126,0.008,2.011,1.890,0.121,20111.7,18903.2,1208.5,201.12,189.03,12.09,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,5,15-30,15,,3.332,10.86,10.55,0.31,0.057,0.109,0.105,0.003,0.00057,1.487,0.161,0.157,0.005,2.422,2.352,0.070,24223.1,23523.7,699.4,242.23,235.24,6.99,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,5,30-50,20,,2.958,11.34,10.26,1.08,0.048,0.113,0.103,0.011,0.00048,1.418,0.161,0.145,0.015,3.215,2.909,0.306,32147.2,29086.6,3060.7,321.47,290.87,30.61,,,
Abu al Abyad 3 yr,planted mangrove,Abu Dhabi,5,50-94,44,,2.614,10.91,10.15,0.76,0.000,0.109,0.101,0.008,0.00000,1.547,0.169,0.157,0.012,7.426,6.908,0.517,74255.9,69084.6,5171.3,742.56,690.85,51.71,,,
Abu al Abyad 10 yr,planted mangrove,Abu Dhabi,1,0-6,6,23,4.405,10.53,9.12,1.41,0.065,0.105,0.091,0.014,0.00065,1.175,0.124,0.107,0.017,0.743,0.643,0.099,7425.2,6432.9,992.3,74.25,64.33,9.92,,,
Abu al Abyad 10 yr,planted mangrove,Abu Dhabi,1,6-23,17,,4.869,11.00,9.06,1.94,0.049,0.110,0.091,0.019,0.00049,1.135,0.125,0.103,0.022,2.122,1.747,0.375,21217.4,17471.8,3745.6,212.17,174.72,37.46,,,
Abu al Abyad 10 yr,planted mangrove,Abu Dhabi,2,0-6,6,26,5.076,10.60,9.56,1.04,0.067,0.106,0.096,0.010,0.00067,1.214,0.129,0.116,0.013,0.772,0.696,0.076,7722.5,6962.2,760.4,77.23,69.62,7.60,,,
Abu al Abyad 10 yr,planted mangrove,Abu Dhabi,2,6-26,20,,4.411,11.47,9.87,1.60,0.081,0.115,0.099,0.016,0.00081,1.510,0.173,0.149,0.024,3.466,2.982,0.484,34658.8,29817.0,4841.8,346.59,298.17,48.42,,,
Abu al Abyad 10 yr,planted mangrove,Abu Dhabi,3,0-12,12,33,3.716,10.56,10.03,0.52,0.000,0.106,0.100,0.005,0.00000,1.785,0.188,0.179,0.009,2.262,2.150,0.112,22617.2,21495.3,1121.8,226.17,214.95,11.22,,,
Abu al Abyad 10 yr,planted mangrove,Abu Dhabi,3,12-33,21,,4.397,11.62,10.00,1.62,0.083,0.116,0.100,0.016,0.00083,1.540,0.179,0.154,0.025,3.758,3.234,0.524,37578.8,32343.4,5235.4,375.79,323.43,52.35,,,
Abu al Abyad 10 yr,planted mangrove,Abu Dhabi,4,0-14,14,34,4.050,10.64,9.76,0.89,0.000,0.106,0.098,0.009,0.00000,1.438,0.153,0.140,0.013,2.143,1.965,0.178,21427.8,19645.9,1781.9,214.28,196.46,17.82,,,
Abu al Abyad 10 yr,planted mangrove,Abu Dhabi,4,14-34,20,,4.142,11.40,10.48,0.92,0.000,0.114,0.105,0.009,0.00000,1.599,0.182,0.168,0.015,3.647,3.353,0.294,36469.2,33532.5,2936.7,364.69,335.33,29.37,,,
Abu al Abyad 10 yr,planted mangrove,Abu Dhabi,5,0-11,11,33,3.593,10.67,10.19,0.48,0.000,0.107,0.102,0.005,0.00000,1.514,0.161,0.154,0.007,1.776,1.696,0.080,17762.9,16962.7,800.2,177.63,169.63,8.00,,,
Abu al Abyad 10 yr,planted mangrove,Abu Dhabi,5,11-33,22,,4.033,11.46,10.34,1.12,0.078,0.115,0.103,0.011,0.00078,1.317,0.151,0.136,0.015,3.321,2.996,0.325,33208.2,29960.8,3247.4,332.08,299.61,32.47,,,
Abu al Abyad 5 yr,planted mangrove,Abu Dhabi,1,0-15,15,26,3.056,11.39,10.23,1.16,0.059,0.114,0.102,0.012,0.00059,1.628,0.185,0.166,0.019,2.780,2.497,0.284,27804.9,24966.5,2838.3,278.05,249.67,28.38,,,
Abu al Abyad 5 yr,planted mangrove,Abu Dhabi,1,15-26,11,,2.587,9.89,9.48,0.41,0.000,0.099,0.095,0.004,0.00000,1.683,0.166,0.160,0.007,1.831,1.756,0.075,18309.9,17555.8,754.0,183.10,175.56,7.54,,,
Abu al Abyad 5 yr,planted mangrove,Abu Dhabi,2,0-15,15,37,3.424,11.02,10.11,0.91,0.064,0.110,0.101,0.009,0.00064,1.480,0.163,0.150,0.013,2.445,2.244,0.201,24451.9,22438.6,2013.4,244.52,224.39,20.13,,,
Abu al Abyad 5 yr,planted mangrove,Abu Dhabi,2,15-37,22,,3.276,10.95,10.03,0.92,0.062,0.109,0.100,0.009,0.00062,1.566,0.171,0.157,0.014,3.772,3.454,0.317,37718.0,34544.0,3174.0,377.18,345.44,31.74,,,
Abu al Abyad 5 yr,planted mangrove,Abu Dhabi,3,0-15,15,31,4.303,10.77,9.71,1.06,0.000,0.108,0.097,0.011,0.00000,1.475,0.159,0.143,0.016,2.383,2.148,0.235,23830.3,21478.9,2351.4,238.30,214.79,23.51,,,
Abu al Abyad 5 yr,planted mangrove,Abu Dhabi,3,15-31,16,,3.418,11.18,9.27,1.90,0.064,0.112,0.093,0.019,0.00064,1.639,0.183,0.152,0.031,2.932,2.432,0.500,29316.0,24320.8,4995.2,293.16,243.21,49.95,,,
Abu al Abyad 5 yr,planted mangrove,Abu Dhabi,4,0-20,20,20,3.289,11.53,9.78,1.75,0.069,0.115,0.098,0.017,0.00069,1.484,0.171,0.145,0.026,3.421,2.902,0.519,34214.0,29024.0,5190.0,342.14,290.24,51.90,,,
Abu al Abyad 5 yr,planted mangrove,Abu Dhabi,5,0-15,15,29,3.663,11.04,9.77,1.27,0.077,0.110,0.098,0.013,0.00077,1.465,0.162,0.143,0.019,2.426,2.147,0.279,24258.0,21467.7,2790.3,242.58,214.68,27.90,,,
Abu al Abyad 5 yr,planted mangrove,Abu Dhabi,5,15-29,14,,4.701,12.38,10.01,2.37,0.115,0.124,0.100,0.024,0.00115,1.288,0.159,0.129,0.031,2.232,1.804,0.428,22318.4,18037.9,4280.5,223.18,180.38,42.81,,,
Marawah Is.,mangrove,Abu Dhabi,1,0-15,15,27,10.443,11.45,7.35,4.10,0.249,0.115,0.074,0.041,0.00249,0.821,0.094,0.060,0.034,1.410,0.905,0.505,14104.2,9051.6,5052.5,141.04,90.52,50.53,,,
Marawah Is.,mangrove,Abu Dhabi,1,15-27,12,,13.132,14.62,8.71,5.90,0.252,0.146,0.087,0.059,0.00252,0.618,0.090,0.054,0.037,1.085,0.647,0.438,10846.8,6465.6,4381.1,108.47,64.66,43.81,,,
Marawah Is.,mangrove,Abu Dhabi,2,0-15,15,24,6.497,10.69,9.43,1.26,0.102,0.107,0.094,0.013,0.00102,1.263,0.135,0.119,0.016,2.024,1.786,0.238,20241.8,17859.7,2382.1,202.42,178.60,23.82,,,
Marawah Is.,mangrove,Abu Dhabi,2,15-24,9,,10.637,12.22,8.71,3.52,0.170,0.122,0.087,0.035,0.00170,0.933,0.114,0.081,0.033,1.027,0.731,0.296,10269.4,7313.4,2955.9,102.69,73.13,29.56,,,
Marawah Is.,mangrove,Abu Dhabi,3,0-15,15,27,35.060,14.38,0.22,14.15,0.755,0.144,0.002,0.142,0.00755,0.317,0.046,0.001,0.045,0.685,0.011,0.674,6845.6,106.5,6739.1,68.46,1.07,67.39,,,
Marawah Is.,mangrove,Abu Dhabi,3,15-27,12,,34.817,13.50,0.23,13.27,0.679,0.135,0.002,0.133,0.00679,0.376,0.051,0.001,0.050,0.608,0.010,0.598,6083.9,103.7,5980.2,60.84,1.04,59.80,,,
Marawah Is.,mangrove,Abu Dhabi,4,0-15,15,21,7.767,10.05,8.06,1.99,0.152,0.100,0.081,0.020,0.00152,1.095,0.110,0.088,0.022,1.650,1.323,0.326,16496.6,13232.6,3264.0,164.97,132.33,32.64,,,
Marawah Is.,mangrove,Abu Dhabi,4,15-21,6,,8.951,12.42,9.09,3.34,0.167,0.124,0.091,0.033,0.00167,0.673,0.084,0.061,0.022,0.502,0.367,0.135,5015.0,3668.4,1346.6,50.15,36.68,13.47,,,
Marawah Is.,mangrove,Abu Dhabi,5,0-15,15,29,22.325,10.65,2.67,7.97,0.524,0.106,0.027,0.080,0.00524,0.435,0.046,0.012,0.035,0.694,0.174,0.520,6943.0,1743.3,5199.7,69.43,17.43,52.00,,,
Marawah Is.,mangrove,Abu Dhabi,5,15-29,14,,14.115,12.57,6.92,5.65,0.259,0.126,0.069,0.057,0.00259,0.547,0.069,0.038,0.031,0.963,0.530,0.433,9634.2,5304.3,4329.9,96.34,53.04,43.30,,,
Marawah Is.,mangrove,Abu Dhabi,6,0-15,15,26,11.184,10.23,6.12,4.11,0.252,0.102,0.061,0.041,0.00252,0.821,0.084,0.050,0.034,1.260,0.753,0.507,12596.0,7530.1,5065.8,125.96,75.30,50.66,,,
Marawah Is.,mangrove,Abu Dhabi,6,15-26,11,,8.978,11.02,7.83,3.19,0.138,0.110,0.078,0.032,0.00138,0.975,0.107,0.076,0.031,1.182,0.839,0.343,11818.6,8392.9,3425.7,118.19,83.93,34.26,,,
Bu Tinah Janoub,mangrove,Abu Dhabi,1,0-15,15,35,9.082,12.47,9.72,2.75,0.164,0.125,0.097,0.027,0.00164,0.746,0.093,0.073,0.021,1.396,1.088,0.308,13955.7,10878.7,3077.0,139.56,108.79,30.77,,,
Bu Tinah Janoub,mangrove,Abu Dhabi,1,15-35,20,,4.267,11.77,10.87,0.90,0.071,0.118,0.109,0.009,0.00071,1.326,0.156,0.144,0.012,3.121,2.881,0.240,31206.5,28808.4,2398.1,312.07,288.08,23.98,,,
Bu Tinah Janoub,mangrove,Abu Dhabi,2,0-15,15,33,6.076,11.63,10.23,1.40,0.099,0.116,0.102,0.014,0.00099,1.076,0.125,0.110,0.015,1.876,1.650,0.226,18759.8,16497.9,2261.9,187.60,164.98,22.62,,,
Bu Tinah Janoub,mangrove,Abu Dhabi,2,15-33,18,,7.065,12.69,11.32,1.37,0.144,0.127,0.113,0.014,0.00144,0.718,0.091,0.081,0.010,1.640,1.463,0.177,16400.0,14627.8,1772.2,164.00,146.28,17.72,,,
Bu Tinah Janoub,mangrove,Abu Dhabi,3,0-12,12,12,13.028,13.17,9.76,3.41,0.284,0.132,0.098,0.034,0.00284,0.498,0.066,0.049,0.017,0.786,0.582,0.204,7861.7,5824.4,2037.3,78.62,58.24,20.37,,,
