Source,Site,Core,Habitat_type,Latitude,Longitude,Elevation,accuracy_flag,Country,Year_collected,U_depth_m,U_deco_depth_m,L_depth_m,L_deco_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH5A,Saltmarsh,52.89751464,-4.11913893,1.528,direct from dataset,UK,2017,0.98,1.117475165,1,1.137673941,Elemental analyser,0.4047887,1.918642125,1.884615385,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH5A,Saltmarsh,52.89751464,-4.11913893,1.528,direct from dataset,UK,2017,1.1,1.23845631,1.12,1.258577842,Elemental analyser,0.1375555,1.701437769,0.94637224,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH9A,Saltmarsh,52.89845047,-4.116736663,1.464,direct from dataset,UK,2017,0,0,0.02,0.024262896,Elemental analyser,0.5036777,1.025600558,2.642998028,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH9A,Saltmarsh,52.89845047,-4.116736663,1.464,direct from dataset,UK,2017,0.04,0.048461468,0.06,0.072391881,Elemental analyser,0.4694333,1.160721799,2.061454687,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH9A,Saltmarsh,52.89845047,-4.116736663,1.464,direct from dataset,UK,2017,0.08,0.096071262,0.1,0.119515644,Elemental analyser,0.4041758,1.241402834,2.237654321,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH9A,Saltmarsh,52.89845047,-4.116736663,1.464,direct from dataset,UK,2017,0.12,0.142740036,0.14,0.165758489,Elemental analyser,0.1379174,1.167155385,1.059654631,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH9A,Saltmarsh,52.89845047,-4.116736663,1.464,direct from dataset,UK,2017,0.26,0.300225167,0.28,0.32212686,Elemental analyser,0.1066858,1.663768511,0.981932443,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH9A,Saltmarsh,52.89845047,-4.116736663,1.464,direct from dataset,UK,2017,0.62,0.680923728,0.64,0.701503422,Elemental analyser,0.0574249,1.997593803,0,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH9A,Saltmarsh,52.89845047,-4.116736663,1.464,direct from dataset,UK,2017,0.88,0.946151577,0.9,0.966397372,Elemental analyser,0.08721695,2.044470617,0.856987198,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH9A,Saltmarsh,52.89845047,-4.116736663,1.464,direct from dataset,UK,2017,0.96,1.027044513,0.98,1.047233277,Elemental analyser,0.1994894,1.732009516,1.789187087,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH9A,Saltmarsh,52.89845047,-4.116736663,1.464,direct from dataset,UK,2017,1.04,1.107730264,1.06,1.12787523,Elemental analyser,0.1008725,1.852882468,0.890782339,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH9A,Saltmarsh,52.89845047,-4.116736663,1.464,direct from dataset,UK,2017,1.08,1.148010937,1.1,1.168137977,Elemental analyser,0.1833245,1.770794669,1.19379228,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH9A,Saltmarsh,52.89845047,-4.116736663,1.464,direct from dataset,UK,2017,1.1,1.168137977,1.12,1.188256903,Elemental analyser,0.4412012,1.629435375,2.1484375,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH9A,Saltmarsh,52.89845047,-4.116736663,1.464,direct from dataset,UK,2017,1.18,1.248570016,1.2,1.268661347,Elemental analyser,0.1068745,1.966905419,0.825471698,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH12A,Saltmarsh,52.89782494,-4.117205389,1.856,direct from dataset,UK,2017,0.02,0.026251047,0.04,0.052069012,Elemental analyser,2.0486354,0.729104432,6.782945736,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH12A,Saltmarsh,52.89782494,-4.117205389,1.856,direct from dataset,UK,2017,0.06,0.077482807,0.08,0.102520512,Elemental analyser,3.3953891,0.81585111,NA,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH12A,Saltmarsh,52.89782494,-4.117205389,1.856,direct from dataset,UK,2017,0.1,0.127208251,0.12,0.151570338,Elemental analyser,2.3590789,1.113841271,6.148491879,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH12A,Saltmarsh,52.89782494,-4.117205389,1.856,direct from dataset,UK,2017,0.14,0.175629394,0.16,0.199406472,Elemental analyser,0.9569515,1.173453454,2.8,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH12A,Saltmarsh,52.89782494,-4.117205389,1.856,direct from dataset,UK,2017,0.24,0.292066916,0.26,0.314702093,Elemental analyser,0.4161985,1.571557656,1.878669276,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH12A,Saltmarsh,52.89782494,-4.117205389,1.856,direct from dataset,UK,2017,0.38,0.447084268,0.4,0.468676203,Elemental analyser,2.0333846,1.713057649,1.012855473,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH12A,Saltmarsh,52.89782494,-4.117205389,1.856,direct from dataset,UK,2017,0.48,0.554012236,0.5,0.575122892,Elemental analyser,0.3941825,1.607470001,2.104845115,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH12A,Saltmarsh,52.89782494,-4.117205389,1.856,direct from dataset,UK,2017,0.58,0.658845716,0.6,0.679620594,Elemental analyser,1.7414989,1.219532243,5.088757396,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH12A,Saltmarsh,52.89782494,-4.117205389,1.856,direct from dataset,UK,2017,0.64,0.721012599,0.66,0.741636946,Elemental analyser,0.7591478,1.499074305,3.067243413,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH12A,Saltmarsh,52.89782494,-4.117205389,1.856,direct from dataset,UK,2017,0.74,0.823729703,0.76,0.844165295,Elemental analyser,0.2516983,1.654640757,2.216943785,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH12A,Saltmarsh,52.89782494,-4.117205389,1.856,direct from dataset,UK,2017,0.78,0.864570627,0.8,0.884947801,Elemental analyser,1.2831932,1.344047346,4.963164017,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH12A,Saltmarsh,52.89782494,-4.117205389,1.856,direct from dataset,UK,2017,0.88,0.966212055,0.9,0.9864752,Elemental analyser,0.3814153,1.79443368,3.298409003,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH12A,Saltmarsh,52.89782494,-4.117205389,1.856,direct from dataset,UK,2017,1.12,1.208403484,1.14,1.228514393,Elemental analyser,0.2700994,1.563538879,1.734312019,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH13A,Saltmarsh,52.89573285,-4.117476255,2.032,direct from dataset,UK,2017,0.02,0.021997017,0.04,0.043856736,Elemental analyser,4.6384416,0.573685596,12.99480208,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH13A,Saltmarsh,52.89573285,-4.117476255,2.032,direct from dataset,UK,2017,0.06,0.065611661,0.08,0.087267695,Elemental analyser,4.0750168,0.807921386,9.441233141,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH13A,Saltmarsh,52.89573285,-4.117476255,2.032,direct from dataset,UK,2017,0.1,0.108830412,0.12,0.13030507,Elemental analyser,3.4316662,0.915599596,9.620649198,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH13A,Saltmarsh,52.89573285,-4.117476255,2.032,direct from dataset,UK,2017,0.24,0.257562938,0.26,0.278545517,Elemental analyser,2.2739953,1.615815803,0.621118012,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH13A,Saltmarsh,52.89573285,-4.117476255,2.032,direct from dataset,UK,2017,0.34,0.361952481,0.36,0.38268771,Elemental analyser,2.194221,1.685597473,1.190948789,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH13A,Saltmarsh,52.89573285,-4.117476255,2.032,direct from dataset,UK,2017,0.54,0.567694716,0.56,0.588106369,Elemental analyser,1.086157,1.894592247,0.732741998,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH13A,Saltmarsh,52.89573285,-4.117476255,2.032,direct from dataset,UK,2017,0.76,0.791140267,0.78,0.811357763,Elemental analyser,0.0380488,1.88211853,0.9765625,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH13A,Saltmarsh,52.89573285,-4.117476255,2.032,direct from dataset,UK,2017,1.04,1.073286397,1.06,1.093382959,Elemental analyser,0.0825237,1.696866844,0.466019417,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.02,0.025595879,0.04,0.051041055,Elemental analyser,7.7717638,0.56045221,16.37289463,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.04,0.051041055,0.06,0.076087732,Elemental analyser,6.547601,0.86516606,9.777082519,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.06,0.076087732,0.08,0.100765074,Elemental analyser,0.9914417,1.11089983,3.279968762,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.08,0.100765074,0.1,0.125100111,Elemental analyser,0.9717275,1.301076733,2.914171657,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.1,0.125100111,0.12,0.149117893,Elemental analyser,0.9152034,1.202061034,5.344418052,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.12,0.149117893,0.14,0.172841638,Elemental analyser,0.3500087,1.238203251,2.02020202,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.16,0.196292866,0.18,0.21949152,Elemental analyser,0.1712277,1.259192362,1.07185391,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.2,0.242456084,0.22,0.26520369,Elemental analyser,0.7211732,1.510302809,3.172085646,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.24,0.287750216,0.26,0.310110378,Elemental analyser,0.1285933,1.274118105,0.988205934,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.28,0.332297814,0.3,0.354325165,Elemental analyser,0.178799,1.483297251,1.19047619,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.32,0.376204147,0.34,0.397945618,Elemental analyser,0.1230752,1.497360334,1.048543689,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.34,0.397945618,0.36,0.419559641,Elemental analyser,1.9029555,1.512989373,0.815533981,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.38,0.441055544,0.4,0.462441971,Elemental analyser,0.0592245,1.425682639,0.741897696,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.42,0.483726934,0.44,0.504917859,Elemental analyser,0.1132345,1.703660715,0.626959248,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,0.5,0.567992742,0.52,0.588871478,Elemental analyser,0.0664246,1.484382668,0.830696203,NA
Pagès et al (in preparation),Glaslyn-Dwyryd estuary,HARLECH18A,Saltmarsh,52.89538927,-4.118050621,2.639,direct from dataset,UK,2017,1,1.078204091,1.02,1.098335522,Elemental analyser,0.8703454,1.975324035,0.877192982,NA
