Type,Site,Latitude_N,Longitude_E,accuracy_flag,Dominant_halophyte_species-genera,Age_status,Sampling_date_year-month-date,SOC_percent,SOC_accuracy,DBD_g_cm3,DBD_accuracy,SOC_stock_MgC_ha,SOCD_accuracy,Source,Ref_number,Reference_detail
Mangrove,"Yingluo Bay, Guangdong",21.5627,109.7594,exact,A. corniculatum,nd,nd,2.43,reported,0.94,reported,210.4,sampled to 1m,Wang et al 2019,6,"6. Wang, G., Guan, D., Xiao, L., & Peart, M. R. (2019). Ecosystem carbon storage affected by intertidal locations and climatic factors in three estuarine mangrove forests of South China. Regional Environmental Change, 19, 1701-1712."
Mangrove,"Yingluo Bay, Guangdong",21.5319,109.7804,exact,A. marina,nd,nd,1.8,reported,1.03,reported,166.7,sampled to 1m,Wang et al 2019,6,"6. Wang, G., Guan, D., Xiao, L., & Peart, M. R. (2019). Ecosystem carbon storage affected by intertidal locations and climatic factors in three estuarine mangrove forests of South China. Regional Environmental Change, 19, 1701-1712."
Mangrove,"Yingluo Bay, Guangdong",21.535,109.7787,estimated from map,A. marina,nd,201204,1.91,reported,1.02,estimated from SOC,187.5,sampled to 1m,Wang et al 2013,19,"19. Wang, G., Guan, D., Peart, M. R., Chen, Y., & Peng, Y. (2013). Ecosystem carbon stocks of mangrove forest in Yingluo Bay, Guangdong Province of South China. Forest Ecology and Management, 310, 539-546."
Mangrove,"Yingluo Bay, Guangdong",21.5664,109.7675,estimated from map,S. apetala,nd,201204,2.07,reported,1.01,estimated from SOC,184.4,sampled to 1m,Wang et al 2013,19,"19. Wang, G., Guan, D., Peart, M. R., Chen, Y., & Peng, Y. (2013). Ecosystem carbon stocks of mangrove forest in Yingluo Bay, Guangdong Province of South China. Forest Ecology and Management, 310, 539-546."
Mangrove,"Yingluo Bay, Guangdong",21.5643,109.7595,estimated from map,A. corniculatum + K. obovata,nd,201204,3.16,reported,0.88,estimated from SOC,261.8,sampled to 1m,Wang et al 2013,19,"19. Wang, G., Guan, D., Peart, M. R., Chen, Y., & Peng, Y. (2013). Ecosystem carbon stocks of mangrove forest in Yingluo Bay, Guangdong Province of South China. Forest Ecology and Management, 310, 539-546."
Mangrove,"Yingluo Bay, Guangdong",21.5696,109.7566,estimated from map,B. gymnorrhiz,nd,201204,2.76,reported,0.93,estimated from SOC,279.5,sampled to 1m,Wang et al 2013,19,"19. Wang, G., Guan, D., Peart, M. R., Chen, Y., & Peng, Y. (2013). Ecosystem carbon stocks of mangrove forest in Yingluo Bay, Guangdong Province of South China. Forest Ecology and Management, 310, 539-546."
Mangrove,"Yingluo Bay, Guangdong",21.5527,109.7723,estimated from map,R. stylosa,nd,201204,4.37,reported,0.81,estimated from SOC,276.2,sampled to 1m,Wang et al 2013,19,"19. Wang, G., Guan, D., Peart, M. R., Chen, Y., & Peng, Y. (2013). Ecosystem carbon stocks of mangrove forest in Yingluo Bay, Guangdong Province of South China. Forest Ecology and Management, 310, 539-546."
Mangrove,"Yingluo Bay,  Guangdong",21.5007,109.7856,exact,nd,nd,200905,0.67,extrapolated,1.4,estimated from SOC,82.3,sampled to 1m,Gan et al 2013,20,"20. Gan, H., Lin, J. Liang, K., & Xia, Z. (2013). Selected trace metals (As, Cd and Hg) distribution and contamination in the coastal wetland sediment of the northern Beibu Gulf, South China Sea. Marine Pollution Bulletin, 66, 252-258."
Mangrove,"Yingluo Bay, Guangdong",21.5667,109.75,exact,K. obovata,nd,201407,2.38,reported,1.08,reported,248.1,sampled to 1m,Gao et al 2019,5,"5. Gao, Y., Zhou, J., Wang, L., Guo, J., Feng, J., Wu, H., & Lin, G. (2019). Distribution patterns and controlling factors for the soil organic carbon in four mangrove forests of China. Global Ecology and Conservation, 17, e00575."
Mangrove,"Yingluo Bay, Guangdong",21.5667,109.75,exact,A. corniculatum,nd,201407,3.04,reported,1.02,reported,297.7,sampled to 1m,Gao et al 2019,5,"5. Gao, Y., Zhou, J., Wang, L., Guo, J., Feng, J., Wu, H., & Lin, G. (2019). Distribution patterns and controlling factors for the soil organic carbon in four mangrove forests of China. Global Ecology and Conservation, 17, e00575."
Mangrove,"Yingluo Bay, Guangdong",21.5659,109.7693,estimated from map,A. corniculatum,60 (Natural),201007,1.01,extrapolated,1,extrapolated to 1m,94.6,extrapolated to 1m,Lu et al 2014,21,"21. Lu, W., Yang, S. Y., Chen, L., Wang, W., Du, X., Wang, C., ... & Lin, G. (2014). Changes in carbon pool and stand structure of a native subtropical mangrove forest after inter-planting with exotic species Sonneratia apetala. PloS ONE, 9, e91238."
Mangrove,"Yingluo Bay, Guangdong",21.5663,109.7693,estimated from map,A. corniculatum+S. apetala,11 (Restored),201007,1.26,extrapolated,0.99,extrapolated to 1m,115.6,extrapolated to 1m,Lu et al 2014,21,"21. Lu, W., Yang, S. Y., Chen, L., Wang, W., Du, X., Wang, C., ... & Lin, G. (2014). Changes in carbon pool and stand structure of a native subtropical mangrove forest after inter-planting with exotic species Sonneratia apetala. PloS ONE, 9, e91238."
Mangrove,"Shankou, Guangxi",21.4894,109.7676,estimated from map,A. corniculatum +K. obovata,seaward fringe,201105,1,extrapolated,1.29,extrapolated to 1m,117.9,extrapolated to 1m,Xia et al 2015,22,"22. Xia, P., Meng, X. Li, Z. Feng, A. Yin, P. & Zhang, Y. (2015). Mangrove development and its response to environmental change in Yingluo Bay (SW China) during the last 150 years: Stable carbon isotopes and mangrove pollen. Organic Geochemistry, 85, 32-41."
Mangrove,"Shankou, Guangxi",21.4951,109.7648,estimated from map,B. gymnorrhiza,central area,201105,0.65,extrapolated,1.52,extrapolated to 1m,75.9,extrapolated to 1m,Xia et al 2015,22,"22. Xia, P., Meng, X. Li, Z. Feng, A. Yin, P. & Zhang, Y. (2015). Mangrove development and its response to environmental change in Yingluo Bay (SW China) during the last 150 years: Stable carbon isotopes and mangrove pollen. Organic Geochemistry, 85, 32-41."
Mangrove,"Shankou, Guangxi",21.4801,109.7602,estimated from map,A. corniculatum+R. stylosa,nd,200704,0.69,extrapolated,1.39,extrapolated to 1m,90.4,extrapolated to 1m,Xia et al 2017,23,"23. Xia, P., Meng, X., Li, Z., & Feng, A. (2017).Organic carbon isotope and pollen evidence for mangrove development and response to human activity in Guangxi (Southwest China) over the last 140 years. Acta Oceanologica Sinica, 36, 11-21."
Mangrove,"Zulin, Guangxi",21.4358,109.2865,exact,A. marina,nd,20170810,0.46,reported,1.83,estimated from SOC,58.4,sampled to 1m,Li 2018,24,"24. Li, M. (2018). Carbon storage in the seagrass sediments of Guangxi. China. Nanning Normal University, Master Dissertation. (in Chinese). "
Mangrove,"Lianzhou Bay, Guangxi",21.5665,109.0987,exact,A. corniculatum+ K. obovata,nd,20170822,0.21,reported,1.89,estimated from SOC,27.7,sampled to 1m,Li 2018,24,"24. Li, M. (2018). Carbon storage in the seagrass sediments of Guangxi. China. Nanning Normal University, Master Dissertation. (in Chinese). "
Mangrove,"Nanliu River Estuary, Guangxi",21.5784,109.0987,exact,nd,nd,200905,1.47,reported,1.14,estimated from SOC,128.8,sampled to 1m,Gan et al 2013,20,"20. Gan, H., Lin, J. Liang, K., & Xia, Z. (2013). Selected trace metals (As, Cd and Hg) distribution and contamination in the coastal wetland sediment of the northern Beibu Gulf, South China Sea. Marine Pollution Bulletin, 66, 252-258."
Mangrove,"Maowei Sea, Guangxi ",21.8667,108.5739,estimated from map,K. obovata,nd,201105,2.34,extrapolated,1.04,estimated from SOC,236.4,extrapolated to 1m,Meng et al 2016,25,"25. Meng, X., Xia, P., Li, Z., & Meng, D. (2016). Mangrove degradation and response to anthropogenic disturbance in the Maowei Sea (SW China) since 1926 AD: Mangrove-derived OM and pollen. Organic Geochemistry, 98, 166-175. "
Mangrove,"Maowei Sea (Xiandao Island), Guangxi ",21.7421,108.5975,estimated from map,nd,nd,nd,2.17,extrapolated,1.31,extrapolated to 1m,280.5,extrapolated to 1m,Tao et al 2020a,26,"26. Tao, Y., Huang X., Wang, X., Zhong, Q., & Kang Z. (2020). Spatial distribution of soil carbon and nitrogen stocks in mangrove wetland of Xiandao Park and Shajing, Guangxi. Progress in Fishery Sciences, 2020, 41. (in Chinese)"
Mangrove,"Maowei Sea (Shajing Village), Guangxi ",21.8575,108.891,estimated from map,nd,nd,nd,1.05,extrapolated,1.44,extrapolated to 1m,147.8,extrapolated to 1m,Tao et al 2020a,26,"26. Tao, Y., Huang X., Wang, X., Zhong, Q., & Kang Z. (2020). Spatial distribution of soil carbon and nitrogen stocks in mangrove wetland of Xiandao Park and Shajing, Guangxi. Progress in Fishery Sciences, 2020, 41. (in Chinese)"
Mangrove,"Zhenzhu Bay (Jiaodong), Guangxi",21.6047,108.1974,exact,A. corniculatum+ A. marina+ K. obovata+ B. gymnorrhiza?,nd,20170808,1,reported,1.32,estimated from SOC,86.9,sampled to 1m,Li 2018,24,"24. Li, M. (2018). Carbon storage in the seagrass sediments of Guangxi. China. Nanning Normal University, Master Dissertation. (in Chinese). "
Mangrove,"Zhenzhu Bay (Guiming), Guangxi",21.5862,108.179,exact,A. marina+ K. obovata,nd,20170809,1.62,reported,1.11,estimated from SOC,154.9,sampled to 1m,Li 2018,24,"24. Li, M. (2018). Carbon storage in the seagrass sediments of Guangxi. China. Nanning Normal University, Master Dissertation. (in Chinese). "
Mangrove,"Zhenzhu Bay, Guangxi",21.6133,108.2313,estimated from map,K. obovata,nd,nd,1.63,reported,1.36,reported,219.5,sampled to 1m,Tao et al 2020b,27,"27. Tao, Y., Huang X., Wang, X., & Zhong, Q. (2020). Soil carbon and nitrogen storages in three mangrove stands of Zhenzhu Gulf, Guangxi. Guihaia, 40, 285-292. (in Chinese)"
Mangrove,"Zhenzhu Bay, Guangxi",21.6135,108.2344,estimated from map,B. gymnorrhiza,nd,nd,1.39,reported,1.32,reported,172.3,sampled to 1m,Tao et al 2020b,27,"27. Tao, Y., Huang X., Wang, X., & Zhong, Q. (2020). Soil carbon and nitrogen storages in three mangrove stands of Zhenzhu Gulf, Guangxi. Guihaia, 40, 285-292. (in Chinese)"
Mangrove,"Zhenzhu Bay, Guangxi",21.6124,108.2372,estimated from map,K. obovata+B. gymnorrhiza,nd,nd,1.65,reported,1.3,reported,207.4,sampled to 1m,Tao et al 2020b,27,"27. Tao, Y., Huang X., Wang, X., & Zhong, Q. (2020). Soil carbon and nitrogen storages in three mangrove stands of Zhenzhu Gulf, Guangxi. Guihaia, 40, 285-292. (in Chinese)"
Mangrove,"Dongzhai Bay, Hainan",20.002,110.541,exact,R. stylosa,nd,201309-201312,2.03,reported,1.38,reported,261.5,sampled to 1m,Huang et al 2017,28,"28. Huang, X., Wang, X., Li, X., Xin, K., Yan, Z., Sun, Y., & Bellerby, R. G. (2017). Distribution pattern and influencing factors for soil organic carbon (SOC) in mangrove communities at Dongzhaigang, China. Journal of Coastal Research, 34, 434-442."
Mangrove,"Dongzhai Bay, Hainan",19.975,110.543,exact,A. corniculatum,nd,201309-201312,1.97,reported,1.48,reported,291.5,sampled to 1m,Huang et al 2017,28,"28. Huang, X., Wang, X., Li, X., Xin, K., Yan, Z., Sun, Y., & Bellerby, R. G. (2017). Distribution pattern and influencing factors for soil organic carbon (SOC) in mangrove communities at Dongzhaigang, China. Journal of Coastal Research, 34, 434-442."
Mangrove,"Dongzhai Bay, Hainan",19.971,110.551,exact,Ceriops tagal,nd,201309-201312,1.7,reported,1.49,reported,273,sampled to 1m,Huang et al 2017,28,"28. Huang, X., Wang, X., Li, X., Xin, K., Yan, Z., Sun, Y., & Bellerby, R. G. (2017). Distribution pattern and influencing factors for soil organic carbon (SOC) in mangrove communities at Dongzhaigang, China. Journal of Coastal Research, 34, 434-442."
Mangrove,"Dongzhai Bay, Hainan",19.978,110.563,exact,A. marina,nd,201309-201312,1.74,reported,1.51,reported,249.5,sampled to 1m,Huang et al 2017,28,"28. Huang, X., Wang, X., Li, X., Xin, K., Yan, Z., Sun, Y., & Bellerby, R. G. (2017). Distribution pattern and influencing factors for soil organic carbon (SOC) in mangrove communities at Dongzhaigang, China. Journal of Coastal Research, 34, 434-442."
Mangrove,"Dongzhai Bay, Hainan",19.93,110.589,exact,S. apetala,nd,201309-201312,1.49,reported,1.38,reported,205.5,sampled to 1m,Huang et al 2017,28,"28. Huang, X., Wang, X., Li, X., Xin, K., Yan, Z., Sun, Y., & Bellerby, R. G. (2017). Distribution pattern and influencing factors for soil organic carbon (SOC) in mangrove communities at Dongzhaigang, China. Journal of Coastal Research, 34, 434-442."
Mangrove,"Dongzhai Bay, Hainan",19.929,110.589,exact,B. sexangula,nd,201309-201312,2.09,reported,1.08,reported,220,sampled to 1m,Huang et al 2017,28,"28. Huang, X., Wang, X., Li, X., Xin, K., Yan, Z., Sun, Y., & Bellerby, R. G. (2017). Distribution pattern and influencing factors for soil organic carbon (SOC) in mangrove communities at Dongzhaigang, China. Journal of Coastal Research, 34, 434-442."
Mangrove,"Dongzhai Bay, Hainan",nd,nd,no location,R. stylosa,nd,201510-201610,1.2,reported,1.19,reported,132.6,sampled to 1m,Xiong et al 2018,29,"29. Xiong, Y., Liao, B., Proffitt, E., Guan, W., Sun, Y., Wang, F., & Liu, X. (2018). Soil carbon storage in mangroves is primarily controlled by soil properties: A study at Dongzhai Bay, China. Science of the Total Environment, 619, 1226-1235."
Mangrove,"Dongzhai Bay, Hainan",nd,nd,no location,A. marina,nd,201510-201610,0.79,reported,1.21,reported,88.2,sampled to 1m,Xiong et al 2018,29,"29. Xiong, Y., Liao, B., Proffitt, E., Guan, W., Sun, Y., Wang, F., & Liu, X. (2018). Soil carbon storage in mangroves is primarily controlled by soil properties: A study at Dongzhai Bay, China. Science of the Total Environment, 619, 1226-1235."
Mangrove,"Dongzhai Bay, Hainan",nd,nd,no location,C. tagal,nd,201510-201610,1.64,reported,1.13,reported,151.8,sampled to 1m,Xiong et al 2018,29,"29. Xiong, Y., Liao, B., Proffitt, E., Guan, W., Sun, Y., Wang, F., & Liu, X. (2018). Soil carbon storage in mangroves is primarily controlled by soil properties: A study at Dongzhai Bay, China. Science of the Total Environment, 619, 1226-1235."
Mangrove,"Dongzhai Bay, Hainan",nd,nd,no location,B. sexangula,nd,201510-201610,2.62,reported,1.01,reported,201.8,sampled to 1m,Xiong et al 2018,29,"29. Xiong, Y., Liao, B., Proffitt, E., Guan, W., Sun, Y., Wang, F., & Liu, X. (2018). Soil carbon storage in mangroves is primarily controlled by soil properties: A study at Dongzhai Bay, China. Science of the Total Environment, 619, 1226-1235."
Mangrove,"Dongzhai Bay, Hainan",19.947,110.5811,estimated from map,B. sexangula,nd,nd,4.34,reported,0.8,estimated from SOCD and SOC,341.1,sampled to 1m,Wang et al 2019,6,"6. Wang, G., Guan, D., Xiao, L., & Peart, M. R. (2019). Ecosystem carbon storage affected by intertidal locations and climatic factors in three estuarine mangrove forests of South China. Regional Environmental Change, 19, 1701-1712."
Mangrove,"Dongzhai Bay, Hainan",19.9157,110.599,estimated from map,B. gymnorrhiza,nd,nd,3.85,reported,0.82,estimated from SOCD and SOC,330.6,sampled to 1m,Wang et al 2019,6,"6. Wang, G., Guan, D., Xiao, L., & Peart, M. R. (2019). Ecosystem carbon storage affected by intertidal locations and climatic factors in three estuarine mangrove forests of South China. Regional Environmental Change, 19, 1701-1712."
Mangrove,"Dongzhai Bay, Hainan",19.9804,110.5992,estimated from map,R. stylosa,nd,nd,2.72,reported,0.94,estimated from SOCD and SOC,248.5,sampled to 1m,Wang et al 2019,6,"6. Wang, G., Guan, D., Xiao, L., & Peart, M. R. (2019). Ecosystem carbon storage affected by intertidal locations and climatic factors in three estuarine mangrove forests of South China. Regional Environmental Change, 19, 1701-1712."
Mangrove,"Dongzhai Bay, Hainan",19.9266,110.6193,estimated from map,K. obovata,nd,nd,4.27,reported,0.8,estimated from SOCD and SOC,343.3,sampled to 1m,Wang et al 2019,6,"6. Wang, G., Guan, D., Xiao, L., & Peart, M. R. (2019). Ecosystem carbon storage affected by intertidal locations and climatic factors in three estuarine mangrove forests of South China. Regional Environmental Change, 19, 1701-1712."
Mangrove,"Dongzhai Bay, Hainan",19.9366,110.5974,estimated from map,A. corniculatum,nd,nd,3.3,reported,0.88,estimated from SOCD and SOC,280.9,sampled to 1m,Wang et al 2019,6,"6. Wang, G., Guan, D., Xiao, L., & Peart, M. R. (2019). Ecosystem carbon storage affected by intertidal locations and climatic factors in three estuarine mangrove forests of South China. Regional Environmental Change, 19, 1701-1712."
Mangrove,"Dongzhai Bay, Hainan",20.0071,110.5563,estimated from map,A. marina,nd,nd,2.49,reported,0.94,estimated from SOCD and SOC,243.6,sampled to 1m,Wang et al 2019,6,"6. Wang, G., Guan, D., Xiao, L., & Peart, M. R. (2019). Ecosystem carbon storage affected by intertidal locations and climatic factors in three estuarine mangrove forests of South China. Regional Environmental Change, 19, 1701-1712."
Mangrove,"Dongzhai Bay, Hainan",nd,nd,no location,C. tagal,nd,nd,1.7,reported,1.4,estimated from SOCD and SOC,267.7,sampled to 1m,Xin et al 2014,30,"30. Xin, K., Yan, K., Li, Z., Hu, J., & Qiu, M. (2014). Distribution of soil organic carbon in mangrove wetlands of Hainan Island and its influencing factors. Acta Pedologica Sinica, 51, 1078-1086. (in Chinese)."
Mangrove,"Dongzhai Bay, Hainan",nd,nd,no location,A. corniculatum,nd,nd,1.97,reported,1.46,estimated from SOCD and SOC,291.7,sampled to 1m,Xin et al 2014,30,"30. Xin, K., Yan, K., Li, Z., Hu, J., & Qiu, M. (2014). Distribution of soil organic carbon in mangrove wetlands of Hainan Island and its influencing factors. Acta Pedologica Sinica, 51, 1078-1086. (in Chinese)."
Mangrove,"Dongzhai Bay, Hainan",nd,nd,no location,B. sexangula,nd,nd,2.09,reported,1.08,estimated from SOCD and SOC,220,sampled to 1m,Xin et al 2014,30,"30. Xin, K., Yan, K., Li, Z., Hu, J., & Qiu, M. (2014). Distribution of soil organic carbon in mangrove wetlands of Hainan Island and its influencing factors. Acta Pedologica Sinica, 51, 1078-1086. (in Chinese)."
Mangrove,"Dongzhai Bay, Hainan",nd,nd,no location,S. apetala,nd,nd,1.49,reported,1.37,estimated from SOCD and SOC,205.9,sampled to 1m,Xin et al 2014,30,"30. Xin, K., Yan, K., Li, Z., Hu, J., & Qiu, M. (2014). Distribution of soil organic carbon in mangrove wetlands of Hainan Island and its influencing factors. Acta Pedologica Sinica, 51, 1078-1086. (in Chinese)."
Mangrove,"Dongzhai Bay, Hainan",nd,nd,no location,A. marina,nd,nd,1.73,reported,1.52,estimated from SOCD and SOC,249.3,sampled to 1m,Xin et al 2014,30,"30. Xin, K., Yan, K., Li, Z., Hu, J., & Qiu, M. (2014). Distribution of soil organic carbon in mangrove wetlands of Hainan Island and its influencing factors. Acta Pedologica Sinica, 51, 1078-1086. (in Chinese)."
Mangrove,"Dongzhai Bay, Hainan",nd,nd,no location,R. stylosa,nd,nd,2.03,reported,1.38,estimated from SOCD and SOC,261.5,sampled to 1m,Xin et al 2014,30,"30. Xin, K., Yan, K., Li, Z., Hu, J., & Qiu, M. (2014). Distribution of soil organic carbon in mangrove wetlands of Hainan Island and its influencing factors. Acta Pedologica Sinica, 51, 1078-1086. (in Chinese)."
Mangrove,"Dongzhai Bay, Hainan",19.85,110.5,exact,R. stylosa,nd,201312,1.21,reported,1.12,reported,83.6,sampled to 1m,Gao et al 2019,5,"5. Gao, Y., Zhou, J., Wang, L., Guo, J., Feng, J., Wu, H., & Lin, G. (2019). Distribution patterns and controlling factors for the soil organic carbon in four mangrove forests of China. Global Ecology and Conservation, 17, e00575."
Mangrove,"Dongzhai Bay, Hainan",19.85,110.5,exact,R. stylosa+ C. tagal,nd,201312,1,reported,1.06,reported,86.5,sampled to 1m,Gao et al 2019,5,"5. Gao, Y., Zhou, J., Wang, L., Guo, J., Feng, J., Wu, H., & Lin, G. (2019). Distribution patterns and controlling factors for the soil organic carbon in four mangrove forests of China. Global Ecology and Conservation, 17, e00575."
Mangrove,"Qianglan Harbor, Hainan",nd,nd,no location,B. sexangula+ Hibiscus tiliaceus,nd,201303,4.41,reported,1.09,reported,483.9,sampled to 1m,Lin et al 2015,31,"31. Lin, H., Zeng, S., Wang, G., Liang, D., Yu, Z., & Li, M. (2015). Carbon density and allocation of Bruguiera sexangula and Hibiscus tiliaceus mangrove ecosystem in Qinglan Harbor of Wenchang City, Hainan Province. Journal of Central South University of Forestry & Technology, 35, 99-103. (in Chinese)."
Mangrove,"Qianglan Harbor, Hainan",nd,nd,no location,C. tagal,nd,nd,16.76,reported,1.05,estimated from SOCD and SOC,1490.5,sampled to 1m,Xin et al 2014,30,"30. Xin, K., Yan, K., Li, Z., Hu, J., & Qiu, M. (2014). Distribution of soil organic carbon in mangrove wetlands of Hainan Island and its influencing factors. Acta Pedologica Sinica, 51, 1078-1086. (in Chinese)."
Mangrove,"Qianglan Harbor, Hainan",nd,nd,no location,A. corniculatum,nd,nd,3.88,reported,1.35,estimated from SOCD and SOC,506.4,sampled to 1m,Xin et al 2014,30,"30. Xin, K., Yan, K., Li, Z., Hu, J., & Qiu, M. (2014). Distribution of soil organic carbon in mangrove wetlands of Hainan Island and its influencing factors. Acta Pedologica Sinica, 51, 1078-1086. (in Chinese)."
Mangrove,"Qianglan Harbor, Hainan",nd,nd,no location,B. sexangula,nd,nd,6.71,reported,1.26,estimated from SOCD and SOC,851.2,sampled to 1m,Xin et al 2014,30,"30. Xin, K., Yan, K., Li, Z., Hu, J., & Qiu, M. (2014). Distribution of soil organic carbon in mangrove wetlands of Hainan Island and its influencing factors. Acta Pedologica Sinica, 51, 1078-1086. (in Chinese)."
Mangrove,"Qinglan Harbor, Hainan",19.25,110.0333,exact,B. sexangula,nd,201312,4.92,reported,0.9,reported,447.3,sampled to 1m,Gao et al 2019,5,"5. Gao, Y., Zhou, J., Wang, L., Guo, J., Feng, J., Wu, H., & Lin, G. (2019). Distribution patterns and controlling factors for the soil organic carbon in four mangrove forests of China. Global Ecology and Conservation, 17, e00575."
Mangrove,"Sanya Bay, Hainan",nd,nd,no location,S. apetala,nd,nd,1.27,reported,1.71,estimated from SOCD and SOC,219.5,sampled to 1m,Xin et al 2014,30,"30. Xin, K., Yan, K., Li, Z., Hu, J., & Qiu, M. (2014). Distribution of soil organic carbon in mangrove wetlands of Hainan Island and its influencing factors. Acta Pedologica Sinica, 51, 1078-1086. (in Chinese)."
Mangrove,"Sanya Bay, Hainan",nd,nd,no location,A. marina,nd,nd,1.47,reported,1.42,estimated from SOCD and SOC,208.6,sampled to 1m,Xin et al 2014,30,"30. Xin, K., Yan, K., Li, Z., Hu, J., & Qiu, M. (2014). Distribution of soil organic carbon in mangrove wetlands of Hainan Island and its influencing factors. Acta Pedologica Sinica, 51, 1078-1086. (in Chinese)."
Mangrove,"Sanya Bay, Hainan",nd,nd,no location,R. stylosa,nd,nd,1.42,reported,1.37,estimated from SOCD and SOC,191.2,sampled to 1m,Xin et al 2014,30,"30. Xin, K., Yan, K., Li, Z., Hu, J., & Qiu, M. (2014). Distribution of soil organic carbon in mangrove wetlands of Hainan Island and its influencing factors. Acta Pedologica Sinica, 51, 1078-1086. (in Chinese)."
Mangrove,"Sibi Bay, Hainan",nd,nd,no location,A. marina,nd,nd,9.2,reported,0.84,estimated from SOCD and SOC,765.8,sampled to 1m,Xin et al 2014,30,"30. Xin, K., Yan, K., Li, Z., Hu, J., & Qiu, M. (2014). Distribution of soil organic carbon in mangrove wetlands of Hainan Island and its influencing factors. Acta Pedologica Sinica, 51, 1078-1086. (in Chinese)."
Mangrove,"Xinying Bay, Hainan",nd,nd,no location,R. stylosa,nd,nd,2.06,reported,1.53,estimated from SOCD and SOC,302,sampled to 1m,Xin et al 2014,30,"30. Xin, K., Yan, K., Li, Z., Hu, J., & Qiu, M. (2014). Distribution of soil organic carbon in mangrove wetlands of Hainan Island and its influencing factors. Acta Pedologica Sinica, 51, 1078-1086. (in Chinese)."
Mangrove,"Dongzhai Bay, Qinglan Harbor, Tielu Harbor, Danzhou, Lingao; Hainan",nd,nd,no location,nd,nd,201507-201508,2.72,reported,1.32,reported,354,sampled to 1m,Gao et al 2018,32,"32. Gao, T., Ding, D., Guan, W., & Liao, B. (2018). Carbon stocks of coastal wetland ecosystems on Hainan Island, China. Polish Journal of Environmental Studies, 27(3):1061-1069."
Salt marsh,"Shuangtaizi River Estuary, Liaoning",40.8417,121.5667,exact,S. salsa,Nature,201309,1.35,reported,1.06,estimated from SOC,136.4,sampled to 1m,Wan et al 2017,33,"33. Wan, S., Liu, X., & Mu, X. (2017). Vertical distribution characteristics of carbon and nitrogen contents in soils of 4 types of wetlands in Shuangtai River Estuary. Wetland Science, 15, 629-634. (in Chinese)."
Salt marsh,"Shuangtaizi River Estuary, Liaoning",40.8533,121.5886,exact,S. salsa,Degraded,201309,0.88,reported,1.16,estimated from SOC,94.9,sampled to 1m,Wan et al 2017,33,"33. Wan, S., Liu, X., & Mu, X. (2017). Vertical distribution characteristics of carbon and nitrogen contents in soils of 4 types of wetlands in Shuangtai River Estuary. Wetland Science, 15, 629-634. (in Chinese)."
Salt marsh,"Shuangtaizi River Estuary, Liaoning",41.0135,121.777,estimated from map,P. australis,nd,200810,2.05,extrapolated,1,estimated from SOC,192.2,extrapolated to 1m,Luo et al 2010,34,"34. Luo, X., Zhang, S., & Dun, M. (2010). Spatial distribution and seasonal dynamics characteristics of carbon, nitrogen and phosphorus in the Liaohe Estuary wetlands. Periodical of Ocean University Of China, 40, 97-104. (in Chinese)."
Salt marsh,"Yellow River Delta, Shandong",38.23,117.95,exact,P. australis,nd,201310,0.69,reported,1.21,reported,81.6,sampled to 1m,Lu et al 2019,35,"35. Lu, W., Liu, C., Zhang, Y., Yu, C., Cong, P., Ma, J., & Xiao, J. (2019). Carbon fluxes and stocks in a carbonate-rich chenier plain. Agricultural and Forest Meteorology, 275: 159-169."
Salt marsh,"Yellow River Delta, Shandong",38.23,117.95,exact,S. salsa,nd,201310,0.51,reported,1.27,reported,63.6,sampled to 1m,Lu et al 2019,35,"35. Lu, W., Liu, C., Zhang, Y., Yu, C., Cong, P., Ma, J., & Xiao, J. (2019). Carbon fluxes and stocks in a carbonate-rich chenier plain. Agricultural and Forest Meteorology, 275: 159-169."
Salt marsh,"Yellow River Delta, Shandong",37.7672,119.1603,exact,S. salsa,nd,201205,0.37,extrapolated,1.35,estimated from SOC,48.7,extrapolated to 1m,Wang et al 2016,36,"36. Wang, Q., Song, J., Li, X., Yuan, H., Li, N., & Cao, L. (2016). Environmental evolution records reflected by radionuclides in the sediment of coastal wetlands: A case study in the Yellow River Estuary wetland. Journal of Environmental Radioactivity, 162, 87-96."
Salt marsh,"Yellow River Delta, Shandong",nd,nd,no location,P. australis,nd,nd,nd,NA,nd,NA,43.4,sampled to 1m,Bai et al 2016,37,"37. Bai, J., Zhang, G., Zhao, Q., Lu, Q., Jia, J., Cui, B., & Liu, X. (2016). Depth-distribution patterns and control of soil organic carbon in coastal salt marshes with different plant covers. Scientific Reports, 6, 34835-34835."
Salt marsh,"Yellow River Delta, Shandong",nd,nd,no location,S. salsa ,nd,nd,nd,NA,nd,NA,40.6,sampled to 1m,Bai et al 2016,37,"37. Bai, J., Zhang, G., Zhao, Q., Lu, Q., Jia, J., Cui, B., & Liu, X. (2016). Depth-distribution patterns and control of soil organic carbon in coastal salt marshes with different plant covers. Scientific Reports, 6, 34835-34835."
Salt marsh,"Yellow River Delta, Shandong",nd,nd,no location,T. chinensis + S. salus,nd,nd,nd,NA,nd,NA,37.7,sampled to 1m,Bai et al 2016,37,"37. Bai, J., Zhang, G., Zhao, Q., Lu, Q., Jia, J., Cui, B., & Liu, X. (2016). Depth-distribution patterns and control of soil organic carbon in coastal salt marshes with different plant covers. Scientific Reports, 6, 34835-34835."
