"","Site.name","SiteNum","U_depth","L_depth","mid_point","BD_final","OC_final","CD_calc"
"1682","PE16 La Salina Mudflat","M0402",0.09,1.2,0.645,1.32,0.49,0.006
"1683","PE16 La Salina Fringe","M0403",0,0.09,0.045,1.21,0.72,0.009
"1684","PE16 La Salina Fringe","M0403",0.09,0.46,0.275,1.01,1.42,0.014
"1685","PE16 La Salina Fringe","M0403",0.46,1.21,0.835,0.78,3.39,0.026
"1686","PE16 La Salina Fringe","M0403",1.21,1.47,1.34,1.38,0.35,0.005
"1687","PE16 La Salina Receding/Dead","M0404",0,0.05,0.025,1.07,2.47,0.026
"1688","PE16 La Salina Receding/Dead","M0404",0.05,0.45,0.25,1.07,1.17,0.013
"1689","PE16 La Salina Receding/Dead","M0404",0.45,0.76,0.605,0.62,6.41,0.04
"1690","PE16 La Salina Receding/Dead","M0404",0.76,1.25,1.005,1.44,0.26,0.004
"1691","PE16 Sur Mudflat","M0405",0,0.4,0.2,1.47,0.7,0.01
"1692","PE16 Sur Mudflat","M0405",0.4,1.2,0.8,1.18,0.82,0.01
"1693","PE16 Sur Mudflat","M0405",1.2,1.73,1.465,0.79,6.42,0.051
"1694","PE16 Sur Mudflat","M0405",1.73,2,1.865,1.06,1.2,0.013
"1695","PE16 Sur Upper Mudflat","M0406",0,0.08,0.04,1.22,1.11,0.014
"1696","PE16 Sur Upper Mudflat","M0406",0.08,0.45,0.265,1.38,0.37,0.005
"1697","PE16 Sur Upper Mudflat","M0406",0.45,1.18,0.815,0.75,3.74,0.028
"1698","PE16 Sur Upper Mudflat","M0406",1.18,1.6,1.39,0.72,4.39,0.031
"1699","PE16 Sur Upper Mudflat","M0406",1.6,1.82,1.71,0.82,2.83,0.023
"1700","PE16 Sur Upper Mudflat","M0406",1.82,2.2,2.01,0.97,2.65,0.026
"1701","PE16 Sur Upper Mudflat","M0406",2.2,2.26,2.23,0.65,5.66,0.037
"1702","PE16 Sur Fringe","M0407",0,0.45,0.225,1.34,0.44,0.006
"1703","PE16 Sur Fringe","M0407",0.45,1.63,1.04,1.3,0.52,0.007
"1704","PE16 Sur Fringe","M0407",1.63,2,1.815,1.23,0.68,0.008
"1705","PE16 Norte Fringe","M0408",0,0.09,0.045,0.74,9.61,0.071
"1706","PE16 Norte Fringe","M0408",0.09,0.43,0.26,0.46,11.15,0.051
"1707","PE16 Norte Fringe","M0408",0.43,0.61,0.52,0.47,10.51,0.05
"1708","PE16 Norte Mudflat","M0409",0,0.09,0.045,0.64,3.53,0.023
"1709","PE16 Norte Mudflat","M0409",0.09,0.45,0.27,0.49,17.35,0.084
"1710","PE16 Norte Mudflat","M0409",0.45,1.19,0.82,0.56,13.93,0.079
"1711","PE16 Norte Mudflat","M0409",1.19,1.45,1.32,0.45,11.62,0.052
"1712","PE16 Norte Mudflat","M0409",1.45,1.84,1.645,0.69,4.79,0.033
"1713","PE16 Norte Upper Mudflat","M0410",0,0.49,0.245,1.44,0.6,0.009
"1714","PE16 Norte Upper Mudflat","M0410",0.49,1.97,1.23,0.75,7.29,0.055
"1715","PE16 Norte Upper Mudflat","M0410",1.97,2.1,2.035,0.55,8.09,0.045
"1716","PE16 Camichin Mudflat","M0411",0,0.4,0.2,1.11,1.02,0.011
"1717","PE16 Camichin Mudflat","M0411",0.4,0.8,0.6,1.29,0.55,0.007
"1718","PE16 Camichin Mudflat","M0411",0.8,1.15,0.975,1.24,0.65,0.008
"1719","PE16 Camichan Upper Mudflat","M0412",0,0.4,0.2,1.07,1.18,0.013
"1720","PE16 Camichan Upper Mudflat","M0412",0.4,0.8,0.6,1.15,1.19,0.014
"1721","PE16 Camichan Upper Mudflat","M0412",0.8,1.2,1,1.24,0.78,0.01
"1722","PE16 Camichan Upper Mudflat","M0412",1.2,1.3,1.25,1.64,0.23,0.004
"1723","PE16 Arroyo Toro Mocho Upper  Mudflat","M0413",0,0.4,0.2,0.88,2.29,0.02
"1724","PE16 Arroyo Toro Mocho Upper  Mudflat","M0413",0.4,0.54,0.47,1.51,0.39,0.006
"1725","PE16 Arroyo Toro Mocho Upper  Mudflat","M0413",0.54,0.8,0.67,1.5,0.61,0.009
"1726","PE16 Arroyo Toro Mocho Upper  Mudflat","M0413",0.8,1.2,1,1.35,0.42,0.006
"1727","PE16 Arroyo Toro Mocho Upper  Mudflat","M0413",1.2,1.6,1.4,1.51,0.14,0.002
"1728","PE16 La Concepcion Mudflat 1","M0414",0,0.1,0.05,0.25,37,0.092
"1729","PE16 La Concepcion Mudflat 1","M0414",0.1,0.55,0.325,0.39,32.44,0.128
"1730","PE16 La Concepcion Mudflat 1","M0414",0.55,0.75,0.65,0.95,1.68,0.016
"1731","PE16 La Concepcion Mudflat 1","M0414",0.75,0.9,0.825,0.39,18.35,0.072
"1732","PE16 La Concepcion Mudflat 1","M0414",0.9,1.05,0.975,0.47,10.6,0.05
"1733","PE16 La Concepcion Mudflat 1","M0414",1.05,1.4,1.225,0.56,7.84,0.044
"1734","PE16 La Concepcion Mudflat 1","M0414",1.4,1.8,1.6,0.63,6.27,0.039
"1735","PE16 La Concepcion Mudflat 1","M0414",1.8,2.15,1.975,0.75,7.76,0.058
"1736","PE16 La Concepcion Mudflat 1","M0414",2.15,2.35,2.25,0.68,11.38,0.078
"1737","PE16 La Concepcion Mudflat 1","M0414",2.35,2.55,2.45,0.72,4.27,0.031
"1738","PE16 La Concepcion Mudflat 1","M0414",2.55,2.9,2.725,1.1,1.06,0.012
"1739","PE16 La Concepcion Mudflat 1","M0414",2.9,3,2.95,1.28,0.57,0.007
"1740","PE16 La Concepcion Fringe","M0415",0,0.1,0.05,0.6,7.66,0.046
"1741","PE16 La Concepcion Fringe","M0415",0.1,0.55,0.325,1.1,1.07,0.012
"1742","PE16 La Concepcion Fringe","M0415",0.55,1.05,0.8,0.79,2.51,0.02
"1743","PE16 La Concepcion Fringe","M0415",1.05,1.35,1.2,1.1,1.07,0.012
"1744","PE16 La Concepcion Fringe","M0415",1.35,1.7,1.525,0.7,4.72,0.033
"1745","PE16 La Concepcion Fringe","M0415",1.7,1.85,1.775,1.11,1.02,0.011
"1746","PE16 Las Garzas Mudflat","M0416",0,0.2,0.1,0.54,6.12,0.033
"1747","PE16 Las Garzas Mudflat","M0416",0.2,0.7,0.45,1.39,0.79,0.011
"1748","PE16 Las Garzas Mudflat","M0416",1.05,1.85,1.45,1.4,0.25,0.003
"1749","PE16 Las Garzas Mudflat","M0416",1.85,2.05,1.95,1.29,0.4,0.005
"1750","PE16 Las Garzas Mudflat","M0416",2.05,2.3,2.175,0.58,7.51,0.043
"1751","PE16 Las Garzas Mudflat","M0416",2.3,2.4,2.35,0.92,1.95,0.018
"1752","PE16 Las Garzas Mudflat","M0416",2.4,2.55,2.475,0.62,10.57,0.065
"1753","PE16 Las Garzas Mudflat","M0416",2.55,2.65,2.6,1.55,0.26,0.004
"1754","PE16 La Concepcion Mudflat 2","M0417",0,0.35,0.175,0.18,41.32,0.072
"1755","PE16 La Concepcion Mudflat 2","M0417",0.35,0.45,0.4,0.86,2.44,0.021
"1756","PE16 La Concepcion Mudflat 2","M0417",0.45,0.95,0.7,0.7,4.66,0.033
"1757","PE16 La Concepcion Mudflat 2","M0417",0.95,1.35,1.15,0.88,2.24,0.02
"1758","PE16 La Concepcion Mudflat 2","M0417",1.35,1.55,1.45,0.82,2.8,0.023
"1759","PE16 El Merito Mudflat Core 1","M0418",0,0.75,0.375,1.29,0.55,0.007
"1760","PE16 El Merito Mudflat Core 1","M0418",0.75,2.14,1.445,0.49,10.03,0.049
"1761","PE16 El Merito Mudflat Core 1","M0418",2.14,2.55,2.345,0.54,8.35,0.046
"1762","PE16 El Merito Mudflat Core 2","M0419",0,0.42,0.21,0.83,2.78,0.023
"1763","PE16 El Merito Mudflat Core 2","M0419",0.42,2.05,1.235,0.45,11.42,0.051
"1764","PE16 El Merito Mudflat Core 2","M0419",2.05,2.21,2.13,0.6,7.02,0.042
"1765","PE16 Puerto Gata Fringe Core 1","M0420",0,0.58,0.29,0.47,10.53,0.05
"1766","PE16 Puerto Gata Fringe Core 1","M0420",0.58,0.6,0.59,0.49,10,0.049
"1767","PE16 Puerto Gata Fringe Core 2","M0420",0,0.45,0.225,0.24,22.26,0.054
"1768","PE16 Puerto Gata Fringe Core 2","M0421",0.45,0.54,0.495,0.79,3.27,0.026
"1769","PE16 Puerto Gata Fringe Core 2","M0421",0.54,0.61,0.575,0.54,8.58,0.046
"1770","PE16 Puerto Gata Fringe Core 3","M0421",0,0.51,0.255,0.54,8.59,0.046
"1771","PE16 Puerto Gata Fringe Core 3","M0422",0.51,0.64,0.575,0.6,6.9,0.041
"1772","PE16 Puerto Gata Fringe Core 3","M0422",0.64,0.66,0.65,0.61,6.62,0.04
"1773","PE16 Puerto Gata Mudflat Core 4","M0423",0,0.04,0.02,0.39,13.53,0.053
"1774","PE16 Puerto Gata Mudflat Core 4","M0423",0.04,0.41,0.225,0.26,21.08,0.054
"1775","PE16 Puerto Gata Mudflat Core 4","M0423",0.41,0.5,0.455,0.52,9.1,0.047
"1776","PE16 Puerto Gata Mudflat Core 4","M0423",0.5,0.78,0.64,0.55,8.24,0.045
"1777","PE16 Puerto Gata Mudflat Core 5","M0424",0,0.08,0.04,0.45,11.41,0.051
"1778","PE16 Puerto Gata Mudflat Core 5","M0424",0.08,0.36,0.22,0.29,18.92,0.055
"1779","PE16 Puerto Gata Mudflat Core 5","M0424",0.36,0.79,0.575,0.49,10.04,0.049
"1780","PE16 Puerto Gata Mudflat Core 5","M0424",0.79,0.81,0.8,0.61,6.66,0.041
"1781","PE16 Puerto Gata Mudflat Core 6","M0425",0,0.13,0.065,0.46,10.87,0.05
"1782","PE16 Puerto Gata Mudflat Core 6","M0425",0.13,0.22,0.175,0.36,15.2,0.054
"1783","PE16 Puerto Gata Mudflat Core 6","M0425",0.22,0.61,0.415,0.5,9.82,0.049
"1784","PE16 Puerto Gata Mudflat Core 7","M0426",0,0.09,0.045,0.56,7.9,0.044
"1785","PE16 Puerto Gata Mudflat Core 7","M0426",0.09,0.35,0.22,0.31,17.75,0.055
"1786","PE16 Puerto Gata Mudflat Core 7","M0426",0.35,0.5,0.425,0.46,10.88,0.05
"1787","PE16 San Gabriel Mudflat Core 1","M0427",0,0.5,0.25,0.66,5.48,0.036
"1788","PE16 San Gabriel Mudflat Core 1","M0427",0.5,0.91,0.705,0.46,10.9,0.05
"1789","PE16 San Gabriel Mudflat Core 1","M0427",0.91,1.23,1.07,0.58,7.37,0.043
"1790","PE16 San Gabriel Mudflat Core 1","M0427",1.23,1.26,1.245,0.51,9.29,0.048
"1791","PE16 San Gabriel Mudflat Core 2","M0428",0,0.53,0.265,0.6,6.82,0.041
"1792","PE16 San Gabriel Mudflat Core 2","M0428",0.53,0.93,0.73,0.52,8.99,0.047
"1793","PE16 San Gabriel Mudflat Core 2","M0428",0.93,1.14,1.035,0.55,8.23,0.045
"1794","PE16 San Gabriel Mudflat Core 2","M0428",1.14,1.27,1.205,0.6,6.83,0.041
"1795","PE16 San Gabriel Mudflat Core 2","M0428",1.27,1.38,1.325,0.53,8.67,0.046
"1796","PE16 San Jose Mudflat Core 1","M0429",0,0.08,0.04,0.26,20.82,0.054
"1797","PE16 San Jose Mudflat Core 1","M0429",0.08,1.28,0.68,0.25,21.3,0.054
"1798","PE16 San Jose Mudflat Core 1","M0429",1.28,1.5,1.39,0.27,20,0.054
"1799","PE16 San Jose Mudflat Core 1","M0429",1.5,1.93,1.715,0.75,3.73,0.028
"1800","JGCB11 SA1","M0430",0,0.3,0.15,0.53,8.82,0.047
"1801","JGCB11 SA1","M0430",0.3,0.6,0.45,0.54,8.5,0.046
"1802","JGCB11 SA2","M0431",0,0.3,0.15,0.45,11.22,0.051
"1803","JGCB11 SA2","M0431",0.3,0.6,0.45,0.48,10.42,0.05
"1804","JGCB11 SA3","M0432",0,0.3,0.15,0.83,2.68,0.022
"1805","JGCB11 SA3","M0432",0.3,0.6,0.45,0.84,2.61,0.022
"1806","JGCB11 SA4","M0433",0,0.3,0.15,0.7,4.63,0.033
"1807","JGCB11 SA4","M0433",0.3,0.6,0.45,0.79,3.17,0.025
"1808","JGCB11 SA5","M0434",0,0.3,0.15,0.78,3.32,0.026
"1809","JGCB11 SA5","M0434",0.3,0.6,0.45,0.81,2.92,0.024
"1810","JGCB11 SA6","M0435",0,0.3,0.15,0.74,3.94,0.029
"1811","JGCB11 SA6","M0435",0.3,0.6,0.45,0.79,3.18,0.025
"1812","RKBEA16 P1","M0436",0,0.15,0.075,1.14,0.93,0.011
"1813","RKBEA16 P1","M0436",0.15,0.3,0.225,1.12,0.99,0.011
"1814","RKBEA16 P1","M0436",0.3,0.5,0.4,0.92,0.88,0.008
"1815","RKBEA16 P1","M0436",0.5,0.98,0.74,0.88,1.29,0.011
"1816","RKBEA16 S1","M0437",0,0.15,0.075,0.79,1.36,0.011
"1817","RKBEA16 S1","M0437",0.15,0.3,0.225,1.21,0.74,0.009
"1818","RKBEA16 S1","M0437",0.3,0.5,0.4,1.17,0.85,0.01
"1819","RKBEA16 S1","M0437",0.5,1,0.75,0.97,0.8,0.008
"1820","RKBEA16 S1","M0437",1,1.85,1.425,1.22,0.55,0.007
"1821","RKBEA16 S2","M0438",0,0.15,0.075,0.82,1.64,0.013
"1822","RKBEA16 S2","M0438",0.15,0.3,0.225,0.86,1.41,0.012
"1823","RKBEA16 S2","M0438",0.3,0.5,0.4,0.86,1.18,0.01
"1824","RKBEA16 S2","M0438",0.5,1,0.75,0.81,1.29,0.01
"1825","RKBEA16 S2","M0438",1,1.62,1.31,0.89,1.19,0.011
"1826","RKBEA16 S3","M0439",0,0.15,0.075,0.82,1.44,0.012
"1827","RKBEA16 S3","M0439",0.15,0.3,0.225,0.86,1.83,0.016
"1828","RKBEA16 S3","M0439",0.3,0.5,0.4,0.9,1.43,0.013
"1829","RKBEA16 S3","M0439",0.5,1,0.75,0.86,1.48,0.013
"1830","RKBEA16 S3","M0439",1,1.89,1.445,0.88,1.39,0.012
"1831","RKBEA16 D1","M0440",0,0.15,0.075,0.82,1.23,0.01
"1832","RKBEA16 D1","M0440",0.15,0.3,0.225,0.88,1.05,0.009
"1833","RKBEA16 D1","M0440",0.3,0.5,0.4,1.13,0.96,0.011
"1834","RKBEA16 D1","M0440",0.5,1,0.75,1.14,0.93,0.011
"1835","RKBEA16 D1","M0440",1,1.38,1.19,0.82,1.34,0.011
"1836","RKBEA16 D2","M0441",0,0.15,0.075,0.97,1.62,0.016
"1837","RKBEA16 D2","M0441",0.15,0.3,0.225,0.96,1.36,0.013
"1838","RKBEA16 D2","M0441",0.3,0.5,0.4,0.94,1.44,0.014
"1839","RKBEA16 D2","M0441",0.5,1,0.75,0.91,1.52,0.014
"1840","RKBEA16 D2","M0441",1,1.12,1.06,1.12,1,0.011
"1841","AJH09 Site 1","M0442",0,0.2,0.1,0.96,2.99,0.029
"1842","AJH09 Site 2","M0443",0,0.2,0.1,0.54,8.72,0.047
"1843","BST14 Pedada Seaward","M0444",0,0.5,0.25,0.95,1.74,0.017
"1844","BST14 Pedada Seaward","M0444",0.5,1.5,1,1.17,0.83,0.01
"1845","BST14 Pedada Interior","M0445",0,0.5,0.25,0.66,2.23,0.015
"1846","BST14 Pedada Interior","M0445",0.5,1.5,1,1.33,0.45,0.006
"1847","BST14 Pedada Landward","M0446",0,0.5,0.25,1.02,1.4,0.014
"1848","BST14 Pedada Landward","M0446",0.5,1.5,1,1.03,1.34,0.014
"1849","BST14 Bugtong-ato Seaward","M0447",0,0.5,0.25,0.61,3.95,0.024
"1850","BST14 Bugtong-ato Seaward","M0447",0.5,1.5,1,0.73,3.29,0.024
"1851","BST14 Bugtong-ato Interior","M0448",0,0.5,0.25,0.64,4.06,0.026
"1852","BST14 Bugtong-ato Interior","M0448",0.5,1.5,1,0.73,2.46,0.018
"1853","BST14 Bugtong-ato Landward","M0449",0,0.5,0.25,0.7,2.48,0.017
"1854","BST14 Bugtong-ato Landward","M0449",0.5,1.5,1,1.18,0.82,0.01
"1855","BH02 Site 1","M0452",0,0.2,0.1,0.78,3.34,0.026
"1856","BH02 Site 1","M0452",0.2,0.4,0.3,0.76,3.68,0.028
"1857","BH02 Site 2","M0453",0,0.2,0.1,0.83,2.69,0.022
"1858","BH02 Site 2","M0453",0.2,0.4,0.3,0.85,2.55,0.022
"1859","BH02 Site 3","M0454",0,0.2,0.1,0.99,1.51,0.015
"1860","BH02 Site 3","M0454",0.2,0.4,0.3,1.07,1.16,0.012
"1861","BH02 Site 4","M0455",0,0.2,0.1,1.06,1.22,0.013
"1862","BH02 Site 4","M0455",0.2,0.4,0.3,1.14,0.92,0.011
"1863","BH02 Site 5","M0456",0,0.2,0.1,1.19,0.79,0.009
"1864","BH02 Site 5","M0456",0.2,0.4,0.3,1.22,0.71,0.009
"1865","QHL05 Site 1","M0457",0,0.15,0.075,1.34,0.44,0.006
"1866","QHL05 Site 1","M0457",0.15,0.3,0.225,1.34,0.44,0.006
"1867","QHL05 Site 1","M0457",0.3,0.4,0.35,1.34,0.44,0.006
"1868","QHL05 Site 2","M0458",0,0.15,0.075,1.32,0.96,0.013
"1869","QHL05 Site 2","M0458",0.15,0.3,0.225,1.13,0.96,0.011
"1870","QHL05 Site 2","M0458",0.3,0.4,0.35,1.13,0.96,0.011
"1871","QHL05 Site 3","M0459",0,0.15,0.075,0.84,1.99,0.017
"1872","QHL05 Site 3","M0459",0.15,0.3,0.225,0.91,1.99,0.018
"1873","QHL05 Site 3","M0459",0.3,0.4,0.35,0.91,1.99,0.018
"1874","QHL05 Site 4","M0460",0,0.15,0.075,0.8,3.07,0.025
"1875","QHL05 Site 4","M0460",0.15,0.3,0.225,0.89,3.07,0.027
"1876","QHL05 Site 4","M0460",0.3,0.4,0.35,0.8,3.07,0.025
"1877","QHL05 Site 5","M0461",0,0.15,0.075,0.84,2.48,0.021
"1878","QHL05 Site 5","M0461",0.15,0.3,0.225,0.96,2.48,0.024
"1879","QHL05 Site 5","M0461",0.3,0.4,0.35,0.85,2.48,0.021
"1880","QHL05 Site 6","M0462",0,0.15,0.075,0.89,2.93,0.026
"1881","QHL05 Site 6","M0462",0.15,0.3,0.225,0.79,2.93,0.023
"1882","QHL05 Site 6","M0462",0.3,0.4,0.35,0.81,2.93,0.024
"1883","ZL98 Cauputou","M0450",0,0.2,0.1,0.87,2.33,0.02
"1884","ZL98 Cauputou","M0450",0.2,0.4,0.3,0.88,2.29,0.02
"1885","ZL98 Cauputou","M0450",0.4,1,0.7,1.14,0.94,0.011
"1886","ZL98 Dongyu","M0451",0,0.2,0.1,1.14,0.94,0.011
"1887","ZL98 Dongyu","M0451",0.2,0.4,0.3,1.1,1.07,0.012
"1888","ZL98 Dongyu","M0451",0.4,1,0.7,1.11,1.03,0.011
"1889","MLL08 Site 1 ","M0463",0,0.2,0.1,1.34,0.43,0.006
"1890","MLL08 Site 2","M0464",0,0.2,0.1,1.06,1.2,0.013
"1891","MLL08 Site 3","M0465",0,0.2,0.1,1.19,0.77,0.009
"1892","MLL08 Site 4","M0466",0,0.2,0.1,1.41,0.3,0.004
"1893","MLL08 Site 5","M0467",0,0.2,0.1,1.38,0.37,0.005
"1894","MLL08 Site 6","M0468",0,0.2,0.1,1.26,0.6,0.008
"1895","MLL08 Site 7","M0469",0,0.2,0.1,1.12,1,0.011
"1896","MLL08 Site 8","M0470",0,0.2,0.1,1,1.49,0.015
"1897","MLL08 Site 9","M0471",0,0.2,0.1,1.16,0.85,0.01
"1898","MLL08 Site 10","M0472",0,0.2,0.1,0.88,2.21,0.02
"1899","MLL08 Site 11","M0473",0,0.2,0.1,0.79,3.15,0.025
"1900","MLL08 Site 12","M0474",0,0.2,0.1,1.1,1.06,0.012
"1901","MLL08 Site 13","M0475",0,0.2,0.1,0.68,5.04,0.034
"1902","MLL08 Site 14","M0476",0,0.2,0.1,0.78,3.38,0.026
"1903","MLL08 Site 15","M0477",0,0.2,0.1,1.05,1.26,0.013
"1904","MLL08 Site 16","M0478",0,0.2,0.1,1.11,1.03,0.011
"1905","ZQH10 Shanyutan Wetland","M0479",0,0.6,0.3,0.93,1.87,0.003
"1906","LZM11 Shenzhen 1","M0480",0,0.2,0.1,0.95,2.66,0.025
"1907","LZM11 Shenzhen 1","M0480",0.2,0.4,0.3,0.96,2.12,0.02
"1908","LZM11 Shenzhen 1","M0480",0.4,0.6,0.5,0.97,1.57,0.015
"1909","LZM11 Shenzhen 1","M0480",0.6,0.8,0.7,1,1.41,0.014
"1910","LZM11 Shenzhen 1","M0480",0.8,1,0.9,1.08,0.58,0.006
"1911","LZM11 Shenzhen 2","M0481",0,0.2,0.1,0.94,2.25,0.021
"1912","LZM11 Shenzhen 2","M0481",0.2,0.4,0.3,0.94,1.88,0.018
"1913","LZM11 Shenzhen 2","M0481",0.4,0.6,0.5,0.98,1.69,0.016
"1914","LZM11 Shenzhen 2","M0481",0.6,0.8,0.7,0.99,1.04,0.01
"1915","LZM11 Shenzhen 2","M0481",0.8,1,0.9,1.05,0.59,0.006
"1916","LZM12 Futian 1","M0482",0,0.1,0.05,0.95,3.98,0.038
"1917","LZM12 Futian 1","M0482",0.1,0.2,0.15,0.95,3.95,0.037
"1918","LZM12 Futian 1","M0482",0.2,0.3,0.25,0.98,3.91,0.038
"1919","LZM12 Futian 1","M0482",0.3,0.4,0.35,0.99,3.81,0.037
"1920","LZM12 Futian 1","M0482",0.4,0.5,0.45,0.99,3.79,0.037
"1921","LZM12 Futian 2","M0483",0,0.1,0.05,0.69,4.89,0.034
"1922","LZM12 Futian 2","M0483",0.1,0.2,0.15,0.7,4.79,0.033
"1923","LZM12 Futian 2","M0483",0.2,0.3,0.25,0.97,4.05,0.039
"1924","LZM12 Futian 2","M0483",0.3,0.4,0.35,0.98,3.87,0.038
"1925","LZM12 Futian 2","M0483",0.4,0.5,0.45,1.24,0.52,0.006
"1926","LZM12 Futian 3","M0484",0,0.1,0.05,0.49,9.88,0.049
"1927","LZM12 Futian 3","M0484",0.1,0.2,0.15,0.5,9.54,0.048
"1928","LZM12 Futian 3","M0484",0.2,0.3,0.25,0.52,9.01,0.047
"1929","LZM12 Futian 3","M0484",0.3,0.4,0.35,0.56,8.05,0.045
"1930","LZM12 Futian 3","M0484",0.4,0.5,0.45,0.58,7.45,0.043
"1931","FHX12 Zhanjiang 1","M0485",0,1,0.5,1.62,0,0.067
"1932","FHX12 Zhanjiang 2","M0486",0,1,0.5,1.62,0,0.037
"1933","FHX12 Zhanjiang 3","M0487",0,1,0.5,1.62,0,0.033
"1934","DCD12 PM2","M0488",0,0.15,0.075,0.29,17.7,0.051
"1935","DCD12 PM2","M0488",0.15,0.3,0.225,0.29,17.7,0.051
"1936","DCD12 PM2","M0488",0.3,0.5,0.4,0.28,20.5,0.057
"1937","DCD12 PM2","M0488",0.5,1,0.75,0.31,19,0.059
"1938","DCD12 PM3","M0489",0,0.15,0.075,0.3,19.5,0.059
"1939","DCD12 PM3","M0489",0.15,0.3,0.225,0.3,19.5,0.059
"1940","DCD12 PM3","M0489",0.3,0.5,0.4,0.28,18.2,0.051
"1941","DCD12 PM3","M0489",0.5,1,0.75,0.3,21.1,0.063
"1942","RKB16 Chismuyo","M0490",0,0.15,0.075,0.74,4.84,0.036
"1943","RKB16 Chismuyo","M0490",0.15,0.3,0.225,0.65,4.83,0.031
"1944","RKB16 Chismuyo","M0490",0.3,0.5,0.4,0.64,4.72,0.03
"1945","RKB16 Chismuyo","M0490",0.5,1,0.75,0.64,6.4,0.041
"1946","RKB16 Chismuyo","M0490",1,2.7,1.85,0.54,5.08,0.027
"1947","RKB16 Isla de Pajaros","M0491",0,0.15,0.075,1.06,1.64,0.017
"1948","RKB16 Isla de Pajaros","M0491",0.15,0.3,0.225,1.02,2.64,0.027
"1949","RKB16 Isla de Pajaros","M0491",0.3,0.5,0.4,0.92,3.77,0.035
"1950","RKB16 Isla de Pajaros","M0491",0.5,1,0.75,0.77,5.45,0.042
"1951","RKB16 Isla de Pajaros","M0491",1,1.82,1.41,0.85,3.44,0.029
"1952","RKB16 San Bernardo","M0492",0,0.15,0.075,0.83,1.78,0.015
"1953","RKB16 San Bernardo","M0492",0.15,0.3,0.225,0.84,1.16,0.01
"1954","RKB16 San Bernardo","M0492",0.3,0.5,0.4,0.75,1.95,0.015
"1955","RKB16 San Bernardo","M0492",0.5,1,0.75,0.94,1.82,0.017
"1956","RKB16 San Bernardo","M0492",1,2,1.5,0.71,1.82,0.013
"1957","RKB16 San Lorenzo","M0493",0,0.15,0.075,0.57,5.42,0.031
"1958","RKB16 San Lorenzo","M0493",0.15,0.3,0.225,0.62,5.97,0.037
"1959","RKB16 San Lorenzo","M0493",0.3,0.5,0.4,0.55,5.58,0.031
"1960","RKB16 San Lorenzo","M0493",0.5,1,0.75,0.54,5.57,0.03
"1961","RKB16 San Lorenzo","M0493",1,1.2,1.1,0.77,3.49,0.027
"1962","RKB16 El Canalito","M0494",0,0.15,0.075,0.08,48.45,0.039
"1963","RKB16 El Canalito","M0494",0.15,0.3,0.225,0.09,42.74,0.038
"1964","RKB16 El Canalito","M0494",0.3,0.5,0.4,0.11,40.01,0.044
"1965","RKB16 El Canalito","M0494",0.5,1,0.75,0.1,40.04,0.04
"1966","RKB16 El Canalito","M0494",1,2.7,1.85,0.14,38.74,0.054
"1967","RKB16 El Marion","M0495",0,0.15,0.075,0.5,9.83,0.049
"1968","RKB16 El Marion","M0495",0.15,0.3,0.225,0.45,8.42,0.038
"1969","RKB16 El Marion","M0495",0.3,0.5,0.4,0.59,7.26,0.043
"1970","RKB16 El Marion","M0495",0.5,1,0.75,1.09,0.85,0.009
"1971","RKB16 El Marion","M0495",1,2.7,1.85,0.66,5.47,0.036
"1972","RKB16 La Diamante","M0496",0,0.15,0.075,0.11,41.08,0.045
"1973","RKB16 La Diamante","M0496",0.15,0.3,0.225,0.13,40.39,0.053
"1974","RKB16 La Diamante","M0496",0.3,0.5,0.4,0.15,37.82,0.057
"1975","RKB16 La Diamante","M0496",0.5,1,0.75,0.14,35.74,0.05
"1976","RKB16 La Diamante","M0496",1,2,1.5,0.2,27.51,0.055
"1977","RKB16 Laguna Quemada","M0497",0,0.15,0.075,0.11,43.79,0.048
"1978","RKB16 Laguna Quemada","M0497",0.15,0.3,0.225,0.11,42.85,0.047
"1979","RKB16 Laguna Quemada","M0497",0.3,0.5,0.4,0.09,42.79,0.039
"1980","RKB16 Laguna Quemada","M0497",0.5,1,0.75,0.1,38.96,0.039
"1981","RKB16 Laguna Quemada","M0497",1,2.4,1.7,0.09,36.25,0.033
"1982","RKB16 Manglon","M0498",0,0.15,0.075,0.1,35.45,0.035
"1983","RKB16 Manglon","M0498",0.15,0.3,0.225,0.1,35.26,0.035
"1984","RKB16 Manglon","M0498",0.3,0.5,0.4,0.1,34.46,0.034
"1985","RKB16 Manglon","M0498",0.5,1,0.75,0.19,24.99,0.047
"1986","RKB16 Manglon","M0498",1,2.35,1.675,0.32,23.75,0.076
"1987","RKB16 Milton Bight","M0499",0,0.15,0.075,0.16,30.22,0.048
"1988","RKB16 Milton Bight","M0499",0.15,0.3,0.225,0.12,29.83,0.036
"1989","RKB16 Milton Bight","M0499",0.3,0.5,0.4,0.29,18.17,0.053
"1990","RKB16 Milton Bight","M0499",0.5,1,0.75,0.7,10.59,0.074
"1991","RKB16 Milton Bight","M0499",1,1.6,1.3,0.6,6.94,0.042
"1992","RKB16 Politily","M0500",0,0.15,0.075,0.39,10.98,0.043
"1993","RKB16 Politily","M0500",0.15,0.3,0.225,0.4,12.13,0.049
"1994","RKB16 Politily","M0500",0.3,0.5,0.4,0.39,8.59,0.034
