"study_id","site_id","plot_id","core_id","depth_min","depth_max","percent_nitrogen","percent_carbon","dry_bulk_density","soil_carbon"
"Cifuentes_et_al_2023_Panama","La Yeguada",3,"La Yeguada_3","50","100",0.5,25.89,0.18615,240.97338
"Cifuentes_et_al_2023_Panama","La Yeguada",4,"La Yeguada_4","0","15",0.59,12.28,0.61014,112.38828
"Cifuentes_et_al_2023_Panama","La Yeguada",4,"La Yeguada_4","15","30",0.59,25.37,0.26853,102.1884
"Cifuentes_et_al_2023_Panama","La Yeguada",4,"La Yeguada_4","30","50",0.56,30.08,0.13664,82.20192
"Cifuentes_et_al_2023_Panama","La Yeguada",4,"La Yeguada_4","50","100",0.41,19.63,0.17429,171.0624
"Cifuentes_et_al_2023_Panama","El Río",1,"El Río_1","0","15",0.3,5.94,0.54927,48.9399
"Cifuentes_et_al_2023_Panama","El Río",1,"El Río_1","15","30",0.27,4.74,0.5512,39.19035
"Cifuentes_et_al_2023_Panama","El Río",1,"El Río_1","30","50",0.31,5.84,0.56574,66.07897
"Cifuentes_et_al_2023_Panama","El Río",1,"El Río_1","50","100",0.36,8.77,0.48405,212.25445
"Cifuentes_et_al_2023_Panama","El Río",1,"El Río_1","100","300",0.3,6.74,0.51914,699.7968
"Cifuentes_et_al_2023_Panama","El Río",2,"El Río_2","0","15",0.55,15.28,0.35318,80.94971
"Cifuentes_et_al_2023_Panama","El Río",2,"El Río_2","15","30",0.42,9.33,0.32399,45.342529999999996
"Cifuentes_et_al_2023_Panama","El Río",2,"El Río_2","30","50",0.42,9.42,0.34201,64.43555
"Cifuentes_et_al_2023_Panama","El Río",2,"El Río_2","50","100",0.35,7.5,0.42001,157.50261
"Cifuentes_et_al_2023_Panama","El Río",2,"El Río_2","100","300",0.32,7.05,0.45405,640.21555
"Cifuentes_et_al_2023_Panama","El Río",3,"El Río_3","0","15",0.47,10.5,0.38292,60.30924
"Cifuentes_et_al_2023_Panama","El Río",3,"El Río_3","15","30",0.43,9.88,0.34389,50.96502
"Cifuentes_et_al_2023_Panama","El Río",3,"El Río_3","30","50",0.46,12.58,0.33989,85.51686
"Cifuentes_et_al_2023_Panama","El Río",3,"El Río_3","50","100",0.36,8.17,0.46035,188.05356
"Cifuentes_et_al_2023_Panama","El Río",3,"El Río_3","100","300",0.27,6.13,0.58027,711.41273
"Cifuentes_et_al_2023_Panama","El Río",4,"El Río_4","0","15",0.52,11.24,0.35459,59.78436
"Cifuentes_et_al_2023_Panama","El Río",4,"El Río_4","15","30",0.53,13.59,0.21844,44.52924
"Cifuentes_et_al_2023_Panama","El Río",4,"El Río_4","30","50",0.5,13.72,0.22861,62.73153
"Cifuentes_et_al_2023_Panama","El Río",4,"El Río_4","50","100",0.33,7.15,0.48831,174.57046
"Cifuentes_et_al_2023_Panama","El Río",4,"El Río_4","100","300",0.27,6.16,0.51007,628.41002
"Cifuentes_et_al_2023_Panama","El Río",5,"El Río_5","0","15",0.53,14.63,0.411,90.19288
"Cifuentes_et_al_2023_Panama","El Río",5,"El Río_5","15","30",0.46,10.6,0.27764,44.14546
"Cifuentes_et_al_2023_Panama","El Río",5,"El Río_5","30","50",0.48,13.2,0.33072,87.31106
"Cifuentes_et_al_2023_Panama","El Río",5,"El Río_5","50","100",0.41,10.09,0.38709,195.28749
"Cifuentes_et_al_2023_Panama","El Río",5,"El Río_5","100","300",0.23,6.02,0.53426,643.24349
"Cifuentes_et_al_2023_Panama","El Río",6,"El Río_6","0","15",0.29,6.44,0.35732,34.51753
"Cifuentes_et_al_2023_Panama","El Río",6,"El Río_6","15","30",0.5,11.92,0.30059,53.74576
"Cifuentes_et_al_2023_Panama","El Río",6,"El Río_6","30","50",0.46,11.93,0.33702,80.41335
"Cifuentes_et_al_2023_Panama","El Río",6,"El Río_6","50","100",0.4,8.74,0.3996,174.62514
"Cifuentes_et_al_2023_Panama","El Río",6,"El Río_6","100","300",0.51,13.8,0.45792,1263.8476
"Cifuentes_et_al_2023_Panama","Batipa",1,"Batipa_1","0","15",0.23,4.77,0.46548,33.30535
"Cifuentes_et_al_2023_Panama","Batipa",1,"Batipa_1","15","30",0.23,4.71,0.52018,36.75078
"Cifuentes_et_al_2023_Panama","Batipa",1,"Batipa_1","30","50",0.23,6.58,0.45694,60.13351
"Cifuentes_et_al_2023_Panama","Batipa",1,"Batipa_1","50","100",0.25,5.7,0.3908,111.37709
"Cifuentes_et_al_2023_Panama","Batipa",1,"Batipa_1","100","300",0.23,4.89,0.41648,407.31284
"Cifuentes_et_al_2023_Panama","Batipa",2,"Batipa_2","0","15",0.28,4.91,0.39299,28.94363
"Cifuentes_et_al_2023_Panama","Batipa",2,"Batipa_2","15","30",0.27,5.62,0.45287,38.17699
"Cifuentes_et_al_2023_Panama","Batipa",2,"Batipa_2","30","50",0.24,5.14,0.47488,48.81748
"Cifuentes_et_al_2023_Panama","Batipa",2,"Batipa_2","50","100",0.24,4.83,0.38107,92.028809999999993
"Cifuentes_et_al_2023_Panama","Batipa",2,"Batipa_2","100","300",0.23,5.11,0.49024,501.02537
"Cifuentes_et_al_2023_Panama","Batipa",3,"Batipa_3","0","15",0.27,7.05,0.42343,44.77817
"Cifuentes_et_al_2023_Panama","Batipa",3,"Batipa_3","15","30",0.23,5,0.41983,31.48747
"Cifuentes_et_al_2023_Panama","Batipa",3,"Batipa_3","30","50",0.22,5.15,0.43069,44.36096
"Cifuentes_et_al_2023_Panama","Batipa",3,"Batipa_3","50","100",0.25,5.78,0.45264,130.81423
"Cifuentes_et_al_2023_Panama","Batipa",3,"Batipa_3","100","300",0.21,5.5,0.48485,533.33159
"Cifuentes_et_al_2023_Panama","Batipa",5,"Batipa_5","0","15",0.26,4.93,0.49396,36.52857
"Cifuentes_et_al_2023_Panama","Batipa",5,"Batipa_5","15","30",0.23,4.55,0.55002,37.53869
"Cifuentes_et_al_2023_Panama","Batipa",5,"Batipa_5","30","50",0.22,4.23,0.41576,35.17347
"Cifuentes_et_al_2023_Panama","Batipa",5,"Batipa_5","50","100",0.22,4.42,0.56047,123.86458
"Cifuentes_et_al_2023_Panama","Batipa",5,"Batipa_5","100","300",0.24,5.16,0.49007,505.74823
"Cifuentes_et_al_2023_Panama","Batipa",6,"Batipa_6","0","15",0.27,5.75,0.51355,44.29391
"Cifuentes_et_al_2023_Panama","Batipa",6,"Batipa_6","15","30",0.21,4.65,0.49595,34.59226
"Cifuentes_et_al_2023_Panama","Batipa",6,"Batipa_6","30","50",0.23,4.48,0.53396,47.84278
"Cifuentes_et_al_2023_Panama","Batipa",6,"Batipa_6","50","100",0.23,4.57,0.52425,119.79156
"Cifuentes_et_al_2023_Panama","Batipa",6,"Batipa_6","100","300",0.24,5.08,0.61608,625.93236
"Cifuentes_et_al_2023_Panama","Batipa",4,"Batipa_4","0","15",0.32,6.75,0.45197,45.76155
"Cifuentes_et_al_2023_Panama","Batipa",4,"Batipa_4","15","30",0.25,5.77,0.43907,38.00189
"Cifuentes_et_al_2023_Panama","Batipa",4,"Batipa_4","30","50",0.24,5.23,0.52808,55.2371
"Cifuentes_et_al_2023_Panama","Batipa",4,"Batipa_4","50","100",0.24,5.13,0.52079,133.58259
"Cifuentes_et_al_2023_Panama","Batipa",4,"Batipa_4","100","300",0.24,5.61,0.44997,504.86096
"Cifuentes_et_al_2023_Panama","Calle Larga",1,"Calle Larga_1","0","15",0.19,2.32,1.32378,46.06762
"Cifuentes_et_al_2023_Panama","Calle Larga",1,"Calle Larga_1","15","30",0.17,2.28,1.13572,38.84151
"Cifuentes_et_al_2023_Panama","Calle Larga",1,"Calle Larga_1","30","50",0.14,2.22,1.38746,61.60307
"Cifuentes_et_al_2023_Panama","Calle Larga",2,"Calle Larga_2","0","15",0.22,2.91,1.1751,51.29331
"Cifuentes_et_al_2023_Panama","Calle Larga",2,"Calle Larga_2","15","30",0.15,2.23,1.14422,38.2743
"Cifuentes_et_al_2023_Panama","Calle Larga",2,"Calle Larga_2","30","50",0.17,1.89,0,0
"Cifuentes_et_al_2023_Panama","Calle Larga",3,"Calle Larga_3","0","15",0.2,2.56,0.94217,36.17937
"Cifuentes_et_al_2023_Panama","Calle Larga",3,"Calle Larga_3","15","30",0.17,2.18,1.16303,38.0311
"Cifuentes_et_al_2023_Panama","Calle Larga",3,"Calle Larga_3","30","50",0.13,1.72,1.15503,39.73296
"Cifuentes_et_al_2023_Panama","Calle Larga",4,"Calle Larga_4","0","15",0.22,2.74,0.97716,40.16116
"Cifuentes_et_al_2023_Panama","Calle Larga",4,"Calle Larga_4","15","30",0.16,2.41,0.96795,34.99154
"Cifuentes_et_al_2023_Panama","Calle Larga",4,"Calle Larga_4","30","50",0.13,1.59,1.01608,32.31119
