study_id,site_id,plot_id,plot_radius,species,family,diameter,diameter_flag,alive_or_dead,decay_class,height,wood_density,carbon_conversion_factor,basal_area,basal_density,plant_aboveground_carbon,plant_belowground_carbon,plant_BGB_kg,plant_AGB_kg,plant_AGB_MgHa,plant_BGB_MgHa,plant_mass_total_MgHa,plant_total_carbon,plant_notes
Cifuentes_et_al_2023_Panama,Limones,4,7,Pelliciera rhizophorae,Theaceae,5.8,DBH,alive,NA,NA,0.811,0.4669,0.00264,0.17163,0.46624,0.2476,8.16344,15.3719,0.99858,0.53031,1.52888,0.71384,NA
Cifuentes_et_al_2023_Panama,Limones,4,7,Pelliciera rhizophorae,Theaceae,7,DBH,alive,NA,NA,0.811,0.4669,0.00385,0.25,0.74048,0.37589,12.39311,24.41382,1.58595,0.80507,2.39102,1.11637,NA
Cifuentes_et_al_2023_Panama,Limones,4,7,Pelliciera rhizophorae,Theaceae,7,DBH,alive,NA,NA,0.811,0.4669,0.00385,0.25,0.74048,0.37589,12.39311,24.41382,1.58595,0.80507,2.39102,1.11637,NA
Cifuentes_et_al_2023_Panama,Limones,4,7,Pelliciera rhizophorae,Theaceae,7,DBH,alive,NA,NA,0.811,0.4669,0.00385,0.25,0.74048,0.37589,12.39311,24.41382,1.58595,0.80507,2.39102,1.11637,NA
Cifuentes_et_al_2023_Panama,Limones,4,7,Pelliciera rhizophorae,Theaceae,8,DBH,alive,NA,NA,0.811,0.4669,0.00503,0.32653,1.02843,0.50559,16.6695,33.90751,2.20267,1.08287,3.28554,1.53402,NA
Cifuentes_et_al_2023_Panama,Limones,4,7,Pelliciera rhizophorae,Theaceae,8.4,DBH,alive,NA,NA,0.811,0.4669,0.00554,0.36,1.15958,0.56343,18.57645,38.23152,2.48357,1.20675,3.69031,1.72301,NA
Cifuentes_et_al_2023_Panama,Limones,4,7,Pelliciera rhizophorae,Theaceae,9,DBH,alive,NA,NA,0.811,0.4669,0.00636,0.41327,1.37407,0.65669,21.65116,45.30344,2.94297,1.40649,4.34945,2.03076,NA
Cifuentes_et_al_2023_Panama,Limones,4,7,Pelliciera rhizophorae,Theaceae,9,DBH,alive,NA,NA,0.811,0.4669,0.00636,0.41327,1.37407,0.65669,21.65116,45.30344,2.94297,1.40649,4.34945,2.03076,NA
Cifuentes_et_al_2023_Panama,Limones,4,7,Pelliciera rhizophorae,Theaceae,9,DBH,alive,NA,NA,0.811,0.4669,0.00636,0.41327,1.37407,0.65669,21.65116,45.30344,2.94297,1.40649,4.34945,2.03076,NA
Cifuentes_et_al_2023_Panama,Limones,4,7,Pelliciera rhizophorae,Theaceae,10,DBH,alive,NA,NA,0.811,0.4669,0.00785,0.5102,1.78063,0.82974,27.35664,58.70763,3.81372,1.77712,5.59084,2.61036,NA
Cifuentes_et_al_2023_Panama,Limones,4,7,Pelliciera rhizophorae,Theaceae,11,DBH,alive,NA,NA,0.811,0.4669,0.0095,0.61735,2.25112,1.02526,33.80295,74.21994,4.82142,2.19588,7.0173,3.27638,NA
Cifuentes_et_al_2023_Panama,Limones,4,7,Pelliciera rhizophorae,Theaceae,24,DBH,alive,NA,NA,0.811,0.4669,0.04524,2.93878,15.34236,5.79442,191.04329,505.84124,32.86005,12.4104,45.27046,21.13678,NA
Cifuentes_et_al_2023_Panama,El R’o,1,7,Rhizophora mangle,Rhizophoraceae,6,DBH,dead,3,NA,0.898,0.4752,0.00283,0.18367,0.24775,0.29777,9.64593,8.02578,0.52136,0.62661,1.14798,0.54552,NA
Cifuentes_et_al_2023_Panama,Limones,5,7,Rhizophora racemosa,Rhizophoraceae,9,DBH,alive,NA,NA,0.88,0.5,0.00636,0.41327,1.25853,0.75681,23.30029,38.74722,2.51707,1.51361,4.03068,2.01534,NA
Cifuentes_et_al_2023_Panama,Limones,5,7,Rhizophora racemosa,Rhizophoraceae,35,DBH,alive,NA,NA,0.88,0.5,0.09621,6.25,42.99431,15.43114,475.088,1323.69182,85.98861,30.86229,116.8509,58.42545,NA
Cifuentes_et_al_2023_Panama,Limones,6,7,Rhizophora racemosa,Rhizophoraceae,8.6,DBH,alive,NA,NA,0.88,0.5,0.00581,0.37735,1.11823,0.68415,21.06345,34.42754,2.23645,1.36831,3.60476,1.80238,NA
Cifuentes_et_al_2023_Panama,Limones,6,7,Rhizophora racemosa,Rhizophoraceae,18,DBH,alive,NA,NA,0.88,0.5,0.02545,1.65306,7.63032,3.52592,108.55453,234.91918,15.26063,7.05183,22.31247,11.15623,NA
Cifuentes_et_al_2023_Panama,Limones,6,7,Rhizophora racemosa,Rhizophoraceae,40,DBH,alive,NA,NA,0.88,0.5,0.12566,8.16327,60.84011,20.75584,639.02254,1873.12149,121.68022,41.51167,163.19189,81.59595,NA
Cifuentes_et_al_2023_Panama,Limones,6,7,Rhizophora racemosa,Rhizophoraceae,48,DBH,alive,NA,NA,0.88,0.5,0.18096,11.7551,97.7375,31.11162,957.8523,3009.10392,195.47501,62.22324,257.69824,128.84912,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Rhizophora mangle,Rhizophoraceae,5.5,DBH,alive,NA,NA,0.898,0.4752,0.00238,0.15434,0.42622,0.24546,7.95158,13.80718,0.89693,0.51654,1.41348,0.67168,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Rhizophora mangle,Rhizophoraceae,6.2,DBH,alive,NA,NA,0.898,0.4752,0.00302,0.19612,0.52444,0.32025,10.37428,16.98898,1.10362,0.67393,1.77755,0.84469,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Rhizophora mangle,Rhizophoraceae,7.8,DBH,alive,NA,NA,0.898,0.4752,0.00478,0.31041,0.78034,0.53312,17.27025,25.2786,1.64213,1.1219,2.76402,1.31346,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Rhizophora mangle,Rhizophoraceae,8.4,DBH,alive,NA,NA,0.898,0.4752,0.00554,0.36,0.88715,0.62846,20.35863,28.73854,1.86689,1.32252,3.18941,1.51561,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Rhizophora mangle,Rhizophoraceae,8.5,DBH,alive,NA,NA,0.898,0.4752,0.00567,0.36862,0.90551,0.64519,20.90059,29.33333,1.90553,1.35773,3.26326,1.5507,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Rhizophora mangle,Rhizophoraceae,9,DBH,alive,NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,2.10371,1.54142,3.64513,1.73216,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Rhizophora mangle,Rhizophoraceae,9,DBH,alive,NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,2.10371,1.54142,3.64513,1.73216,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Rhizophora mangle,Rhizophoraceae,9,DBH,alive,NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,2.10371,1.54142,3.64513,1.73216,NA
Cifuentes_et_al_2023_Panama,Los Algarrobos,1,7,Rhizophora mangle,Rhizophoraceae,6.4,DBH,dead,3,NA,0.898,0.4752,0.00322,0.20898,0.27704,0.34364,11.13187,8.97439,0.58299,0.72314,1.30613,0.62067,NA
Cifuentes_et_al_2023_Panama,Limones,1,7,Rhizophora mangle,Rhizophoraceae,7,DBH,dead,2,NA,0.898,0.4752,0.00385,0.25,0.51763,0.41927,13.58208,16.76841,1.0893,0.88231,1.9716,0.93691,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Rhizophora mangle,Rhizophoraceae,9,DBH,alive,NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,2.10371,1.54142,3.64513,1.73216,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,5,7,Rhizophora mangle,Rhizophoraceae,7,DBH,dead,3,NA,0.898,0.4752,0.00385,0.25,0.32352,0.41927,13.58208,10.48026,0.68081,0.88231,1.56312,0.74279,NA
Cifuentes_et_al_2023_Panama,Las Matita,2,7,Rhizophora mangle,Rhizophoraceae,7,DBH,dead,3,NA,0.898,0.4752,0.00385,0.25,0.32352,0.41927,13.58208,10.48026,0.68081,0.88231,1.56312,0.74279,cut for firewood
Cifuentes_et_al_2023_Panama,Las Matita,5,7,Rhizophora mangle,Rhizophoraceae,7,DBH,dead,3,54.6,0.898,0.4752,0.00385,0.25,0.32352,0.41927,13.58208,10.48026,0.68081,0.88231,1.56312,0.74279,cut for firewood
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Pelliciera rhizophorae,Theaceae,10,DBH,alive,NA,NA,0.811,0.4669,0.00785,0.5102,1.78063,0.82974,27.35664,58.70763,3.81372,1.77712,5.59084,2.61036,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Pelliciera rhizophorae,Theaceae,11,DBH,alive,NA,NA,0.811,0.4669,0.0095,0.61735,2.25112,1.02526,33.80295,74.21994,4.82142,2.19588,7.0173,3.27638,NA
Cifuentes_et_al_2023_Panama,Las Matita,5,7,Rhizophora mangle,Rhizophoraceae,7,DBH,dead,3,NA,0.898,0.4752,0.00385,0.25,0.32352,0.41927,13.58208,10.48026,0.68081,0.88231,1.56312,0.74279,cut for firewood
Cifuentes_et_al_2023_Panama,Los Algarrobos,6,7,Rhizophora mangle,Rhizophoraceae,7,DBH,dead,3,NA,0.898,0.4752,0.00385,0.25,0.32352,0.41927,13.58208,10.48026,0.68081,0.88231,1.56312,0.74279,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Rhizophora mangle,Rhizophoraceae,15,DBH,alive,NA,NA,0.898,0.4752,0.01767,1.14796,2.42037,2.27668,73.75154,78.40634,5.09337,4.79099,9.88436,4.69705,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Rhizophora mangle,Rhizophoraceae,66,DBH,alive,NA,NA,0.898,0.4752,0.34212,22.22449,31.45562,61.06137,1978.04442,1018.9849,66.19448,128.49614,194.69063,92.51699,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,2,7,Rhizophora mangle,Rhizophoraceae,6,DBH,alive,NA,NA,0.898,0.4752,0.00283,0.18367,0.4955,0.29777,9.64593,16.05155,1.04273,0.62661,1.66934,0.79327,NA
Cifuentes_et_al_2023_Panama,El R’o,5,7,Pelliciera rhizophorae,Theaceae,7,DBH,dead,3,NA,0.811,0.4669,0.00385,0.25,0.37024,0.37589,12.39311,12.20691,0.79298,0.80507,1.59805,0.74613,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,2,7,Rhizophora mangle,Rhizophoraceae,7.5,DBH,alive,NA,NA,0.898,0.4752,0.00442,0.28699,0.72912,0.48867,15.83013,23.61937,1.53434,1.02834,2.56269,1.21779,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,2,7,Rhizophora mangle,Rhizophoraceae,8,DBH,alive,NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,1.71569,1.18676,2.90245,1.37925,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,2,7,Rhizophora mangle,Rhizophoraceae,8,DBH,dead,3,NA,0.898,0.4752,0.00503,0.32653,0.40765,0.56395,18.26873,13.20553,0.85785,1.18676,2.04461,0.9716,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,2,7,Rhizophora mangle,Rhizophoraceae,8,DBH,alive,NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,1.71569,1.18676,2.90245,1.37925,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,5,7,Rhizophora mangle,Rhizophoraceae,8,DBH,dead,3,NA,0.898,0.4752,0.00503,0.32653,0.40765,0.56395,18.26873,13.20553,0.85785,1.18676,2.04461,0.9716,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,2,7,Rhizophora mangle,Rhizophoraceae,9,DBH,alive,NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,2.10371,1.54142,3.64513,1.73216,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,2,7,Rhizophora mangle,Rhizophoraceae,11,DBH,alive,NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,2.97743,2.40655,5.38398,2.55847,NA
Cifuentes_et_al_2023_Panama,Las Matita,2,7,Pelliciera rhizophorae,Theaceae,8,DBH,dead,3,NA,0.811,0.4669,0.00503,0.32653,0.51421,0.50559,16.6695,16.95376,1.10134,1.08287,2.18421,1.01981,cut for firewood
Cifuentes_et_al_2023_Panama,Boca del R’o,2,7,Pelliciera rhizophorae,Theaceae,14,DBH,alive,NA,NA,0.811,0.4669,0.01539,1,4.07425,1.75124,57.73871,134.32893,8.72617,3.75078,12.47694,5.82549,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,2,7,Pelliciera rhizophorae,Theaceae,29,DBH,alive,NA,NA,0.811,0.4669,0.06605,4.29082,24.43833,8.81991,290.79463,805.73764,52.34168,18.89037,71.23205,33.25825,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,3,7,Rhizophora mangle,Rhizophoraceae,5.5,DBH,dead,1,NA,0.898,0.4752,0.00238,0.15434,0.41557,0.24546,7.95158,13.462,0.87451,0.51654,1.39105,0.66103,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,3,7,Rhizophora mangle,Rhizophoraceae,7.8,DBH,alive,NA,NA,0.898,0.4752,0.00478,0.31041,0.78034,0.53312,17.27025,25.2786,1.64213,1.1219,2.76402,1.31346,NA
Cifuentes_et_al_2023_Panama,Las Matita,6,7,Rhizophora mangle,Rhizophoraceae,8,DBH,dead,3,NA,0.898,0.4752,0.00503,0.32653,0.40765,0.56395,18.26873,13.20553,0.85785,1.18676,2.04461,0.9716,cut for firewood
Cifuentes_et_al_2023_Panama,Boca del R’o,3,7,Rhizophora mangle,Rhizophoraceae,9,DBH,alive,NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,2.10371,1.54142,3.64513,1.73216,NA
Cifuentes_et_al_2023_Panama,Las Matita,6,7,Rhizophora mangle,Rhizophoraceae,8,DBH,dead,3,NA,0.898,0.4752,0.00503,0.32653,0.40765,0.56395,18.26873,13.20553,0.85785,1.18676,2.04461,0.9716,cut for firewood
Cifuentes_et_al_2023_Panama,Boca del R’o,3,7,Rhizophora mangle,Rhizophoraceae,9,DBH,alive,NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,2.10371,1.54142,3.64513,1.73216,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,3,7,Rhizophora mangle,Rhizophoraceae,10,DBH,alive,NA,NA,0.898,0.4752,0.00785,0.5102,1.19969,0.92551,29.98116,38.86308,2.52459,1.94761,4.4722,2.12519,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,3,7,Rhizophora mangle,Rhizophoraceae,10,DBH,alive,NA,NA,0.898,0.4752,0.00785,0.5102,1.19969,0.92551,29.98116,38.86308,2.52459,1.94761,4.4722,2.12519,NA
Cifuentes_et_al_2023_Panama,Las Matita,6,7,Rhizophora mangle,Rhizophoraceae,8,DBH,dead,3,NA,0.898,0.4752,0.00503,0.32653,0.40765,0.56395,18.26873,13.20553,0.85785,1.18676,2.04461,0.9716,cut for firewood
Cifuentes_et_al_2023_Panama,Boca del R’o,3,7,Pelliciera rhizophorae,Theaceae,11,DBH,alive,NA,NA,0.811,0.4669,0.0095,0.61735,2.25112,1.02526,33.80295,74.21994,4.82142,2.19588,7.0173,3.27638,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,3,7,Rhizophora mangle,Rhizophoraceae,11,DBH,alive,NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,2.97743,2.40655,5.38398,2.55847,NA
Cifuentes_et_al_2023_Panama,Los Algarrobos,1,7,Rhizophora mangle,Rhizophoraceae,8,DBH,dead,3,NA,0.898,0.4752,0.00503,0.32653,0.40765,0.56395,18.26873,13.20553,0.85785,1.18676,2.04461,0.9716,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,3,7,Rhizophora mangle,Rhizophoraceae,22,DBH,alive,NA,NA,0.898,0.4752,0.03801,2.46939,4.69679,5.32792,172.59446,152.14962,9.88382,11.21194,21.09577,10.02471,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,4,7,Rhizophora mangle,Rhizophoraceae,6,DBH,alive,NA,NA,0.898,0.4752,0.00283,0.18367,0.4955,0.29777,9.64593,16.05155,1.04273,0.62661,1.66934,0.79327,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,4,7,Rhizophora mangle,Rhizophoraceae,6.4,DBH,alive,NA,NA,0.898,0.4752,0.00322,0.20898,0.55407,0.34364,11.13187,17.94877,1.16597,0.72314,1.88911,0.89771,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,4,7,Rhizophora mangle,Rhizophoraceae,10,DBH,alive,NA,NA,0.898,0.4752,0.00785,0.5102,1.19969,0.92551,29.98116,38.86308,2.52459,1.94761,4.4722,2.12519,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,4,7,Pelliciera rhizophorae,Theaceae,17,DBH,alive,NA,NA,0.811,0.4669,0.0227,1.47449,6.56866,2.69487,88.85041,216.57031,14.06867,5.77183,19.8405,9.26353,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,5,7,Rhizophora mangle,Rhizophoraceae,6,DBH,alive,NA,NA,0.898,0.4752,0.00283,0.18367,0.4955,0.29777,9.64593,16.05155,1.04273,0.62661,1.66934,0.79327,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,5,7,Rhizophora mangle,Rhizophoraceae,6.8,DBH,alive,NA,NA,0.898,0.4752,0.00363,0.23592,0.61538,0.39314,12.73557,19.93472,1.29498,0.82732,2.1223,1.00852,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,2,7,Rhizophora mangle,Rhizophoraceae,8.5,DBH,dead,3,NA,0.898,0.4752,0.00567,0.36862,0.45275,0.64519,20.90059,14.66666,0.95276,1.35773,2.31049,1.09795,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,5,7,Rhizophora mangle,Rhizophoraceae,8,DBH,alive,NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,1.71569,1.18676,2.90245,1.37925,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,3,7,Rhizophora mangle,Rhizophoraceae,8.5,DBH,dead,3,NA,0.898,0.4752,0.00567,0.36862,0.45275,0.64519,20.90059,14.66666,0.95276,1.35773,2.31049,1.09795,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,5,7,Rhizophora mangle,Rhizophoraceae,9,DBH,alive,NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,2.10371,1.54142,3.64513,1.73216,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,5,7,Rhizophora mangle,Rhizophoraceae,9,DBH,alive,NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,2.10371,1.54142,3.64513,1.73216,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Rhizophora mangle,Rhizophoraceae,9,DBH,dead,3,NA,0.898,0.4752,0.00636,0.41327,0.49984,0.73248,23.72831,16.19202,1.05185,1.54142,2.59327,1.23232,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,5,7,Pelliciera rhizophorae,Theaceae,9.4,DBH,alive,NA,NA,0.811,0.4669,0.00694,0.45082,1.52921,0.72324,23.84551,50.4184,3.27524,1.54903,4.82427,2.25245,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,5,7,Rhizophora mangle,Rhizophoraceae,10,DBH,alive,NA,NA,0.898,0.4752,0.00785,0.5102,1.19969,0.92551,29.98116,38.86308,2.52459,1.94761,4.4722,2.12519,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,5,7,Rhizophora mangle,Rhizophoraceae,10,DBH,alive,NA,NA,0.898,0.4752,0.00785,0.5102,1.19969,0.92551,29.98116,38.86308,2.52459,1.94761,4.4722,2.12519,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,1,7,Rhizophora mangle,Rhizophoraceae,9,DBH,dead,3,NA,0.898,0.4752,0.00636,0.41327,0.49984,0.73248,23.72831,16.19202,1.05185,1.54142,2.59327,1.23232,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,3,7,Rhizophora mangle,Rhizophoraceae,9,DBH,dead,3,NA,0.898,0.4752,0.00636,0.41327,0.49984,0.73248,23.72831,16.19202,1.05185,1.54142,2.59327,1.23232,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,5,7,Rhizophora mangle,Rhizophoraceae,9,DBH,dead,3,NA,0.898,0.4752,0.00636,0.41327,0.49984,0.73248,23.72831,16.19202,1.05185,1.54142,2.59327,1.23232,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,5,7,Rhizophora mangle,Rhizophoraceae,15,DBH,alive,NA,NA,0.898,0.4752,0.01767,1.14796,2.42037,2.27668,73.75154,78.40634,5.09337,4.79099,9.88436,4.69705,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,5,7,Rhizophora mangle,Rhizophoraceae,25,DBH,alive,NA,NA,0.898,0.4752,0.04909,3.18878,5.86006,7.07629,229.23204,189.83284,12.33177,14.89119,27.22296,12.93635,NA
Cifuentes_et_al_2023_Panama,Las Matita,1,7,Rhizophora mangle,Rhizophoraceae,9,DBH,dead,3,NA,0.898,0.4752,0.00636,0.41327,0.49984,0.73248,23.72831,16.19202,1.05185,1.54142,2.59327,1.23232,cut for firewood
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Rhizophora mangle,Rhizophoraceae,6,DBH,alive,NA,NA,0.898,0.4752,0.00283,0.18367,0.4955,0.29777,9.64593,16.05155,1.04273,0.62661,1.66934,0.79327,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Rhizophora mangle,Rhizophoraceae,8,DBH,alive,NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,1.71569,1.18676,2.90245,1.37925,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Rhizophora mangle,Rhizophoraceae,9,DBH,alive,NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,2.10371,1.54142,3.64513,1.73216,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Pelliciera rhizophorae,Theaceae,9.4,DBH,alive,NA,NA,0.811,0.4669,0.00694,0.45082,1.52921,0.72324,23.84551,50.4184,3.27524,1.54903,4.82427,2.25245,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Rhizophora mangle,Rhizophoraceae,11,DBH,alive,NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,2.97743,2.40655,5.38398,2.55847,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Rhizophora mangle,Rhizophoraceae,11,DBH,alive,NA,NA,0.898,0.4752,0.0095,0.61735,1.41488,1.14359,37.04591,45.83402,2.97743,2.40655,5.38398,2.55847,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Pelliciera rhizophorae,Theaceae,12,DBH,alive,NA,NA,0.811,0.4669,0.01131,0.73469,2.78842,1.24372,41.00579,91.93491,5.9722,2.66379,8.63599,4.03214,NA
Cifuentes_et_al_2023_Panama,Las Matita,2,7,Pelliciera rhizophorae,Theaceae,9,DBH,dead,3,NA,0.811,0.4669,0.00636,0.41327,0.68704,0.65669,21.65116,22.65172,1.47148,1.40649,2.87797,1.34372,cut for firewood
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Pelliciera rhizophorae,Theaceae,15,DBH,alive,NA,NA,0.811,0.4669,0.01767,1.14796,4.82789,2.0411,67.29541,159.17654,10.3403,4.37159,14.71189,6.86898,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Pelliciera rhizophorae,Theaceae,16,DBH,alive,NA,NA,0.811,0.4669,0.02011,1.30612,5.65858,2.35552,77.66211,186.56481,12.11947,5.04502,17.1645,8.0141,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Rhizophora mangle,Rhizophoraceae,16,DBH,alive,NA,NA,0.898,0.4752,0.02011,1.30612,2.70645,2.62739,85.1128,87.67361,5.69538,5.52903,11.22441,5.33384,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Pelliciera rhizophorae,Theaceae,16,DBH,alive,NA,NA,0.811,0.4669,0.02011,1.30612,5.65858,2.35552,77.66211,186.56481,12.11947,5.04502,17.1645,8.0141,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Rhizophora mangle,Rhizophoraceae,17,DBH,alive,NA,NA,0.898,0.4752,0.0227,1.47449,3.0059,3.00591,97.37447,97.37428,6.32555,6.32556,12.65111,6.01181,NA
Cifuentes_et_al_2023_Panama,Boca del R’o,6,7,Rhizophora mangle,Rhizophoraceae,49,DBH,alive,NA,NA,0.898,0.4752,0.18857,12.25,18.78439,31.52204,1021.1365,608.50845,39.52944,66.33425,105.86369,50.30643,NA
Cifuentes_et_al_2023_Panama,Las Matita,2,7,Rhizophora mangle,Rhizophoraceae,9,DBH,dead,3,NA,0.898,0.4752,0.00636,0.41327,0.49984,0.73248,23.72831,16.19202,1.05185,1.54142,2.59327,1.23232,cut for firewood
Cifuentes_et_al_2023_Panama,Las Matita,1,7,Rhizophora mangle,Rhizophoraceae,7,DBH,alive,NA,NA,0.898,0.4752,0.00385,0.25,0.64704,0.41927,13.58208,20.96051,1.36162,0.88231,2.24393,1.06631,NA
Cifuentes_et_al_2023_Panama,Las Matita,1,7,Rhizophora mangle,Rhizophoraceae,7.6,DBH,alive,NA,NA,0.898,0.4752,0.00454,0.29469,0.74603,0.50325,16.30252,24.16715,1.56993,1.05903,2.62896,1.24928,NA
Cifuentes_et_al_2023_Panama,Las Matita,1,7,Rhizophora mangle,Rhizophoraceae,8,DBH,alive,NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,1.71569,1.18676,2.90245,1.37925,NA
Cifuentes_et_al_2023_Panama,Las Matita,1,7,Rhizophora mangle,Rhizophoraceae,8,DBH,alive,NA,NA,0.898,0.4752,0.00503,0.32653,0.8153,0.56395,18.26873,26.41107,1.71569,1.18676,2.90245,1.37925,NA
Cifuentes_et_al_2023_Panama,Las Matita,1,7,Rhizophora mangle,Rhizophoraceae,9,DBH,alive,NA,NA,0.898,0.4752,0.00636,0.41327,0.99968,0.73248,23.72831,32.38404,2.10371,1.54142,3.64513,1.73216,NA
