Site,Status,ID,Date,Lat,Lon,Depth,Elevation,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e,wtC,wtN,13C,15N,Age,Age_e,VAR,MAR,CAR,Year,Year_restored
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,14.5,123.8,0.2426,5.8356,0.3385,1.8083,0.1036,4.0274,0.354,0,0,0,0,22.88,0.96,-16.2,3.42,50.3,3.3,2.8,674,154,1965.2,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,15.5,122.8,0.2975,5.2008,0.2314,1.7369,0.0855,3.4639,0.2467,0,0,0,0,    ,    ,    ,    ,54.6,3.8,2.3,694,,1960.9,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,16.5,121.8,0.2977,4.64,0.2496,1.966,0.09,2.6739,0.2654,0.4162,0.0506,0,0,15.9,0.76,-16.18,3.18,58.4,4.2,2.7,793,126,1957.1,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,17.5,120.8,0.2316,4.8631,0.3112,2.128,0.1283,2.7351,0.3367,0,0,0,0,    ,    ,    ,    ,61.7,4.7,3,694,,1953.8,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,18.5,119.8,0.4647,4.2272,0.1911,2.0282,0.0738,2.199,0.2048,0.6239,0.0404,0,0,12.85,0.64,-16.07,3.16,68,5.7,1.6,745,96,1947.6,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,19.5,118.8,0.2967,4.4544,0.2156,2.3051,0.0851,2.1493,0.2318,0.7291,0.0505,0,0,    ,    ,    ,    ,72.6,6.6,2.2,643,,1942.9,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,20.5,117.8,0.39,3.7896,0.1656,2.1723,0.0671,1.6172,0.1787,0.2974,0.0356,0,0,9.66,0.48,-15.65,2.68,77.9,7.8,1.9,733,71,1937.6,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,21.5,116.8,0.5536,3.4896,0.1462,2.1747,0.0574,1.3148,0.1571,0.7941,0.0354,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,22.5,115.8,0.3957,3.2485,0.1878,2.4975,0.0779,0.751,0.2033,0.7049,0.0446,0,0,8.33,0.4,-15.72,2.88,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,23.5,114.8,0.3947,3.655,0.1806,2.8292,0.0812,0.8258,0.198,0.7135,0.0397,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,24.5,113.8,0.5935,4.1336,0.2377,3.0504,0.0997,1.0832,0.2578,0.6656,0.0501,0,0,7.38,0.34,-15.66,2.71,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,25.5,112.8,0.4672,3.2914,0.2291,2.5353,0.0958,0.7561,0.2483,0.2236,0.0406,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,26.5,111.8,0.6516,2.6996,0.1884,2.2149,0.078,0.4846,0.2039,0.3225,0.0341,0,0,6.16,0.3,-15.59,2.65,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,27.5,110.8,0.4654,2.8706,0.2509,1.8915,0.0989,0.9791,0.2697,0.1737,0.0434,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,28.5,109.8,0.3484,2.8778,0.2463,1.7692,0.1122,1.1086,0.2707,0.3037,0.047,0,0,13.6,0.62,-14.96,2.94,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,29.5,108.8,0.3268,0.697,0.1691,0.6879,0.0624,0.0092,0.1802,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,31,107.3,0.2174,2.7407,0.1924,1.4382,0.0683,1.3025,0.2042,0.3081,0.0333,0,0,8.94,0.58,-16.1,3.4,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,33,105.3,0.3093,2.4141,0.1825,0.743,0.0651,1.6711,0.1938,0.1086,0.0304,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,35,103.3,0.149,2.6504,0.1975,0.438,0.0493,2.2124,0.2035,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,37,101.3,0.1784,1.1381,0.107,0.3298,0.0388,0.8083,0.1138,0,0,0,0,26.41,1.32,-14.87,1.03,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,39,99.3,0.0959,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,41,97.3,0.1472,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,43,95.3,0.5298,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,11.9,0.69,-16.9,1.32,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,45,93.3,1.2819,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,47,91.3,1.1473,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,49,89.3,1.3367,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.28,0.02,-21.4,1.71,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,51,87.3,1.7828,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,53,85.3,1.6071,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,55,83.3,1.8911,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.12,0.01,-19.69,-1.24,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,57,81.3,1.9069,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.27,0.03,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,59,79.3,1.0372,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,61,77.3,0.4133,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,13.45,0.61,-14.89,2.32,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,63,75.3,0.3455,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,65,73.3,0.2866,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,67,71.3,0.3596,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,8.86,0.47,-18.59,1.66,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,69,69.3,0.3228,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,2005
Quivett,Restored,QCRA,6/3/2015,41.74673,-70.14388,71.5,66.8,0.2629,1.3105,0.1249,1.0466,0.0504,0.2639,0.1347,0,0,0,0,16.58,0.8,-15.55,1.47,   ,   ,  ,,,   ,2005
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,0,142.9,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,2015.5,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,0.5,142.4,0.3231,18.3507,0.4202,1.3037,0.0937,17.047,0.4306,0,0,3.8318,0.4809,11.41,0.94,-16.48,3.1,4.7,0.9,2.1,688,78,2010.8,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,1.5,141.4,0.2178,14.1239,0.452,1.1002,0.1075,13.0238,0.4646,0,0,0,0,13.2,0.93,    ,    ,7.4,1,3.7,802,106,2008.1,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,2.5,140.4,0.211,11.3308,0.3954,1.1317,0.0938,10.1991,0.4064,0,0,0,0,14.71,0.88,    ,    ,9.6,1,4.5,948,139,2005.9,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,3.5,139.4,0.3113,7.2772,0.2423,0.67,0.0595,6.6072,0.2495,0,0,0,0,14.68,0.81,    ,    ,11.9,1.1,4.4,1364,200,2003.6,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,4.5,138.4,0.2624,7.9207,0.2994,1.3226,0.0849,6.5981,0.3112,0,0,0,0,13.2,0.73,    ,    ,14,1.2,4.9,1277,169,2001.5,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,5.5,137.4,0.308,5.6638,0.2792,0.899,0.0768,4.7647,0.2896,0,0,0,0,13.94,0.7,    ,    ,15.8,1.2,5.4,1664,232,1999.7,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,6.5,136.4,0.1907,5.155,0.3242,1.0737,0.1021,4.0813,0.3399,0,0,0,0,15.41,0.8,    ,    ,16.9,1.2,  ,,,1998.7,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,7.5,135.4,0.2674,6.3207,0.4045,0.9627,0.1072,5.358,0.4185,0,0,0,0,15.94,0.85,    ,    ,18.8,1.3,5,1350,215,1996.7,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,8.5,134.4,0.2652,9.0082,0.4135,0.9383,0.1028,8.0699,0.4261,0,0,0,0,14.35,0.8,    ,    ,22,1.4,3.1,827,119,1993.5,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,9.5,133.4,0.2469,9.9005,0.4703,1.0446,0.1146,8.8558,0.484,0,0,0,0,16.79,0.83,    ,    ,25.7,1.6,2.7,678,114,1989.8,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,10.5,132.4,0.2055,11.9685,0.6008,0.5466,0.1309,11.4219,0.6149,0,0,0,0,15.24,0.78,-15.36,3,30.1,1.8,2.3,464,71,1985.4,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,11.5,131.4,0.3231,7.4922,0.433,0.7777,0.0954,6.7144,0.4434,0,0,0,0,14.78,0.74,    ,    ,34.8,2.1,2.1,684,101,1980.7,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,12.5,130.4,0.2185,8.8564,0.3667,0.7471,0.0932,8.1093,0.3783,0,0,0,0,17.42,0.81,    ,    ,39.3,2.4,2.2,491,86,1976.2,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,13.5,129.4,0.2787,6.7521,0.2687,0.4861,0.0635,6.266,0.2761,0.1801,0.038,0,0,15.26,0.74,    ,    ,44.4,2.8,2,548,84,1971.1,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,14.5,128.4,0.2241,6.1411,0.3169,0.7769,0.0977,5.3642,0.3316,0.411,0.053,0,0,18.49,0.85,    ,    ,48.4,3.2,2.5,555,103,1967.1,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,15.5,127.4,0.2311,4.0693,0.3353,0.6517,0.0982,3.4176,0.3494,0.6243,0.0716,0,0,15.99,0.8,    ,    ,51.4,3.5,3.4,781,125,1964.1,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,16.5,126.4,0.2531,4.1564,0.3516,0.9186,0.0777,3.2378,0.3601,1.218,0.0697,0,0,15.73,0.75,    ,    ,54.8,3.9,3,747,118,1960.8,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,17.5,125.4,0.2393,2.836,0.2053,0.7842,0.0714,2.0518,0.2174,0.7802,0.059,0,0,16.68,0.87,    ,    ,57,4.2,4.5,1081,180,1958.5,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,18.5,124.4,0.1794,2.6687,0.2754,0.7476,0.0857,1.9212,0.2884,0.5493,0.0623,0,0,18.46,0.93,    ,    ,58.6,4.4,6.1,1087,201,1956.9,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,19.5,123.4,0.1992,1.8594,0.2802,0.621,0.0969,1.2384,0.2965,0,0,0,0,    ,    ,    ,    ,59.9,4.6,8.1,1612,,1955.7,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,20.5,122.4,0.1807,1.5549,0.3614,0.8005,0.0918,0.7544,0.3728,0.2536,0.0515,0,0,20.2,0.92,    ,    ,60.6,4.7,14.2,2567,519,1955,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,21.5,121.4,0.1817,1.6318,0.3109,0.7375,0.1046,0.8943,0.328,0,0,0,0,    ,    ,    ,    ,61.4,4.8,11.6,2113,,1954.1,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,22.5,120.4,0.1804,1.7293,0.3452,0.8232,0.1706,0.9061,0.385,0,0,0,0,23.76,1.01,    ,    ,62.3,4.9,11.2,2030,482,1953.2,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,23.5,119.4,0.1957,3.3258,0.3755,0.7498,0.1101,2.576,0.3913,0,0,0,0,    ,    ,    ,    ,65.2,5.4,3.4,673,,1950.3,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,24.5,118.4,0.2128,5.2739,0.3644,0.7172,0.1259,4.5567,0.3856,0,0,0,0,22.87,1.1,    ,    ,71.7,6.6,1.5,329,75,1943.8,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,25.5,117.4,0.2125,3.7346,0.1845,0.4113,0.0545,3.3234,0.1924,0,0,0,0,    ,    ,    ,    ,77.4,7.9,1.8,374,,1938.2,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,26.5,116.4,0.1431,0,0,0,0,0,0,0,0,0,0,24.78,1.17,-13.94,3.29,81.6,9,2.4,338,84,1933.9,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,27.5,115.4,0.1308,2.2069,0.2315,0.501,0.0859,1.7059,0.2469,0,0,0,0,    ,    ,    ,    ,83.9,9.7,4.3,563,,1931.6,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,28.5,114.4,0.1804,1.4822,0.1407,0.4039,0.0606,1.0783,0.1532,0,0,0,0,22.83,1.09,    ,    ,86.1,10.4,4.6,831,190,1929.4,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,29.5,113.4,0.1589,1.616,0.2001,0.311,0.0746,1.305,0.2135,0,0,0,0,    ,    ,    ,    ,88.6,11.2,4,639,,1926.9,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,31,111.9,0.1494,3.0683,0.2105,1.0755,0.0752,1.9928,0.2235,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,33,109.9,0.1578,3.2933,0.382,0.5415,0.1306,2.7518,0.4037,0,0,0,0,23.41,1.1,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,35,107.9,0.1513,1.8278,0.1852,0.3204,0.0589,1.5074,0.1943,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,37,105.9,0.1306,0.6352,0.1222,0.2623,0.049,0.373,0.1316,0,0,0,0,21.89,0.94,-14.24,2.17,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,39,103.9,0.1868,1.1505,0.1517,0.6263,0.0598,0.5242,0.1631,0,0,0,0,    ,    ,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,41,101.9,0.1605,0.4998,0.1087,0.3736,0.049,0.1262,0.1192,0,0,0,0,23.33,1.13,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,43,99.9,0.1674,1.1463,0.1888,0.3925,0.0614,0.7538,0.1985,0,0,0,0,20.18,0.98,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,45,97.9,0.1873,0.4835,0.1206,0.3846,0.0549,0.099,0.1325,0,0,0,0,18.06,0.84,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,47,95.9,0.1892,0.9004,0.1243,0.8096,0.0521,0.0908,0.1348,0,0,0,0,16.03,1.02,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,49,93.9,0.2243,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,15.85,0.92,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,51,91.9,0.2071,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,53,89.9,0.1937,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,18.99,1.04,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,55,87.9,0.1461,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,19.49,0.93,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,57,85.9,0.1664,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,16.58,0.83,-13.72,1.4,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,59,83.9,0.1366,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,61,81.9,0.1652,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,15.81,0.79,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,63,79.9,0.1872,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,65,77.9,0.1989,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,15.91,0.97,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,67,75.9,0.1881,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,15.81,0.95,-14.07,1.94,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,69,73.9,0.1581,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,18.16,1.09,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,71,71.9,0.0972,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,73,69.9,0.1002,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,18.15,1.06,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,75,67.9,0.0965,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,20.16,1.08,    ,    ,   ,   ,  ,,,   ,
Bass,Natural,BCNA,6/10/2015,41.71575,-70.24023,77.5,65.9,0.1161,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,20.21,1.08,-14.08,2.12,   ,   ,  ,,,   ,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,0,145.5,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,2015.5,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,0.5,145,0.3519,10.1976,0.3681,1.0847,0.0901,9.1129,0.379,0,0,8.571,1.4639,12.93,0.9,-15.98,3.48,2.3,0.8,4.3,1513,196,2013.2,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,1.5,144,0.3699,9.0834,0.3479,0.7769,0.0792,8.3065,0.3568,0,0,0,0,    ,    ,    ,    ,4.7,0.8,4.2,1543,,2010.8,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,2.5,143,0.3865,9.9119,0.3608,0.9274,0.0803,8.9845,0.3696,0,0,0,0,    ,    ,    ,    ,7.7,0.9,3.4,1313,,2007.9,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,3.5,142,0.4073,9.5898,0.3519,0.832,0.0864,8.7578,0.3624,0,0,0,0,10.73,0.58,    ,    ,11,1,3,1222,131,2004.5,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,4.5,141,0.4481,6.868,0.2788,0.927,0.0868,5.9409,0.292,0,0,0,0,    ,    ,    ,    ,13.7,1.1,3.7,1639,,2001.8,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,5.5,140,0.3195,6.6349,0.2309,0.8614,0.0675,5.7734,0.2405,0,0,0,0,    ,    ,    ,    ,15.8,1.1,4.9,1565,,1999.8,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,6.5,139,0.3672,12.2574,0.402,1.0192,0.1039,11.2382,0.4152,0,0,0,0,14.63,0.81,-15.36,3.63,20.9,1.3,2,720,105,1994.7,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,7.5,138,0.32,8.09,0.3754,0.8626,0.0866,7.2274,0.3852,0,0,0,0,    ,    ,    ,    ,24.1,1.4,3.1,983,,1991.4,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,8.5,137,0.2248,4.9972,0.2369,1.0577,0.0872,3.9395,0.2524,0.1903,0.0402,0,0,    ,    ,    ,    ,25.5,1.5,7.5,1678,,1990.1,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,9.5,136,0.2474,4.5064,0.2591,0.7777,0.0876,3.7287,0.2735,0,0,0,0,14.91,0.73,    ,    ,26.9,1.5,6.9,1698,253,1988.6,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,10.5,135,0.2835,5.4099,0.2402,0.898,0.0722,4.512,0.2508,0,0,0,0,    ,    ,    ,    ,29.1,1.6,4.7,1327,,1986.5,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,11.5,134,0.4351,6.369,0.2662,0.6083,0.0681,5.7607,0.2748,0,0,0,0,    ,    ,    ,    ,33.7,1.9,2.2,936,,1981.8,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,12.5,133,0.3589,5.6512,0.1984,0.8644,0.063,4.7868,0.2081,0.0872,0.0298,0,0,10.97,0.53,-15.29,2.71,37.3,2.1,2.8,990,109,1978.2,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,13.5,132,0.2303,6.0891,0.313,0.4408,0.0831,5.6482,0.3238,0,0,0,0,    ,    ,    ,    ,40.4,2.3,3.3,756,,1975.1,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,14.5,131,0.1684,4.8837,0.3052,0.8239,0.1058,4.0598,0.323,0.2506,0.0548,0,0,    ,    ,    ,    ,42.1,2.4,5.8,977,,1973.4,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,15.5,130,0.2288,4.1014,0.2965,0.6652,0.1001,3.4362,0.313,0,0,0,0,16.92,0.83,    ,    ,44.2,2.6,4.8,1087,184,1971.3,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,16.5,129,0.2175,3.9212,0.2831,0.9172,0.1007,3.0041,0.3005,0.4226,0.0533,0,0,    ,    ,    ,    ,46.1,2.7,5.4,1169,,1969.5,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,17.5,128,0.1692,3.7764,0.1964,0.6967,0.061,3.0797,0.2056,0.2521,0.0411,0,0,    ,    ,    ,    ,47.6,2.8,6.4,1081,,1967.9,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,18.5,127,0.192,5.3765,0.2919,1.0495,0.0804,4.327,0.3028,1.231,0.062,0,0,17.07,0.91,-15.47,2.75,50.3,3.1,3.8,721,123,1965.2,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,19.5,126,0.2526,3.8656,0.1751,0.8596,0.0559,3.006,0.1838,0.6115,0.0444,0,0,    ,    ,    ,    ,52.9,3.3,3.8,955,,1962.6,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,20.5,125,0.2038,3.1932,0.2411,0.5377,0.0765,2.6554,0.2529,0.2003,0.0502,0,0,    ,    ,    ,    ,55,3.5,4.9,1005,,1960.6,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,21.5,124,0.1529,2.8598,0.2886,0.7673,0.0829,2.0925,0.3002,0.3058,0.0507,0,0,19.79,0.8,    ,    ,56.2,3.7,7.9,1212,240,1959.3,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,22.5,123,0.2313,3.7255,0.3103,0.8433,0.0889,2.8822,0.3228,0,0,0,0,    ,    ,    ,    ,59,4,3.6,826,,1956.5,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,23.5,122,0.2226,4.6036,0.2633,0.672,0.0821,3.9316,0.2758,0,0,0,0,    ,    ,    ,    ,63.1,4.6,2.4,545,,1952.4,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,24.5,121,0.2471,3.763,0.245,0.696,0.0835,3.0669,0.2588,0,0,0,0,20.19,0.99,-14.02,3.89,67.1,5.2,2.5,615,124,1948.4,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,25.5,120,0.2564,3.7551,0.2801,0.416,0.0915,3.3392,0.2947,0,0,0,0,    ,    ,    ,    ,72.4,6.1,1.9,490,,1943.2,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,26.5,119,0.209,2.1649,0.2604,0.7777,0.0851,1.3872,0.274,0,0,0,0,    ,    ,    ,    ,74.4,6.5,5,1053,,1941.2,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,27.5,118,0.1722,2.8906,0.2281,0.7137,0.0812,2.1768,0.2421,0,0,0,0,20.7,0.91,    ,    ,77.1,7,3.6,623,129,1938.4,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,28.5,117,0.2123,3.003,0.2117,0.5428,0.0755,2.4602,0.2248,0,0,0,0,    ,    ,    ,    ,81.4,8,2.3,494,,1934.1,
Bass,Natural,BCNB,6/10/2015,41.71634,-70.24052,29.5,116,0.1955,2.1949,0.2425,0.5829,0.0849,1.612,0.257,0,0,0,0,    ,    ,    ,    ,84.3,8.8,3.4,674,,1931.2,
