study_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_sd,total_pb210_activity,total_pb210_activity_sd,ra226_activity,ra226_activity_sd,pb210_unit,cs137_unit
Smith_et_al_2015,09WCC01_07,4,6,0.3672,0.247,0.38,0.05,5.16,0.12,1.25,0.07,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,6,8,0.2835,0.3274,0.43,0.05,6.13,0.14,0.97,0.06,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,8,10,0.2891,0.3226,0.52,0.06,4.48,0.11,0.89,0.07,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,10,12,0.303,0.25989999999999996,0.63,0.07,3.6,0.09,1.08,0.08,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,12,14,0.3347,0.239,0.73,0.07,2.9,0.07,1.18,0.08,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,14,16,0.3763,0.2011,0.87,0.07,2.66,0.07,1.19,0.07,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,16,18,0.3904,0.1761,1,0.08,2.36,0.06,1.27,0.08,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,18,20,0.3063,0.21530000000000002,2.1,0.12,2.24,0.06,1.43,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,20,22,0.3942,0.17489999999999997,1.74,0.1,2.39,0.06,1.23,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,22,24,0.4161,0.156,0.9,0.07,1.97,0.06,1.51,0.08,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,24,26,0.4255,0.139,0.41,0.07,1.9,0.05,1.39,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,26,28,0.4585,0.1477,0.26,0.06,1.85,0.05,1.18,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,28,30,0.4716,0.1315,0.2,0.06,1.89,0.05,1.2,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,30,32,0.4569,0.1319,0.15,0.05,1.55,0.05,1.21,0.07,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,32,34,0.41,0.1251,NA,NA,1.58,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,34,36,0.4037,0.1583,NA,NA,1.49,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,36,38,0.3153,0.2586,NA,NA,1.32,0.04,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,38,40,0.3372,0.19440000000000002,NA,NA,1.39,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,40,42,0.3688,0.18289999999999998,NA,NA,1.45,0.04,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,42,44,0.4028,0.2132,NA,NA,0.99,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,44,46,0.4044,0.36210000000000003,NA,NA,1.37,0.04,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,46,48,0.479,0.2506,NA,NA,1.05,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_07,48,50,0.4181,0.23070000000000002,NA,NA,1.12,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,0,2,0.3101,0.20989999999999998,NA,NA,5.9,0.1,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,2,4,0.233,0.2659,NA,NA,6.43,0.13,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,4,6,0.2479,0.2763,NA,NA,6.49,0.12,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,6,8,0.2254,0.3298,0.98,0.11,6.39,0.1,1.06,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,8,10,0.2085,0.3607,1.36,0.09,7.65,0.13,0.93,0.08,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,10,12,0.1989,0.34159999999999996,1.73,0.1,5.74,0.1,0.98,0.08,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,12,14,0.2126,0.3283,2.93,0.13,6.32,0.11,1.01,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,14,16,0.202,0.3643,3,0.14,5.79,0.17,1.02,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,16,18,0.1928,0.35009999999999997,2.98,0.18,2.4,0.06,1.01,0.13,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,18,20,0.1613,0.4639,2.55,0.17,1.42,0.04,0.93,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,20,22,0.1761,0.4118,2.39,0.19,1.49,0.04,1.02,0.15,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,22,24,0.1636,0.4057,1.32,0.13,1.17,0.03,0.94,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,24,26,0.1846,0.40659999999999996,0.91,0.1,2.15,0.05,0.87,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,26,28,0.1988,0.4017,0.82,0.13,1.22,0.04,1,0.13,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,28,30,0.1914,0.4058,0.48,0.11,1.9,0.05,0.8,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,30,32,0.1553,0.4388,0.2,0.09,1.35,0.04,0.83,0.13,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,32,34,0.1563,0.4485,0.15,0.09,0.85,0.03,0.85,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,34,36,0.1749,0.4386,0.09,0.07,1.33,0.04,1,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,36,38,0.2517,0.32189999999999996,0.07,0.06,1.13,0.04,0.98,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,38,40,0.2524,0.2979,NA,NA,1.28,0.04,1.11,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,40,42,0.2809,0.2622,NA,NA,0.94,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,42,44,0.2941,0.2391,NA,NA,0.75,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,44,46,0.2962,0.2259,NA,NA,0.74,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,46,48,0.3161,0.2086,NA,NA,0.76,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,48,50,0.2419,0.2772,NA,NA,0.62,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,50,52,0.2042,0.43479999999999996,NA,NA,0.72,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_08,52,54,0.2391,0.37829999999999997,NA,NA,0.94,0.03,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,0,2,0.2011,0.17350000000000002,NA,NA,4.05,0.092,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,2,4,0.3539,0.1311,NA,NA,4.91,0.109,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,4,6,0.3815,0.1548,NA,NA,4.91,0.096,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,6,8,0.3633,0.1371,NA,NA,5.46,0.094,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,8,10,0.4342,0.10220000000000001,NA,NA,4.39,0.082,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,10,12,0.3773,0.133,NA,NA,4.62,0.087,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,12,14,0.2921,0.19260000000000002,NA,NA,5.29,0.12,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,14,16,0.114,0.5141,0.37,0.08,13.1,0.247,0.69,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,16,18,0.1146,0.495,1.02,0.16,9.72,0.199,1.37,0.19,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,18,20,0.1122,0.5766,1.62,0.12,8.04,0.159,0.59,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,20,22,0.1598,0.4154,3.48,0.17,5.57,0.126,0.9,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,22,24,0.1673,0.342,9.39,0.34,4.01,0.093,0.97,0.15,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,24,26,0.2587,0.2262,5.85,0.2,3.3,0.074,1.17,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,26,28,0.2875,0.23120000000000002,2.44,0.17,2.74,0.056,1.17,0.13,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,28,30,0.2047,0.3712,0.85,0.1,2.38,0.056,0.7,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,30,32,0.1994,0.37929999999999997,0.4,0.09,2.08,0.051,0.78,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,32,34,0.2941,0.2623,0.29,0.06,1.54,0.045,0.96,0.08,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,34,36,0.3152,0.2186,0.22,0.06,1.24,0.032,1.03,0.08,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,36,38,0.2425,0.2518,NA,NA,1.29,0.038,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,38,40,0.2,0.3268,NA,NA,1.03,0.029,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,40,42,0.1864,0.36219999999999997,NA,NA,0.85,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,42,44,0.1987,0.31679999999999997,NA,NA,1.44,0.032,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,44,46,0.1822,0.39049999999999996,NA,NA,1.43,0.028,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,46,48,0.2247,0.2949,NA,NA,0.88,0.018,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,48,50,0.2435,0.3094,NA,NA,0.78,0.018,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,50,52,0.2668,0.3069,NA,NA,0.69,0.017,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,52,54,0.287,0.23829999999999998,NA,NA,0.74,0.018,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,54,56,0.3191,0.2488,NA,NA,0.89,0.022,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_09,56,58,0.2298,0.4461,NA,NA,NA,NA,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
