Saltmarsh_ID,Nation,Year,Lat_dec_deg ,Long_dec_deg,Grid_Reference,X_easting,Y_northing,Sampling_Method,Depth_cm,Dry_Bulk_Density_g_cm_3,OC_Perc,LOI_Perc,Soil_Texture,LOI_Perc,OC_Perc
Penhill,England,2019,51.08167,-4.09955,SS5303333470,253033,133470,Syringe,0_10,0.59,6.46,12.48,Not Sandy,12.48,6.46
Penhill,England,2019,51.08139,-4.099444444,SS5304033438,253040,133438,Syringe,0_10,0.62,7.63,14.94,Not Sandy,14.94,7.63
Penhill,England,2019,51.0803,-4.10005,SS5299433318,252994,133318,Syringe,0_10,0.55,9.91,19.06,Not Sandy,19.06,9.91
Polwheverel,England,2019,50.11239,-5.1650596,SW7380928388,173809,28388,Syringe,0_10,0.28,10.30,26.25,Not Sandy,26.25,10.30
Polwheverel,England,2019,50.11238,-5.1652207,SW7379728387,173797,28387,Syringe,0_10,0.31,14.06,28.39,Not Sandy,28.39,14.06
Polwheverel,England,2019,50.11236,-5.1654142,SW7378328385,173783,28385,Syringe,0_10,0.33,9.70,29.84,Not Sandy,29.84,9.70
Polwheverel,England,2019,50.11248,-5.16520975,SW7379828398,173798,28398,Syringe,0_10,0.33,10.50,30.84,Not Sandy,30.84,10.50
RAF Wainfleet,England,2019,53.055,0.23918062,TF5017253204,550172,353204,Syringe,0_10,1.05,3.78,7.58,Not Sandy,7.58,3.78
RAF Wainfleet,England,2019,53.05251,0.24178237,TF5035552933,550355,352933,Syringe,0_10,1.12,4.83,8.70,Not Sandy,8.70,4.83
RAF Wainfleet,England,2019,53.05446,0.23977071,TF5021453145,550214,353145,Syringe,0_10,1.22,4.83,9.29,Not Sandy,9.29,4.83
RAF Wainfleet,England,2019,53.05385,0.24041578,TF5025953079,550259,353079,Syringe,0_10,1.01,4.02,9.90,Not Sandy,9.90,4.02
RAF Wainfleet,England,2019,53.05316,0.24110645,TF5030853004,550308,353004,Syringe,0_10,1.03,4.50,10.47,Not Sandy,10.47,4.50
Red Wharf Bay,Wales,2019,53.29656,-4.187859535,SH5428379967,254283,379967,Syringe,0_10,1.24,1.20,1.64,Sandy ,1.64,1.20
Red Wharf Bay,Wales,2019,53.29652,-4.187846661,SH5428479962,254284,379962,Syringe,0_10,1.17,1.07,2.46,Sandy ,2.46,1.07
Red Wharf Bay,Wales,2019,53.29658,-4.187870026,SH5428279969,254282,379969,Syringe,0_10,1.00,2.31,4.95,Sandy ,4.95,2.31
Red Wharf Bay,Wales,2019,53.29662,-4.187976837,SH5427679974,254276,379974,Syringe,0_10,0.80,4.62,8.72,Not Sandy,8.72,4.62
Rockcliffe,England,2019,54.967,-3.0462,NY3311964098,333119,564098,Syringe,0_10,0.409,13.63,33.50,Not sandy,33.50,13.63
Rockcliffe,England,2019,54.9663,-3.0442,NY3324564018,333245,564018,Syringe,0_10,0.632,6.58,14.30,Not sandy,14.30,6.58
Rockcliffe,England,2019,54.9652,-3.0427,NY3334063895,333340,563895,Syringe,0_10,1.031,2.91,9.18,Not sandy,9.18,2.91
Rockcliffe,England,2019,54.965,-3.0403,NY3349363870,333493,563870,Syringe,0_10,0.683,8.07,14.51,Not sandy,14.51,8.07
