"[ID, identification; m, meters; _, degrees Celcius; mmHg, millimeters of Mercury; %, percent; mg/L, milligrams per liter; mS/cm, milliseimens per centimeter; mV, millivolts; dbar, decibar; uS/cm, microseimens per centimeter; m/s, meters per second; kg/m3, kilograms per cubic meter; NaN, not a number]",,,,,,,,,
Sample ID*,YSI Temperatures (_),YSI Pressure (mmHg),YSI Dissolved Oxygen (%),YSI Dissolved Oxygen (mg/L),YSI Specific Conductance (mS/cm),YSI Salinity,YSI pH,YSI pH (mV),YSI Oxidation Reduction Potential
15BIM09-DA357GfrDA356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA358G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA359G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA360G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA361G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA362G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA363G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA364GfrDA379 & DA380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA365G,31.7,761.5,121.8,7.77,40.19,25.48,8.38,-116.2,83.4
15BIM09-DA366GfrDA365,31.7,761.5,121.8,7.77,40.19,25.48,8.38,-116.2,83.4
15BIM09-DA367S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA368S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA369S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA370S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA375S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA376S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA377G,28.6,763.9,109.1,7.05,49.7,32.44,8.22,-72,165.2
15BIM09-DA378S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA379GfrDA380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA380G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
*G = PONAR or miniSEABOSS Grab sample; S = Land Surface Sample; frDAXXX =  field replicate of site specified,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
