study_id,site_id,core_id,year,latitude,longitude,position_method,position_notes,elevation,elevation_datum,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,habitat
Kauffman_et_al_2020,Skagit Wildlife Marsh,SKA-WIL-HM-5,2017,48.3219,-122.3942,RTK,NA,2.416,NAVD88,RTK,NA,oligohaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Skagit Wildlife Marsh,SKA-WIL-HM-6,2017,48.3219,-122.3939,RTK,NA,2.382,NAVD88,RTK,NA,oligohaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Otter Island Swamp,SNO-OTT-TS-1,2018,48.0132,-122.1508,RTK,NA,2.757,NAVD88,RTK,NA,mesohaline,measurement,refractometer,forested,swamp
Kauffman_et_al_2020,Otter Island Swamp,SNO-OTT-TS-2,2018,48.0133,-122.1506,RTK,NA,2.512,NAVD88,RTK,NA,mesohaline,measurement,refractometer,forested,swamp
Kauffman_et_al_2020,Otter Island Swamp,SNO-OTT-TS-3,2018,48.0133,-122.1503,RTK,NA,2.484,NAVD88,RTK,NA,mesohaline,measurement,refractometer,forested,swamp
Kauffman_et_al_2020,Otter Island Swamp,SNO-OTT-TS-4,2018,48.0135,-122.1501,RTK,NA,2.464,NAVD88,RTK,NA,mesohaline,measurement,refractometer,forested,swamp
Kauffman_et_al_2020,Otter Island Swamp,SNO-OTT-TS-5,2018,48.0135,-122.1499,RTK,NA,2.538,NAVD88,RTK,NA,mesohaline,measurement,refractometer,forested,swamp
Kauffman_et_al_2020,Otter Island Swamp,SNO-OTT-TS-6,2018,48.0135,-122.1496,RTK,NA,2.432,NAVD88,RTK,NA,polyhaline,measurement,refractometer,forested,swamp
Kauffman_et_al_2020,Criteser's Marsh,YAQ-CRI-HM-1,2018,44.5899,-123.9464,RTK,NA,2.613,NAVD88,RTK,NA,polyhaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Criteser's Marsh,YAQ-CRI-HM-2,2018,44.5898,-123.9466,RTK,NA,2.44,NAVD88,RTK,NA,polyhaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Criteser's Marsh,YAQ-CRI-HM-3,2018,44.5898,-123.9468,RTK,NA,2.495,NAVD88,RTK,NA,NA,NA,NA,emergent,marsh
Kauffman_et_al_2020,Criteser's Marsh,YAQ-CRI-HM-4,2018,44.5897,-123.9471,RTK,NA,2.516,NAVD88,RTK,NA,polyhaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Criteser's Marsh,YAQ-CRI-HM-5,2018,44.5897,-123.9473,RTK,NA,2.484,NAVD88,RTK,NA,NA,NA,NA,emergent,marsh
Kauffman_et_al_2020,Criteser's Marsh,YAQ-CRI-HM-6,2018,44.5896,-123.9476,RTK,NA,2.491,NAVD88,RTK,NA,NA,NA,NA,emergent,marsh
Kauffman_et_al_2020,Poole Slough,YAQ-POO-LM-1,2018,44.5784,-124.0136,RTK,NA,2.23,NAVD88,RTK,NA,NA,NA,NA,emergent,marsh
Kauffman_et_al_2020,Poole Slough,YAQ-POO-LM-2,2018,44.5784,-124.0139,handheld,NA,NA,NA,NA,NA,mixoeuhaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Poole Slough,YAQ-POO-LM-3,2018,44.5783,-124.0141,handheld,NA,NA,NA,NA,NA,NA,NA,NA,emergent,marsh
Kauffman_et_al_2020,Poole Slough,YAQ-POO-LM-4,2018,44.5782,-124.0143,RTK,NA,1.982,NAVD88,RTK,NA,mixoeuhaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Poole Slough,YAQ-POO-LM-5,2018,44.5781,-124.0145,RTK,NA,2.212,NAVD88,RTK,NA,NA,NA,NA,emergent,marsh
Kauffman_et_al_2020,Poole Slough,YAQ-POO-LM-6,2018,44.5781,-124.0147,RTK,NA,1.986,NAVD88,RTK,NA,NA,NA,NA,emergent,marsh
Kauffman_et_al_2020,Sally's Bend,YAQ-SAL-SG-1,2017,44.6253,-124.0207,RTK,NA,-0.232,NAVD88,RTK,NA,mixoeuhaline,measurement,refractometer,seagrass,seagrass
Kauffman_et_al_2020,Sally's Bend,YAQ-SAL-SG-2,2017,44.6253,-124.0208,RTK,NA,-0.239,NAVD88,RTK,NA,mixoeuhaline,measurement,refractometer,seagrass,seagrass
Kauffman_et_al_2020,Sally's Bend,YAQ-SAL-SG-3,2017,44.6254,-124.021,RTK,NA,-0.201,NAVD88,RTK,NA,mixoeuhaline,measurement,refractometer,seagrass,seagrass
Kauffman_et_al_2020,Sally's Bend,YAQ-SAL-SG-4,2017,44.6254,-124.0213,RTK,NA,-0.164,NAVD88,RTK,NA,mixoeuhaline,measurement,refractometer,seagrass,seagrass
Kauffman_et_al_2020,Sally's Bend,YAQ-SAL-SG-5,2017,44.6255,-124.0215,RTK,NA,-0.2,NAVD88,RTK,NA,mixoeuhaline,measurement,refractometer,seagrass,seagrass
Kauffman_et_al_2020,Sally's Bend,YAQ-SAL-SG-6,2017,44.6256,-124.0218,RTK,NA,-0.186,NAVD88,RTK,NA,mixoeuhaline,measurement,refractometer,seagrass,seagrass
