"study_id","site_id","plot_id","subtransect_id","size_class","debris_transect_length","debris_diameter","debris_class"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_3","b",">7.5","12","13","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_2","a",">7.5","12","14.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_2","a","2.5-7.5","5","6.5","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_2","b",">7.5","12","13","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_2","b",">7.5","12","13","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_2","b",">7.5","12","9.8","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_2","c","2.5-7.5","5","3.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_2","c","2.5-7.5","5","3.6","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_1","a",">7.5","12","8.5","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_1","b",">7.5","12","19","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_1","a","2.5-7.5","5","5.1","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_1","c",">7.5","12","10","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_1","c",">7.5","12","13.5","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_1","c",">7.5","12","8","sound"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_1","c","2.5-7.5","5","5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_1","c",">7.5","12","10","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_1","c",">7.5","12","20","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_1","d",">7.5","12","30","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_1","d",">7.5","12","25","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_1","d",">7.5","12","22","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_1","d",">7.5","12","23","intermediate"
"Cifuentes_et_al_2024_Nicoya","Thiel","Thiel_Manglar_11_1","d",">7.5","12","24","intermediate"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_6","a","2.5-7.5","5","6.7","rotten"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_6","a","2.5-7.5","5","3.3","intermediate"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_6","c","2.5-7.5","5","3.6","intermediate"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_6","d",">7.5","12","14.7","sound"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_6","d",">7.5","12","22.2","sound"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_5","a","2.5-7.5","5","5.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_5","c","2.5-7.5","5","2.8","rotten"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_4","a","2.5-7.5","5","4","intermediate"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_4","b","2.5-7.5","5","2.9","sound"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_4","b","2.5-7.5","5","4","sound"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_4","b","2.5-7.5","5","7.2","sound"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_4","b","2.5-7.5","5","6.1","sound"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_4","b","2.5-7.5","5","3","sound"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_2","a","2.5-7.5","5","5.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_1","a","2.5-7.5","5","6.3","intermediate"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_1","a","2.5-7.5","5","3","intermediate"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_1","a","2.5-7.5","5","4.1","intermediate"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_1","a","2.5-7.5","5","4.1","intermediate"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_1","a","2.5-7.5","5","5.4","intermediate"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_1","a","2.5-7.5","5","7.1","intermediate"
"Cifuentes_et_al_2024_Nicoya","Lepanto","Lepanto_Manglar_13_1","c","2.5-7.5","5","5.6","intermediate"
"Cifuentes_et_al_2024_Nicoya","Paquera","Paquera_Manglar_14_4","a","2.5-7.5","5","4","intermediate"
"Cifuentes_et_al_2024_Nicoya","Paquera","Paquera_Manglar_14_3","a",">7.5","12","19","sound"
"Cifuentes_et_al_2024_Nicoya","Paquera","Paquera_Manglar_14_3","b",">7.5","12","15","rotten"
"Cifuentes_et_al_2024_Nicoya","Paquera","Paquera_Manglar_14_3","b","2.5-7.5","5","5","rotten"
"Cifuentes_et_al_2024_Nicoya","Paquera","Paquera_Manglar_14_3","c","2.5-7.5","5","4","rotten"
"Cifuentes_et_al_2024_Nicoya","Paquera","Paquera_Manglar_14_1","a","2.5-7.5","5","4.8","sound"
"Cifuentes_et_al_2024_Nicoya","Paquera","Paquera_Manglar_14_1","b","2.5-7.5","5","4.5","sound"
"Cifuentes_et_al_2024_Nicoya","Paquera","Paquera_Manglar_14_1","c","2.5-7.5","5","6","intermediate"
"Cifuentes_et_al_2024_Nicoya","Paquera","Paquera_Manglar_14_1","d",">7.5","12","9","sound"
