"[Abbreviations: ID, identification; cm, centimeter; µm, micron; Φ, phi particle size scale; %, percent; Dx, x% of particles are finer than reported value]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample/Core ID,"Depth
 (cm)","Sediment Texture 
(Folk, 1954)",Averaged Sample Runs,"Mean Grain Size 
(µm)","Mean Grain Size 
Standard Deviation
(µm)","Sorting 
(µm)","Sorting
 Standard Deviation 
(µm)","Skewness
 (µm)","Skewness 
Standard Deviation 
(µm)","Kurtosis 
(µm)","Kurtosis
 Standard Deviation 
(µm)","Mean Grain Size 
(Φ)","Mean Grain Size 
Standard Deviation 
(Φ)","Sorting 
(Φ)","Sorting 
Standard Deviation 
(Φ)","Skewness 
(Φ)","Skewness
 Standard Deviation 
(Φ)","Kurtosis
(Φ)","Kurtosis 
Standard Deviation 
(Φ)","Mean Grain Size 
(Descriptive)","Sorting
(Descriptive)","Skewness 
(Descriptive)","Kurtosis 
(Descriptive)","D10 
(µm)","D10 
Standard Deviation
 (µm)","D50 
(µm)","D50 
Standard Deviation 
(µm)","D90 
(µm)","D90 
Standard Deviation 
(µm)","Sand 
(%)","Sand 
Standard Deviation 
(%)","Mud 
(%)","Mud 
Standard Deviation 
(%)","Very Coarse Sand 
(%)","Coarse Sand
(%)","Medium Sand 
(%)","Fine Sand 
(%)","Very Fine Sand 
(%)","Very Coarse Silt 
(%)","Coarse Silt 
(%)","Medium Silt 
(%)","Fine Silt 
(%)","Very Fine Silt 
(%)","Clay 
(%)",,,,,,,
16CCT03-GB230M,15-16,Sandy Mud,N=8,43.64,0.31,3.825,0.012,-0.447,0.005,1.523,0.014,4.518,0.010,1.935,0.005,0.447,0.005,1.523,0.014,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,4.12,0.09,59.50,0.31,152.39,1.11,47.6,0.3,52.4,0.3,0.0,0.9,2.5,11.9,32.3,23.9,9.7,5.4,3.6,3.2,6.5,,,,,,,
16CCT03-GB230M,16-17,Sandy Mud,N=8,44.61,1.53,4.158,0.059,-0.402,0.020,1.511,0.020,4.487,0.050,2.056,0.021,0.402,0.020,1.511,0.020,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.95,0.19,60.50,1.35,175.86,10.02,48.5,1.0,51.5,1.0,0.0,1.3,4.1,12.8,30.3,22.6,9.7,5.6,3.7,3.1,6.8,,,,,,,
16CCT03-GB230M,17-18,Sandy Mud,N=8,43.96,1.22,4.291,0.085,-0.371,0.020,1.466,0.033,4.508,0.040,2.101,0.029,0.371,0.020,1.466,0.033,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.86,0.22,58.98,0.88,183.87,9.41,47.5,0.7,52.5,0.7,0.0,1.3,4.7,12.8,28.6,22.5,10.2,5.9,3.9,3.3,6.8,,,,,,,
16CCT03-GB230M,18-19,Sandy Mud,N=8,37.24,2.74,4.421,0.094,-0.400,0.019,1.295,0.081,4.751,0.106,2.144,0.031,0.400,0.019,1.295,0.081,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.98,0.38,52.76,2.00,162.81,6.93,43.1,1.3,56.9,1.3,0.0,0.8,3.8,11.6,27.0,22.6,11.3,6.8,4.5,3.9,7.7,,,,,,,
16CCT03-GB230M,19-20,Sandy Mud,N=8,34.49,0.84,4.388,0.035,-0.427,0.003,1.252,0.021,4.858,0.035,2.134,0.012,0.427,0.003,1.252,0.021,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.61,0.09,50.01,0.67,149.21,2.16,41.0,0.5,59.0,0.5,0.0,0.7,2.3,11.2,26.8,23.2,11.9,7.1,4.6,4.0,8.3,,,,,,,
16CCT03-GB230M,20-21,Sandy Mud,N=8,36.93,0.54,4.280,0.016,-0.417,0.010,1.282,0.020,4.759,0.021,2.098,0.005,0.417,0.010,1.282,0.020,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.01,0.07,52.55,0.23,155.80,2.84,42.9,0.2,57.1,0.2,0.0,1.3,2.3,11.7,27.6,23.0,11.4,6.7,4.5,4.1,7.4,,,,,,,
16CCT03-GB230M,21-22,Sandy Mud,N=8,36.66,0.26,4.327,0.018,-0.401,0.005,1.254,0.007,4.770,0.010,2.113,0.006,0.401,0.005,1.254,0.007,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.01,0.05,51.43,0.15,158.81,1.36,42.2,0.1,57.8,0.1,0.0,0.7,3.0,12.1,26.4,22.9,11.8,7.0,4.6,4.1,7.4,,,,,,,
16CCT03-GB230M,22-23,Sandy Mud,N=8,35.14,0.23,4.536,0.013,-0.390,0.004,1.205,0.008,4.831,0.009,2.181,0.004,0.390,0.004,1.205,0.008,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.79,0.03,50.23,0.20,164.14,1.38,41.7,0.1,58.3,0.1,0.0,1.2,3.0,12.3,25.1,22.3,11.8,7.1,4.9,4.6,7.6,,,,,,,
16CCT03-GB230M,23-24,Sandy Mud,N=8,35.34,0.26,4.591,0.062,-0.382,0.006,1.206,0.007,4.823,0.011,2.199,0.019,0.382,0.006,1.206,0.007,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.75,0.04,50.12,0.18,167.75,2.38,41.7,0.1,58.3,0.1,0.0,1.2,3.2,12.5,24.8,22.0,11.9,7.3,4.9,4.4,7.8,,,,,,,
16CCT03-GB230M,24-25,Sandy Mud,N=8,35.46,0.80,4.519,0.034,-0.392,0.004,1.182,0.011,4.818,0.032,2.176,0.011,0.392,0.004,1.182,0.011,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.76,0.05,50.03,0.88,163.84,4.20,41.8,0.7,58.2,0.7,0.0,0.6,2.9,13.4,24.9,21.8,12.0,7.4,4.9,4.3,7.8,,,,,,,
16CCT03-GB230M,25-26,Sandy Mud,N=8,38.68,0.65,4.518,0.040,-0.367,0.003,1.229,0.005,4.693,0.024,2.176,0.013,0.367,0.003,1.229,0.005,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.11,0.05,52.72,0.89,178.07,3.79,43.7,0.7,56.3,0.7,0.0,0.8,4.1,14.0,24.8,21.5,11.7,7.2,4.6,3.9,7.4,,,,,,,
16CCT03-GB230M,26-27,Sandy Mud,N=8,38.11,0.48,5.008,0.030,-0.343,0.002,1.163,0.011,4.714,0.018,2.324,0.009,0.343,0.002,1.163,0.011,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.76,0.05,53.42,0.50,200.94,2.11,44.7,0.3,55.3,0.3,0.0,1.3,5.4,15.0,23.0,19.7,11.2,7.1,5.0,4.5,7.7,,,,,,,
16CCT03-GB230M,27-28,Sandy Mud,N=8,35.89,1.58,5.069,0.192,-0.354,0.007,1.136,0.061,4.802,0.063,2.341,0.055,0.354,0.007,1.136,0.061,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.68,0.01,52.16,0.69,192.29,4.77,43.9,0.2,56.1,0.2,0.0,1.5,4.8,14.1,23.4,19.7,11.0,7.1,5.6,5.0,7.8,,,,,,,
16CCT03-GB230M,28-29,Sandy Mud,N=8,38.46,1.07,4.944,0.047,-0.371,0.006,1.162,0.016,4.701,0.040,2.306,0.014,0.371,0.006,1.162,0.016,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.74,0.04,55.35,1.18,197.74,5.06,45.8,0.7,54.2,0.7,0.0,1.2,5.0,15.3,24.3,19.3,10.7,7.0,5.0,4.5,7.8,,,,,,,
16CCT03-GB230M,29-30,Sandy Mud,N=8,36.91,0.98,5.252,0.072,-0.346,0.006,1.086,0.017,4.760,0.038,2.393,0.020,0.346,0.006,1.086,0.017,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.53,0.10,53.10,1.35,206.40,1.57,45.0,0.7,55.0,0.7,0.0,1.4,5.5,16.0,22.0,18.1,11.0,7.5,5.4,4.8,8.2,,,,,,,
16CCT03-GB230M,30-31,Sandy Mud,N=8,34.65,1.57,5.438,0.089,-0.339,0.007,1.033,0.013,4.853,0.065,2.443,0.024,0.339,0.007,1.033,0.013,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.33,0.06,50.25,2.16,207.65,12.65,43.7,1.3,56.3,1.3,0.0,1.2,5.6,15.8,21.1,17.5,11.3,7.9,5.8,5.2,8.7,,,,,,,
16CCT03-GB230M,31-32,Sandy Mud,N=8,29.47,0.84,5.461,0.088,-0.330,0.007,0.986,0.012,5.085,0.041,2.449,0.023,0.330,0.007,0.986,0.012,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.02,0.05,42.75,1.04,183.15,1.12,39.7,0.5,60.3,0.5,0.0,0.9,4.3,13.7,20.8,17.4,12.3,8.9,6.4,5.6,9.7,,,,,,,
16CCT03-GB230M,32-33,Sandy Mud,N=8,20.03,0.19,5.672,0.037,-0.197,0.002,0.885,0.004,5.642,0.014,2.504,0.009,0.197,0.002,0.885,0.004,Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.60,0.00,25.22,0.21,154.81,2.70,29.6,0.2,70.4,0.2,0.0,0.9,2.6,10.5,15.6,15.7,15.0,11.8,8.5,7.2,12.1,,,,,,,
16CCT03-GB230M,33-34,Sandy Mud,N=8,19.74,1.22,5.957,0.127,-0.125,0.003,0.890,0.004,5.665,0.090,2.574,0.031,0.125,0.003,0.890,0.004,Coarse Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.59,0.02,22.73,1.25,171.28,11.55,28.7,1.7,71.3,1.7,0.0,0.4,4.5,10.8,13.0,14.3,15.6,12.6,8.9,7.6,12.3,,,,,,,
16CCT03-GB230M,34-35,Sandy Mud,N=8,16.41,0.51,5.757,0.135,-0.104,0.013,0.916,0.010,5.930,0.044,2.525,0.034,0.104,0.013,0.916,0.010,Coarse Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,1.44,0.01,18.60,0.31,145.68,9.63,23.7,0.7,76.3,0.7,0.0,0.9,2.6,8.8,11.4,13.8,16.9,14.1,10.0,8.0,13.6,,,,,,,
16CCT03-GB230M,35-36,Sandy Mud,N=8,13.64,0.15,5.446,0.039,-0.101,0.003,0.937,0.001,6.196,0.016,2.445,0.010,0.101,0.003,0.937,0.001,Medium Silt,Very Poorly Sorted,Symmetrical,Mesokurtic,1.35,0.01,15.70,0.14,116.87,3.85,18.8,0.3,81.2,0.3,0.0,0.3,1.8,7.1,9.7,13.5,17.8,15.1,11.0,9.0,14.9,,,,,,,
16CCT03-GB230M,36-37,Sandy Mud,N=8,11.97,0.11,5.013,0.034,-0.127,0.005,0.947,0.008,6.385,0.013,2.326,0.010,0.127,0.005,0.947,0.008,Medium Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,1.30,0.00,14.26,0.08,90.33,1.56,15.1,0.2,84.9,0.2,0.0,0.0,0.6,5.8,8.7,13.5,18.9,16.1,11.7,9.3,15.4,,,,,,,
16CCT03-GB230M,37-38,Sandy Mud,N=8,12.07,0.17,4.998,0.059,-0.125,0.008,0.933,0.007,6.373,0.020,2.321,0.017,0.125,0.008,0.933,0.007,Medium Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,1.31,0.01,14.25,0.19,90.70,2.91,15.4,0.4,84.6,0.4,0.0,0.1,0.3,5.7,9.2,13.7,18.6,15.8,11.9,9.4,15.3,,,,,,,
16CCT03-GB230M,38-39,Sandy Mud,N=8,11.47,0.04,4.871,0.073,-0.130,0.007,0.928,0.009,6.446,0.005,2.284,0.022,0.130,0.007,0.928,0.009,Medium Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,1.29,0.00,13.62,0.07,83.12,1.21,14.2,0.1,85.8,0.1,0.0,0.0,0.0,5.1,9.2,13.4,18.8,16.2,12.2,9.6,15.6,,,,,,,
16CCT03-GB230M, 39-40 ,Sandy Mud,N=8,12.62,0.36,5.053,0.051,-0.157,0.025,0.900,0.019,6.309,0.042,2.337,0.014,0.157,0.025,0.900,0.019,Medium Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.30,0.01,15.30,0.70,88.48,2.93,16.4,0.6,83.6,0.6,0.0,0.0,0.1,5.1,11.2,14.8,18.2,15.1,11.1,8.9,15.4,,,,,,,
16CCT03-GB230M,40-41,Sandy Mud,N=8,11.06,0.73,4.652,0.077,-0.158,0.016,0.917,0.005,6.501,0.096,2.218,0.024,0.158,0.016,0.917,0.005,Medium Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,1.28,0.02,13.40,1.00,75.10,6.08,12.7,1.4,87.3,1.4,0.0,0.0,0.0,3.4,9.3,14.0,19.2,16.5,12.4,9.5,15.7,,,,,,,
16CCT03-GB230M,41-42,Mud,N=8,9.61,0.50,4.333,0.110,-0.166,0.039,0.917,0.007,6.703,0.074,2.115,0.037,0.166,0.039,0.917,0.007,Medium Silt,Very Poorly Sorted,Fine Skewed,Mesokurtic,1.23,0.05,11.72,0.95,58.39,2.98,9.1,0.7,90.9,0.7,0.0,0.0,0.0,2.3,6.7,13.1,20.0,17.6,13.6,10.1,16.5,,,,,,,
16CCT03-GB230M,42-43,Mud,N=8,9.46,0.31,4.279,0.075,-0.180,0.006,0.887,0.007,6.725,0.047,2.097,0.025,0.180,0.006,0.887,0.007,Medium Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.22,0.01,11.63,0.32,54.14,4.19,8.0,1.1,92.0,1.1,0.0,0.0,0.0,0.9,7.1,13.8,20.0,17.8,13.2,10.3,16.9,,,,,,,
16CCT03-GB230M,43-44,Mud,N=8,11.48,2.52,4.309,0.108,-0.216,0.051,0.922,0.022,6.481,0.322,2.107,0.036,0.216,0.051,0.922,0.022,Medium Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.34,0.14,14.53,3.73,62.46,13.00,10.7,3.7,89.3,3.7,0.0,0.0,0.0,1.6,9.0,16.2,20.3,16.6,12.2,9.0,15.1,,,,,,,
16CCT03-GB230M,44-45,Mud,N=8,8.94,0.63,4.135,0.233,-0.195,0.022,0.880,0.015,6.809,0.102,2.046,0.081,0.195,0.022,0.880,0.015,Medium Silt,Poorly Sorted,Fine Skewed,Platykurtic,1.21,0.02,11.11,0.72,48.76,8.35,6.5,2.4,93.5,2.4,0.0,0.0,0.0,1.2,5.3,12.8,20.8,18.6,13.4,10.7,17.3,,,,,,,
16CCT03-GB230M,45-45.5,Mud,N=8,8.91,0.06,4.091,0.054,-0.220,0.011,0.874,0.007,6.810,0.010,2.032,0.019,0.220,0.011,0.874,0.007,Medium Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.18,0.01,11.30,0.11,45.72,1.06,5.3,0.5,94.7,0.5,0.0,0.0,0.0,0.5,4.8,14.0,21.3,18.6,13.2,10.2,17.4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16CCT03-GB231M,0-1,Sand,N=8,158.51,0.90,2.053,0.020,-0.050,0.008,1.156,0.030,2.657,0.008,1.038,0.014,0.050,0.008,1.156,0.030,Fine Sand,Poorly Sorted,Symmetrical,Leptokurtic,63.41,0.90,154.82,0.90,374.08,1.42,90.2,0.2,9.8,0.2,0.0,3.1,22.0,38.4,26.7,5.3,1.3,0.7,0.5,0.5,1.4,,,,,,,
16CCT03-GB231M,1-2,Muddy Sand,N=8,151.99,2.58,2.406,0.014,-0.165,0.004,1.191,0.021,2.718,0.025,1.267,0.008,0.165,0.004,1.191,0.021,Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,47.26,0.89,155.11,3.01,396.15,5.62,85.7,0.3,14.3,0.3,0.0,3.9,24.2,32.7,24.9,7.7,2.3,1.1,0.8,0.8,1.7,,,,,,,
16CCT03-GB231M,2-3,Muddy Sand,N=8,136.67,1.70,2.527,0.025,-0.172,0.007,1.299,0.016,2.871,0.018,1.337,0.014,0.172,0.007,1.299,0.016,Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,39.78,0.83,139.40,1.30,371.79,3.61,82.9,0.4,17.1,0.4,0.0,3.2,20.3,32.3,27.2,9.1,2.9,1.4,0.9,0.9,2.0,,,,,,,
16CCT03-GB231M,3-4,Muddy Sand,N=8,129.94,0.55,2.615,0.025,-0.200,0.008,1.339,0.014,2.944,0.006,1.387,0.014,0.200,0.008,1.339,0.014,Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,36.07,0.27,134.62,0.64,359.04,1.90,81.2,0.1,18.8,0.1,0.0,2.8,19.2,31.9,27.4,10.0,3.2,1.5,1.0,1.0,2.1,,,,,,,
16CCT03-GB231M,4-5,Muddy Sand,N=8,140.90,1.27,2.726,0.105,-0.229,0.025,1.343,0.077,2.827,0.013,1.446,0.055,0.229,0.025,1.343,0.077,Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,37.39,1.76,146.79,0.48,387.79,3.06,82.6,0.3,17.4,0.3,0.0,3.5,23.1,31.1,24.9,8.8,2.8,1.4,1.1,1.2,2.1,,,,,,,
16CCT03-GB231M,5-6,Muddy Sand,N=8,136.83,5.14,2.821,0.023,-0.238,0.011,1.328,0.020,2.871,0.054,1.496,0.012,0.238,0.011,1.328,0.020,Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,33.57,1.35,144.13,6.04,390.60,10.89,81.1,0.7,18.9,0.7,0.0,3.7,22.8,30.0,24.6,9.5,3.2,1.7,1.1,1.1,2.3,,,,,,,
16CCT03-GB231M,6-7,Muddy Sand,N=8,140.78,1.04,2.678,0.006,-0.231,0.003,1.319,0.005,2.828,0.011,1.421,0.003,0.231,0.003,1.319,0.005,Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,37.12,0.20,147.84,1.23,385.81,2.81,82.6,0.1,17.4,0.1,0.0,3.5,22.8,31.7,24.5,8.8,3.0,1.6,1.1,1.0,2.1,,,,,,,
16CCT03-GB231M,7-8,Muddy Sand,N=8,152.22,1.09,2.739,0.010,-0.261,0.006,1.264,0.006,2.716,0.010,1.454,0.005,0.261,0.006,1.264,0.006,Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,37.76,0.17,163.42,1.84,418.00,1.46,83.3,0.1,16.7,0.1,0.0,4.8,26.9,29.9,21.8,8.1,2.9,1.6,1.0,1.0,2.1,,,,,,,
16CCT03-GB231M,8-9,Muddy Sand,N=8,142.21,0.49,2.895,0.011,-0.254,0.005,1.321,0.009,2.814,0.005,1.534,0.005,0.254,0.005,1.321,0.009,Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,32.80,0.32,151.50,0.50,411.09,2.03,81.5,0.1,18.5,0.1,0.0,4.7,24.3,29.5,23.0,8.9,3.2,1.8,1.2,1.1,2.3,,,,,,,
16CCT03-GB231M,9-10,Muddy Sand,N=8,141.76,0.31,3.031,0.009,-0.280,0.003,1.318,0.003,2.818,0.003,1.600,0.004,0.280,0.003,1.318,0.003,Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,29.58,0.16,154.38,0.44,421.32,1.31,80.6,0.0,19.4,0.0,0.0,5.2,25.1,28.4,21.9,9.0,3.5,2.0,1.3,1.2,2.4,,,,,,,
16CCT03-GB231M,10-11,Muddy Sand,N=8,126.54,3.20,3.269,0.077,-0.293,0.006,1.369,0.010,2.983,0.036,1.708,0.034,0.293,0.006,1.369,0.010,Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,22.31,1.75,139.58,2.65,399.36,3.72,77.5,0.8,22.5,0.8,0.0,4.3,22.5,27.7,22.9,10.1,4.2,2.4,1.6,1.4,2.8,,,,,,,
16CCT03-GB231M,11-12,Muddy Sand,N=8,133.06,5.42,3.234,0.086,-0.313,0.005,1.342,0.032,2.911,0.059,1.693,0.038,0.313,0.005,1.342,0.032,Fine Sand,Poorly Sorted,Very Fine Skewed,Leptokurtic,24.10,2.15,149.05,6.48,409.62,7.67,78.5,1.0,21.5,1.0,0.0,4.5,24.7,27.7,21.5,9.7,4.0,2.3,1.5,1.4,2.7,,,,,,,
16CCT03-GB231M,12-13,Muddy Sand,N=8,116.41,1.27,3.350,0.026,-0.273,0.007,1.351,0.013,3.103,0.016,1.744,0.011,0.273,0.007,1.351,0.013,Very Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,20.20,0.33,126.62,1.69,384.06,2.35,74.9,0.4,25.1,0.4,0.0,3.5,20.8,26.3,24.3,11.8,4.7,2.5,1.7,1.5,3.0,,,,,,,
16CCT03-GB231M,13-14,Muddy Sand,N=8,115.76,1.30,3.567,0.070,-0.284,0.005,1.259,0.023,3.111,0.016,1.834,0.028,0.284,0.005,1.259,0.023,Very Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,18.19,0.72,128.65,1.40,404.79,1.82,73.1,0.4,26.9,0.4,0.1,4.5,22.5,24.0,22.1,12.5,5.2,2.7,1.8,1.6,3.1,,,,,,,
16CCT03-GB231M,14-15,Muddy Sand,N=8,100.24,6.49,3.970,0.168,-0.271,0.010,1.305,0.041,3.321,0.093,1.988,0.061,0.271,0.010,1.305,0.041,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,12.63,2.27,110.54,5.66,393.25,9.86,69.0,1.5,31.0,1.5,0.0,4.1,19.8,21.6,23.4,13.8,6.0,3.3,2.2,2.0,3.8,,,,,,,
16CCT03-GB231M,15-16,Muddy Sand,N=8,92.29,4.98,3.939,0.082,-0.255,0.007,1.346,0.045,3.440,0.078,1.977,0.030,0.255,0.007,1.346,0.045,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,11.97,1.24,100.93,4.51,371.27,11.95,66.8,1.3,33.2,1.3,0.0,3.5,17.2,21.3,24.9,15.0,6.5,3.6,2.3,1.9,3.9,,,,,,,
16CCT03-GB231M,16-17,Muddy Sand,N=8,83.02,2.15,4.094,0.015,-0.248,0.007,1.360,0.009,3.591,0.037,2.034,0.005,0.248,0.007,1.360,0.009,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,10.00,0.36,91.34,1.66,356.21,10.57,63.6,0.6,36.4,0.6,0.0,3.3,15.2,20.0,25.0,16.4,7.2,4.0,2.6,2.1,4.2,,,,,,,
16CCT03-GB231M,17-18,Muddy Sand,N=8,82.95,1.27,4.141,0.027,-0.259,0.004,1.388,0.008,3.592,0.022,2.050,0.009,0.259,0.004,1.388,0.008,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,9.43,0.33,91.83,1.26,354.39,3.67,63.9,0.4,36.1,0.4,0.0,3.0,15.5,20.2,25.1,16.2,7.0,3.8,2.5,2.3,4.3,,,,,,,
16CCT03-GB231M,18-19,Muddy Sand,N=8,69.05,4.50,4.357,0.057,-0.257,0.005,1.410,0.008,3.859,0.094,2.123,0.019,0.257,0.005,1.410,0.008,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,7.08,0.75,78.35,4.05,326.82,12.04,58.4,1.9,41.6,1.9,0.0,2.5,12.8,17.5,25.5,18.3,8.2,4.6,3.0,2.6,5.0,,,,,,,
16CCT03-GB231M,19-20,Muddy Sand,N=8,96.60,5.42,4.195,0.105,-0.265,0.003,1.217,0.020,3.374,0.081,2.068,0.036,0.265,0.003,1.217,0.020,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,11.08,1.36,106.69,5.74,401.78,12.45,66.7,1.3,33.3,1.3,0.0,4.5,21.5,19.2,21.4,14.8,6.6,3.6,2.4,2.1,4.0,,,,,,,
16CCT03-GB231M,20-21,Muddy Sand,N=7,76.11,4.03,4.319,0.050,-0.203,0.005,1.334,0.045,3.718,0.077,2.111,0.017,0.203,0.005,1.334,0.045,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,8.65,0.72,80.41,3.24,361.89,9.61,59.4,1.3,40.6,1.3,0.0,3.2,15.2,16.3,24.6,18.5,8.1,4.4,2.8,2.2,4.4,,,,,,,
16CCT03-GB231M,21-22,Muddy Sand,N=8,80.99,1.24,4.237,0.048,-0.206,0.005,1.324,0.019,3.626,0.022,2.083,0.016,0.206,0.005,1.324,0.019,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,9.44,0.14,85.30,0.83,369.89,9.90,61.6,0.2,38.4,0.2,0.0,3.7,15.8,17.6,24.5,17.7,7.6,4.1,2.7,2.1,4.3,,,,,,,
16CCT03-GB231M,22-23,Muddy Sand,N=8,83.54,4.99,4.124,0.076,-0.157,0.015,1.327,0.051,3.584,0.086,2.044,0.027,0.157,0.015,1.327,0.051,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,11.04,1.21,83.01,3.29,380.96,14.21,61.2,1.3,38.8,1.3,0.0,4.3,15.8,16.1,25.0,19.0,7.6,3.9,2.4,2.0,4.0,,,,,,,
16CCT03-GB231M,23-24,Muddy Sand,N=8,72.40,2.70,4.485,0.029,-0.197,0.029,1.305,0.061,3.789,0.054,2.165,0.009,0.197,0.029,1.305,0.061,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,7.78,0.64,76.57,0.40,362.81,17.76,57.5,0.2,42.5,0.2,0.0,3.7,14.6,15.9,23.3,19.1,8.7,4.7,2.9,2.4,4.7,,,,,,,
16CCT03-GB231M,24-25,Muddy Sand,N=8,68.20,2.43,4.501,0.029,-0.182,0.018,1.322,0.033,3.875,0.051,2.170,0.009,0.182,0.018,1.322,0.033,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,7.27,0.56,71.02,0.72,349.35,13.32,55.0,0.4,45.0,0.4,0.0,3.1,14.1,14.5,23.3,20.5,9.2,4.9,3.0,2.5,4.9,,,,,,,
16CCT03-GB231M,25-26,Muddy Sand,N=8,59.37,0.66,4.485,0.028,-0.207,0.006,1.375,0.011,4.074,0.016,2.165,0.009,0.207,0.006,1.375,0.011,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,6.31,0.07,65.13,0.20,311.27,7.14,51.6,0.1,48.4,0.1,0.0,2.6,11.2,14.3,23.5,21.5,10.2,5.5,3.4,2.6,5.2,,,,,,,
16CCT03-GB231M,26-27,Sandy Mud,N=8,57.77,2.56,4.565,0.028,-0.203,0.010,1.367,0.015,4.115,0.064,2.190,0.009,0.203,0.010,1.367,0.015,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,6.02,0.30,63.53,1.74,314.29,14.65,50.6,1.1,49.4,1.1,0.3,2.7,10.9,13.7,23.1,21.6,10.5,5.8,3.5,2.7,5.3,,,,,,,
16CCT03-GB231M,27-28,Sandy Mud,N=8,53.33,2.11,4.393,0.087,-0.231,0.011,1.443,0.038,4.230,0.057,2.135,0.029,0.231,0.011,1.443,0.038,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,5.71,0.13,60.88,1.61,269.39,21.17,48.9,1.1,51.1,1.1,0.2,2.0,8.9,13.5,24.3,22.8,10.7,5.8,3.6,2.8,5.5,,,,,,,
16CCT03-GB231M,28-29,Sandy Mud,N=8,48.08,2.62,4.576,0.028,-0.233,0.001,1.407,0.023,4.380,0.079,2.194,0.009,0.233,0.001,1.407,0.023,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,4.63,0.22,55.86,2.39,257.61,13.95,45.4,1.8,54.6,1.8,0.0,1.8,8.6,12.3,22.7,23.5,11.6,6.4,3.9,3.1,6.1,,,,,,,
