study_id,site_id,core_id,method_id,depth_min,depth_max,fraction_organic_matter,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,th234_activity,th234_activity_se,k40_activity,k40_activity_se
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",8,9,NA,NA,NA,6,0.132,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",9,10,NA,NA,NA,6.02,0.138,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",9,10,NA,NA,NA,5.9,0.136,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",10,11,NA,NA,NA,5.92,0.138,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",11,12,NA,NA,NA,5.85,0.139,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",12,13,NA,NA,NA,5.81,0.116,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",13,14,NA,NA,NA,5.97,0.123,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",13,14,NA,NA,NA,6.06,0.125,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",14,15,NA,NA,NA,6.09,0.129,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",15,16,NA,NA,NA,6.22,0.133,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",16,17,NA,NA,NA,5.92,0.124,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",17,18,NA,NA,NA,5.9,0.126,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",17,18,NA,NA,NA,6.11,0.129,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",18,19,NA,NA,NA,6.17,0.135,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",19,20,NA,NA,NA,6.1,0.134,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",23,24,NA,NA,NA,6.06,0.132,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",27,28,NA,NA,NA,5.55,0.121,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",31,32,NA,NA,NA,5.04,0.11,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",35,36,NA,NA,NA,5.12,0.113,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",39,40,NA,NA,NA,5.04,0.115,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",43,44,NA,NA,NA,5.22,0.121,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",47,48,NA,NA,NA,4.91,0.112,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",47,48,NA,NA,NA,5.13,0.118,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",51,52,NA,NA,NA,5.15,0.115,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",55,56,NA,NA,NA,4.93,0.113,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",59,60,NA,NA,NA,5.54,0.125,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",63,64,NA,NA,NA,5.1,0.116,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",63,64,NA,NA,NA,5.1,0.116,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, alpha spectroscopy",67,68,NA,NA,NA,5.2,0.123,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",1,2,NA,NA,NA,4.79001077147011,0.15039769400362668,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",2,3,NA,NA,NA,4.678656333687525,0.13701809226114522,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",3,4,NA,NA,NA,4.7737500719838755,0.10380645165606812,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",3,4,NA,NA,NA,4.817392870652233,0.14542324666094242,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",4,5,NA,NA,NA,4.8998117590063925,0.11217477494125967,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",5,6,NA,NA,NA,4.662482956781142,0.026580967021845897,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",6,7,NA,NA,NA,4.831679554178618,0.10684645203554892,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",7,8,NA,NA,NA,4.872752305047664,0.08742045449369812,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",8,9,NA,NA,NA,4.638019900228874,0.0041218446189122465,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",8,9,NA,NA,NA,4.700049091458611,0.1627864687731389,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",9,10,NA,NA,NA,4.578482166517809,0.035447121987288235,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",10,11,NA,NA,NA,4.624352151453225,0.05727279933392952,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",11,12,NA,NA,NA,4.61834097059909,0.05923617654733339,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",12,13,NA,NA,NA,4.757124330580786,0.2564799116632256,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",13,14,NA,NA,NA,4.977602118503807,0.08682082228797192,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",13,14,NA,NA,NA,5.080547936534728,0.155995848062382,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",14,15,NA,NA,NA,5.0428676249537485,0.14044970306620305,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",15,16,NA,NA,NA,5.061167074323876,0.075993803031179,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",16,17,NA,NA,NA,5.237193736543749,0.15594337374128908,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",17,18,NA,NA,NA,4.961182644875573,0.20028247106404357,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",18,19,NA,NA,NA,5.017386565836299,0.005463720991641552,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",19,20,NA,NA,NA,4.8557129470202804,0.28681132422969746,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",19,20,NA,NA,NA,5.171276546331897,0.10549690870882591,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",23,24,NA,NA,NA,4.936516690788516,0.07698129474093582,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",27,28,NA,NA,NA,5.1523135924752905,0.16634081430395056,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",35,36,NA,NA,NA,4.728031901357866,0.12306309625006703,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",35,36,NA,NA,NA,4.845804373308482,0.03995000949756719,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",43,44,NA,NA,NA,5.0115769356386695,0.09779444575139744,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",55,56,NA,NA,NA,5.902381508828251,0.12170935298320358,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_B,"Serrated Push Core, alpha spectroscopy",63,64,NA,NA,NA,5.789497493918381,0.03732754480213145,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",1,2,NA,NA,NA,2.02,0.024,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",1,2,NA,NA,NA,1.92,0.031,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",3,4,NA,NA,NA,2.51,0.062,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",5,6,NA,NA,NA,2.95,0.003,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",7,8,NA,NA,NA,2.96,0.029,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",9,10,NA,NA,NA,2.78,0.132,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",11,12,NA,NA,NA,2.48,0.028,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",13,14,NA,NA,NA,2.4,0.017,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",15,16,NA,NA,NA,2.45,0.311,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",15,16,NA,NA,NA,2.64,0.032,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",17,18,NA,NA,NA,2.56,0.011,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",19,20,NA,NA,NA,2.52,0.081,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",23,24,NA,NA,NA,1.61,0.046,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",27,28,NA,NA,NA,1.26,0.037,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",31,32,NA,NA,NA,1.24,0.024,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",35,36,NA,NA,NA,1.21,0.004,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",39,40,NA,NA,NA,1.12,0.031,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",43,44,NA,NA,NA,0.4,0.001,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",47,48,NA,NA,NA,0.21,0,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GWLD_A,"Serrated Push Core, alpha spectroscopy",51,52,NA,NA,NA,0.22,0.016,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_S1,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,5.479374157126591,0.16011053352314983,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_S2,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,5.618157555500074,0.12323483254792525,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_S3,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,5.396879897884192,0.044944126030353235,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_S3,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,5.585093099612938,0.042994407687835814,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_S4,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,5.049853342346758,0.16036125456841052,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_S5,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,5.479844319449415,0.036908698664803175,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_S6,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,6.258443606708724,0.12420337683697531,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_S7,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,5.623200961400488,0.25672826164840473,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_S8,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,6.07260934186281,0.1640158062223262,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_S9,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,5.6588994634795835,0.35966799326902477,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_S9,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,5.880093837319986,0.14928627175187242,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,South_Altamaha,SA_S10,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,6.048731307305465,0.08096372800962578,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_1,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,3.77,0.077,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_2,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,3.92,0.006,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_2,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,4.09,0.133,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_3,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,2.45,0.008,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_4,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,0.6,0.016,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_5,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,1.19,0.053,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_8,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,1.9,0.043,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_9,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,2.4,0.031,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_9,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,2.38,0.018,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_10,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,2.65,0.047,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_11,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,3.5,0.091,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_12,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,6.81,0.323,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_12,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,6.7,0.161,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_13,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,6,0.052,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_14,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,4.89,0.096,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Goodwin_Island,GSS_15,"Surface Sample, alpha spectroscopy",0,10,NA,NA,NA,0.13,0.006,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, gamma spectroscopy",11,12,NA,NA,NA,3.3381552150143197,0.35128849975870935,1.1732478855854729,0.091899153351271,2.0529150036455897,0.32658452141311944,40.85602992397661,2.2227030676527546
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, gamma spectroscopy",13,14,NA,NA,NA,3.290785829351544,0.2867658967814742,1.2806627196904419,0.07143676473743382,2.003187737444123,0.25006047253630875,40.09355038128486,1.6697546855643162
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, gamma spectroscopy",19,20,NA,NA,NA,3.8080731397843612,0.43029372227920687,1.3413957021442457,0.11626292327467566,2.0504518041209745,0.40479513234853093,45.00714862788226,2.743577860842391
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, gamma spectroscopy",23,24,NA,NA,NA,3.509917557908393,0.4398262923537809,1.225038599877932,0.1183501898292354,2.286394434258636,0.4517176395946286,37.84486355210283,2.662846494755694
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, gamma spectroscopy",27,28,NA,NA,NA,3.4984261864634214,0.4518782657303226,1.302977213021931,0.11761115597710657,2.167700423554057,0.4303014001806237,42.9677814981447,2.7316976791247356
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, gamma spectroscopy",31,32,NA,NA,NA,3.505149769020115,0.37439628129732594,1.1924731077526083,0.0915689225925214,2.390109967367945,0.41030515602659856,38.631759351173336,2.1267988579977897
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, gamma spectroscopy",39,40,NA,0.12677587581107982,0.05768108761757775,3.7386942898151423,0.46347965360591026,1.1478506407482452,0.11207142531451576,2.33586138142579,0.37924073403345254,39.18730089744057,2.666169514252414
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, gamma spectroscopy",47,48,NA,NA,NA,3.7275782093773624,0.4272165185628069,1.1754905277211378,0.1159405443644056,2.2711462116103354,0.44068259224920214,40.979225542624874,2.7297479383885035
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, gamma spectroscopy",51,52,NA,NA,NA,3.576733816323842,0.25360323047588756,1.2570706043216124,0.06715741036834275,2.5836326460623478,0.27333750930488043,39.87793231264769,1.507834673352836
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, gamma spectroscopy",55,56,NA,NA,NA,3.9897068522162322,0.3694306262189074,1.267413514693257,0.09235733121472205,2.174014166175781,0.3526404545199698,37.05379072923587,2.0889582008708194
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, gamma spectroscopy",59,60,NA,NA,NA,3.9088698384635703,0.2953850977772799,1.316212976694117,0.07194095379076901,2.022945470921399,0.2573099432184412,38.810346328845604,1.64502899977617
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, gamma spectroscopy",63,64,NA,NA,NA,3.9372723185343164,0.39358963095427935,1.096058275363443,0.09472377302546897,2.145504962619243,0.34788243412131126,40.448504138979644,2.1697609019964137
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, gamma spectroscopy",67,68,NA,NA,NA,4.154955889280253,0.3709973554544957,1.3210464477466923,0.09730046016631139,2.1574828866576086,0.3449466616401269,40.309267970684246,2.1641398609825235
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, gamma spectroscopy",71,72,NA,0.08062793314339611,0.03183965163040634,3.8984703402237,0.2277626646038105,1.1454694513942978,0.056419810498616545,2.1120411147387137,0.2119074416491814,36.623443953295116,1.2750283833426497
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, gamma spectroscopy",23,24,NA,NA,NA,2.207385923898979,0.28528966395729627,1.3044278797831228,0.08257395809848886,2.13156081133666,0.2861637321328259,38.65861516705194,1.9196602095990736
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, gamma spectroscopy",27,28,NA,0.13602576655342394,0.04679839128170423,2.4878965976790264,0.2503716351488277,1.3185120744714136,0.07468719588888734,2.1706594983519483,0.2722662649181583,40.429057331123055,1.6820607700690584
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, gamma spectroscopy",31,32,NA,0.10252652561936357,0.03801032025673181,2.110453858853021,0.22953460529910205,1.1885613991704014,0.06371098815159708,2.098797070293901,0.23207316387624616,38.205488513624914,1.4468298505345902
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, gamma spectroscopy",35,36,NA,0.11421444812714586,0.04399096429352532,2.3290381944122722,0.24082429273134942,1.1597405385571218,0.07243235656261628,2.271602655768582,0.26964222350299866,43.02314091096992,1.7037704648071215
Everhart_et_al_2020,Mockhorn_Island,ES_B,"Serrated Push Core, gamma spectroscopy",39,40,NA,NA,NA,2.5744971100299168,0.3920554527567962,1.252624247545468,0.11508388406873482,1.8834250371217702,0.3525011802125617,41.27593034258377,2.652086940984106
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, gamma spectroscopy",17,18,NA,0.257596598384744,0.08726354236227588,4.394738843949911,0.3750253764702548,1.3566617991713588,0.11416572801282815,7.004206347969843,0.44370853847611924,33.739222872737244,2.119743193716966
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, gamma spectroscopy",19,20,NA,0.16119315995999245,0.06170742299035098,3.5703422642794926,0.34473160588982915,1.4603835473187958,0.10031510366069393,3.985131415355323,0.3556657755239338,33.64816603736747,1.9578196920353035
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, gamma spectroscopy",23,24,NA,0.4613373362191838,0.1002069674874182,3.3957681688863954,0.4079217024583536,1.5284407920354321,0.12786688169698954,6.335920156864351,0.47080753007140097,37.649853879313106,2.3772525581169743
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, gamma spectroscopy",27,28,NA,0.5576785582677186,0.10143274381219315,3.5471334419789637,0.3953993385546762,1.3979554698759185,0.1271582290531895,6.300315050986626,0.54722295395738485,35.33174428671492,2.474365472089464
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, gamma spectroscopy",31,32,NA,0.1765023281243033,0.08094247260852316,3.019773936496177,0.3490801827771298,1.5398287790825254,0.13004920882611873,7.167652097662219,0.49091660824298117,37.059151029644376,2.359697635429337
Everhart_et_al_2020,Plum_Island_Estuary,PI_B,"Serrated Push Core, gamma spectroscopy",35,36,NA,NA,NA,2.7578351651106154,0.24998306399189674,1.71700394954519,0.08904529886442762,5.866398938077802,0.35268568525681077,37.42516222327222,1.6561789365610722
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, gamma spectroscopy",23,24,0.1629348143817601,0.8632269758622061,0.0874298163110658,2.7385618675566232,0.4197225985330329,1.3308841648413468,0.10190107666994319,3.9581047541312833,0.5293280642425311,41.75904562469296,1.9125044370482938
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, gamma spectroscopy",27,28,0.1337165453841291,0.9137190570657177,0.05801550070604502,3.2026028250845617,0.2919585350188682,1.5299423518763335,0.06519697177060714,5.047095872226351,0.3455765445947154,48.18656811509568,1.2773425004825838
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, gamma spectroscopy",31,32,0.11178049630130536,0.9544179756385819,0.12702749592395113,3.5590532783897646,0.7040759195285382,1.552747206420575,0.1408598054309845,3.969366030964354,0.680028349116995,50.39733922774471,2.9167510601488873
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, gamma spectroscopy",35,36,0.09781511867678637,0.6528129614819732,0.06656667972899157,2.0524302902969023,0.3375838693870257,1.5489097297775722,0.08070378336788522,4.447095717990307,0.4241509684996829,51.151735352940335,1.6809964004275948
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, gamma spectroscopy",39,40,0.0687829618703144,0.3655339636672827,0.05653806709961708,1.712691305486809,0.30889974259344877,1.185933318487776,0.07156437978881176,2.777068860064642,0.36395789403717693,35.075973425903385,1.308960625378597
Everhart_et_al_2020,Goodwin_Island,GW_B,"Serrated Push Core, gamma spectroscopy",47,48,0.022348033373063302,NA,NA,0.9334673732425348,0.20968624309426512,1.004030224977026,0.060115783819394086,1.4994749714892035,0.2779624873453665,20.277290748618608,0.9620033554244773
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, gamma spectroscopy",2,3,NA,0.33,0.08,8.47,0.4,2.19,0.12,3.68,0.38,20.64,1.83
Everhart_et_al_2020,South_Altamaha,SA_A,"Serrated Push Core, gamma spectroscopy",4,5,NA,0.25,0.07,8.81,0.38,2.08,0.11,3.74,0.35,14.69,1.46
