"ID","AUTHOR","YEAR","CITATION","DOI"
93,"Kathiresan et al.","2010b","Kathiresan, K.; Salmo III, S.G.; Fernando, E.S.; Peras, J.R.; Sukardjo, S.; Miyagi, T.; Ellison, J.; Koedam, N.E.; Wang, Y.; Primavera, J.; Jin Eong, O.; Wan-Hong Yong, J.; Ngoc Nam, V. 2010b. Sonneratia alba. The IUCN Red List of Threatened Species 2010: e.T178804A7611432. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178804A7611432.en (February 12, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178804A7611432.en.#"
94,"Kathiresan et al.","2010c","Kathiresan, K.; Salmo III, S.G.; Fernando, E.S.; Peras, J.R.; Sukardjo, S.; Miyagi, T.; Ellison, J.; Koedam, N.E.; Wang, Y.; Primavera, J.; Jin Eong, O.; Wan-Hong Yong, J.; Ngoc Nam, V. 2010c. Sonneratia apetala. The IUCN Red List of Threatened Species 2010: e.T178841A7623713. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178841A7623713.en (February 12, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178841A7623713.en#"
95,"Kauffman and Cole","2010","Kauffman, J.B.; Cole, T. 2010. Micronesian mangrove forest structure and tree response to a severe typhoon. Wetlands 30: 1077-1084. https://doi.org/10.1007/s13157-010-0114-y","#https://doi.org/10.1007/s13157-010-0114-y#"
96,"Kauffman and Donato","2012","Kauffman, J.B.; Donato, D.C. 2012 Protocols for the measurement, monitoring and reporting of structure, biomass and carbon stocks in mangrove forests. Working Paper 86. CIFOR, Bogor, Indonesia. doi:10.17528/cifor/003749.","10.17528/cifor/003749#http://10.17528/cifor/003749#"
97,"Kauffman et al.","1993","Kauffman, J.B.; Sanford, R.L.; Cummings, D.L.; Sampaio, E.V.S.B.; Salcedo, I.H. 1993. Biomass and nutrient dynamics associated with slash fires in neotropical dry forests. Ecology 74: 140-151. Kauffman, J.B., Cummings, D.L., Ward, D.E., Babbitt, R. 1995 Fire in the Brazilian Amazon: 1. Biomass, nutrient pools, and losses in slashed primary forests. Oecologia 104: 397-408.",
98,"Kauffman et al.","1998","Kauffman, J.B.; Cummings, D.L.; Ward, D.E. 1998. Fire in the Brazilian Amazon: 2. Biomass, nutrient pools and losses in cattle pastures. Oecologia 113: 415-427.",
99,"Kauffman et al.","2009","Kauffman, J.B.; Hughes, R.F.; Heider, C. 2009. Carbon pool and biomass dynamics associated with deforestation, land use, and agricultural abandonment in the neotropics, Ecol. Appl., 19, 1211–1222",
100,"Kauffman et al.","2011","Kauffman, J.B.; Heider, C.; Cole, T.G.; Dwire, K.A.; Donato, D. C. 2011. Ecosystem carbon stocks of Micronesian mangrove forests, Wetlands, 31, 343–352, 2011. doi: 10.1007/s13157-011-0148-9.","10.1007/s13157-011-0148-9#http://10.1007/s13157-011-0148-9#"
101,"Kauffman et al.","2016","Kauffman, J.B.; Arifanti, V.B.; Basuki, I.; Kurnianto, S.; Novita, N.; Murdiyarso, D.; Donato, D.C.; Warren, M.W. 2016. Protocols for the measurement, monitoring, and reporting of structure, biomass, carbon stocks and greenhouse gas emissions in tropical peat swamp forests. Working Paper 221. Bogor, Indonesia: CIFOR. doi:10.17528/cifor/006429.","10.17528/cifor/006429#http://10.17528/cifor/006429#"
102,"Komiyama et al.","2005","Komiyama, A.; Poungparn, S.; Kato, S. 2005. Common allometric equations for estimating the tree weight of mangroves. Journal of Tropical Ecology 21: 471-477. doi: https://doi.org/10.1017/S0266467405002476","https://doi.org/10.1017/S0266467405002476"
103,"Komiyama et al.","2008","Komiyama, A.; Ong, J.E.; Poungparn, S. 2008. Allometry, biomass, and productivity of mangrove forests: A review. Aquatic Botany 89: 128-137. doi: https://doi.org/10.1016/j.aquabot.2007.12.006","#https://doi.org/10.1016/j.aquabot.2007.12.006#"
104,"L¨ahteenoja et al.","2009","L¨ahteenoja, O.; Ruokolainen, K.; Schulman, L.; Oinonen, M. 2009. Amazonian peatlands: an ignored C sink and potential source, Biogeochemistry, 15, 2311–2320.",
105,"Laffoley and Grimsditch","2009","Laffoley, D.D.A.; Grimsditch, G. 2009. The management of natural coastal carbon sinks. International Union for Conservation of Nature, Gland, Switzerland. 53p.",
106,"Langmann and Heil","2004","Langmann, B.; Heil, A. 2004. Release and dispersion of vegetation and peat fire emissions in the atmosphere over Indonesia 1997/1998, Atmos. Chem. Phys., 4, 2145–2160, doi:10.5194/acp-4-2145-2004.","10.5194/acp-4-2145-2004#http://10.5194/acp-4-2145-2004#"
107,"Langner et al.","2007","Langner, A.; Miettinen, J.; Siegert, F. 2007. Land cover change 2002–2005 in Borneo and the role of fire derived from MODIS imagery. Global Change Biology 13: 2329-2340.",
108,"Le Qu´er´e et al.","2009","Le Qu´er´e, C.; Raupach, M.R.; Canadell, J.G.; Marland, G.; Bopp, L.; Ciais, P.; Conway, T.J.; Doney, S.C.; Feely, R.A.; Foster, P.; Friedlingstein, P.; Gurney, K.; Houghton, R.A.; House, J.I.; Huntingford, C.; Levy, P.E.; Lomas, M.R.; Majkut, J.; Metzl, N.; Ometto, J.P.; Peters, G.P.; Prentice, I.C.; Randerson, J.T.; Running, S.W.; Sarmiento, J.L.; Schuster, U.; Sitch, S.; Takahashi, T.; Viovy, N.; van der Werf, G.R.; Woodward, F.I. 2009. Trends in the sources and sinks of carbon dioxide, Nat. Geosci., 2, 831–836.",
109,"Li et al.","2007","Li, W.; Dickinson, R.E.; Fu, R.; Niu, G.-Y.; Yang, Z.-L.; Canadell, J.G. 2007.Future precipitation changes and their implications for tropical peatlands, Geophys. Res. Lett., 34, L01403, doi:10.1029/2006GL028364.","10.1029/2006GL028364#http://10.1029/2006GL028364#"
110,"Lu et al.","2009","Lu, X.T.; Thang, J.W.; Feng, Z.L.; Li, M.H. 2009. Diversity and aboveground biomass of lianas in the tropical seasonal rain forests of Xishuangbanna, SW China. International Journal of tropical biology 57 (1-2): 211-222.",
111,"Melling et al.","2005","Melling, L.; Hatano, R.; Goh, K.J. 2005. Soil CO2 flux from three ecosystems in tropical peatland of Sarawak, Malaysia, Tellus B, 57, 1–11.",
112,"Miettinen and Liew","2010a","Miettinen, J.; Liew, S.C. 2010a. Status of peatland degradation and development in Sumatra and Kalimantan, Ambio, 39, 394–401.",
113,"Miettinen and Liew","2010b","Miettinen, J.; Liew, S.C. 2010b. Degradation and development of peatlands in peninsular Malaysia and in the islands of Sumatra and Borneo since 1990, Land Degrad. Dev., 21, 285–296.",
114,"Miettinen et al.","2011","Miettinen, J.; Shi, C.; Liew, S.C. 2011. Deforestation rates in insular Southeast Asia between 2000 and 2010, Glob. Change Biol., 17, 2261–2270, 2011.",
115,"Miettinen et al.","2012","Miettinen, J.; Shi, C.; Tan, W.J.; Liew, S.C. 2012. 2010 land cover map of insular Southeast Asia in 250-m spatial resolution, Remote Sens. Lett., 3, 11–20.",
116,"Mitsch and Gosselink","2007","Mitsch, W.J.; Gosselink, J.G. 2007. Wetlands (Fourth edition). John Wiley and Sons, Inc., New York, USA. 582p.",
117,"MRPP","2011","REDD Pilot Program (MRPP), South Sumatra, Indonesia. http://www.merang-redd.org/REDD/publikasi/category/2-reports.html. (June 13, 2011).",
118,"Mueller-Dombois and Ellenberg","2003","Mueller-Dombois, D.; Ellenberg, E. 2003. Aims and methods of vegetation ecology. The Blackburn Press. Caldwell New Jersey, USA 547p.",
119,"Murdiyarso et al.","2009","Murdiyarso, D.; Donato, D.; Kauffman, J.B.; Kurnianto, S.; Stidham, M.; Kanninen, M. 2009. Carbon storage in mangrove and peatland ecosystems,Working Paper 48, Center for International Forestry Research, Bogor, Indonesia.",
120,"Murdiyarso et al.","2010a","Murdiyarso, D.; Donato, D.C.; Kauffman, J.B.; Stidham, M.; Kurnianto, S.; Kanninen, M. 2010a. Carbon  storage in mangrove and peatland ecosystems in Indonesia – A preliminary account from plots in Indonesia. Working paper 48. Center for International Forest Research. Bogor, Indonesia. 35p.",
121,"Murdiyarso et al.","2010b","Murdiyarso, D.; Hergoualc’h, K.; Verchot, L.V. 2010b. Opportunities for reducing greenhouse gas emissions in tropical peatlands, P. Natl. Acad. Sci. USA, 107, 19655–19660.",
122,"Nellemann et al.","2009","Nellemann, C.; Corcoran, E.; Durate, C.M.; Valdes, L.; DeYoung, C.; Fonseca, L.; Grimditch, G. 2009. Blue Carbon. The role of healthy oceans in binding carbon. United Nations Environment Programme, GRID-Arendal. United Nations Environmental Program. New York, USA. 78p.",
123,"Nelson and Sommers","1996","Nelson, D.W.; Sommers, L.E. 1996. Total carbon, organic carbon, and organic matter. In: Sparks, D.L. and Bartels J.M. (eds.) Methods of soil analysis, Part 3, Book Series 5, 961-1010. Soil Science Society of America, Madison, USA.",
124,"Page et al.","2010","Page, S.E.; Rieley, J.O.; Banks, C.J. 2010. Global and regional importance of the tropical peatland carbon pool. Global Change Biology 17: 798- 818.",
125,"Pearson et al.","2005","Pearson, T.R.H.; Walker, S.; Brown, S. 2005. Sourcebook for land use, land-use change and forestry projects. Report from BioCF and Winrock International. https://www.winrock.org/document/sourcebook-for-land-use-land-use-change-and-forestry-projects. (February 2, 2018).",
126,"Pearson et al.","2007","Pearson, T.R.H.; Brown, S.L.; Birdsey, R.A. 2007. Measurement guidelines for the sequestration of forest carbon. General Technical Report-NRS-18, USDA Forest Service, Northern Research Station Newtown Square, USA.",
127,"Putz and Chan","1986","Putz, F.E.; Chan, H.T. 1986. Tree growth, dynamics, and productivity in a mature mangrove forest in Malaysia. Forest Ecology and Management 17: 211-230.",
128,"Ritung et al.","2009","Ritung, S.; Wahyunto; Nugroho, K.; Sukarman; Hikmatullah; Suparto, S.; Chendy, T. 2011. Indonesian Peatland Map, scale 1: 250,000. Dec. 2011 ed. Jakarta, Indonesia: Indonesian Center for Agricultural Land Resource Research and Development. Agency for Agricultural Research and Development, Ministry of Agriculture. Bogor, Indonesia.",
129,"Robertson and Daniel","1989","Robertson, A.I.; Daniel, P.A. 1989. Decomposition and the annual flux of detritus from fallen timber in tropical mangrove forests. Limnology and Oceanography 34: 640-646.",
130,"Robertson et al.","1999","Robertson, G.P.; Coleman, D.C.; Bledsoe, C.S.; Sollins, P. (eds.) 1999. Standard soil methods for long-term ecological research. Oxford University Press, New York. 462p.",
131,"Ross et al.","2001","Ross, M.S.; Ruiz, P.L.; Telesnicki, G.J.; Meeder, J. 2001. Estimating above-ground biomass and production in mangrove communities of Biscayne National Park, Florida, USA. Wetlands Ecology and Management 9: 27-37.",
132,"Saenger","2002","Saenger, P. 2002. Mangrove ecology, silviculture, and conservation. Kluwer Academic Publishers. Dordrecht, The Netherlands. 360p",
133,"Saenger and Snedaker S","1993","Saenger, P.; Snedaker, S.C. 1993. Pantropical trends in mangrove above-ground biomass and annual litterfall. Oecologia 96: 293-299.",
134,"Schnitzer et al.","2006","Schnitzer, S.A.; DeWalt, S.J.; Chave, J. 2006. Censuring and measuring lianas: A quantitative comparison of the common methods. Biotropica 38(5): 581-591.",
135,"Schumacher","2002","Schumacher, B.A. 2002. Methods for the determination of total organic carbon (TOC) in soils and sediments. NCEA-C- 1282, EMASC-001. US Environmental Protection Agency, Las Vegas, USA.",
136,"Simpson ","1996","Simpson, W.T. 1996. Method to estimate dry-kiln schedules and species groupings: Tropical and temperate hardwoods. RPL-RP-548. USDA Forest Service, Forest Products Laboratory, Madison, USA.",
137,"Smith and Whelan","2006","Smith, T.J.; Whelan, K.R.T. 2006. Development of allometric relations for three mangrove species in south Florida for use in the Greater Everglades Ecosystem restoration. Wetlands Ecology and Management 14: 409-419.",
138,"Snedaker and Lahmann","1988","Snedaker, S.C.; Lahmann, E.J. 1988. Mangrove understorey absence: a consequence of evolution.  Journal of Tropical Biology 4: 311-314.",
139,"Soares ane Schaeffer-Novelli","2005","Soares, M.L.G.; Schaeffer-Novelli, Y. 2005. Above-ground biomass of mangrove species: I. Analysis of models. Estuarine, Coastal and Shelf Science 65: 1-18.",
140,"Sollins et al.","1999","Sollins, P.; Glassman, C.; Paul, E.A.; Swanston, C.; Lajtha, K.; Heil, J.W.; Elliot, W.T. 1999. Soils carbon and nitrogen: pools and fractions. In: Robertson, G.P., Coleman, D.C., Bledsoe, C.S., Sollins, P. (eds.) Standard soil methods for long-term ecological research, 89-105. Oxford University Press. New York. 462p.",
141,"Sparks and Bartels","1996","Sparks, D.L.; Bartels, J.M. 1996. Methods of soil analysis. Part 3. Chemical Methods. Soil Science Society of America, Madison, USA. p. 1125- 1131.",
142,"Suwarna and Istomo","2012","Suwarna, U.; Darusman, E.; Istomo, D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118.",
143,"SWAMP","2018","[SWAMP] Sustainable Wetlands Adaptation and Mitigation Program. 2018. https://www.cifor.org/swamp (February 2, 2018).",
144,"Tarlan","2008","Tarlan, M.A. 2008. Biomass estimation of nyirih (Xylocarpus granatum Koenig. 1784) in primary mangrove forest in Batu Ampar, West Kalimantan. Undergraduate thesis, Bogor Agricultural University, Indonesia.",
145,"Toma et al.","2009","Toma, Y.; Takakai, F.; Darung, U.; Kuramochi, K.; Limin, S.H.; Dohong, S.; Hatano, R. 2011. Nitrous oxide emission derived from soil organic matter decomposition from tropical agricultural peat soil in central Kalimantan, Indonesia. Soil Science and Plant Nutrition 57(3):436–51.",
146,"UNEP","2014"," [UNEP] United Nations Environment Programme. 2014. The Importance of Mangroves to People: A Call to Action. van Bochove J, Sullivan E and Nakamura T, eds. Cambridge, UK: United Nations Environment Programme World Conservation Monitoring Centre. 128 pp.",
147,"USDA","2008","[USDA] United States Department of Agriculture. 2008. Field instructions for the annual inventory of California, Oregon and Washington. USDA Forest Service, Forest Inventory and Analysis Program, PNW Research Station. Portland, USA.",
148,"USDA","2009","[USDA] United States Department of Agriculture. 2015. Forest inventory and analysis national core field guide. Volume I: Field data collection procedures for phase 2 plots. Version 7.0. 453p. USDA Forest Service. http://www.fia.fs.fed.us/library/field-guides-methods-proc/docs/2015/Core-FIAFG-7.pdf",
149,"USDA-NRCS","2014","[USDA-NRCS] United States Department of Agriculture Natural Resources Conservation Service, Soil Survey Staff. 2014. Keys to Soil Taxonomy, 12th ed. USDA-Natural Resources Conservation Service, Washington, DC. 360 pp.",
150,"Valiela et al.","2001","Valiela, I.; Bowen, J.L.; York, J.K. 2001. Mangrove forests: one of the world’s threatened major tropical environments. Bioscience 51: 807-815.",
151,"Van Wagner","1968","Van Wagner, C.E. 1968. The line intersect method in forest fuel sampling. Forest Science 14(1):20–26.",
152,"Vesterdal et al.","2009","Vesterdal, L.; Rosenqvist, L.; Van Der Salm, C.; Hansen, K.; Groenenberg, B.J.; Johansson, M.B. 2007. Chapter 2: Carbon sequestration in soil and biomass following afforestation: experiences from oak and Norway spruce chronosequences in Denmark, Sweden and the Netherlands. In Heil GW, Muys B and Hansen K, ,eds. Environmental Effects of Afforestation in North-Western Europe. Springer Netherlands. 19–51.",
153,"Waddell","2002","Waddell, K.L. 2002. Sampling coarse woody debris for multiple attributes in extensive resource inventories. Ecological Indicators 1: 139-153.",
154,"Wahyunto et al.","2013","Wahyunto, D.A.; Pitono, D.; Sarwani, M. 2013. Prospect of peatland utilization for oil palm plantation in Indonesia. Perspektif 12(1):11–22.",
155,"Walker et al.","2012","Walker, S.M.; Pearson, T.R.H.; Casarim, F.M.; Harris, N.; Petrova, S.; Grais, A.; Swails, E.; Netzer, M.; Goslee, K.M.; Brown, S. 2012. Standard Operating Procedures for Terrestrial Carbon Measurement: Version 2012. Washington DC: Winrock International.",
156,"Warren et al.","2012","Warren, M.W.; Kauffman, J.B.; Murdiyarso, D.; Anshari, G.; Hergoualc’h, K.; Kurnianto, S.; Purbopuspito, J.; Gusmayanti, E.; Afifudin, M.; Rahajoe, J.; Alhamd, L.; Limin, S.; Anas, I. 2012. A cost-efficient method to assess carbon stocks in tropical peat soil. Biogeosciences Discussions 9:7049–7071. doi:10.5194/bgd-9-7049-2012.","10.5194/bgd-9-7049-2012#http://10.5194/bgd-9-7049-2012#"
157,"Winrock","2011","Winrock International. 2011. Ecosystem services – tools. Winrock International, Little Rock, USA. www.winrock.org/ecosystems/tools.asp (May 11, 2011).",
158,"World Agroforestry Centre","2018a","World Agroforestry Centre Databases. 2018a. World Agroforestry Centre, Nairobi, Kenya. http://www.worldagroforestry.org/output?field_type_tid=63 (February 2, 2018).",
159,"World Agroforestry Centre","2018b","World Agroforestry Centre 2018b. Tree Functional Attributes and Ecological Database. http://db.worldagroforestry.org (February 12, 2018).",
160,"Yulianti et al.","2009","Yulianti, N.; Sabiham, S.; Ardiansyah, M.; Murtilaksono, K.; Sutarta, E.S.; Darmosarkoro, W. 2010. Allometric equation of oil palm: An estimation approach of biomass carbon stock in tropical peatland. Proceedings of Palangkaraya International Symposium and Workshop on Tropical Peatland Management, Palangkaraya, Indonesia, 10–11 June 2010, “The Proper Use of Tropical Peatland”.",
161,"Zanne et al.","2009","Zanne, A.E.; Lopez-Gonzalez, G.; Coomes, D.A.; Ilic, J.; Jansen, S.; Lewis, S.L.; Miller, R.B.; Swenson, N.G.; Wiemann, M.C.; Chave, J. 2009). Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. https://doi.org/10.5061/dryad.234","https://doi.org/10.5061/dryad.234"
162,"Desch, H.E.","1996","Desch, H.E. 1996. Timber: structure, properties, conversion and use. 7th Edition. Palgrave Macmillan, New York.",
163,"Martawijaya et al.","1992","Martawijaya, A. et al. 1992. Indonesian Wood Atlas Vol. I. and II AFPRDC AFRD Department of Forestry Bogor Indonesia.",
164,"Detienne, P and Mariaux, A","1982","Detienne, P.; Jacquet, P.; Mariaux, A. 1982. Manuel d'Identification des Bois Tropicaux, Tome 3, Guyane Francaise. Centre Technique Forestier Tropical, Nogent-sur-Marne, France.; Pierre Détienne, P. and Jacquet, P. 1983. Atlas d'Identification des Bois de l'Amazonie et des Régions Voisines. Centre Technique Forestier Tropical, Nogent-sur-Marne, 640 pp.",
165,"Oey Djoen Seng","1990","Oey Djoen Seng. 1951. in Soewarsono, P.H. 1990. Specific gravity of Indonesian Woods and Its Significance for Practical Use FRPDC Forestry Department, Bogor, Indonesia.",
166,"Anonymous","1974","Anonymous. 1974. Standard Nomenclature of Forest Plants, Burma, including commercial timbers. Forest Research and Training Circle, Forest Department, Burma. 121 pp.",
167,"Anggota Ikapi","1981","Anggota Ikapi. 1981. Mengenal Sifat-sifat Kayu Indonesia dan Penggunaannya. Penerbit Kanisius. ISBN 979-413-106-7.",
168,"Ashton, P.A.","1970","Ashton, P.A.. 1970. Inventaire Forestier des Terres Basses du Versant Occidental des Monts Cardamones CAMBOOGE. Confidential FAO Technical Report No. 6, FO:SF/CAM 6., Rome, Italy.","http://www.sudoc.fr/137792441"
169,"Ilic et al.","2000","Ilic, J., Boland, D., McDonald, M., Downes, G. and Blakemore,  P. 2000. Woody density phase 1ùstate of knowledge. National carbon accounting system. Technical Report 18 Australian Greenhouse Office, Canberra, Australia.",
170,"Bolza, E.","1975","Bolza, E. 1975. Properties and uses from 175 timber species from Papua New Guinea and West Irian. C.S.I.R.O. Division of Building Research Report 34.",
171,"Hong et al.",,"Hong, L.T., Lemmens, R.H.M.J., Prawirohatmodjo, S., Soerianegara, I., Sosef, M.S.M. and Wong, W.C. (Editors). CD-ROM PROSEA Timber trees. http://proseanet.org/prosea/product_details.php?cat=3andid=43anduser_id=.",
172,"UNEP","2008","UNEP, 2008. National Reports on Mangroves in the South China Sea. UNEP/GEF/SCS Technical
Publication No. 14. http://www.unepscs.org/components/com_remository_files/downloads/National-Reports-Mangroves-South-China-Sea.pdf.",
173,"Stringer et al.","2015a","Stringer, C., Trettin, C.C., Zarnoch, S.J., Tang, W. 2015. Carbon stocks of mangroves within the Zambezi River Delta. Forest Ecology and Management 354: 139-148. http://dx.doi.org/10.1016/j.foreco.2015.06.027","http://dx.doi.org/10.1016/j.foreco.2015.06.027"
174,"Trettin et al.","2017","Trettin, C.C.; Stringer, C.E.; Zarnoch, S.J.; Tang, W.; Dai, Z. 2017. Mangrove carbon stocks in Zambezi River Delta, Mozambique. Fort Collins, CO: Forest Service Research Data Archive. Forest Service Research Data Archive - RDS-2017-0053.  doi: https://doi.org/10.2737/RDS-2017-0053 ","https://doi.org/10.2737/RDS-2017-0053 "
175,"Njana, M. et al.","2015","Njana, M., O.M., Bollandsas, T. Eid, E. Zahabu, R.E. Malimwi. 2015. Above- and belowgroujnd tree biomass models for trhee mangrove species using a nonlinear mixed effects modeling approach. Annals For. Sci. DOI 10.1007/s13595-015-0524-3",
176,"Stringer et al.","2015b","Stringer, C., Trettin, C.C., T.G. Jones, L. Ravaorinorotsihoarana, L. Glass, R. Raherindray. 2015. Mangrove Carbon Stock Inventory: Field Methods.  West Indian Ocean Mangrove Network. 33 pg.",
177,"World Agroforestry Centre","2012","Carsan S, Orwa C, Harwood C, Kindt R, Stroebel A, Neufeldt H, and Jamnadass R. 2012. African Wood Density Database. World Agroforestry Centre, Nairobi. (http://www.worldagroforestry.org/output/wood-density-database )",
178,"Kathiresan et al.","2010d","Kathiresan, K., Salmo III, S.G., Fernando, E.S., Peras, J.R., Sukardjo, S., Miyagi, T., Ellison, J., Koedam, N.E., Wang, Y., Primavera, J., Jin Eong, O., Wan-Hong Yong, J. & Ngoc Nam, V. 2010. Sonneratia caseolaris . The IUCN Red List of Threatened Species 2010: e.T178796A7608551. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178796A7608551.en. December10, 2019)."," http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178796A7608551.en.#http:// http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178796A7608551.en.#"
179,"Duke et al.","2010j","Duke, N., Kathiresan, K., Salmo III, S.G., Fernando, E.S., Peras, J.R., Sukardjo, S. & Miyagi, T. 2010. Bruguiera cylindrica . The IUCN Red List of Threatened Species 2010: e.T178840A7623394. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178840A7623394.en. (December 10, 2019).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178840A7623394.en.#"
180,"Hassler M.","2020","	Hassler M. (2020). World Plants: World Plants: Synonymic Checklists of the Vascular Plants of the World (version Nov 2018). In: Species 2000 & ITIS Catalogue of Life, 2020-02-24 (Roskov Y., Ower G., Orrell T., Nicolson D., Bailly N., Kirk P.M., Bourgoin T., DeWalt R.E., Decock W., Nieukerken E. van, Penev L.). Digital resource at www.catalogueoflife.org/col. Species 2000: Naturalis, Leiden, the Netherlands. ISSN 2405-8858.",
181,"Ellison et al.","2010","Ellison, J., Koedam, N.E., Wang, Y., Primavera, J., Jin Eong, O., Wan-Hong Yong, J. & Ngoc Nam, V. 2010. Acanthus ebracteatus. The IUCN Red List of Threatened Species 2010: e.T178832A7621003. https://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178832A7621003.en. (April 13, 2020).","#https://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178832A7621003.en#"
182,"BGCI","2019","Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group 2019. Diospyros maritima. The IUCN Red List of Threatened Species 2019: e.T173957A145369887. https://dx.doi.org/10.2305/IUCN.UK.2019-2.RLTS.T173957A145369887.en. (April 13, 2020).","#https://dx.doi.org/10.2305/IUCN.UK.2019-2.RLTS.T173957A145369887.en#"
183,"Barstow","2019","Barstow, M. 2019. Cynometra ramiflora. The IUCN Red List of Threatened Species 2019: e.T62021950A62022263. https://dx.doi.org/10.2305/IUCN.UK.2019-1.RLTS.T62021950A62022263.en. (April 13, 2020).","#https://dx.doi.org/10.2305/IUCN.UK.2019-1.RLTS.T62021950A62022263.en.#"
184,"Groom","2012","Groom, A. 2012. Pongamia pinnata. The IUCN Red List of Threatened Species 2012: e.T168724A20129906. https://dx.doi.org/10.2305/IUCN.UK.2012.RLTS.T168724A20129906.en. (April 13, 2020).","#https://dx.doi.org/10.2305/IUCN.UK.2012.RLTS.T168724A20129906.en.#"
185,"Comley, B. and McGuinness, K.","2005","Comley, B., McGuinness, K. 2005. Above-and below-ground biomass, and allometry, of four common northern Australian mangroves. Australian Journal of Botany. DOI 10.1071/BT04162","https://doi.org/10.1071/BT04162"
186,"Hossain et al.","2015","Hossain et al. 2015. Allometric models for biomass, nutrients and carbon stock in Excoecaria agallocha of the Sundarbans, Bangladesh. Wetlands Ecology and Management. DOI 10.1007/s11273-015-9419-1","https://doi.org/10.1007/s11273-015-9419-1"
187,"Kangkuso et al","2015","Kangkuso et al. 2015. Allometric models and aboveground biomass of Lumnitzera racemosa Willd. Forest in Rawa Aopa Watumohai National Park, Southeast Sulawesi, Indonesia. Forest Science and Technology. DOI 10.1080/21580103.2015.1034191","https://doi.org/10.1080/21580103.2015.1034191"
188,"Matsui et al","2014","Matsui et al. 2014. Nipa (Nypa fruticans Wurmb) sap collection in southern Thailand II. Biomass and soil properties. Environment and Natural Resources Research. 4: 89-100. doi: 10.5539/enrr.v4n4p89","https://doi.org/10.5539/enrr.v4n4p89"
189,"Larsen, D.R.","2017","Larsen, D.R. 2017. Simple taper: Taper equations for the field forester. Proceedings of the 20th Central Hardwood Forest Conference. 2016 March 28-April 1. Columbia, MO.",
1000,"NA",,"Not Available",
