study_id,site_id,core_id,Class,Sedimentar
Ezcurra_et_al_2016,PE16 El Merito Mudflat Core 2,M0419,OpenCoast,Terrigenous
Ezcurra_et_al_2016,PE16 Puerto Gata Fringe Core 1,M0420,OpenCoast,Terrigenous
Ezcurra_et_al_2016,PE16 Puerto Gata Fringe Core 2,M0421,OpenCoast,Terrigenous
Ezcurra_et_al_2016,PE16 Puerto Gata Fringe Core 3,M0422,OpenCoast,Terrigenous
Ezcurra_et_al_2016,PE16 Puerto Gata Mudflat Core 4,M0423,OpenCoast,Terrigenous
Ezcurra_et_al_2016,PE16 Puerto Gata Mudflat Core 5,M0424,OpenCoast,Terrigenous
Ezcurra_et_al_2016,PE16 Puerto Gata Mudflat Core 6,M0425,OpenCoast,Terrigenous
Ezcurra_et_al_2016,PE16 Puerto Gata Mudflat Core 7,M0426,OpenCoast,Terrigenous
Ezcurra_et_al_2016,PE16 San Gabriel Mudflat Core 1,M0427,OpenCoast,Terrigenous
Ezcurra_et_al_2016,PE16 San Gabriel Mudflat Core 2,M0428,OpenCoast,Terrigenous
Ezcurra_et_al_2016,PE16 San Jose Mudflat Core 1,M0429,Lagoon,Carbonate
Ferreira_et_al_2007,TOF07 S1A,M0691,Lagoon,Terrigenous
Ferreira_et_al_2007,TOF07 S1B,M0692,Lagoon,Terrigenous
Ferreira_et_al_2007,TOF07 S1D,M0694,Lagoon,Terrigenous
Fourqurean_unpublished,Florida_Bay,Fourqurean_unpublished_7,Lagoon,Carbonate
Fourqurean_unpublished,Florida_Bay,Fourqurean_unpublished_8,Lagoon,Carbonate
Frith_et_al_1976,DWF76 Zone 3B,M1290,OpenCoast,Terrigenous
Frith_et_al_1976,DWF76 Zone 3C,M1291,OpenCoast,Terrigenous
Frusher_et_al_1994,SDF94 1,M1327,OpenCoast,Terrigenous
Frusher_et_al_1994,SDF94 3,M1329,OpenCoast,Terrigenous
Fujimoto_et_al_1999,KF99 B1,M0530,OpenCoast,Terrigenous
Fujimoto_et_al_1999,KF99 B2,M0531,OpenCoast,Terrigenous
Fujimoto_et_al_1999,KF99 P1,M0532,OpenCoast,Terrigenous
Gevana_and_Pampolina_2009,GP09 Averaged,M1519,OpenCoast,Terrigenous
Giani_et_al_1996,LG96 1.2,M0706,OpenCoast,Terrigenous
Giani_et_al_1996,LG96 1.3,M0707,OpenCoast,Terrigenous
Giani_et_al_1996,LG96 2.1,M0708,OpenCoast,Terrigenous
Giani_et_al_1996,LG96 3.1,M0709,OpenCoast,Terrigenous
Giani_et_al_1996,LG96 5.2,M0710,OpenCoast,Terrigenous
Gillis_et_al_2017,LGG17_A,M1520,OpenCoast,Terrigenous
Gillis_et_al_2017,LGG17_B,M1521,OpenCoast,Terrigenous
Gillis_et_al_2017,LGG17_C,M1522,OpenCoast,Terrigenous
Gillis_et_al_2017,LGG17_E,M1524,OpenCoast,Terrigenous
Gillis_et_al_2017,LGG17_G,M1526,Lagoon,Terrigenous
Gillis_et_al_2017,LGG17_J,M1529,OpenCoast,Terrigenous
Gomes_et_al_2016,FHG16 M4,M0528,Lagoon,Terrigenous
Gomes_et_al_2016,FHG16 M5,M0529,Lagoon,Terrigenous
Gonneea_et_al_2004,MEG04 2CEL12_2000,M1507,Lagoon,Carbonate
Gonneea_et_al_2004,MEG04 4CEL12_2000,M1508,Lagoon,Carbonate
Gonneea_et_al_2004,MEG04 6CEL12_2000,M1509,Lagoon,Carbonate
Gonneea_et_al_2004,MEG04 13-1CEL10_2001,M1513,Lagoon,Carbonate
Gonneea_et_al_2004,MEG04 7TER10_2001,M1517,OpenCoast,Carbonate
Gonneea_et_al_2004,MEG04 15TER10_2001,M1518,OpenCoast,Carbonate
Hamzeh_and_lahijani_2022,KM11,KM11_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,KM11,KM11_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,KM11,KM11_3,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,KM12,KM12_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,KM12,KM12_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,KM12,KM12_3,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,KM13,KM13_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,KM13,KM13_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,KM13,KM13_3,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM41,QM41_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM41,QM41_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM41,QM41_3,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM42,QM42_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM42,QM42_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM42,QM42_3,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM43,QM43_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM43,QM43_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM43,QM43_3,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM51,QM51_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM51,QM51_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM51,QM51_3,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM61,QM61_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM61,QM61_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM61,QM61_3,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM91,QM91_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM91,QM91_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM91,QM91_3,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM92,QM92_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM92,QM92_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM92,QM92_3,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM111,QM111_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM111,QM111_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM111,QM111_3,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM132,QM132_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM132,QM132_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM132,QM132_3,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM151,QM151_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM151,QM151_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM151,QM151_3,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM161,QM161_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM161,QM161_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM161,QM161_3,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM172,QM172_1,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM172,QM172_2,OpenCoast,Terrigenous
Hamzeh_and_lahijani_2022,QM172,QM172_3,OpenCoast,Terrigenous
Hoppe-Speer_et_al_2013,St Lucia,Hoppe-Speer_and_Adams_2013_St Lucia-Croc center-1-core-1,Estuary,Terrigenous
Hoppe-Speer_et_al_2013,St Lucia,Hoppe-Speer_and_Adams_2013_St Lucia-Croc center-3-core-1,Estuary,Terrigenous
Hoppe-Speer_et_al_2013,St Lucia,Hoppe-Speer_and_Adams_2013_St Lucia-Croc center-4-core-1,Estuary,Terrigenous
Hoppe-Speer_et_al_2013,St Lucia,Hoppe-Speer_and_Adams_2013_St Lucia-Black pipe-1-core-1,Estuary,Terrigenous
Hoppe-Speer_et_al_2013,St Lucia,Hoppe-Speer_and_Adams_2013_St Lucia-Black pipe-3-core-1,Estuary,Terrigenous
Hoppe-Speer_et_al_2013,St Lucia,Hoppe-Speer_and_Adams_2013_St Lucia-Black pipe-4-core-1,Estuary,Terrigenous
Hoppe-Speer_et_al_2013,St Lucia,Hoppe-Speer_and_Adams_2013_St Lucia-Croc memorial-1-core-1,Estuary,Terrigenous
Hoppe-Speer_et_al_2013,St Lucia,Hoppe-Speer_and_Adams_2013_St Lucia-Croc memorial-3-core-1,Estuary,Terrigenous
Hoppe-Speer_et_al_2013,St Lucia,Hoppe-Speer_and_Adams_2013_St Lucia-Croc memorial-4-core-1,Estuary,Terrigenous
Hoppe-Speer_et_al_2013,St Lucia,Hoppe-Speer_and_Adams_2013_St Lucia-Back channel-1-core-1,Estuary,Terrigenous
Hoppe-Speer_et_al_2013,St Lucia,Hoppe-Speer_and_Adams_2013_St Lucia-Back channel-3-core-1,Estuary,Terrigenous
Howard_and_Fourqurean_2020,Trout Cove,tc _ 1,Lagoon,Carbonate
Howard_and_Fourqurean_2020,Trout Cove,tc _ 2,Lagoon,Carbonate
Howe_et_al_2009,AJH09 Site 1,M0442,Estuary,Terrigenous
Howe_et_al_2009,AJH09 Site 2,M0443,Estuary,Terrigenous
Jennerjahn_and_Ittekkot_1997,JI97 Paraiba do Sul,M0083,Delta,Terrigenous
Jennerjahn_and_Ittekkot_2002,JI97 Itacuruca,M0082,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB1,M0978,Estuary,Terrigenous
Jones_et_al_2016,Jones_16_AAB2,M0979,Estuary,Terrigenous
Jones_et_al_2016,Jones_16_AAB3,M0980,Estuary,Terrigenous
Jones_et_al_2016,Jones_16_AAB4,M0981,Estuary,Terrigenous
Jones_et_al_2016,Jones_16_AAB5,M0982,Estuary,Terrigenous
Jones_et_al_2016,Jones_16_AAB7,M0984,Estuary,Terrigenous
Jones_et_al_2016,Jones_16_AAB8,M0985,Estuary,Terrigenous
Jones_et_al_2016,Jones_16_AAB9,M0986,Estuary,Terrigenous
Jones_et_al_2016,Jones_16_AAB10,M0987,Estuary,Terrigenous
Jones_et_al_2016,Jones_16_AAB11,M0988,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB12,M0989,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB13,M0990,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB15,M0992,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB16,M0993,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB17,M0994,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB18,M0995,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB19,M0996,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB20,M0997,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB21,M0998,Estuary,Terrigenous
Jones_et_al_2016,Jones_16_AAB22,M0999,Estuary,Terrigenous
Jones_et_al_2016,Jones_16_AAB23,M1000,Estuary,Terrigenous
Jones_et_al_2016,Jones_16_AAB25,M1002,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB27,M1003,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB28,M1004,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB29,M1005,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB30,M1006,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB31,M1007,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB32,M1008,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB33,M1009,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB34,M1010,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB35,M1011,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB36,M1012,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB37,M1013,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB38,M1014,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB39,M1015,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB40,M1016,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB41-42,M1017,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB43,M1018,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB44,M1019,OpenCoast,Terrigenous
Jones_et_al_2016,Jones_16_AAB45,M1020,OpenCoast,Terrigenous
Kao_et_al_2002,WYK02 Watz-wei,M0965,Estuary,Terrigenous
Kao_et_al_2002,WYK02 Chu-wei,M0966,Estuary,Terrigenous
Kauffman_et_al_2016,JBK16 Grijalva,M0377,Delta,Terrigenous
Kauffman_et_al_2016,JBK16 Boca Pedro Oeste,M0378,Delta,Terrigenous
Kauffman_et_al_2016,JBK16 Boca Pedro Este,M0379,Delta,Terrigenous
Kauffman_et_al_2016,JBK16 Sabalo,M0380,Delta,Terrigenous
Kauffman_et_al_2016,JBK16 Cometa,M0381,Delta,Terrigenous
Kauffman_et_al_2016,JBK16 Vidal,M0382,Delta,Terrigenous
Kauffman_et_al_2016,JBK16 Gallego,M0383,Delta,Terrigenous
Kauffmann_et_al_2011,JBK11 RP Seaward,M0001,OpenCoast,Terrigenous
Kauffmann_et_al_2011,JBK11 RP Interior,M0002,OpenCoast,Terrigenous
Kauffmann_et_al_2011,JBK11 Yap Seaward,M0004,OpenCoast,Terrigenous
Kauffmann_et_al_2011,JBK11 Yap Interior,M0005,OpenCoast,Terrigenous
Kauffmann_et_al_2011,JBK11 Yap Landward,M0006,OpenCoast,Terrigenous
Kauffmann_et_al_2014,JBK14 Alta 3,M0007,OpenCoast,Carbonate
Kauffmann_et_al_2014,JBK14 Balsa Alta,M0008,OpenCoast,Carbonate
Kauffmann_et_al_2014,JBK14 Tapion Alto,M0009,OpenCoast,Carbonate
Kauffmann_et_al_2014,JBK14 Guinea Media,M0010,OpenCoast,Carbonate
Kauffmann_et_al_2014,JBK14 Laguna Media,M0011,OpenCoast,Carbonate
Kauffmann_et_al_2014,JBK14 Mediana Sur,M0012,OpenCoast,Carbonate
Kauffmann_et_al_2014,JBK14 Bajo Final,M0013,OpenCoast,Carbonate
Kauffmann_et_al_2014,JBK14 Granja Bajo,M0014,OpenCoast,Carbonate
Kazungu_1996,JMK96 Rhizophora mucronata,M0676,OpenCoast,Terrigenous
Kazungu_1996,JMK96 Ceriops tagal,M0677,OpenCoast,Terrigenous
Kelleway_et_al_2016,JJK16 TP1A,M0543,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 TP1B,M0544,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 TP1C,M0545,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 TP2A,M0546,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 TP2B,M0547,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 TP2C,M0548,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 TP3B,M0549,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 TP3C,M0550,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 TP3E,M0551,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 TP4B,M0553,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 TP4C,M0554,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 GR2A,M0558,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 GR2B,M0559,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 GR2C,M0560,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 GR3A,M0561,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 GR3B,M0562,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 GR4B,M0565,Estuary,Terrigenous
Kelleway_et_al_2016,JJK16 GR4C,M0566,Estuary,Terrigenous
Khan_et_al_2007,MNIK07 Site 1,M0384,OpenCoast,Terrigenous
Kristensen_et_al_1992,EK92 Dry Site,M1322,Delta,Terrigenous
Kristensen_et_al_2000,EK00 MB,M1323,OpenCoast,Terrigenous
Kusumaningtyas_et_al_2018,Berau,B2,OpenCoast,Terrigenous
Kusumaningtyas_et_al_2018,Berau,B3,OpenCoast,Terrigenous
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C24,Estuary,Terrigenous
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C41,Estuary,Terrigenous
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C42,Estuary,Terrigenous
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C43,Estuary,Terrigenous
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C45,Estuary,Terrigenous
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_Central,C49,Estuary,Terrigenous
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E40,Estuary,Terrigenous
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E44,Estuary,Terrigenous
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E46,Estuary,Terrigenous
Kusumaningtyas_et_al_2018,Segara_Anakan_Lagoon_East,E47,Estuary,Terrigenous
Lacerda_et_al_1995,LDL95 Rhizophora,M0080,OpenCoast,Terrigenous
Lacerda_et_al_1995,LDL95 Avicennia,M0081,OpenCoast,Terrigenous
Lallier-Verges_et_al_1998,EL98 Rhizophora,M0112,OpenCoast,Carbonate
Lang'at_et_al_2014,JKSL14 Control,M0657,OpenCoast,Terrigenous
Lee_and_Baker_1972,BKHL72 Station I,M1332,OpenCoast,Carbonate
Leopold_et_al_2013,AL13 Rhizophora,M0237,OpenCoast,Terrigenous
Leopold_et_al_2013,AL13 Avicennia,M0238,OpenCoast,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 1,M0239,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 2,M0240,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 3,M0241,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 4,M0242,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 5,M0243,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 6,M0244,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 7,M0245,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 8,M0246,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 9,M0247,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 10,M0248,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 11,M0249,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 12,M0250,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 13,M0251,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 14,M0252,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 15,M0253,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 16,M0254,Estuary,Terrigenous
Liu_et_al_2014,HL14 Gaogiao 17,M0255,Estuary,Terrigenous
Liu_et_al_2014,HL14 Dongzhai Harbor 1,M0256,Estuary,Terrigenous
Liu_et_al_2014,HL14 Dongzhai Harbor 2,M0257,Estuary,Terrigenous
Liu_et_al_2014,HL14 Dongzhai Harbor 3,M0258,Estuary,Terrigenous
Liu_et_al_2014,HL14 Dongzhai Harbor 4,M0259,Estuary,Terrigenous
Liu_et_al_2014,HL14 Shankou 1,M0260,Estuary,Terrigenous
Liu_et_al_2014,HL14 Shankou 2,M0261,Estuary,Terrigenous
Liu_et_al_2014,HL14 Shankou 3,M0262,Estuary,Terrigenous
Loi_and_Ni_2015,LTL15 High Terrain,M0958,Delta,Terrigenous
Loi_and_Ni_2015,LTL15 Mid Terrain,M0959,Delta,Terrigenous
Loi_and_Ni_2015,LTL15 Low Terrain,M0960,Delta,Terrigenous
Lovelock_et_al_2010,CEL10 Site 2,M0277,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 3,M0278,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 4,M0279,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 5,M0280,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 6,M0281,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 7,M0282,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 8,M0283,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 9,M0284,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 10,M0285,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 11,M0286,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 12,M0287,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 13,M0288,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 14,M0289,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 15,M0290,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 16,M0291,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 17,M0292,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 18,M0293,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 19,M0294,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 20,M0295,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 21,M0296,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 22,M0297,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 23,M0298,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 24,M0299,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 25,M0300,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 26,M0301,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 27,M0302,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 28,M0303,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 29,M0304,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 30,M0305,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 31,M0306,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 32,M0307,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 33,M0308,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 34,M0309,Estuary,Terrigenous
Lovelock_et_al_2010,CEL10 Site 35,M0310,Estuary,Terrigenous
Lunstrem_and_Chen_2014,LC14 S. Apetala 6yr,M0266,Estuary,Terrigenous
Lunstrem_and_Chen_2014,LC14 K. Obovata 6yr,M0267,Estuary,Terrigenous
Lunstrem_and_Chen_2014,LC14 K. Obovata 70yr,M0269,Estuary,Terrigenous
MacKenzie_et_al_2016,RAM16 CG1.6,M0312,Delta,Terrigenous
MacKenzie_et_al_2016,RAM16 CG2.1,M0313,Delta,Terrigenous
MacKenzie_et_al_2016,RAM16 KVPF1.1,M0314,Delta,Terrigenous
MacKenzie_et_al_2016,RAM16 KVPF1.6,M0315,Delta,Terrigenous
MacKenzie_et_al_2016,RAM16 KVPF2.1,M0316,Delta,Terrigenous
MacKenzie_et_al_2016,RAM16 KVPF2.6,M0317,Delta,Terrigenous
MacKenzie_et_al_2016,RAM16 KVPF3.1,M0318,Delta,Terrigenous
MacKenzie_et_al_2016,RAM16 KVPF3.6,M0319,Delta,Terrigenous
MacKenzie_et_al_2016,RAM16 U1B0,M0320,OpenCoast,Terrigenous
MacKenzie_et_al_2016,RAM16 U1B375,M0321,OpenCoast,Terrigenous
MacKenzie_et_al_2016,RAM16 U2B0,M0322,OpenCoast,Terrigenous
MacKenzie_et_al_2016,RAM16 U2B375,M0323,OpenCoast,Terrigenous
MacKenzie_et_al_2016,RAM16 U3B0,M0324,OpenCoast,Terrigenous
MacKenzie_et_al_2016,RAM16 U3B375,M0325,OpenCoast,Terrigenous
MacKenzie_et_al_2016,RAM16 D1B0,M0326,OpenCoast,Terrigenous
MacKenzie_et_al_2016,RAM16 D1B375,M0327,OpenCoast,Terrigenous
MacKenzie_et_al_2016,RAM16 D3B0,M0328,OpenCoast,Terrigenous
MacKenzie_et_al_2016,RAM16 D2B0,M0329,OpenCoast,Terrigenous
MacKenzie_et_al_2016,RAM16 D2B375,M0330,OpenCoast,Terrigenous
MacKenzie_et_al_2021,Catanauan_213,Catanauan_213_711,OpenCoast,Terrigenous
MacKenzie_et_al_2021,Catanauan_214,Catanauan_214_712,OpenCoast,Terrigenous
MacKenzie_et_al_2021,Catanauan_215,Catanauan_215_713,OpenCoast,Terrigenous
MacKenzie_et_al_2021,Catanauan_216,Catanauan_216_714,OpenCoast,Terrigenous
MacKenzie_et_al_2021,Catanauan_217,Catanauan_217_715,OpenCoast,Terrigenous
MacKenzie_et_al_2021,Catanauan_218,Catanauan_218_716,OpenCoast,Terrigenous
MacKenzie_et_al_2021,Catanauan_219,Catanauan_219_717,OpenCoast,Terrigenous
MacKenzie_et_al_2021,Catanauan_220,Catanauan_220_718,OpenCoast,Terrigenous
Mao_et_al_2012,LZM12 Futian 1,M0482,Estuary,Terrigenous
Mao_et_al_2012,LZM12 Futian 2,M0483,Estuary,Terrigenous
Mao_et_al_2012,LZM12 Futian 3,M0484,Estuary,Terrigenous
Marchand_et_al_2003,CM04 C8,M0096,OpenCoast,Terrigenous
Marchand_et_al_2004,CM04 C1,M0093,OpenCoast,Terrigenous
Marchand_et_al_2004,CM04 C4,M0095,Estuary,Terrigenous
Marchand_et_al_2004,CM04 C11,M0097,Estuary,Terrigenous
Marchand_et_al_2004,CM04 C18,M0102,Estuary,Terrigenous
Marchand_et_al_2004,CM04 C22,M0105,Estuary,Terrigenous
Marchand_et_al_2004,CM04 C23,M0106,Estuary,Terrigenous
Marchand_et_al_2004,CM04 C25,M0108,Estuary,Terrigenous
Marchand_et_al_2004,CM04 C26,M0109,Estuary,Terrigenous
Marchand_et_al_2004,CM04 C27,M0110,Estuary,Terrigenous
Marchand_et_al_2004,CM04 C28,M0111,Estuary,Terrigenous
"Marchand_et_al_2004,_Marchand_et_al_2003",CM04 C2,M0094,Estuary,Terrigenous
Marchio_et_al_2016,DAM16 SC Basin,M0340,Lagoon,Terrigenous
Marchio_et_al_2016,DAM16 HA Basin,M0341,Lagoon,Terrigenous
Marchio_et_al_2016,DAM16 HA Fringe,M0343,Lagoon,Terrigenous
Marchio_et_al_2016,DAM16 SC Riverine,M0344,Lagoon,Terrigenous
Marchio_et_al_2016,DAM16 HA Riverine,M0345,Lagoon,Terrigenous
Marchio_et_al_2016,DAM16 SC Dwarf,M0346,Lagoon,Terrigenous
Matsui_1998,NM98 T00,M0032,Estuary,Terrigenous
Matsui_1998,NM98 T01,M0033,Estuary,Terrigenous
Matsui_1998,NM98 T02,M0034,Estuary,Terrigenous
Matsui_1998,NM98 T03,M0035,Estuary,Terrigenous
Matsui_1998,NM98 T04,M0036,Estuary,Terrigenous
Matsui_1998,NM98 T05,M0037,Estuary,Terrigenous
Matsui_1998,NM98 T06,M0038,Estuary,Terrigenous
Matsui_1998,NM98 T07,M0039,Estuary,Terrigenous
Matsui_1998,NM98 T08,M0040,Estuary,Terrigenous
Matsui_1998,NM98 T09,M0041,Estuary,Terrigenous
Matsui_1998,NM98 T10,M0042,Estuary,Terrigenous
Matsui_1998,NM98 T11,M0043,Estuary,Terrigenous
Matsui_1998,NM98 T12,M0044,Estuary,Terrigenous
Matsui_1998,NM98 T13,M0045,Estuary,Terrigenous
Matsui_1998,NM98 T14,M0046,Estuary,Terrigenous
