"","Source","Original_source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc_mean","DOI"
"126","Hu et al 2020","Xu et al 2013","MH China 172","Yancheng coastal","China 172","Coastal wetland",33.6,120.57,"direct from dataset","2","China","2011",0,0.2,NA,0.143,"https://doi.org/10.1016/j.envres.2020.109576"
"127","Hu et al 2020","Xu et al 2013","MH China 173","Yancheng coastal","China 173","Coastal wetland",33.61,120.6,"direct from dataset","2","China","2011",0,0.2,NA,0.067,"https://doi.org/10.1016/j.envres.2020.109576"
"128","Hu et al 2020","Li et al 2018","MH China 8","Yangtze River Estuary","China 8","Coastal wetland",31.5,122.02,"direct from dataset","2","China","2012",0,0.2,NA,0.755,"https://doi.org/10.1016/j.envres.2020.109576"
"129","Hu et al 2020","Yu et al 2012","MH China 12","Yangtze River Estuary","China 12","Coastal wetland",31.5,122.02,"direct from dataset","2","China","2004",0,0.2,NA,0.529,"https://doi.org/10.1016/j.envres.2020.109576"
"130","Hu et al 2020","Bu et al 2015","MH China 13","Yangtze River Estuary","China 13","Coastal wetland",31.53,121.97,"direct from dataset","2","China","2008-2009",0,0.2,NA,0.52,"https://doi.org/10.1016/j.envres.2020.109576"
"131","Hu et al 2020","Bu et al 2015","MH China 14","Yangtze River Estuary","China 14","Coastal wetland",31.53,121.97,"direct from dataset","2","China","2008-2009",0,0.2,NA,0.45,"https://doi.org/10.1016/j.envres.2020.109576"
"132","Hu et al 2020","Bu et al 2015","MH China 15","Yangtze River Estuary","China 15","Coastal wetland",31.53,121.97,"direct from dataset","2","China","2009-2010",0,0.2,NA,0.43,"https://doi.org/10.1016/j.envres.2020.109576"
"133","Hu et al 2020","Bu et al 2015","MH China 16","Yangtze River Estuary","China 16","Coastal wetland",31.53,121.97,"direct from dataset","2","China","2009-2010",0,0.2,NA,0.28,"https://doi.org/10.1016/j.envres.2020.109576"
"134","Hu et al 2020","Sheng et al 2014","MH China 31","Yangtze River Estuary","China 31","Coastal wetland",31.5,121.97,"direct from dataset","2","China","2012",0,0.2,NA,0.539,"https://doi.org/10.1016/j.envres.2020.109576"
"135","Hu et al 2020","Sheng et al 2014","MH China 32","Yangtze River Estuary","China 32","Coastal wetland",31.5,121.97,"direct from dataset","2","China","2012",0,0.2,NA,0.499,"https://doi.org/10.1016/j.envres.2020.109576"
"136","Hu et al 2020","Wang et al 2009","MH China 42","Yangtze River Estuary","China 42","Coastal wetland",31.45,121.95,"direct from dataset","2","China","2004-2005",0,0.2,NA,0.398,"https://doi.org/10.1016/j.envres.2020.109576"
"137","Hu et al 2020","Wang et al 2009","MH China 43","Yangtze River Estuary","China 43","Coastal wetland",31.45,121.95,"direct from dataset","2","China","2004-2005",0,0.2,NA,0.187,"https://doi.org/10.1016/j.envres.2020.109576"
"138","Hu et al 2020","Cheng et al 2010","MH China 65","Yangtze River Estuary","China 65","Coastal wetland",31.17,122.02,"direct from dataset","2","China","2004",0,0.2,NA,0.632,"https://doi.org/10.1016/j.envres.2020.109576"
"139","Hu et al 2020","Cheng et al 2010","MH China 66","Yangtze River Estuary","China 66","Coastal wetland",31.18,122.03,"direct from dataset","2","China","2004",0,0.2,NA,0.702,"https://doi.org/10.1016/j.envres.2020.109576"
"140","Hu et al 2020","Bu et al 2018","MH China 79","Yangtze River Estuary","China 79","Coastal wetland",31.45,121.95,"direct from dataset","2","China","2008-2009",0,0.2,NA,0.707,"https://doi.org/10.1016/j.envres.2020.109576"
"141","Hu et al 2020","Bu et al 2018","MH China 80","Yangtze River Estuary","China 80","Coastal wetland",31.46,121.96,"direct from dataset","2","China","2008-2009",0,0.2,NA,0.573,"https://doi.org/10.1016/j.envres.2020.109576"
"142","Hu et al 2020","Bu et al 2018","MH China 81","Yangtze River Estuary","China 81","Coastal wetland",31.47,121.97,"direct from dataset","2","China","2009-2010",0,0.2,NA,0.552,"https://doi.org/10.1016/j.envres.2020.109576"
"143","Hu et al 2020","Bu et al 2018","MH China 82","Yangtze River Estuary","China 82","Coastal wetland",31.48,121.98,"direct from dataset","2","China","2009-2010",0,0.2,NA,0.294,"https://doi.org/10.1016/j.envres.2020.109576"
"144","Hu et al 2020","Hu et al 2014","MH China 103","Yangtze River Estuary","China 103","Coastal wetland",31.46,121.96,"direct from dataset","2","China","2012",0,0.2,NA,0.895,"https://doi.org/10.1016/j.envres.2020.109576"
"145","Hu et al 2020","Li et al 2015","MH China 174","Yangtze River Estuary","China 174","Coastal wetland",31.5,122.05,"direct from dataset","2","China","2011",0,0.2,NA,0.842,"https://doi.org/10.1016/j.envres.2020.109576"
"146","Hu et al 2020","Li et al 2015","MH China 175","Yangtze River Estuary","China 175","Coastal wetland",31.6,122.06,"direct from dataset","2","China","2011",0,0.2,NA,0.543,"https://doi.org/10.1016/j.envres.2020.109576"
"147","Hu et al 2020","Yang et al 2006","MH China 176","Yangtze River Estuary","China 176","Coastal wetland",31.48,122.05,"direct from dataset","2","China","2004",0,0.2,NA,0.633,"https://doi.org/10.1016/j.envres.2020.109576"
"148","Hu et al 2020","Yang et al 2006","MH China 177","Yangtze River Estuary","China 177","Coastal wetland",31.49,122.06,"direct from dataset","2","China","2004",0,0.2,NA,0.553,"https://doi.org/10.1016/j.envres.2020.109576"
"149","Hu et al 2020","Chen et al 2018","MH China 2","Yellow River Delta","China 2","Coastal wetland",37.71,119.25,"direct from dataset","2","China","2013",0,0.2,NA,0.314,"https://doi.org/10.1016/j.envres.2020.109576"
"150","Hu et al 2020","Chen et al 2018","MH China 3","Yellow River Delta","China 3","Coastal wetland",37.75,119.15,"direct from dataset","2","China","2013",0,0.2,NA,0.219,"https://doi.org/10.1016/j.envres.2020.109576"
"151","Hu et al 2020","Chen et al 2018","MH China 4","Yellow River Delta","China 4","Coastal wetland",37.75,119.1,"direct from dataset","2","China","2013",0,0.2,NA,0.327,"https://doi.org/10.1016/j.envres.2020.109576"
"152","Hu et al 2020","Chen et al 2018","MH China 5","Yellow River Delta","China 5","Coastal wetland",37.78,119.18,"direct from dataset","2","China","2013",0,0.2,NA,0.256,"https://doi.org/10.1016/j.envres.2020.109576"
"153","Hu et al 2020","Song et al 2014","MH China 115","Yellow River Delta","China 115","Coastal wetland",37.79,118.91,"direct from dataset","2","China","2012",0,0.2,NA,0.461,"https://doi.org/10.1016/j.envres.2020.109576"
"154","Hu et al 2020","Song et al 2014","MH China 116","Yellow River Delta","China 116","Coastal wetland",37.79,118.91,"direct from dataset","2","China","2012",0,0.2,NA,0.463,"https://doi.org/10.1016/j.envres.2020.109576"
"155","Hu et al 2020","Song et al 2014","MH China 117","Yellow River Delta","China 117","Coastal wetland",37.8,118.91,"direct from dataset","2","China","2012",0,0.2,NA,0.454,"https://doi.org/10.1016/j.envres.2020.109576"
"156","Hu et al 2020","Song et al 2014","MH China 118","Yellow River Delta","China 118","Coastal wetland",37.8,118.91,"direct from dataset","2","China","2012",0,0.2,NA,0.452,"https://doi.org/10.1016/j.envres.2020.109576"
"157","Hu et al 2020","Song and Li 2016","MH China 1","Yellow River Estuary","China 1","Coastal wetland",38.01,118.97,"direct from dataset","2","China","2013",0,0.2,NA,0.457,"https://doi.org/10.1016/j.envres.2020.109576"
"158","Hu et al 2020","Sun et al 2013","MH China 27","Yellow River Estuary","China 27","Coastal wetland",37.92,119.05,"direct from dataset","2","China","2009-2010",0,0.2,NA,0.453,"https://doi.org/10.1016/j.envres.2020.109576"
"159","Hu et al 2020","Sun et al 2013","MH China 28","Yellow River Estuary","China 28","Coastal wetland",37.92,119.05,"direct from dataset","2","China","2009-2010",0,0.2,NA,0.458,"https://doi.org/10.1016/j.envres.2020.109576"
"160","Hu et al 2020","Sun et al 2013","MH China 29","Yellow River Estuary","China 29","Coastal wetland",37.92,119.05,"direct from dataset","2","China","2009-2010",0,0.2,NA,0.452,"https://doi.org/10.1016/j.envres.2020.109576"
"161","Hu et al 2020","Sun et al 2013","MH China 30","Yellow River Estuary","China 30","Coastal wetland",37.92,119.05,"direct from dataset","2","China","2009-2010",0,0.2,NA,0.464,"https://doi.org/10.1016/j.envres.2020.109576"
"162","Hu et al 2020","Sun et al 2017","MH China 45","Yellow River Estuary","China 45","Coastal wetland",38.01,118.97,"direct from dataset","2","China","2011-2012",0,0.2,NA,0.476,"https://doi.org/10.1016/j.envres.2020.109576"
"163","Hu et al 2020","Sun et al 2017","MH China 46","Yellow River Estuary","China 46","Coastal wetland",38.01,118.97,"direct from dataset","2","China","2011-2012",0,0.2,NA,0.621,"https://doi.org/10.1016/j.envres.2020.109576"
"164","Hu et al 2020","Sun et al 2017","MH China 47","Yellow River Estuary","China 47","Coastal wetland",38.01,118.97,"direct from dataset","2","China","2011-2012",0,0.2,NA,0.539,"https://doi.org/10.1016/j.envres.2020.109576"
"165","Hu et al 2020","Sun et al 2017","MH China 48","Yellow River Estuary","China 48","Coastal wetland",38.01,118.97,"direct from dataset","2","China","2011-2012",0,0.2,NA,0.545,"https://doi.org/10.1016/j.envres.2020.109576"
"166","Hu et al 2020","Song et al 2018","MH China 56","Yellow River Estuary","China 56","Coastal wetland",38.01,118.97,"direct from dataset","2","China","2013-2014",0,0.2,NA,0.448,"https://doi.org/10.1016/j.envres.2020.109576"
"167","Hu et al 2020","Sun et al 2013","MH China 57","Yellow River Estuary","China 57","Coastal wetland",37.8,119.23,"direct from dataset","2","China","2010-2011",0,0.2,NA,0.465,"https://doi.org/10.1016/j.envres.2020.109576"
"168","Hu et al 2020","Sun et al 2013","MH China 58","Yellow River Estuary","China 58","Coastal wetland",37.8,119.23,"direct from dataset","2","China","2010-2011",0,0.2,NA,0.455,"https://doi.org/10.1016/j.envres.2020.109576"
"169","Hu et al 2020","Sun et al 2013","MH China 59","Yellow River Estuary","China 59","Coastal wetland",37.8,119.23,"direct from dataset","2","China","2010-2011",0,0.2,NA,0.45,"https://doi.org/10.1016/j.envres.2020.109576"
"170","Hu et al 2020","Sun et al 2013","MH China 60","Yellow River Estuary","China 60","Coastal wetland",37.8,119.23,"direct from dataset","2","China","2010-2011",0,0.2,NA,0.454,"https://doi.org/10.1016/j.envres.2020.109576"
"171","Hu et al 2020","Zhang et al 2013","MH China 61","Yellow River Estuary","China 61","Coastal wetland",37.8,119.23,"direct from dataset","2","China","2012",0,0.2,NA,0.45,"https://doi.org/10.1016/j.envres.2020.109576"
"172","Hu et al 2020","Zhang et al 2013","MH China 62","Yellow River Estuary","China 62","Coastal wetland",37.82,119.25,"direct from dataset","2","China","2012",0,0.2,NA,0.454,"https://doi.org/10.1016/j.envres.2020.109576"
"173","Hu et al 2020","Zhang et al 2013","MH China 63","Yellow River Estuary","China 63","Coastal wetland",37.83,119.27,"direct from dataset","2","China","2012",0,0.2,NA,0.45,"https://doi.org/10.1016/j.envres.2020.109576"
"174","Hu et al 2020","Zhang et al 2013","MH China 64","Yellow River Estuary","China 64","Coastal wetland",37.85,119.28,"direct from dataset","2","China","2012",0,0.2,NA,0.461,"https://doi.org/10.1016/j.envres.2020.109576"
"175","Hu et al 2020","Sun et al 2018","MH China 71","Yellow River Estuary","China 71","Coastal wetland",37.8,119.18,"direct from dataset","2","China","2011-2012",0,0.2,NA,0.476,"https://doi.org/10.1016/j.envres.2020.109576"
"176","Hu et al 2020","Sun et al 2018","MH China 72","Yellow River Estuary","China 72","Coastal wetland",37.8,119.18,"direct from dataset","2","China","2011-2012",0,0.2,NA,0.621,"https://doi.org/10.1016/j.envres.2020.109576"
"177","Hu et al 2020","Sun et al 2018","MH China 73","Yellow River Estuary","China 73","Coastal wetland",37.8,119.18,"direct from dataset","2","China","2011-2012",0,0.2,NA,0.539,"https://doi.org/10.1016/j.envres.2020.109576"
"178","Hu et al 2020","Sun et al 2018","MH China 74","Yellow River Estuary","China 74","Coastal wetland",37.8,119.18,"direct from dataset","2","China","2011-2012",0,0.2,NA,0.545,"https://doi.org/10.1016/j.envres.2020.109576"
"179","Hu et al 2020","Sun et al 2014","MH China 86","Yellow River Estuary","China 86","Coastal wetland",37.81,119.09,"direct from dataset","2","China","2010-2011",0,0.2,NA,0.453,"https://doi.org/10.1016/j.envres.2020.109576"
"180","Hu et al 2020","Sun et al 2014","MH China 87","Yellow River Estuary","China 87","Coastal wetland",37.81,119.09,"direct from dataset","2","China","2010-2011",0,0.2,NA,0.45,"https://doi.org/10.1016/j.envres.2020.109576"
"181","Hu et al 2020","Sun et al 2014","MH China 88","Yellow River Estuary","China 88","Coastal wetland",37.81,119.1,"direct from dataset","2","China","2010-2011",0,0.2,NA,0.454,"https://doi.org/10.1016/j.envres.2020.109576"
"182","Hu et al 2020","Sun et al 2014","MH China 89","Yellow River Estuary","China 89","Coastal wetland",37.81,119.1,"direct from dataset","2","China","2010-2011",0,0.2,NA,0.458,"https://doi.org/10.1016/j.envres.2020.109576"
"183","Hu et al 2020","Jiang et al 2012","MH China 157","Yellow River Estuary","China 157","Coastal wetland",37.78,119.15,"direct from dataset","2","China","2009",0,0.2,NA,0.452,"https://doi.org/10.1016/j.envres.2020.109576"
"184","Hu et al 2020","Jiang et al 2012","MH China 158","Yellow River Estuary","China 158","Coastal wetland",37.77,119.15,"direct from dataset","2","China","2009",0,0.2,NA,0.456,"https://doi.org/10.1016/j.envres.2020.109576"
"185","Hu et al 2020","Jiang et al 2012","MH China 159","Yellow River Estuary","China 159","Coastal wetland",37.79,119.15,"direct from dataset","2","China","2009",0,0.2,NA,0.454,"https://doi.org/10.1016/j.envres.2020.109576"
"186","Hu et al 2020","Jiang et al 2012","MH China 160","Yellow River Estuary","China 160","Coastal wetland",37.79,119.17,"direct from dataset","2","China","2009",0,0.2,NA,0.459,"https://doi.org/10.1016/j.envres.2020.109576"
"187","Hu et al 2020","Gao et al 2018","MH China 22","Zhangjiang River Estuary","China 22","Coastal wetland",23.92,117.42,"direct from dataset","2","China","2014",0,0.2,NA,1.048,"https://doi.org/10.1016/j.envres.2020.109576"
