Source,Site_name,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,accuracy_code,Country,Year_collected,Season,U_depth_m,L_depth_m,Method,SOM_perc,BD_reported_g_cm3,DOI
Ford et al 2016,HF CS 22,CS,CS_Morecambe_Winter_22,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,3.79,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 22,CS,CS_Morecambe_Winter_22,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,3.17,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 1,CS,CS_Morecambe_Summer_1,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,3.64,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 1,CS,CS_Morecambe_Summer_1,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.5,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 1,CS,CS_Morecambe_Summer_1,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,1.46,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 2,CS,CS_Morecambe_Summer_2,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,1.81,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 2,CS,CS_Morecambe_Summer_2,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.41,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 2,CS,CS_Morecambe_Summer_2,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,0.82,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 3,CS,CS_Morecambe_Summer_3,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,1.97,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 3,CS,CS_Morecambe_Summer_3,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.35,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 3,CS,CS_Morecambe_Summer_3,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,0.86,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 4,CS,CS_Morecambe_Summer_4,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,1.97,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 4,CS,CS_Morecambe_Summer_4,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.38,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 4,CS,CS_Morecambe_Summer_4,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,0.83,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 5,CS,CS_Morecambe_Summer_5,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,1.93,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 5,CS,CS_Morecambe_Summer_5,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.29,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 5,CS,CS_Morecambe_Summer_5,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,1.13,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 6,CS,CS_Morecambe_Summer_6,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,1.63,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 6,CS,CS_Morecambe_Summer_6,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.58,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 6,CS,CS_Morecambe_Summer_6,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,0.98,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 7,CS,CS_Morecambe_Summer_7,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,1.01,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 7,CS,CS_Morecambe_Summer_7,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.05,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 7,CS,CS_Morecambe_Summer_7,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,0.93,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 8,CS,CS_Morecambe_Summer_8,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,3.38,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 8,CS,CS_Morecambe_Summer_8,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.91,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 8,CS,CS_Morecambe_Summer_8,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,1.45,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 9,CS,CS_Morecambe_Summer_9,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,1.11,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 9,CS,CS_Morecambe_Summer_9,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.17,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 9,CS,CS_Morecambe_Summer_9,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,1.22,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 10,CS,CS_Morecambe_Summer_10,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,1.45,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 10,CS,CS_Morecambe_Summer_10,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.54,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 10,CS,CS_Morecambe_Summer_10,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,1.18,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 11,CS,CS_Morecambe_Summer_11,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,1.83,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 11,CS,CS_Morecambe_Summer_11,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.01,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 11,CS,CS_Morecambe_Summer_11,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,0.86,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 12,CS,CS_Morecambe_Summer_12,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,1.98,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 12,CS,CS_Morecambe_Summer_12,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,0.93,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 12,CS,CS_Morecambe_Summer_12,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,0.6,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 13,CS,CS_Morecambe_Summer_13,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,3.93,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 13,CS,CS_Morecambe_Summer_13,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.59,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 13,CS,CS_Morecambe_Summer_13,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,1.8,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 14,CS,CS_Morecambe_Summer_14,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,2.44,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 14,CS,CS_Morecambe_Summer_14,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.31,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 14,CS,CS_Morecambe_Summer_14,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,0.67,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 15,CS,CS_Morecambe_Summer_15,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,3.38,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 15,CS,CS_Morecambe_Summer_15,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.67,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 15,CS,CS_Morecambe_Summer_15,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,1.02,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 16,CS,CS_Morecambe_Summer_16,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,1.73,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 16,CS,CS_Morecambe_Summer_16,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.3,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 16,CS,CS_Morecambe_Summer_16,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,1.26,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 17,CS,CS_Morecambe_Summer_17,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,1.23,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 17,CS,CS_Morecambe_Summer_17,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.25,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 17,CS,CS_Morecambe_Summer_17,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,0.99,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 18,CS,CS_Morecambe_Summer_18,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,2.34,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 18,CS,CS_Morecambe_Summer_18,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.29,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 18,CS,CS_Morecambe_Summer_18,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,1.06,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 19,CS,CS_Morecambe_Summer_19,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,3.97,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 19,CS,CS_Morecambe_Summer_19,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,2.06,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 19,CS,CS_Morecambe_Summer_19,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,1.83,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 20,CS,CS_Morecambe_Summer_20,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,1.74,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 20,CS,CS_Morecambe_Summer_20,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,1.95,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 20,CS,CS_Morecambe_Summer_20,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,1.24,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 21,CS,CS_Morecambe_Summer_21,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,8.31,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 21,CS,CS_Morecambe_Summer_21,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,8.36,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 21,CS,CS_Morecambe_Summer_21,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,6.49,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 22,CS,CS_Morecambe_Summer_22,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0,0.1,LOI,0.98,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 22,CS,CS_Morecambe_Summer_22,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.1,0.2,LOI,0.79,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF CS 22,CS,CS_Morecambe_Summer_22,Saltmarsh,54.1666666666667,-3,direct from dataset,2,UK,2013,Summer,0.2,0.3,LOI,0.75,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 1,FW,FW_Essex_Winter_1,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,6.83,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 1,FW,FW_Essex_Winter_1,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,5.56,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 1,FW,FW_Essex_Winter_1,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,4.9,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 2,FW,FW_Essex_Winter_2,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,31.05,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 2,FW,FW_Essex_Winter_2,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,24.59,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 2,FW,FW_Essex_Winter_2,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,26.8,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 3,FW,FW_Essex_Winter_3,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,29.22,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 3,FW,FW_Essex_Winter_3,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,25.84,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 3,FW,FW_Essex_Winter_3,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,24.36,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 4,FW,FW_Essex_Winter_4,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,33.8,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 4,FW,FW_Essex_Winter_4,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,26.71,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 4,FW,FW_Essex_Winter_4,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,21.09,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 5,FW,FW_Essex_Winter_5,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,6.54,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 5,FW,FW_Essex_Winter_5,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,6.08,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 5,FW,FW_Essex_Winter_5,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,5.82,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 6,FW,FW_Essex_Winter_6,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,23.92,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 6,FW,FW_Essex_Winter_6,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,20.69,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 6,FW,FW_Essex_Winter_6,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,22.53,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 7,FW,FW_Essex_Winter_7,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,11.95,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 7,FW,FW_Essex_Winter_7,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,12.92,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 7,FW,FW_Essex_Winter_7,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,10.64,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 8,FW,FW_Essex_Winter_8,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,13.71,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 8,FW,FW_Essex_Winter_8,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,9.64,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 8,FW,FW_Essex_Winter_8,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,9.89,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 9,FW,FW_Essex_Winter_9,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,7.74,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 9,FW,FW_Essex_Winter_9,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,7.33,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 9,FW,FW_Essex_Winter_9,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,7.57,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 10,FW,FW_Essex_Winter_10,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,17.58,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 10,FW,FW_Essex_Winter_10,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,15.1,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 10,FW,FW_Essex_Winter_10,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,13.6,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 11,FW,FW_Essex_Winter_11,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0,0.1,LOI,9.17,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 11,FW,FW_Essex_Winter_11,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.1,0.2,LOI,8.53,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
Ford et al 2016,HF FW 11,FW,FW_Essex_Winter_11,Saltmarsh,51.8166666666667,0.966666666666667,direct from dataset,2,UK,2013,Winter,0.2,0.3,LOI,6.08,measured but not in dataset,https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5
