"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","N_perc","DOI"
"107","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.46,0.47,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"108","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.47,0.48,"EA",13.8358278,35.24204939,1.15,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"109","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.48,0.49,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"110","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.49,0.5,"EA",12.14875222,32.08284486,1.02,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"111","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.5,0.55,"EA",11.36258586,31.15079365,1,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"112","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.55,0.6,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"113","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.6,0.65,"EA",10.20401152,29.14533281,0.81,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"114","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.65,0.7,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"115","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.7,0.75,"EA",11.60529587,34.60166468,0.95,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"116","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.75,0.8,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"117","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.8,0.85,"EA",7.827036761,24.11902897,0.85,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"118","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.85,0.9,"EA",NA,NA,NA,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"119","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.9,0.95,"EA",8.366042257,13.28063241,0.39,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"120","Cuellar-Martinez et al 2019","TCM SQM2","Ensenada","SQM2","Salt marsh",30.43611111,-116.0161111,"direct from dataset","1","Mexico","2018",0.95,1,"EA",1.01546759,3.043478261,0.06,"https://doi.org/10.1016/j.scitotenv.2019.03.388"
"121","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0,0.01,"EA",6.168321168,22.27254014,0.86,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"122","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.01,0.02,"EA",4.313129589,19.34826884,0.51,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"123","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.02,0.03,"EA",NA,24.19557041,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"124","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.03,0.04,"EA",2.675776202,19.78373562,0.42,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"125","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.04,0.05,"EA",NA,15.37190083,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"126","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.05,0.06,"EA",4.146624305,14.48275862,0.36,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"127","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.06,0.07,"EA",NA,14.013267,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"128","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.07,0.08,"EA",2.606521308,17.17637202,0.48,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"129","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.08,0.09,"EA",NA,16.36807818,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"130","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.09,0.1,"EA",4.962539432,17.33986128,0.43,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"131","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.1,0.11,"EA",NA,13.06288032,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"132","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.11,0.12,"EA",2.942876307,15.01816714,0.32,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"133","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.12,0.13,"EA",NA,13.6307311,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"134","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.13,0.14,"EA",3.212017302,13.71359223,0.28,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"135","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.14,0.15,"EA",NA,11.59480954,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"136","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.15,0.16,"EA",2.299497636,10.62422489,0.19,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"137","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.16,0.17,"EA",NA,8.84244373,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"138","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.17,0.18,"EA",0.988030063,9.410339257,0.14,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"139","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.18,0.19,"EA",NA,7.935855263,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"140","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.19,0.2,"EA",1.061781632,8.447993394,0.15,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"141","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.2,0.21,"EA",NA,8.960131525,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"142","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.21,0.22,"EA",1.14622548,8.6414791,0.11,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"143","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.22,0.23,"EA",NA,8.011272142,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"144","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.23,0.24,"EA",1.609334121,8.192771084,0.12,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"145","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.24,0.25,"EA",NA,7.800562927,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"146","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.25,0.26,"EA",0.923824228,7.894736842,0.09,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"147","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.26,0.27,"EA",NA,7.228915663,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"148","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.27,0.28,"EA",0.441556389,7.358412567,0.07,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"149","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.28,0.29,"EA",NA,6.588520614,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"150","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.29,0.3,"EA",0.732534315,7.844723008,0.06,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"151","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.3,0.31,"EA",NA,7.891491985,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"152","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.31,0.32,"EA",0.445037535,NA,0.06,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"153","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.32,0.33,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"154","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.33,0.34,"EA",0.394086064,8.941877794,0.04,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"155","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.34,0.35,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"156","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.35,0.36,"EA",0.247268041,6.293420515,0.03,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"157","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.36,0.37,"EA",NA,6.459426726,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"158","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.37,0.38,"EA",0.490515464,7.021791768,0.03,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"159","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.38,0.39,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"160","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.39,0.4,"EA",0.300437094,6.322996375,0.034,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"161","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.4,0.41,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"162","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.41,0.42,"EA",0.307965866,6.636989073,0.03,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"163","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.42,0.43,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"164","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.43,0.44,"EA",0.237002175,6.502456801,0.03,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"165","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.44,0.45,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"166","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.45,0.46,"EA",0.232545813,6.367924528,0.03,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"167","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.46,0.47,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"168","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.47,0.48,"EA",0.294594595,NA,0.03,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"169","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.48,0.49,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"170","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.49,0.5,"EA",0.29309467,NA,0.04,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"171","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.5,0.51,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"172","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.51,0.52,"EA",0.312809458,NA,0.03,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"173","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.52,0.53,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"174","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.53,0.54,"EA",0.250845927,NA,0.03,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"175","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.54,0.55,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"176","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.55,0.56,"EA",0.28156051,4.273858921,0.02,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"177","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.56,0.57,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"178","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.57,0.58,"EA",0.35844645,4.683648316,0.03,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"179","Cuellar-Martinez et al 2020","TCM LTME1","Laguna de Terminos","LTME1","Salt marsh",18.79305556,-91.46388889,"direct from dataset","1","Mexico","2018",0.58,0.59,"EA",0.277692308,4.452767374,0.05,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"180","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0,0.01,"EA",7.881045131,23.60197368,0.75,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"181","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.01,0.02,"EA",4.840079444,28.83064516,0.66,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"182","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.02,0.03,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"183","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.03,0.04,"EA",2.090460201,20.13888889,0.5,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"184","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.04,0.05,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"185","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.05,0.06,"EA",3.106003976,13.94572025,0.32,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"186","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.06,0.07,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"187","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.07,0.08,"EA",2.987435285,19.63394343,0.49,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"188","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.08,0.09,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"189","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.09,0.1,"EA",5.739068482,19.95033113,0.49,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"190","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.1,0.11,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"191","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.11,0.12,"EA",5.05998414,17.80318497,0.43,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"192","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.12,0.13,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"193","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.13,0.14,"EA",2.861692491,13.50789692,0.4,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"194","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.14,0.15,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"195","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.15,0.16,"EA",0.892175798,18.37748344,0.33,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"196","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.16,0.17,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"197","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.17,0.18,"EA",2.168869978,14.56190868,0.35,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"198","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.18,0.19,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"199","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.19,0.2,"EA",1.896808803,15.6895128,0.33,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"200","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.2,0.21,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"201","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.21,0.22,"EA",2.264011087,13.97893031,0.29,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"202","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.22,0.23,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"203","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.23,0.24,"EA",1.924697565,12.60709914,0.24,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"204","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.24,0.25,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"205","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.25,0.26,"EA",1.66581922,9.995936611,0.18,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"206","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.26,0.27,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"207","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.27,0.28,"EA",0.944656428,8.486332109,0.14,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"208","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.28,0.29,"EA",NA,7.935855263,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"209","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.29,0.3,"EA",1.245290859,7.572016461,0.11,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"210","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.3,0.31,"EA",NA,NA,NA,"https://doi.org/10.1016/j.gloplacha.2020.103215"
"211","Cuellar-Martinez et al 2020","TCM LTME2","Laguna de Terminos","LTME2","Salt marsh",18.80611111,-91.4575,"direct from dataset","1","Mexico","2018",0.31,0.32,"EA",2.708292828,7.755568083,0.13,"https://doi.org/10.1016/j.gloplacha.2020.103215"
