"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Nation","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"106","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.025595879,0.051041055,"EA",7.7717638,16.37289463,0.56045221,"unpublished"
"107","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.051041055,0.076087732,"EA",6.547601,9.777082519,0.86516606,"unpublished"
"108","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.076087732,0.100765074,"EA",0.9914417,3.279968762,1.11089983,"unpublished"
"109","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.100765074,0.125100111,"EA",0.9717275,2.914171657,1.301076733,"unpublished"
"110","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.125100111,0.149117893,"EA",0.9152034,5.344418052,1.202061034,"unpublished"
"111","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.149117893,0.172841638,"EA",0.3500087,2.02020202,1.238203251,"unpublished"
"112","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.196292866,0.21949152,"EA",0.1712277,1.07185391,1.259192362,"unpublished"
"113","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.242456084,0.26520369,"EA",0.7211732,3.172085646,1.510302809,"unpublished"
"114","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.287750216,0.310110378,"EA",0.1285933,0.988205934,1.274118105,"unpublished"
"115","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.332297814,0.354325165,"EA",0.178799,1.19047619,1.483297251,"unpublished"
"116","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.376204147,0.397945618,"EA",0.1230752,1.048543689,1.497360334,"unpublished"
"117","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.397945618,0.419559641,"EA",NA,0.815533981,1.512989373,"unpublished"
"118","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.441055544,0.462441971,"EA",0.0592245,0.741897696,1.425682639,"unpublished"
"119","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.483726934,0.504917859,"EA",0.1132345,0.626959248,1.703660715,"unpublished"
"120","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,0.567992742,0.588871478,"EA",0.0664246,0.830696203,1.484382668,"unpublished"
"121","Pagès et al (in preparation)","JFP HARLECH18A","Glaslyn-Dwyryd estuary","HARLECH18A","Saltmarsh",52.89538927,-4.118050621,"direct from dataset",1,"UK","Wales",2017,1.078204091,1.098335522,"EA",0.8703454,0.877192982,1.975324035,"unpublished"
"122","Pagès et al (in preparation)","JFP CURIAN3A","Mawddach estuary","CURIAN3A","Saltmarsh",52.73272148,-4.025226139,"direct from dataset",1,"UK","Wales",2017,0.05,0.09,"EA",3.0943822,8.658346334,0.323001616,"unpublished"
"123","Pagès et al (in preparation)","JFP CURIAN3A","Mawddach estuary","CURIAN3A","Saltmarsh",52.73272148,-4.025226139,"direct from dataset",1,"UK","Wales",2017,0.14,0.18,"EA",4.2068036,10.50598687,0.319381928,"unpublished"
"124","Pagès et al (in preparation)","JFP CURIAN3A","Mawddach estuary","CURIAN3A","Saltmarsh",52.73272148,-4.025226139,"direct from dataset",1,"UK","Wales",2017,0.25,0.29,"EA",2.917013,8.426517572,0.387968202,"unpublished"
"125","Pagès et al (in preparation)","JFP CURIAN3A","Mawddach estuary","CURIAN3A","Saltmarsh",52.73272148,-4.025226139,"direct from dataset",1,"UK","Wales",2017,0.32,0.35,"EA",3.1526236,7.25308642,0.478263712,"unpublished"
"126","Pagès et al (in preparation)","JFP CURIAN3A","Mawddach estuary","CURIAN3A","Saltmarsh",52.73272148,-4.025226139,"direct from dataset",1,"UK","Wales",2017,0.42,0.45,"EA",3.2067115,7.813113467,0.556949319,"unpublished"
"127","Pagès et al (in preparation)","JFP CURIAN3A","Mawddach estuary","CURIAN3A","Saltmarsh",52.73272148,-4.025226139,"direct from dataset",1,"UK","Wales",2017,0.47,0.5,"EA",2.6334252,6.459143969,0.619660927,"unpublished"
"128","Pagès et al (in preparation)","JFP CURIAN3A","Mawddach estuary","CURIAN3A","Saltmarsh",52.73272148,-4.025226139,"direct from dataset",1,"UK","Wales",2017,0.56,0.58,"EA",2.5428565,7.361355896,0.685847467,"unpublished"
"129","Pagès et al (in preparation)","JFP CURIAN3A","Mawddach estuary","CURIAN3A","Saltmarsh",52.73272148,-4.025226139,"direct from dataset",1,"UK","Wales",2017,0.61,0.63,"EA",2.5453501,6.732673267,0.88891176,"unpublished"
"130","Pagès et al (in preparation)","JFP CURIAN3A","Mawddach estuary","CURIAN3A","Saltmarsh",52.73272148,-4.025226139,"direct from dataset",1,"UK","Wales",2017,0.68,0.7,"EA",1.8066517,4.857030944,1.066802571,"unpublished"
"131","Pagès et al (in preparation)","JFP CURIAN3A","Mawddach estuary","CURIAN3A","Saltmarsh",52.73272148,-4.025226139,"direct from dataset",1,"UK","Wales",2017,0.73,0.75,"EA",1.9612636,4.554377699,1.075487391,"unpublished"
"132","Pagès et al (in preparation)","JFP CURIAN3A","Mawddach estuary","CURIAN3A","Saltmarsh",52.73272148,-4.025226139,"direct from dataset",1,"UK","Wales",2017,1.13,1.15,"EA",3.5469369,4.101951414,1.264575912,"unpublished"
"133","Pagès et al (in preparation)","JFP CURIAN3A","Mawddach estuary","CURIAN3A","Saltmarsh",52.73272148,-4.025226139,"direct from dataset",1,"UK","Wales",2017,1.35,1.37,"EA",0.3375344,1.11332008,1.539052967,"unpublished"
"134","Pagès et al (in preparation)","JFP CURIAN5A","Mawddach estuary","CURIAN5A","Saltmarsh",52.73329027,-4.02174295,"direct from dataset",1,"UK","Wales",2017,0.04,0.08,"EA",3.7556691,7.575757576,0.372860947,"unpublished"
"135","Pagès et al (in preparation)","JFP CURIAN5A","Mawddach estuary","CURIAN5A","Saltmarsh",52.73329027,-4.02174295,"direct from dataset",1,"UK","Wales",2017,0.11,0.15,"EA",4.4192958,8.831683168,0.379103059,"unpublished"
"136","Pagès et al (in preparation)","JFP CURIAN5A","Mawddach estuary","CURIAN5A","Saltmarsh",52.73329027,-4.02174295,"direct from dataset",1,"UK","Wales",2017,0.22,0.25,"EA",3.1935448,8.156737305,0.446988613,"unpublished"
"137","Pagès et al (in preparation)","JFP CURIAN5A","Mawddach estuary","CURIAN5A","Saltmarsh",52.73329027,-4.02174295,"direct from dataset",1,"UK","Wales",2017,0.31,0.33,"EA",2.6782559,7.122960605,0.506285545,"unpublished"
"138","Pagès et al (in preparation)","JFP CURIAN5A","Mawddach estuary","CURIAN5A","Saltmarsh",52.73329027,-4.02174295,"direct from dataset",1,"UK","Wales",2017,0.39,0.42,"EA",2.0919496,6.133540373,0.669949785,"unpublished"
"139","Pagès et al (in preparation)","JFP CURIAN5A","Mawddach estuary","CURIAN5A","Saltmarsh",52.73329027,-4.02174295,"direct from dataset",1,"UK","Wales",2017,0.47,0.49,"EA",0.7210873,2.622445044,1.037226865,"unpublished"
"140","Pagès et al (in preparation)","JFP CURIAN5A","Mawddach estuary","CURIAN5A","Saltmarsh",52.73329027,-4.02174295,"direct from dataset",1,"UK","Wales",2017,0.52,0.54,"EA",0.9935459,2.734839477,1.133823536,"unpublished"
"141","Pagès et al (in preparation)","JFP CURIAN5A","Mawddach estuary","CURIAN5A","Saltmarsh",52.73329027,-4.02174295,"direct from dataset",1,"UK","Wales",2017,0.59,0.61,"EA",0.6011524,1.602188355,1.360282446,"unpublished"
"142","Pagès et al (in preparation)","JFP CURIAN5A","Mawddach estuary","CURIAN5A","Saltmarsh",52.73329027,-4.02174295,"direct from dataset",1,"UK","Wales",2017,0.63,0.65,"EA",0.3823512,1.385681293,1.382060998,"unpublished"
"143","Pagès et al (in preparation)","JFP CURIAN5A","Mawddach estuary","CURIAN5A","Saltmarsh",52.73329027,-4.02174295,"direct from dataset",1,"UK","Wales",2017,0.68,0.7,"EA",0.521863,1.649646504,1.454557416,"unpublished"
"144","Pagès et al (in preparation)","JFP CURIAN5A","Mawddach estuary","CURIAN5A","Saltmarsh",52.73329027,-4.02174295,"direct from dataset",1,"UK","Wales",2017,0.85,0.87,"EA",0.3699536,1.353965184,1.487405536,"unpublished"
"145","Pagès et al (in preparation)","JFP CURIAN5A","Mawddach estuary","CURIAN5A","Saltmarsh",52.73329027,-4.02174295,"direct from dataset",1,"UK","Wales",2017,1.12,1.14,"EA",0.2242405,1.237911025,1.680317639,"unpublished"
"146","Pagès et al (in preparation)","JFP CURIAN9A","Mawddach estuary","CURIAN9A","Saltmarsh",52.73235591,-4.021983183,"direct from dataset",1,"UK","Wales",2017,0.07,0.1,"EA",0.08011935,0.454641613,1.188332944,"unpublished"
"147","Pagès et al (in preparation)","JFP CURIAN9A","Mawddach estuary","CURIAN9A","Saltmarsh",52.73235591,-4.021983183,"direct from dataset",1,"UK","Wales",2017,0.13,0.16,"EA",0.1877939,0.867507886,1.096799922,"unpublished"
"148","Pagès et al (in preparation)","JFP CURIAN9A","Mawddach estuary","CURIAN9A","Saltmarsh",52.73235591,-4.021983183,"direct from dataset",1,"UK","Wales",2017,0.16,0.19,"EA",0.3861831,1.443057722,1.258569417,"unpublished"
"149","Pagès et al (in preparation)","JFP CURIAN9A","Mawddach estuary","CURIAN9A","Saltmarsh",52.73235591,-4.021983183,"direct from dataset",1,"UK","Wales",2017,0.22,0.24,"EA",0.1455159,0.890782339,1.324120307,"unpublished"
"150","Pagès et al (in preparation)","JFP CURIAN9A","Mawddach estuary","CURIAN9A","Saltmarsh",52.73235591,-4.021983183,"direct from dataset",1,"UK","Wales",2017,0.35,0.37,"EA",0.0631995,0.706713781,1.326108243,"unpublished"
"151","Pagès et al (in preparation)","JFP CURIAN9A","Mawddach estuary","CURIAN9A","Saltmarsh",52.73235591,-4.021983183,"direct from dataset",1,"UK","Wales",2017,0.42,0.45,"EA",NA,1.478226129,1.407437148,"unpublished"
"152","Pagès et al (in preparation)","JFP CURIAN9A","Mawddach estuary","CURIAN9A","Saltmarsh",52.73235591,-4.021983183,"direct from dataset",1,"UK","Wales",2017,0.47,0.49,"EA",0.1073898,0.587774295,1.643417799,"unpublished"
"153","Pagès et al (in preparation)","JFP CURIAN9A","Mawddach estuary","CURIAN9A","Saltmarsh",52.73235591,-4.021983183,"direct from dataset",1,"UK","Wales",2017,0.54,0.56,"EA",0.0558702,0.317082838,1.624486197,"unpublished"
"154","Pagès et al (in preparation)","JFP CURIAN9A","Mawddach estuary","CURIAN9A","Saltmarsh",52.73235591,-4.021983183,"direct from dataset",1,"UK","Wales",2017,0.69,0.71,"EA",0.090132,0.632411067,1.544924434,"unpublished"
"155","Pagès et al (in preparation)","JFP CURIAN9A","Mawddach estuary","CURIAN9A","Saltmarsh",52.73235591,-4.021983183,"direct from dataset",1,"UK","Wales",2017,0.96,0.98,"EA",NA,0.465296627,1.779530737,"unpublished"
"156","Pagès et al (in preparation)","JFP CURIAN9A","Mawddach estuary","CURIAN9A","Saltmarsh",52.73235591,-4.021983183,"direct from dataset",1,"UK","Wales",2017,1.11,1.13,"EA",NA,0.435988902,1.858899825,"unpublished"
"157","Pagès et al (in preparation)","JFP CURIAN9A","Mawddach estuary","CURIAN9A","Saltmarsh",52.73235591,-4.021983183,"direct from dataset",1,"UK","Wales",2017,1.23,1.25,"EA",0.1618029,0.924855491,1.700582839,"unpublished"
"158","Pagès et al (in preparation)","JFP CURIAN11A","Mawddach estuary","CURIAN11A","Saltmarsh",52.72994324,-4.0276499,"direct from dataset",1,"UK","Wales",2017,0.057336187,0.08,"EA",NA,0.914876691,1.287516942,"unpublished"
"159","Pagès et al (in preparation)","JFP CURIAN11A","Mawddach estuary","CURIAN11A","Saltmarsh",52.72994324,-4.0276499,"direct from dataset",1,"UK","Wales",2017,0.164081516,0.19,"EA",0.1022492,0.619195046,1.380851153,"unpublished"
"160","Pagès et al (in preparation)","JFP CURIAN11A","Mawddach estuary","CURIAN11A","Saltmarsh",52.72994324,-4.0276499,"direct from dataset",1,"UK","Wales",2017,0.239213545,0.26,"EA",1.1880152,4.396039604,1.04924618,"unpublished"
"161","Pagès et al (in preparation)","JFP CURIAN11A","Mawddach estuary","CURIAN11A","Saltmarsh",52.72994324,-4.0276499,"direct from dataset",1,"UK","Wales",2017,0.357605221,0.38,"EA",0.1867642,1.099332548,1.545572431,"unpublished"
"162","Pagès et al (in preparation)","JFP CURIAN11A","Mawddach estuary","CURIAN11A","Saltmarsh",52.72994324,-4.0276499,"direct from dataset",1,"UK","Wales",2017,0.447845817,0.47,"EA",0.200386,1.579155152,1.847800575,"unpublished"
"163","Pagès et al (in preparation)","JFP CURIAN11A","Mawddach estuary","CURIAN11A","Saltmarsh",52.72994324,-4.0276499,"direct from dataset",1,"UK","Wales",2017,0.683736909,0.7,"EA",NA,1.484375,1.792659998,"unpublished"
"164","Pagès et al (in preparation)","JFP CURIAN11A","Mawddach estuary","CURIAN11A","Saltmarsh",52.72994324,-4.0276499,"direct from dataset",1,"UK","Wales",2017,0.849061057,0.87,"EA",0.31735905,1.084034966,1.857469276,"unpublished"
"165","Pagès et al (in preparation)","JFP CURIAN11A","Mawddach estuary","CURIAN11A","Saltmarsh",52.72994324,-4.0276499,"direct from dataset",1,"UK","Wales",2017,0.869517665,0.89,"EA",0.2267266,1.51338766,1.907412459,"unpublished"
"166","Pagès et al (in preparation)","JFP CURIAN11A","Mawddach estuary","CURIAN11A","Saltmarsh",52.72994324,-4.0276499,"direct from dataset",1,"UK","Wales",2017,0.910328262,0.93,"EA",0.558138,2.061454687,1.930535432,"unpublished"
"167","Pagès et al (in preparation)","JFP CURIAN11A","Mawddach estuary","CURIAN11A","Saltmarsh",52.72994324,-4.0276499,"direct from dataset",1,"UK","Wales",2017,0.951019008,0.97,"EA",NA,1.461295419,2.152910524,"unpublished"
"168","Pagès et al (in preparation)","JFP CURIAN11A","Mawddach estuary","CURIAN11A","Saltmarsh",52.72994324,-4.0276499,"direct from dataset",1,"UK","Wales",2017,1.112900853,1.13,"EA",NA,1.399144967,1.560758922,"unpublished"
"169","Pagès et al (in preparation)","JFP CURIAN11A","Mawddach estuary","CURIAN11A","Saltmarsh",52.72994324,-4.0276499,"direct from dataset",1,"UK","Wales",2017,1.133062243,1.15,"EA",0.188233,1.437451437,2.017826225,"unpublished"
"170","Pagès et al (in preparation)","JFP CURIAN11A","Mawddach estuary","CURIAN11A","Saltmarsh",52.72994324,-4.0276499,"direct from dataset",1,"UK","Wales",2017,1.173348752,1.19,"EA",0.8588353,1.06888361,1.725507099,"unpublished"
