"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"98","Ward et al 2021","MAW Tomales Bay SM A","Tomales Bay","Tomales Bay SM A","Salt Marsh",38.21466,-122.9265,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",2.225,8.41,0.946,"https://doi.org/10.5194/bg-18-4717-2021"
"99","Ward et al 2021","MAW Tomales Bay SM B","Tomales Bay","Tomales Bay SM B","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",12.926,41.94,0.307,"https://doi.org/10.5194/bg-18-4717-2021"
"100","Ward et al 2021","MAW Tomales Bay SM B","Tomales Bay","Tomales Bay SM B","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",10.391,34.36,0.341,"https://doi.org/10.5194/bg-18-4717-2021"
"101","Ward et al 2021","MAW Tomales Bay SM B","Tomales Bay","Tomales Bay SM B","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",12.141,39.61,0.314,"https://doi.org/10.5194/bg-18-4717-2021"
"102","Ward et al 2021","MAW Tomales Bay SM B","Tomales Bay","Tomales Bay SM B","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",2.881,10.65,0.687,"https://doi.org/10.5194/bg-18-4717-2021"
"103","Ward et al 2021","MAW Tomales Bay SM B","Tomales Bay","Tomales Bay SM B","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",5.718,19.91,0.488,"https://doi.org/10.5194/bg-18-4717-2021"
"104","Ward et al 2021","MAW Tomales Bay SM B","Tomales Bay","Tomales Bay SM B","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",7.325,24.97,0.537,"https://doi.org/10.5194/bg-18-4717-2021"
"105","Ward et al 2021","MAW Tomales Bay SM B","Tomales Bay","Tomales Bay SM B","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",3.179,11.65,0.811,"https://doi.org/10.5194/bg-18-4717-2021"
"106","Ward et al 2021","MAW Tomales Bay SM B","Tomales Bay","Tomales Bay SM B","Salt Marsh",38.21338,-122.92653,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",2.48,9.29,1,"https://doi.org/10.5194/bg-18-4717-2021"
"107","Ward et al 2021","MAW Tomales Bay SM C","Tomales Bay","Tomales Bay SM C","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",4.111,14.73,0.304,"https://doi.org/10.5194/bg-18-4717-2021"
"108","Ward et al 2021","MAW Tomales Bay SM C","Tomales Bay","Tomales Bay SM C","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",4.99,17.58,0.397,"https://doi.org/10.5194/bg-18-4717-2021"
"109","Ward et al 2021","MAW Tomales Bay SM C","Tomales Bay","Tomales Bay SM C","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",4.387,15.63,0.554,"https://doi.org/10.5194/bg-18-4717-2021"
"110","Ward et al 2021","MAW Tomales Bay SM C","Tomales Bay","Tomales Bay SM C","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",4.052,14.54,0.475,"https://doi.org/10.5194/bg-18-4717-2021"
"111","Ward et al 2021","MAW Tomales Bay SM C","Tomales Bay","Tomales Bay SM C","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",3.575,12.97,0.637,"https://doi.org/10.5194/bg-18-4717-2021"
"112","Ward et al 2021","MAW Tomales Bay SM C","Tomales Bay","Tomales Bay SM C","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",2.498,9.35,0.707,"https://doi.org/10.5194/bg-18-4717-2021"
"113","Ward et al 2021","MAW Tomales Bay SM C","Tomales Bay","Tomales Bay SM C","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",1.92,7.35,0.893,"https://doi.org/10.5194/bg-18-4717-2021"
"114","Ward et al 2021","MAW Tomales Bay SM C","Tomales Bay","Tomales Bay SM C","Salt Marsh",38.2118,-122.92657,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",3.025,11.13,1.017,"https://doi.org/10.5194/bg-18-4717-2021"
"115","Ward et al 2021","MAW Tomales Bay SM D","Tomales Bay","Tomales Bay SM D","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",6.03,20.90027473,0.222,"https://doi.org/10.5194/bg-18-4717-2021"
"116","Ward et al 2021","MAW Tomales Bay SM D","Tomales Bay","Tomales Bay SM D","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",4.927,17.37919155,0.218,"https://doi.org/10.5194/bg-18-4717-2021"
"117","Ward et al 2021","MAW Tomales Bay SM D","Tomales Bay","Tomales Bay SM D","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",5.294,18.55764103,0.353,"https://doi.org/10.5194/bg-18-4717-2021"
"118","Ward et al 2021","MAW Tomales Bay SM D","Tomales Bay","Tomales Bay SM D","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",3.536,12.83565207,0.262,"https://doi.org/10.5194/bg-18-4717-2021"
"119","Ward et al 2021","MAW Tomales Bay SM D","Tomales Bay","Tomales Bay SM D","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",4.205,15.03896473,0.342,"https://doi.org/10.5194/bg-18-4717-2021"
"120","Ward et al 2021","MAW Tomales Bay SM D","Tomales Bay","Tomales Bay SM D","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",4.353,15.5206065,0.473,"https://doi.org/10.5194/bg-18-4717-2021"
"121","Ward et al 2021","MAW Tomales Bay SM D","Tomales Bay","Tomales Bay SM D","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",3.316,12.10611931,0.461,"https://doi.org/10.5194/bg-18-4717-2021"
"122","Ward et al 2021","MAW Tomales Bay SM D","Tomales Bay","Tomales Bay SM D","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",3.271,11.95527932,0.584,"https://doi.org/10.5194/bg-18-4717-2021"
"123","Ward et al 2021","MAW Tomales Bay SM D","Tomales Bay","Tomales Bay SM D","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",3.213,11.76019705,0.45,"https://doi.org/10.5194/bg-18-4717-2021"
"124","Ward et al 2021","MAW Tomales Bay SM D","Tomales Bay","Tomales Bay SM D","Salt Marsh",38.211,-122.926,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",3.221,11.78945822,0.517,"https://doi.org/10.5194/bg-18-4717-2021"
