"","Treatment","Source","Original_source","Publication","Site_name","DataID","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","Method","Soil_OCcon_n","Soil_OCcon_mean","Soil_OCcon_SD","Soil_OCden_n","Soil_OCden_mean","Soil_OCden_SD","Soil_TCcon_n","Soil_TCcon_mean","Soil_TCcon_SD","Soil_TCden_n","Soil_TCden_mean","Soil_TCden_SD","Soil_BD_n","Soil_BD_mean","Soil_BD_SD","Soil_CS_n","Soil_CS_mean","Soil_CS_SD","DOI"
"55","Control","He et al 2020","Schrama et al 2013","Schrama M, Heijning P, Bakker JP, van Wijnen HJ, Berg MP & Olff H. 2013 Herbivore trampling as an alternative pathway for explaining differences in nitrogen mineralization in moist grasslands. Oecologia 172, 231-243. ","QH D716","D716","Marsh",53.8,6.37,"direct from dataset","2","Netherlands",NA,"2013",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.47424,0.07872,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"56","Control","He et al 2020","Schrama et al 2013","Schrama M, Heijning P, Bakker JP, van Wijnen HJ, Berg MP & Olff H. 2013 Herbivore trampling as an alternative pathway for explaining differences in nitrogen mineralization in moist grasslands. Oecologia 172, 231-243. ","QH D717","D717","Marsh",53.8,6.37,"direct from dataset","2","Netherlands",NA,"2013",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.60864,0.17088,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"57","Control","He et al 2020","Schrama et al 2013","Schrama M, Heijning P, Bakker JP, van Wijnen HJ, Berg MP & Olff H. 2013 Herbivore trampling as an alternative pathway for explaining differences in nitrogen mineralization in moist grasslands. Oecologia 172, 231-243. ","QH D718","D718","Marsh",53.8,6.37,"direct from dataset","2","Netherlands",NA,"2013",0,0.1,NA,11,0.091,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"58","Control","He et al 2020","Schrama et al 2013","Schrama M, Heijning P, Bakker JP, van Wijnen HJ, Berg MP & Olff H. 2013 Herbivore trampling as an alternative pathway for explaining differences in nitrogen mineralization in moist grasslands. Oecologia 172, 231-243. ","QH D719","D719","Marsh",53.8,6.37,"direct from dataset","2","Netherlands",NA,"2013",0,0.1,NA,6,0.087,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"59","Control","He et al 2020","Van Wijnen et al 1999","van Wijnen HJ, van der Wal R & Bakker JP. 1999 The impact of herbivores on nitrogen mineralization rate: consequences for salt-marsh succession. Oecologia 118, 225-231.","QH D886","D886","Marsh",53.5,6.3,"direct from dataset","2","Netherlands",NA,"1999",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.7,0.4,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"60","Control","He et al 2020","Van Wijnen et al 1999","van Wijnen HJ, van der Wal R & Bakker JP. 1999 The impact of herbivores on nitrogen mineralization rate: consequences for salt-marsh succession. Oecologia 118, 225-231.","QH D887","D887","Marsh",53.5,6.3,"direct from dataset","2","Netherlands",NA,"1999",0,0.1,NA,4,7.3,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"61","Control","He et al 2020","Wilson Jefferies 1996","Wilson DJ & Jefferies RL. 1996 Nitrogen Mineralization, Plant Growth and Goose Herbivory in an Arctic Coastal Ecosystem. Journal of Ecology 84, 841-851. ","QH D903","D903","Marsh",58.687124,-93.439282,"direct from dataset","2","Canada",NA,"1996",0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.96,0.034641016,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"62","Control","He et al 2020","Wilson Jefferies 1996","Wilson DJ & Jefferies RL. 1996 Nitrogen Mineralization, Plant Growth and Goose Herbivory in an Arctic Coastal Ecosystem. Journal of Ecology 84, 841-851. ","QH D904","D904","Marsh",58.687124,-93.439282,"direct from dataset","2","Canada",NA,"1996",0,0.01,NA,NA,NA,NA,NA,NA,NA,12,0.43,0.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"63","Control","He et al 2020","Wilson Jefferies 1996","Wilson DJ & Jefferies RL. 1996 Nitrogen Mineralization, Plant Growth and Goose Herbivory in an Arctic Coastal Ecosystem. Journal of Ecology 84, 841-851. ","QH D905","D905","Marsh",58.687124,-93.439282,"direct from dataset","2","Canada",NA,"1996",0.01,0.02,NA,NA,NA,NA,NA,NA,NA,12,0.36,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"64","Control","He et al 2020","Wilson Jefferies 1996","Wilson DJ & Jefferies RL. 1996 Nitrogen Mineralization, Plant Growth and Goose Herbivory in an Arctic Coastal Ecosystem. Journal of Ecology 84, 841-851. ","QH D906","D906","Marsh",58.687124,-93.439282,"direct from dataset","2","Canada",NA,"1996",0.02,0.03,NA,NA,NA,NA,NA,NA,NA,12,0.38,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"65","Control","He et al 2020","Wilson Jefferies 1996","Wilson DJ & Jefferies RL. 1996 Nitrogen Mineralization, Plant Growth and Goose Herbivory in an Arctic Coastal Ecosystem. Journal of Ecology 84, 841-851. ","QH D907","D907","Marsh",58.687124,-93.439282,"direct from dataset","2","Canada",NA,"1996",0.03,0.04,NA,NA,NA,NA,NA,NA,NA,12,0.33,0.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"66","Control","He et al 2020","Wilson Jefferies 1996","Wilson DJ & Jefferies RL. 1996 Nitrogen Mineralization, Plant Growth and Goose Herbivory in an Arctic Coastal Ecosystem. Journal of Ecology 84, 841-851. ","QH D908","D908","Marsh",58.687124,-93.439282,"direct from dataset","2","Canada",NA,"1996",0.04,0.05,NA,NA,NA,NA,NA,NA,NA,12,0.31,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"67","Control","He et al 2020","Yang et al 2017","Yang Z, Nolte S & Wu J. 2017 Tidal flooding diminishes the effects of livestock grazing on soil micro-food webs in a coastal saltmarsh. Agriculture, Ecosystems & Environment 236, 177-186. ","QH D920","D920","Marsh",31.47,121.93,"direct from dataset","2","China",NA,"2017",0,0.15,NA,6,3.82,0.636867333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"68","Control","He et al 2020","Yang et al 2017","Yang Z, Nolte S & Wu J. 2017 Tidal flooding diminishes the effects of livestock grazing on soil micro-food webs in a coastal saltmarsh. Agriculture, Ecosystems & Environment 236, 177-186. ","QH D921","D921","Marsh",31.47,121.93,"direct from dataset","2","China",NA,"2017",0,0.15,NA,6,4.64,0.416413256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"69","Control","He et al 2020","Zacheis et al Oecologia 2002","Zacheis A, Ruess RW & Hupp JW. 2002 Nitrogen dynamics in an Alaskan salt marsh following spring use by geese. Oecologia 130, 600-608.","QH D939","D939","Marsh",61.25,-150.5,"direct from dataset","2","USA","Alaska","2002",0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1.11,0.08,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
"70","Control","He et al 2020","Zacheis et al Oecologia 2002","Zacheis A, Ruess RW & Hupp JW. 2002 Nitrogen dynamics in an Alaskan salt marsh following spring use by geese. Oecologia 130, 600-608.","QH D940","D940","Marsh",61.25,-150.5,"direct from dataset","2","USA","Alaska","2002",0,0.1,NA,NA,NA,NA,NA,NA,NA,16,1.38,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://doi.org/10.1098/rstb.2019.0451"
