"","Source","Site_name","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"378","Gorham et al 2021","CG CO46","CO46","Saltmarsh",-34.28247584,119.4527356,"direct from dataset","1","Australia",2018,0.16,0.17,"EA",NA,NA,0.86,"https://doi.org/10.1007/s10021-020-00520-9"
"379","Gorham et al 2021","CG CO46","CO46","Saltmarsh",-34.28247584,119.4527356,"direct from dataset","1","Australia",2018,0.17,0.18,"EA",NA,NA,0.91,"https://doi.org/10.1007/s10021-020-00520-9"
"380","Gorham et al 2021","CG CO46","CO46","Saltmarsh",-34.28247584,119.4527356,"direct from dataset","1","Australia",2018,0.18,0.19,"EA",NA,NA,0.85,"https://doi.org/10.1007/s10021-020-00520-9"
"381","Gorham et al 2021","CG CO46","CO46","Saltmarsh",-34.28247584,119.4527356,"direct from dataset","1","Australia",2018,0.19,0.2,"EA",3.42,11.06,0.75,"https://doi.org/10.1007/s10021-020-00520-9"
"382","Gorham et al 2021","CG CO46","CO46","Saltmarsh",-34.28247584,119.4527356,"direct from dataset","1","Australia",2018,0.2,0.25,"EA",NA,NA,0.92,"https://doi.org/10.1007/s10021-020-00520-9"
"383","Gorham et al 2021","CG CO46","CO46","Saltmarsh",-34.28247584,119.4527356,"direct from dataset","1","Australia",2018,0.25,0.3,"EA",2.26,10.37,1.16,"https://doi.org/10.1007/s10021-020-00520-9"
"384","Gorham et al 2021","CG CO46","CO46","Saltmarsh",-34.28247584,119.4527356,"direct from dataset","1","Australia",2018,0.3,0.35,"EA",NA,NA,1.19,"https://doi.org/10.1007/s10021-020-00520-9"
"385","Gorham et al 2021","CG CO46","CO46","Saltmarsh",-34.28247584,119.4527356,"direct from dataset","1","Australia",2018,0.35,0.4,"EA",NA,NA,1.04,"https://doi.org/10.1007/s10021-020-00520-9"
"386","Gorham et al 2021","CG CO46","CO46","Saltmarsh",-34.28247584,119.4527356,"direct from dataset","1","Australia",2018,0.4,0.45,"EA",1.07,7.85,1.17,"https://doi.org/10.1007/s10021-020-00520-9"
"387","Gorham et al 2021","CG CO46","CO46","Saltmarsh",-34.28247584,119.4527356,"direct from dataset","1","Australia",2018,0.45,0.5,"EA",NA,NA,1.02,"https://doi.org/10.1007/s10021-020-00520-9"
"388","Gorham et al 2021","CG CO46","CO46","Saltmarsh",-34.28247584,119.4527356,"direct from dataset","1","Australia",2018,0.5,0.55,"EA",NA,NA,0.97,"https://doi.org/10.1007/s10021-020-00520-9"
"389","Gorham et al 2021","CG CO46","CO46","Saltmarsh",-34.28247584,119.4527356,"direct from dataset","1","Australia",2018,0.55,0.6,"EA",0.55,5.61,0.94,"https://doi.org/10.1007/s10021-020-00520-9"
"390","Gorham et al 2021","CG CO46","CO46","Saltmarsh",-34.28247584,119.4527356,"direct from dataset","1","Australia",2018,0.6,0.65,"EA",NA,NA,1.52,"https://doi.org/10.1007/s10021-020-00520-9"
"391","Gorham et al 2021","CG CO46","CO46","Saltmarsh",-34.28247584,119.4527356,"direct from dataset","1","Australia",2018,0.65,0.7,"EA",NA,NA,1.06,"https://doi.org/10.1007/s10021-020-00520-9"
"392","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0,0.01,"EA",5.27,15.21,0.65,"https://doi.org/10.1007/s10021-020-00520-9"
"393","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.01,0.02,"EA",NA,NA,0.7,"https://doi.org/10.1007/s10021-020-00520-9"
"394","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.02,0.03,"EA",NA,NA,0.37,"https://doi.org/10.1007/s10021-020-00520-9"
"395","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.03,0.04,"EA",4.94,16.52,0.58,"https://doi.org/10.1007/s10021-020-00520-9"
"396","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.04,0.05,"EA",NA,NA,0.69,"https://doi.org/10.1007/s10021-020-00520-9"
"397","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.05,0.06,"EA",NA,NA,0.77,"https://doi.org/10.1007/s10021-020-00520-9"
"398","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.06,0.07,"EA",4.56,14.86,0.93,"https://doi.org/10.1007/s10021-020-00520-9"
"399","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.07,0.08,"EA",NA,NA,0.76,"https://doi.org/10.1007/s10021-020-00520-9"
"400","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.08,0.09,"EA",NA,NA,1.22,"https://doi.org/10.1007/s10021-020-00520-9"
"401","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.09,0.1,"EA",2.54,8.37,1.05,"https://doi.org/10.1007/s10021-020-00520-9"
"402","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.1,0.11,"EA",NA,NA,0.98,"https://doi.org/10.1007/s10021-020-00520-9"
"403","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.11,0.12,"EA",NA,NA,0.95,"https://doi.org/10.1007/s10021-020-00520-9"
"404","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.12,0.13,"EA",NA,NA,0.93,"https://doi.org/10.1007/s10021-020-00520-9"
"405","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.13,0.14,"EA",NA,NA,0.9,"https://doi.org/10.1007/s10021-020-00520-9"
"406","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.14,0.15,"EA",1.77,8.72,1.27,"https://doi.org/10.1007/s10021-020-00520-9"
"407","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.15,0.16,"EA",NA,NA,1.23,"https://doi.org/10.1007/s10021-020-00520-9"
"408","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.16,0.17,"EA",NA,NA,0.99,"https://doi.org/10.1007/s10021-020-00520-9"
"409","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.17,0.18,"EA",NA,NA,1.32,"https://doi.org/10.1007/s10021-020-00520-9"
"410","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.18,0.19,"EA",NA,NA,1.24,"https://doi.org/10.1007/s10021-020-00520-9"
"411","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.19,0.2,"EA",1.43,8.24,1.06,"https://doi.org/10.1007/s10021-020-00520-9"
"412","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.2,0.25,"EA",NA,NA,0.95,"https://doi.org/10.1007/s10021-020-00520-9"
"413","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.25,0.3,"EA",1.24,8.69,1.09,"https://doi.org/10.1007/s10021-020-00520-9"
"414","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.3,0.35,"EA",NA,NA,0.95,"https://doi.org/10.1007/s10021-020-00520-9"
"415","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.35,0.4,"EA",NA,NA,1.13,"https://doi.org/10.1007/s10021-020-00520-9"
"416","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.4,0.45,"EA",0.6,7.65,1.35,"https://doi.org/10.1007/s10021-020-00520-9"
"417","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.45,0.5,"EA",NA,NA,1.44,"https://doi.org/10.1007/s10021-020-00520-9"
"418","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.5,0.55,"EA",NA,NA,1.15,"https://doi.org/10.1007/s10021-020-00520-9"
"419","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.55,0.6,"EA",NA,2.57,0.86,"https://doi.org/10.1007/s10021-020-00520-9"
"420","Gorham et al 2021","CG CO47","CO47","Saltmarsh",-34.28366142,119.4736656,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,0.3,"https://doi.org/10.1007/s10021-020-00520-9"
"421","Gorham et al 2021","CG CO48","CO48","Saltmarsh",-32.542758,115.720762,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.31,"https://doi.org/10.1007/s10021-020-00520-9"
"422","Gorham et al 2021","CG CO48","CO48","Saltmarsh",-32.542758,115.720762,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.32,"https://doi.org/10.1007/s10021-020-00520-9"
"423","Gorham et al 2021","CG CO48","CO48","Saltmarsh",-32.542758,115.720762,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,0.67,"https://doi.org/10.1007/s10021-020-00520-9"
"424","Gorham et al 2021","CG CO48","CO48","Saltmarsh",-32.542758,115.720762,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,0.83,"https://doi.org/10.1007/s10021-020-00520-9"
"425","Gorham et al 2021","CG CO48","CO48","Saltmarsh",-32.542758,115.720762,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,0.98,"https://doi.org/10.1007/s10021-020-00520-9"
"426","Gorham et al 2021","CG CO48","CO48","Saltmarsh",-32.542758,115.720762,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.07,"https://doi.org/10.1007/s10021-020-00520-9"
"427","Gorham et al 2021","CG CO48","CO48","Saltmarsh",-32.542758,115.720762,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.05,"https://doi.org/10.1007/s10021-020-00520-9"
"428","Gorham et al 2021","CG CO48","CO48","Saltmarsh",-32.542758,115.720762,"direct from dataset","1","Australia",2018,1.05,1.08,"EA",NA,NA,1.07,"https://doi.org/10.1007/s10021-020-00520-9"
"429","Gorham et al 2021","CG CO49","CO49","Saltmarsh",-32.543854,115.719766,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.31,"https://doi.org/10.1007/s10021-020-00520-9"
"430","Gorham et al 2021","CG CO49","CO49","Saltmarsh",-32.543854,115.719766,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.32,"https://doi.org/10.1007/s10021-020-00520-9"
"431","Gorham et al 2021","CG CO49","CO49","Saltmarsh",-32.543854,115.719766,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.05,"https://doi.org/10.1007/s10021-020-00520-9"
"432","Gorham et al 2021","CG CO49","CO49","Saltmarsh",-32.543854,115.719766,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.05,"https://doi.org/10.1007/s10021-020-00520-9"
"433","Gorham et al 2021","CG CO49","CO49","Saltmarsh",-32.543854,115.719766,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.06,"https://doi.org/10.1007/s10021-020-00520-9"
"434","Gorham et al 2021","CG CO49","CO49","Saltmarsh",-32.543854,115.719766,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.07,"https://doi.org/10.1007/s10021-020-00520-9"
"435","Gorham et al 2021","CG CO49","CO49","Saltmarsh",-32.543854,115.719766,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.06,"https://doi.org/10.1007/s10021-020-00520-9"
"436","Gorham et al 2021","CG CO49","CO49","Saltmarsh",-32.543854,115.719766,"direct from dataset","1","Australia",2018,1.05,1.08,"EA",NA,NA,1.05,"https://doi.org/10.1007/s10021-020-00520-9"
"437","Gorham et al 2021","CG CO5","CO5","Saltmarsh",-34.28420574,119.4925474,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.63,"https://doi.org/10.1007/s10021-020-00520-9"
"438","Gorham et al 2021","CG CO5","CO5","Saltmarsh",-34.28420574,119.4925474,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.39,"https://doi.org/10.1007/s10021-020-00520-9"
"439","Gorham et al 2021","CG CO5","CO5","Saltmarsh",-34.28420574,119.4925474,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.46,"https://doi.org/10.1007/s10021-020-00520-9"
"440","Gorham et al 2021","CG CO5","CO5","Saltmarsh",-34.28420574,119.4925474,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.48,"https://doi.org/10.1007/s10021-020-00520-9"
"441","Gorham et al 2021","CG CO5","CO5","Saltmarsh",-34.28420574,119.4925474,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.46,"https://doi.org/10.1007/s10021-020-00520-9"
"442","Gorham et al 2021","CG CO51","CO51","Saltmarsh",-33.320633,115.679467,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.39,"https://doi.org/10.1007/s10021-020-00520-9"
"443","Gorham et al 2021","CG CO51","CO51","Saltmarsh",-33.320633,115.679467,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.18,"https://doi.org/10.1007/s10021-020-00520-9"
"444","Gorham et al 2021","CG CO51","CO51","Saltmarsh",-33.320633,115.679467,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.45,"https://doi.org/10.1007/s10021-020-00520-9"
"445","Gorham et al 2021","CG CO51","CO51","Saltmarsh",-33.320633,115.679467,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.44,"https://doi.org/10.1007/s10021-020-00520-9"
"446","Gorham et al 2021","CG CO51","CO51","Saltmarsh",-33.320633,115.679467,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.57,"https://doi.org/10.1007/s10021-020-00520-9"
"447","Gorham et al 2021","CG CO51","CO51","Saltmarsh",-33.320633,115.679467,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.48,"https://doi.org/10.1007/s10021-020-00520-9"
"448","Gorham et al 2021","CG CO51","CO51","Saltmarsh",-33.320633,115.679467,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.46,"https://doi.org/10.1007/s10021-020-00520-9"
"449","Gorham et al 2021","CG CO51","CO51","Saltmarsh",-33.320633,115.679467,"direct from dataset","1","Australia",2018,1.05,1.08,"EA",NA,NA,1.43,"https://doi.org/10.1007/s10021-020-00520-9"
"450","Gorham et al 2021","CG CO53","CO53","Saltmarsh",-32.028769,115.900894,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.13,"https://doi.org/10.1007/s10021-020-00520-9"
"451","Gorham et al 2021","CG CO53","CO53","Saltmarsh",-32.028769,115.900894,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.27,"https://doi.org/10.1007/s10021-020-00520-9"
"452","Gorham et al 2021","CG CO53","CO53","Saltmarsh",-32.028769,115.900894,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,0.7,"https://doi.org/10.1007/s10021-020-00520-9"
"453","Gorham et al 2021","CG CO53","CO53","Saltmarsh",-32.028769,115.900894,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.5,"https://doi.org/10.1007/s10021-020-00520-9"
"454","Gorham et al 2021","CG CO53","CO53","Saltmarsh",-32.028769,115.900894,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.32,"https://doi.org/10.1007/s10021-020-00520-9"
"455","Gorham et al 2021","CG CO53","CO53","Saltmarsh",-32.028769,115.900894,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.34,"https://doi.org/10.1007/s10021-020-00520-9"
"456","Gorham et al 2021","CG CO53","CO53","Saltmarsh",-32.028769,115.900894,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.24,"https://doi.org/10.1007/s10021-020-00520-9"
"457","Gorham et al 2021","CG CO53","CO53","Saltmarsh",-32.028769,115.900894,"direct from dataset","1","Australia",2018,1.05,1.08,"EA",NA,NA,1.39,"https://doi.org/10.1007/s10021-020-00520-9"
"458","Gorham et al 2021","CG CO54","CO54","Saltmarsh",-33.320317,115.679367,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.85,"https://doi.org/10.1007/s10021-020-00520-9"
"459","Gorham et al 2021","CG CO54","CO54","Saltmarsh",-33.320317,115.679367,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.9,"https://doi.org/10.1007/s10021-020-00520-9"
"460","Gorham et al 2021","CG CO54","CO54","Saltmarsh",-33.320317,115.679367,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,0.92,"https://doi.org/10.1007/s10021-020-00520-9"
"461","Gorham et al 2021","CG CO54","CO54","Saltmarsh",-33.320317,115.679367,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.09,"https://doi.org/10.1007/s10021-020-00520-9"
"462","Gorham et al 2021","CG CO54","CO54","Saltmarsh",-33.320317,115.679367,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.16,"https://doi.org/10.1007/s10021-020-00520-9"
"463","Gorham et al 2021","CG CO54","CO54","Saltmarsh",-33.320317,115.679367,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.67,"https://doi.org/10.1007/s10021-020-00520-9"
"464","Gorham et al 2021","CG CO54","CO54","Saltmarsh",-33.320317,115.679367,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.25,"https://doi.org/10.1007/s10021-020-00520-9"
"465","Gorham et al 2021","CG CO55","CO55","Saltmarsh",-32.6426,115.646967,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.24,"https://doi.org/10.1007/s10021-020-00520-9"
"466","Gorham et al 2021","CG CO55","CO55","Saltmarsh",-32.6426,115.646967,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.4,"https://doi.org/10.1007/s10021-020-00520-9"
"467","Gorham et al 2021","CG CO55","CO55","Saltmarsh",-32.6426,115.646967,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.31,"https://doi.org/10.1007/s10021-020-00520-9"
"468","Gorham et al 2021","CG CO55","CO55","Saltmarsh",-32.6426,115.646967,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.07,"https://doi.org/10.1007/s10021-020-00520-9"
"469","Gorham et al 2021","CG CO55","CO55","Saltmarsh",-32.6426,115.646967,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.24,"https://doi.org/10.1007/s10021-020-00520-9"
"470","Gorham et al 2021","CG CO55","CO55","Saltmarsh",-32.6426,115.646967,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.33,"https://doi.org/10.1007/s10021-020-00520-9"
"471","Gorham et al 2021","CG CO55","CO55","Saltmarsh",-32.6426,115.646967,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.58,"https://doi.org/10.1007/s10021-020-00520-9"
"472","Gorham et al 2021","CG CO55","CO55","Saltmarsh",-32.6426,115.646967,"direct from dataset","1","Australia",2018,1.05,1.08,"EA",NA,NA,1.51,"https://doi.org/10.1007/s10021-020-00520-9"
"473","Gorham et al 2021","CG CO56","CO56","Saltmarsh",-33.300233,115.67955,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,1.24,"https://doi.org/10.1007/s10021-020-00520-9"
"474","Gorham et al 2021","CG CO56","CO56","Saltmarsh",-33.300233,115.67955,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.33,"https://doi.org/10.1007/s10021-020-00520-9"
"475","Gorham et al 2021","CG CO56","CO56","Saltmarsh",-33.300233,115.67955,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.15,"https://doi.org/10.1007/s10021-020-00520-9"
"476","Gorham et al 2021","CG CO56","CO56","Saltmarsh",-33.300233,115.67955,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.36,"https://doi.org/10.1007/s10021-020-00520-9"
"477","Gorham et al 2021","CG CO56","CO56","Saltmarsh",-33.300233,115.67955,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.45,"https://doi.org/10.1007/s10021-020-00520-9"
"478","Gorham et al 2021","CG CO56","CO56","Saltmarsh",-33.300233,115.67955,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.39,"https://doi.org/10.1007/s10021-020-00520-9"
"479","Gorham et al 2021","CG CO56","CO56","Saltmarsh",-33.300233,115.67955,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.19,"https://doi.org/10.1007/s10021-020-00520-9"
"480","Gorham et al 2021","CG CO56","CO56","Saltmarsh",-33.300233,115.67955,"direct from dataset","1","Australia",2018,1.05,1.08,"EA",NA,NA,1.48,"https://doi.org/10.1007/s10021-020-00520-9"
"481","Gorham et al 2021","CG CO57","CO57","Saltmarsh",-32.551707,115.75858,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.62,"https://doi.org/10.1007/s10021-020-00520-9"
"482","Gorham et al 2021","CG CO57","CO57","Saltmarsh",-32.551707,115.75858,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.7,"https://doi.org/10.1007/s10021-020-00520-9"
"483","Gorham et al 2021","CG CO57","CO57","Saltmarsh",-32.551707,115.75858,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.53,"https://doi.org/10.1007/s10021-020-00520-9"
"484","Gorham et al 2021","CG CO57","CO57","Saltmarsh",-32.551707,115.75858,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.6,"https://doi.org/10.1007/s10021-020-00520-9"
"485","Gorham et al 2021","CG CO57","CO57","Saltmarsh",-32.551707,115.75858,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.38,"https://doi.org/10.1007/s10021-020-00520-9"
"486","Gorham et al 2021","CG CO57","CO57","Saltmarsh",-32.551707,115.75858,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.08,"https://doi.org/10.1007/s10021-020-00520-9"
"487","Gorham et al 2021","CG CO58","CO58","Saltmarsh",-32.025936,115.812728,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.88,"https://doi.org/10.1007/s10021-020-00520-9"
"488","Gorham et al 2021","CG CO58","CO58","Saltmarsh",-32.025936,115.812728,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.4,"https://doi.org/10.1007/s10021-020-00520-9"
"489","Gorham et al 2021","CG CO58","CO58","Saltmarsh",-32.025936,115.812728,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.48,"https://doi.org/10.1007/s10021-020-00520-9"
"490","Gorham et al 2021","CG CO58","CO58","Saltmarsh",-32.025936,115.812728,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.5,"https://doi.org/10.1007/s10021-020-00520-9"
"491","Gorham et al 2021","CG CO58","CO58","Saltmarsh",-32.025936,115.812728,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.54,"https://doi.org/10.1007/s10021-020-00520-9"
"492","Gorham et al 2021","CG CO58","CO58","Saltmarsh",-32.025936,115.812728,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.5,"https://doi.org/10.1007/s10021-020-00520-9"
"493","Gorham et al 2021","CG CO59","CO59","Saltmarsh",-32.552162,115.758713,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.2,"https://doi.org/10.1007/s10021-020-00520-9"
"494","Gorham et al 2021","CG CO59","CO59","Saltmarsh",-32.552162,115.758713,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,0.17,"https://doi.org/10.1007/s10021-020-00520-9"
"495","Gorham et al 2021","CG CO59","CO59","Saltmarsh",-32.552162,115.758713,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,0.54,"https://doi.org/10.1007/s10021-020-00520-9"
"496","Gorham et al 2021","CG CO59","CO59","Saltmarsh",-32.552162,115.758713,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.23,"https://doi.org/10.1007/s10021-020-00520-9"
"497","Gorham et al 2021","CG CO59","CO59","Saltmarsh",-32.552162,115.758713,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.38,"https://doi.org/10.1007/s10021-020-00520-9"
"498","Gorham et al 2021","CG CO6","CO6","Saltmarsh",-34.28407898,119.4928887,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,1.53,"https://doi.org/10.1007/s10021-020-00520-9"
"499","Gorham et al 2021","CG CO6","CO6","Saltmarsh",-34.28407898,119.4928887,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.51,"https://doi.org/10.1007/s10021-020-00520-9"
"500","Gorham et al 2021","CG CO6","CO6","Saltmarsh",-34.28407898,119.4928887,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.51,"https://doi.org/10.1007/s10021-020-00520-9"
"501","Gorham et al 2021","CG CO6","CO6","Saltmarsh",-34.28407898,119.4928887,"direct from dataset","1","Australia",2018,0.45,0.48,"EA",NA,NA,1.27,"https://doi.org/10.1007/s10021-020-00520-9"
"502","Gorham et al 2021","CG CO6","CO6","Saltmarsh",-34.28407898,119.4928887,"direct from dataset","1","Australia",2018,0.6,0.63,"EA",NA,NA,1.23,"https://doi.org/10.1007/s10021-020-00520-9"
"503","Gorham et al 2021","CG CO6","CO6","Saltmarsh",-34.28407898,119.4928887,"direct from dataset","1","Australia",2018,0.75,0.78,"EA",NA,NA,1.2,"https://doi.org/10.1007/s10021-020-00520-9"
"504","Gorham et al 2021","CG CO6","CO6","Saltmarsh",-34.28407898,119.4928887,"direct from dataset","1","Australia",2018,0.9,0.93,"EA",NA,NA,1.25,"https://doi.org/10.1007/s10021-020-00520-9"
"505","Gorham et al 2021","CG CO60","CO60","Saltmarsh",-32.642883,115.647017,"direct from dataset","1","Australia",2018,0,0.03,"EA",NA,NA,0.62,"https://doi.org/10.1007/s10021-020-00520-9"
"506","Gorham et al 2021","CG CO60","CO60","Saltmarsh",-32.642883,115.647017,"direct from dataset","1","Australia",2018,0.15,0.18,"EA",NA,NA,1.37,"https://doi.org/10.1007/s10021-020-00520-9"
"507","Gorham et al 2021","CG CO60","CO60","Saltmarsh",-32.642883,115.647017,"direct from dataset","1","Australia",2018,0.3,0.33,"EA",NA,NA,1.28,"https://doi.org/10.1007/s10021-020-00520-9"
