"","Source","Site_name","Site","Core","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"192","Kohfeld et al 2022","KEH CBE_2-3","Cannery Bay East","CBE_2-3","Salt marsh","soil+peat",49.14142,-125.66614,"direct from dataset","1","Canada"," British Columbia",2016,0.24,0.2533,"EA",NA,37.36,0.248,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"193","Kohfeld et al 2022","KEH CBE_2-3","Cannery Bay East","CBE_2-3","Salt marsh","soil+peat",49.14142,-125.66614,"direct from dataset","1","Canada"," British Columbia",2016,0.2533,0.2667,"EA",NA,62.11,0.135,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"194","Kohfeld et al 2022","KEH CBE_2-3","Cannery Bay East","CBE_2-3","Salt marsh","peat",49.14142,-125.66614,"direct from dataset","1","Canada"," British Columbia",2016,0.2667,0.28,"EA",NA,81.94,0.083,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"195","Kohfeld et al 2022","KEH CBE_2-3","Cannery Bay East","CBE_2-3","Salt marsh","peat",49.14142,-125.66614,"direct from dataset","1","Canada"," British Columbia",2016,0.28,0.2933,"EA",NA,60.12,0.12,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"196","Kohfeld et al 2022","KEH CBE_2-3","Cannery Bay East","CBE_2-3","Salt marsh","peat",49.14142,-125.66614,"direct from dataset","1","Canada"," British Columbia",2016,0.2933,0.3067,"EA",NA,63.05,0.113,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"197","Kohfeld et al 2022","KEH CBE_2-3","Cannery Bay East","CBE_2-3","Salt marsh","peat",49.14142,-125.66614,"direct from dataset","1","Canada"," British Columbia",2016,0.3067,0.32,"EA",NA,74.76,0.12,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"198","Kohfeld et al 2022","KEH CBE_2-3","Cannery Bay East","CBE_2-3","Salt marsh","peat",49.14142,-125.66614,"direct from dataset","1","Canada"," British Columbia",2016,0.32,0.3333,"EA",NA,61.13,0.12,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"199","Kohfeld et al 2022","KEH CBE_2-3","Cannery Bay East","CBE_2-3","Salt marsh","peat",49.14142,-125.66614,"direct from dataset","1","Canada"," British Columbia",2016,0.3333,0.3467,"EA",NA,55.87,0.128,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"200","Kohfeld et al 2022","KEH CBE_2-3","Cannery Bay East","CBE_2-3","Salt marsh","peat",49.14142,-125.66614,"direct from dataset","1","Canada"," British Columbia",2016,0.3467,0.36,"EA",NA,60.98,0.135,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"201","Kohfeld et al 2022","KEH CBE_2-3","Cannery Bay East","CBE_2-3","Salt marsh","peat",49.14142,-125.66614,"direct from dataset","1","Canada"," British Columbia",2016,0.36,0.3733,"EA",NA,61.07,0.128,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"202","Kohfeld et al 2022","KEH CBE_2-3","Cannery Bay East","CBE_2-3","Salt marsh","peat",49.14142,-125.66614,"direct from dataset","1","Canada"," British Columbia",2016,0.3733,0.3867,"EA",NA,47.22,0.173,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"203","Kohfeld et al 2022","KEH CBE_2-3","Cannery Bay East","CBE_2-3","Salt marsh","peat",49.14142,-125.66614,"direct from dataset","1","Canada"," British Columbia",2016,0.3867,0.4,"EA",NA,55.64,0.143,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"204","Kohfeld et al 2022","KEH CBE_2-3","Cannery Bay East","CBE_2-3","Salt marsh","peat",49.14142,-125.66614,"direct from dataset","1","Canada"," British Columbia",2016,0.4,0.4133,"EA",NA,63.21,0.165,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"205","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","soil+peat",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0,0.015,"EA",NA,94.92,0.08,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"206","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","soil+peat",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.015,0.03,"EA",NA,67.65,0.107,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"207","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","soil+peat",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.03,0.045,"EA",NA,72.12,0.093,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"208","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","soil+peat",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.045,0.06,"EA",NA,72.21,0.1,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"209","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","soil+peat",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.06,0.075,"EA",NA,65.87,0.087,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"210","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","soil+peat",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.075,0.09,"EA",NA,53.54,0.113,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"211","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","peat",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.09,0.105,"EA",NA,71.76,0.173,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"212","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","peat",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.105,0.12,"EA",NA,54.71,0.207,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"213","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","sand+gravel",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.12,0.135,"EA",NA,19.41,0.42,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"214","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","sand+gravel",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.135,0.15,"EA",NA,14.56,0.373,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"215","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","sand+gravel",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.15,0.165,"EA",NA,21.12,0.393,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"216","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","sand+gravel",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.165,0.18,"EA",NA,11.98,0.387,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"217","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","sand+gravel",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.18,0.195,"EA",NA,28.19,0.467,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"218","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","sand+gravel",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.195,0.21,"EA",NA,9.1,0.593,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"219","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","sand+gravel",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.21,0.225,"EA",NA,4.37,0.613,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"220","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","sand+gravel",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.225,0.24,"EA",NA,5.77,0.713,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"221","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","sand+gravel",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.24,0.255,"EA",NA,7.17,0.713,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"222","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","sand+gravel",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.255,0.27,"EA",NA,6.81,0.507,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"223","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","sand+gravel",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.27,0.285,"EA",NA,9.91,0.493,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"224","Kohfeld et al 2022","KEH CBE_2-4","Cannery Bay East","CBE_2-4","Salt marsh","sand+gravel",49.14144,-125.66609,"direct from dataset","1","Canada"," British Columbia",2016,0.285,0.3,"EA",NA,10.83,0.493,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"225","Kohfeld et al 2022","KEH CBE_2-5","Cannery Bay East","CBE_2-5","Salt marsh","peat+sand",49.14151,-125.66602,"direct from dataset","1","Canada"," British Columbia",2016,0,0.01,"EA",NA,12.15,0.57,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"226","Kohfeld et al 2022","KEH CBE_2-5","Cannery Bay East","CBE_2-5","Salt marsh","peat+sand",49.14151,-125.66602,"direct from dataset","1","Canada"," British Columbia",2016,0.01,0.02,"EA",NA,8.7,0.71,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"227","Kohfeld et al 2022","KEH CBE_2-5","Cannery Bay East","CBE_2-5","Salt marsh","peat+sand",49.14151,-125.66602,"direct from dataset","1","Canada"," British Columbia",2016,0.02,0.03,"EA",NA,9.95,0.71,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"228","Kohfeld et al 2022","KEH CBE_2-5","Cannery Bay East","CBE_2-5","Salt marsh","peat+sand",49.14151,-125.66602,"direct from dataset","1","Canada"," British Columbia",2016,0.03,0.04,"EA",NA,7.02,0.87,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"229","Kohfeld et al 2022","KEH CBE_2-5","Cannery Bay East","CBE_2-5","Salt marsh","peat+sand",49.14151,-125.66602,"direct from dataset","1","Canada"," British Columbia",2016,0.04,0.05,"EA",NA,3.99,0.96,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"230","Kohfeld et al 2022","KEH CBE_2-5","Cannery Bay East","CBE_2-5","Salt marsh","peat+sand",49.14151,-125.66602,"direct from dataset","1","Canada"," British Columbia",2016,0.05,0.06,"EA",NA,8.01,0.78,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"231","Kohfeld et al 2022","KEH CBE_2-5","Cannery Bay East","CBE_2-5","Salt marsh","sand",49.14151,-125.66602,"direct from dataset","1","Canada"," British Columbia",2016,0.06,0.07,"EA",NA,6.21,1.04,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"232","Kohfeld et al 2022","KEH CBE_2-5","Cannery Bay East","CBE_2-5","Salt marsh","sand",49.14151,-125.66602,"direct from dataset","1","Canada"," British Columbia",2016,0.07,0.08,"EA",NA,4.7,1.15,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"233","Kohfeld et al 2022","KEH CBE_2-5","Cannery Bay East","CBE_2-5","Salt marsh","sand",49.14151,-125.66602,"direct from dataset","1","Canada"," British Columbia",2016,0.08,0.09,"EA",NA,2.87,1.28,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"234","Kohfeld et al 2022","KEH CBE_2-5","Cannery Bay East","CBE_2-5","Salt marsh","sand",49.14151,-125.66602,"direct from dataset","1","Canada"," British Columbia",2016,0.09,0.1,"EA",NA,3.26,1.15,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"235","Kohfeld et al 2022","KEH CBE_2-5","Cannery Bay East","CBE_2-5","Salt marsh","sand",49.14151,-125.66602,"direct from dataset","1","Canada"," British Columbia",2016,0.1,0.11,"EA",NA,0,1.19,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"236","Kohfeld et al 2022","KEH CBW_1","Cannery Bay West","CBW_1","Salt marsh","mud",49.14115,-125.66983,"direct from dataset","1","Canada"," British Columbia",2016,0,0.0125,"EA",NA,54.33,0.104,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"237","Kohfeld et al 2022","KEH CBW_1","Cannery Bay West","CBW_1","Salt marsh","mud",49.14115,-125.66983,"direct from dataset","1","Canada"," British Columbia",2016,0.0125,0.025,"EA",NA,55.39,0.112,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"238","Kohfeld et al 2022","KEH CBW_1","Cannery Bay West","CBW_1","Salt marsh","mud",49.14115,-125.66983,"direct from dataset","1","Canada"," British Columbia",2016,0.025,0.0375,"EA",NA,50.69,0.12,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"239","Kohfeld et al 2022","KEH CBW_1","Cannery Bay West","CBW_1","Salt marsh","mud",49.14115,-125.66983,"direct from dataset","1","Canada"," British Columbia",2016,0.0375,0.05,"EA",NA,50.55,0.104,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"240","Kohfeld et al 2022","KEH CBW_1","Cannery Bay West","CBW_1","Salt marsh","mud",49.14115,-125.66983,"direct from dataset","1","Canada"," British Columbia",2016,0.05,0.0625,"EA",NA,54.38,0.096,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"241","Kohfeld et al 2022","KEH CBW_1","Cannery Bay West","CBW_1","Salt marsh","mud",49.14115,-125.66983,"direct from dataset","1","Canada"," British Columbia",2016,0.0625,0.075,"EA",NA,54.19,0.096,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"242","Kohfeld et al 2022","KEH CBW_1","Cannery Bay West","CBW_1","Salt marsh","mud",49.14115,-125.66983,"direct from dataset","1","Canada"," British Columbia",2016,0.075,0.0875,"EA",NA,52.05,0.12,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"243","Kohfeld et al 2022","KEH CBW_1","Cannery Bay West","CBW_1","Salt marsh","mud",49.14115,-125.66983,"direct from dataset","1","Canada"," British Columbia",2016,0.0875,0.1,"EA",NA,47.17,0.168,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"244","Kohfeld et al 2022","KEH CBW_1","Cannery Bay West","CBW_1","Salt marsh","mud",49.14115,-125.66983,"direct from dataset","1","Canada"," British Columbia",2016,0.1,0.1125,"EA",NA,42.05,0.216,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"245","Kohfeld et al 2022","KEH CBW_1","Cannery Bay West","CBW_1","Salt marsh","sand+mud",49.14115,-125.66983,"direct from dataset","1","Canada"," British Columbia",2016,0.1125,0.125,"EA",NA,19.45,0.568,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"246","Kohfeld et al 2022","KEH CBW_1","Cannery Bay West","CBW_1","Salt marsh","sand+mud",49.14115,-125.66983,"direct from dataset","1","Canada"," British Columbia",2016,0.125,0.1375,"EA",NA,22.71,0.576,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"247","Kohfeld et al 2022","KEH CBW_1","Cannery Bay West","CBW_1","Salt marsh","sand+mud",49.14115,-125.66983,"direct from dataset","1","Canada"," British Columbia",2016,0.1375,0.15,"EA",NA,14.52,0.616,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"248","Kohfeld et al 2022","KEH CBW_1","Cannery Bay West","CBW_1","Salt marsh","sand+mud",49.14115,-125.66983,"direct from dataset","1","Canada"," British Columbia",2016,0.15,0.1625,"EA",NA,9.19,0.68,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"249","Kohfeld et al 2022","KEH CBW_1","Cannery Bay West","CBW_1","Salt marsh","cobbles+mud",49.14115,-125.66983,"direct from dataset","1","Canada"," British Columbia",2016,0.1625,0.175,"EA",NA,8.04,0.848,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"250","Kohfeld et al 2022","KEH CBW_2","Cannery Bay West","CBW_2","Salt marsh","sandy soil",49.14115,-125.66982,"direct from dataset","1","Canada"," British Columbia",2016,0,0.0143,"EA",NA,57.88,0.119,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"251","Kohfeld et al 2022","KEH CBW_2","Cannery Bay West","CBW_2","Salt marsh","sandy soil",49.14115,-125.66982,"direct from dataset","1","Canada"," British Columbia",2016,0.0143,0.0286,"EA",NA,49.77,0.154,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"252","Kohfeld et al 2022","KEH CBW_2","Cannery Bay West","CBW_2","Salt marsh","sandy soil",49.14115,-125.66982,"direct from dataset","1","Canada"," British Columbia",2016,0.0286,0.0429,"EA",NA,42.06,0.168,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"253","Kohfeld et al 2022","KEH CBW_2","Cannery Bay West","CBW_2","Salt marsh","sandy soil",49.14115,-125.66982,"direct from dataset","1","Canada"," British Columbia",2016,0.0429,0.0571,"EA",NA,37.8,0.154,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"254","Kohfeld et al 2022","KEH CBW_2","Cannery Bay West","CBW_2","Salt marsh","sandy soil",49.14115,-125.66982,"direct from dataset","1","Canada"," British Columbia",2016,0.0571,0.0714,"EA",NA,14.11,0.336,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"255","Kohfeld et al 2022","KEH CBW_2","Cannery Bay West","CBW_2","Salt marsh","gravel",49.14115,-125.66982,"direct from dataset","1","Canada"," British Columbia",2016,0.0714,0.0857,"EA",NA,20.47,0.294,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"256","Kohfeld et al 2022","KEH CBW_2","Cannery Bay West","CBW_2","Salt marsh","gravel",49.14115,-125.66982,"direct from dataset","1","Canada"," British Columbia",2016,0.0857,0.1,"EA",NA,19.21,0.273,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"257","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0,0.01,"EA",NA,90.58,0.16,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"258","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.01,0.02,"EA",NA,47.57,0.17,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"259","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.02,0.03,"EA",NA,59.95,0.16,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"260","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.03,0.04,"EA",NA,61.39,0.2,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"261","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.04,0.05,"EA",NA,80.2,0.17,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"262","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.05,0.06,"EA",NA,80.2,0.16,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"263","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.06,0.07,"EA",NA,99,0.18,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"264","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.07,0.08,"EA",NA,83.55,0.15,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"265","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.08,0.09,"EA",NA,83.55,0.16,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"266","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.09,0.1,"EA",NA,68.1,0.17,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"267","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.1,0.11,"EA",NA,81.66,0.15,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"268","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.11,0.12,"EA",NA,95.22,0.14,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"269","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.12,0.13,"EA",NA,94.83,0.16,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"270","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.13,0.14,"EA",NA,44.09,0.16,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"271","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.14,0.15,"EA",NA,77.3,0.17,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"272","Kohfeld et al 2022","KEH CBW_3","Cannery Bay West","CBW_3","Salt marsh","peat",49.14113,-125.66962,"direct from dataset","1","Canada"," British Columbia",2016,0.15,0.16,"EA",NA,92.2,0.18,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"273","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","soil+peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0,0.0125,"EA",NA,57.66,0.088,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"274","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","soil+peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.0125,0.025,"EA",22.42,50.38,0.096,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"275","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","soil+peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.025,0.0375,"EA",NA,55.04,0.184,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"276","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","soil+peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.0375,0.05,"EA",NA,47.39,0.184,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"277","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","soil+peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.05,0.0625,"EA",19.14,46.39,0.12,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"278","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","soil+peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.0625,0.075,"EA",NA,52.13,0.128,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"279","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","soil+peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.075,0.0875,"EA",NA,56.58,0.104,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"280","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.0875,0.1,"EA",29.89,59.76,0.096,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"281","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.1,0.1125,"EA",NA,68.18,0.096,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"282","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.1125,0.125,"EA",NA,60.86,0.096,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"283","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.125,0.1375,"EA",28.24,61.93,0.096,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"284","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.1375,0.15,"EA",NA,59.77,0.088,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"285","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.15,0.1625,"EA",NA,43.23,0.072,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"286","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.1625,0.175,"EA",17.69,45.39,0.072,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"287","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.175,0.1875,"EA",NA,46.42,0.048,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"288","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.1875,0.2,"EA",NA,60.89,0.088,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"289","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","peat",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.2,0.2125,"EA",22.88,48.34,0.064,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
"290","Kohfeld et al 2022","KEH CBW_4","Cannery Bay West","CBW_4","Salt marsh","peat+sand",49.14112,-125.66955,"direct from dataset","1","Canada"," British Columbia",2016,0.2125,0.225,"EA",NA,32.37,0.056,"https://doi.pangaea.de/10.1594/PANGAEA.947824"
