"","Source","Site_name","Site","Core","Treatment","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","SOM_perc","DOI"
"109","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.38,0.4,"EA",2.066,1,10.76,"https://doi.org/10.1002/lno.12011"
"110","Graversen et al 2022","EG Mariager Ungrazed","Mariager","Mariager Ungrazed","Ungrazed","Saltmarsh",56.70871,10.16602,"direct from dataset","1","Denmark",2018,0.4,0.42,"EA",0.4,1.18,4.75,"https://doi.org/10.1002/lno.12011"
"111","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0,0.01,"EA",3.084,0.83,17.35,"https://doi.org/10.1002/lno.12011"
"112","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.01,0.02,"EA",2.93333333333333,0.853333333333333,14.6166666666667,"https://doi.org/10.1002/lno.12011"
"113","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.02,0.03,"EA",3.548,0.75,18.49,"https://doi.org/10.1002/lno.12011"
"114","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.03,0.04,"EA",5.085,0.62,24.69,"https://doi.org/10.1002/lno.12011"
"115","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.04,0.05,"EA",6.299,0.59,28.08,"https://doi.org/10.1002/lno.12011"
"116","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.05,0.06,"EA",4.918,0.56,26.87,"https://doi.org/10.1002/lno.12011"
"117","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.06,0.07,"EA",4.762,0.81,23.18,"https://doi.org/10.1002/lno.12011"
"118","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.07,0.08,"EA",4.26033333333333,0.746666666666667,20.8333333333333,"https://doi.org/10.1002/lno.12011"
"119","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.08,0.09,"EA",3.348,0.97,12.73,"https://doi.org/10.1002/lno.12011"
"120","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.09,0.1,"EA",1.802,1.04,9.33,"https://doi.org/10.1002/lno.12011"
"121","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.1,0.12,"EA",1.249,0.96,8.24,"https://doi.org/10.1002/lno.12011"
"122","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.12,0.14,"EA",1.343,1.08,5.48,"https://doi.org/10.1002/lno.12011"
"123","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.14,0.16,"EA",1.885,1.145,6.955,"https://doi.org/10.1002/lno.12011"
"124","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.16,0.18,"EA",0.505,1.17,3.88,"https://doi.org/10.1002/lno.12011"
"125","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.18,0.2,"EA",0.425,1.27,2.69,"https://doi.org/10.1002/lno.12011"
"126","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.2,0.22,"EA",0.786,1.16,5.58,"https://doi.org/10.1002/lno.12011"
"127","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.22,0.24,"EA",1.376,1.05,6.9,"https://doi.org/10.1002/lno.12011"
"128","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.24,0.26,"EA",0.634666666666667,1.18333333333333,5.09,"https://doi.org/10.1002/lno.12011"
"129","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.26,0.28,"EA",0.993,1.2,5.82,"https://doi.org/10.1002/lno.12011"
"130","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.28,0.3,"EA",1.87,0.97,8.57,"https://doi.org/10.1002/lno.12011"
"131","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.3,0.32,"EA",0.662,1.18,4.83,"https://doi.org/10.1002/lno.12011"
"132","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.32,0.34,"EA",0.56,1.15,4.06,"https://doi.org/10.1002/lno.12011"
"133","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.34,0.36,"EA",0.634666666666667,1.17333333333333,5.2,"https://doi.org/10.1002/lno.12011"
"134","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.36,0.38,"EA",0.906,1.3,5.9,"https://doi.org/10.1002/lno.12011"
"135","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.38,0.4,"EA",0.507,1.22,3.58,"https://doi.org/10.1002/lno.12011"
"136","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.4,0.42,"EA",1.578,1.1,5.58,"https://doi.org/10.1002/lno.12011"
"137","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.42,0.46,"EA",1.178,1.19,7.47,"https://doi.org/10.1002/lno.12011"
"138","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.46,0.5,"EA",0.825,1.24,3.23,"https://doi.org/10.1002/lno.12011"
"139","Graversen et al 2022","EG Randers Grazed","Randers","Randers Grazed","Grazed","Saltmarsh",56.607,10.30801,"direct from dataset","1","Denmark",2018,0.5,0.53,"EA",0.542,1.33,2.45,"https://doi.org/10.1002/lno.12011"
"140","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0,0.01,"EA",3.781,0.85,11.8,"https://doi.org/10.1002/lno.12011"
"141","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.01,0.02,"EA",2.46733333333333,0.893333333333333,12.5,"https://doi.org/10.1002/lno.12011"
"142","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.02,0.03,"EA",1.891,0.9,10.71,"https://doi.org/10.1002/lno.12011"
"143","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.03,0.04,"EA",1.804,0.82,9.36,"https://doi.org/10.1002/lno.12011"
"144","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.04,0.05,"EA",0.631,0.94,9.41,"https://doi.org/10.1002/lno.12011"
"145","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.05,0.06,"EA",2.997,0.69,16.52,"https://doi.org/10.1002/lno.12011"
"146","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.06,0.07,"EA",3.709,0.72,15.43,"https://doi.org/10.1002/lno.12011"
"147","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.07,0.08,"EA",3.061,0.82,15.3266666666667,"https://doi.org/10.1002/lno.12011"
"148","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.08,0.09,"EA",2.934,0.69,13.78,"https://doi.org/10.1002/lno.12011"
"149","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.09,0.1,"EA",1.619,0.94,11.64,"https://doi.org/10.1002/lno.12011"
"150","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.1,0.12,"EA",1.523,1.11,5.86,"https://doi.org/10.1002/lno.12011"
"151","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.12,0.14,"EA",1.952,1.05,6.99,"https://doi.org/10.1002/lno.12011"
"152","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.14,0.16,"EA",0.742,1.20666666666667,3.64666666666667,"https://doi.org/10.1002/lno.12011"
"153","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.16,0.18,"EA",1.019,1.14,4.25,"https://doi.org/10.1002/lno.12011"
"154","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.18,0.2,"EA",0.313,1.27,2.76,"https://doi.org/10.1002/lno.12011"
"155","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.2,0.22,"EA",2.033,1.11,6.67,"https://doi.org/10.1002/lno.12011"
"156","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.22,0.24,"EA",0.764,1.2,5.17,"https://doi.org/10.1002/lno.12011"
"157","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.24,0.26,"EA",0.669333333333333,1.21666666666667,3.80666666666667,"https://doi.org/10.1002/lno.12011"
"158","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.26,0.28,"EA",0.29,1.25,1.98,"https://doi.org/10.1002/lno.12011"
"159","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.28,0.3,"EA",0.708,1.06,5.71,"https://doi.org/10.1002/lno.12011"
"160","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.3,0.32,"EA",0.631,1.19,3.16,"https://doi.org/10.1002/lno.12011"
"161","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.32,0.34,"EA",0.517,1.28,2.18,"https://doi.org/10.1002/lno.12011"
"162","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.34,0.36,"EA",0.288666666666667,1.22,2.57666666666667,"https://doi.org/10.1002/lno.12011"
"163","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.36,0.38,"EA",0.672,1.18,3.6,"https://doi.org/10.1002/lno.12011"
"164","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.38,0.4,"EA",0.39,1.2,3.55,"https://doi.org/10.1002/lno.12011"
"165","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.4,0.42,"EA",0.22,1.26,4.14,"https://doi.org/10.1002/lno.12011"
"166","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.42,0.46,"EA",0.627,1.06,3.08,"https://doi.org/10.1002/lno.12011"
"167","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.46,0.5,"EA",1.758,1.07,6.14,"https://doi.org/10.1002/lno.12011"
"168","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.5,0.54,"EA",1.094,1.07,8.59,"https://doi.org/10.1002/lno.12011"
"169","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.54,0.58,"EA",0.502,1.26,3.32,"https://doi.org/10.1002/lno.12011"
"170","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.58,0.62,"EA",0.148,1.27,1.55,"https://doi.org/10.1002/lno.12011"
"171","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.62,0.66,"EA",0.104,1.25,0.98,"https://doi.org/10.1002/lno.12011"
"172","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.66,0.7,"EA",0.1,1.16,0.83,"https://doi.org/10.1002/lno.12011"
"173","Graversen et al 2022","EG Randers Ungrazed","Randers","Randers Ungrazed","Ungrazed","Saltmarsh",56.60702,10.30823,"direct from dataset","1","Denmark",2018,0.7,0.71,"EA",0.118,1.17,0.99,"https://doi.org/10.1002/lno.12011"
