"","Source","Site_name","Original_source","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","SOM_perc","SOM_perc_mean","SOM_perc_sd","OC_perc","OC_perc_mean","OC_perc_sd","BD_reported_g_cm3","DOI"
"94","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.2,0.25,"EA","0.47*x+0.0008",NA,NA,NA,0.61,NA,NA,1.19,"https://doi.org/10.1038/s43247-023-00828-z"
"95","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.25,0.3,"EA","0.47*x+0.0008",NA,NA,NA,0.55,NA,NA,1.25,"https://doi.org/10.1038/s43247-023-00828-z"
"96","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.3,0.35,"EA","0.47*x+0.0008",NA,NA,NA,0.21,NA,NA,1.2,"https://doi.org/10.1038/s43247-023-00828-z"
"97","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.35,0.4,"EA","0.47*x+0.0008",NA,NA,NA,0.13,NA,NA,1.48,"https://doi.org/10.1038/s43247-023-00828-z"
"98","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.4,0.45,"EA","0.47*x+0.0008",NA,NA,NA,0.16,NA,NA,1.25,"https://doi.org/10.1038/s43247-023-00828-z"
"99","Copertino et al under review","MC 57","UNPUBLISHED","Patos Lagoon",57,"Salt marsh",-32.023,-52.2376,"direct from dataset","1","Brazil",2005,0.45,0.5,"EA","0.47*x+0.0008",NA,NA,NA,0.12,NA,NA,1.14,"https://doi.org/10.1038/s43247-023-00828-z"
"100","Copertino et al under review","MC 58","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",58,"Salt marsh",-32.0211,-52.1056,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"101","Copertino et al under review","MC 59","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",59,"Salt marsh",-32.0211,-52.1056,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",1,NA,NA,0.47,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"102","Copertino et al under review","MC 60","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",60,"Salt marsh",-32.0211,-52.1056,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"103","Copertino et al under review","MC 61","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",61,"Salt marsh",-32.0211,-52.1056,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",0.5,NA,NA,0.24,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"104","Copertino et al under review","MC 62","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",62,"Salt marsh",-32.0211,-52.1056,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",2.5,NA,NA,1.18,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"105","Copertino et al under review","MC 63","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",63,"Salt marsh",-32.0211,-52.1056,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",4,NA,NA,1.88,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"106","Copertino et al under review","MC 64","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",64,"Salt marsh",-32.0512,-52.0849,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",2.5,NA,NA,1.18,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"107","Copertino et al under review","MC 65","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",65,"Salt marsh",-32.0512,-52.0849,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"108","Copertino et al under review","MC 66","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",66,"Salt marsh",-32.0512,-52.0849,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",6,NA,NA,2.82,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"109","Copertino et al under review","MC 67","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",67,"Salt marsh",-32.0512,-52.0849,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",6.2,NA,NA,2.91,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"110","Copertino et al under review","MC 68","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",68,"Salt marsh",-32.0512,-52.0849,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"111","Copertino et al under review","MC 69","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",69,"Salt marsh",-32.0512,-52.0849,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",6,NA,NA,2.82,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"112","Copertino et al under review","MC 70","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",70,"Salt marsh",-32.0464,-52.1024,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",2,NA,NA,0.94,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"113","Copertino et al under review","MC 71","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",71,"Salt marsh",-32.0464,-52.1024,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"114","Copertino et al under review","MC 72","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",72,"Salt marsh",-32.0464,-52.1024,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",6,NA,NA,2.82,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"115","Copertino et al under review","MC 73","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",73,"Salt marsh",-32.0464,-52.1024,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",6.2,NA,NA,2.91,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"116","Copertino et al under review","MC 74","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",74,"Salt marsh",-32.0464,-52.1024,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",27,NA,NA,12.69,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"117","Copertino et al under review","MC 75","Azevedo 2015-UNPUBLISHED","Patos Lagoon ",75,"Salt marsh",-32.0464,-52.1024,"direct from dataset","1","Brazil",2012,0,0.1,"LOI","0.47*x+0.0008",12,NA,NA,5.64,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"118","Copertino et al under review","MC 76","Costa et al 2019","Patos Lagoon ",76,"Salt marsh",-32.1103,-52.0759,"direct from dataset","1","Brazil",2016,0,0.61,"EA","0.47*x+0.0008",NA,NA,NA,NA,0.7,0.3,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"119","Copertino et al under review","MC 77","Costa et al 2019","Patos Lagoon ",77,"Salt marsh",-32.0208,-52.1007,"direct from dataset","1","Brazil",2016,0,0.61,"EA","0.47*x+0.0008",NA,NA,NA,NA,1,1.2,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"120","Copertino et al under review","MC 78","Costa et al 2019","Patos Lagoon ",78,"Salt marsh",-31.954,-52.0073,"direct from dataset","1","Brazil",2016,0,0.61,"EA","0.47*x+0.0008",NA,NA,NA,NA,2.6,3.4,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"121","Copertino et al under review","MC 104","Bouza et al 2017","Peninsula Vadez",104,"Salt marsh",-42.4144,-64.6086,"direct from dataset","1","Argentina",NA,0,0.2," Tyurin (1951)","0.47*x+0.0008",NA,NA,NA,12.9,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"122","Copertino et al under review","MC 104","Bouza et al 2017","Peninsula Vadez",104,"Salt marsh",-42.4144,-64.6086,"direct from dataset","1","Argentina",NA,0.2,0.44," Tyurin (1951)","0.47*x+0.0008",NA,NA,NA,14.4,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"123","Copertino et al under review","MC 104","Bouza et al 2017","Peninsula Vadez",104,"Salt marsh",-42.4144,-64.6086,"direct from dataset","1","Argentina",NA,0.44,0.64," Tyurin (1951)","0.47*x+0.0008",NA,NA,NA,14.7,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"124","Copertino et al under review","MC 104","Bouza et al 2017","Peninsula Vadez",104,"Salt marsh",-42.4144,-64.6086,"direct from dataset","1","Argentina",NA,0.64,1," Tyurin (1951)","0.47*x+0.0008",NA,NA,NA,8.8,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"125","Copertino et al under review","MC 105","Rios et al 2018","Peninsula Vadez",105,"Salt marsh",-42.4272,-64.1251,"direct from dataset","1","Argentina",NA,0,0.08,"LOI","0.47*x+0.0008",NA,NA,NA,5.9,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"126","Copertino et al under review","MC 105","Rios et al 2018","Peninsula Vadez",105,"Salt marsh",-42.4272,-64.1251,"direct from dataset","1","Argentina",NA,0.08,0.17,"LOI","0.47*x+0.0008",NA,NA,NA,3.4,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"127","Copertino et al under review","MC 105","Rios et al 2018","Peninsula Vadez",105,"Salt marsh",-42.4272,-64.1251,"direct from dataset","1","Argentina",NA,0.17,1,"LOI","0.47*x+0.0008",NA,NA,NA,1,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"128","Copertino et al under review","MC 106","Rios et al 2018","Peninsula Vadez",106,"Salt marsh",-42.4287,-64.1248,"direct from dataset","1","Argentina",NA,0,0.07,"LOI","0.47*x+0.0008",NA,NA,NA,3.3,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"129","Copertino et al under review","MC 106","Rios et al 2018","Peninsula Vadez",106,"Salt marsh",-42.4287,-64.1248,"direct from dataset","1","Argentina",NA,0.07,0.4,"LOI","0.47*x+0.0008",NA,NA,NA,3,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"130","Copertino et al under review","MC 106","Rios et al 2018","Peninsula Vadez",106,"Salt marsh",-42.4287,-64.1248,"direct from dataset","1","Argentina",NA,0.4,0.73,"LOI","0.47*x+0.0008",NA,NA,NA,2.8,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"131","Copertino et al under review","MC 106","Rios et al 2018","Peninsula Vadez",106,"Salt marsh",-42.4287,-64.1248,"direct from dataset","1","Argentina",NA,0.73,1,"LOI","0.47*x+0.0008",NA,NA,NA,2,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"132","Copertino et al under review","MC 107","Rios et al 2018","Peninsula Vadez",107,"Salt marsh",-42.4266,-64.1206,"direct from dataset","1","Argentina",NA,0,0.18,"LOI","0.47*x+0.0008",NA,NA,NA,3.3,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"133","Copertino et al under review","MC 107","Rios et al 2018","Peninsula Vadez",107,"Salt marsh",-42.4266,-64.1206,"direct from dataset","1","Argentina",NA,0.18,0.32,"LOI","0.47*x+0.0008",NA,NA,NA,2.5,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"134","Copertino et al under review","MC 107","Rios et al 2018","Peninsula Vadez",107,"Salt marsh",-42.4266,-64.1206,"direct from dataset","1","Argentina",NA,0.32,0.58,"LOI","0.47*x+0.0008",NA,NA,NA,3.2,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"135","Copertino et al under review","MC 107","Rios et al 2018","Peninsula Vadez",107,"Salt marsh",-42.4266,-64.1206,"direct from dataset","1","Argentina",NA,0.58,1,"LOI","0.47*x+0.0008",NA,NA,NA,1.1,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"136","Copertino et al under review","MC 108","Rios et al 2018","Peninsula Vadez",108,"Salt marsh",-42.4277,-64.1246,"direct from dataset","1","Argentina",NA,0,0.32,"LOI","0.47*x+0.0008",NA,NA,NA,0.3,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"137","Copertino et al under review","MC 108","Rios et al 2018","Peninsula Vadez",108,"Salt marsh",-42.4277,-64.1246,"direct from dataset","1","Argentina",NA,0.32,1,"LOI","0.47*x+0.0008",NA,NA,NA,0.2,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"138","Copertino et al under review","MC 109","Rios et al 2018","Peninsula Vadez",109,"Salt marsh",-42.426,-64.1216,"direct from dataset","1","Argentina",NA,0,0.1,"LOI","0.47*x+0.0008",NA,NA,NA,4.2,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"139","Copertino et al under review","MC 109","Rios et al 2018","Peninsula Vadez",109,"Salt marsh",-42.426,-64.1216,"direct from dataset","1","Argentina",NA,0.1,0.35,"LOI","0.47*x+0.0008",NA,NA,NA,2.2,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"140","Copertino et al under review","MC 109","Rios et al 2018","Peninsula Vadez",109,"Salt marsh",-42.426,-64.1216,"direct from dataset","1","Argentina",NA,0.35,0.75,"LOI","0.47*x+0.0008",NA,NA,NA,0.3,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"141","Copertino et al under review","MC 109","Rios et al 2018","Peninsula Vadez",109,"Salt marsh",-42.426,-64.1216,"direct from dataset","1","Argentina",NA,0.75,1,"LOI","0.47*x+0.0008",NA,NA,NA,0.2,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"142","Copertino et al under review","MC 110","Rios et al 2018","Peninsula Vadez",110,"Salt marsh",-42.4271,-64.1196,"direct from dataset","1","Argentina",NA,0,0.12,"LOI","0.47*x+0.0008",NA,NA,NA,2.6,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"143","Copertino et al under review","MC 110","Rios et al 2018","Peninsula Vadez",110,"Salt marsh",-42.4271,-64.1196,"direct from dataset","1","Argentina",NA,0.12,0.27,"LOI","0.47*x+0.0008",NA,NA,NA,1.5,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"144","Copertino et al under review","MC 110","Rios et al 2018","Peninsula Vadez",110,"Salt marsh",-42.4271,-64.1196,"direct from dataset","1","Argentina",NA,0.27,0.75,"LOI","0.47*x+0.0008",NA,NA,NA,0.4,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"145","Copertino et al under review","MC 110","Rios et al 2018","Peninsula Vadez",110,"Salt marsh",-42.4271,-64.1196,"direct from dataset","1","Argentina",NA,0.75,1,"LOI","0.47*x+0.0008",NA,NA,NA,0.4,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"146","Copertino et al under review","MC 6","Braga et al 2011","Pirabas",6,"Salt marsh",-0.7673,-47.1809,"direct from dataset","1","Brazil",2007,0,0.1,"LOI","0.47*x+0.0008",NA,0.7,0.13,NA,0.33,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"147","Copertino et al under review","MC 111","Idaszkin et al 2014","Rawson/Chubut River",111,"Salt marsh",-43.3338,-65.0669,"direct from dataset","1","Argentina",NA,0,0.15,"LOI","0.47*x+0.0008",NA,3.14,0.34,NA,1.48,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"148","Copertino et al under review","MC 114","Idaszkin et al 2014","Rawson/Chubut River",114,"Salt marsh",-43.3324,-65.0671,"direct from dataset","1","Argentina",NA,0,0.15,"LOI","0.47*x+0.0008",NA,3.92,0.75,NA,1.84,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"149","Copertino et al under review","MC 9","Rabelo 2012","Rio Caeté - Praia de Ajuruteua",9,"Salt marsh",-0.8314,-46.6028,"direct from dataset","1","Brazil",2009,0,0.2,"LOI","0.47*x+0.0008",NA,2.19,0.08,NA,1.03,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"150","Copertino et al under review","MC 10","Rabelo 2012","Rio Caeté  - Furo Grande",10,"Salt marsh",-0.8547,-46.6086,"direct from dataset","1","Brazil",2009,0,0.2,"LOI","0.47*x+0.0008",NA,2.86,0.07,NA,1.35,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"151","Copertino et al under review","MC 5","Braga et al 2011","Salinas",5,"Salt marsh",-0.6031,-47.3366,"direct from dataset","1","Brazil",2007,0,0.1,"LOI","0.47*x+0.0008",NA,0.65,0.12,NA,0.31,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"152","Copertino et al under review","MC 14","Lacerda et al 1997","Sepetiba bay",14,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0,0.005,"LOI","0.47*x+0.0008",17,NA,NA,7.9908,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"153","Copertino et al under review","MC 14","Lacerda et al 1997","Sepetiba bay",14,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.005,0.01,"LOI","0.47*x+0.0008",14,NA,NA,6.5808,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"154","Copertino et al under review","MC 14","Lacerda et al 1997","Sepetiba bay",14,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.01,0.02,"LOI","0.47*x+0.0008",16,NA,NA,7.5208,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"155","Copertino et al under review","MC 14","Lacerda et al 1997","Sepetiba bay",14,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.02,0.04,"LOI","0.47*x+0.0008",15,NA,NA,7.0508,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"156","Copertino et al under review","MC 14","Lacerda et al 1997","Sepetiba bay",14,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.04,0.06,"LOI","0.47*x+0.0008",15,NA,NA,7.0508,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"157","Copertino et al under review","MC 14","Lacerda et al 1997","Sepetiba bay",14,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.06,0.08,"LOI","0.47*x+0.0008",15,NA,NA,7.0508,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"158","Copertino et al under review","MC 14","Lacerda et al 1997","Sepetiba bay",14,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.08,0.1,"LOI","0.47*x+0.0008",15.5,NA,NA,7.2858,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"159","Copertino et al under review","MC 14","Lacerda et al 1997","Sepetiba bay",14,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.1,0.12,"LOI","0.47*x+0.0008",20,NA,NA,9.4008,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"160","Copertino et al under review","MC 14","Lacerda et al 1997","Sepetiba bay",14,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.12,0.2,"LOI","0.47*x+0.0008",17,NA,NA,7.9908,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"161","Copertino et al under review","MC 14","Lacerda et al 1997","Sepetiba bay",14,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.2,0.25,"LOI","0.47*x+0.0008",15,NA,NA,7.0508,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"162","Copertino et al under review","MC 14","Lacerda et al 1997","Sepetiba bay",14,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.25,0.3,"LOI","0.47*x+0.0008",13,NA,NA,6.1108,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"163","Copertino et al under review","MC 14","Lacerda et al 1997","Sepetiba bay",14,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.3,0.35,"LOI","0.47*x+0.0008",12,NA,NA,5.6408,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"164","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0,0.005,"LOI","0.47*x+0.0008",13,NA,NA,6.1108,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"165","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.005,0.01,"LOI","0.47*x+0.0008",16,NA,NA,7.5208,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"166","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.01,0.02,"LOI","0.47*x+0.0008",13,NA,NA,6.1108,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"167","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.02,0.04,"LOI","0.47*x+0.0008",15,NA,NA,7.0508,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"168","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.04,0.06,"LOI","0.47*x+0.0008",15,NA,NA,7.0508,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"169","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.06,0.08,"LOI","0.47*x+0.0008",16,NA,NA,7.5208,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"170","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.08,0.1,"LOI","0.47*x+0.0008",15,NA,NA,7.0508,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"171","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.1,0.12,"LOI","0.47*x+0.0008",15,NA,NA,7.0508,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"172","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.12,0.2,"LOI","0.47*x+0.0008",16,NA,NA,7.5208,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"173","Copertino et al under review","MC 15","Lacerda et al 1997","Sepetiba bay",15,"Salt marsh",-22.9722,-43.7116,"direct from dataset","1","Brazil",NA,0.2,0.25,"LOI","0.47*x+0.0008",15,NA,NA,7.0508,NA,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"174","Copertino et al under review","MC 90","Idaskin et al 2015","St. Antonio",90,"Salt marsh",-43.332,-65.0667,"direct from dataset","1","Argentina",NA,0,0.15,NA,"0.47*x+0.0008",NA,6.46,0.26,NA,3.04,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"175","Copertino et al under review","MC 91","Idaskin et al 2015","St. Antonio",91,"Salt marsh",-43.332,-65.0667,"direct from dataset","1","Argentina",NA,0,0.15,NA,"0.47*x+0.0008",NA,5.69,0.64,NA,2.68,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"176","Copertino et al under review","MC 92","Idaskin et al 2015","St. Antonio",92,"Salt marsh",-43.332,-65.0667,"direct from dataset","1","Argentina",NA,0,0.15,NA,"0.47*x+0.0008",NA,2.93,0.13,NA,1.38,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"177","Copertino et al under review","MC 93","Idaskin et al 2015","St. Antonio",93,"Salt marsh",-43.332,-65.0667,"direct from dataset","1","Argentina",NA,0,0.15,NA,"0.47*x+0.0008",NA,2.55,0.29,NA,1.2,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"178","Copertino et al under review","MC 94","Marinho et al 2018","St. Antonio",94,"Salt marsh",-40.725,-64.9816,"direct from dataset","1","Argentina",2013,0,0.15,"LOI","0.47*x+0.0008",NA,4.5,0.3,NA,2.12,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"179","Copertino et al under review","MC 95","Marinho et al 2018","St. Antonio",95,"Salt marsh",-40.725,-64.9816,"direct from dataset","1","Argentina",2013,0,0.15,"LOI","0.47*x+0.0008",NA,4,0.4,NA,1.88,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"180","Copertino et al under review","MC 96","Marinho et al 2018","St. Antonio",96,"Salt marsh",-40.728,-64.9535,"direct from dataset","1","Argentina",2013,0,0.15,"LOI","0.47*x+0.0008",NA,4.7,0.3,NA,2.21,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"181","Copertino et al under review","MC 97","Marinho et al 2018","St. Antonio",97,"Salt marsh",-40.728,-64.9535,"direct from dataset","1","Argentina",2013,0,0.15,"LOI","0.47*x+0.0008",NA,4.7,0.6,NA,2.21,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"182","Copertino et al under review","MC 98","Marinho et al 2018","St. Antonio",98,"Salt marsh",-40.733,-64.9164,"direct from dataset","1","Argentina",2013,0,0.15,"LOI","0.47*x+0.0008",NA,3.6,0.4,NA,1.69,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"183","Copertino et al under review","MC 99","Marinho et al 2018","St. Antonio",99,"Salt marsh",-40.733,-64.9164,"direct from dataset","1","Argentina",2013,0,0.15,"LOI","0.47*x+0.0008",NA,3.6,0.4,NA,1.69,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"184","Copertino et al under review","MC 100","Marinho et al 2018","St. Antonio",100,"Salt marsh",-40.733,-64.9164,"direct from dataset","1","Argentina",2013,0,0.15,"LOI","0.47*x+0.0008",NA,4.3,0.3,NA,2.02,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"185","Copertino et al under review","MC 101","Marinho et al 2018","St. Antonio",101,"Salt marsh",-40.733,-64.9164,"direct from dataset","1","Argentina",2013,0,0.15,"LOI","0.47*x+0.0008",NA,3.5,0.9,NA,1.65,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
"186","Copertino et al under review","MC 102","Marinho et al 2018","St. Antonio",102,"Salt marsh",-40.792,-64.8519,"direct from dataset","1","Argentina",2013,0,0.15,"LOI","0.47*x+0.0008",NA,3.6,0.6,NA,1.69,NA,NA,"https://doi.org/10.1038/s43247-023-00828-z"
