"ID","TRANSID","COMPID","N","L"
1151,231,8,9,2.00
1152,231,9,5,3.00
1153,231,10,3,5.00
1154,231,12,0,12.00
1155,231,13,0,12.00
1156,232,8,8,2.00
1157,232,9,4,3.00
1158,232,10,1,5.00
1159,232,12,0,12.00
1160,232,13,0,12.00
1161,233,8,18,2.00
1162,233,9,7,3.00
1163,233,10,2,5.00
1164,233,12,0,12.00
1165,233,13,0,12.00
1166,234,8,14,2.00
1167,234,9,9,3.00
1168,234,10,3,5.00
1169,234,12,0,12.00
1170,234,13,0,12.00
1171,235,8,17,2.00
1172,235,9,9,3.00
1173,235,10,4,5.00
1174,235,12,0,12.00
1175,235,13,0,12.00
1176,236,8,10,2.00
1177,236,9,7,3.00
1178,236,10,2,5.00
1179,236,12,0,12.00
1180,236,13,0,12.00
1181,237,8,16,2.00
1182,237,9,5,3.00
1183,237,10,0,5.00
1184,237,12,0,12.00
1185,237,13,0,12.00
1186,238,8,9,2.00
1187,238,9,7,3.00
1188,238,10,1,5.00
1189,238,12,0,12.00
1190,238,13,0,12.00
1191,239,8,22,2.00
1192,239,9,10,3.00
1193,239,10,0,5.00
1194,239,12,0,12.00
1195,239,13,0,12.00
1196,240,8,5,2.00
1197,240,9,5,3.00
1198,240,10,6,5.00
1199,240,12,0,12.00
1200,240,13,0,12.00
1201,241,8,27,2.00
1202,241,9,13,3.00
1203,241,10,12,5.00
1204,241,12,3,12.00
1205,241,13,0,12.00
1206,242,8,16,2.00
1207,242,9,5,3.00
1208,242,10,0,5.00
1209,242,12,1,12.00
1210,242,13,0,12.00
1211,243,8,29,2.00
1212,243,9,21,3.00
1213,243,10,4,5.00
1214,243,12,2,12.00
1215,243,13,1,12.00
1216,244,8,7,2.00
1217,244,9,12,3.00
1218,244,10,8,5.00
1219,244,12,1,12.00
1220,244,13,0,12.00
1221,245,8,3,2.00
1222,245,9,5,3.00
1223,245,10,1,5.00
1224,245,12,0,12.00
1225,245,13,0,12.00
1226,246,8,15,2.00
1227,246,9,7,3.00
1228,246,10,1,5.00
1229,246,12,0,12.00
1230,246,13,0,12.00
1231,247,8,15,2.00
1232,247,9,7,3.00
1233,247,10,4,5.00
1234,247,12,0,12.00
1235,247,13,0,12.00
1236,248,8,37,2.00
1237,248,9,31,3.00
1238,248,10,5,5.00
1239,248,12,0,12.00
1240,248,13,0,12.00
1241,249,8,55,2.00
1242,249,9,9,3.00
1243,249,10,0,5.00
1244,249,12,0,12.00
1245,249,13,0,12.00
1246,250,8,24,2.00
1247,250,9,15,3.00
1248,250,10,12,5.00
1249,250,12,3,12.00
1250,250,13,0,12.00
1251,251,8,37,2.00
1252,251,9,22,3.00
1253,251,10,11,5.00
1254,251,12,0,12.00
1255,251,13,0,12.00
1256,252,8,36,2.00
1257,252,9,11,3.00
1258,252,10,7,5.00
1259,252,12,2,12.00
1260,252,13,0,12.00
1261,253,8,46,2.00
1262,253,9,33,3.00
1263,253,10,19,5.00
1264,253,12,1,12.00
1265,253,13,0,12.00
1266,254,8,59,2.00
1267,254,9,18,3.00
1268,254,10,18,5.00
1269,254,12,4,12.00
1270,254,13,0,12.00
1271,255,8,19,2.00
1272,255,9,10,3.00
1273,255,10,10,5.00
1274,255,12,0,12.00
1275,255,13,2,12.00
1276,256,8,7,2.00
1277,256,9,12,3.00
1278,256,10,14,5.00
1279,256,12,1,12.00
1280,256,13,0,12.00
1281,257,8,1,2.00
1282,257,9,9,3.00
1283,257,10,6,5.00
1284,257,12,2,12.00
1285,257,13,0,12.00
1286,258,8,42,2.00
1287,258,9,13,3.00
1288,258,10,6,5.00
1289,258,12,2,12.00
1290,258,13,0,12.00
1291,259,8,19,2.00
1292,259,9,4,3.00
1293,259,10,5,5.00
1294,259,12,0,12.00
1295,259,13,0,12.00
1296,260,8,42,2.00
1297,260,9,30,3.00
1298,260,10,4,5.00
1299,260,12,1,12.00
1300,260,13,0,12.00
1301,261,8,57,2.00
1302,261,9,78,3.00
1303,261,10,7,5.00
1304,261,12,1,12.00
1305,261,13,0,12.00
1306,262,8,78,2.00
1307,262,9,113,3.00
1308,262,10,11,5.00
1309,262,12,1,12.00
1310,262,13,0,12.00
1311,263,8,12,2.00
1312,263,9,13,3.00
1313,263,10,6,5.00
1314,263,12,2,12.00
1315,263,13,0,12.00
1316,264,8,21,2.00
1317,264,9,14,3.00
1318,264,10,8,5.00
1319,264,12,2,12.00
1320,264,13,0,12.00
1321,265,8,81,2.00
1322,265,9,38,3.00
1323,265,10,17,5.00
1324,265,12,3,12.00
1325,265,13,0,12.00
1326,266,8,26,2.00
1327,266,9,7,3.00
1328,266,10,5,5.00
1329,266,12,0,12.00
1330,266,13,0,12.00
1331,267,8,0,2.00
1332,267,9,3,3.00
1333,267,10,6,5.00
1334,267,12,0,12.00
1335,267,13,0,12.00
1336,268,8,8,2.00
1337,268,9,17,3.00
1338,268,10,3,5.00
1339,268,12,3,12.00
1340,268,13,0,12.00
1341,269,8,17,2.00
1342,269,9,3,3.00
1343,269,10,1,5.00
1344,269,12,0,12.00
1345,269,13,0,12.00
1346,270,8,8,2.00
1347,270,9,6,3.00
1348,270,10,1,5.00
1349,270,12,0,12.00
1350,270,13,0,12.00
1351,271,8,75,2.00
1352,271,9,24,3.00
1353,271,10,17,5.00
1354,271,12,0,12.00
1355,271,13,0,12.00
1356,272,8,5,2.00
1357,272,9,12,3.00
1358,272,10,7,5.00
1359,272,12,0,12.00
1360,272,13,0,12.00
1361,273,8,21,2.00
1362,273,9,7,3.00
1363,273,10,3,5.00
1364,273,12,1,12.00
1365,273,13,0,12.00
1366,274,8,35,2.00
1367,274,9,17,3.00
1368,274,10,3,5.00
1369,274,12,0,12.00
1370,274,13,0,12.00
1371,275,8,56,2.00
1372,275,9,21,3.00
1373,275,10,12,5.00
1374,275,12,1,12.00
1375,275,13,0,12.00
1376,276,8,6,2.00
1377,276,9,5,3.00
1378,276,10,1,5.00
1379,276,12,1,12.00
1380,276,13,0,12.00
1381,277,8,12,2.00
1382,277,9,9,3.00
1383,277,10,3,5.00
1384,277,12,0,12.00
1385,277,13,0,12.00
1386,278,8,18,2.00
1387,278,9,56,3.00
1388,278,10,6,5.00
1389,278,12,3,12.00
1390,278,13,1,12.00
1391,279,8,27,2.00
1392,279,9,18,3.00
1393,279,10,3,5.00
1394,279,12,2,12.00
1395,279,13,0,12.00
1396,280,8,31,2.00
1397,280,9,9,3.00
1398,280,10,3,5.00
1399,280,12,0,12.00
1400,280,13,0,12.00
1401,281,8,6,2.00
1402,281,9,11,3.00
1403,281,10,3,5.00
1404,281,12,0,12.00
1405,281,13,0,12.00
1406,282,8,13,2.00
1407,282,9,11,3.00
1408,282,10,8,5.00
1409,282,12,0,12.00
1410,282,13,0,12.00
1411,283,8,26,2.00
1412,283,9,14,3.00
1413,283,10,3,5.00
1414,283,12,1,12.00
1415,283,13,0,12.00
1416,284,8,5,2.00
1417,284,9,7,3.00
1418,284,10,3,5.00
1419,284,12,3,12.00
1420,284,13,0,12.00
1421,285,8,16,2.00
1422,285,9,37,3.00
1423,285,10,15,5.00
1424,285,12,4,12.00
1425,285,13,0,12.00
1426,286,8,41,2.00
1427,286,9,18,3.00
1428,286,10,2,5.00
1429,286,12,2,12.00
1430,286,13,0,12.00
1431,287,8,53,2.00
1432,287,9,9,3.00
1433,287,10,11,5.00
1434,287,12,4,12.00
1435,287,13,0,12.00
1436,288,8,26,2.00
1437,288,9,22,3.00
1438,288,10,3,5.00
1439,288,12,1,12.00
1440,288,13,0,12.00
1441,289,8,36,2.00
1442,289,9,6,3.00
1443,289,10,5,5.00
1444,289,12,0,12.00
1445,289,13,0,12.00
1446,290,8,7,2.00
1447,290,9,6,3.00
1448,290,10,0,5.00
1449,290,12,0,12.00
1450,290,13,0,12.00
1451,291,8,0,2.00
1452,291,9,0,3.00
1453,291,10,0,5.00
1454,291,12,0,12.00
1455,291,13,0,12.00
1456,292,8,10,2.00
1457,292,9,7,3.00
1458,292,10,11,5.00
1459,292,12,0,12.00
1460,292,13,0,12.00
1461,293,8,13,2.00
1462,293,9,11,3.00
1463,293,10,1,5.00
1464,293,12,0,12.00
1465,293,13,0,12.00
1466,294,8,0,2.00
1467,294,9,0,3.00
1468,294,10,0,5.00
1469,294,12,0,12.00
1470,294,13,0,12.00
1471,295,8,122,2.00
1472,295,9,47,3.00
1473,295,10,7,5.00
1474,295,12,0,12.00
1475,295,13,0,12.00
1476,296,8,17,2.00
1477,296,9,12,3.00
1478,296,10,3,5.00
1479,296,12,0,12.00
1480,296,13,0,12.00
1481,297,8,15,2.00
1482,297,9,3,3.00
1483,297,10,0,5.00
1484,297,12,0,12.00
1485,297,13,0,12.00
1486,298,8,13,2.00
1487,298,9,2,3.00
1488,298,10,1,5.00
1489,298,12,0,12.00
1490,298,13,0,12.00
1491,299,8,29,2.00
1492,299,9,36,3.00
1493,299,10,7,5.00
1494,299,12,1,12.00
1495,299,13,0,12.00
1496,300,8,11,2.00
1497,300,9,17,3.00
1498,300,10,0,5.00
1499,300,12,0,12.00
1500,300,13,0,12.00
1501,301,8,0,2.00
1502,301,9,0,3.00
1503,301,10,0,5.00
1504,301,12,0,12.00
1505,301,13,0,12.00
1506,302,8,22,2.00
1507,302,9,17,3.00
1508,302,10,4,5.00
1509,302,12,0,12.00
1510,302,13,0,12.00
1511,303,8,42,2.00
1512,303,9,55,3.00
1513,303,10,3,5.00
1514,303,12,0,12.00
1515,303,13,0,12.00
1516,304,8,17,2.00
1517,304,9,8,3.00
1518,304,10,5,5.00
1519,304,12,0,12.00
1520,304,13,0,12.00
1521,305,8,0,2.00
1522,305,9,7,3.00
1523,305,10,0,5.00
1524,305,12,0,12.00
1525,305,13,0,12.00
1526,306,8,0,2.00
1527,306,9,0,3.00
1528,306,10,0,5.00
1529,306,12,0,12.00
1530,306,13,0,12.00
1531,307,8,29,2.00
1532,307,9,41,3.00
1533,307,10,0,5.00
1534,307,12,0,12.00
1535,307,13,0,12.00
1536,308,8,13,2.00
1537,308,9,13,3.00
1538,308,10,2,5.00
1539,308,12,0,12.00
1540,308,13,0,12.00
1541,309,8,33,2.00
1542,309,9,18,3.00
1543,309,10,9,5.00
1544,309,12,0,12.00
1545,309,13,0,12.00
1546,310,8,16,2.00
1547,310,9,11,3.00
1548,310,10,4,5.00
1549,310,12,0,12.00
1550,310,13,0,12.00
1551,311,8,17,2.00
1552,311,9,8,3.00
1553,311,10,5,5.00
1554,311,12,0,12.00
1555,311,13,0,12.00
1556,312,8,9,2.00
1557,312,9,12,3.00
1558,312,10,5,5.00
1559,312,12,0,12.00
1560,312,13,0,12.00
1561,313,8,44,2.00
1562,313,9,13,3.00
1563,313,10,3,5.00
1564,313,12,0,12.00
1565,313,13,0,12.00
1566,314,8,12,2.00
1567,314,9,7,3.00
1568,314,10,3,5.00
1569,314,12,0,12.00
1570,314,13,0,12.00
1571,315,8,11,2.00
1572,315,9,9,3.00
1573,315,10,1,5.00
1574,315,12,0,12.00
1575,315,13,0,12.00
1576,316,8,15,2.00
1577,316,9,6,3.00
1578,316,10,12,5.00
1579,316,12,0,12.00
1580,316,13,3,12.00
1581,317,8,7,2.00
1582,317,9,5,3.00
1583,317,10,0,5.00
1584,317,12,1,12.00
1585,317,13,1,12.00
1586,318,8,6,2.00
1587,318,9,3,3.00
1588,318,10,1,5.00
1589,318,12,0,12.00
1590,318,13,0,12.00
1591,319,8,4,2.00
1592,319,9,5,3.00
1593,319,10,3,5.00
1594,319,12,0,12.00
1595,319,13,0,12.00
1596,320,8,7,2.00
1597,320,9,4,3.00
1598,320,10,2,5.00
1599,320,12,0,12.00
1600,320,13,0,12.00
1601,321,8,58,2.00
1602,321,9,29,3.00
1603,321,10,8,5.00
1604,321,12,0,12.00
1605,321,13,0,12.00
1606,322,8,46,2.00
1607,322,9,16,3.00
1608,322,10,1,5.00
1609,322,12,0,12.00
1610,322,13,0,12.00
1611,323,8,17,2.00
1612,323,9,9,3.00
1613,323,10,5,5.00
1614,323,12,0,12.00
1615,323,13,0,12.00
1616,324,8,19,2.00
1617,324,9,13,3.00
1618,324,10,2,5.00
1619,324,12,0,12.00
1620,324,13,0,12.00
1621,325,8,34,2.00
1622,325,9,5,3.00
1623,325,10,1,5.00
1624,325,12,0,12.00
1625,325,13,0,12.00
1626,326,8,8,2.00
1627,326,9,6,3.00
1628,326,10,0,5.00
1629,326,12,0,12.00
1630,326,13,0,12.00
1631,327,8,12,2.00
1632,327,9,4,3.00
1633,327,10,0,5.00
1634,327,12,0,12.00
1635,327,13,0,12.00
1636,328,8,3,2.00
1637,328,9,11,3.00
1638,328,10,0,5.00
1639,328,12,0,12.00
1640,328,13,0,12.00
1641,329,8,23,2.00
1642,329,9,11,3.00
1643,329,10,3,5.00
1644,329,12,0,12.00
1645,329,13,0,12.00
1646,330,8,12,2.00
1647,330,9,9,3.00
1648,330,10,2,5.00
1649,330,12,0,12.00
1650,330,13,0,12.00
1651,331,8,18,2.00
1652,331,9,14,3.00
1653,331,10,2,5.00
1654,331,12,0,12.00
1655,331,13,0,12.00
1656,332,8,21,2.00
1657,332,9,11,3.00
1658,332,10,6,5.00
1659,332,12,0,12.00
1660,332,13,0,12.00
1661,333,8,24,2.00
1662,333,9,12,3.00
1663,333,10,3,5.00
1664,333,12,0,12.00
1665,333,13,0,12.00
1666,334,8,17,2.00
1667,334,9,5,3.00
1668,334,10,4,5.00
1669,334,12,0,12.00
1670,334,13,0,12.00
1671,335,8,8,2.00
1672,335,9,10,3.00
1673,335,10,4,5.00
1674,335,12,0,12.00
1675,335,13,0,12.00
1676,336,8,22,2.00
1677,336,9,5,3.00
1678,336,10,9,5.00
1679,336,12,0,12.00
1680,336,13,0,12.00
1681,337,8,26,2.00
1682,337,9,11,3.00
1683,337,10,2,5.00
1684,337,12,0,12.00
1685,337,13,0,12.00
1686,338,8,18,2.00
1687,338,9,7,3.00
1688,338,10,6,5.00
1689,338,12,0,12.00
1690,338,13,1,12.00
1691,339,8,12,2.00
1692,339,9,15,3.00
1693,339,10,5,5.00
1694,339,12,0,12.00
1695,339,13,0,12.00
1696,340,8,14,2.00
1697,340,9,7,3.00
1698,340,10,2,5.00
1699,340,12,0,12.00
1700,340,13,0,12.00
1701,341,8,11,2.00
1702,341,9,17,3.00
1703,341,10,4,5.00
1704,341,12,0,12.00
1705,341,13,0,12.00
1706,342,8,12,2.00
1707,342,9,13,3.00
1708,342,10,5,5.00
1709,342,12,0,12.00
1710,342,13,0,12.00
1711,343,8,18,2.00
1712,343,9,10,3.00
1713,343,10,8,5.00
1714,343,12,0,12.00
1715,343,13,0,12.00
1716,344,8,11,2.00
1717,344,9,12,3.00
1718,344,10,2,5.00
1719,344,12,0,12.00
1720,344,13,0,12.00
1721,345,8,18,2.00
1722,345,9,20,3.00
1723,345,10,3,5.00
1724,345,12,0,12.00
1725,345,13,0,12.00
1726,346,8,11,2.00
1727,346,9,19,3.00
1728,346,10,1,5.00
1729,346,12,0,12.00
1730,346,13,0,12.00
1731,347,8,16,2.00
1732,347,9,11,3.00
1733,347,10,3,5.00
1734,347,12,0,12.00
1735,347,13,0,12.00
1736,348,8,13,2.00
1737,348,9,19,3.00
1738,348,10,4,5.00
1739,348,12,0,12.00
1740,348,13,1,12.00
1741,349,8,6,2.00
1742,349,9,3,3.00
1743,349,10,0,5.00
1744,349,12,0,12.00
1745,349,13,0,12.00
1746,350,8,19,2.00
1747,350,9,5,3.00
1748,350,10,2,5.00
1749,350,12,0,12.00
1750,350,13,0,12.00
1751,351,8,10,2.00
1752,351,9,5,3.00
1753,351,10,0,5.00
1754,351,12,0,12.00
1755,351,13,0,12.00
1756,352,8,14,2.00
1757,352,9,3,3.00
1758,352,10,0,5.00
1759,352,12,0,12.00
1760,352,13,0,12.00
1761,353,8,6,2.00
1762,353,9,4,3.00
1763,353,10,3,5.00
1764,353,12,0,12.00
1765,353,13,0,12.00
1766,354,8,5,2.00
1767,354,9,2,3.00
1768,354,10,0,5.00
1769,354,12,0,12.00
1770,354,13,1,12.00
1771,355,8,11,2.00
1772,355,9,8,3.00
1773,355,10,6,5.00
1774,355,12,0,12.00
1775,355,13,1,12.00
1776,356,8,7,2.00
1777,356,9,8,3.00
1778,356,10,1,5.00
1779,356,12,0,12.00
1780,356,13,0,12.00
1781,357,8,7,2.00
1782,357,9,5,3.00
1783,357,10,2,5.00
1784,357,12,0,12.00
1785,357,13,0,12.00
1786,358,8,5,2.00
1787,358,9,6,3.00
1788,358,10,0,5.00
1789,358,12,0,12.00
1790,358,13,0,12.00
1791,359,8,9,2.00
1792,359,9,13,3.00
1793,359,10,0,5.00
1794,359,12,0,12.00
1795,359,13,0,12.00
1796,360,8,6,2.00
1797,360,9,7,3.00
1798,360,10,0,5.00
1799,360,12,0,12.00
1800,360,13,0,12.00
1801,361,8,13,2.00
1802,361,9,7,3.00
1803,361,10,4,5.00
1804,361,12,0,12.00
1805,361,13,0,12.00
1806,362,8,21,2.00
1807,362,9,29,3.00
1808,362,10,14,5.00
1809,362,12,0,12.00
1810,362,13,0,12.00
1811,363,8,27,2.00
1812,363,9,18,3.00
1813,363,10,11,5.00
1814,363,12,0,12.00
1815,363,13,0,12.00
1816,364,8,7,2.00
1817,364,9,14,3.00
1818,364,10,9,5.00
1819,364,12,0,12.00
1820,364,13,0,12.00
1821,365,8,19,2.00
1822,365,9,14,3.00
1823,365,10,0,5.00
1824,365,12,0,12.00
1825,365,13,0,12.00
1826,366,8,7,2.00
1827,366,9,4,3.00
1828,366,10,5,5.00
1829,366,12,0,12.00
1830,366,13,0,12.00
1831,367,8,48,2.00
1832,367,9,19,3.00
1833,367,10,5,5.00
1834,367,12,0,12.00
1835,367,13,1,12.00
1836,368,8,13,2.00
1837,368,9,9,3.00
1838,368,10,4,5.00
1839,368,12,0,12.00
1840,368,13,0,12.00
1841,369,8,18,2.00
1842,369,9,14,3.00
1843,369,10,5,5.00
1844,369,12,0,12.00
1845,369,13,0,12.00
1846,370,8,16,2.00
1847,370,9,8,3.00
1848,370,10,6,5.00
1849,370,12,0,12.00
1850,370,13,0,12.00
1851,371,8,13,2.00
1852,371,9,26,3.00
1853,371,10,6,5.00
1854,371,12,0,12.00
1855,371,13,3,12.00
1856,372,8,16,2.00
1857,372,9,8,3.00
1858,372,10,5,5.00
1859,372,12,0,12.00
1860,372,13,1,12.00
1861,373,8,15,2.00
1862,373,9,6,3.00
1863,373,10,8,5.00
1864,373,12,0,12.00
1865,373,13,0,12.00
1866,374,8,14,2.00
1867,374,9,12,3.00
1868,374,10,3,5.00
1869,374,12,0,12.00
1870,374,13,0,12.00
1871,375,8,12,2.00
1872,375,9,5,3.00
1873,375,10,1,5.00
1874,375,12,0,12.00
1875,375,13,0,12.00
1876,376,8,18,2.00
1877,376,9,22,3.00
1878,376,10,3,5.00
1879,376,12,0,12.00
1880,376,13,2,12.00
1881,377,8,3,2.00
1882,377,9,8,3.00
1883,377,10,2,5.00
1884,377,12,0,12.00
1885,377,13,0,12.00
1886,378,8,17,2.00
1887,378,9,24,3.00
1888,378,10,3,5.00
1889,378,12,0,12.00
1890,378,13,0,12.00
1891,379,8,13,2.00
1892,379,9,11,3.00
1893,379,10,5,5.00
1894,379,12,0,12.00
1895,379,13,3,12.00
1896,380,8,9,2.00
1897,380,9,12,3.00
1898,380,10,3,5.00
1899,380,12,0,12.00
1900,380,13,1,12.00
1901,381,8,8,2.00
1902,381,9,3,3.00
1903,381,10,1,5.00
1904,381,12,0,12.00
1905,381,13,0,12.00
1906,382,8,9,2.00
1907,382,9,5,3.00
1908,382,10,1,5.00
1909,382,12,0,12.00
1910,382,13,0,12.00
1911,383,8,4,2.00
1912,383,9,6,3.00
1913,383,10,1,5.00
1914,383,12,0,12.00
1915,383,13,0,12.00
1916,384,8,11,2.00
1917,384,9,2,3.00
1918,384,10,0,5.00
1919,384,12,0,12.00
1920,384,13,0,12.00
1921,385,8,8,2.00
1922,385,9,4,3.00
1923,385,10,0,5.00
1924,385,12,0,12.00
1925,385,13,0,12.00
1926,386,8,12,2.00
1927,386,9,7,3.00
1928,386,10,0,5.00
1929,386,12,0,12.00
1930,386,13,0,12.00
1931,387,8,7,2.00
1932,387,9,5,3.00
1933,387,10,0,5.00
1934,387,12,0,12.00
1935,387,13,0,12.00
1936,388,8,9,2.00
1937,388,9,4,3.00
1938,388,10,0,5.00
1939,388,12,0,12.00
1940,388,13,0,12.00
1941,389,8,9,2.00
1942,389,9,6,3.00
1943,389,10,0,5.00
1944,389,12,0,12.00
1945,389,13,0,12.00
1946,390,8,4,2.00
1947,390,9,5,3.00
1948,390,10,0,5.00
1949,390,12,0,12.00
1950,390,13,0,12.00
1951,391,8,12,2.00
1952,391,9,7,3.00
1953,391,10,0,5.00
1954,391,12,0,12.00
1955,391,13,0,12.00
1956,392,8,5,2.00
1957,392,9,6,3.00
1958,392,10,0,5.00
1959,392,12,0,12.00
1960,392,13,0,12.00
1961,393,8,6,2.00
1962,393,9,3,3.00
1963,393,10,1,5.00
1964,393,12,0,12.00
1965,393,13,0,12.00
1966,394,8,5,2.00
1967,394,9,7,3.00
1968,394,10,2,5.00
1969,394,12,0,12.00
1970,394,13,0,12.00
1971,395,8,8,2.00
1972,395,9,16,3.00
1973,395,10,3,5.00
1974,395,12,0,12.00
1975,395,13,0,12.00
1976,396,8,7,2.00
1977,396,9,4,3.00
1978,396,10,3,5.00
1979,396,12,0,12.00
1980,396,13,0,12.00
1981,397,8,0,2.00
1982,397,9,0,3.00
1983,397,10,0,5.00
1984,397,12,1,12.00
1985,397,13,0,12.00
1986,398,8,0,2.00
1987,398,9,0,3.00
1988,398,10,0,5.00
1989,398,12,0,12.00
1990,398,13,1,12.00
1991,399,8,0,2.00
1992,399,9,0,3.00
1993,399,10,0,5.00
1994,399,12,0,12.00
1995,399,13,0,12.00
1996,400,8,28,2.00
1997,400,9,35,3.00
1998,400,10,6,5.00
1999,400,12,2,12.00
2000,400,13,2,12.00
2001,401,8,0,2.00
2002,401,9,17,3.00
2003,401,10,5,5.00
2004,401,12,2,12.00
2005,401,13,1,12.00
2006,402,8,0,2.00
2007,402,9,17,3.00
2008,402,10,17,5.00
2009,402,12,2,12.00
2010,402,13,2,12.00
2011,403,8,30,2.00
2012,403,9,42,3.00
2013,403,10,22,5.00
2014,403,12,2,12.00
2015,403,13,2,12.00
2016,404,8,0,2.00
2017,404,9,0,3.00
2018,404,10,22,5.00
2019,404,12,2,12.00
2020,404,13,3,12.00
2021,405,8,0,2.00
2022,405,9,0,3.00
2023,405,10,0,5.00
2024,405,12,0,12.00
2025,405,13,1,12.00
2026,406,8,0,2.00
2027,406,9,0,3.00
2028,406,10,0,5.00
2029,406,12,0,12.00
2030,406,13,0,12.00
2031,407,8,0,2.00
2032,407,9,0,3.00
2033,407,10,0,5.00
2034,407,12,2,12.00
2035,407,13,0,12.00
2036,408,8,0,2.00
2037,408,9,0,3.00
2038,408,10,0,5.00
2039,408,12,0,12.00
2040,408,13,0,12.00
2041,409,8,0,2.00
2042,409,9,0,3.00
2043,409,10,0,5.00
2044,409,12,2,12.00
2045,409,13,2,12.00
2046,410,8,0,2.00
2047,410,9,0,3.00
2048,410,10,0,5.00
2049,410,12,0,12.00
2050,410,13,0,12.00
2051,411,8,0,2.00
2052,411,9,0,3.00
2053,411,10,0,5.00
2054,411,12,0,12.00
2055,411,13,0,12.00
2056,412,8,0,2.00
2057,412,9,0,3.00
2058,412,10,0,5.00
2059,412,12,1,12.00
2060,412,13,0,12.00
2061,413,8,0,2.00
2062,413,9,0,3.00
2063,413,10,0,5.00
2064,413,12,0,12.00
2065,413,13,0,12.00
2066,414,8,0,2.00
2067,414,9,0,3.00
2068,414,10,0,5.00
2069,414,12,0,12.00
2070,414,13,0,12.00
2071,415,8,0,2.00
2072,415,9,0,3.00
2073,415,10,0,5.00
2074,415,12,0,12.00
2075,415,13,0,12.00
2076,416,8,0,2.00
2077,416,9,0,3.00
2078,416,10,0,5.00
2079,416,12,0,12.00
2080,416,13,0,12.00
2081,417,8,0,2.00
2082,417,9,0,3.00
2083,417,10,0,5.00
2084,417,12,0,12.00
2085,417,13,0,12.00
2086,418,8,0,2.00
2087,418,9,0,3.00
2088,418,10,0,5.00
2089,418,12,0,12.00
2090,418,13,0,12.00
2091,419,8,0,2.00
2092,419,9,0,3.00
2093,419,10,0,5.00
2094,419,12,0,12.00
2095,419,13,0,12.00
2096,420,8,0,2.00
2097,420,9,0,3.00
2098,420,10,0,5.00
2099,420,12,0,12.00
2100,420,13,1,12.00
2101,421,8,0,2.00
2102,421,9,0,3.00
2103,421,10,0,5.00
2104,421,12,0,12.00
2105,421,13,0,12.00
2106,422,8,0,2.00
2107,422,9,0,3.00
2108,422,10,0,5.00
2109,422,12,0,12.00
2110,422,13,0,12.00
2111,423,8,0,2.00
2112,423,9,0,3.00
2113,423,10,0,5.00
2114,423,12,0,12.00
2115,423,13,0,12.00
2116,424,8,0,2.00
2117,424,9,0,3.00
2118,424,10,0,5.00
2119,424,12,0,12.00
2120,424,13,0,12.00
2121,425,8,0,2.00
2122,425,9,0,3.00
2123,425,10,0,5.00
2124,425,12,0,12.00
2125,425,13,0,12.00
2126,426,8,0,2.00
2127,426,9,0,3.00
2128,426,10,0,5.00
2129,426,12,1,12.00
2130,426,13,0,12.00
2131,427,8,0,2.00
2132,427,9,0,3.00
2133,427,10,0,5.00
2134,427,12,0,12.00
2135,427,13,0,12.00
2136,428,8,0,2.00
2137,428,9,0,3.00
2138,428,10,0,5.00
2139,428,12,0,12.00
2140,428,13,0,12.00
2141,429,8,0,2.00
2142,429,9,0,3.00
2143,429,10,0,5.00
2144,429,12,0,12.00
2145,429,13,1,12.00
2146,430,8,0,2.00
2147,430,9,0,3.00
2148,430,10,0,5.00
2149,430,12,0,12.00
2150,430,13,0,12.00
2151,431,8,0,2.00
2152,431,9,0,3.00
2153,431,10,0,5.00
2154,431,12,0,12.00
2155,431,13,0,12.00
2156,432,8,0,2.00
2157,432,9,0,3.00
2158,432,10,0,5.00
2159,432,12,0,12.00
2160,432,13,0,12.00
2161,433,8,0,2.00
2162,433,9,0,3.00
2163,433,10,0,5.00
2164,433,12,1,12.00
2165,433,13,1,12.00
2166,434,8,0,2.00
2167,434,9,0,3.00
2168,434,10,17,5.00
2169,434,12,2,12.00
2170,434,13,1,12.00
2171,435,8,0,2.00
2172,435,9,0,3.00
2173,435,10,0,5.00
2174,435,12,0,12.00
2175,435,13,3,12.00
2176,436,8,0,2.00
2177,436,9,0,3.00
2178,436,10,0,5.00
2179,436,12,0,12.00
2180,436,13,1,12.00
2181,437,8,0,2.00
2182,437,9,0,3.00
2183,437,10,0,5.00
2184,437,12,0,12.00
2185,437,13,1,12.00
2186,438,8,0,2.00
2187,438,9,0,3.00
2188,438,10,0,5.00
2189,438,12,1,12.00
2190,438,13,0,12.00
2191,439,8,0,2.00
2192,439,9,0,3.00
2193,439,10,0,5.00
2194,439,12,0,12.00
2195,439,13,1,12.00
2196,440,8,0,2.00
2197,440,9,0,3.00
2198,440,10,0,5.00
2199,440,12,0,12.00
2200,440,13,1,12.00
2201,441,8,17,2.00
2202,441,9,17,3.00
2203,441,10,35,5.00
2204,441,12,2,12.00
2205,441,13,2,12.00
2206,442,8,0,2.00
2207,442,9,0,3.00
2208,442,10,0,5.00
2209,442,12,1,12.00
2210,442,13,5,12.00
2211,443,8,0,2.00
2212,443,9,0,3.00
2213,443,10,8,5.00
2214,443,12,2,12.00
2215,443,13,2,12.00
2216,444,8,0,2.00
2217,444,9,0,3.00
2218,444,10,0,5.00
2219,444,12,1,12.00
2220,444,13,3,12.00
2221,445,8,0,2.00
2222,445,9,0,3.00
2223,445,10,0,5.00
2224,445,12,1,12.00
2225,445,13,1,12.00
