"[Abbreviations: ID, identification; cm, centimeter; dpm/g, disintegrations per minute per gram; ND, not detected; --, no reported value; Lc, critical level]",,,,,,,,,,,
Core ID,"Depth
 (cm)","Cs-137 
(dpm/g)","Cs-137 Error 
(+/- dpm/g)","Pb-210 
(dpm/g)","Pb-210 Error 
(+/- dpm/g)","Ra-226 
(dpm/g)","Ra-226 Error 
(+/- dpm/g)","Th-234 
(dpm/g)","Th-234 Error 
(+/- dpm/g)","K-40 
(dpm/g)","K-40 Error 
(+/- dpm/g)"
16CCT07-GB307M,5-6,ND,--,4.49,0.39,1.48,0.15,3.47,0.47,11.37,1.96
16CCT07-GB307M,6-7,ND,--,2.63,0.27,1.18,0.11,1.94,0.33,5.96,1.19
16CCT07-GB307M,7-8,ND,--,3.29,0.27,1.21,0.10,2.54,0.32,7.63,1.17
16CCT07-GB307M,8-9,ND,--,4.37,0.49,1.55,0.19,2.92,0.58,7.31,2.33
16CCT07-GB307M,9-10,ND,--,4.42,0.39,1.48,0.15,3.66,0.53,9.61,2.04
16CCT07-GB307M,10-11,ND,--,4.61,0.43,1.51,0.16,3.50,0.51,11.86,2.09
16CCT07-GB307M,11-12,0.23,0.11,4.38,0.44,1.48,0.16,3.71,0.48,9.49,2.07
16CCT07-GB307M,12-13,ND,--,3.85,0.50,1.35,0.19,4.09,0.62,10.22,2.71
16CCT07-GB307M,13-14,ND,--,4.39,0.51,1.61,0.19,3.73,0.59,10.17,2.43
16CCT07-GB307M,14-15,ND,--,4.34,0.48,1.53,0.17,4.15,0.54,13.88,2.25
16CCT07-GB307M,15-16,ND,--,4.36,0.52,1.57,0.19,4.72,0.60,12.36,2.65
16CCT07-GB307M,16-17,0.50,0.13,3.88,0.42,1.87,0.17,5.18,0.59,13.74,2.25
16CCT07-GB307M,17-18,0.41,0.13,4.23,0.45,1.61,0.17,4.66,0.54,9.72,2.15
16CCT07-GB307M,18-19,0.54,0.14,4.70,0.49,1.71,0.19,4.63,0.57,11.85,2.29
16CCT07-GB307M,19-20,0.56,0.15,3.72,0.49,1.59,0.19,4.41,0.63,10.92,2.59
16CCT07-GB307M,20-21,0.48,0.12,3.37,0.39,1.55,0.16,5.23,0.52,12.96,2.04
16CCT07-GB307M,21-22,0.48,0.15,3.46,0.48,1.73,0.20,4.92,0.61,11.86,2.53
16CCT07-GB307M,22-23,0.38,0.12,2.72,0.40,1.97,0.16,4.73,0.51,10.65,2.23
16CCT07-GB307M,23-24,0.19,0.07,2.25,0.24,1.63,0.11,3.55,0.37,6.03,1.11
16CCT07-GB307M,24-25,ND,--,2.84,0.42,1.94,0.17,4.27,0.53,10.67,2.20
16CCT07-GB307M,25-26,0.25,0.13,2.12,0.46,1.93,0.19,3.64,0.53,8.13,2.21
16CCT07-GB307M,26-27,ND,--,1.72,0.46,1.74,0.20,3.85,0.63,9.32,2.38
16CCT07-GB307M,27-28,0.24,0.12,2.21,0.33,1.81,0.15,4.15,0.49,9.99,1.86
16CCT07-GB307M,28-29,ND,--,2.69,0.47,1.74,0.19,4.18,0.59,9.85,2.31
16CCT07-GB307M,29-30,0.23,0.08,2.21,0.27,1.55,0.12,3.71,0.41,8.10,1.36
16CCT07-GB307M,31-32,0.21,0.07,2.24,0.27,1.64,0.11,3.74,0.36,6.85,1.15
16CCT07-GB307M,33-34,ND,--,1.75,0.41,1.67,0.18,3.93,0.62,9.05,2.06
16CCT07-GB307M,35-36,ND,--,1.82,0.26,1.64,0.11,3.88,0.36,6.42,1.29
16CCT07-GB307M,37-38,ND,--,1.68,0.38,1.71,0.17,3.50,0.48,9.78,2.14
16CCT07-GB307M,39-40,ND,--,1.83,0.35,1.81,0.15,3.54,0.49,11.33,2.03
16CCT07-GB307M,41-42,ND,--,2.05,0.33,1.85,0.15,3.92,0.49,8.59,1.72
Lc:Cs-137 = 0.13 dpm/g; Lc:Pb-210 = 0.30 dpm/g; Lc:Ra-226 = 0.26 dpm/g; Lc:Th-234 = 0.41 dpm/g; Lc:K-40 = 1.78 dpm/g,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
16CCT07-GB308M,0-1,0.14,0.06,5.98,0.33,1.46,0.10,4.59,0.36,12.60,1.21
16CCT07-GB308M,1-2,0.15,0.06,5.29,0.33,1.67,0.10,4.83,0.39,12.03,1.19
16CCT07-GB308M,2-3,0.19,0.08,6.07,0.38,1.61,0.12,5.14,0.42,12.15,1.35
16CCT07-GB308M,3-4,0.15,0.07,5.46,0.35,1.62,0.11,5.68,0.41,12.71,1.35
16CCT07-GB308M,4-5,0.18,0.07,4.70,0.38,1.79,0.12,5.44,0.49,12.80,1.45
16CCT07-GB308M,5-6,0.23,0.11,6.06,0.56,1.96,0.17,5.82,0.63,17.35,2.19
16CCT07-GB308M,6-7,0.28,0.07,7.78,0.40,1.37,0.10,7.57,0.45,14.80,1.41
16CCT07-GB308M,7-8,0.28,0.09,5.94,0.45,1.47,0.13,6.32,0.52,14.44,1.65
16CCT07-GB308M,8-9,0.27,0.07,5.09,0.36,1.45,0.10,5.63,0.41,11.55,1.30
16CCT07-GB308M,9-10,0.37,0.07,4.08,0.31,1.66,0.11,5.75,0.41,13.77,1.30
16CCT07-GB308M,10-11,0.48,0.08,4.47,0.39,1.48,0.11,6.16,0.48,13.94,1.53
16CCT07-GB308M,11-12,0.58,0.13,4.23,0.56,1.69,0.18,6.62,0.70,16.43,2.21
16CCT07-GB308M,12-13,0.70,0.16,5.20,0.58,1.67,0.19,7.24,0.77,15.12,2.30
16CCT07-GB308M,13-14,0.79,0.13,4.43,0.45,1.86,0.16,8.24,0.64,17.01,2.04
16CCT07-GB308M,14-15,0.55,0.07,3.53,0.28,1.58,0.09,5.23,0.36,10.68,1.09
16CCT07-GB308M,15-16,0.52,0.09,3.02,0.35,1.54,0.12,4.51,0.44,10.95,1.43
16CCT07-GB308M,16-17,0.97,0.10,3.24,0.34,1.65,0.12,4.33,0.42,11.28,1.40
16CCT07-GB308M,17-18,1.71,0.16,4.21,0.48,1.74,0.16,6.69,0.63,17.09,2.09
16CCT07-GB308M,18-19,1.53,0.17,3.95,0.55,1.72,0.17,7.61,0.71,17.46,2.24
16CCT07-GB308M,19-20,0.78,0.14,3.59,0.50,1.77,0.17,6.94,0.67,15.79,2.15
16CCT07-GB308M,20-21,0.38,0.10,2.74,0.40,1.56,0.13,4.64,0.49,11.06,1.53
16CCT07-GB308M,21-22,0.41,0.08,2.70,0.31,1.65,0.11,5.20,0.41,10.03,1.25
16CCT07-GB308M,22-23,0.54,0.13,3.39,0.46,1.78,0.17,6.80,0.66,13.23,1.92
16CCT07-GB308M,23-24,0.28,0.13,2.92,0.55,1.89,0.20,7.22,0.73,13.38,2.34
16CCT07-GB308M,24-25,0.08,0.04,2.03,0.20,1.63,0.07,4.31,0.26,9.14,0.80
16CCT07-GB308M,25-26,ND,--,1.94,0.25,1.65,0.09,3.84,0.33,7.32,0.96
16CCT07-GB308M,26-27,ND,--,1.80,0.27,1.69,0.10,3.21,0.35,9.01,1.17
16CCT07-GB308M,27-28,ND,--,2.10,0.34,1.69,0.12,3.49,0.41,9.23,1.36
16CCT07-GB308M,28-29,ND,--,1.88,0.23,1.73,0.09,3.33,0.30,8.15,0.91
16CCT07-GB308M,29-30,ND,--,1.96,0.25,1.76,0.10,3.15,0.32,9.67,1.01
16CCT07-GB308M,31-32,ND,--,1.61,0.20,1.62,0.08,2.80,0.25,6.76,0.80
16CCT07-GB308M,33-34,ND,--,1.56,0.20,1.50,0.08,2.15,0.24,6.09,0.77
16CCT07-GB308M,35-36,ND,--,1.86,0.19,1.51,0.07,3.03,0.26,7.17,0.77
16CCT07-GB308M,37-38,ND,--,1.83,0.17,1.58,0.06,3.45,0.23,8.79,0.72
16CCT07-GB308M,39-40,ND,--,1.76,0.16,1.63,0.06,3.36,0.21,7.49,0.60
16CCT07-GB308M,41-42,ND,--,1.60,0.23,1.56,0.08,3.31,0.29,7.59,0.85
16CCT07-GB308M,43-44,ND,--,1.63,0.23,1.63,0.08,3.31,0.29,8.73,0.90
16CCT07-GB308M,45-46,ND,--,1.78,0.25,1.72,0.09,3.36,0.31,5.95,0.86
16CCT07-GB308M,47-48,ND,--,1.58,0.20,1.51,0.07,4.88,0.29,7.67,0.80
16CCT07-GB308M,49-50,ND,--,1.72,0.15,1.68,0.05,4.91,0.22,6.73,0.53
Lc:Cs-137 = 0.10 dpm/g; Lc:Pb-210 = 0.36 dpm/g; Lc:Ra-226 = 0.24 dpm/g; Lc:Th-234 = 0.47 dpm/g; Lc:K-40 = 1.31 dpm/g,,,,,,,,,,,
