study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,age,age_se,c14_age,c14_age_se,c14_material
Belshe_et_al_2019,SM,SM10,single set of methods,111,112,1.6673,0.005985000000000001,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,112,113,1.5526,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,113,114,1.3323,0.005523,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,114,115,1.565,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,115,116,1.3028,0.005579,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,116,117,1.2046,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,117,118,1.6418,0.004824999999999999,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,118,119,1.3349,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,119,120,1.2996,0.00389,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,120,121,1.312,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,121,122,1.6531,0.005268,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,122,123,1.5365,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,123,124,1.6373,0.004715,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,124,125,1.3074,NA,NA,NA,1063,7.723027987151322,seagrass_sheath
Belshe_et_al_2019,SM,SM10,single set of methods,125,126,1.3922,0.00441,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,126,127,1.1193,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,127,128,1.1186,0.004557,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,128,129,1.0516,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,129,130,1.732,0.004602,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,130,131,1.2753,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,131,132,1.3077,0.004876,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,132,133,0.7467,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,single set of methods,133,134,1.2247,0.005096000000000001,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,0,1,0.125,0.039959,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,1,2,0.1157,0.021461,-63,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,2,3,0.2479,0.022415,-61,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,3,4,0.2165,0.014897,-59,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,4,5,0.1264,0.014607000000000002,-58,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,5,6,0.2427,0.014515,-57,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,6,7,0.3341,0.012031,-55,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,7,8,0.4021,0.011049,-53,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,8,9,0.3848,0.009899,-51,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,9,10,0.4353,0.014849,-48,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,10,11,0.4821,0.018493,-46,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,11,12,0.3613,0.028293,-41,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,12,13,0.6718,0.010441,38,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,13,14,0.5466,0.013759,33,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,14,15,0.6576,0.013833,-29,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,15,16,0.6589,0.018704,-24,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,16,17,0.7001,0.020092,-18,0.105999788000636,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,17,18,0.6962,0.014968,-13,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,18,19,0.6799,0.017297,-7,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,19,20,0.6791,0.013877,1,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,20,21,0.7519,NA,8,0.211999576001272,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,21,22,0.7291,0.013424,18,0.31799936400190804,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,22,23,0.8834,NA,31,0.423999152002544,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,23,24,0.8546,0.013484,46,0.423999152002544,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,24,25,1.0093,NA,75,0.741998516004452,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,25,26,0.9328,0.013789,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,26,27,0.7219,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,27,28,1.1446,0.013037,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,28,29,0.9658,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,29,30,0.9092,0.012364,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,30,31,1.0429,NA,NA,NA,610,4.310527248642598,seagrass_sheath
Belshe_et_al_2019,SM,SM15,single set of methods,31,32,0.8862,0.01294,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,32,33,0.9713,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,33,34,1.1421,0.011225,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,34,35,0.9273,NA,NA,NA,573,4.130921946615823,seagrass_sheath
Belshe_et_al_2019,SM,SM15,single set of methods,35,36,1.4588,0.012111,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,36,37,1.0077,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,37,38,0.9493,0.0127,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,38,39,1.0694,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,39,40,0.9027,0.013276,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,40,41,0.7672,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,41,42,0.9087,0.013697999999999998,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,42,43,1.0978,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,43,44,1.0301,0.016361,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,44,45,0.668,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,45,46,0.8331,0.013465,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,46,47,1.0581,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,47,48,1.0932,0.012275,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,48,49,1.1157,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,49,50,1.0624,0.013525,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,50,51,1.2821,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,51,52,1.0289,0.012714,NA,NA,1732,5.747369664856797,seagrass_sheath
Belshe_et_al_2019,SM,SM15,single set of methods,52,53,1.0157,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,53,54,0.8925,0.01237,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,54,55,1.0979,NA,NA,NA,1508,5.208553758776472,seagrass_sheath
Belshe_et_al_2019,SM,SM15,single set of methods,55,56,0.8938,0.010674,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,56,57,1.1037,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,57,58,1.1965,0.008896,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,58,59,0.9276,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,59,60,1.0742,0.010512,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,60,61,0.9421,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,61,62,0.5399,0.010446,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,62,63,0.7922,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,63,64,1.0733,0.01,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,64,65,1.1979,NA,NA,NA,1583,4.130921946615823,seagrass_sheath
Belshe_et_al_2019,SM,SM15,single set of methods,65,66,0.8307,0.011143,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,66,67,1.0346,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,67,68,1.1078,0.008884,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,68,69,1.0102,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,69,70,1.0043,0.011354,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,70,71,1.0599,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,71,72,0.9803,0.011579,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,72,73,1.1982,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,73,74,1.1933,0.014032,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,74,75,1.0185,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,75,76,0.7433,0.013629,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,76,77,0.9768,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,77,78,0.9461,0.014597,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,78,79,1.0041,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,79,80,0.826,0.013646,NA,NA,2447,5.747369664856797,seagrass_sheath
Belshe_et_al_2019,SM,SM15,single set of methods,80,81,0.6047,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,81,82,0.7834,0.011069,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,82,83,0.8345,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,single set of methods,83,84,1.1108,0.010067,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,0,1,1.067,0.018089,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,1,2,1.164,0.016019000000000002,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,2,3,1.1893,0.012174,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,3,4,1.1377,0.010992,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,4,5,1.158,0.011625000000000002,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,5,6,1.3017,0.010144,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,6,7,1.3373,0.010445,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,7,8,0.9574,0.010598000000000002,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,8,9,1.0611,0.010737000000000002,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,9,10,1.0809,0.012654,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,10,11,1.2971,0.015238,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,11,12,1.1313,0.014582,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,12,13,1.1577,0.015451,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,13,14,1.3209,0.015774999999999997,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,14,15,1.0762,0.015996999999999997,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,15,16,1.321,0.016285,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,16,17,1.0449,0.023009,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,17,18,1.1028,0.018693,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,18,19,1.236,0.018473,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,19,20,1.2864,0.016528,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,20,21,1.3833,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,21,22,1.3688,0.012654,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,22,23,1.4949,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,23,24,1.5851,0.01104,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,24,25,1.512,NA,NA,NA,508,3.5921060405354983,seagrass_sheath
Belshe_et_al_2019,SM,SM25,single set of methods,25,26,1.3863,0.011727,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,26,27,1.3967,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,27,28,1.1873,0.013505,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,28,29,1.1283,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,29,30,1.3105,0.014479,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,30,31,1.8408,NA,NA,NA,608,4.849343154722923,seagrass_sheath
Belshe_et_al_2019,SM,SM25,single set of methods,31,32,1.7524,0.013707,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,32,33,1.3274,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,33,34,1.5148,0.014641,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,34,35,1.5861,NA,NA,NA,604,5.208553758776472,seagrass_sheath
Belshe_et_al_2019,SM,SM25,single set of methods,35,36,1.3601,0.012116,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,36,37,1.5856,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,37,38,1.2702,0.014987,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,38,39,1.1011,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,39,40,1.1545,0.011582,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,40,41,1.9344,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,41,42,1.5408,0.013498,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,42,43,1.5402,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,43,44,1.7207,0.013894,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,44,45,1.5819,NA,NA,NA,1000,4.849343154722923,seagrass_sheath
Belshe_et_al_2019,SM,SM25,single set of methods,45,46,1.5721,0.017433,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,46,47,1.3506,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,47,48,1.5287,0.011757,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,48,49,1.25,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,49,50,1.343,0.01248,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,50,51,1.7087,NA,NA,NA,1234,4.849343154722923,seagrass_sheath
Belshe_et_al_2019,SM,SM25,single set of methods,51,52,1.6237,0.013173,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,52,53,1.532,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,53,54,1.391,0.015880000000000002,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,54,55,1.6985,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,55,56,1.7415,0.015887,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,56,57,1.8389,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,57,58,1.664,0.014181999999999998,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,58,59,1.3807,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,59,60,1.725,0.011387,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,60,61,1.6516,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,61,62,1.8534,0.013933,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,62,63,1.9222,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,63,64,1.7582,0.014357,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,64,65,1.5343,NA,NA,NA,1957,4.310527248642598,seagrass_sheath
Belshe_et_al_2019,SM,SM25,single set of methods,65,66,1.5188,0.016159,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,66,67,1.5271,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,67,68,1.8281,0.012081,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,68,69,1.5616,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,69,70,1.4461,0.015934999999999998,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,70,71,1.3856,NA,NA,NA,1985,4.490132550669373,seagrass_sheath
Belshe_et_al_2019,SM,SM25,single set of methods,71,72,1.6772,0.022052,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,72,73,1.5337,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,73,74,1.6402,0.01331,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,74,75,1.5563,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,75,76,1.532,0.011258999999999998,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,76,77,1.7075,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,77,78,1.4018,0.01142,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,78,79,1.3746,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,79,80,1.4488,0.011035,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,80,81,1.1794,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,81,82,1.3337,0.012121,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,82,83,1.4492,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,83,84,1.5857,0.010186,NA,NA,2178,5.028948456749697,seagrass_sheath
Belshe_et_al_2019,SM,SM25,single set of methods,84,85,1.5878,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,85,86,1.5897,0.014256,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,86,87,1.5915,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,87,88,1.5934,0.014253,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,88,89,1.5952,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,89,90,1.597,0.01425,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,90,91,1.5987,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,91,92,1.6005,0.014247,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,92,93,1.6022,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,93,94,1.6039,0.014244,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,single set of methods,94,95,1.6056,NA,NA,NA,NA,NA,NA
