"","X","study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","cs137_activity","cs137_activity_se","cs137_unit","excess_pb210_activity","excess_pb210_activity_se","total_pb210_activity","total_pb210_activity_se","pb210_unit","pb214_activity","pb214_activity_se","pb214_unit","bi214_activity","bi214_activity_se","bi214_unit","age","age_min","age_max","depth_interval_notes"
"105",105,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",1,2,0.139854919446017,0.233194278903456,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"106",106,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",2,3,0.0518616329248884,0.219333045288503,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"107",107,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",3,4,0.196641900500403,0.218248419560037,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"108",108,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",4,5,0.142780386243725,0.20715116979012,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"109",109,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",5,6,0.217023680400108,0.213747627526562,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"110",110,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",6,7,0.340620425050091,0.211344211344211,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"111",111,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",7,8,0.352589871488996,0.11835295455838,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"112",112,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",8,9,0.366344340086516,0.163840031443451,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"113",113,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",9,10,0.404268346330997,0.119198856643773,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"114",114,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",10,11,0.254415642201958,0.116938130183163,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"115",115,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",11,12,0.350112027968734,0.125041844711813,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"116",116,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",12,13,0.455613724087543,0.109476391838962,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"117",117,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",13,14,0.433045846144516,0.0695753798208026,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"118",118,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",14,15,0.566794183965821,0.0574675455979294,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"119",119,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",15,16,0.440703857140092,0.0541317413415346,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"120",120,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",16,17,0.492950251560876,0.0480915419700728,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"121",121,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",17,18,0.395260992468799,0.0474405248569206,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"122",122,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",18,19,0.424382179885066,0.0511468194494507,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"123",123,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",19,20,0.415119098786063,0.0587168004941321,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"124",124,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",23,24,0.298227780425657,0.131912178196103,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"125",125,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",27,28,0.16862758545992,0.194578126212839,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"126",126,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",31,32,0.168517151417775,0.212729894014963,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"127",127,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",35,36,0.102753029708178,0.304238667791224,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"128",128,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",39,40,0.114740320177055,0.361835058907533,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"129",129,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",43,44,0.127686437976558,0.362150452934226,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"130",130,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",47,48,0.089382065652421,0.334019937428344,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"131",131,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",51,52,0.0906384401559089,0.364158326287433,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"132",132,"Langston_et_al_2022","Goodwin Island","OT3_2","russian corer",55,56,0.143042616342882,0.227547184900832,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"133",133,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",0,1,NA,NA,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"134",134,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",1,2,0.316981937127368,0.212457182236455,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"135",135,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",2,3,0.223615679199296,0.257304372492604,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"136",136,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",3,4,0.254707556546169,0.252917248746816,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"137",137,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",4,5,0.28560595968599,0.31059767230137,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"138",138,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",5,6,0.415242046548661,0.25968094957488,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"139",139,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",6,7,0.280065598894117,0.353077145333719,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"140",140,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",7,8,0.304109791565107,0.339569503118085,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"141",141,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",8,9,0.376770243465034,0.391505041098109,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"142",142,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",9,10,0.255398469190023,0.283736467179136,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"143",143,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",10,11,0.375611291676429,0.235793366681681,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"144",144,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",11,12,0.501393087263008,0.125770705765197,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"145",145,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",12,13,0.66913532372884,0.108637653938915,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"146",146,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",13,14,0.845439255560073,0.103045138962163,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"147",147,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",14,15,0.58009510513043,0.0854721998886759,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"148",148,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",15,16,0.850256213352343,0.0680337192120846,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"149",149,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",16,17,1.09497367258738,0.0622396521244387,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"150",150,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",17,18,1.49606703867941,0.0541018804709434,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"151",151,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",18,19,0.98789656595293,0.0368743729796009,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"152",152,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",19,20,1.4866046102802,0.0338332384146468,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"153",153,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",23,24,1.65465735001007,0.0302644294122816,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"154",154,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",27,28,2.44640812009656,0.021563811055801,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"155",155,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",31,32,1.98511183022284,0.0163583772878638,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"156",156,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",35,36,2.29315761318679,0.0160928143712575,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"157",157,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",39,40,2.48760966545742,0.0151636565370152,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"158",158,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",43,44,2.43542430695731,0.0251655057900071,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"159",159,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",47,48,1.58191581758137,0.0183290155440415,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"160",160,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",51,52,2.33080726739375,0.0159630049578692,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"161",161,"Langston_et_al_2022","Goodwin Island","NT3_4","russian corer",55,56,3.11121006975491,0.0161290322580645,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",28,22,34,"age depth model recorded at whole-core level"
"162",162,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",0,1,1.09827952107585,0.0611060925424068,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"163",163,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",1,2,1.7033050478029,0.0712026889954056,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"164",164,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",2,3,1.63687974286671,0.230483634587201,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"165",165,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",3,4,1.42338485999563,0.0456529502797507,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"166",166,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",4,5,1.41621240898819,0.0505944649815166,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"167",167,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",5,6,1.5082407706759,0.0535493372606775,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"168",168,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",6,7,1.72721907272085,0.0512177093059445,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"169",169,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",7,8,1.29663631608807,0.0623774264558735,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"170",170,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",8,9,1.42713342223948,0.223227692246091,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"171",171,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",9,10,1.76781486922266,0.0485073892594998,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"172",172,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",10,11,1.76158467051492,0.0450540571736371,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"173",173,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",11,12,1.52415527026669,0.0413241063859151,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"174",174,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",12,13,1.68951029311041,0.233223300970874,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"175",175,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",13,14,1.50112952887487,0.0454091714710614,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"176",176,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",14,15,1.58874830392054,0.054726668680157,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"177",177,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",15,16,1.56817168385419,0.247410334710496,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"178",178,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",16,17,1.74061200434536,0.0566869452478307,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"179",179,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",17,18,1.46625700087459,0.0572861356932153,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"180",180,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",18,19,1.22089412057201,0.0556141584622597,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"181",181,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",19,20,1.4319332632981,0.0548368899177154,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"182",182,"Langston_et_al_2022","Goodwin Island","NT3_2","russian corer",20,21,NA,0.0476981161912668,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",67.5,56,79,"age depth model recorded at whole-core level"
"183",183,"Langston_et_al_2022","Goodwin Island","NT3_1","russian corer",1,2,0.655920275714934,0.120930162643177,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"184",184,"Langston_et_al_2022","Goodwin Island","NT3_1","russian corer",3,4,0.699105951861497,0.134241745676307,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"185",185,"Langston_et_al_2022","Goodwin Island","NT3_1","russian corer",5,6,0.373616228908224,0.109021180439522,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"186",186,"Langston_et_al_2022","Goodwin Island","NT3_1","russian corer",7,8,0.952903048895392,0.109798573367294,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"187",187,"Langston_et_al_2022","Goodwin Island","NT3_1","russian corer",9,10,0.965571121514532,0.034461735921707,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"188",188,"Langston_et_al_2022","Goodwin Island","NT3_1","russian corer",11,12,0.717153715557688,0.0638129850036665,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"189",189,"Langston_et_al_2022","Goodwin Island","NT3_1","russian corer",13,14,0.813814277916128,0.0710410889284176,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"190",190,"Langston_et_al_2022","Goodwin Island","NT3_1","russian corer",15,16,1.03046091196216,0.0540005971040455,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"191",191,"Langston_et_al_2022","Goodwin Island","NT3_1","russian corer",17,18,1.17314700102467,0.0541420635779901,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"192",192,"Langston_et_al_2022","Goodwin Island","NT3_1","russian corer",19,20,0.933122457518396,0.108298455960156,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"193",193,"Langston_et_al_2022","Goodwin Island","NT3_1","russian corer",23,24,1.24328008607735,0.0342871457547132,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"194",194,"Langston_et_al_2022","Goodwin Island","NT3_1","russian corer",27,28,1.5507009104661,0.0228574658928167,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"195",195,"Langston_et_al_2022","Goodwin Island","NT3_1","russian corer",31,32,NA,0.0606298119708364,NA,NA,"dpm/g",NA,NA,NA,NA,"dpm/g",NA,NA,"dpm/g",NA,NA,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"196",196,"Langston_et_al_2022","Goodwin Island","NT3_1","push core",1,2,NA,NA,0.0891557898578954,0.0104956198162025,"dpm/g",5.57112526786914,0.197651215774681,6.13483380669628,0.137567192699143,"dpm/g",0.693581849104663,0.0345929333194971,"dpm/g",0.888829033837959,0.044835769108741,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"197",197,"Langston_et_al_2022","Goodwin Island","NT3_1","push core",3,4,NA,NA,0.148120103618414,0.0135899498436156,"dpm/g",3.96898077531955,0.158141545240924,4.5297857694655,0.100007140849435,"dpm/g",0.851252541607193,0.0384952366082168,"dpm/g",0.661761620733802,0.0388601872295716,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"198",198,"Langston_et_al_2022","Goodwin Island","NT3_1","push core",5,6,NA,NA,0.0316084541491675,0.0065301377671758,"dpm/g",3.46713857865156,0.124917969126705,4.19843210997924,0.0904272461290883,"dpm/g",0.890749050078408,0.040956986099244,"dpm/g",0.940531225883079,0.0481851923383644,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"199",199,"Langston_et_al_2022","Goodwin Island","NT3_1","push core",7,8,NA,NA,0.154851067782423,0.0129763225016869,"dpm/g",2.65590090894933,0.111929544559406,3.35695447995224,0.0752243684705427,"dpm/g",0.803294409780838,0.0349260628886493,"dpm/g",0.889775845224524,0.0420851959194585,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"200",200,"Langston_et_al_2022","Goodwin Island","NT3_1","push core",9,10,NA,NA,0.18814510192043,0.0136589551639587,"dpm/g",1.62907481849013,0.0862926354362976,2.2812671745216,0.0526105098459951,"dpm/g",0.7447138558077,0.0320772812887628,"dpm/g",0.762494614931563,0.0371619028125638,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"201",201,"Langston_et_al_2022","Goodwin Island","NT3_1","push core",11,12,NA,NA,0.27815466074084,0.0169030958660551,"dpm/g",1.11071965890119,0.0835654048305697,1.76745285789325,0.0397393683829784,"dpm/g",0.65541298816766,0.0306590951851057,"dpm/g",0.793350884629043,0.0386199210697048,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
"202",202,"Langston_et_al_2022","Goodwin Island","NT3_1","push core",13,14,NA,NA,0,NA,"dpm/g",0.739489049784045,0.0443291261039652,1.41333195270665,0.0319427604512668,"dpm/g",0.6823005904182,0.0310138358748273,"dpm/g",0.713299149378412,0.0363061512987309,"dpm/g",136.5,110,163,"age depth model recorded at whole-core level"
