study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_40,single set of methods,30,45,3,0.65,0.0317
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_40,single set of methods,45,110,4,0.66,0.0291
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_40,single set of methods,110,185,5,0.8,0.024
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_40,single set of methods,185,200,6,0.95,0.021400000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_41,single set of methods,0,15,1,0.95,0.0181
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_41,single set of methods,15,30,2,0.9,0.0138
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_41,single set of methods,30,45,3,0.77,0.0169
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_41,single set of methods,45,110,4,0.88,0.0182
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_41,single set of methods,110,185,5,0.89,0.020099999999999996
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_41,single set of methods,185,200,6,0.87,0.0176
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_42,single set of methods,0,15,1,0.63,0.018000000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_42,single set of methods,15,30,2,0.69,0.018600000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_42,single set of methods,30,45,3,0.71,0.0192
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_42,single set of methods,45,110,4,0.72,0.015600000000000001
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_42,single set of methods,110,185,5,0.83,0.0174
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_42,single set of methods,185,200,6,0.79,0.0173
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_43,single set of methods,0,15,1,0.5,0.0245
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_43,single set of methods,15,30,2,0.55,0.0218
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_43,single set of methods,30,45,3,0.6,0.0219
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_43,single set of methods,45,110,4,0.67,0.022400000000000003
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_43,single set of methods,110,185,5,0.66,0.0256
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_43,single set of methods,185,200,6,0.55,0.0297
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_44,single set of methods,0,15,1,0.86,0.0181
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_44,single set of methods,15,30,2,0.97,0.0149
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_44,single set of methods,30,45,3,0.91,0.015300000000000001
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_44,single set of methods,45,110,4,0.95,0.0147
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_44,single set of methods,110,185,5,0.94,0.0144
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_44,single set of methods,185,200,6,0.82,0.017
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_45,single set of methods,0,15,1,0.63,0.0268
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_45,single set of methods,15,30,2,0.65,0.022400000000000003
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_45,single set of methods,30,45,3,0.7,0.0264
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_45,single set of methods,45,110,4,0.73,0.0359
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_45,single set of methods,110,185,5,1.14,0.0165
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_45,single set of methods,185,200,6,1.06,0.0144
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_46,single set of methods,0,15,1,0.76,0.0322
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_46,single set of methods,15,30,2,0.77,0.0178
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_46,single set of methods,30,45,3,0.74,0.0301
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_46,single set of methods,45,110,4,1.04,0.0308
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_46,single set of methods,110,185,5,1.73,0.0116
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_46,single set of methods,185,200,6,1.8,0.0087
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_47,single set of methods,0,15,1,0.89,0.0169
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_47,single set of methods,15,30,2,1,0.014499999999999999
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_47,single set of methods,30,45,3,0.87,0.0194
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_47,single set of methods,45,110,4,0.79,0.0213
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_47,single set of methods,110,185,5,0.98,0.018500000000000003
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_47,single set of methods,185,200,6,0.94,0.0179
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_48,single set of methods,0,15,1,0.72,0.018600000000000002
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_48,single set of methods,15,30,2,0.76,0.018500000000000003
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_48,single set of methods,30,45,3,0.66,0.0194
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_48,single set of methods,45,110,4,0.69,0.0173
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_48,single set of methods,110,185,5,0.87,0.017
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_48,single set of methods,185,200,6,0.88,0.0144
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_49,single set of methods,0,15,1,0.98,0.0242
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_49,single set of methods,15,30,2,0.98,0.019299999999999998
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_49,single set of methods,30,45,3,0.9,0.0265
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_49,single set of methods,45,110,4,1.07,0.043
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_49,single set of methods,110,185,5,1.24,0.0181
Dai_et_al_2022,Rufiji_River_Delta,Rufiji_River_Delta_49,single set of methods,185,200,6,1.44,0.0096
