"study_id","bibliography_id","publication_type","bibtype","doi","title","author","publisher","year","url","month","volume","number","pages","journal","editor","booktitle","issn"
"Cifuentes_Unpublished","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"DelVecchia_et_al_2014","DelVecchia_et_al_2014_article","synthesis source","Article","10.7717/peerj.388","Organic carbon inventories in natural and restored Ecuadorian mangrove forests","Amanda G. DelVecchia and John F. Bruno and Larry Benninger and Marc Alperin and Ovik Banerjee and Juan {de Dios Morales}","{PeerJ}","2014","https://doi.org/10.7717/peerj.388","may","2",NA,"e388","{PeerJ}",NA,NA,NA
"DelVecchia_et_al_2014","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Dissanayake_and_Chandrasekara_2014","Dissanayake_and_Chandrasekara_2014_article","synthesis source","Article","10.1155/2014/564056","Effects of Mangrove Zonation and the Physicochemical Parameters of Soil on the Distribution of Macrobenthic Fauna in Kadolkele Mangrove Forest, a Tropical Mangrove Forest in Sri Lanka","Navodha Dissanayake and Upali Chandrasekara","Hindawi Limited","2014","https://doi.org/10.1155/2014/564056",NA,"2014",NA,"1--13","Advances in Ecology",NA,NA,NA
"Dissanayake_and_Chandrasekara_2014","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Donato_et_al_2011","Donato_et_al_2011_article","synthesis source","Article","10.1038/ngeo1123","Mangroves among the most carbon-rich forests in the tropics","Daniel C. Donato and J. Boone Kauffman and Daniel Murdiyarso and Sofyan Kurnianto and Melanie Stidham and Markku Kanninen","Springer Science and Business Media {LLC}","2011","https://doi.org/10.1038/ngeo1123","apr","4","5","293--297","Nature Geoscience",NA,NA,NA
"Donato_et_al_2011","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Donato_et_al_2012","Donato_et_al_2012_article","synthesis source","Article","10.1016/j.jenvman.2011.12.004","Whole-island carbon stocks in the tropical Pacific: Implications for mangrove conservation and upland restoration","D.C. Donato and J.B. Kauffman and R.A. Mackenzie and A. Ainsworth and A.Z. Pfleeger","Elsevier {BV}","2012","https://doi.org/10.1016/j.jenvman.2011.12.004","apr","97",NA,"89--96","Journal of Environmental Management",NA,NA,NA
"Donato_et_al_2012","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Duncan_et_al_2016","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Dung_et_al_2016","Dung_et_al_2016_article","synthesis source","Article","10.1016/j.foreco.2016.08.032","Carbon storage in a restored mangrove forest in Can Gio Mangrove Forest Park, Mekong Delta, Vietnam","Luu Viet Dung and Nguyen Tai Tue and Mai Trong Nhuan and Koji Omori","Elsevier {BV}","2016","https://doi.org/10.1016/j.foreco.2016.08.032","nov","380",NA,"31--40","Forest Ecology and Management",NA,NA,NA
"Dung_et_al_2016","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Dutta_et_al_2013","Dutta_et_al_2013_article","synthesis source","Article","10.1016/j.atmosenv.2013.05.050","Dynamics and exchange fluxes of methane in the estuarine mangrove environment of the Sundarbans, {NE} coast of India","M.K. Dutta and C. Chowdhury and T.K. Jana and S.K. Mukhopadhyay","Elsevier {BV}","2013","https://doi.org/10.1016/j.atmosenv.2013.05.050","oct","77",NA,"631--639","Atmospheric Environment",NA,NA,NA
"Dutta_et_al_2013","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Eid_and_Shaltout_2016_Egypt","Eid_and_Shaltout_2016_article","synthesis source","Article","10.1016/j.rsma.2015.05.006","Distribution of soil organic carbon in the mangrove Avicennia marina (Forssk.) Vierh. along the Egyptian Red Sea Coast","Ebrahem M. Eid and Kamal H. Shaltout","Elsevier BV","2016","http://dx.doi.org/10.1016/j.rsma.2015.05.006","jan","3",NA,"76–82","Regional Studies in Marine Science",NA,NA,"2352-4855"
"Eid_and_Shaltout_2016_Egypt","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Eid_et_al_2016_Saudi_Arabia","Eid_et_al_2016_article","synthesis source","Article","10.1007/s12210-016-0542-6","Distribution of soil organic carbon in the mangrove forests along the southern Saudi Arabian Red Sea coast","Ebrahem M. Eid and Ahmed F. El-Bebany and Sulaiman A. Alrumman","Springer Science and Business Media LLC","2016","http://dx.doi.org/10.1007/s12210-016-0542-6","jun","27","4","629–637","Rendiconti Lincei",NA,NA,"1720-0776"
"Eid_et_al_2016_Saudi_Arabia","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Ezcurra_et_al_2016","Ezcurra_et_al_2016_article","synthesis source","Article","10.1073/pnas.1519774113","Coastal landforms and accumulation of mangrove peat increase carbon sequestration and storage","Paula Ezcurra and Exequiel Ezcurra and Pedro P. GarcillÃ¡n and Matthew T. Costa and Octavio Aburto-Oropeza","Proceedings of the National Academy of Sciences","2016","https://doi.org/10.1073/pnas.1519774113","mar","113","16","4404--4409","Proceedings of the National Academy of Sciences",NA,NA,NA
"Ezcurra_et_al_2016","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Ferreira_et_al_2007","Ferreira_et_al_2007_article","synthesis source","Article","10.1016/j.catena.2006.07.006","Are mangrove forest substrates sediments or soils? A case study in southeastern Brazil","T.O. Ferreira and P. Vidal-Torrado and X.L. Otero and F. Mac\'\ias","Elsevier {BV}","2007","https://doi.org/10.1016/j.catena.2006.07.006","jun","70","1","79--91","{CATENA}",NA,NA,NA
"Ferreira_et_al_2007","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Frith_et_al_1976","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Frusher_et_al_1994","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Fujimoto_et_al_1999","Fujimoto_et_al_1999_article","synthesis source","Article","10.1046/j.1440-1703.1999.00313.x","Belowground carbon storage of Micronesian mangrove forests","Kiyoshi Fujimoto and Akihiro Imaya and Ryuichi Tabuchi and Shigeo Kuramoto and Hajime Utsugi and Tamon Murofushi","Wiley","1999","https://doi.org/10.1046/j.1440-1703.1999.00313.x","dec","14","4","409--413","Ecological Research",NA,NA,NA
"Fujimoto_et_al_1999","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Gevana_and_Pampolina_2009","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Giani_et_al_1996","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Gillis_et_al_2017","Gillis_et_al_2017_article","synthesis source","Article","10.1016/j.seares.2016.12.006","Driving forces of organic carbon spatial distribution in the tropical seascape","L.G. Gillis and F.E. Belshe and A.D. Ziegler and T.J. Bouma","Elsevier {BV}","2017","https://doi.org/10.1016/j.seares.2016.12.006","feb","120",NA,"35--40","Journal of Sea Research",NA,NA,NA
"Gillis_et_al_2017","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Gleason_and_Ewel_2002","Gleason_and_Ewel_2002_article","synthesis source","Article","10.1111/j.1744-7429.2002.tb00530.x","Organic Matter Dynamics on the Forest Floor of a Micronesian Mangrove Forest: An Investigation of Species Composition Shifts1","Sean M. Gleason and Katherine C. Ewel","Wiley","2002","https://doi.org/10.1111/j.1744-7429.2002.tb00530.x","jun","34","2","190--198","Biotropica",NA,NA,NA
"Gleason_and_Ewel_2002","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Gomes_et_al_2016","Gomes_et_al_2016_article","synthesis source","Article","10.5935/1806-6690.20160072","Characterization and pedogenesis of mangrove soils from Ilh{\'{e}}us - {BA}, Brazil","Felipe Haenel Gomes and JoÃ£o Carlos Ker and Tiago OsÃ³rio Ferreira and Ana Maria Souza {dos Santos Moreau} and Maur\'\icio Santana Moreau","{GN}1 Genesis Network","2016","https://doi.org/10.5935/1806-6690.20160072",NA,"47",NA,NA,"{REVISTA} {CI}{\^{E}}{NCIA} {AGRON}{\^{O}}{MICA}",NA,NA,NA
"Gomes_et_al_2016","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Gonneea_et_al_2004","Gonneea_et_al_2004_article","synthesis source","Article","10.1016/j.ecss.2004.04.015","Tracing organic matter sources and carbon burial in mangrove sediments over the past 160 years","Meagan Eagle Gonneea and Adina Paytan and Jorge A. Herrera-Silveira","Elsevier {BV}","2004","https://doi.org/10.1016/j.ecss.2004.04.015","oct","61","2","211--227","Estuarine, Coastal and Shelf Science",NA,NA,NA
"Gonneea_et_al_2004","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"He_et_al_2002","He_et_al_2002_article","synthesis source","Article",NA,"Studies on soil physical and chemical properties and enzyme activities of different mangrove communities in Yingluo Bay of Guangxi","He, Bin and Wen, Yuanguang and Yuan, Xia and Liang, Hongwen and Liu, Shirong",NA,"2002",NA,NA,"38","2",NA,"Scientia Silvae Sinicae",NA,NA,NA
"He_et_al_2002","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Howe_et_al_2009","Howe_et_al_2009_article","synthesis source","Article","10.1016/j.ecss.2009.06.006","Surface evolution and carbon sequestration in disturbed and undisturbed wetland~soils of the Hunter estuary, southeast Australia","A.J. Howe and J.F. Rodr\'\iguez and P.M. Saco","Elsevier {BV}","2009","https://doi.org/10.1016/j.ecss.2009.06.006","aug","84","1","75--83","Estuarine, Coastal and Shelf Science",NA,NA,NA
"Howe_et_al_2009","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Hu_et_al_2010","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Jennerjahn_and_Ittekkot_1997","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Jennerjahn_and_Ittekkot_2002","Jennerjahn_and_Ittekkot_2002_article","synthesis source","Article","10.1007/s00114-001-0283-x","Relevance of mangroves for the production and deposition of organic matter along tropical continental margins","Tim C. Jennerjahn and Venugopalan Ittekkot","Springer Science and Business Media {LLC}","2002","https://doi.org/10.1007/s00114-001-0283-x","jan","89","1","23--30","Naturwissenschaften",NA,NA,NA
"Jennerjahn_and_Ittekkot_2002","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Jones_et_al_2016","Jones_et_al_2016_article","synthesis source","InCollection","10.1007/978-3-319-25370-1_5","The Mangroves of Ambanja and Ambaro Bays, Northwest Madagascar: Historical Dynamics, Current Status and Deforestation Mitigation Strategy","Trevor Gareth Jones and Harifidy Rakoto Ratsimba and Aude Carro and Lalao Ravaoarinorotsihoarana and Leah Glass and Marianne Teoh and Lisa Benson and Garth Cripps and Chandra Giri and Bienvenue Zafindrasilivonona and Raymond Raherindray and Zo Andriamahenina and Mialy Andriamahefazafy","Springer International Publishing","2016","https://doi.org/10.1007/978-3-319-25370-1_5",NA,NA,NA,"67--85",NA,NA,"Estuaries of the World",NA
"Jones_et_al_2016","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Kao_et_al_2002","Kao_et_al_2002_article","synthesis source","Article",NA,"Nutrient contents, d13C and d15N during leaf senescence in the mangrove, Kandelia candel (L.) Druce","Kao, Wen-Yuan and Tsai, Hung-Chieh and Shih, Chen-Ning and Tsai, Tyng-Tyng and Handley, Linda L",NA,"2002",NA,NA,"43",NA,NA,"Botanical Bulletin of Academia Sinica",NA,NA,NA
"Kao_et_al_2002","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Kauffman_et_al_2016","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Kauffmann_et_al_2011","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Kauffmann_et_al_2014","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Kazungu_1996","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Kelleway_et_al_2016","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Keuskamp_et_al_2013","Keuskamp_et_al_2013_article","synthesis source","Article","10.1016/j.soilbio.2012.08.007","Nutrient amendment does not increase mineralisation of sequestered carbon during incubation of a nitrogen limited mangrove soil","Joost A. Keuskamp and Heike Schmitt and Hendrikus J. Laanbroek and Jos T.A. Verhoeven and Mariet M. Hefting","Elsevier {BV}","2013","https://doi.org/10.1016/j.soilbio.2012.08.007","feb","57",NA,"822--829","Soil Biology and Biochemistry",NA,NA,NA
"Keuskamp_et_al_2013","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Khan_et_al_2007","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Kristensen_et_al_1992","Kristensen_et_al_1992_article","synthesis source","Article",NA,"Preliminary study of benthic metabolism and sulfate reduction in a mangrove swamp of the Indus Delta, Pakistan","Kristensen, Erik and Devol, Allan H and Ahmed, Saiyed I and Saleem, Monawwar",NA,"1992","https://www.jstor.org/stable/24832497",NA,NA,NA,NA,"Marine Ecology Progress Series",NA,NA,NA
"Kristensen_et_al_1992","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Kristensen_et_al_2000","Kristensen_et_al_2000_article","synthesis source","Article","10.3354/ame022199","Carbon and nitrogen mineralization in sediments of the {Bangrong} mangrove area, {Phuket}, {Thailand}","{Erik Kristensen} and {Frede Andersen} and {Nikolaj Holmboe} and {Marianne Holmer} and {Nalinee Thongtham}",NA,"2000","https://www.int-res.com/abstracts/ame/v22/n2/p199-213/",NA,"22","2","199--213","Aquatic Microbial Ecology",NA,NA,NA
"Kristensen_et_al_2000","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Lacerda_et_al_1995","Lacerda_et_al_1995_article","synthesis source","Article","10.1006/ecss.1995.0048","Biogeochemistry of Mangrove Soil Organic Matter: a Comparison {BetweenRhizophoraandAvicenniaSoils} in South-eastern Brazil","L.D. Lacerda and V. Ittekkot and S.R. Patchineelam","Elsevier {BV}","1995","https://doi.org/10.1006/ecss.1995.0048","jun","40","6","713--720","Estuarine, Coastal and Shelf Science",NA,NA,NA
"Lacerda_et_al_1995","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Lallier-Verges_et_al_1998","Lallier-Verges_et_al_1998_article","synthesis source","Article","10.1016/s0146-6380(98)00179-x","Relationships between environmental conditions and the diagenetic evolution of organic matter derived from higher plants in a modern mangrove swamp system (Guadeloupe, French West Indies)","Elisabeth Lallier-Verges and Benoit P Perrussel and Jean-Robert Disnar and Frederic Baltzer","Elsevier {BV}","1998","https://doi.org/10.1016/s0146-6380(98)00179-x","nov","29",NA,"1663--1686","Organic Geochemistry",NA,NA,NA
"Lallier-Verges_et_al_1998","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Lang'at_et_al_2014","Lang'at_et_al_2014_article","synthesis source","Article","10.1371/journal.pone.0107868","Rapid Losses of Surface Elevation following Tree Girdling and Cutting in Tropical Mangroves","Joseph Kipkorir Sigi Lang\textquotesingleat and James G. Kairo and Maurizio Mencuccini and Steven Bouillon and Martin W. Skov and Susan Waldron and Mark Huxham","Public Library of Science ({PLoS})","2014","https://doi.org/10.1371/journal.pone.0107868","sep","9","9","e107868","{PLoS} {ONE}","Vanesa Magar",NA,NA
"Lang'at_et_al_2014","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Lee_and_Baker_1972","Lee_and_Baker_1972_article","synthesis source","Article",NA,"An ecological study of the soil microfungi in a Hawaiian mangrove swamp","Lee, Benny KH and Baker, Gladys E",NA,"1972",NA,NA,"26",NA,NA,"Pacific Science",NA,NA,NA
"Lee_and_Baker_1972","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Leopold_et_al_2013","Leopold_et_al_2013_article","synthesis source","Article","10.1016/j.geoderma.2013.03.008","Influence of mangrove zonation on {CO}2 fluxes at the sediment{\textendash}air interface (New Caledonia)","A. Leopold and C. Marchand and J. Deborde and C. Chaduteau and M. Allenbach","Elsevier {BV}","2013","https://doi.org/10.1016/j.geoderma.2013.03.008","jul",NA,NA,"62--70","Geoderma",NA,NA,NA
"Leopold_et_al_2013","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Liu_2005","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Liu_et_al_2008","Liu_et_al_2008_article","synthesis source","Article",NA,"Fractal characteristics and related affecting factors of particle size distribution in mangrove soils in Dongzhai Harbor of Hainan","LIU, Mei-ling and YE, Yong and CAO, Chang-qing and TANG, Fei-long",NA,"2008",NA,NA,"9",NA,NA,"Chinese Journal of Ecology",NA,NA,NA
"Liu_et_al_2008","Sanderman_2018_data","synthesis dataset","Misc","10.7910/dvn/ocyuit","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman","Harvard Dataverse","2017","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT",NA,NA,NA,NA,NA,NA,NA,NA
"Liu_et_al_2014","Liu_et_al_2014_article","synthesis source","Article","10.1016/j.jenvman.2013.11.037","Carbon stocks and potential carbon storage in the mangrove forests of~China","Hongxiao Liu and Hai Ren and Dafeng Hui and Wenqing Wang and Baowen Liao and Qingxian Cao","Elsevier {BV}","2014","https://doi.org/10.1016/j.jenvman.2013.11.037","jan","133",NA,"86--93","Journal of Environmental Management",NA,NA,NA
