,,,,,,,,,,,,QMD for each class (cm),,,Specific Gravities (kg m-3),,,,
1314,2,NE,0,0,0,0,3,4,6,,,20.40,3.95,0.33,0.00,0.00,14.49,2.53,0.16
1314,2,NW,0,0,0,0,3,6,7,,,20.40,5.93,0.39,0.00,0.00,14.49,3.79,0.19
1314,2,SE,0,0,0,0,0,2,9,,,0.00,1.98,0.50,0.00,0.00,0.00,1.26,0.24
1314,2,SW,0,0,0,0,1,7,1,,,6.80,6.92,0.06,0.00,0.00,4.83,4.43,0.03
1314,3,E,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1314,3,N,0,0,0,0,0,0,3,,,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.08
1314,3,S,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1314,3,W,0,0,0,0,0,3,9,,,0.00,2.96,0.50,0.00,0.00,0.00,1.90,0.24
1314,4,NE,0,0,0,0,0,0,3,,,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.08
1314,4,NW,0,0,0,0,3,6,0,,,20.40,5.93,0.00,0.00,0.00,14.49,3.79,0.00
1314,4,SE,0,0,0,0,3,6,19,,,20.40,5.93,1.05,0.00,0.00,14.49,3.79,0.51
1314,4,SW,0,0,0,0,0,1,4,,,0.00,0.99,0.22,0.00,0.00,0.00,0.63,0.11
1314,5,E,0,0,0,0,0,2,11,,,0.00,1.98,0.61,0.00,0.00,0.00,1.26,0.29
1314,5,N,0,0,0,0,1,6,15,,,6.80,5.93,0.83,0.00,0.00,4.83,3.79,0.40
1314,5,S,11.9,141.61,0,0,1,1,1,1.22,,6.80,0.99,0.06,0.84,0.00,4.83,0.63,0.03
1314,5,W,0,0,0,0,0,0,3,,,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.08
1317,1,E,0,0,0,0,0,0,2,,,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.05
1317,1,N,0,0,0,0,0,0,3,,,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.08
1317,1,S,0,0,0,0,0,0,5,,,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.13
1317,1,W,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1317,2,NE,0,0,0,0,0,0,5,,,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.13
1317,2,NW,0,0,0,0,0,5,3,,,0.00,4.94,0.17,0.00,0.00,0.00,3.16,0.08
1317,2,SE,0,0,0,0,3,4,2,,,20.40,3.95,0.11,0.00,0.00,14.49,2.53,0.05
1317,2,SW,0,0,0,0,0,0,1,,,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.03
1317,3,E,0,0,0,0,0,0,1,,,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.03
1317,3,N,0,0,0,0,0,2,5,,,0.00,1.98,0.28,0.00,0.00,0.00,1.26,0.13
1317,3,S,0,0,0,0,2,0,10,,,13.60,0.00,0.56,0.00,0.00,9.66,0.00,0.27
1317,3,W,0,0,0,0,0,0,2,,,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.05
1317,4,NE,0,0,0,0,0,1,5,,,0.00,0.99,0.28,0.00,0.00,0.00,0.63,0.13
1317,4,NW,0,0,0,0,0,0,4,,,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.11
1317,4,SE,0,0,0,0,0,1,4,,,0.00,0.99,0.22,0.00,0.00,0.00,0.63,0.11
1317,4,SW,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1359,1,E,7,49,0,0,0,4,0,1.70,,0.00,3.95,0.00,1.17,0.00,0.00,2.53,0.00
1359,1,E,9.5,90.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1359,1,N,0,0,0,0,2,0,0,,,13.60,0.00,0.00,0.00,0.00,9.66,0.00,0.00
1359,1,S,9.3,86.49,0,0,3,2,6,0.96,,20.40,1.98,0.33,0.66,0.00,14.49,1.26,0.16
1359,1,W,0,0,0,0,1,4,3,,,6.80,3.95,0.17,0.00,0.00,4.83,2.53,0.08
1359,2,NE,0,0,0,0,1,5,0,,,6.80,4.94,0.00,0.00,0.00,4.83,3.16,0.00
1359,2,NW,11,121,9.5,90.25,2,0,0,1.13,0.98,13.60,0.00,0.00,0.78,0.28,9.66,0.00,0.00
1359,2,SE,0,0,18.3,334.89,0,6,0,,1.88,0.00,5.93,0.00,0.00,0.54,0.00,3.79,0.00
1359,2,SW,0,0,22.3,497.29,1,4,0,,4.08,6.80,3.95,0.00,0.00,1.17,4.83,2.53,0.00
1359,2,SW,,0,17.4,302.76,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1359,3,E,0,0,0,0,1,0,0,,,6.80,0.00,0.00,0.00,0.00,4.83,0.00,0.00
1359,3,N,0,0,0,0,0,13,7,,,0.00,12.84,0.39,0.00,0.00,0.00,8.22,0.19
1359,3,S,6.5,42.25,7,49,1,0,1,0.67,0.72,6.80,0.00,0.06,0.46,0.21,4.83,0.00,0.03
1359,3,W,0,0,0,0,0,2,3,,,0.00,1.98,0.17,0.00,0.00,0.00,1.26,0.08
1359,4,NE,0,0,0,0,1,2,3,,,6.80,1.98,0.17,0.00,0.00,4.83,1.26,0.08
1359,4,NW,0,0,0,0,0,6,1,,,0.00,5.93,0.06,0.00,0.00,0.00,3.79,0.03
1359,4,SE,23.5,552.25,0,0,0,0,2,2.42,,0.00,0.00,0.11,1.67,0.00,0.00,0.00,0.05
1359,4,SW,0,0,0,0,1,0,0,,,6.80,0.00,0.00,0.00,0.00,4.83,0.00,0.00
1359,5,E,8,64,14,196,3,0,3,0.82,1.44,20.40,0.00,0.17,0.57,0.41,14.49,0.00,0.08
1359,5,N,10.3,106.09,0,0,3,0,0,1.06,,20.40,0.00,0.00,0.73,0.00,14.49,0.00,0.00
1359,5,S,0,0,0,0,3,5,5,,,20.40,4.94,0.28,0.00,0.00,14.49,3.16,0.13
1359,5,W,11.7,136.89,8.5,72.25,0,3,3,3.77,0.87,0.00,2.96,0.17,2.60,0.25,0.00,1.90,0.08
1361,1,E,12,144,0,0,2,2,4,,,13.60,1.98,0.22,0.00,0.00,9.66,1.26,0.11
1361,1,E,13,169,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1361,1,N,0,0,0,0,0,0,3,,,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.08
1361,1,S,0,0,0,0,0,2,3,,,0.00,1.98,0.17,0.00,0.00,0.00,1.26,0.08
1361,1,W,0,0,0,0,1,5,5,,,6.80,4.94,0.28,0.00,0.00,4.83,3.16,0.13
1361,2,NE,0,0,0,0,0,2,0,,,0.00,1.98,0.00,0.00,0.00,0.00,1.26,0.00
1361,2,NW,9,81,0,0,1,0,0,0.93,,6.80,0.00,0.00,0.64,0.00,4.83,0.00,0.00
1361,2,SE,14,196,0,0,2,3,2,2.98,,13.60,2.96,0.11,2.06,0.00,9.66,1.90,0.05
1361,2,SE,15,225,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1361,2,SW,9,81,0,0,0,1,2,0.93,,0.00,0.99,0.11,0.64,0.00,0.00,0.63,0.05
1361,3,E,0,0,0,0,0,2,1,,,0.00,1.98,0.06,0.00,0.00,0.00,1.26,0.03
1361,3,N,0,0,0,0,0,4,6,,,0.00,3.95,0.33,0.00,0.00,0.00,2.53,0.16
1361,3,S,11,121,0,0,0,4,3,2.42,,0.00,3.95,0.17,1.67,0.00,0.00,2.53,0.08
1361,3,S,12.5,156.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1361,3,W,0,0,0,0,0,1,1,,,0.00,0.99,0.06,0.00,0.00,0.00,0.63,0.03
1361,4,NE,0,0,0,0,0,1,3,,,0.00,0.99,0.17,0.00,0.00,0.00,0.63,0.08
1361,4,NW,0,0,0,0,0,1,4,,,0.00,0.99,0.22,0.00,0.00,0.00,0.63,0.11
1361,4,SE,14,196,0,0,0,0,0,4.77,,0.00,0.00,0.00,3.29,0.00,0.00,0.00,0.00
1361,4,SE,10.5,110.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1361,4,SE,14.4,207.36,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1361,4,SE,7.5,56.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1361,4,SW,8,64,0,0,0,1,0,0.82,,0.00,0.99,0.00,0.57,0.00,0.00,0.63,0.00
1361,5,E,11.5,132.25,44.8,2007.04,5,3,0,5.61,5.74,34.00,2.96,0.00,3.87,1.65,24.14,1.90,0.00
1361,5,E,11.5,132.25,11,121,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1361,5,E,13.3,176.89,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1361,5,E,10.8,116.64,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1361,5,E,7.5,56.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1361,5,N,0,0,0,0,0,1,2,,,0.00,0.99,0.11,0.00,0.00,0.00,0.63,0.05
1361,5,S,9.3,86.49,0,0,0,9,0,2.48,,0.00,8.89,0.00,1.71,0.00,0.00,5.69,0.00
1361,5,S,14.8,219.04,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1361,5,W,0,0,0,0,0,1,3,,,0.00,0.99,0.17,0.00,0.00,0.00,0.63,0.08
1382,1,E,8.9,79.21,7.6,57.76,15,6,0,5.10,3.88,102.01,5.93,0.00,3.52,1.11,72.43,3.79,0.00
1382,1,E,14.1,198.81,8.7,75.69,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1382,1,E,8.6,73.96,3.7,13.69,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1382,1,E,8,64,17.7,313.29,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1382,1,E,10,100,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1382,1,N,0,0,0,0,2,4,0,,,13.60,3.95,0.00,0.00,0.00,9.66,2.53,0.00
1382,1,S,0,0,0,0,1,1,3,,,6.80,0.99,0.17,0.00,0.00,4.83,0.63,0.08
1382,1,W,0,0,0,0,30,15,0,,,204.02,14.82,0.00,0.00,0.00,144.86,9.48,0.00
1382,2,NE,12.5,156.25,0,0,4,3,0,1.29,,27.20,2.96,0.00,0.89,0.00,19.31,1.90,0.00
1382,2,NW,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1382,2,SE,0,0,10,100,15,0,0,,1.85,102.01,0.00,0.00,0.00,0.53,72.43,0.00,0.00
1382,2,SE,,0,8,64,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1382,2,SW,7.4,54.76,0,0,0,0,1,0.76,,0.00,0.00,0.06,0.52,0.00,0.00,0.00,0.03
1382,3,E,0,0,0,0,5,0,0,,,34.00,0.00,0.00,0.00,0.00,24.14,0.00,0.00
1382,3,N,0,0,0,0,12,0,0,,,81.61,0.00,0.00,0.00,0.00,57.94,0.00,0.00
1382,3,S,10,100,9,81,1,4,1,1.03,0.93,6.80,3.95,0.06,0.71,0.27,4.83,2.53,0.03
1382,3,W,0,0,0,0,5,0,0,,,34.00,0.00,0.00,0.00,0.00,24.14,0.00,0.00
1382,4,NE,11,121,0,0,2,1,0,2.81,,13.60,0.99,0.00,1.94,0.00,9.66,0.63,0.00
1382,4,NE,7,49,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1382,4,NE,9.3,86.49,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1382,4,NW,0,0,0,0,29,3,0,,,197.22,2.96,0.00,0.00,0.00,140.03,1.90,0.00
1382,4,SE,9,81,0,0,20,10,0,0.93,,136.02,9.88,0.00,0.64,0.00,96.57,6.32,0.00
1382,4,SW,7.5,56.25,0,0,1,3,0,1.50,,6.80,2.96,0.00,1.04,0.00,4.83,1.90,0.00
1382,4,SW,7.1,50.41,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1382,5,E,0,0,0,0,9,3,0,,,61.21,2.96,0.00,0.00,0.00,43.46,1.90,0.00
1382,5,N,16,256,0,0,2,4,0,5.36,,13.60,3.95,0.00,3.70,0.00,9.66,2.53,0.00
1382,5,N,9.2,84.64,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1382,5,N,10,100,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1382,5,N,8.4,70.56,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1382,5,N,8.5,72.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1382,5,S,0,0,0,0,3,0,1,,,20.40,0.00,0.06,0.00,0.00,14.49,0.00,0.03
1382,5,W,0,0,0,0,4,6,0,,,27.20,5.93,0.00,0.00,0.00,19.31,3.79,0.00
9001,1,E,32.5,1056.25,0,0,1,2,2,7.40,,6.80,1.98,0.11,5.11,0.00,4.83,1.26,0.05
9001,1,E,39.5,1560.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9001,1,N,28.5,812.25,0,0,2,1,2,2.93,,13.60,0.99,0.11,2.02,0.00,9.66,0.63,0.05
9001,1,S,0,0,9.5,90.25,0,1,4,,1.80,0.00,0.99,0.22,0.00,0.52,0.00,0.63,0.11
9001,1,S,,0,8,64,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9001,1,W,0,0,0,0,5,0,0,,,34.00,0.00,0.00,0.00,0.00,24.14,0.00,0.00
9001,2,NW,0,0,10.3,106.09,1,1,4,,1.98,6.80,0.99,0.22,0.00,0.57,4.83,0.63,0.11
9001,2,NW,0,0,9,81,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9001,2,SE,9,81,30.2,912.04,1,3,0,0.93,3.10,6.80,2.96,0.00,0.64,0.89,4.83,1.90,0.00
9001,2,SW,9.5,90.25,0,0,0,0,2,2.43,,0.00,0.00,0.11,1.67,0.00,0.00,0.00,0.05
9001,2,SW,14.1,198.81,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9001,2,W,8.2,67.24,0,0,0,4,11,1.99,,0.00,3.95,0.61,1.38,0.00,0.00,2.53,0.29
9001,2,W,11.2,125.44,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9001,3,E,0,0,0,0,2,1,0,,,13.60,0.99,0.00,0.00,0.00,9.66,0.63,0.00
9001,3,N,7.5,56.25,0,0,7,7,0,8.98,,47.61,6.92,0.00,6.19,0.00,33.80,4.43,0.00
9001,3,N,30,900,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9001,3,N,26.1,681.21,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9001,3,N,14,196,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9001,3,N,9.7,94.09,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9001,3,S,10.6,112.36,0,0,1,0,3,4.00,,6.80,0.00,0.17,2.76,0.00,4.83,0.00,0.08
9001,3,S,28.3,800.89,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9001,3,W,11.6,134.56,0,0,4,0,2,4.45,,27.20,0.00,0.11,3.07,0.00,19.31,0.00,0.05
9001,3,W,31.7,1004.89,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9001,4,NE,21,441,0,0,2,5,3,4.03,,13.60,4.94,0.17,2.78,0.00,9.66,3.16,0.08
9001,4,NE,18.2,331.24,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9001,4,NW,0,0,18.8,353.44,2,3,2,,1.93,13.60,2.96,0.11,0.00,0.55,9.66,1.90,0.05
9001,4,SE,0,0,0,0,2,1,5,,,13.60,0.99,0.28,0.00,0.00,9.66,0.63,0.13
9001,4,SW,8.1,65.61,0,0,6,1,0,3.02,,40.80,0.99,0.00,2.09,0.00,28.97,0.63,0.00
9001,4,SW,21.3,453.69,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9001,5,E,0,0,0,0,0,3,2,,,0.00,2.96,0.11,0.00,0.00,0.00,1.90,0.05
9001,5,N,0,0,0,0,4,0,2,,,27.20,0.00,0.11,0.00,0.00,19.31,0.00,0.05
9001,5,S,0,0,0,0,2,5,2,,,13.60,4.94,0.11,0.00,0.00,9.66,3.16,0.05
9001,5,W,21.5,462.25,0,0,0,1,4,3.98,,0.00,0.99,0.22,2.75,0.00,0.00,0.63,0.11
9001,5,W,17.2,295.84,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,1,E,0,0,10.5,110.25,1,0,0,,1.08,6.80,0.00,0.00,0.00,0.31,4.83,0.00,0.00
9002,1,N,15,225,0,0,2,1,3,1.54,,13.60,0.99,0.17,1.06,0.00,9.66,0.63,0.08
9002,1,S,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,1,W,16,256,12.8,163.84,2,1,3,3.31,2.36,13.60,0.99,0.17,2.28,0.68,9.66,0.63,0.08
9002,1,W,16.2,262.44,10.2,104.04,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,2,NE,12.5,156.25,0,0,2,16,22,3.89,,13.60,15.81,1.22,2.68,0.00,9.66,10.12,0.59
9002,2,NE,15,225,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,2,NE,10.3,106.09,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,2,NW,36,1296,37,1369,0,5,4,6.43,3.80,0.00,4.94,0.22,4.43,1.09,0.00,3.16,0.11
9002,2,NW,14,196,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,2,NW,12.5,156.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,2,SE,13.7,187.69,0,0,1,5,16,4.11,,6.80,4.94,0.89,2.84,0.00,4.83,3.16,0.43
9002,2,SE,15,225,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,2,SE,11.3,127.69,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,2,SW,26.3,691.69,19.5,380.25,0,0,2,6.35,5.19,0.00,0.00,0.11,4.38,1.49,0.00,0.00,0.05
9002,2,SW,35.5,1260.25,17,289,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,2,SW,,0,14,196,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,3,E,6.5,42.25,8,64,3,0,2,1.32,5.01,20.40,0.00,0.11,0.91,1.44,14.49,0.00,0.05
9002,3,E,6.3,39.69,8.5,72.25,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,3,E,,0,22.2,492.84,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,3,E,,0,10,100,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,3,N,17,289,0,0,1,4,0,2.57,,6.80,3.95,0.00,1.77,0.00,4.83,2.53,0.00
9002,3,N,8,64,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,3,S,13.2,174.24,12,144,0,0,3,1.36,1.23,0.00,0.00,0.17,0.94,0.35,0.00,0.00,0.08
9002,3,W,15.2,231.04,12.5,156.25,0,4,3,2.46,1.29,0.00,3.95,0.17,1.70,0.37,0.00,2.53,0.08
9002,3,W,8.7,75.69,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,4,NE,17.5,306.25,0,0,12,10,11,5.81,,81.61,9.88,0.61,4.01,0.00,57.94,6.32,0.29
9002,4,NE,7.5,56.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,4,NE,9,81,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,4,NE,14.5,210.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,4,NE,8,64,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9002,4,NW,19.8,392.04,0,0,3,0,5,2.04,,20.40,0.00,0.28,1.40,0.00,14.49,0.00,0.13
9002,4,SE,0,0,0,0,0,2,0,,,0.00,1.98,0.00,0.00,0.00,0.00,1.26,0.00
9002,4,SW,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9003,1,E,19.6,384.16,0,0,1,2,2,2.02,,6.80,1.98,0.11,1.39,0.00,4.83,1.26,0.05
9003,1,N,0,0,0,0,0,1,3,,,0.00,0.99,0.17,0.00,0.00,0.00,0.63,0.08
9003,1,S,8.7,75.69,0,0,0,3,2,0.89,,0.00,2.96,0.11,0.62,0.00,0.00,1.90,0.05
9003,1,W,12.5,156.25,0,0,0,2,4,3.14,,0.00,1.98,0.22,2.16,0.00,0.00,1.26,0.11
9003,1,W,18,324,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9003,2,NE,8.9,79.21,0,0,2,11,9,0.91,,13.60,10.87,0.50,0.63,0.00,9.66,6.96,0.24
9003,2,NW,16,256,9.5,90.25,3,6,2,3.14,0.98,20.40,5.93,0.11,2.16,0.28,14.49,3.79,0.05
9003,2,NW,14.5,210.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9003,2,SE,25.6,655.36,0,0,2,2,16,3.71,,13.60,1.98,0.89,2.56,0.00,9.66,1.26,0.43
9003,2,SE,10.5,110.25,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9003,2,SW,19.3,372.49,0,0,0,3,6,1.98,,0.00,2.96,0.33,1.37,0.00,0.00,1.90,0.16
9003,3,E,12.5,156.25,0,0,1,3,1,1.29,,6.80,2.96,0.06,0.89,0.00,4.83,1.90,0.03
9003,3,N,0,0,0,0,0,1,3,,,0.00,0.99,0.17,0.00,0.00,0.00,0.63,0.08
9003,3,S,0,0,0,0,2,2,6,,,13.60,1.98,0.33,0.00,0.00,9.66,1.26,0.16
9003,3,W,0,0,0,0,0,4,8,,,0.00,3.95,0.44,0.00,0.00,0.00,2.53,0.21
9003,4,NE,0,0,0,0,2,6,3,,,13.60,5.93,0.17,0.00,0.00,9.66,3.79,0.08
9003,4,NW,0,0,0,0,1,3,4,,,6.80,2.96,0.22,0.00,0.00,4.83,1.90,0.11
9003,4,SE,12.3,151.29,0,0,0,4,7,1.26,,0.00,3.95,0.39,0.87,0.00,0.00,2.53,0.19
9003,4,SW,0,0,0,0,4,4,9,,,27.20,3.95,0.50,0.00,0.00,19.31,2.53,0.24
9003,5,E,0,0,0,0,1,5,8,,,6.80,4.94,0.44,0.00,0.00,4.83,3.16,0.21
9003,5,N,0,0,0,0,0,2,2,,,0.00,1.98,0.11,0.00,0.00,0.00,1.26,0.05
9003,5,S,14,196,0,0,1,7,3,1.44,,6.80,6.92,0.17,0.99,0.00,4.83,4.43,0.08
9003,5,W,0,0,0,0,0,3,17,,,0.00,2.96,0.94,0.00,0.00,0.00,1.90,0.45
9004,1,E,0,0,0,0,1,12,6,,,6.80,11.86,0.33,0.00,0.00,4.83,7.59,0.16
9004,1,N,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9004,1,S,0,0,0,0,0,2,9,,,0.00,1.98,0.50,0.00,0.00,0.00,1.26,0.24
9004,1,W,0,0,0,0,0,3,8,,,0.00,2.96,0.44,0.00,0.00,0.00,1.90,0.21
9004,3,E,0,0,0,0,6,9,19,,,40.80,8.89,1.05,0.00,0.00,28.97,5.69,0.51
9004,3,N,0,0,0,0,3,13,20,,,20.40,12.84,1.11,0.00,0.00,14.49,8.22,0.53
9004,3,S,0,0,0,0,2,11,18,,,13.60,10.87,1.00,0.00,0.00,9.66,6.96,0.48
9004,3,W,0,0,0,0,3,11,13,,,20.40,10.87,0.72,0.00,0.00,14.49,6.96,0.35
9004,4,NE,0,0,0,0,1,8,6,,,6.80,7.90,0.33,0.00,0.00,4.83,5.06,0.16
9004,4,NW,0,0,0,0,0,16,23,,,0.00,15.81,1.28,0.00,0.00,0.00,10.12,0.61
9004,4,SE,0,0,0,0,2,11,16,,,13.60,10.87,0.89,0.00,0.00,9.66,6.96,0.43
9004,4,SW,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9004,5,E,0,0,0,0,2,14,9,,,13.60,13.83,0.50,0.00,0.00,9.66,8.85,0.24
9004,5,N,0,0,0,0,0,9,17,,,0.00,8.89,0.94,0.00,0.00,0.00,5.69,0.45
9004,5,S,0,0,0,0,0,4,6,,,0.00,3.95,0.33,0.00,0.00,0.00,2.53,0.16
9004,5,W,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9005,1,E,0,0,6.5,42.25,0,1,2,,0.67,0.00,0.99,0.11,0.00,0.19,0.00,0.63,0.05
9005,1,N,,0,7,49,3,6,8,,2.47,20.40,5.93,0.44,0.00,0.71,14.49,3.79,0.21
9005,1,N,,0,9.3,86.49,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9005,1,N,,0,7.7,59.29,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9005,1,S,0,0,15.4,237.16,0,3,2,,1.58,0.00,2.96,0.11,0.00,0.45,0.00,1.90,0.05
9005,1,W,0,0,0,0,1,4,2,,,6.80,3.95,0.11,0.00,0.00,4.83,2.53,0.05
9005,2,NE,8.5,72.25,0,0,0,3,2,2.40,,0.00,2.96,0.11,1.65,0.00,0.00,1.90,0.05
9005,2,NE,7,49,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9005,2,NE,7.8,60.84,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9005,2,NW,12.1,146.41,0,0,2,6,4,1.24,,13.60,5.93,0.22,0.86,0.00,9.66,3.79,0.11
9005,2,SE,10.2,104.04,0,0,4,8,3,1.05,,27.20,7.90,0.17,0.72,0.00,19.31,5.06,0.08
9005,2,SW,0,0,7,49,2,4,3,,1.39,13.60,3.95,0.17,0.00,0.40,9.66,2.53,0.08
9005,2,SW,,0,6.5,42.25,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9005,3,E,0,0,0,0,0,4,8,,,0.00,3.95,0.44,0.00,0.00,0.00,2.53,0.21
9005,3,N,0,0,0,0,0,7,2,,,0.00,6.92,0.11,0.00,0.00,0.00,4.43,0.05
9005,3,S,0,0,17,289,0,1,5,,1.75,0.00,0.99,0.28,0.00,0.50,0.00,0.63,0.13
9005,3,W,0,0,0,0,1,2,2,,,6.80,1.98,0.11,0.00,0.00,4.83,1.26,0.05
9005,4,NE,0,0,0,0,3,3,1,,,20.40,2.96,0.06,0.00,0.00,14.49,1.90,0.03
9005,4,NW,0,0,0,0,2,3,2,,,13.60,2.96,0.11,0.00,0.00,9.66,1.90,0.05
