Plot,Subplot,Interval,Actual Sample Interval,Actual Core Length (cm),Bulk Density (g cm-3),%C,%N
1001,3,4,70_75,4.7,0.707,2.35,0.14
29,5,6,190_195,5,0.651,2.35,0.13
9011,2,4,70_75,5.0,0.650,2.35,0.13
27,1,1,11_16,5.1,0.611,2.35,0.16
9004,5,5,145_150,4.5,0.779,2.35,0.15
17,1,3,35_40,5.2,0.766,2.36,0.13
1314,2,6,181_186,4.9,0.526,2.36,0.16
9003,4,2,20_25,4.9,0.674,2.36,0.20
13,4,6,170_175,4.7,0.646,2.36,0.16
1001,1,6,193_198,5.1,0.868,2.36,0.14
1130,1,5,145_150,4.6,0.873,2.37,0.13
9024,2,1,5_10,4.5,0.874,2.37,0.18
9024,4,4,70_75,4.9,0.942,2.37,0.16
9009,2,6,175_180,5.2,0.823,2.37,0.14
17,2,2,20_25,4.9,0.912,2.38,0.00
1254,1,3,35_40,5.0,0.674,2.38,0.16
1219,2,5,145_150,4.9,0.589,2.38,0.15
9002,3,3,35_40,4.5,0.547,2.38,0.16
1382,3,1,5_10,4.7,0.603,2.38,0.18
1001,1,4,70_75,5.0,0.800,2.38,0.17
9011,4,3,33_38,5.0,0.503,2.39,0.16
1314,4,2,20_25,4.9,0.628,2.39,0.14
9004,5,3,35_40,4.6,0.736,2.39,0.17
9023,4,3,35_40,5.0,0.774,2.39,0.16
9027,3,4,70_75,5.2,0.727,2.39,0.11
9023,4,2,20_25,5.2,0.558,2.39,0.18
864,2,3,35_40,4.9,0.700,2.40,0.14
1079,2,2,20_25,5.0,0.631,2.40,0.16
9021,3,3,35_40,5.0,0.456,2.40,0.17
37,6,5,145_150,4.8,0.493,2.40,0.16
1254,3,4,62_67,4.6,0.687,2.40,0.17
9004,5,2,20_25,4.8,0.637,2.40,0.17
1317,2,2,23_28,4.9,0.664,2.40,0.16
1361,3,4,70_75,5.0,0.673,2.40,0.13
1361,1,1,5_10,4.5,0.837,2.40,0.23
864,1,5,145_150,5.3,0.612,2.41,0.15
26,4,1,5_10,5,0.592,2.41,0.10
864,3,1,11_16,4.5,0.871,2.41,0.18
1113,4,4,70_75,5.0,0.564,2.42,0.16
1254,3,3,35_40,5.0,0.696,2.42,0.17
1254,1,2,20_25,5.1,0.656,2.42,0.18
9025,5,1,5_10,5.0,0.589,2.43,0.16
36,2,5,145_150,5,0.771,2.43,0.15
26,2,3,35_40,5,0.572,2.43,0.04
17,5,1,12_17,4.8,0.549,2.43,0.19
13,6,4,70_75,4.7,0.698,2.43,0.12
9011,1,1,5_10,4.9,0.637,2.43,0.18
17,4,1,5_10,5,0.543,2.43,0.19
1317,3,4,60_65,4.5,1.359,2.44,0.16
9001,5,5,145_150,5.0,0.621,2.44,0.15
26,5,1,5_10,5,0.589,2.44,0.16
26,1,4,70_75,4.8,0.612,2.44,0.06
1314,1,5,145_150,4.9,0.635,2.44,0.13
1305,1,3,35_40,4.6,1.125,2.44,0.18
1079,1,1,5_10,5.0,0.670,2.44,0.18
9020,4,1,5_10,4.0,1.138,2.44,0.19
1254,5,2,20_25,4.8,0.713,2.44,0.17
9001,4,2,20_25,5.1,0.813,2.44,0.16
9003,3,1,5_10,4.0,0.725,2.45,0.15
9017,2,4,70_75,4.8,0.917,2.45,0.15
9011,2,3,35_40,4.5,0.680,2.46,0.14
9001,1,5,145_150,5.0,0.793,2.46,0.16
9011,4,2,20_25,4.5,0.543,2.46,0.18
9001,1,4,70_75,4.5,0.791,2.46,0.15
37,5,1,5_10,5,0.546,2.46,0.18
35,3,2,20_25,4.9,0.793,2.46,0.06
9023,4,1,5_10,5.1,0.602,2.47,0.18
26,2,1,5_10,5.2,0.563,2.48,0.18
9024,4,2,20_25,5.0,0.810,2.48,0.19
1359,2,1,5_10,4.7,0.749,2.48,0.18
1219,5,2,20_25,5.0,0.658,2.48,0.16
9021,4,6,181_186,4.7,0.671,2.49,0.17
9009,4,1,5_10,4.9,0.765,2.49,0.15
9003,1,2,20_25,5.1,0.708,2.49,0.16
9021,5,3,35_40,5.3,0.600,2.49,0.16
35,3,4,70_75,4.7,0.646,2.50,0.09
1361,1,4,70_75,4.0,0.823,2.50,0.11
9005,4,1,5_10,4.0,0.880,2.50,0.27
1001,1,5,145_150,4.9,0.703,2.50,0.15
9011,3,3,35_40,4.9,0.630,2.50,0.27
1079,2,3,35_40,4.8,0.662,2.50,0.16
806,2,6,190_195,5.0,0.767,2.50,0.15
25,5,2,20_25,4.6,0.835,2.50,0.65
16,3,4,70_75,4.9,0.698,2.52,0.10
16,6,5,140_145,5,0.805,2.52,0.07
36,3,4,70_75,5,0.796,2.52,0.13
1317,2,3,35_40,5.0,0.708,2.53,0.17
1219,3,6,188_193,4.9,0.698,2.53,0.14
9021,3,2,20_25,5.3,0.660,2.53,0.18
9009,2,5,145_150,4.7,0.823,2.53,0.13
9003,2,2,20_25,4.5,0.617,2.54,0.21
1216,3,5,145_150,5.7,0.882,2.54,0.12
1382,1,1,5_10,5.0,0.599,2.54,0.17
9004,3,1,5_10,4.5,0.843,2.55,0.22
9021,3,4,70_75,4.9,0.559,2.55,0.16
1219,3,3,35_40,4.5,0.779,2.56,0.14
864,1,2,20_25,5.0,0.693,2.56,0.19
1317,5,3,35_40,4.8,0.698,2.56,0.16
806,2,4,70_75,4.5,0.857,2.56,0.15
16,4,5,129_134,5,0.532,2.56,0.16
1317,1,2,23_28,4.9,0.823,2.56,0.18
1317,1,1,5_10,5.0,0.631,2.57,0.20
1359,4,3,50_55,4.9,0.911,2.57,0.16
9004,3,6,188_193,4.5,0.704,2.57,0.19
1254,3,2,20_25,4.5,0.654,2.58,0.16
29,2,3,35_40,4.9,0.619,2.58,0.16
9023,3,2,20_25,5.0,0.695,2.58,0.16
1216,3,4,70_75,5.4,0.788,2.58,0.13
9003,5,4,70_75,5.1,0.516,2.59,0.16
9021,4,5,152_158,4.6,0.705,2.59,0.15
9024,2,4,70_75,5.0,0.616,2.59,0.19
9001,4,5,145_150,4.7,0.664,2.59,0.16
9003,1,5,145_150,5.0,0.571,2.59,0.15
9001,4,6,190_195,5.1,0.844,2.60,0.16
9009,4,4,70_75,5.0,0.755,2.60,0.10
26,1,2,20_25,5,0.599,2.60,0.13
1219,3,1,5_10,5.0,0.763,2.61,0.18
9003,1,1,5_10,5.0,0.692,2.61,0.15
1001,3,3,35_40,5.0,0.613,2.61,0.15
9005,5,1,15_20,4.5,0.854,2.61,0.18
1254,4,2,20_25,5.0,0.696,2.62,0.19
9001,1,1,5_10,4.9,1.122,2.62,0.16
17,6,4,70_75,5,0.658,2.63,0.07
9025,1,1,5_10,4.8,0.657,2.63,0.18
864,5,1,3_8,4.5,0.865,2.63,0.17
9003,5,3,35_40,5.0,0.608,2.63,0.13
1361,2,3,35_40,5.0,0.514,2.64,0.17
9021,3,1,5_10,5.4,0.484,2.64,0.20
37,2,2,20_25,4.9,0.522,2.64,0.19
9027,5,2,20_25,4.8,0.837,2.64,0.17
864,4,5,145_150,5.0,0.840,2.65,0.17
9023,4,4,70_75,5.3,0.556,2.65,0.16
13,4,5,145_150,4.6,0.673,2.65,0.16
27,6,3,35_40,5,0.657,2.65,0.18
9012,4,5,145_150,5.0,0.992,2.66,0.14
9027,2,4,69_74,4.6,0.874,2.66,0.13
9025,4,6,177_182,5.5,0.773,2.66,0.21
806,5,6,190_195,4.7,0.681,2.66,0.13
1130,1,4,70_75,5.0,0.905,2.67,0.15
9004,1,5,145_150,5.0,0.646,2.67,0.17
37,2,1,5_10,5.2,0.582,2.68,0.19
16,4,1,5_10,5,0.720,2.68,0.18
26,6,5,145_150,4,1.157,2.68,0.80
1359,4,4,70_75,4.9,0.672,2.69,0.17
9021,5,4,0_75,4.9,0.635,2.69,0.16
16,3,1,5_10,4.9,0.687,2.70,0.18
9001,1,6,190_195,4.5,0.646,2.71,0.15
806,1,4,70_75,4.8,0.801,2.71,0.13
9023,5,1,5_10,5.4,0.563,2.71,0.19
9004,3,5,145_150,5.0,0.729,2.71,0.16
9021,5,2,20_25,4.9,0.608,2.71,0.18
9013,5,3,35_40,5.4,0.793,2.72,0.14
9003,5,2,20_25,4.6,0.689,2.72,0.17
1317,4,1,5_10,5.2,0.758,2.72,0.20
32B,5,3,45_50,5.2,0.719,2.73,0.15
35,6,4,70_75,5,0.740,2.73,0.13
9027,3,3,35_40,4.5,0.790,2.73,0.14
1130,3,5,144_149,5.2,0.776,2.73,0.16
1219,2,1,5_10,5.1,0.899,2.73,0.20
9001,5,3,35_40,5.0,0.855,2.73,0.15
9001,2,4,70_75,5.2,0.765,2.74,0.16
9002,3,1,5_10,4.6,0.720,2.75,0.21
9021,5,1,5_10,4.4,0.770,2.75,0.19
29,3,1,5_10,5.1,0.630,2.76,0.11
1382,5,1,5_10,5.3,0.643,2.76,0.17
1314,4,1,5_10,5.0,0.638,2.77,0.16
9009,2,1,5_10,4.5,0.711,2.77,0.17
37,2,3,42_47,5.1,0.606,2.77,0.16
13,2,2,15_20,5,0.571,2.78,0.22
1079,4,3,35_40,5.0,0.639,2.78,0.19
9001,4,1,5_10,5.0,0.431,2.79,0.18
9004,5,4,70_75,4.5,0.663,2.79,0.16
13,3,5,145_150,4.9,1.209,2.79,0.11
9023,3,3,35_40,5.4,0.553,2.80,0.18
1314,4,3,35_40,5.0,0.556,2.81,0.15
1254,5,1,5_10,5.0,0.750,2.81,0.19
9023,3,1,5_10,4.7,0.550,2.81,2.14
1219,3,4,70_75,4.7,0.638,2.82,0.16
9024,4,3,35_40,4.8,0.771,2.82,0.24
1113,2,2,20_25,4.8,0.686,2.83,0.23
864,2,1,8_13,4.5,0.706,2.84,0.16
1001,2,2,22_27,5.4,0.760,2.84,0.18
1113,4,3,35_40,5.0,0.609,2.85,0.17
9002,1,3,35_40,5.0,0.483,2.86,0.22
9009,4,3,35_40,5.0,0.676,2.86,0.13
26,2,6,185_190,5.2,0.590,2.87,0.08
9004,3,4,70_75,4.7,0.806,2.88,0.17
1113,3,6,175_180,5.0,0.736,2.89,0.11
1001,3,2,20_25,5.0,0.646,2.89,0.17
1254,3,1,5_10,5.5,0.682,2.90,0.19
9001,2,6,190_195,5.3,0.640,2.90,0.18
1113,2,1,5_10,5.2,0.589,2.90,0.24
16,4,3,35_40,5.1,0.668,2.92,0.13
1254,4,1,5_10,5.2,0.623,2.92,0.21
1359,2,3,35_40,5.3,0.604,2.92,0.17
9024,1,1,5_10,5.0,0.805,2.93,0.25
1359,2,4,64_69,5.2,0.569,2.93,0.18
1219,2,4,70_75,4.5,0.717,2.95,0.16
9004,4,4,70_75,5.0,0.701,2.96,0.23
9005,1,1,5_10,4.5,0.804,2.96,0.23
9005,2,1,5_10,4.5,0.868,2.96,0.30
9021,1,2,20_25,5.1,0.572,2.97,0.19
1079,3,3,35_40,4.5,0.678,2.97,0.17
1254,2,1,5_10,5.1,0.666,2.97,0.17
1079,4,1,10_15,5.0,0.475,2.97,0.17
1079,2,1,5_10,4.9,0.595,2.98,0.20
1219,4,4,70_75,4.8,0.649,3.00,0.15
9001,3,5,145_150,5.0,0.680,3.01,0.15
864,1,1,10_15,4.5,0.546,3.01,0.21
9009,2,2,20_25,4.9,0.637,3.01,0.19
9001,2,5,145_150,4.9,0.617,3.01,0.18
9027,1,4,70_75,4.5,0.620,3.01,0.15
9025,3,1,5_10,4.5,0.533,3.03,0.19
1317,3,1,5_10,4.5,0.753,3.03,0.21
9001,3,1,5_10,5.0,0.950,3.03,0.18
9027,4,1,5_10,4.8,0.554,3.03,0.24
1254,5,3,35_40,4.9,0.673,3.04,0.18
1361,2,2,20_25,4.5,0.557,3.05,0.20
27,5,2,20_25,4.9,0.844,3.06,0.12
9027,4,2,20_25,5.0,0.615,3.07,0.24
1219,5,1,5_10,4.9,0.605,3.08,0.19
9021,1,3,35_40,4.9,0.457,3.08,0.20
26,4,3,35_40,5,0.567,3.09,0.08
26,1,1,5_10,5,0.548,3.09,0.22
9003,3,2,20_25,4.0,0.645,3.09,0.20
1113,3,5,155_160,5.0,0.453,3.10,0.19
1001,1,1,2_7,4.6,0.668,3.11,0.21
9003,5,1,5_10,4.8,0.688,3.11,0.16
1361,5,4,70_75,4.9,0.776,3.13,0.14
864,4,1,9_14,4.0,0.690,3.13,0.21
1113,3,3,35_40,5.0,0.562,3.14,0.14
1001,2,1,5_10,4.9,0.706,3.14,0.22
9009,2,3,35_40,4.9,0.739,3.14,0.17
806,5,4,70_75,5.1,0.805,3.16,0.13
9021,2,1,5_10,5.2,0.573,3.16,0.19
9027,2,1,5_10,4.7,0.607,3.18,0.25
9004,1,4,70_75,5.0,0.652,3.20,0.18
13,1,4,60_65,5,0.623,3.20,0.08
13,4,2,21_26,5,0.836,3.22,0.19
864,4,2,20_25,5.0,0.732,3.22,0.22
9004,1,1,5_10,5.0,0.687,3.23,0.22
13,4,3,31_36,5,0.427,3.23,0.18
9004,4,2,20_25,4.7,0.728,3.23,0.25
1254,4,3,35_40,4.9,0.614,3.24,0.19
9027,5,1,1_6,5.0,0.591,3.24,0.16
13,5,4,70_75,5.9,0.513,3.25,0.08
13,2,1,5_10,5,0.525,3.25,0.14
27,6,1,5_10,4.8,0.489,3.26,0.25
9004,5,1,5_10,4.5,0.733,3.26,0.23
1079,3,1,5_10,4.6,0.681,3.26,0.22
29,6,1,12_17,5,0.624,3.27,0.21
13,4,4,70_75,4.9,0.780,3.28,0.19
9003,3,4,70_75,5.0,0.517,3.29,0.17
17,4,4,80_85,5.3,0.587,3.29,0.14
1219,5,3,35_40,5.2,0.647,3.31,0.13
9024,1,4,70_75,4.0,1.089,3.32,0.14
9021,2,2,20_25,5.3,0.548,3.34,0.16
16,3,3,35_40,4.8,0.573,3.34,0.17
1113,3,2,20_25,5.1,0.523,3.35,0.20
9024,4,1,5_10,4.5,0.762,3.36,0.26
25,6,3,45_50,5,0.558,3.38,0.20
9004,4,6,190_195,4.5,0.869,3.39,0.22
26,3,1,5_10,5,0.560,3.40,0.19
1113,2,3,35_40,4.7,0.617,3.41,0.23
9001,2,1,5_10,4.5,1.057,3.41,0.20
1130,3,4,70_75,5.3,0.682,3.43,0.17
1113,2,4,70_75,4.9,0.589,3.43,0.24
9005,3,1,5_10,4.5,0.953,3.43,0.22
9003,3,3,35_40,4.6,0.679,3.47,0.16
9004,4,3,35_40,5.0,0.638,3.48,0.26
26,3,3,35_40,5,0.590,3.48,0.16
1219,1,4,70_75,4.5,0.713,3.49,0.15
1314,2,4,70_75,5.2,0.685,3.50,0.21
1113,1,2,20_25,5.0,0.534,3.52,0.22
1113,3,4,65_70,5.2,0.464,3.53,0.20
1219,5,4,61_68,5.0,0.567,3.54,0.18
13,2,4,60_65,5,0.475,3.54,0.18
9021,4,1,5_10,5.4,0.421,3.54,0.25
9004,4,5,145_150,4.5,0.804,3.56,0.22
9002,1,1,5_10,5.0,0.794,3.56,0.23
1359,2,2,20_25,5.3,0.601,3.60,0.18
9021,1,1,5_10,5.3,0.480,3.60,0.25
1113,1,4,70_75,5.0,0.728,3.60,0.15
27,6,4,70_75,4.9,0.580,3.61,0.18
25,6,4,70_75,5,0.518,3.62,0.18
13,2,3,35_40,6,0.574,3.64,0.17
29,5,1,5_10,4.9,0.518,3.65,0.24
1113,3,1,5_10,4.9,0.576,3.65,0.20
9027,4,3,35_40,4.6,0.626,3.69,0.26
26,5,3,35_40,5.4,0.587,3.70,0.16
1382,3,4,60_65,5.0,0.524,3.71,0.17
9021,4,3,35_40,5.0,0.603,3.75,0.20
13,3,1,15_20,5,0.545,3.84,0.24
9027,2,3,35_40,5.0,0.478,3.84,0.25
9004,4,1,5_10,4.5,0.608,3.85,0.28
25,2,1,5_10,4.9,1.088,3.86,0.18
9027,1,3,35_40,5.3,0.630,3.91,0.14
1113,1,1,5_10,5.0,0.586,3.96,0.22
17,3,1,10_15,5,0.664,3.96,0.13
13,3,2,20_25,5,0.454,3.97,0.15
9027,1,2,20_25,4.7,0.527,3.98,0.22
1254,1,1,5_10,5.2,0.655,4.01,0.26
13,4,1,5_10,4.7,0.589,4.04,0.30
26,2,4,58_63,4.6,0.534,4.04,0.14
9027,2,2,20_25,4.8,0.568,4.07,0.22
17,4,2,20_25,4.9,0.591,4.14,0.15
9021,2,3,35_40,4.7,0.515,4.17,0.15
26,6,3,35_40,5,0.547,4.19,0.17
9009,2,4,70_75,5.2,0.606,4.20,0.16
806,5,5,145_150,5.0,0.860,4.20,0.16
36,6,4,70_75,5.1,0.639,4.24,0.14
13,3,4,60_65,4.5,0.516,4.28,0.15
29,2,1,5_10,4.9,0.562,4.34,0.31
1314,2,5,145_150,5.0,0.622,4.40,0.17
9021,4,2,20_25,5.2,0.547,4.60,0.26
9021,4,4,70_75,5.3,0.541,4.61,0.20
13,1,1,5_10,5,0.526,4.63,0.16
13,3,3,35_40,5,0.584,4.66,0.14
9027,1,1,5_10,5.4,0.519,4.68,0.21
17,4,3,35_40,4.8,0.487,4.81,0.19
29,1,1,5_10,4.6,0.536,4.99,0.32
13,1,3,35_40,4.9,0.544,5.00,0.19
9027,5,3,35_40,5.2,0.539,5.28,0.13
1113,1,3,35_40,5.0,0.579,5.32,0.19
1382,3,3,35_40,5.0,0.437,5.51,0.18
26,2,2,20_25,4.8,0.565,6.53,0.17
