study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,total_pb210_activity,total_pb210_activity_se,pb210_unit,depth_interval_notes
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,7,8,0.29,0.07172371261,9.03,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,8,9,0.3,0.0687223764,9.08,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,9,10,0.3,0.06282248946,8.42,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,10,11,0.3,0.06851680543,7.65,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,11,12,0.3,0.06841401994,6.62,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,12,13,0.31,0.0741083359,6.81,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,13,14,0.3,0.07400555042,6.24,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,14,15,0.32,0.06520711276,6.61,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,15,16,0.33,0.06800287799,5.67,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,16,17,0.33,0.06209785178,5.04,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,17,18,0.33,0.05909651557,3.9,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,18,19,0.32,0.06768938226,3.92,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,19,20,0.33,0.06758659677,3.67,0.033,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,20,21,0.34,0.07907801418,3.61,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,21,22,0.34,0.0760715387,3.47,0.032,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,22,23,0.33,0.07017165176,2.86,0.037,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,23,24,0.33,0.06717031555,2.63,0.039,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,24,25,0.32,0.06416897934,2.51,0.042,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,25,26,0.31,0.0698632953,2.33,0.044,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,26,27,0.31,0.06976050982,2.69,0.039,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,27,28,0.31,0.07545482578,2.29,0.043,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,28,29,0.32,0.08404769247,2.05,0.048,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,29,30,0.32,0.06944701408000001,1.96,0.052,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,30,31,NA,0.06355226642,NA,NA,NA,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Hewletts,single set of methods,1,2,0.42,0.1708962894,2.04,0.17,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Hewletts,single set of methods,2,3,0.4,0.22296741699999997,1.68,0.184,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Hewletts,single set of methods,3,4,0.4,0.2083718779,1.48,0.195,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Hewletts,single set of methods,4,5,0.42,0.19377119950000002,1.33,0.203,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Hewletts,single set of methods,6,7,0.43,0.1819765649,1.47,0.196,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Hewletts,single set of methods,7,8,0.42,0.1847723301,1.31,0.217,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Hewletts,single set of methods,8,9,0.42,0.18176585469999998,1.35,0.212,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,1,2,0.16,0.2955391099,10.41,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,2,3,0.21,0.33311748379999995,9.02,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,3,4,0.22,0.3561979648,7.11,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,4,5,0.21,0.3850806866,7.2,0.03,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,5,6,0.21,0.3385959503,8.7,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,6,7,0.21,0.35878301980000005,5.69,0.03,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,7,8,0.23,0.35288313289999995,5.49,0.03,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,8,9,0.26,0.3585774489,4.89,0.03,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,9,10,0.3,0.3265906054,4.61,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,10,11,0.31,0.27721245759999996,4.78,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,11,12,0.32,0.27421112140000004,4.73,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,12,13,0.32,0.2712097852,3.9,0.033,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,13,14,0.29,0.2537156953,3.85,0.033,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,14,15,0.29,0.27099907489999997,3.37,0.036,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,15,16,0.27,0.2766933909,3.39,0.037,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,16,17,0.27,0.2823877069,3.11,0.04,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,17,18,0.28,0.2909805735,3.21,0.038,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,18,19,0.27,0.322761846,2.63,0.042,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,19,20,0.3,0.3342532634,2.66,0.043,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,20,21,0.27,0.3399475794,2.67,0.043,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,21,22,0.29,0.3166512488,2.56,0.05,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,22,23,0.28,0.2904615068,2.81,0.047,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Oyster,single set of methods,0,1,0.26,NA,11.69,0.027,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Sleepy,single set of methods,0,1,0.43,NA,5.09,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ward,single set of methods,0,1,0.37,NA,6.07,0.031,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Ware,single set of methods,0,1,0.62,NA,5.05,0.034,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,0,1,0.24,NA,16.67,0.174,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,25,26,0.15,NA,1.93,0.186,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,26,27,0.16,NA,1.77,0.206,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,27,28,0.17,NA,1.57,0.207,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,28,29,0.16,NA,1.31,0.245,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,29,30,0.16,NA,1.09,0.296,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,30,31,0.17,NA,0.87,0.372,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,31,32,0.17,NA,0.93,0.441,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Tributary,Gales,single set of methods,32,33,0.16,NA,0.75,0.594,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Futch,single set of methods,0,1,0.33,NA,18.55,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,0,1,0.47,NA,6.29,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,19,20,0.93,NA,1.38,0.113,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Pages,single set of methods,20,21,0.94,NA,1.32,0.127,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Howe,single set of methods,0,1,0.63,NA,7.16,0.524,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Bradley,single set of methods,0,1,0.23,NA,7.99,0.028,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Hewletts,single set of methods,0,1,0.43,NA,2.53,0.164,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Hewletts,single set of methods,5,6,0.42,NA,1.32,0.209,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Hewletts,single set of methods,9,10,0.41,NA,1.32,0.21,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Hewletts,single set of methods,10,11,0.37,NA,1.2,0.24,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Hewletts,single set of methods,11,12,0.34,NA,0.84,0.403,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Hewletts,single set of methods,12,13,0.36,NA,0.62,0.65,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,0,1,0.18,NA,11,0.029,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,23,24,0.3,NA,2.69,0.046,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,24,25,0.3,NA,2.57,0.046,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,25,26,0.29,NA,2.7,0.046,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,26,27,0.3,NA,2.25,0.057,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,27,28,0.29,NA,2.53,0.05,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,28,29,0.3,NA,2.48,0.049,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
Bost_et_al_2024,Coastal Prism,Whiskey,single set of methods,29,30,0.29,NA,2.37,0.049,disintegrationsPerMinutePerGram,fraction_organic_matter digitized from plot in figure
