Site,Replicate,ID,Date,Lat,Lon,Depth_min,Depth_max,VAR_LL,VAR_50,VAR_UL,MAR_LL,MAR_50,MAR_UL,CAR_LL,CAR_50,CAR_UL,NAR_LL,NAR_50,NAR_UL,Year_LL,Year_50,Year_UL
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,28,29,0.59,1.3,4.64,,,,,,,,,,1852,1878,1913
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,29,30,0.58,1.35,5,1049,2423,8998,11.53,26.65,98.98,0.78,1.81,6.72,1843,1868,1907
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,30,31,0.59,1.46,5.88,,,,,,,,,,1835,1859,1901
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,31,32,0.58,1.57,7.5,1315,3518,16864,15.25,40.81,195.63,0.95,2.54,12.17,1828,1850,1895
Torrecilla Lagoon,Two,TORR2,3/3/16,18.43973,-65.98142,32,33,0.46,1.89,20.6,,,,,,,,,,1821,1842,1891
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,0,1,0.68,1.2,2.15,58,102,183,17.92,31.56,56.61,0.74,1.3,2.34,2016,2016,2016
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,1,2,0.77,1.25,2.32,64,104,193,19.73,31.97,59.19,0.87,1.41,2.6,2009,2012,2014
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,2,3,0.81,1.28,2.28,92,146,260,26.07,41.19,73.46,1.18,1.87,3.34,2003,2008,2011
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,3,4,0.82,1.26,2.09,,,,,,,,,,1997,2004,2008
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,4,5,0.8,1.24,1.9,189,292,447,47.7,73.89,113.06,2.09,3.23,4.94,1992,2000,2005
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,5,6,0.82,1.23,1.82,,,,,,,,,,1987,1996,2002
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,6,7,0.82,1.24,1.87,138,208,315,37.69,56.7,85.68,1.75,2.63,3.97,1982,1991,1999
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,7,8,0.85,1.26,2.04,,,,,,,,,,1977,1987,1995
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,8,9,0.87,1.31,2.32,215,324,572,55.2,82.96,146.7,2.38,3.58,6.34,1973,1983,1992
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,9,10,0.86,1.32,2.37,,,,,,,,,,1968,1979,1988
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,10,11,0.86,1.35,2.42,52,82,147,13.28,20.75,37.37,0.55,0.86,1.56,1964,1975,1985
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,11,12,0.88,1.36,2.44,,,,,,,,,,1960,1972,1981
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,12,13,0.89,1.38,2.36,235,364,621,60.25,93.2,159.02,2.3,3.55,6.06,1956,1968,1978
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,13,14,0.92,1.39,2.34,,,,,,,,,,1951,1964,1975
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,14,15,0.92,1.41,2.42,102,155,266,26.81,40.88,70.26,1.01,1.55,2.66,1947,1960,1972
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,15,16,0.91,1.41,2.51,,,,,,,,,,1943,1957,1970
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,16,17,0.92,1.42,2.49,179,277,487,52.85,81.82,143.9,1.79,2.78,4.88,1938,1953,1967
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,17,18,0.91,1.43,2.54,,,,,,,,,,1934,1949,1964
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,18,19,0.93,1.43,2.51,165,255,449,46.65,71.92,126.51,1.68,2.59,4.55,1930,1946,1961
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,19,20,0.88,1.4,2.41,,,,,,,,,,1926,1942,1958
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,20,21,0.83,1.38,2.4,59,97,170,18.84,31.08,54.23,0.55,0.91,1.58,1922,1938,1955
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,21,22,0.79,1.37,2.44,,,,,,,,,,1918,1934,1952
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,22,23,0.79,1.38,2.5,85,150,270,28.53,50.15,90.37,0.68,1.2,2.16,1913,1930,1949
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,23,24,0.79,1.4,2.67,,,,,,,,,,1909,1926,1946
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,24,25,0.81,1.44,2.82,85,151,295,26.34,46.81,91.57,0.98,1.75,3.42,1905,1922,1943
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,25,26,0.82,1.49,2.98,,,,,,,,,,1901,1918,1940
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,26,27,0.84,1.53,3.16,96,176,363,30.47,55.66,114.79,1.03,1.87,3.86,1898,1915,1937
San José Lagoon ,One,SJ1,3/3/16,18.42991,-66.03431,27,28,0.82,1.59,3.56,,,,,,,,,,1894,1911,1934
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,0,1,2.62,4.83,10.14,223,412,865,70.53,130.16,273.28,3,5.53,11.61,2016,2016,2016
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,1,2,2.51,3.67,6.61,209,306,550,67.23,98.46,176.97,2.69,3.94,7.08,2012,2014,2015
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,2,3,1.29,1.85,2.86,107,154,238,32.84,47.11,72.82,1.56,2.24,3.46,2009,2011,2013
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,3,4,1.4,2.13,4.34,160,244,497,50.5,76.65,156.26,2.15,3.27,6.67,2003,2006,2008
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,4,5,1.36,2.35,4.83,,,,,,,,,,1998,2001,2003
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,5,6,1.38,2.11,5.02,324,497,1181,96.39,147.66,351.09,3.91,5.98,14.22,1992,1997,2000
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,6,7,0.76,1.45,3.27,,,,,,,,,,1987,1992,1996
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,7,8,0.82,1.45,6.25,139,244,1050,44.22,77.95,335.05,1.7,3,12.88,1977,1985,1991
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,8,9,2.36,4.78,10.6,,,,,,,,,,1970,1978,1984
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,9,10,2.35,3.68,7.48,581,911,1850,196.5,308.07,625.7,6.32,9.91,20.13,1967,1976,1982
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,10,11,0.88,2.01,4.63,,,,,,,,,,1964,1973,1980
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,11,12,0.75,1.6,6.36,46,97,386,15.02,32.02,127.1,0.47,1,3.98,1958,1967,1975
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,12,13,1.85,4.1,10.6,,,,,,,,,,1951,1961,1968
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,13,14,1.97,3.72,9.68,520,980,2546,163.86,309.05,803.06,5.28,9.96,25.88,1948,1958,1966
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,14,15,1.13,2.5,6.21,,,,,,,,,,1945,1955,1964
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,15,16,1.02,2.12,5.96,112,233,657,40,83.08,233.75,1.02,2.12,5.96,1940,1951,1960
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,16,17,0.9,2.01,5.81,,,,,,,,,,1935,1945,1955
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,17,18,0.96,2.1,6.15,186,410,1201,61.09,134.42,393.29,1.83,4.03,11.8,1929,1940,1950
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,18,19,0.96,2.05,5.04,,,,,,,,,,1923,1934,1945
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,19,20,1.04,2.15,6.76,187,384,1210,60.89,125.29,394.55,1.95,4.02,12.66,1917,1929,1941
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,20,21,1.1,2.58,7.86,,,,,,,,,,1911,1924,1937
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,21,22,1.21,2.72,8.56,85,192,606,28.59,64.42,202.96,0.89,2.02,6.35,1906,1919,1934
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,22,23,1.05,2.61,9,,,,,,,,,,1901,1915,1931
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,23,24,0.97,2.57,9.11,105,277,985,35.45,93.96,333.65,1.05,2.79,9.89,1897,1911,1926
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,24,25,0.99,2.6,9.08,,,,,,,,,,1893,1906,1922
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,25,26,0.99,2.56,9.04,104,268,946,31.1,80.13,282.83,1.01,2.59,9.15,1890,1901,1916
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,26,27,0.97,2.54,8.75,,,,,,,,,,1886,1896,1911
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,27,28,0.89,2.38,9.77,102,274,1122,31.45,84.51,346.44,0.98,2.64,10.83,1883,1891,1906
San José Lagoon ,Two,SJ2,3/3/16,18.42991,-66.03431,28,29,0.53,2.21,23.62,,,,,,,,,,1879,1886,1901
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,0,1,0.91,2.68,9.39,733,2157,7548,42.78,125.98,440.77,3.79,11.15,39.02,2016,2016,2016
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,1,2,1.42,4.08,13.36,2868,8252,27036,,,,,,,2005,2012,2015
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,2,3,2.6,4.88,9.59,2445,4582,9005,,,,,,,2001,2009,2013
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,3,4,2.91,4.69,11.79,2714,4385,11011,148.45,239.88,602.29,13.77,22.26,55.88,1998,2007,2012
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,4,5,2.06,4.53,13.73,,,,,,,,,,1996,2005,2010
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,5,6,1.8,4.45,14.15,1735,4293,13661,101.67,251.59,800.54,9.17,22.7,72.22,1994,2002,2007
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,6,7,1.8,4.72,15.41,,,,,,,,,,1991,2000,2005
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,7,8,1.83,5.64,15.67,1217,3755,10441,83.97,259.11,720.45,8.21,25.32,70.41,1988,1997,2003
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,8,9,3.41,6.43,12.41,,,,,,,,,,1985,1995,2001
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,9,10,3.58,5.86,13.04,1615,2643,5886,95.61,156.47,348.44,9.08,14.86,33.1,1983,1993,2000
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,10,11,2.2,5.38,15.08,,,,,,,,,,1981,1991,1998
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,11,12,1.9,5.07,14.71,1346,3594,10433,86.82,231.79,672.93,7.83,20.9,60.67,1979,1989,1996
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,12,13,1.81,5.15,15.68,,,,,,,,,,1977,1987,1994
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,13,14,2.04,5.6,14.31,1254,3433,8773,73.09,200.15,511.48,6.58,18.03,46.08,1974,1984,1992
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,14,15,2.8,5.54,10.29,,,,,,,,,,1971,1982,1990
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,15,16,3.09,5.22,12.12,1255,2118,4916,62.1,104.86,243.35,6.7,11.31,26.24,1969,1980,1989
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,16,17,2.2,4.76,13.69,,,,,,,,,,1967,1978,1987
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,17,18,1.95,4.54,12.56,3710,8635,23887,208.13,484.41,1340.05,20.9,48.63,134.54,1964,1976,1985
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,18,19,1.75,4,11.62,,,,,,,,,,1962,1973,1982
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,19,20,1.63,3.26,8.11,695,1392,3463,,,,,,,1959,1971,1980
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,20,21,1.07,2.21,3.94,,,,,,,,,,1955,1967,1977
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,21,22,1.05,1.82,4.55,705,1217,3046,32.97,56.96,142.57,3.43,5.93,14.85,1948,1962,1973
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,22,23,1.22,3.16,11.46,,,,,,,,,,1943,1956,1968
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,23,24,1.41,3.53,11.3,901,2260,7232,47.74,119.8,383.29,4.19,10.52,33.65,1940,1953,1964
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,24,25,1.42,3.7,11.23,,,,,,,,,,1936,1950,1960
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,25,26,1.54,3.77,10.1,681,1668,4464,34.6,84.73,226.77,3.13,7.65,20.48,1933,1946,1957
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,26,27,1.6,3.36,6.76,,,,,,,,,,1930,1943,1955
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,27,28,1.74,3.2,7.34,1016,1869,4280,36.98,68.04,155.79,3.08,5.66,12.97,1926,1940,1952
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,28,29,1.4,3.17,9.81,,,,,,,,,,1922,1937,1949
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,29,30,1.41,3.17,9.99,547,1228,3872,35.93,80.7,254.39,2.75,6.18,19.49,1918,1933,1946
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,30,31,1.29,2.92,8.59,,,,,,,,,,1915,1930,1942
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,31,32,1.17,2.32,5.67,1069,2121,5189,75.45,149.74,366.36,4.84,9.61,23.51,1911,1926,1938
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,32,33,0.81,1.53,2.85,,,,,,,,,,1907,1921,1934
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,33,34,0.68,1.12,2.2,501,827,1620,29.14,48.04,94.13,1.86,3.06,5.99,1898,1914,1928
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,34,35,0.33,0.72,1.49,,,,,,,,,,1887,1905,1921
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,35,36,0.32,0.68,1.97,124,260,758,9.05,18.95,55.24,0.73,1.53,4.44,1862,1890,1911
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,36,37,0.39,0.98,3.71,,,,,,,,,,1841,1873,1901
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,37,38,0.41,1.09,4.75,127,335,1457,9.78,25.81,112.32,0.74,1.95,8.46,1828,1861,1893
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,38,39,0.33,1.23,13.26,92,344,3705,,,,,,,1816,1850,1885
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,0,1,0.99,3.2,14.02,438,1414,6203,35.29,113.97,499.99,3.21,10.36,45.43,2016,2016,2016
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,1,2,1.89,6.1,24.32,799,2582,10289,47.84,154.66,616.33,4.46,14.41,57.44,2006,2013,2015
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,2,3,6.12,11.62,22.27,2509,4767,9130,186.19,353.7,677.44,14.7,27.93,53.5,2003,2011,2014
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,3,4,6.69,10.35,21.84,3122,4836,10201,212.62,329.34,694.68,19.81,30.69,64.73,2002,2010,2014
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,4,5,2.95,7.47,21.26,,,,,,,,,,2001,2009,2013
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,5,6,2.57,6.69,19.38,1755,4571,13245,97.38,253.68,735.09,10.09,26.3,76.2,1999,2007,2011
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,6,7,2.26,6.35,18.68,,,,,,,,,,1997,2005,2010
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,7,8,2.27,6.57,17.66,1019,2948,7925,69.32,200.44,538.91,6.47,18.72,50.32,1994,2004,2009
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,8,9,3.24,6.1,11.43,,,,,,,,,,1992,2002,2007
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,9,10,3.44,5.79,13.51,2056,3459,8064,114.92,193.36,450.79,10.8,18.17,42.35,1990,2000,2006
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,10,11,2.56,6.03,19.78,,,,,,,,,,1988,1998,2004
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,11,12,2.39,6.09,20.48,1443,3677,12355,70.26,179.06,601.69,6.95,17.72,59.54,1986,1996,2002
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,12,13,2.29,6.26,19.23,,,,,,,,,,1984,1994,2000
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,13,14,2.27,6.18,16.53,1004,2727,7294,53.1,144.23,385.87,5.68,15.43,41.27,1982,1992,1999
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,14,15,2.88,5.59,10.21,,,,,,,,,,1980,1990,1997
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,15,16,3.26,5.62,13.75,2030,3507,8574,112.27,193.94,474.13,11.47,19.81,48.42,1977,1988,1996
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,16,17,2.36,5.76,18.55,,,,,,,,,,1976,1986,1994
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,17,18,2.24,5.84,18.21,1267,3302,10302,68.82,179.29,559.41,7.22,18.82,58.72,1973,1984,1992
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,18,19,2.28,5.89,17.33,,,,,,,,,,1971,1982,1990
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,19,20,2.34,5.51,13.74,920,2161,5394,,,,,,,1969,1980,1988
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,20,21,2.39,4.5,8.36,,,,,,,,,,1967,1978,1986
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,21,22,2.5,4.38,10.93,1402,2457,6126,86.62,151.87,378.59,8.16,14.3,35.65,1964,1976,1984
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,22,23,2.22,5.44,17.09,,,,,,,,,,1961,1973,1982
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,23,24,2.18,5.71,17.68,1235,3237,10013,66.67,174.77,540.72,6.78,17.79,55.02,1959,1971,1980
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,24,25,2.25,5.96,19.59,,,,,,,,,,1957,1969,1978
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,25,26,2.27,5.95,19.96,785,2052,6886,41.97,109.79,368.42,4.25,11.12,37.3,1955,1967,1976
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,26,27,2.34,6.11,19.09,,,,,,,,,,1953,1965,1975
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,27,28,2.26,5.93,19.2,612,1607,5207,14.63,38.41,124.46,0.62,1.64,5.31,1951,1963,1973
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,28,29,2.26,5.68,18.06,,,,,,,,,,1949,1961,1971
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,29,30,2.14,5.27,15.62,1552,3819,11332,64.09,157.74,468,6.83,16.81,49.88,1947,1959,1968
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,30,31,2.12,4.92,14.14,,,,,,,,,,1945,1957,1966
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,31,32,1.96,3.94,9.44,824,1654,3969,36.1,72.46,173.85,3.59,7.2,17.28,1943,1955,1964
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,32,33,1.29,2.64,5.01,,,,,,,,,,1940,1952,1961
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,33,34,1.26,2.29,5.78,697,1265,3188,36.47,66.19,166.73,3.23,5.86,14.76,1935,1948,1958
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,34,35,1.52,3.61,12.54,,,,,,,,,,1930,1943,1954
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,35,36,1.58,3.97,12.54,1029,2586,8173,47.44,119.2,376.77,4.22,10.59,33.48,1927,1940,1951
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,36,37,1.64,3.99,11.22,,,,,,,,,,1924,1937,1947
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,37,38,1.61,3.6,8.78,784,1751,4268,29.87,66.71,162.6,2.44,5.46,13.3,1922,1934,1944
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,38,39,1.26,2.55,4.67,,,,,,,,,,1919,1931,1941
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,39,40,1.31,2.38,6.02,383,694,1757,20.17,36.49,92.43,1.78,3.22,8.15,1913,1927,1938
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,40,41,1.35,3.13,11.41,,,,,,,,,,1908,1922,1934
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,41,42,1.43,3.28,10.76,435,995,3271,21.11,48.27,158.62,1.7,3.88,12.74,1905,1919,1930
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,42,43,1.33,3.09,8.98,,,,,,,,,,1903,1915,1926
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,43,44,1.26,2.55,6.09,561,1140,2723,29.69,60.29,144.06,1.88,3.82,9.12,1900,1912,1922
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,44,45,0.92,1.62,2.84,,,,,,,,,,1896,1907,1917
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,45,46,0.74,1.14,2.14,251,385,724,18.09,27.73,52.1,1.33,2.04,3.83,1888,1901,1912
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,46,47,0.32,0.71,1.43,,,,,,,,,,1878,1892,1905
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,47,48,0.3,0.62,1.61,91,188,487,5.84,12.1,31.3,0.49,1.02,2.64,1852,1877,1896
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,48,49,0.4,0.99,3.78,,,,,,,,,,1828,1859,1886
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,49,50,0.4,1.11,4.98,246,679,3031,14.24,39.4,175.82,1.35,3.72,16.61,1814,1847,1876
