Site,Replicate,ID,Date,Lat,Lon,Depth_min,Depth_max,Depth_mid,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e,wtC,wtN,13C,15N
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,3,5,4,0.9342,8.9687,0.4637,0.8373,0.0512,8.1315,0.4665,0.9528,0.0612,0,0,5.4715,0.5075,-25.3959,3.6283
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,5,7,6,0.9657,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5.8599,0.5287,-25.5913,3.6759
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,7,9,8,0.6662,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,6.9001,0.6743,-26.1097,3.7191
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,9,11,10,0.4514,9.4443,0.4004,0.6171,0.0303,8.8273,0.4016,0.7787,0.0389,0,0,5.9184,0.5623,-25.4462,3.9112
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,11,13,12,0.7092,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,6.4474,0.5815,-25.9831,3.994
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,13,15,14,0.6132,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5.8337,0.5252,-25.7127,3.8678
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,15,17,16,0.4055,8.3625,0.5946,0.5963,0.0433,7.7663,0.5962,0.6545,0.0536,0,0,4.9475,0.5337,-24.8046,3.9016
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,17,19,18,1.902,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5.6099,0.5632,-25.2498,3.8234
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,19,21,20,0.4269,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,21,23,22,0.6694,8.0636,0.4258,0.4545,0.0267,7.6091,0.4266,0.6127,0.0344,0,0,4.678,0.4873,-25.0294,3.9479
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,23,25,24,0.64,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5.3037,0.4653,-25.7432,3.8818
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,25,27,26,0.4421,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5.0782,0.4589,-25.8365,3.8067
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,27,29,28,0.5833,3.5714,0.3561,0.5157,0.0308,3.0556,0.3574,0.2487,0.031,0,0,3.6401,0.303,-25.5143,3.8752
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,29,31,30,0.3877,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,6.5707,0.5035,-26.3751,4.0354
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,31,33,32,0.9153,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,7.0644,0.4531,    ,    
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,33,35,34,0.7375,3.4212,0.299,0.4419,0.0234,2.9793,0.2999,0.4203,0.0278,0,0,5.8057,0.3698,    ,    
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,35,37,36,0.3845,5.3305,0.4051,0.6679,0.0403,4.6626,0.4071,0.9624,0.0528,0,0,7.2905,0.5865,    ,    
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,37,39,38,0.3068,5.7412,0.4892,0.8107,0.0555,4.9305,0.4923,1.0983,0.0677,0,0,7.7062,0.581,    ,    
Piñones,One,PIN1,3/6/16,18.44027,-65.95644,39,41,40,0.2794,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,0,1,0.5,0.4425,13.5233,0.8195,1.4761,0.1032,12.0472,0.826,0.7957,0.0993,0,0,8.0635,0.7324,-26.4299,2.9145
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,1,2,1.5,0.4231,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5.9852,0.5582,-25.9877,3.7548
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,2,3,2.5,0.4101,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,7.4188,0.586,-26.2598,3.4561
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,3,5,4,0.467,11.7043,0.6707,0.8369,0.0647,10.8674,0.6738,0.9145,0.0716,0,0,6.8084,0.6345,-25.89,3.2959
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,5,7,6,0.6833,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5.5494,0.5753,-25.1685,3.7695
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,7,9,8,0.4487,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,6.7993,0.635,-25.8705,3.2232
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,9,11,10,0.5971,12.5415,0.597,0.7276,0.0493,11.814,0.599,0.9594,0.0671,0,0,5.5862,0.5252,-26.4386,3.4551
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,11,13,12,0.6033,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.8694,0.4819,-25.5714,3.7297
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,13,15,14,0.4413,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5.2898,0.5658,-25.2946,4.219
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,15,17,16,0.6236,9.2755,0.4007,0.5643,0.0341,8.7111,0.4022,0.8144,0.0413,0,0,5.5313,0.5648,-25.3829,3.8989
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,17,19,18,0.5657,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,19,21,20,0.3926,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5.4325,0.5699,-25.3995,3.7733
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,21,23,22,0.5605,8.8991,0.3088,0.5881,0.0261,8.3111,0.3099,0.7165,0.0307,0,0,6.1763,0.5818,-25.9955,3.8946
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,23,25,24,0.5665,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5.4021,0.5495,-25.724,3.5671
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,25,27,26,0.345,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5.3508,0.5417,-25.5236,3.6041
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,27,29,28,0.2712,0,0,1.3881,0.104,-1.3881,0.104,0,0,0,0,2.3936,0.1019,-23.833,3.6286
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,29,31,30,0.7254,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.1265,0.4402,-24.7683,3.6892
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,31,33,32,0.4203,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.3767,0.4353,-25.3583,3.7393
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,33,35,34,0.5517,7.7379,0.5912,0.4897,0.0414,7.2483,0.5926,0.6288,0.0448,0,0,5.2293,0.4628,-25.9105,3.6564
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,35,37,36,0.6515,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.6066,0.4097,-25.8681,3.338
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,37,39,38,0.4861,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,3.8096,0.3117,-23.9406,3.4657
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,39,41,40,0.2921,7.4637,0.609,0.453,0.0374,7.0107,0.6102,0.7598,0.0495,0,0,5.2616,0.464,    ,    
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,41,43,42,0.3038,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.8457,0.3894,    ,    
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,43,45,44,0.447,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5.2934,0.335,    ,    
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,45,47,46,0.3379,5.1785,0.2973,0.4737,0.0244,4.7048,0.2983,0.883,0.0314,0,0,7.1979,0.5294,    ,    
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,47,49,48,0.3021,5.6842,0.1961,0.5337,0.0184,5.1505,0.197,1.0083,0.025,0,0,6.4341,0.5425,    ,    
Piñones,Two,PIN2,3/6/16,18.44027,-65.95644,49,51,50,0.6092,5.0396,0.2802,0.4907,0.0298,4.5489,0.2818,0.9327,0.0373,0,0,5.8044,0.5479,    ,    
