study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,excess_pb210_activity,excess_pb210_activity_se,age,age_se,date,delta_c13,method_id
Breithaupt_et_al_2014,WSC-5,SH3-7,16,17,0.15994695,0.607517966,0.328615564,0,0,4.403836105,0.305254714,0.92072037,0.854549796,3.563382389,0.928345479,63.10725073,5.382956164,1947.812749,-26.49,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,17,18,0.167374005,0.597464342,0.322061233,0,0,4.064337014,0.297850087,1.385309852,0.942286294,2.741553806,1.011305301,68.31519847,5.911228077,1942.604802,-26.218,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,18,19,0.179398762,0.580088714,0.2842413,0,0,3.156710326,0.333821333,0.98813447,1.113606955,2.219795269,1.190024069,73.64033523,6.183586443,1937.279665,-26.324,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,19,20,0.186472149,0.583688952,0.32733871,0,0,3.052829559,0.278815843,1.01784473,0.949681616,2.084031668,1.013620027,79.85761878,6.649592368,1931.062381,-26.224,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,20,21,0.164633068,0.590225564,0.288290169,0,0,3.247063295,0.279511588,1.451336427,0.830287119,1.839313329,0.897337553,85.70453921,7.276892816,1925.215461,-25.941,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,21,22,0.153404067,0.597694524,0.280827214,0,0,2.935559609,0.289110882,1.0692459,0.894452532,1.912783595,0.963422479,92.61134118,8.077901573,1918.308659,-25.903,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,22,23,0.179664014,0.603346457,0.298809481,0,0,2.597187393,0.242690222,0.975610587,0.780838203,1.662345186,0.838241866,101.6044652,9.237117093,1909.315535,-26.186,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,23,24,0.178956676,0.610177866,0.295149735,0,0,4.005248686,0.288520776,1.431043861,0.806676702,2.639354852,0.878404492,124.5887372,15.0232939,1886.331263,-26.152,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,24,25,0.155526083,0.630471859,0.32977241,0,0,2.880579442,0.266676884,1.293900211,0.888112719,1.627401535,0.951086261,150.9837121,24.23284991,1859.936288,-26.038,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,25,26,0.167108753,0.605820106,0.30409115,0,0,2.128083965,0.251486335,0.970635984,0.835013261,1.18767029,0.894833321,NA,NA,NA,-26.092,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-7,26,27,0.168346596,0.601365546,0.27733901,0,0,2.007643842,0.260662807,1.227903884,0.82810806,NA,NA,NA,NA,NA,-25.832,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,0,1,0.337577365,0.345206915,0.158717778,-0.002399199,0.004290885,5.53185843,0.168251146,1.541203043,0.108094262,4.050171294,0.202964609,1.999815844,0.776113319,2008.920184,-22.98,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,1,2,0.353580902,0.338084521,0.127643466,-0.002716934,0.004859142,5.68746161,0.233270083,1.913376889,0.131879724,3.830732675,0.271990871,4.111922919,0.789052604,2006.808077,-25.113,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,2,3,0.352961981,0.323647295,0.152918486,-0.002591833,0.004635403,5.527449661,0.276673449,1.6673196,0.135240488,3.918504287,0.312615252,6.422331943,0.798722074,2004.497668,-25.822,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,3,4,0.478691424,0.240672331,0.132914045,-0.002897658,0.005182361,5.562366076,0.241335844,1.342568573,0.135509165,4.284235851,0.281004014,10.18677328,0.813607424,2000.733227,-26.344,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,4,5,0.361450044,0.297945205,0.142158579,-0.002950915,0.005277608,5.702398898,0.2396992,1.378108913,0.137055164,4.390751795,0.280359435,13.4366103,0.83564493,1997.48339,-27.585,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,5,6,0.187179487,0.524799244,0.186387681,-0.003594196,0.006428094,5.658028496,0.313786951,1.638761107,0.173820061,4.081528125,0.364270717,15.1266643,0.848485552,1995.793336,-26.562,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,6,7,0.158974359,0.627363737,NA,-0.004092384,0.007319087,7.434086072,0.31147216,1.442237538,0.184971363,6.085648148,0.367926946,17.40301163,0.874912696,1993.516988,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,7,8,0.194217507,0.645816261,NA,-0.003693816,0.006606261,6.742252926,0.30352762,1.291128551,0.169728689,5.537193853,0.353250766,20.13852569,0.906142608,1990.781474,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,8,9,0.1688771,0.641361257,NA,-0.003150399,0.00563438,5.622238033,0.239444934,1.488279636,0.144779607,4.200097691,0.284289288,22.07933805,0.933452676,1988.840662,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,9,10,0.182670203,0.604065828,NA,-0.003419242,0.006115197,5.142332295,0.252576009,1.399450136,0.156598563,3.803370585,0.301985891,24.10136003,0.960338106,1986.81864,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,10,11,0.182404951,0.666989821,0.273464496,-0.004029296,0.007206256,4.971354873,0.252103414,1.316260099,0.177687555,3.720913598,0.31398405,26.2078124,0.988689249,1984.712188,-26.22,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,11,12,0.141114058,0.676065163,0.263240338,-0.004343874,0.007768868,5.946575041,0.299370086,1.651915131,0.195927086,4.372771823,0.364292267,28.25077697,1.019938534,1982.669223,-26.048,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,12,13,0.184084881,0.594620557,0.283538099,-0.004467031,0.00798913,6.116296684,0.287711672,1.911422632,0.199201363,4.282370075,0.356391288,31.06542209,1.06047602,1979.854578,-25.95,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,13,14,0.209372237,0.636402027,NA,-0.003671292,0.0065659790000000004,5.003153187,0.243340395,1.415409686,0.164188623,3.65436799,0.299002833,34.05558157,1.109171413,1976.864418,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,14,15,0.200884173,0.554577465,0.397737515,0.581501646,0.035836959,4.459416335,0.253200278,1.075270462,0.1655091,3.447690249,0.30817581,37.02553031,1.159526239,1973.89447,-25.664,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,15,16,0.182228117,0.623483746,0.238324035,-0.003788018,0.006774739,4.756257889,0.239099372,1.543183221,0.168479319,3.275657316,0.298193016,39.82601413,1.214496358,1971.093986,-25.928,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,16,17,0.158355438,0.615298716,0.236351937,-0.00370783,0.006631325,4.608845682,0.222698689,1.51759379,0.163089347,3.152253283,0.2814777,42.37139537,1.274006803,1968.548605,-26.023,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,17,18,0.14305924,0.608776267,0.24490359,-0.003346117,0.005984415,4.590948327,0.274740619,1.557548329,0.161190784,3.09436732,0.324937812,44.81094867,1.33096078,1966.109051,-25.835,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,18,19,0.158797524,0.598552339,0.254274187,-0.003472952,0.006211253,4.086062131,0.24387143,1.279614141,0.158704572,2.863240307,0.296852836,47.52588999,1.399510331,1963.39411,-25.771,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,19,20,0.170733864,0.595546349,NA,-0.003606884,0.006450787,4.440585123,0.252426827,1.83864282,0.167394556,2.655073345,0.309071531,50.48246659,1.471940067,1960.437533,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,20,21,0.197966401,0.591335418,0.253311772,-0.003203986,0.005730218,4.42470178,0.255236047,1.609535198,0.153636361,2.87300514,0.304029442,54.62418907,1.581410011,1956.295811,-25.763,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,21,22,0.180548187,0.620470127,NA,-0.003296715,0.00589606,3.844973151,0.273593284,1.28157877,0.159748793,2.616207153,0.323344351,58.52300826,1.687252184,1952.396992,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,22,23,0.180371353,0.618627451,0.263117216,-0.003519168,0.00629391,4.216549183,0.2122905,1.275745639,0.154614271,3.002358326,0.268124032,63.66647529,1.888187693,1947.253525,-25.841,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,23,24,0.16622458,0.569680851,0.262861139,-0.004128715,0.007384063,4.202089543,0.281896557,1.368229767,0.1879901,2.893662692,0.345980763,69.04804336,2.092832796,1941.871957,-25.692,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,24,25,0.203271441,0.606350587,NA,-0.003249689,0.005811956,3.044586732,0.227425451,1.574815012,0.154010187,1.501007502,0.280503491,72.99779435,2.21464025,1937.922206,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,25,26,0.177099912,0.616575137,0.249960984,-0.003451267,0.006172471,3.07926884,0.228432533,1.563660423,0.159965391,1.547989886,0.284831717,77.01545558,2.365896696,1933.904544,-25.583,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,26,27,0.159062776,0.62979433,NA,-0.006120376,0.01094608,2.663947266,0.334672724,1.487504336,0.268154464,1.197208568,0.436420287,80.13513194,2.304364612,1930.784868,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,27,28,0.217064545,0.638696538,0.236063642,-0.004308075,0.007704843,4.112776082,0.274987789,1.672735674,0.194608426,2.493335708,0.344242225,91.13188039,2.640599241,1919.78812,-25.696,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,28,29,0.150132626,0.647232038,0.215913564,-0.00402713,0.007202383,5.702444133,0.302667892,1.691853387,0.186475341,4.098697023,0.363310896,111.1796879,4.183734222,1899.740312,-26.109,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,29,30,0.148452697,0.598570578,0.241377329,-0.004221768,0.007550486,4.881644169,0.260214971,1.702121839,0.187301848,3.250354649,0.327757458,147.7602088,11.00288402,1863.159791,-25.91,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,30,31,0.142528736,0.6191067,NA,-0.004382835,0.007838549,2.789007019,0.24321383,1.922812875,0.193619396,0.885761367,0.31789479,173.8216422,20.11521255,1837.098358,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-8,31,32,0.185676393,0.624285714,NA,-0.004628298,0.00827755,2.595573445,0.260362382,2.064538596,0.206932303,0.543178001,0.340185415,NA,NA,NA,NA,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,0,1,0.25994695,0.264965986,0.132634907,-0.002934095,0.005247527,5.828593935,0.314344808,1.597460559,0.151550558,4.369767771,0.360404632,2.053139646,0.864382311,2008.86686,-27.8341416,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,1,2,0.201945181,0.389229422,0.155255848,-0.003721334,0.006655478,5.736882614,0.247868771,1.544068526,0.166065431,4.329852508,0.308108344,3.728164985,0.879954996,2007.191835,-27.97974708,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,2,3,0.139257294,0.546666667,0.23025366,-0.00415953,0.007439175,8.623480326,0.321233251,1.039295963,0.184721082,7.648661018,0.373707608,5.894188387,0.906422283,2005.025812,-27.041,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,3,4,0.137223696,0.601159794,0.235061262,-0.004431802,0.007926124,9.224793631,0.437523564,1.926647689,0.215069714,7.36073211,0.491707198,8.092685497,0.930404209,2002.827315,-27.99038859,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,4,5,0.144473917,0.503059976,0.27393117,-0.00528275,0.009448015,8.125803388,0.334572621,1.400458025,0.230531563,6.785108865,0.409915497,10.38069872,0.960189492,2000.539301,-26.796,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,5,6,0.145446508,0.630395137,0.3367,-0.004249168,0.00759949,8.638521861,0.405202772,1.506019406,0.201095753,7.196785758,0.456436222,13.01847779,0.995590177,1997.9015220000001,-26.2,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,6,7,0.155437666,0.555745165,0.260854932,-0.004117119,0.007363326,8.385735875,0.375164525,1.175614662,0.189906313,7.275822387,0.42432293,16.1352584,1.043624231,1994.784742,-25.933,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,7,8,0.106012378,0.613010842,0.321507705,-0.008839206,0.015808613,7.551051655,0.571869311,0.587644286,0.385026766,7.027793072,0.695780224,18.36729892,1.070021839,1992.552701,-26.479,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,8,9,0.151370469,0.630257009,0.330733134,-0.005759185,0.010300103,7.099142211,0.363141511,0.920343893,0.250402797,6.269096481,0.447551197,21.45527172,1.121175332,1989.464728,-25.933,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,9,10,0.142351901,0.611801242,0.284504804,-0.005456291,0.009758387,6.704494963,0.417804674,1.572712295,0.251047706,5.300619416,0.503464487,24.14193618,1.161410367,1986.778064,-27.62635282,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,10,11,0.167108753,0.619047619,0.290727907,-0.007179208,0.012839765,5.411293265,0.46098301,1.301119374,0.319529488,4.245889025,0.579416942,26.89142276,1.174474879,1984.028577,-27.33654314,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,11,12,0.10760389,0.622843057,0.33221961,0.493790983,0.034887179,4.541461313,0.339655802,1.376673407,0.25429283,3.270211785,0.43843492,28.34764441,1.198294663,1982.572356,-26.47,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,12,13,0.169849691,0.564809995,0.28514532,0.71674657,0.047630859,4.986729075,0.349373623,1.586625468,0.244455244,3.513988528,0.440686455,30.97944402,1.228231417,1979.940556,-27.32545119,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,13,14,0.177630416,0.574415132,0.297526616,0.770578544,0.047572763,4.024738246,0.30103432,1.458280095,0.210692909,2.652829967,0.379807575,33.22131081,1.252823449,1977.698689,-25.849,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,14,15,0.18974359,0.561509786,0.292140174,0.942680554,0.039969608,4.726866267,0.281322772,1.811884647,0.208375025,3.01397651,0.36197907,36.17072427,1.29424125,1974.749276,-26.003,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,15,16,0.12086649,0.651060717,0.281382585,0.888774073,0.043870415,4.295035882,0.290318818,1.345164819,0.210124746,2.982686813,0.362368575,38.17962549,1.336560578,1972.740375,-27.6099242,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,16,17,0.133863837,0.55680317,0.273094299,0.8432707,0.036994036,4.902695939,0.298970288,1.713525207,0.226135869,3.225281724,0.379105511,40.76362648,1.390956815,1970.156374,-25.198,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,17,18,0.134836428,0.615081967,0.288301521,-0.005718163,0.010226737,4.814165619,0.375307335,1.614266047,0.258595331,3.308946441,0.47130316,43.67216651,1.434827909,1967.247833,-25.198,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,18,19,0.208134394,0.579014444,0.276042033,-0.004617523,0.008258279,5.285824007,0.311120077,1.631680437,0.208581652,3.779426865,0.387411604,49.54550907,1.539785732,1961.374491,-25.198,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,19,20,0.171706454,0.555097837,0.288301521,-0.004946039,0.00884582,5.496782281,0.331217976,1.695019808,0.223141233,3.845828941,0.404000449,55.47033816,1.673198506,1955.449662,-25.198,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,20,21,0.143324492,0.541640962,0.287956873,-0.004669642,0.008351493,5.0850993,0.364244094,1.403973447,0.218713022,3.724135959,0.429827884,61.21415505,1.822175993,1949.705845,-26.255,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,21,22,0.157648099,0.561413348,0.257573909,-0.003969759,0.007099777,4.999305531,0.257558871,1.478273007,0.177105269,3.562948021,0.316295624,68.62632772,2.123027884,1942.293672,-27.12581238,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,22,23,0.165694076,0.562966916,0.280237962,-0.003409044,0.006096957,3.913588201,0.228617085,1.42477209,0.155046666,2.518964923,0.279580331,75.50956825,2.449371781,1935.410432,-26.332,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,23,24,0.139168877,0.567344346,0.295629904,-0.005166192,0.009239555,3.562368056,0.300381368,1.21417236,0.226864387,2.429270615,0.389422812,82.42107608,2.739236149,1928.498924,-26.09,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,24,25,0.147303271,0.545018007,0.251855656,0.32112605,0.022402294,4.084715868,0.269273833,1.704788063,0.207611908,2.409589457,0.344254136,91.75072002,3.276823671,1919.16928,-26.8671311,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,25,26,0.094076039,0.521616541,0.28750898,-0.006551472,0.01171708,5.237659943,0.41778252,1.999442037,0.295716217,3.279056577,0.518305224,102.8859668,4.085948628,1908.034033,-26.153,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,26,27,0.145534925,0.545565006,0.279844396,0.254713209,0.026133503,3.492025675,0.266199809,1.304367179,0.188982832,2.263618047,0.337796703,121.6584946,6.201726502,1889.261505,-25.525,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,27,28,0.139787798,0.542061986,0.268205637,-0.003789295,0.006777023,2.802532292,0.237474758,1.393354586,0.172422844,1.427196081,0.297221245,142.7223532,10.16978437,1868.197647,-25.906,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,28,29,0.136781609,0.541693601,0.268372716,-0.007160911,0.012807041,3.428467881,0.384748166,1.862992476,0.31142077,1.573122156,0.497406826,NA,NA,NA,-25.416,1 cm intervals
Breithaupt_et_al_2014,WSC-5,SH3-9,29,30,0.169230769,0.595088819,0.276594499,-0.004558836,0.00815332,1.899203503,0.246642715,1.79560768,0.201843513,NA,NA,NA,NA,NA,-25.226,1 cm intervals
