table,study_id,site_id,core_id
cores,Liu_et_al_2008,"Donghai Harbor Mangrove Reserve, Hainan Province",M0476
cores,Liu_et_al_2008,"Donghai Harbor Mangrove Reserve, Hainan Province",M0477
cores,Liu_et_al_2008,"Donghai Harbor Mangrove Reserve, Hainan Province",M0478
cores,Hu_et_al_2010,"Shanyutan Wetland, Minjiang River estuary, Fujian Province",M0479
cores,Mao_et_al_2011,"Shenzhen Bay, Shenzhen City, Guangdong Province",M0480
cores,Mao_et_al_2011,"Shenzhen Bay, Shenzhen City, Guangdong Province",M0481
cores,Mao_et_al_2012,"Futian Mangrove Reserve, Shenzhen City, Guangdong Province",M0482
cores,Mao_et_al_2012,"Futian Mangrove Reserve, Shenzhen City, Guangdong Province",M0483
cores,Mao_et_al_2012,"Futian Mangrove Reserve, Shenzhen City, Guangdong Province",M0484
cores,Xu_et_al_2012,"Zhanjiang National Nature Reserve, Gaoqiao Town, Zhanjiang, Guangdong Province (next to Shankou in Guangxi, Yingluo Bay)",M0485
cores,Xu_et_al_2012,"Zhanjiang National Nature Reserve, Gaoqiao Town, Zhanjiang, Guangdong Province (next to Shankou in Guangxi, Yingluo Bay)",M0486
cores,Xu_et_al_2012,"Zhanjiang National Nature Reserve, Gaoqiao Town, Zhanjiang, Guangdong Province (next to Shankou in Guangxi, Yingluo Bay)",M0487
cores,Donato_et_al_2012,Airai,M0488
cores,Donato_et_al_2012,Ngkeklau,M0489
cores,Bhomia_et_al_2016_Honduras,Gulf of Fonseca,M0490
cores,Bhomia_et_al_2016_Honduras,Gulf of Fonseca,M0491
cores,Bhomia_et_al_2016_Honduras,Gulf of Fonseca,M0492
cores,Bhomia_et_al_2016_Honduras,Gulf of Fonseca,M0493
cores,Bhomia_et_al_2016_Honduras,Tela,M0494
cores,Bhomia_et_al_2016_Honduras,Tela,M0495
cores,Bhomia_et_al_2016_Honduras,Tela,M0496
cores,Bhomia_et_al_2016_Honduras,Tela,M0497
cores,Bhomia_et_al_2016_Honduras,Tela,M0498
cores,Bhomia_et_al_2016_Honduras,Roatan,M0499
cores,Bhomia_et_al_2016_Honduras,Roatan,M0500
cores,Bhomia_et_al_2016_Honduras,Guanaja,M0501
cores,Bhomia_et_al_2016_Honduras,Guanaja,M0502
cores,Bhomia_et_al_2016_Honduras,Utila,M0503
cores,Bhomia_et_al_2016_Honduras,Utila,M0504
cores,Bhomia_et_al_2016_Honduras,Utila,M0505
cores,Bhomia_et_al_2016_Honduras,Utila,M0506
cores,Bhomia_et_al_2016_Honduras,Utila,M0507
cores,Ren_et_al_2008,Leizhou Bay,M0508
cores,Ren_et_al_2008,Leizhou Bay,M0509
cores,Ren_et_al_2008,Leizhou Bay,M0510
cores,Ren_et_al_2008,Leizhou Bay,M0511
cores,Ren_et_al_2008,Leizhou Bay,M0512
cores,Ren_et_al_2008,Leizhou Bay,M0513
cores,Bulmer_et_al_2016,Whangateau,M0514
cores,Bulmer_et_al_2016,Bayswater,M0515
cores,Bulmer_et_al_2016,Mangere,M0516
cores,Bulmer_et_al_2016,Whangamata,M0517
cores,Upkong_1997,Creek Town,M0518
cores,Upkong_1997,Creek Town,M0519
cores,Upkong_1997,Creek Town,M0520
cores,Upkong_1997,Creek Town,M0521
cores,Ranjan_2010,Pichavaram,M0522
cores,Ranjan_2010,Pichavaram,M0523
cores,Ranjan_2010,Pichavaram,M0524
cores,Gomes_et_al_2016,"Almada River, Ilhus-BA",M0525
cores,Gomes_et_al_2016,"Almada River, Ilhus-BA",M0526
cores,Gomes_et_al_2016,"Almada River, Ilhus-BA",M0527
cores,Gomes_et_al_2016,"Almada River, Ilhus-BA",M0528
cores,Gomes_et_al_2016,"Almada River, Ilhus-BA",M0529
cores,Fujimoto_et_al_1999,Pohnpei Island,M0530
cores,Fujimoto_et_al_1999,Pohnpei Island,M0531
cores,Fujimoto_et_al_1999,Pohnpei Island,M0532
cores,Ajonina_et_al_2014,Kpetou Village,M0533
cores,Ajonina_et_al_2014,Djegbadji Village,M0534
cores,Ajonina_et_al_2014,Adounko Vilage,M0535
cores,Ajonina_et_al_2014,Adounko Vilage,M0536
cores,Kelleway_et_al_2016,Towra Point Nature Reserve,M0543
cores,Kelleway_et_al_2016,Towra Point Nature Reserve,M0544
cores,Kelleway_et_al_2016,Towra Point Nature Reserve,M0545
cores,Kelleway_et_al_2016,Towra Point Nature Reserve,M0546
cores,Kelleway_et_al_2016,Towra Point Nature Reserve,M0547
cores,Kelleway_et_al_2016,Towra Point Nature Reserve,M0548
cores,Kelleway_et_al_2016,Towra Point Nature Reserve,M0549
cores,Kelleway_et_al_2016,Towra Point Nature Reserve,M0550
cores,Kelleway_et_al_2016,Towra Point Nature Reserve,M0551
cores,Kelleway_et_al_2016,Towra Point Nature Reserve,M0552
cores,Kelleway_et_al_2016,Towra Point Nature Reserve,M0553
cores,Kelleway_et_al_2016,Towra Point Nature Reserve,M0554
cores,Kelleway_et_al_2016,Georges River National Park,M0555
cores,Kelleway_et_al_2016,Georges River National Park,M0556
cores,Kelleway_et_al_2016,Georges River National Park,M0557
cores,Kelleway_et_al_2016,Georges River National Park,M0558
cores,Kelleway_et_al_2016,Georges River National Park,M0559
cores,Kelleway_et_al_2016,Georges River National Park,M0560
cores,Kelleway_et_al_2016,Georges River National Park,M0561
cores,Kelleway_et_al_2016,Georges River National Park,M0562
cores,Kelleway_et_al_2016,Georges River National Park,M0563
cores,Kelleway_et_al_2016,Georges River National Park,M0564
cores,Kelleway_et_al_2016,Georges River National Park,M0565
cores,Kelleway_et_al_2016,Georges River National Park,M0566
cores,Alongi_et_al_2008,"Hurun Bay, Gulf of Lampung, Sumatra",M0627
cores,Alongi_et_al_2008,"Hurun Bay, Gulf of Lampung, Sumatra",M0628
cores,Alongi_et_al_2008,"Hurun Bay, Gulf of Lampung, Sumatra",M0629
cores,Alongi_et_al_2008,"Awerange Bay, Sulawesi",M0630
cores,Dung_et_al_2016,"Khe Vinh Creek, Can Gio",M0631
cores,Dung_et_al_2016,"Khe Vinh Creek, Can Gio",M0632
cores,Dung_et_al_2016,"Khe Vinh Creek, Can Gio",M0633
cores,Dung_et_al_2016,"Khe Vinh Creek, Can Gio",M0634
cores,Phang_et_al_2016,Chek Jawa,M0635
cores,Andreetta_et_al_2016,"Tande, Cacheu",M0636
cores,Andreetta_et_al_2016,"Blaftchur, Oio",M0637
cores,Sanders_et_al_2008,Ilha Grande,M0652
cores,Sanders_et_al_2010_ECSS,Tamandare,M0653
cores,Sanders_et_al_2010_ECSS,Tamandare,M0654
cores,Sanders_et_al_2014,Cubatao,M0655
cores,Sanders_et_al_2014,Cubatao,M0656
cores,Lang'at_et_al_2014,Gazi Bay,M0657
cores,Pazi_et_al_2016,"Awat-Awat Mangrove Forest Reserve, Lawas, Sarawak",M0658
cores,Pazi_et_al_2016,"Awat-Awat Mangrove Forest Reserve, Lawas, Sarawak",M0659
cores,Pazi_et_al_2016,"Awat-Awat Mangrove Forest Reserve, Lawas, Sarawak",M0660
cores,Szczygielski_et_al_2015,Parnaiba Delta,M0661
cores,Yang_et_al_2013,Waitemata Harbour,M0662
cores,Yang_et_al_2013,Waitemata Harbour,M0663
cores,Yang_et_al_2013,Waitemata Harbour,M0664
cores,Bouillon_et_al_2004_FEMS,Pambala-Chilaw Lagoon,M0665
cores,Bouillon_et_al_2004_FEMS,Pambala-Chilaw Lagoon,M0666
cores,Bouillon_et_al_2004_FEMS,Pambala-Chilaw Lagoon,M0667
cores,Bouillon_et_al_2004_FEMS,Pambala-Chilaw Lagoon,M0668
cores,Bouillon_et_al_2004_FEMS,Pambala-Chilaw Lagoon,M0669
cores,Bouillon_et_al_2004_FEMS,Pambala-Chilaw Lagoon,M0670
cores,Bouillon_et_al_2004_FEMS,Pichavaram,M0671
cores,Bouillon_et_al_2004_FEMS,Pichavaram,M0672
cores,Bouillon_et_al_2004_FEMS,Chunnambar River,M0673
cores,Mfilinge_et_al_2002,"Oura Bay, Okinawa",M0674
cores,Mfilinge_et_al_2002,"Oura Bay, Okinawa",M0675
cores,Kazungu_1996,Gazi Bay,M0676
cores,Kazungu_1996,Gazi Bay,M0677
cores,Middelburg_et_al_1996,Gazi Bay,M0678
cores,Middelburg_et_al_1996,Gazi Bay,M0679
cores,Middelburg_et_al_1996,Gazi Bay,M0680
cores,Middelburg_et_al_1996,Gazi Bay,M0681
cores,Middelburg_et_al_1996,Gazi Bay,M0682
cores,Middelburg_et_al_1996,Gazi Bay,M0683
cores,Middelburg_et_al_1996,Gazi Bay,M0684
cores,Middelburg_et_al_1996,Gazi Bay,M0685
cores,Middelburg_et_al_1996,Gazi Bay,M0686
cores,Middelburg_et_al_1996,Gazi Bay,M0687
cores,Middelburg_et_al_1996,Gazi Bay,M0688
cores,Middelburg_et_al_1996,Gazi Bay,M0689
cores,Smoak_et_al_2013,"Harney River, Everglades National Park, Florida",M0690
cores,Ferreira_et_al_2007,"GuarujÃ¡, Sao Paulo",M0691
cores,Ferreira_et_al_2007,"GuarujÃ¡, Sao Paulo",M0692
cores,Ferreira_et_al_2007,"GuarujÃ¡, Sao Paulo",M0693
cores,Ferreira_et_al_2007,"GuarujÃ¡, Sao Paulo",M0694
cores,Sanders_et_al_2015,Moreton Bay,M0695
cores,Sanders_et_al_2015,Moreton Bay,M0696
cores,Ashton_and_Macintosh_2002,"Sematan Mangrove Forest, Sarawak",M0697
cores,Ashton_and_Macintosh_2002,"Sematan Mangrove Forest, Sarawak",M0698
cores,Ashton_and_Macintosh_2002,"Sematan Mangrove Forest, Sarawak",M0699
cores,Ashton_and_Macintosh_2002,"Sematan Mangrove Forest, Sarawak",M0700
cores,Ashton_and_Macintosh_2002,"Sematan Mangrove Forest, Sarawak",M0701
cores,Ashton_and_Macintosh_2002,"Sematan Mangrove Forest, Sarawak",M0702
cores,Ashton_and_Macintosh_2002,"Sematan Mangrove Forest, Sarawak",M0703
cores,Ashton_and_Macintosh_2002,"Sematan Mangrove Forest, Sarawak",M0704
cores,Ashton_and_Macintosh_2002,"Sematan Mangrove Forest, Sarawak",M0705
cores,Giani_et_al_1996,Balandra Bay,M0706
cores,Giani_et_al_1996,Balandra Bay,M0707
cores,Giani_et_al_1996,Balandra Bay,M0708
cores,Giani_et_al_1996,Balandra Bay,M0709
cores,Giani_et_al_1996,Ensenada La Paz,M0710
cores,Penha-Lopes_et_al_2009,Inhaca Island,M0711
cores,Woodroffe_1985,Tuff Crater,M0712
cores,Woodroffe_1985,Tuff Crater,M0713
cores,Woodroffe_1985,Tuff Crater,M0714
cores,Woodroffe_1985,Tuff Crater,M0715
cores,Woodroffe_1985,Tuff Crater,M0716
cores,Woodroffe_1985,Tuff Crater,M0717
cores,Woodroffe_1985,Tuff Crater,M0718
cores,Woodroffe_1985,Tuff Crater,M0719
cores,Woodroffe_1985,Tuff Crater,M0720
cores,Woodroffe_1985,Tuff Crater,M0721
cores,Woodroffe_1985,Tuff Crater,M0722
cores,Woodroffe_1985,Tuff Crater,M0723
cores,Woodroffe_1985,Tuff Crater,M0724
cores,Woodroffe_1985,Tuff Crater,M0725
cores,Woodroffe_1985,Tuff Crater,M0726
cores,Woodroffe_1985,Tuff Crater,M0727
cores,Woodroffe_1985,Tuff Crater,M0728
cores,Woodroffe_1985,Tuff Crater,M0729
cores,Woodroffe_1985,Tuff Crater,M0730
cores,Woodroffe_1985,Tuff Crater,M0731
cores,Alongi_et_al_2001,Sawi Bay,M0732
cores,Alongi_et_al_2001,Sawi Bay,M0733
cores,Alongi_et_al_2001,Sawi Bay,M0734
cores,Alongi_et_al_2001,Sawi Bay,M0735
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0736
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0737
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0738
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0739
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0740
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0741
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0742
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0743
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0744
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0745
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0746
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0747
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0748
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0749
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0750
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0751
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0752
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0753
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0754
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0755
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0756
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0757
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0758
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0759
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0760
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0761
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0762
cores,Cifuentes_Unpublished,TÃ©rraba-Sierpe,M0763
cores,Cifuentes_Unpublished,Gulf of Nicoya,M0764
cores,Cifuentes_Unpublished,Gulf of Nicoya,M0765
cores,Cifuentes_Unpublished,Gulf of Nicoya,M0766
cores,Cifuentes_Unpublished,Gulf of Nicoya,M0767
cores,Cifuentes_Unpublished,Gulf of Nicoya,M0768
cores,Cifuentes_Unpublished,Gulf of Nicoya,M0769
cores,Cifuentes_Unpublished,Gulf of Nicoya,M0770
cores,Cifuentes_Unpublished,Gulf of Nicoya,M0771
cores,Cifuentes_Unpublished,Gulf of Nicoya,M0772
cores,Cifuentes_Unpublished,Gulf of Nicoya,M0773
cores,Cifuentes_Unpublished,Gulf of Nicoya,M0774
cores,Cifuentes_Unpublished,Gulf of Nicoya,M0775
cores,Cifuentes_Unpublished,Gulf of Nicoya,M0776
cores,Cifuentes_Unpublished,Gulf of Nicoya,M0777
cores,Cifuentes_Unpublished,Gulf of ChiriquÃ­,M0778
cores,Cifuentes_Unpublished,Gulf of ChiriquÃ­,M0779
cores,Cifuentes_Unpublished,Gulf of ChiriquÃ­,M0780
cores,Cifuentes_Unpublished,Gulf of ChiriquÃ­,M0781
cores,Cifuentes_Unpublished,Gulf of ChiriquÃ­,M0782
cores,Cifuentes_Unpublished,Gulf of ChiriquÃ­,M0783
cores,Cifuentes_Unpublished,Gulf of ChiriquÃ­,M0784
cores,Cifuentes_Unpublished,Gulf of ChiriquÃ­,M0785
cores,Cifuentes_Unpublished,Gulf of ChiriquÃ­,M0786
cores,Cifuentes_Unpublished,Gulf of ChiriquÃ­,M0787
cores,Cifuentes_Unpublished,Gulf of ChiriquÃ­,M0788
cores,Cifuentes_Unpublished,Gulf of ChiriquÃ­,M0789
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0790
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0791
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0792
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0793
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0794
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0795
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0796
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0797
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0798
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0799
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0800
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0801
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0802
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0803
cores,Cifuentes_Unpublished,BahÃ­a de Jiquilisco,M0804
cores,Cifuentes_Unpublished,Estero de Jaltepeque,M0805
cores,Cifuentes_Unpublished,Estero de Jaltepeque,M0806
cores,Cifuentes_Unpublished,Estero de Jaltepeque,M0807
cores,Cifuentes_Unpublished,Estero de Jaltepeque,M0808
cores,Cifuentes_Unpublished,Estero de Jaltepeque,M0809
cores,Cifuentes_Unpublished,Estero de Jaltepeque,M0810
cores,Cifuentes_Unpublished,Estero de Jaltepeque,M0811
cores,Cifuentes_Unpublished,Estero de Jaltepeque,M0812
cores,Cifuentes_Unpublished,Estero de Jaltepeque,M0813
cores,Cifuentes_Unpublished,Estero de Jaltepeque,M0814
cores,Cifuentes_Unpublished,Estero de Jaltepeque,M0815
cores,Cifuentes_Unpublished,Estero de Jaltepeque,M0816
cores,Cifuentes_Unpublished,Estero de Jaltepeque,M0817
cores,Loi_and_Ni_2015,"Ong Trang sand bar, Ngoc Hien district, Ca Mau province",M0958
cores,Loi_and_Ni_2015,"Ong Trang sand bar, Ngoc Hien district, Ca Mau province",M0959
cores,Loi_and_Ni_2015,"Ong Trang sand bar, Ngoc Hien district, Ca Mau province",M0960
cores,Brunskill_et_al_2004,"Iriana Jaya, West Papua",M0961
cores,Brunskill_et_al_2004,"Iriana Jaya, West Papua",M0962
cores,Brunskill_et_al_2004,"Iriana Jaya, West Papua",M0963
cores,Brunskill_et_al_2004,"Iriana Jaya, West Papua",M0964
cores,Kao_et_al_2002,Tamsui River,M0965
cores,Kao_et_al_2002,Tamsui River,M0966
cores,Yando_et_al_2016,"Port Aransas, Texas",M0967
cores,Yando_et_al_2016,"Port Fourchon, Louisiana",M0968
cores,Yando_et_al_2016,"Cedar Key, Florida",M0969
cores,Keuskamp_et_al_2013,"Thuwal, Jeddah",M0970
cores,Keuskamp_et_al_2013,Farazan Islands,M0971
cores,Callaway_et_al_1997,"North Key Largo, Florida",M0972
cores,Chmura_et_al_2003,"Rookery Bay, Florida",M0973
cores,Chmura_et_al_2003,"Rookery Bay, Florida",M0974
cores,Chmura_et_al_2003,Kosrae,M0975
cores,Chmura_et_al_2003,Kosrae,M0976
cores,Chmura_et_al_2003,Kosrae,M0977
cores,Jones_et_al_2016,Ambaro-Ambanja,M0978
cores,Jones_et_al_2016,Ambaro-Ambanja,M0979
cores,Jones_et_al_2016,Ambaro-Ambanja,M0980
cores,Jones_et_al_2016,Ambaro-Ambanja,M0981
cores,Jones_et_al_2016,Ambaro-Ambanja,M0982
cores,Jones_et_al_2016,Ambaro-Ambanja,M0983
cores,Jones_et_al_2016,Ambaro-Ambanja,M0984
cores,Jones_et_al_2016,Ambaro-Ambanja,M0985
cores,Jones_et_al_2016,Ambaro-Ambanja,M0986
cores,Jones_et_al_2016,Ambaro-Ambanja,M0987
cores,Jones_et_al_2016,Ambaro-Ambanja,M0988
cores,Jones_et_al_2016,Ambaro-Ambanja,M0989
cores,Jones_et_al_2016,Ambaro-Ambanja,M0990
cores,Jones_et_al_2016,Ambaro-Ambanja,M0991
cores,Jones_et_al_2016,Ambaro-Ambanja,M0992
cores,Jones_et_al_2016,Ambaro-Ambanja,M0993
cores,Jones_et_al_2016,Ambaro-Ambanja,M0994
cores,Jones_et_al_2016,Ambaro-Ambanja,M0995
cores,Jones_et_al_2016,Ambaro-Ambanja,M0996
cores,Jones_et_al_2016,Ambaro-Ambanja,M0997
cores,Jones_et_al_2016,Ambaro-Ambanja,M0998
cores,Jones_et_al_2016,Ambaro-Ambanja,M0999
cores,Jones_et_al_2016,Ambaro-Ambanja,M1000
cores,Jones_et_al_2016,Ambaro-Ambanja,M1001
cores,Jones_et_al_2016,Ambaro-Ambanja,M1002
cores,Jones_et_al_2016,Ambaro-Ambanja,M1003
cores,Jones_et_al_2016,Ambaro-Ambanja,M1004
cores,Jones_et_al_2016,Ambaro-Ambanja,M1005
cores,Jones_et_al_2016,Ambaro-Ambanja,M1006
cores,Jones_et_al_2016,Ambaro-Ambanja,M1007
cores,Jones_et_al_2016,Ambaro-Ambanja,M1008
cores,Jones_et_al_2016,Ambaro-Ambanja,M1009
cores,Jones_et_al_2016,Ambaro-Ambanja,M1010
cores,Jones_et_al_2016,Ambaro-Ambanja,M1011
cores,Jones_et_al_2016,Ambaro-Ambanja,M1012
cores,Jones_et_al_2016,Ambaro-Ambanja,M1013
cores,Jones_et_al_2016,Ambaro-Ambanja,M1014
cores,Jones_et_al_2016,Ambaro-Ambanja,M1015
cores,Jones_et_al_2016,Ambaro-Ambanja,M1016
cores,Jones_et_al_2016,Ambaro-Ambanja,M1017
cores,Jones_et_al_2016,Ambaro-Ambanja,M1018
cores,Jones_et_al_2016,Ambaro-Ambanja,M1019
cores,Jones_et_al_2016,Ambaro-Ambanja,M1020
cores,Jones_et_al_2016,Ambaro-Ambanja,M1021
cores,Jones_et_al_2016,Ambaro-Ambanja,M1022
cores,Jones_et_al_2016,Ambaro-Ambanja,M1023
cores,Jones_et_al_2016,Ambaro-Ambanja,M1024
cores,Blue_Ventures_Unpublished,Mahajamba,M1025
cores,Blue_Ventures_Unpublished,Mahajamba,M1026
cores,Blue_Ventures_Unpublished,Mahajamba,M1027
cores,Blue_Ventures_Unpublished,Mahajamba,M1028
cores,Blue_Ventures_Unpublished,Mahajamba,M1029
cores,Blue_Ventures_Unpublished,Mahajamba,M1030
cores,Blue_Ventures_Unpublished,Mahajamba,M1031
cores,Blue_Ventures_Unpublished,Mahajamba,M1032
cores,Blue_Ventures_Unpublished,Mahajamba,M1033
cores,Blue_Ventures_Unpublished,Mahajamba,M1034
cores,Blue_Ventures_Unpublished,Mahajamba,M1035
cores,Blue_Ventures_Unpublished,Mahajamba,M1036
cores,Blue_Ventures_Unpublished,Mahajamba,M1037
cores,Blue_Ventures_Unpublished,Mahajamba,M1038
cores,Blue_Ventures_Unpublished,Mahajamba,M1039
cores,Blue_Ventures_Unpublished,Mahajamba,M1040
cores,Blue_Ventures_Unpublished,Mahajamba,M1041
cores,Blue_Ventures_Unpublished,Mahajamba,M1042
cores,Blue_Ventures_Unpublished,Mahajamba,M1043
cores,Blue_Ventures_Unpublished,Mahajamba,M1044
cores,Blue_Ventures_Unpublished,Mahajamba,M1045
cores,Blue_Ventures_Unpublished,Mahajamba,M1046
cores,Blue_Ventures_Unpublished,Mahajamba,M1047
cores,Blue_Ventures_Unpublished,Mahajamba,M1048
cores,Blue_Ventures_Unpublished,Mahajamba,M1049
cores,Blue_Ventures_Unpublished,Mahajamba,M1050
cores,Blue_Ventures_Unpublished,Mahajamba,M1051
cores,Blue_Ventures_Unpublished,Mahajamba,M1052
cores,Blue_Ventures_Unpublished,Mahajamba,M1053
cores,Blue_Ventures_Unpublished,Mahajamba,M1054
cores,Blue_Ventures_Unpublished,Mahajamba,M1055
cores,Blue_Ventures_Unpublished,Mahajamba,M1056
cores,Blue_Ventures_Unpublished,Mahajamba,M1057
cores,Blue_Ventures_Unpublished,Mahajamba,M1058
cores,Blue_Ventures_Unpublished,Mahajamba,M1059
cores,Blue_Ventures_Unpublished,Mahajamba,M1060
cores,Blue_Ventures_Unpublished,Mahajamba,M1061
cores,Blue_Ventures_Unpublished,Mahajamba,M1062
cores,Blue_Ventures_Unpublished,Mahajamba,M1063
cores,Blue_Ventures_Unpublished,Mahajamba,M1064
cores,Blue_Ventures_Unpublished,Mahajamba,M1065
cores,Blue_Ventures_Unpublished,Mahajamba,M1066
cores,Blue_Ventures_Unpublished,Mahajamba,M1067
cores,Blue_Ventures_Unpublished,Mahajamba,M1068
cores,Blue_Ventures_Unpublished,Mahajamba,M1069
cores,Blue_Ventures_Unpublished,Mahajamba,M1070
cores,Blue_Ventures_Unpublished,Mahajamba,M1071
cores,Blue_Ventures_Unpublished,Mahajamba,M1072
cores,Blue_Ventures_Unpublished,Mahajamba,M1073
cores,Blue_Ventures_Unpublished,Mahajamba,M1074
cores,C._Sanders_Unpublished,"Evans Head, NSW",M1075
cores,C._Sanders_Unpublished,"Ballina, NSW",M1076
cores,C._Sanders_Unpublished,"Wallis Lake, NSW",M1077
cores,C._Sanders_Unpublished,"Botany Bay, NSW",M1078
cores,C._Sanders_Unpublished,"Botany Bay, NSW",M1079
cores,C._Sanders_Unpublished,"Botany Bay, NSW",M1080
cores,Sanders_et_al_2016_JGR_Biogeoscience,Darwin,M1081
cores,Sanders_et_al_2016_JGR_Biogeoscience,Darwin,M1082
cores,Sanders_et_al_2016_JGR_Biogeoscience,Darwin,M1083
cores,Sanders_et_al_2016_JGR_Biogeoscience,Darwin,M1084
cores,Sanders_et_al_2016_JGR_Biogeoscience,Darwin,M1085
cores,Sanders_et_al_2016_JGR_Biogeoscience,Darwin,M1086
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Hinchinbrook Island, QLD",M1087
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Hinchinbrook Island, QLD",M1088
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Hinchinbrook Island, QLD",M1089
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Hinchinbrook Island, QLD",M1090
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Hinchinbrook Island, QLD",M1091
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Hinchinbrook Island, QLD",M1092
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Seventeen Seventy, QLD",M1093
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Seventeen Seventy, QLD",M1094
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Seventeen Seventy, QLD",M1095
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Seventeen Seventy, QLD",M1096
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Seventeen Seventy, QLD",M1097
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Seventeen Seventy, QLD",M1098
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Barwon Heads, Victoria",M1099
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Barwon Heads, Victoria",M1100
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Barwon Heads, Victoria",M1101
cores,Sanders_et_al_2016_JGR_Biogeoscience,"Barwon Heads, Victoria",M1102
cores,Sanders_et_al_2016_JGR_Biogeoscience,"New Castle, NSW",M1103
cores,Sanders_et_al_2016_JGR_Biogeoscience,"New Castle, NSW",M1104
cores,Sanders_et_al_2016_JGR_Biogeoscience,"New Castle, NSW",M1105
cores,Sanders_et_al_2016_JGR_Biogeoscience,"New Castle, NSW",M1106
cores,Sanders_et_al_2016_JGR_Biogeoscience,"New Castle, NSW",M1107
cores,Sanders_et_al_2016_JGR_Biogeoscience,"New Castle, NSW",M1108
cores,C._Sanders_Unpublished,"Moreton Bay, QLD",M1109
cores,C._Sanders_Unpublished,"Moreton Bay, QLD",M1110
cores,C._Sanders_Unpublished,"Moreton Bay, QLD",M1111
cores,C._Sanders_Unpublished,"Moreton Bay, QLD",M1112
cores,C._Sanders_Unpublished,"Moreton Bay, QLD",M1113
cores,C._Sanders_Unpublished,"Moreton Bay, QLD",M1114
cores,C._Sanders_Unpublished,"Moreton Bay, QLD",M1115
cores,C._Sanders_Unpublished,"Moreton Bay, QLD",M1116
cores,C._Sanders_Unpublished,"Moreton Bay, QLD",M1117
cores,C._Sanders_Unpublished,"Moreton Bay, QLD",M1118
cores,C._Sanders_Unpublished,"Moreton Bay, QLD",M1119
cores,C._Sanders_Unpublished,"Moreton Bay, QLD",M1120
cores,C._Sanders_Unpublished,"Coffs Harbour, NSW",M1121
