study_id,site_id,core_id,core_date,core_latitude,core_longitude,core_position_method,core_elevation,core_elevation_datum,core_elevation_method,vegetation_notes
Schile-Beers_and_Megonigal_2017,Abu al Abyad 5 yr,Abu_al_Abyad_5_yr_planted_mangrove_4,2013-01-22,24.203151,53.800631,NA,-32.7383,WGS84,NA,planted mangrove
Schile-Beers_and_Megonigal_2017,Abu al Abyad 5 yr,Abu_al_Abyad_5_yr_planted_mangrove_5,2013-01-22,24.203065,53.800594,NA,-32.7433,WGS84,NA,planted mangrove
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_1,2013-01-18,24.25638,54.237588,RTK,-32.0504,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_2,2013-01-18,24.256213,54.237661,RTK,-32.0287,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_3,2013-01-18,24.256042,54.237708,RTK,-32.0564,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_4,2013-01-18,24.255852,54.237738,RTK,-32.0369,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_5,2013-01-18,24.25569,54.237801,RTK,-32.157,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_salt_marsh_6,2013-01-18,24.255534,54.237849,RTK,-32.1283,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_1,2013-01-16,24.4553315452674,54.4338875550939,RTK,-32.5361,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_2,2013-01-16,24.4554463205265,54.4337373245959,RTK,-32.5429,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_3,2013-01-16,24.4555702861863,54.4335967678011,RTK,-32.5651,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_4,2013-01-16,24.4556848931484,54.4334366798785,RTK,-32.4969,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_5,2013-01-16,24.4557996678813,54.4332864485641,RTK,-32.5604,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Eastern Mangrove,Eastern_Mangrove_salt_marsh_6,2013-01-16,24.4559052518347,54.4331265430225,RTK,-32.5737,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_salt_marsh_1,2013-01-15,24.519099,54.470849,RTK,-32.4639,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_salt_marsh_2,2013-01-15,24.519266,54.470914,RTK,-32.504,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_salt_marsh_3,2013-01-15,24.519429,54.470992,RTK,-32.4564,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_salt_marsh_4,2013-01-15,24.519593,54.471047,RTK,-32.5941,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_salt_marsh_5,2013-01-15,24.519783,54.471158,RTK,-32.6721,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Jubail Island,Jubail_Island_salt_marsh_6,2013-01-15,24.519938,54.471203,RTK,-32.638,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Jubail Island East,Jubail_Island_East_salt_marsh_1,2013-01-17,24.497854,54.532935,RTK,-32.5073,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Jubail Island East,Jubail_Island_East_salt_marsh_2,2013-01-17,24.497885,54.53276,RTK,-32.5141,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Jubail Island East,Jubail_Island_East_salt_marsh_3,2013-01-17,24.497885,54.532552,RTK,-32.5024,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Jubail Island East,Jubail_Island_East_salt_marsh_4,2013-01-17,24.497928,54.532369,RTK,-32.4805,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Jubail Island East,Jubail_Island_East_salt_marsh_5,2013-01-17,24.49793,54.532212,RTK,-32.4904,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Jubail Island East,Jubail_Island_East_salt_marsh_6,2013-01-17,24.497941,54.532007,RTK,-32.4681,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Marawah Island,Marawah_Island_salt_marsh_1,2013-01-21,24.28207,53.313232,RTK,-31.8259,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Marawah Island,Marawah_Island_salt_marsh_2,2013-01-21,24.282198,53.313369,RTK,-31.8065,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Marawah Island,Marawah_Island_salt_marsh_3,2013-01-21,24.282323,53.313527,RTK,-31.7155,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Marawah Island,Marawah_Island_salt_marsh_4,2013-01-21,24.282441,53.313661,RTK,-31.625,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Marawah Island,Marawah_Island_salt_marsh_5,2013-01-21,24.282577,53.313797,RTK,-31.5237,WGS84,RTK,salt marsh
Schile-Beers_and_Megonigal_2017,Marawah Island,Marawah_Island_salt_marsh_6,2013-01-21,24.282682,53.313945,RTK,-31.5507,WGS84,RTK,salt marsh
Campbell_et_al_2015,Abu al Abyad,Abu_al_Abyad_seagrass_1,2013-05-05,24.20513,53.61585,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Abu al Abyad,Abu_al_Abyad_seagrass_2,2013-05-05,24.20513,53.61585,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Al Dabiya 1,Al_Dabiya_1_seagrass_1,2013-05-07,24.30876,53.97083,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Al Dabiya 2,Al_Dabiya_2_seagrass_1,2013-05-07,24.30582,54.00273,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Al Dabiya 2,Al_Dabiya_2_seagrass_2,2013-05-07,24.30582,54.00273,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Al Dabiya 3,Al_Dabiya_3_seagrass_1,2013-05-07,24.31826,54.05725,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Al Dabiya 3,Al_Dabiya_3_seagrass_2,2013-05-07,24.31826,54.05725,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Bu Tinah 2,Bu_Tinah_2_seagrass_1,2013-05-06,24.57855,53.079,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Bu Tinah 2,Bu_Tinah_2_seagrass_2,2013-05-06,24.57855,53.079,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Bu Tinah 3,Bu_Tinah_3_seagrass_1,2013-05-06,24.54852,53.03997,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Bu Tinah 3,Bu_Tinah_3_seagrass_2,2013-05-06,24.54852,53.03997,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Bu Tinah SE,Bu_Tinah_SE_seagrass_1,2013-05-06,24.54534,53.11234,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Bu Tinah SE,Bu_Tinah_SE_seagrass_2,2013-05-06,24.54534,53.11234,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Dahwat an Nahklah,Dahwat_an_Nahklah_seagrass_1,2013-04-30,24.24782,51.69347,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Dahwat an Nahklah,Dahwat_an_Nahklah_seagrass_2,2013-04-30,24.24782,51.69347,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Fasht al Basm,Fasht_al_Basm_seagrass_1,2013-05-05,24.24085,53.47422,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Fasht al Basm,Fasht_al_Basm_seagrass_2,2013-05-05,24.24085,53.47422,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Ghurab N,Ghurab_N_seagrass_1,2013-04-28,24.64473,54.495,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Ghurab NE,Ghurab_NE_seagrass_1,2013-04-28,24.65578,54.53673,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Ghurab NE,Ghurab_NE_seagrass_2,2013-04-28,24.65578,54.53673,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Ghurab NN,Ghurab_NN_seagrass_1,2013-04-28,24.64498,54.50703,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Ghurab NN,Ghurab_NN_seagrass_2,2013-04-28,24.64498,54.50703,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Halat Idai,Halat_Idai_seagrass_1,2013-05-02,24.19905,52.45295,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Halat Idai,Halat_Idai_seagrass_2,2013-05-02,24.19905,52.45295,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Halat Idai,Halat_Idai_seagrass_3,2013-05-02,24.19905,52.45295,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Jazirat,Jazirat_seagrass_1,2013-05-02,24.15131667,52.0476,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Jazirat,Jazirat_seagrass_2,2013-05-02,24.15131667,52.0476,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Jazirat,Jazirat_seagrass_3,2013-05-02,24.15131667,52.0476,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Marawah,Marawah_seagrass_1,2013-05-05,24.27702,53.34829,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Marawah,Marawah_seagrass_2,2013-05-05,24.27702,53.34829,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Marawah,Marawah_seagrass_3,2013-05-05,24.27702,53.34829,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Ras Muhayjij,Ras_Muhayjij_seagrass_1,2013-04-30,24.25276667,51.66758333,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Ras Muhayjij,Ras_Muhayjij_seagrass_2,2013-04-30,24.25276667,51.66758333,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Sila peninsula,Sila_peninsula_seagrass_1,2013-04-29,24.23258,51.79963,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Sila peninsula,Sila_peninsula_seagrass_2,2013-04-29,24.23258,51.79963,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Umm al Hatam,Umm_al_Hatam_seagrass_1,2013-04-29,24.21152,51.87123,handheld,NA,NA,NA,seagrass
Campbell_et_al_2015,Umm al Hatam,Umm_al_Hatam_seagrass_2,2013-04-29,24.21152,51.87123,handheld,NA,NA,NA,seagrass
