Sample,BD,BD_N,BD_SD,LOI,LOI_N,LOI_SD,Sand,Sand_SD,Mud,Mud_SD,Clay,Clay_SD,Pb210,Pb_error,Cs137,Cs_error,Ra226,Ra_error,K40,K_error,
09WCC01_08_27,0.1988,3,0.0170,40.17,4,0.71,7.50,0.60,92.50,0.60,18.80,0.10,1.22,0.04,0.82,0.13,1.00,0.13,30.78,2.70,
09WCC01_08_29,0.1914,3,0.0120,40.58,4,0.49,11.20,1.10,88.80,1.10,16.50,0.10,1.90,0.05,0.48,0.11,0.80,0.11,31.27,2.32,
09WCC01_08_31,0.1553,3,0.0190,43.88,4,0.76,9.60,1.20,90.40,1.20,20.40,0.30,1.35,0.04,0.20,0.09,0.83,0.13,27.23,2.42,
09WCC01_08_33,0.1563,3,0.0149,44.85,4,0.26,,,,,,,0.85,0.03,0.15,0.09,0.85,0.11,29.44,2.22,
09WCC01_08_35,0.1749,3,0.0216,43.86,4,0.21,10.50,0.70,89.50,0.70,16.00,0.20,1.33,0.04,0.09,0.07,1.00,0.10,34.13,2.06,
09WCC01_08_37,0.2517,3,0.0046,32.19,5,0.49,3.60,0.40,96.40,0.40,23.30,0.30,1.13,0.04,0.07,0.06,0.98,0.10,38.35,2.22,
09WCC01_08_39,0.2524,3,0.0233,29.79,4,1.00,,,,,,,1.28,0.04,,,1.11,0.09,37.35,2.10,
09WCC01_08_41,0.2809,3,0.0083,26.22,4,0.93,3.40,0.50,96.60,0.50,21.10,0.40,0.94,0.03,,,,,,,
09WCC01_08_43,0.2941,3,0.0223,23.91,5,2.22,,,,,,,0.75,0.02,,,,,,,
09WCC01_08_45,0.2962,1,,22.59,1,,2.60,0.80,97.40,0.80,18.60,0.60,0.74,0.02,,,,,,,
09WCC01_08_47,0.3161,1,,20.86,2,0.15,,,,,,,0.76,0.03,,,,,,,
09WCC01_08_49,0.2419,2,0.0320,27.72,1,,2.30,0.60,97.70,0.60,18.30,0.50,0.62,0.02,,,,,,,
09WCC01_08_51,0.2042,1,,43.48,1,,,,,,,,0.72,0.03,,,,,,,
09WCC01_08_53,0.2391,1,,37.83,1,,,,,,,,0.94,0.03,,,,,,,
09WCC01_09_01,0.2011,2,0.0169,17.35,1,,3.10,1.10,96.90,1.10,25.10,1.10,4.05,0.092,,,,,,,
09WCC01_09_03,0.3539,1,,13.11,1,,2.60,1.10,97.40,1.10,19.60,0.20,4.91,0.109,,,,,,,
09WCC01_09_05,0.3815,1,,15.48,1,,4.70,0.70,95.30,0.70,17.30,0.30,4.91,0.096,,,,,,,
09WCC01_09_07,0.3633,2,0.0085,13.71,1,,1.40,0.10,98.60,0.10,24.00,0.30,5.46,0.094,,,,,,,
09WCC01_09_09,0.4342,1,,10.22,2,0.93,2.90,0.80,97.10,0.80,21.10,0.10,4.39,0.082,,,,,,,
09WCC01_09_11,0.3773,2,0.0002,13.30,1,,6.10,0.50,93.90,0.50,17.70,0.10,4.62,0.087,,,,,,,
09WCC01_09_13,0.2921,1,,19.26,2,0.38,6.30,0.30,93.70,0.30,17.70,0.30,5.29,0.120,,,,,,,
09WCC01_09_15,0.1140,3,0.0027,51.41,3,2.39,7.70,0.10,92.30,0.10,17.90,0.10,13.10,0.247,0.37,0.08,0.69,0.10,22.77,1.79,
09WCC01_09_17,0.1146,2,0.0036,49.50,2,1.31,9.90,0.90,90.10,0.90,21.70,0.40,9.72,0.199,1.02,0.16,1.37,0.19,29.14,2.49,
09WCC01_09_19,0.1122,3,0.0053,57.66,3,0.08,7.70,0.30,92.30,0.30,20.30,0.40,8.04,0.159,1.62,0.12,0.59,0.10,17.72,1.68,
09WCC01_09_21,0.1598,3,0.0133,41.54,3,0.26,,,,,,,5.57,0.126,3.48,0.17,0.90,0.11,32.73,2.08,
09WCC01_09_23,0.1673,3,0.0010,34.20,3,0.67,1.20,0.90,98.80,0.90,27.50,0.10,4.01,0.093,9.39,0.34,0.97,0.15,33.58,2.91,
09WCC01_09_25,0.2587,3,0.0195,22.62,4,1.03,1.40,0.10,98.60,0.10,30.20,0.10,3.30,0.074,5.85,0.20,1.17,0.11,44.84,2.35,
09WCC01_09_27,0.2875,3,0.0092,23.12,3,1.08,2.90,0.70,97.10,0.70,27.70,0.20,2.74,0.056,2.44,0.17,1.17,0.13,44.52,2.75,
09WCC01_09_29,0.2047,3,0.0247,37.12,4,0.48,6.60,0.80,93.40,0.80,21.80,0.70,2.38,0.056,0.85,0.10,0.70,0.09,29.58,1.98,
09WCC01_09_31,0.1994,3,0.0192,37.93,4,0.88,7.90,1.70,92.10,1.70,20.90,0.40,2.08,0.051,0.40,0.09,0.78,0.10,27.33,2.18,
09WCC01_09_33,0.2941,3,0.0571,26.23,4,0.91,4.60,0.80,95.40,0.80,23.30,0.50,1.54,0.045,0.29,0.06,0.96,0.08,35.57,1.79,
09WCC01_09_35,0.3152,3,0.0258,21.86,5,0.58,0.80,1.00,99.20,1.00,27.60,0.60,1.24,0.032,0.22,0.06,1.03,0.08,39.08,1.83,
09WCC01_09_37,0.2425,1,,25.18,1,,2.90,0.20,97.10,0.20,25.40,0.20,1.29,0.038,,,,,,,
09WCC01_09_39,0.2000,1,,32.68,1,,,,,,,,1.03,0.029,,,,,,,
09WCC01_09_41,0.1864,2,0.0001,36.22,1,,18.30,0.80,81.70,0.80,15.20,0.40,0.85,0.020,,,,,,,
09WCC01_09_43,0.1987,1,,31.68,1,,,,,,,,1.44,0.032,,,,,,,
09WCC01_09_45,0.1822,1,,39.05,1,,32.80,3.50,67.20,3.50,10.70,0.60,1.43,0.028,,,,,,,
09WCC01_09_47,0.2247,1,,29.49,1,,,,,,,,0.88,0.018,,,,,,,
09WCC01_09_49,0.2435,1,,30.94,1,,3.20,0.30,96.80,0.30,18.10,0.20,0.78,0.018,,,,,,,
09WCC01_09_51,0.2668,1,,30.69,2,0.97,,,,,,,0.69,0.017,,,,,,,
09WCC01_09_53,0.2870,2,0.0005,23.83,1,,1.80,0.50,98.20,0.50,21.50,0.20,0.74,0.018,,,,,,,
09WCC01_09_55,0.3191,1,,24.88,1,,,,,,,,0.89,0.022,,,,,,,
09WCC01_09_57,0.2298,1,,44.61,1,,,,,,,,,,,,,,,,
