"study_id","site_id","impact_class","stressor_class"
"Nahlik_and_Fennessey_2017","NWCA11-1662","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2459","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2444","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2068","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-3989","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2220","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2207","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2204","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2198","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2196","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2195","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2188","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-R107","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-R083","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2223","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2433","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2445","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2447","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1106","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1965","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1109","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1114","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1123","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1127","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1129","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1133","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1136","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1140","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1144","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1147","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1207","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1209","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1223","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1235","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1256","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1258","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1263","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1271","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1275","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1777","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1384","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1385","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1396","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1667","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1670","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1675","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1701","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1798","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1816","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1819","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1859","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1978","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2033","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2040","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2043","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2048","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2051","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2073","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-R081","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-R028","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2530","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2541","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2543","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2551","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2571","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2591","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2593","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2660","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2910","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2914","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2917","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2918","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2921","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2924","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2940","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-2949","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-3045","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-3051","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-3568","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-4706","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-4713","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-4716","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-4717","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-4721","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-4729","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1314","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1386","ditched","High"
"Nahlik_and_Fennessey_2017","NWCA11-1240","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1266","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1304","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1299","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2407","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2410","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2066","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2634","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2582","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2677","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1356","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1335","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2597","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1003","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-4151","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-4145","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-4141","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-4138","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2358","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2355","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2350","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2343","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2342","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2339","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2067","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2654","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1221","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-4505","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1233","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1337","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1849","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-4499","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-6315","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2606","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2566","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-R321","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-6301","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1180","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1745","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1749","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1752","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2264","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2268","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2269","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2390","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2389","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2386","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2382","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2277","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2276","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2271","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2749","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2747","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2181","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2393","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1543","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1189","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1188","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1187","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1184","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1183","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1547","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1695","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1663","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-OH-3019","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-WI-1001","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-WI-1037","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1321","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1325","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1329","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1336","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1612","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1631","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1345","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1346","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1357","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1651","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1662","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1394","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-3988","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-3990","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-R107","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-2447","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1106","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1235","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1109","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1144","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1258","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1271","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1275","STRESS_HARD","High"
"Nahlik_and_Fennessey_2017","NWCA11-1777","STRESS_HARD","High"
