study_id,site_id,core_id,method_id,depth_min,depth_max,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,fraction_sand,fraction_silt
Quafisi_et_al_2024,WG,501,single set of methods,8,10,17.67,1,bequerelsPerKilogram,39.67,10,82.5,8.5,bequerelsPerKilogram,0.87,0.13
Quafisi_et_al_2024,WG,501,single set of methods,10,12,17.33,0.83,bequerelsPerKilogram,37.17,7.67,83.83,7.67,bequerelsPerKilogram,0.86,0.14
Quafisi_et_al_2024,WG,501,single set of methods,12,14,15.17,1,bequerelsPerKilogram,21.17,7.5,65,7.5,bequerelsPerKilogram,0.93,0.07
Quafisi_et_al_2024,WG,501,single set of methods,14,16,10.83,0.67,bequerelsPerKilogram,29,6.33,60.33,6.17,bequerelsPerKilogram,0.9,0.1
Quafisi_et_al_2024,WG,501,single set of methods,16,18,6.5,0.83,bequerelsPerKilogram,5.83,4.83,27,4.83,bequerelsPerKilogram,0.93,0.07
Quafisi_et_al_2024,WG,501,single set of methods,18,20,3.13,0.62,bequerelsPerKilogram,5.66,4.36,19.99,3.94,bequerelsPerKilogram,0.98,0.02
Quafisi_et_al_2024,WG,501,single set of methods,20,22,0.75,0.67,bequerelsPerKilogram,0.07,4.61,11.83,4.22,bequerelsPerKilogram,0.97,0.03
Quafisi_et_al_2024,WG,501,single set of methods,22,24,10.11,0.94,bequerelsPerKilogram,0,6.64,37.16,6.16,bequerelsPerKilogram,0.89,0.11
Quafisi_et_al_2024,WG,501,single set of methods,24,26,6.67,1.03,bequerelsPerKilogram,7.84,7.66,53.71,7.54,bequerelsPerKilogram,0.85,0.15
Quafisi_et_al_2024,WG,501,single set of methods,26,28,2.42,0.86,bequerelsPerKilogram,0,7.76,45.59,6.58,bequerelsPerKilogram,0.85,0.15
Quafisi_et_al_2024,WG,501,single set of methods,28,30,0.23,0.93,bequerelsPerKilogram,0,7.45,49.13,7.38,bequerelsPerKilogram,0.88,0.12
Quafisi_et_al_2024,WG,501,single set of methods,30,32,1.47,0.81,bequerelsPerKilogram,0.16,7.24,45.97,6.47,bequerelsPerKilogram,0.85,0.15
Quafisi_et_al_2024,WG,501,single set of methods,32,34,0,0,bequerelsPerKilogram,0,26.8,47.54,7.84,bequerelsPerKilogram,0.83,0.17
Quafisi_et_al_2024,WG,501,single set of methods,34,36,0,0,bequerelsPerKilogram,0.54,7.2,57.23,6.93,bequerelsPerKilogram,0.82,0.18
Quafisi_et_al_2024,WG,501,single set of methods,36,38,0,0,bequerelsPerKilogram,0,6.81,63.35,6.79,bequerelsPerKilogram,0.7,0.3
Quafisi_et_al_2024,WG,501,single set of methods,38,40,0,0,bequerelsPerKilogram,0,8.66,74.74,8.45,bequerelsPerKilogram,0.76,0.24
Quafisi_et_al_2024,WG,501,single set of methods,40,42,0,0,bequerelsPerKilogram,0,9.09,79.15,9.08,bequerelsPerKilogram,0.7,0.3
Quafisi_et_al_2024,WG,501,single set of methods,42,44,0,0,bequerelsPerKilogram,0,8.92,69.66,8.47,bequerelsPerKilogram,0.65,0.35
Quafisi_et_al_2024,WG,501,single set of methods,44,46,0,0,bequerelsPerKilogram,0,8.95,63.71,7.87,bequerelsPerKilogram,0.71,0.29
Quafisi_et_al_2024,WG,501,single set of methods,46,48,0,0,bequerelsPerKilogram,0,6.39,60.61,6.26,bequerelsPerKilogram,0.7,0.3
Quafisi_et_al_2024,WG,501,single set of methods,48,50,0,0,bequerelsPerKilogram,0,9.26,71.76,8.58,bequerelsPerKilogram,0.71,0.29
Quafisi_et_al_2024,WG,501,single set of methods,50,52,0,0,bequerelsPerKilogram,0,5.91,65.62,5.87,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,WG,501,single set of methods,52,54,0,0,bequerelsPerKilogram,0,6.59,67.61,6.21,bequerelsPerKilogram,0.7,0.3
Quafisi_et_al_2024,WG,501,single set of methods,54,56,0,0,bequerelsPerKilogram,0,7.03,57.58,6.64,bequerelsPerKilogram,0.73,0.27
Quafisi_et_al_2024,WG,502,single set of methods,0,2,23.8,0.99,bequerelsPerKilogram,80.29,14.06,143.28,13.2,bequerelsPerKilogram,0.79,0.21
Quafisi_et_al_2024,WG,502,single set of methods,2,4,26.42,0.86,bequerelsPerKilogram,75.74,12.08,138.28,11.78,bequerelsPerKilogram,0.77,0.23
Quafisi_et_al_2024,WG,502,single set of methods,4,6,25.81,1.27,bequerelsPerKilogram,67.37,14.32,135.65,13.37,bequerelsPerKilogram,0.76,0.24
Quafisi_et_al_2024,WG,502,single set of methods,6,8,23.19,1.28,bequerelsPerKilogram,70.78,13.82,135.84,13.45,bequerelsPerKilogram,0.8,0.2
Quafisi_et_al_2024,WG,502,single set of methods,8,10,29.46,1.28,bequerelsPerKilogram,49.52,12.13,113.55,11.46,bequerelsPerKilogram,0.77,0.23
Quafisi_et_al_2024,WG,502,single set of methods,10,12,24.47,0.92,bequerelsPerKilogram,33.8,9.7,89.7,8.97,bequerelsPerKilogram,0.82,0.18
Quafisi_et_al_2024,WG,502,single set of methods,12,14,12.23,0.88,bequerelsPerKilogram,11.21,7.74,53.38,7.18,bequerelsPerKilogram,0.85,0.15
Quafisi_et_al_2024,WG,502,single set of methods,14,16,0.7,0.74,bequerelsPerKilogram,6.93,6.46,45.32,6.42,bequerelsPerKilogram,0.84,0.16
Quafisi_et_al_2024,WG,502,single set of methods,16,18,4.46,0.69,bequerelsPerKilogram,2.48,8.23,40.92,6.2,bequerelsPerKilogram,0.88,0.12
Quafisi_et_al_2024,WG,502,single set of methods,18,20,2.68,0.72,bequerelsPerKilogram,0.99,7.82,35.93,6.45,bequerelsPerKilogram,0.89,0.11
Quafisi_et_al_2024,WG,502,single set of methods,20,22,2.81,0.56,bequerelsPerKilogram,3.73,6.9,33.91,5.38,bequerelsPerKilogram,0.9,0.1
Quafisi_et_al_2024,WG,502,single set of methods,22,24,0.09,0.69,bequerelsPerKilogram,0,7.85,46.57,7.26,bequerelsPerKilogram,0.88,0.12
Quafisi_et_al_2024,WG,502,single set of methods,24,26,0.43,0.72,bequerelsPerKilogram,0.65,8.41,63.58,8.16,bequerelsPerKilogram,0.61,0.39
Quafisi_et_al_2024,WG,502,single set of methods,26,28,1.02,0.86,bequerelsPerKilogram,6.65,11.78,85.61,10.65,bequerelsPerKilogram,0.64,0.36
Quafisi_et_al_2024,WG,502,single set of methods,28,30,0,0,bequerelsPerKilogram,9.26,11.12,87.94,10.41,bequerelsPerKilogram,0.65,0.35
Quafisi_et_al_2024,WG,502,single set of methods,30,32,0,0,bequerelsPerKilogram,2.44,9.43,75.83,9.21,bequerelsPerKilogram,0.6,0.4
Quafisi_et_al_2024,WG,502,single set of methods,32,34,0,0,bequerelsPerKilogram,0,9.5,72.6,9.18,bequerelsPerKilogram,0.51,0.49
Quafisi_et_al_2024,WG,502,single set of methods,34,36,0,0,bequerelsPerKilogram,0,10.71,70.97,9.17,bequerelsPerKilogram,0.58,0.42
Quafisi_et_al_2024,WG,502,single set of methods,36,38,0,0,bequerelsPerKilogram,0,8.9,64.4,8.44,bequerelsPerKilogram,0.58,0.42
Quafisi_et_al_2024,WG,502,single set of methods,38,40,0,0,bequerelsPerKilogram,0,7.13,56.32,7.1,bequerelsPerKilogram,0.65,0.35
Quafisi_et_al_2024,WG,502,single set of methods,40,42,0.09,0.49,bequerelsPerKilogram,0,6.66,58.64,6.37,bequerelsPerKilogram,0.68,0.32
Quafisi_et_al_2024,WG,502,single set of methods,42,44,0,0,bequerelsPerKilogram,9.48,8.64,67.52,8.34,bequerelsPerKilogram,0.67,0.33
Quafisi_et_al_2024,WG,502,single set of methods,44,46,0,0,bequerelsPerKilogram,3.03,8.17,64.08,8.09,bequerelsPerKilogram,0.6,0.4
Quafisi_et_al_2024,WG,502,single set of methods,46,48,0,0,bequerelsPerKilogram,0,7.79,53.13,7.76,bequerelsPerKilogram,0.33,0.67
Quafisi_et_al_2024,WG,502,single set of methods,48,50,0.97,0.63,bequerelsPerKilogram,0,6.93,47.32,6.83,bequerelsPerKilogram,0.66,0.34
Quafisi_et_al_2024,WG,503,single set of methods,0,2,28.66,0.92,bequerelsPerKilogram,61.5,8.89,93.74,8.68,bequerelsPerKilogram,0.94,0.06
Quafisi_et_al_2024,WG,503,single set of methods,2,4,28,0.83,bequerelsPerKilogram,57.5,8.33,89.83,8,bequerelsPerKilogram,0.94,0.06
Quafisi_et_al_2024,WG,503,single set of methods,4,6,20.5,1,bequerelsPerKilogram,29.5,7.5,58.83,7.33,bequerelsPerKilogram,0.95,0.05
Quafisi_et_al_2024,WG,503,single set of methods,6,8,6.17,0.67,bequerelsPerKilogram,3.17,4.33,20.67,4.33,bequerelsPerKilogram,0.97,0.03
Quafisi_et_al_2024,WG,503,single set of methods,8,10,3.5,0.5,bequerelsPerKilogram,0.5,4.67,18.17,4,bequerelsPerKilogram,0.98,0.02
Quafisi_et_al_2024,WG,503,single set of methods,10,12,1.34,0.59,bequerelsPerKilogram,0,5.38,21.69,4.62,bequerelsPerKilogram,0.99,0.01
Quafisi_et_al_2024,WG,503,single set of methods,12,14,0.75,0.41,bequerelsPerKilogram,0.08,3.53,17.23,3.26,bequerelsPerKilogram,1,0
Quafisi_et_al_2024,WG,503,single set of methods,14,16,0,0,bequerelsPerKilogram,0,4.01,8.97,3.69,bequerelsPerKilogram,1,0
Quafisi_et_al_2024,WG,503,single set of methods,16,18,0,0,bequerelsPerKilogram,0,4.47,16.54,4.13,bequerelsPerKilogram,1,0
Quafisi_et_al_2024,WG,503,single set of methods,18,20,0.07,0.55,bequerelsPerKilogram,0,4.22,16.99,4.22,bequerelsPerKilogram,1,0
Quafisi_et_al_2024,WG,503,single set of methods,20,22,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.99,0.01
Quafisi_et_al_2024,WG,503,single set of methods,22,24,0.01,0.5,bequerelsPerKilogram,0,3.96,11.53,3.79,bequerelsPerKilogram,1,0
Quafisi_et_al_2024,WG,503,single set of methods,24,26,0,0,bequerelsPerKilogram,0,4.87,9.23,3.86,bequerelsPerKilogram,1,0
Quafisi_et_al_2024,WG,503,single set of methods,26,28,0,0,bequerelsPerKilogram,0.33,4.5,19.17,4.5,bequerelsPerKilogram,1,0
Quafisi_et_al_2024,WG,503,single set of methods,28,30,0.67,0.33,bequerelsPerKilogram,0,3.33,12,2.83,bequerelsPerKilogram,0.99,0.01
Quafisi_et_al_2024,WG,503,single set of methods,30,32,0,0,bequerelsPerKilogram,0,4.15,13.12,4.06,bequerelsPerKilogram,0.99,0.01
Quafisi_et_al_2024,WG,503,single set of methods,32,34,0,0,bequerelsPerKilogram,0,3.98,10.22,3.8,bequerelsPerKilogram,0.99,0.01
Quafisi_et_al_2024,WG,503,single set of methods,34,36,0,0,bequerelsPerKilogram,0,4.4,5.44,3.9,bequerelsPerKilogram,0.99,0.01
Quafisi_et_al_2024,WG,503,single set of methods,36,38,0,0,bequerelsPerKilogram,0,5.83,30.17,4.67,bequerelsPerKilogram,0.97,0.03
Quafisi_et_al_2024,WG,503,single set of methods,38,40,0,0,bequerelsPerKilogram,0,4.67,21.17,4.67,bequerelsPerKilogram,0.99,0.01
Quafisi_et_al_2024,WG,503,single set of methods,40,42,0,0,bequerelsPerKilogram,0,5.3,13.65,4.15,bequerelsPerKilogram,0.99,0.01
Quafisi_et_al_2024,WG,503,single set of methods,42,44,0,0,bequerelsPerKilogram,0,4.03,11.1,4.02,bequerelsPerKilogram,0.99,0.01
Quafisi_et_al_2024,WG,503,single set of methods,44,46,0.62,0.52,bequerelsPerKilogram,0,9.79,28.31,4.57,bequerelsPerKilogram,0.99,0.01
Quafisi_et_al_2024,WG,503,single set of methods,46,48,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.99,0.01
Quafisi_et_al_2024,WG,503,single set of methods,48,50,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,1,0
Quafisi_et_al_2024,WG,503,single set of methods,50,52,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.99,0.01
Quafisi_et_al_2024,WG,503,single set of methods,52,54,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.97,0.03
Quafisi_et_al_2024,WG,503,single set of methods,54,56,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.97,0.03
Quafisi_et_al_2024,WG,503,single set of methods,56,58,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.79,0.21
Quafisi_et_al_2024,WG,503,single set of methods,58,60,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.73,0.27
Quafisi_et_al_2024,WG,503,single set of methods,60,62,0,0,bequerelsPerKilogram,20.84,11.31,97.69,10.22,bequerelsPerKilogram,0.79,0.21
Quafisi_et_al_2024,EGLND,601,single set of methods,0,2,3.5,0.83,bequerelsPerKilogram,56.5,11,104.33,10.17,bequerelsPerKilogram,0.85,0.15
Quafisi_et_al_2024,EGLND,601,single set of methods,2,4,5.2,0.89,bequerelsPerKilogram,55.5,11.23,105.72,10.61,bequerelsPerKilogram,0.83,0.17
Quafisi_et_al_2024,EGLND,601,single set of methods,4,6,6.22,0.79,bequerelsPerKilogram,41.1,9.71,94.76,9.48,bequerelsPerKilogram,0.79,0.21
Quafisi_et_al_2024,EGLND,601,single set of methods,6,8,6.4,0.96,bequerelsPerKilogram,36.31,10.2,90.03,10.09,bequerelsPerKilogram,0.81,0.19
Quafisi_et_al_2024,EGLND,601,single set of methods,8,10,5.22,0.85,bequerelsPerKilogram,36.73,9.64,94.33,9.6,bequerelsPerKilogram,0.76,0.24
Quafisi_et_al_2024,EGLND,601,single set of methods,10,12,9.26,0.88,bequerelsPerKilogram,24.34,9.35,87.12,9.15,bequerelsPerKilogram,0.8,0.2
Quafisi_et_al_2024,EGLND,601,single set of methods,12,14,9.91,0.94,bequerelsPerKilogram,42.64,10.11,99.37,10,bequerelsPerKilogram,0.7,0.3
Quafisi_et_al_2024,EGLND,601,single set of methods,14,16,9.48,0.89,bequerelsPerKilogram,22.36,10.29,78.38,8.48,bequerelsPerKilogram,0.81,0.19
Quafisi_et_al_2024,EGLND,601,single set of methods,16,18,11.3,0.97,bequerelsPerKilogram,9.38,8.33,67.17,8.25,bequerelsPerKilogram,0.74,0.26
Quafisi_et_al_2024,EGLND,601,single set of methods,18,20,11.34,0.92,bequerelsPerKilogram,9.71,8.27,65.62,7.58,bequerelsPerKilogram,0.76,0.24
Quafisi_et_al_2024,EGLND,601,single set of methods,20,22,15.32,0.91,bequerelsPerKilogram,12.11,8.08,70.08,7.43,bequerelsPerKilogram,0.74,0.26
Quafisi_et_al_2024,EGLND,601,single set of methods,22,24,18.7,1.04,bequerelsPerKilogram,3.31,8.19,68.46,7.96,bequerelsPerKilogram,0.67,0.33
Quafisi_et_al_2024,EGLND,601,single set of methods,24,26,19.33,1.04,bequerelsPerKilogram,1.1,8.62,72.42,8.14,bequerelsPerKilogram,0.51,0.49
Quafisi_et_al_2024,EGLND,601,single set of methods,26,28,15.02,0.96,bequerelsPerKilogram,0,7.64,62.58,7.47,bequerelsPerKilogram,0.63,0.37
Quafisi_et_al_2024,EGLND,601,single set of methods,28,30,9.43,0.74,bequerelsPerKilogram,0,6.88,61.83,6.68,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,EGLND,601,single set of methods,30,32,5.43,0.78,bequerelsPerKilogram,0,8.12,61.23,7.43,bequerelsPerKilogram,0.66,0.34
Quafisi_et_al_2024,EGLND,601,single set of methods,32,34,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.61,0.39
Quafisi_et_al_2024,EGLND,601,single set of methods,34,36,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.52,0.48
Quafisi_et_al_2024,EGLND,601,single set of methods,36,38,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.46,0.54
Quafisi_et_al_2024,EGLND,601,single set of methods,38,40,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.49,0.51
Quafisi_et_al_2024,EGLND,601,single set of methods,40,42,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.58,0.42
Quafisi_et_al_2024,EGLND,601,single set of methods,42,44,3.33,0.83,bequerelsPerKilogram,0,8.83,61.67,8.5,bequerelsPerKilogram,0.61,0.39
Quafisi_et_al_2024,EGLND,601,single set of methods,44,46,2,0.83,bequerelsPerKilogram,0,9,40.67,7.67,bequerelsPerKilogram,0.54,0.46
Quafisi_et_al_2024,EGLND,601,single set of methods,46,48,1.17,0.67,bequerelsPerKilogram,0,7.33,58.83,6.67,bequerelsPerKilogram,0.53,0.47
Quafisi_et_al_2024,EGLND,601,single set of methods,48,50,1,0.67,bequerelsPerKilogram,0,6.83,61.33,6.67,bequerelsPerKilogram,0.57,0.43
Quafisi_et_al_2024,EGLND,601,single set of methods,50,52,1.5,0.67,bequerelsPerKilogram,3.67,7.33,64,7.17,bequerelsPerKilogram,0.6,0.4
Quafisi_et_al_2024,EGLND,601,single set of methods,52,54,0.33,0.83,bequerelsPerKilogram,5.17,8.17,64.5,8,bequerelsPerKilogram,0.64,0.36
Quafisi_et_al_2024,EGLND,601,single set of methods,54,56,0.83,0.67,bequerelsPerKilogram,13.5,7.5,67.67,7.5,bequerelsPerKilogram,0.65,0.35
Quafisi_et_al_2024,EGLND,601,single set of methods,56,58,0,0,bequerelsPerKilogram,0,0,0,0,bequerelsPerKilogram,0.63,0.37
Quafisi_et_al_2024,EGLND,601,single set of methods,58,60,0,0,bequerelsPerKilogram,0,7.5,51.67,7,bequerelsPerKilogram,0.66,0.34
Quafisi_et_al_2024,EGLND,601,single set of methods,60,62,0,0,bequerelsPerKilogram,11,8,66.83,7.83,bequerelsPerKilogram,0.73,0.27
Quafisi_et_al_2024,EGLND,601,single set of methods,62,64,0,0,bequerelsPerKilogram,12,7.5,60,7.5,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,EGLND,602,single set of methods,0,2,16.83,2.17,bequerelsPerKilogram,77.83,21.33,154.83,20.83,bequerelsPerKilogram,0.54,0.46
Quafisi_et_al_2024,EGLND,602,single set of methods,2,4,18.17,1.5,bequerelsPerKilogram,94,17.33,148,17,bequerelsPerKilogram,0.53,0.47
Quafisi_et_al_2024,EGLND,602,single set of methods,4,6,22.67,2.17,bequerelsPerKilogram,72,19.5,143.83,19,bequerelsPerKilogram,0.65,0.35
Quafisi_et_al_2024,EGLND,602,single set of methods,6,8,29.33,2,bequerelsPerKilogram,34.67,15.5,94.33,15,bequerelsPerKilogram,0.63,0.37
Quafisi_et_al_2024,EGLND,602,single set of methods,8,10,31,2,bequerelsPerKilogram,53.5,15.67,112,15.67,bequerelsPerKilogram,0.66,0.34
Quafisi_et_al_2024,EGLND,602,single set of methods,10,12,16.17,1.83,bequerelsPerKilogram,11.17,15.67,83,14.5,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,EGLND,602,single set of methods,12,14,9.83,1.67,bequerelsPerKilogram,14.83,17.67,94,15.67,bequerelsPerKilogram,0.76,0.24
Quafisi_et_al_2024,EGLND,602,single set of methods,14,16,3.83,1.5,bequerelsPerKilogram,1.83,15.67,81.67,14.33,bequerelsPerKilogram,0.75,0.25
Quafisi_et_al_2024,EGLND,602,single set of methods,16,18,5.5,1.83,bequerelsPerKilogram,17.83,19,98.33,16.5,bequerelsPerKilogram,0.74,0.26
Quafisi_et_al_2024,EGLND,602,single set of methods,18,20,2.33,1.67,bequerelsPerKilogram,24.17,15.67,104.33,15.67,bequerelsPerKilogram,0.73,0.27
Quafisi_et_al_2024,EGLND,602,single set of methods,20,22,2.67,1.5,bequerelsPerKilogram,0.33,15.5,74.33,14.17,bequerelsPerKilogram,0.74,0.26
Quafisi_et_al_2024,EGLND,602,single set of methods,22,24,0.48,1.67,bequerelsPerKilogram,27.53,15.88,91.15,15.51,bequerelsPerKilogram,0.79,0.21
Quafisi_et_al_2024,EGLND,602,single set of methods,24,26,0,0,bequerelsPerKilogram,20.23,19.44,87.08,18.2,bequerelsPerKilogram,0.37,0.63
Quafisi_et_al_2024,EGLND,602,single set of methods,26,28,3.96,2.08,bequerelsPerKilogram,33.94,20.57,88.8,18.29,bequerelsPerKilogram,0.42,0.58
Quafisi_et_al_2024,EGLND,602,single set of methods,28,30,3.47,2.31,bequerelsPerKilogram,11.38,19.24,66.69,18.67,bequerelsPerKilogram,0.34,0.66
Quafisi_et_al_2024,EGLND,602,single set of methods,30,32,0,0,bequerelsPerKilogram,2.29,17.03,60.59,14.44,bequerelsPerKilogram,0.68,0.32
Quafisi_et_al_2024,EGLND,602,single set of methods,32,34,0,0,bequerelsPerKilogram,0,25.64,9.64,19.88,bequerelsPerKilogram,0.67,0.33
Quafisi_et_al_2024,EGLND,602,single set of methods,34,36,0,0,bequerelsPerKilogram,8.76,17.44,46.53,16.6,bequerelsPerKilogram,0.79,0.21
Quafisi_et_al_2024,EGLND,602,single set of methods,37,39,0,0,bequerelsPerKilogram,0,17.06,37.5,14.87,bequerelsPerKilogram,NA,NA
Quafisi_et_al_2024,EGLND,603,single set of methods,0,2,22.83,2.33,bequerelsPerKilogram,154,27,216,26,bequerelsPerKilogram,0.62,0.38
Quafisi_et_al_2024,EGLND,603,single set of methods,2,4,25.17,2.17,bequerelsPerKilogram,97.17,23,156.5,20.33,bequerelsPerKilogram,0.68,0.32
Quafisi_et_al_2024,EGLND,603,single set of methods,4,6,31.83,2.5,bequerelsPerKilogram,78,20.5,143.83,20.17,bequerelsPerKilogram,0.7,0.3
Quafisi_et_al_2024,EGLND,603,single set of methods,6,8,37.01,2.32,bequerelsPerKilogram,80.26,19.44,146.53,19.2,bequerelsPerKilogram,0.66,0.34
Quafisi_et_al_2024,EGLND,603,single set of methods,8,10,41.78,2.79,bequerelsPerKilogram,78.36,20.44,138.4,20.01,bequerelsPerKilogram,0.72,0.28
Quafisi_et_al_2024,EGLND,603,single set of methods,10,12,39.11,2.47,bequerelsPerKilogram,76.51,19.15,142.96,18.96,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,EGLND,603,single set of methods,12,14,18.55,1.79,bequerelsPerKilogram,30.98,19.33,104.95,15.22,bequerelsPerKilogram,0.76,0.24
Quafisi_et_al_2024,EGLND,603,single set of methods,14,16,13.95,1.81,bequerelsPerKilogram,46.1,16.42,117.83,16.13,bequerelsPerKilogram,0.74,0.26
Quafisi_et_al_2024,EGLND,603,single set of methods,16,18,13.59,1.97,bequerelsPerKilogram,0.28,19.58,80.14,15.28,bequerelsPerKilogram,0.8,0.2
Quafisi_et_al_2024,EGLND,603,single set of methods,18,20,8.15,1.09,bequerelsPerKilogram,12.95,13.25,91.79,11.37,bequerelsPerKilogram,0.74,0.26
Quafisi_et_al_2024,EGLND,603,single set of methods,20,22,5.99,1.13,bequerelsPerKilogram,5.67,12.04,86.48,11.57,bequerelsPerKilogram,0.66,0.34
Quafisi_et_al_2024,EGLND,603,single set of methods,22,24,0.74,0.85,bequerelsPerKilogram,5.16,10.41,80.25,10.09,bequerelsPerKilogram,0.64,0.36
Quafisi_et_al_2024,EGLND,603,single set of methods,24,26,0,0,bequerelsPerKilogram,2.65,11.9,81.27,10.75,bequerelsPerKilogram,0.06,0.94
Quafisi_et_al_2024,EGLND,603,single set of methods,26,28,0,0,bequerelsPerKilogram,6.85,11.45,80.18,10.6,bequerelsPerKilogram,0.71,0.29
Quafisi_et_al_2024,EGLND,603,single set of methods,28,30,0,0,bequerelsPerKilogram,0,10.92,76.78,9.29,bequerelsPerKilogram,0.65,0.35
Quafisi_et_al_2024,EGLND,603,single set of methods,30,32,1.51,0.9,bequerelsPerKilogram,0,12,75.46,10.29,bequerelsPerKilogram,0.7,0.3
Quafisi_et_al_2024,EGLND,603,single set of methods,32,34,0.36,0.93,bequerelsPerKilogram,7.7,11.85,75.41,10.59,bequerelsPerKilogram,0.6,0.4
Quafisi_et_al_2024,EGLND,603,single set of methods,34,36,0.12,0.99,bequerelsPerKilogram,6.04,11.53,78.07,10.68,bequerelsPerKilogram,0.41,0.59
Quafisi_et_al_2024,EGLND,603,single set of methods,36,38,1.2,1.09,bequerelsPerKilogram,3.96,11.41,71.25,11.12,bequerelsPerKilogram,0.77,0.23
Quafisi_et_al_2024,EGLND,603,single set of methods,38,40,0.25,0.63,bequerelsPerKilogram,20.47,9.23,75.53,8.31,bequerelsPerKilogram,0.8,0.2
Quafisi_et_al_2024,EGLND,603,single set of methods,40,42,0.27,0.96,bequerelsPerKilogram,12.71,10.37,63.17,10,bequerelsPerKilogram,0.83,0.17
Quafisi_et_al_2024,EGLND,603,single set of methods,42,44,2.59,2.45,bequerelsPerKilogram,2.17,19.87,45.96,18.89,bequerelsPerKilogram,0.69,0.31
Quafisi_et_al_2024,EGLND,603,single set of methods,44,46,0,0,bequerelsPerKilogram,0,20.55,37.54,17.78,bequerelsPerKilogram,0.6,0.4
Quafisi_et_al_2024,EGLND,603,single set of methods,46,48,0,0,bequerelsPerKilogram,0,22.95,8.81,22.72,bequerelsPerKilogram,0.51,0.49
Quafisi_et_al_2024,EGLND,603,single set of methods,48,50,0,0,bequerelsPerKilogram,13.15,25.55,54.21,22.35,bequerelsPerKilogram,0.59,0.41
Quafisi_et_al_2024,EGLND,603,single set of methods,50,52,0,0,bequerelsPerKilogram,0,25.05,8.86,20.51,bequerelsPerKilogram,0.65,0.35
Quafisi_et_al_2024,EGLND,603,single set of methods,52,54,3.38,1.63,bequerelsPerKilogram,1.22,15.55,40.71,12.59,bequerelsPerKilogram,0.64,0.36
Quafisi_et_al_2024,WASH,701,single set of methods,0,2,1.22,0.7,bequerelsPerKilogram,28.65,9.05,40.36,8.54,bequerelsPerKilogram,0.94,0.06
Quafisi_et_al_2024,WASH,701,single set of methods,2,4,3.45,0.73,bequerelsPerKilogram,52.94,12.88,72.71,12.84,bequerelsPerKilogram,0.94,0.06
Quafisi_et_al_2024,WASH,701,single set of methods,4,6,4.03,0.77,bequerelsPerKilogram,35.08,11.54,60.55,11.31,bequerelsPerKilogram,0.96,0.04
Quafisi_et_al_2024,WASH,701,single set of methods,6,8,1.6,0.68,bequerelsPerKilogram,20.63,9,42.24,8.5,bequerelsPerKilogram,0.95,0.05
Quafisi_et_al_2024,WASH,701,single set of methods,8,10,1.7,1.1,bequerelsPerKilogram,33.27,12.96,61.2,12.81,bequerelsPerKilogram,0.95,0.05
Quafisi_et_al_2024,WASH,701,single set of methods,10,12,3.65,0.84,bequerelsPerKilogram,20.44,10.25,47.06,10.08,bequerelsPerKilogram,0.92,0.08
Quafisi_et_al_2024,WASH,701,single set of methods,12,14,2.21,0.86,bequerelsPerKilogram,18.47,10.77,50.66,10.6,bequerelsPerKilogram,0.9,0.1
Quafisi_et_al_2024,WASH,701,single set of methods,14,16,3.87,0.88,bequerelsPerKilogram,45.22,15.23,84.46,15.19,bequerelsPerKilogram,0.87,0.13
Quafisi_et_al_2024,WASH,701,single set of methods,16,18,7.94,1.45,bequerelsPerKilogram,107.47,25.95,145.42,25.92,bequerelsPerKilogram,0.91,0.09
Quafisi_et_al_2024,WASH,701,single set of methods,18,20,12.5,0.93,bequerelsPerKilogram,152.68,31.31,192.29,31.29,bequerelsPerKilogram,0.89,0.11
Quafisi_et_al_2024,WASH,701,single set of methods,20,22,12.6,1.52,bequerelsPerKilogram,170.72,35.48,209.4,35.26,bequerelsPerKilogram,0.93,0.07
Quafisi_et_al_2024,WASH,701,single set of methods,22,24,12.52,1.57,bequerelsPerKilogram,158.25,32.76,192.04,32.69,bequerelsPerKilogram,0.91,0.09
