study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density_measured,dry_bulk_density_modeled,fraction_organic_matter,fraction_carbon_measured,fraction_carbon_modeled,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,pb214_activity,pb214_activity_se,excess_pb210_activity,excess_pb210_activity_se
Peck_et_al_2020,Coquille,CMOR1706_04PU,32,36,NA,1.21,0.02,NA,0.006,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_04PU,36,38,NA,1.21,0.02,NA,0.006,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_04PU,38,40,NA,1.2,0.03,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_04PU,40,42,NA,1.2,0.02,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_04PU,42,44,NA,1.16,0.02,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_04PU,44,46,NA,1.23,0.03,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_04PU,46,48,NA,1.3,0.02,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_04PU,48,50,NA,1.23,0.02,NA,0.006,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_05PU,0,2,0.3,0.38,0.23,NA,0.067,-0.03,0.03,5.15,0.28,0.92,0.1,4.23,0.38
Peck_et_al_2020,Coquille,CMOR1706_05PU,2,4,0.33,0.43,0.19,NA,0.053,0.33,0.1,3.3,0.3,0.96,0.12,2.34,0.42
Peck_et_al_2020,Coquille,CMOR1706_05PU,4,6,0.91,0.82,0.04,NA,0.011,0.1,0.02,1.17,0.06,0.77,0.03,0.4,0.1
Peck_et_al_2020,Coquille,CMOR1706_05PU,6,8,1,1.04,0.03,NA,0.009,0.16,0.03,0.92,0.09,0.81,0.05,0.11,0.14
Peck_et_al_2020,Coquille,CMOR1706_05PU,8,10,NA,1.03,0.03,NA,0.009,-0.01,0.01,0.79,0.08,0.68,0.04,0.11,0.13
Peck_et_al_2020,Coquille,CMOR1706_05PU,10,12,1.04,1.07,0.03,NA,0.01,0.22,0.04,0.7,0.1,0.75,0.05,0,0.15
Peck_et_al_2020,Coquille,CMOR1706_05PU,12,14,1.06,0.93,0.04,NA,0.012,0.17,0.03,1.14,0.1,0.8,0.05,0.34,0.15
Peck_et_al_2020,Coquille,CMOR1706_05PU,14,16,0.9,0.77,0.05,NA,0.015,0.3,0.05,1.22,0.14,0.82,0.07,0.4,0.21
Peck_et_al_2020,Coquille,CMOR1706_05PU,16,18,1.07,0.95,0.05,NA,0.013,0.2,0.04,0.96,0.1,0.85,0.05,0.1,0.16
Peck_et_al_2020,Coquille,CMOR1706_05PU,18,20,1.03,1,0.04,NA,0.012,0.21,0.05,0.54,0.11,0.84,0.06,0,0.17
Peck_et_al_2020,Coquille,CMOR1706_05PU,20,22,1.14,1,0.04,NA,0.011,0.14,0.03,0.74,0.08,0.68,0.04,0.06,0.12
Peck_et_al_2020,Coquille,CMOR1706_05PU,22,24,1.34,1.15,0.03,NA,0.01,-0.02,0.02,0.95,0.11,0.95,0.06,0,0.17
Peck_et_al_2020,Coquille,CMOR1706_05PU,24,26,1.29,1.22,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_05PU,26,28,1.23,1.13,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_05PU,28,30,1.08,0.96,0.05,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_05PU,30,32,1.12,0.95,0.06,NA,0.018,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_05PU,32,34,0.93,0.93,0.06,NA,0.017,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_05PU,34,36,0.95,0.98,0.06,NA,0.018,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_05PU,36,38,1.13,1.06,0.04,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_05PU,38,40,1.28,0.98,0.06,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_05PU,40,42,0.94,0.98,0.05,NA,0.013,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_05PU,42,44,1.19,1,0.06,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_05PU,44,46,1.05,0.98,0.05,NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_05PU,46,48,1.1,1.04,0.05,NA,0.013,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_05PU,48,50,1.09,1.07,0.05,NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,0,2,1.26,1.1,0.03,NA,0.009,0.07,0.02,1.62,0.09,0.85,0.04,0.77,0.14
Peck_et_al_2020,Coquille,CMOR1706_06PU,2,4,1.44,1.4,0.02,NA,0.007,-0.02,0.02,1.45,0.12,0.75,0.06,0.69,0.17
Peck_et_al_2020,Coquille,CMOR1706_06PU,4,6,1.33,1.41,0.03,NA,0.007,-0.01,0.01,1.28,0.1,0.86,0.05,0.41,0.15
Peck_et_al_2020,Coquille,CMOR1706_06PU,6,8,1.2,1.4,0.03,NA,0.007,0.1,0.03,1.04,0.09,0.84,0.05,0.2,0.14
Peck_et_al_2020,Coquille,CMOR1706_06PU,8,10,1.48,1.42,0.02,NA,0.007,0.1,0.02,1.03,0.08,0.85,0.04,0.18,0.12
Peck_et_al_2020,Coquille,CMOR1706_06PU,10,12,NA,1.44,0.02,NA,0.006,0.08,0.02,0.93,0.08,0.83,0.04,0.1,0.12
Peck_et_al_2020,Coquille,CMOR1706_06PU,12,14,NA,1.42,0.02,NA,0.006,-0.01,0.01,0.88,0.08,0.83,0.04,0.04,0.13
Peck_et_al_2020,Coquille,CMOR1706_06PU,14,16,NA,1.45,0.02,NA,0.006,-0.01,0.01,0.79,0.09,0.82,0.05,0,0.14
Peck_et_al_2020,Coquille,CMOR1706_06PU,16,18,NA,1.43,0.02,NA,0.006,-0.01,0.01,0.61,0.09,0.86,0.05,0,0.14
Peck_et_al_2020,Coquille,CMOR1706_06PU,18,20,NA,1.3,0.03,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,20,22,NA,1.25,0.03,NA,0.008,-0.01,0.01,0.79,0.09,0.92,0.05,0,0.14
Peck_et_al_2020,Coquille,CMOR1706_06PU,22,24,NA,1.26,0.03,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,24,26,NA,1.24,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,26,28,NA,1.2,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,28,30,NA,1.18,0.04,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,30,32,NA,1.27,0.03,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,32,34,NA,1.15,0.03,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,34,36,NA,0.91,0.08,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,36,38,NA,1.14,0.04,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,38,40,NA,1.17,0.03,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,40,42,NA,1.33,0.03,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,42,44,NA,1.37,0.03,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,44,46,NA,1.39,0.02,NA,0.006,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,46,48,NA,1.4,0.02,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_06PU,48,50,NA,1.39,0.02,0.00540776391901663,0.006,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,0,2,NA,0.94,0.03,NA,0.01,-0.02,0.02,1.4,0.13,1,0.07,0.4,0.19
Peck_et_al_2020,Coquille,CMOR1706_07PU,2,4,NA,0.98,0.03,NA,0.009,0.18,0.05,0.87,0.13,0.93,0.07,0,0.21
Peck_et_al_2020,Coquille,CMOR1706_07PU,4,6,NA,1,0.03,NA,0.009,-0.01,0.01,0.98,0.09,0.86,0.05,0.13,0.13
Peck_et_al_2020,Coquille,CMOR1706_07PU,6,8,NA,1.09,0.04,NA,0.01,-0.02,0.02,0.76,0.08,0.96,0.05,0,0.13
Peck_et_al_2020,Coquille,CMOR1706_07PU,8,10,NA,1.1,0.05,NA,0.013,-0.01,0.01,0.71,0.08,0.94,0.05,0,0.13
Peck_et_al_2020,Coquille,CMOR1706_07PU,10,12,NA,0.97,0.04,NA,0.011,-0.04,0.03,0.87,0.17,1.21,0.1,0,0.28
Peck_et_al_2020,Coquille,CMOR1706_07PU,12,14,NA,1.1,0.03,NA,0.009,-0.01,0.01,1.06,0.12,0.89,0.05,0.17,0.17
Peck_et_al_2020,Coquille,CMOR1706_07PU,14,16,NA,1.2,0.03,NA,0.009,-0.02,0.02,0.83,0.09,0.99,0.05,0,0.14
Peck_et_al_2020,Coquille,CMOR1706_07PU,16,18,NA,1.2,0.03,NA,0.009,-0.02,0.02,0.64,0.12,0.81,0.07,0,0.19
Peck_et_al_2020,Coquille,CMOR1706_07PU,18,20,NA,1.23,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,20,22,NA,1.21,0.03,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,22,24,NA,1.2,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,24,26,NA,1.31,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,26,28,NA,1.19,0.03,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,28,30,NA,1.28,0.02,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,30,32,NA,1.31,0.03,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,32,34,NA,1.27,0.03,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,34,36,NA,1.26,0.02,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,36,38,NA,1.31,0.02,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,38,40,NA,1.33,0.02,NA,0.006,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,40,42,NA,1.31,0.02,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,42,44,NA,1.28,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,44,46,NA,1.3,0.03,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,46,48,NA,1.33,0.02,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_07PU,48,50,NA,1.3,0.02,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_08PU,0,2,NA,0.23,0.32,0.11243712991988854,0.092,0.57,0.12,10.7,0.45,0.84,0.13,9.87,0.58
Peck_et_al_2020,Coquille,CMOR1706_08PU,2,4,NA,0.31,0.27,NA,0.077,0.5,0.1,8.75,0.38,0.93,0.11,7.83,0.49
Peck_et_al_2020,Coquille,CMOR1706_08PU,4,6,0.42,0.35,0.23,NA,0.065,0.81,0.1,6.6,0.3,0.96,0.1,5.64,0.4
Peck_et_al_2020,Coquille,CMOR1706_08PU,6,8,0.5,0.46,0.21,NA,0.06,1.25,0.11,4.67,0.27,1.03,0.1,3.64,0.37
Peck_et_al_2020,Coquille,CMOR1706_08PU,8,10,0.52,0.5,0.19,NA,0.053,3.41,0.16,2.06,0.2,0.98,0.1,1.08,0.3
Peck_et_al_2020,Coquille,CMOR1706_08PU,10,12,0.58,0.51,0.17,NA,0.049,3.98,0.11,2.06,0.15,1.1,0.07,0.96,0.22
Peck_et_al_2020,Coquille,CMOR1706_08PU,12,14,0.49,0.46,0.2,NA,0.055,0.4,0.08,1.89,0.2,1.01,0.1,0.88,0.3
Peck_et_al_2020,Coquille,CMOR1706_08PU,14,16,0.47,0.46,0.19,NA,0.055,0.15,0.06,1.67,0.18,0.86,0.09,0.81,0.26
Peck_et_al_2020,Coquille,CMOR1706_08PU,16,18,0.47,0.56,0.2,NA,0.057,-0.04,0.04,1.66,0.2,1.13,0.11,0.53,0.3
Peck_et_al_2020,Coquille,CMOR1706_08PU,18,20,0.63,0.71,0.14,NA,0.039,-0.02,0.02,0.99,0.15,1.06,0.08,0,0.23
Peck_et_al_2020,Coquille,CMOR1706_08PU,20,22,NA,0.76,0.12,NA,0.033,0.09,0.04,1.01,0.11,1.12,0.06,0,0.17
Peck_et_al_2020,Coquille,CMOR1706_08PU,22,24,NA,0.84,0.11,NA,0.03,-0.03,0.03,0.91,0.15,1.24,0.09,0,0.24
Peck_et_al_2020,Coquille,CMOR1706_08PU,24,26,NA,1.13,0.19,NA,0.054,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_08PU,26,28,NA,1.15,0.05,NA,0.014,-0.01,0.01,0.68,0.09,0.91,0.05,0,0.14
Peck_et_al_2020,Coquille,CMOR1706_08PU,28,30,NA,1.17,0.05,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_08PU,30,32,NA,0.78,0.05,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_08PU,32,34,NA,0.73,0.1,NA,0.027,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_08PU,34,36,NA,1.01,0.1,NA,0.029,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_08PU,36,38,NA,1.11,0.06,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_08PU,38,40,NA,1.01,0.05,NA,0.013,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_08PU,40,42,NA,0.93,0.06,NA,0.017,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_08PU,42,44,NA,0.87,0.07,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_08PU,44,46,NA,0.89,0.08,NA,0.023,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_08PU,46,48,NA,0.8,0.08,NA,0.023,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_08PU,48,50,NA,0.78,0.08,NA,0.023,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_09PU,0,2,0.33,0.39,0.2,NA,0.058,-0.05,0.05,4.72,0.32,1.05,0.12,3.67,0.44
Peck_et_al_2020,Coquille,CMOR1706_09PU,2,4,0.73,0.5,0.14,NA,0.041,-0.03,0.03,3.82,0.23,1.05,0.09,2.76,0.33
Peck_et_al_2020,Coquille,CMOR1706_09PU,4,6,0.95,0.69,0.08,NA,0.023,-0.04,0.04,2.49,0.22,0.84,0.09,1.65,0.31
Peck_et_al_2020,Coquille,CMOR1706_09PU,6,8,1.08,1.04,0.04,NA,0.011,-0.01,0.01,1.28,0.11,0.81,0.05,0.47,0.16
Peck_et_al_2020,Coquille,CMOR1706_09PU,8,10,1.16,1.08,0.04,NA,0.01,-0.02,0.02,1.08,0.12,0.92,0.06,0.16,0.19
Peck_et_al_2020,Coquille,CMOR1706_09PU,10,12,1.03,1.1,0.03,NA,0.01,-0.01,0.01,1.05,0.1,0.89,0.05,0.16,0.15
Peck_et_al_2020,Coquille,CMOR1706_09PU,12,14,NA,1.09,0.03,NA,0.009,0.16,0.04,0.94,0.11,0.85,0.06,0.09,0.17
Peck_et_al_2020,Coquille,CMOR1706_09PU,14,16,NA,1.17,0.03,NA,0.008,0.12,0.03,0.99,0.09,0.77,0.05,0.22,0.13
Peck_et_al_2020,Coquille,CMOR1706_09PU,16,18,NA,1.27,0.03,NA,0.008,0.19,0.04,0.85,0.11,1.03,0.07,0,0.18
Peck_et_al_2020,Coquille,CMOR1706_09PU,18,20,NA,1.3,0.02,NA,0.007,0.12,0.03,0.87,0.09,0.82,0.05,0.05,0.13
Peck_et_al_2020,Coquille,CMOR1706_09PU,20,22,NA,1.34,0.02,NA,0.007,0.15,0.05,0.67,0.12,0.84,0.06,0,0.18
Peck_et_al_2020,Coquille,CMOR1706_09PU,22,24,NA,1.33,0.02,NA,0.007,0.16,0.03,0.73,0.09,0.89,0.05,0,0.15
Peck_et_al_2020,Coquille,CMOR1706_09PU,24,26,NA,1.32,0.02,NA,0.006,0.13,0.03,0.8,0.09,0.72,0.05,0.08,0.14
Peck_et_al_2020,Coquille,CMOR1706_09PU,26,28,NA,1.35,0.02,NA,0.006,0.1,0.03,0.58,0.09,0.82,0.05,0,0.15
Peck_et_al_2020,Coquille,CMOR1706_09PU,28,30,NA,1.36,0.02,NA,0.006,-0.01,0.01,0.61,0.08,0.71,0.04,0,0.13
Peck_et_al_2020,Coquille,CMOR1706_09PU,30,32,NA,1.4,0.02,NA,0.005,-0.01,0.01,0.65,0.08,0.75,0.05,0,0.12
Peck_et_al_2020,Coquille,CMOR1706_09PU,32,34,NA,1.38,0.02,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_09PU,34,36,NA,1.37,0.02,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_09PU,36,38,NA,1.41,0.02,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_09PU,38,40,NA,1.43,0.02,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_09PU,40,42,NA,1.43,0.02,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_09PU,42,44,NA,1.44,0.02,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_09PU,44,46,NA,1.46,0.02,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_09PU,46,48,NA,1.41,0.02,0.003337713292585878,0.004,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_09PU,48,50,NA,1.4,0.02,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_10PU,0,2,NA,0.3,0.23,NA,0.066,0.31,0.07,4.71,0.27,1.02,0.11,3.69,0.38
Peck_et_al_2020,Coquille,CMOR1706_10PU,2,4,NA,0.34,0.25,NA,0.071,-0.05,0.05,4.72,0.32,1.04,0.13,3.68,0.45
Peck_et_al_2020,Coquille,CMOR1706_10PU,4,6,0.3,0.42,0.19,NA,0.054,0.29,0.05,3.09,0.16,1.07,0.07,2.02,0.23
Peck_et_al_2020,Coquille,CMOR1706_10PU,6,8,0.38,0.41,0.23,NA,0.066,0.31,0.08,2.68,0.24,0.9,0.1,1.78,0.34
Peck_et_al_2020,Coquille,CMOR1706_10PU,8,10,0.21,0.37,0.28,0.09816282051282049,0.079,0.49,0.1,3.11,0.28,0.91,0.12,2.2,0.4
Peck_et_al_2020,Coquille,CMOR1706_10PU,10,12,0.25,0.44,0.18,NA,0.05,0.55,0.08,1.87,0.21,0.98,0.1,0.88,0.31
Peck_et_al_2020,Coquille,CMOR1706_10PU,12,14,0.38,0.62,0.05,NA,0.015,0.27,0.04,0.98,0.1,1.09,0.06,0,0.16
Peck_et_al_2020,Coquille,CMOR1706_10PU,14,16,NA,1.07,0.04,NA,0.012,0.24,0.04,0.77,0.1,1.02,0.06,0,0.16
Peck_et_al_2020,Coquille,CMOR1706_10PU,16,18,NA,1.11,0.03,NA,0.009,-0.01,0.01,0.78,0.09,1.04,0.05,0,0.15
Peck_et_al_2020,Coquille,CMOR1706_10PU,18,20,NA,1.25,0.03,NA,0.009,-0.01,0.01,0.75,0.08,0.87,0.05,0,0.13
Peck_et_al_2020,Coquille,CMOR1706_10PU,20,22,NA,1.34,0.03,NA,0.009,-0.01,0.01,0.55,0.07,0.78,0.04,0,0.11
Peck_et_al_2020,Coquille,CMOR1706_10PU,22,24,NA,1.4,0.03,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_10PU,24,26,NA,1.38,0.03,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_10PU,26,28,NA,1.39,0.03,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_10PU,28,30,NA,1.36,0.03,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_10PU,30,32,NA,1.25,0.04,NA,0.012,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_10PU,32,34,NA,1.42,0.05,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_10PU,34,36,NA,1.41,0.04,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_10PU,36,38,NA,1.4,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_10PU,38,40,NA,1.38,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_10PU,40,42,NA,1.36,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_10PU,42,44,NA,1.34,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_10PU,44,46,NA,1.32,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_10PU,46,48,NA,1.23,0.03,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Coquille,CMOR1706_10PU,48,50,NA,1.11,0.04,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Tillamook,MID.A009,0,2,NA,0.26,0.38,NA,0.108,0.48,0.09,9,0.37,0.64,0.1,8.36,0.47
Peck_et_al_2020,Tillamook,MID.A009,2,4,NA,0.51,0.2,NA,0.057,0.55,0.05,3.5,0.15,0.98,0.06,2.52,0.22
Peck_et_al_2020,Tillamook,MID.A009,4,6,NA,0.5,0.22,NA,0.062,0.4,0.05,4.62,0.23,0.91,0.07,3.7,0.3
Peck_et_al_2020,Tillamook,MID.A009,6,8,NA,0.65,0.18,NA,0.05,0.5,0.04,2.43,0.12,1.11,0.05,1.32,0.17
Peck_et_al_2020,Tillamook,MID.A009,8,10,NA,0.35,0.27,NA,0.078,1.46,0.08,4.26,0.18,0.96,0.07,3.3,0.25
Peck_et_al_2020,Tillamook,MID.A009,10,12,NA,0.37,0.33,NA,0.094,3.81,0.14,5.89,0.26,0.83,0.08,5.06,0.34
Peck_et_al_2020,Tillamook,MID.A009,12,14,NA,0.37,0.29,NA,0.083,5.08,0.16,5.06,0.24,0.92,0.08,4.14,0.32
Peck_et_al_2020,Tillamook,MID.A009,14,16,NA,0.43,0.27,NA,0.075,4.45,0.15,3.45,0.2,1.27,0.09,2.18,0.29
Peck_et_al_2020,Tillamook,MID.A009,16,18,NA,0.5,0.24,NA,0.068,2.89,0.11,2.41,0.16,0.9,0.07,1.51,0.23
Peck_et_al_2020,Tillamook,MID.A009,18,20,NA,0.53,0.23,NA,0.066,1.4,0.08,1.57,0.16,0.89,0.06,0.68,0.22
Peck_et_al_2020,Tillamook,MID.A009,20,22,NA,0.57,0.23,NA,0.065,0.68,0.05,1.42,0.12,0.91,0.06,0.5,0.18
Peck_et_al_2020,Tillamook,MID.A009,22,24,NA,0.61,0.23,NA,0.065,0.42,0.05,1.42,0.12,1.03,0.06,0.39,0.19
Peck_et_al_2020,Tillamook,MID.A009,24,26,NA,0.61,0.22,NA,0.064,0.3,0.04,1.3,0.11,1.06,0.06,0.24,0.17
Peck_et_al_2020,Tillamook,MID.A009,26,28,NA,0.54,0.22,NA,0.064,0.25,0.04,0.96,0.12,1.08,0.07,0,0.19
Peck_et_al_2020,Tillamook,MID.A009,28,30,NA,0.49,0.25,NA,0.07,0.3,0.04,1.07,0.12,0.94,0.06,0.14,0.19
Peck_et_al_2020,Tillamook,MID.A009,30,32,NA,0.49,0.25,NA,0.072,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Tillamook,MID.A009,32,34,NA,0.47,0.24,NA,0.068,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Tillamook,MID.A009,34,36,NA,0.49,0.23,NA,0.065,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Tillamook,MID.A009,36,38,NA,0.52,0.22,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Tillamook,MID.A009,38,40,NA,0.44,0.23,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Tillamook,MID.A009,40,42,NA,0.41,0.25,NA,0.071,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Tillamook,MID.A009,42,44,NA,0.38,0.25,NA,0.071,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Tillamook,MID.A009,44,46,NA,0.43,0.23,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA
