study_id,site_id,core_id,depth_min,depth_max,depth_max_decompressed,dry_bulk_density,fraction_carbon_measured,fraction_carbon_modeled,fraction_carbon_density_measured,fraction_carbon_density_modeled,pb210_age,pb210_age_sd,c14_age,c14_age_sd,c14_material,depth_interval_notes
Belshe_et_al_2019,SM,SM10,58,59,86,1.5887,NA,0.005531,NA,0.0088,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,59,60,87,1.567,0.005207000000000001,NA,0.0082,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,60,61,88,1.7253,NA,0.0054069999999999995,NA,0.0093,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,61,62,89,1.3388,0.005607,NA,0.0075,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,62,63,90,1.3518,NA,0.0062,NA,0.0084,NA,NA,593,61,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,63,64,91,1.4459,0.006792,NA,0.0098,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,64,65,92,1.5843,NA,0.0065439999999999995,NA,0.0104,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,65,66,93,1.3214,0.006294999999999999,NA,0.0083,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,66,67,94,1.1981,NA,0.0054210000000000005,NA,0.0065,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,67,68,95,1.5273,0.004547,NA,0.0069,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,68,69,96,1.1521,NA,0.005055,NA,0.0058,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,69,70,97,1.1779,0.005564,NA,0.0066,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,70,71,98,1.4781,NA,0.0057940000000000005,NA,0.0086,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,71,72,99,1.4758,0.006024000000000001,NA,0.0089,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,72,73,100,1.5683,NA,0.005999,NA,0.0094,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,73,74,101,1.424,0.005974,NA,0.0085,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,74,75,102,1.3841,NA,0.005575,NA,0.0077,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,75,76,103,1.253,0.005177,NA,0.0065,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,76,77,104,1.239,NA,0.005376,NA,0.0067,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,77,78,105,1.4811,0.005576,NA,0.0083,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,78,79,106,1.365,NA,0.006039,NA,0.0082,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,79,80,107,1.2626,0.006503,NA,0.0082,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,80,81,108,1.2817,NA,0.006192,NA,0.0079,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,81,82,109,1.4804,0.005881999999999999,NA,0.0087,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,82,83,110,1.6375,NA,0.005960999999999999,NA,0.0098,NA,NA,740,34,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,83,84,111,1.3452,0.006039,NA,0.0081,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,84,85,112,1.38,NA,0.005993000000000001,NA,0.0083,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,85,86,113,1.4339,0.005947,NA,0.0085,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,86,87,114,1.3637,NA,0.006239,NA,0.0085,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,87,88,115,1.0194,0.006531,NA,0.0067,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,88,89,116,1.5202,NA,0.00649,NA,0.0099,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,89,90,117,1.2861,0.006448000000000001,NA,0.0083,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,90,91,118,1.6261,NA,0.006319,NA,0.0103,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,91,92,119,1.8211,0.0061909999999999995,NA,0.0113,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,92,93,120,1.3415,NA,0.006109,NA,0.0082,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,93,94,121,1.6178,0.006028,NA,0.0098,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,94,95,122,1.468,NA,0.005568999999999999,NA,0.0082,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,95,96,123,1.4909,0.005111,NA,0.0076,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,96,97,124,1.4393,NA,0.005952,NA,0.0086,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,97,98,125,1.6226,0.006793,NA,0.011,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,98,99,126,1.2119,NA,0.006234,NA,0.0076,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,99,100,127,1.3856,0.005675,NA,0.0079,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,100,101,128,1.5548,NA,0.005588999999999999,NA,0.0087,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,101,102,129,1.5617,0.005503,NA,0.0086,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,102,103,130,1.6944,NA,0.005736,NA,0.0097,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,103,104,131,1.3885,0.0059689999999999995,NA,0.0083,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,104,105,132,1.6759,NA,0.006265,NA,0.0105,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,105,106,133,1.5382,0.006561,NA,0.0101,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,106,107,134,1.356,NA,0.005776,NA,0.0078,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,107,108,135,1.4888,0.004991,NA,0.0074,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,108,109,136,1.4899,NA,0.005681,NA,0.0085,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,109,110,137,1.583,0.006371,NA,0.0101,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,110,111,138,1.3791,NA,0.006178,NA,0.0085,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,111,112,139,1.6673,0.005985000000000001,NA,0.01,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,112,113,140,1.5526,NA,0.0057540000000000004,NA,0.0089,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,113,114,141,1.3323,0.005523,NA,0.0074,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,114,115,142,1.565,NA,0.005551,NA,0.0087,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,115,116,143,1.3028,0.005579,NA,0.0073,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,116,117,144,1.2046,NA,0.005202,NA,0.0063,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,117,118,145,1.6418,0.004824999999999999,NA,0.0079,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,118,119,146,1.3349,NA,0.004358,NA,0.0058,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,119,120,147,1.2996,0.0038900000000000002,NA,0.0051,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,120,121,148,1.312,NA,0.004579,NA,0.006,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,121,122,149,1.6531,0.005268,NA,0.0087,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,122,123,150,1.5365,NA,0.003792,NA,0.0058,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,123,124,151,1.6373,0.004715,NA,0.0077,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,124,125,152,1.3074,NA,0.004562,NA,0.006,NA,NA,1063,43,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,125,126,153,1.3922,0.00441,NA,0.0061,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,126,127,154,1.1193,NA,0.004484,NA,0.005,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,127,128,155,1.1186,0.004557,NA,0.0051,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,128,129,156,1.0516,NA,0.004579,NA,0.0048,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,129,130,157,1.732,0.004602,NA,0.008,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,130,131,158,1.2753,NA,0.004739,NA,0.006,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,131,132,159,1.3077,0.004876,NA,0.0064,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM10,132,133,160,0.7467,NA,0.004986,NA,0.0037,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM10,133,134,161,1.2247,0.005096000000000001,NA,0.0062,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,0,1,3,0.125,0.039958999999999995,NA,0.005,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,1,2,6,0.1157,0.021461,NA,0.0025,NA,-63,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,2,3,9,0.2479,0.022414999999999997,NA,0.0056,NA,-61,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,3,4,12,0.2165,0.014897,NA,0.0032,NA,-59,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,4,5,14,0.1264,0.014607000000000002,NA,0.0018,NA,-58,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,5,6,17,0.2427,0.014515,NA,0.0035,NA,-57,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,6,7,19,0.3341,0.012031,NA,0.004,NA,-55,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,7,8,21,0.4021,0.011049,NA,0.0044,NA,-53,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,8,9,23,0.3848,0.009899,NA,0.0038,NA,-51,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,9,10,25,0.4353,0.014849000000000001,NA,0.0065,NA,-48,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,10,11,27,0.4821,0.018493,NA,0.0089,NA,-46,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,11,12,29,0.3613,0.028293,NA,0.0102,NA,-41,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,12,13,30,0.6718,0.010441,NA,0.007,NA,38,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,13,14,32,0.5466,0.013758999999999999,NA,0.0075,NA,33,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,14,15,34,0.6576,0.013833,NA,0.0091,NA,-29,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,15,16,35,0.6589,0.018704000000000002,NA,0.0123,NA,-24,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,16,17,37,0.7001,0.020092,NA,0.0141,NA,-18,1,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,17,18,38,0.6962,0.014967999999999999,NA,0.0104,NA,-13,2,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,18,19,40,0.6799,0.017297,NA,0.0118,NA,-7,2,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,19,20,41,0.6791,0.013876999999999999,NA,0.0094,NA,1,2,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,20,21,42,0.7519,NA,0.013651,NA,0.0103,8,2,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,21,22,44,0.7291,0.013424,NA,0.0098,NA,18,3,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,22,23,45,0.8834,NA,0.013453999999999999,NA,0.0119,31,4,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,23,24,46,0.8546,0.013484000000000001,NA,0.0115,NA,46,4,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,24,25,47,1.0093,NA,0.013637,NA,0.0138,75,7,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,25,26,49,0.9328,0.013789000000000001,NA,0.0129,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,26,27,50,0.7219,NA,0.013413,NA,0.0097,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,27,28,51,1.1446,0.013037,NA,0.0149,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,28,29,52,0.9658,NA,0.012701,NA,0.0123,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,29,30,53,0.9092,0.012364,NA,0.0112,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,30,31,54,1.0429,NA,0.012652000000000002,NA,0.0132,NA,NA,610,24,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,31,32,56,0.8862,0.01294,NA,0.0115,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,32,33,57,0.9713,NA,0.012081999999999999,NA,0.0117,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,33,34,58,1.1421,0.011225,NA,0.0128,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,34,35,59,0.9273,NA,0.011668000000000001,NA,0.0108,NA,NA,573,23,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,35,36,60,1.4588,0.012111,NA,0.0177,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,36,37,61,1.0077,NA,0.012405999999999999,NA,0.0125,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,37,38,62,0.9493,0.0127,NA,0.0121,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,38,39,63,1.0694,NA,0.012988,NA,0.0139,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,39,40,64,0.9027,0.013276,NA,0.012,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,40,41,65,0.7672,NA,0.013487,NA,0.0103,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,41,42,66,0.9087,0.013697999999999998,NA,0.0124,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,42,43,67,1.0978,NA,0.015029999999999998,NA,0.0165,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,43,44,69,1.0301,0.016361,NA,0.0169,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,44,45,70,0.668,NA,0.014913000000000001,NA,0.01,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,45,46,71,0.8331,0.013465,NA,0.0112,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,46,47,72,1.0581,NA,0.01287,NA,0.0136,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,47,48,73,1.0932,0.012275000000000001,NA,0.0134,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,48,49,74,1.1157,NA,0.0129,NA,0.0144,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,49,50,75,1.0624,0.013525,NA,0.0144,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,50,51,76,1.2821,NA,0.013119,NA,0.0168,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,51,52,77,1.0289,0.012714000000000001,NA,0.0131,NA,NA,NA,1732,32,seagrass_sheath,NA
Belshe_et_al_2019,SM,SM15,52,53,78,1.0157,NA,0.012542,NA,0.0127,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,53,54,79,0.8925,0.01237,NA,0.011,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,54,55,80,1.0979,NA,0.011522,NA,0.0127,NA,NA,1508,29,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,55,56,81,0.8938,0.010674,NA,0.0095,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,56,57,82,1.1037,NA,0.009785,NA,0.0108,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,57,58,83,1.1965,0.008896,NA,0.0106,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,58,59,84,0.9276,NA,0.009704,NA,0.009,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,59,60,85,1.0742,0.010511999999999999,NA,0.0113,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,60,61,86,0.9421,NA,0.010479,NA,0.0099,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,61,62,87,0.5399,0.010446,NA,0.0056,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,62,63,88,0.7922,NA,0.010223,NA,0.0081,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,63,64,89,1.0733,0.01,NA,0.0107,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,64,65,90,1.1979,NA,0.010570999999999999,NA,0.0127,NA,NA,1583,23,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,65,66,91,0.8307,0.011143,NA,0.0093,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,66,67,92,1.0346,NA,0.010014,NA,0.0104,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,67,68,93,1.1078,0.008884,NA,0.0098,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,68,69,94,1.0102,NA,0.010119,NA,0.0102,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,69,70,95,1.0043,0.011354,NA,0.0114,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,70,71,96,1.0599,NA,0.011466,NA,0.0122,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,71,72,97,0.9803,0.011578999999999999,NA,0.0114,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,72,73,98,1.1982,NA,0.012805,NA,0.0153,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,73,74,99,1.1933,0.014032,NA,0.0167,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,74,75,100,1.0185,NA,0.013831,NA,0.0141,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,75,76,101,0.7433,0.013629,NA,0.0101,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,76,77,102,0.9768,NA,0.01373,NA,0.0134,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,77,78,103,0.9461,0.014597,NA,0.0138,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,78,79,104,1.0041,NA,0.015464,NA,0.0155,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,79,80,105,0.826,0.013646,NA,0.0113,NA,NA,NA,2447,32,seagrass_sheath,NA
Belshe_et_al_2019,SM,SM15,80,81,106,0.6047,NA,0.012357,NA,0.0075,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,81,82,107,0.7834,0.011069,NA,0.0087,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM15,82,83,108,0.8345,NA,0.010568,NA,0.0088,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM15,83,84,109,1.1108,0.010067,NA,0.0112,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,0,1,1,1.067,0.018089,NA,0.0193,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,1,2,3,1.164,0.016019000000000002,NA,0.0186,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,2,3,4,1.1893,0.012174,NA,0.0145,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,3,4,6,1.1377,0.010992,NA,0.0125,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,4,5,7,1.158,0.011625000000000002,NA,0.0135,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,5,6,8,1.3017,0.010144,NA,0.0132,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,6,7,10,1.3373,0.010445,NA,0.014,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,7,8,11,0.9574,0.010598000000000002,NA,0.0101,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,8,9,12,1.0611,0.010737000000000002,NA,0.0114,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,9,10,13,1.0809,0.012654,NA,0.0137,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,10,11,14,1.2971,0.015238,NA,0.0198,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,11,12,15,1.1313,0.014582,NA,0.0165,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,12,13,17,1.1577,0.015451,NA,0.0179,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,13,14,18,1.3209,0.015774999999999997,NA,0.0208,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,14,15,19,1.0762,0.015996999999999997,NA,0.0172,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,15,16,20,1.321,0.016285,NA,0.0215,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,16,17,21,1.0449,0.023008999999999998,NA,0.024,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,17,18,22,1.1028,0.018693,NA,0.0206,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,18,19,23,1.236,0.018473,NA,0.0228,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,19,20,24,1.2864,0.016528,NA,0.0213,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,20,21,25,1.3833,NA,0.014591,NA,0.0202,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,21,22,26,1.3688,0.012654,NA,0.0173,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,22,23,27,1.4949,NA,0.011847000000000002,NA,0.0177,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,23,24,29,1.5851,0.011040000000000001,NA,0.0175,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,24,25,30,1.512,NA,0.011383,NA,0.0172,NA,NA,508,20,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,25,26,31,1.3863,0.011727000000000001,NA,0.0163,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,26,27,32,1.3967,NA,0.012616,NA,0.0176,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,27,28,33,1.1873,0.013505,NA,0.016,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,28,29,34,1.1283,NA,0.013992,NA,0.0158,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,29,30,35,1.3105,0.014478999999999999,NA,0.019,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,30,31,36,1.8408,NA,0.014093,NA,0.0259,NA,NA,608,27,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,31,32,37,1.7524,0.013707,NA,0.024,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,32,33,38,1.3274,NA,0.014173999999999999,NA,0.0188,NA,NA,NA,NA,NA,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,33,34,39,1.5148,0.014641,NA,0.0222,NA,NA,NA,NA,NA,NA,NA
Belshe_et_al_2019,SM,SM25,34,35,40,1.5861,NA,0.013379,NA,0.0212,NA,NA,604,29,seagrass_sheath,Organic carbon modeled by linear interpolation
Belshe_et_al_2019,SM,SM25,35,36,41,1.3601,0.012116,NA,0.0165,NA,NA,NA,NA,NA,NA,NA
