study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,pb214_activity,pb214_activity_se,pb214_unit,bi214_activity,bi214_activity_se,bi214_unit,age,age_min,age_max,depth_interval_notes
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,6,7,0.34062042505009144,0.2113442113442112,9.570427845486112,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,7,8,0.3525898714889963,0.11835295455838023,5.084303728652659,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,8,9,0.36634434008651623,0.16384003144345083,7.224690155322808,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,9,10,0.4042683463309968,0.11919885664377314,5.123163451380496,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,10,11,0.25441564220195784,0.11693813018316314,5.019388364594886,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,11,12,0.35011202796873436,0.12504184471181298,5.392560361695848,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,12,13,0.4556137240875433,0.10947639183896173,4.6786826828104155,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,13,14,0.43304584614451597,0.06957537982080261,2.9040335297623283,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,14,15,0.5667941839658208,0.05746754559792943,2.3812647938434295,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,15,16,0.44070385714009247,0.05413174134153457,2.238525789178053,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,16,17,0.4929502515608762,0.04809154197007285,1.981481589029396,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,17,18,0.39526099246879864,0.04744052485692061,1.953886079244327,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,18,19,0.42438217988506555,0.05114681944945071,2.1112727064728962,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,19,20,0.41511909878606296,0.058716800494132144,2.434863586271979,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,23,24,0.2982277804256566,0.13191217819610349,5.711507696755154,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,27,28,0.16862758545991993,0.1945781262128386,8.729641228526027,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,31,32,0.1685171514177745,0.2127298940149626,9.640545955788934,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,35,36,0.10275302970817811,0.3042386677912245,14.483575886133456,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,39,40,0.11474032017705463,0.36183505890753326,17.74651760266678,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,43,44,0.12768643797655824,0.36215045293422604,17.76484188138067,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,47,48,0.08938206565242104,0.33401993742834374,16.150030462124615,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,51,52,0.09063844015590893,0.36415832628743344,17.88161521660896,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,OT3_2,russian corer,55,56,0.14304261634288196,0.22754718490083167,10.3963304299406,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,0,1,NA,NA,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,1,2,0.3169819371273677,0.21245718223645532,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,2,3,0.22361567919929592,0.2573043724926044,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,3,4,0.2547075565461687,0.25291724874681565,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,4,5,0.2856059596859903,0.3105976723013705,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,5,6,0.41524204654866104,0.25968094957488014,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,6,7,0.2800655988941172,0.3530771453337186,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,7,8,0.3041097915651068,0.33956950311808487,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,8,9,0.37677024346503435,0.391505041098109,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,9,10,0.2553984691900227,0.2837364671791364,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,10,11,0.3756112916764293,0.2357933666816813,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,11,12,0.5013930872630082,0.125770705765197,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,12,13,0.6691353237288397,0.1086376539389154,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,13,14,0.8454392555600729,0.10304513896216257,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,14,15,0.5800951051304297,0.0854721998886759,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,15,16,0.8502562133523427,0.06803371921208455,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,16,17,1.0949736725873775,0.062239652124438716,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,17,18,1.4960670386794124,0.0541018804709434,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,18,19,0.9878965659529297,0.03687437297960093,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,19,20,1.4866046102801955,0.03383323841464684,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,23,24,1.654657350010073,0.030264429412281555,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,27,28,2.446408120096563,0.021563811055801036,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,31,32,1.9851118302228428,0.01635837728786378,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,35,36,2.293157613186786,0.016092814371257518,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,39,40,2.487609665457422,0.015163656537015228,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,43,44,2.435424306957314,0.025165505790007075,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,47,48,1.5819158175813661,0.018329015544041493,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,51,52,2.3308072673937463,0.01596300495786915,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_4,russian corer,55,56,3.111210069754907,0.016129032258064516,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,28,22,34,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,0,1,1.0982795210758478,0.06110609254240678,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,1,2,1.7033050478028993,0.07120268899540556,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,2,3,1.6368797428667081,0.23048363458720061,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,3,4,1.4233848599956338,0.04565295027975068,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,4,5,1.4162124089881896,0.05059446498151656,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,5,6,1.5082407706758951,0.05354933726067754,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,6,7,1.7272190727208507,0.05121770930594445,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,7,8,1.2966363160880658,0.06237742645587354,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,8,9,1.4271334222394767,0.22322769224609104,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,9,10,1.7678148692226638,0.04850738925949981,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,10,11,1.761584670514922,0.045054057173637106,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,11,12,1.5241552702666903,0.041324106385915105,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,12,13,1.6895102931104091,0.23322330097087382,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,13,14,1.5011295288748703,0.04540917147106143,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,14,15,1.5887483039205361,0.05472666868015702,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,15,16,1.5681716838541875,0.24741033471049625,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,16,17,1.7406120043453568,0.05668694524783074,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,17,18,1.4662570008745923,0.05728613569321527,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,18,19,1.2208941205720107,0.055614158462259713,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,19,20,1.431933263298098,0.05483688991771537,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,russian corer,20,21,NA,0.04769811619126684,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,67.5,56,79,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,russian corer,1,2,0.6559202757149337,0.1209301626431771,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,russian corer,3,4,0.6991059518614974,0.13424174567630676,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,russian corer,5,6,0.3736162289082243,0.10902118043952194,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,russian corer,7,8,0.9529030488953922,0.10979857336729444,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,russian corer,9,10,0.9655711215145323,0.034461735921706954,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,russian corer,11,12,0.7171537155576883,0.06381298500366649,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,russian corer,13,14,0.8138142779161285,0.07104108892841762,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,russian corer,15,16,1.0304609119621597,0.054000597104045485,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,russian corer,17,18,1.1731470010246696,0.05414206357799006,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,russian corer,19,20,0.9331224575183958,0.10829845596015553,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,russian corer,23,24,1.2432800860773496,0.034287145754713214,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,russian corer,27,28,1.5507009104660971,0.022857465892816717,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,russian corer,31,32,NA,0.06062981197083639,NA,NA,NA,dpm/g,NA,NA,NA,NA,dpm/g,NA,NA,dpm/g,NA,NA,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,push core,1,2,NA,NA,NA,0.08915578985789535,0.010495619816202504,dpm/g,5.571125267869141,0.19765121577468114,6.134833806696276,0.13756719269914325,dpm/g,0.693581849104663,0.034592933319497136,dpm/g,0.8888290338379593,0.044835769108741035,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,push core,3,4,NA,NA,NA,0.14812010361841413,0.013589949843615574,dpm/g,3.9689807753195483,0.15814154524092366,4.529785769465505,0.10000714084943532,dpm/g,0.8512525416071932,0.038495236608216785,dpm/g,0.6617616207338024,0.038860187229571644,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,push core,5,6,NA,NA,NA,0.031608454149167464,0.0065301377671757995,dpm/g,3.4671385786515585,0.12491796912670475,4.198432109979242,0.09042724612908833,dpm/g,0.8907490500784082,0.04095698609924396,dpm/g,0.9405312258830787,0.04818519233836441,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,push core,7,8,NA,NA,NA,0.15485106778242336,0.012976322501686868,dpm/g,2.6559009089493264,0.11192954455940564,3.3569544799522446,0.07522436847054272,dpm/g,0.8032944097808384,0.034926062888649294,dpm/g,0.8897758452245242,0.04208519591945851,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,push core,9,10,NA,NA,NA,0.18814510192042977,0.0136589551639587,dpm/g,1.6290748184901276,0.08629263543629762,2.281267174521601,0.0526105098459951,dpm/g,0.7447138558076996,0.032077281288762846,dpm/g,0.762494614931563,0.037161902812563784,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,push core,11,12,NA,NA,NA,0.2781546607408404,0.01690309586605512,dpm/g,1.1107196589011856,0.08356540483056965,1.7674528578932502,0.0397393683829784,dpm/g,0.6554129881676597,0.03065909518510571,dpm/g,0.7933508846290431,0.03861992106970483,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,push core,13,14,NA,NA,NA,0,NA,dpm/g,0.7394890497840454,0.04432912610396521,1.4133319527066521,0.031942760451266754,dpm/g,0.6823005904181999,0.031013835874827346,dpm/g,0.713299149378412,0.036306151298730854,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,push core,15,16,NA,NA,NA,0.06171453504937599,0.007562910564553538,dpm/g,0.738138676962747,0.06933919711714571,1.4953999642968097,0.03465510082005667,dpm/g,0.7448370251985873,0.0310350489602345,dpm/g,0.8577155946579075,0.038130308214777725,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,push core,17,18,NA,NA,NA,0.030669892874226005,0.005236372975073643,dpm/g,0.15295621311686364,0.07419520641093597,0.9578681278801566,0.022549341276866607,dpm/g,0.7870484949982774,0.03133208210901817,dpm/g,0.910712598955295,0.038588335186807245,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,push core,19,20,NA,NA,NA,0.07295608048599463,0.008350884024515866,dpm/g,0.42986893270884985,0.06171311371203156,1.1490898762851125,0.026552577249021696,dpm/g,0.6842179458572708,0.03020912411535217,dpm/g,0.725569817326256,0.035616995254710376,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,push core,23,24,NA,NA,NA,0,NA,dpm/g,0.6939612699778829,0.08589232516021636,1.4496627842252083,0.03503730617478391,dpm/g,0.7809997837771651,0.030038615207626972,dpm/g,0.8768732011121838,0.03644178847976629,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,push core,27,28,NA,NA,NA,0,NA,dpm/g,0.5379253347600368,0.07236591799024017,1.4157615048050483,0.03261917685388473,dpm/g,0.8576164109420139,0.03303434576384926,dpm/g,0.9807640275579869,0.04044625084509423,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_1,push core,31,32,NA,NA,NA,0,NA,dpm/g,0.18533058703289526,0.06733722971238311,1.0249105583147646,0.02388427444274082,dpm/g,0.8255933002797241,0.03194334699846706,dpm/g,0.9315615572353935,0.03884900914424788,dpm/g,136.5,110,163,age depth model recorded at whole-core level
Langston_et_al_2022,Goodwin Island,NT3_2,push core,0,1,NA,NA,NA,0,NA,dpm/g,3.6642368768082907,0.14797867883363464,4.3438960622597,0.10086570149276239,dpm/g,0.8961346044159877,0.04023792223094047,dpm/g,0.9260242182835208,0.046831358011628896,dpm/g,67.5,56,79,age depth model recorded at whole-core level
