Source,Site,Management,Marshzone,Core,Habitat_type,Latitude,Longitude,accuracy_flag-see note in metadata,Country,Year_collected,U_depth_m (compressed) ,L_depth_m (compressed),U_depth_m (decompressed) ,L_depth_m (decompressed),Method,SOM_perc,BD_reported_g_cm3,OC_perc
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,12.00,14.00,14.83,17.30,LOI and EA,37.2,0.31,14.045
Graversen et al 2022,Horsens,Grazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,14.00,16.00,17.38,19.86,LOI and EA,10.32,0.93,2.970
Graversen et al 2022,Horsens,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,14.00,16.00,16.49,18.85,LOI and EA,36.25,0.34,16.059
Graversen et al 2022,Horsens,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,14.00,16.00,18.07,20.65,LOI and EA,32.55,0.22,12.150
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,16.00,18.00,19.77,22.24,LOI and EA,27.29,0.58,10.007
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,18.00,20.00,22.24,24.71,LOI and EA,,,
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,20.00,22.00,24.71,27.18,LOI and EA,12.06,0.98,3.800
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,22.00,24.00,27.18,29.65,LOI and EA,7.71,1.03,0.485
Graversen et al 2022,Horsens,Grazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,29.79,32.28,LOI and EA,4.35,1.28,0.191
Graversen et al 2022,Horsens,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,28.27,30.63,LOI and EA,11.48,1.00,1.746
Graversen et al 2022,Horsens,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,30.98,33.56,LOI and EA,13.64,0.82,2.182
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,26.00,28.00,32.12,34.59,LOI and EA,3.72,1.27,0.867
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,28.00,30.00,34.59,37.06,LOI and EA,6.23,1.25,0.369
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,30.00,32.00,37.06,39.53,LOI and EA,2.71,1.31,0.555
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,32.00,34.00,39.53,42.01,LOI and EA,2.43,1.42,0.323
Graversen et al 2022,Horsens,Grazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,34.00,36.00,40.05,42.41,LOI and EA,3.81,1.41,0.659
Graversen et al 2022,Horsens,Grazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,34.00,36.00,43.89,46.47,LOI and EA,3.08,1.31,0.246
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,36.00,38.00,44.48,46.95,LOI and EA,3.27,1.31,0.235
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,38.00,40.00,46.95,49.42,LOI and EA,2.24,1.28,0.420
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,40.00,42.00,49.42,51.89,LOI and EA,2.19,1.20,0.193
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,42.00,46.00,51.89,56.83,LOI and EA,1.51,1.37,0.263
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,46.00,50.00,56.83,61.77,LOI and EA,2.03,1.31,0.158
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,50.00,54.00,61.77,66.72,LOI and EA,2.02,1.23,0.053
Graversen et al 2022,Horsens,Grazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,54.00,58.00,66.72,71.66,LOI and EA,4.11,1.16,0.316
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,55.875676,10.018878,direct from dataset,DK,2018,0.00,1.00,0.00,1.36,LOI and EA,24.57,0.18,12.164
Graversen et al 2022,Horsens,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.33,2.65,LOI and EA,30.18,0.24,9.630
Graversen et al 2022,Horsens,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.45,2.89,LOI and EA,36.45,0.19,13.336
Graversen et al 2022,Horsens,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,1.00,2.00,1.34,2.67,LOI and EA,39.06,0.20,14.059
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,2.00,3.00,2.73,4.09,LOI and EA,47.05,0.27,12.379
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,3.00,4.00,4.09,5.46,LOI and EA,23.19,0.26,11.019
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,4.00,5.00,5.46,6.82,LOI and EA,27.38,0.27,9.424
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,5.00,6.00,6.82,8.18,LOI and EA,28.05,0.27,9.736
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,6.00,7.00,8.18,9.55,LOI and EA,22.87,0.25,8.467
Graversen et al 2022,Horsens,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,7.00,8.00,9.28,10.61,LOI and EA,39.92,0.65,7.241
Graversen et al 2022,Horsens,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,7.00,8.00,10.13,11.58,LOI and EA,34.91,0.26,13.183
Graversen et al 2022,Horsens,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,7.00,8.00,9.36,10.69,LOI and EA,31.23,0.25,6.210
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,8.00,9.00,10.91,12.28,LOI and EA,26.51,0.52,4.164
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,9.00,10.00,12.28,13.64,LOI and EA,15.1,0.79,4.259
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,10.00,12.00,13.64,16.37,LOI and EA,24.12,0.57,7.176
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,12.00,14.00,16.37,19.10,LOI and EA,21.6,0.98,5.039
Graversen et al 2022,Horsens,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,14.00,16.00,18.57,21.22,LOI and EA,8.01,1.29,0.431
Graversen et al 2022,Horsens,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,14.00,16.00,20.26,23.16,LOI and EA,7.71,1.05,0.948
Graversen et al 2022,Horsens,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,14.00,16.00,18.71,21.38,LOI and EA,11.76,0.93,2.590
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,16.00,18.00,21.82,24.55,LOI and EA,6.6,1.19,0.965
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,18.00,20.00,24.55,27.28,LOI and EA,7.18,1.25,0.330
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,20.00,22.00,27.28,30.01,LOI and EA,3.79,1.24,0.349
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,22.00,24.00,30.01,32.74,LOI and EA,4.32,1.63,0.170
Graversen et al 2022,Horsens,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,31.83,34.48,LOI and EA,2.28,1.59,0.126
Graversen et al 2022,Horsens,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,34.74,37.63,LOI and EA,2.98,1.54,0.268
Graversen et al 2022,Horsens,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,24.00,26.00,32.08,34.75,LOI and EA,4.32,1.40,0.299
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,26.00,28.00,35.46,38.19,LOI and EA,,,
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,28.00,30.00,38.19,40.92,LOI and EA,,,
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,30.00,32.00,40.92,43.65,LOI and EA,1.87,1.49,0.096
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,32.00,34.00,43.65,46.38,LOI and EA,3.06,1.54,0.121
Graversen et al 2022,Horsens,Ungrazed,Low,1,Saltmarsh,,,direct from dataset,DK,2018,34.00,36.00,45.09,47.74,LOI and EA,4.44,1.53,0.297
Graversen et al 2022,Horsens,Ungrazed,Low,2,Saltmarsh,,,direct from dataset,DK,2018,34.00,36.00,49.21,52.11,LOI and EA,1.76,1.24,0.272
Graversen et al 2022,Horsens,Ungrazed,Low,3,Saltmarsh,,,direct from dataset,DK,2018,34.00,36.00,45.44,48.12,LOI and EA,2.92,1.52,0.230
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,36.00,38.00,49.10,51.83,LOI and EA,1.91,1.23,0.162
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,38.00,40.00,51.83,54.56,LOI and EA,2.35,1.64,0.471
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,40.00,42.00,54.56,57.29,LOI and EA,1.42,1.36,0.080
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,42.00,46.00,57.29,62.74,LOI and EA,2.3,1.47,0.103
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,46.00,50.00,62.74,68.20,LOI and EA,1.28,1.30,0.106
Graversen et al 2022,Horsens,Ungrazed,Low,P,Saltmarsh,,,direct from dataset,DK,2018,50.00,52.00,68.20,70.93,LOI and EA,1.87,1.34,0.362
