Status,Site_ID,Core_ID,Date,Lat,Lon,Depth_min,Depth_max,Elevation,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,17,18,1.28,0.33,6.96,0.33,1.32,0.11,5.64,0.35,0.73,0.07,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,18,19,1.27,0.44,7.16,0.29,1.39,0.09,5.76,0.31,1.4,0.07,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,19,20,1.26,0.33,4.66,0.18,1.43,0.06,3.23,0.19,1.22,0.05,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,20,21,1.25,0.34,3.82,0.2,1.54,0.07,2.28,0.22,0.9,0.05,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,21,22,1.24,0.34,2.89,0.23,1.66,0.08,1.23,0.24,0.66,0.05,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,22,23,1.23,0.31,2.88,0.21,1.69,0.08,1.18,0.23,0.57,0.05,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,23,24,1.22,0.28,2.31,0.16,1.54,0.07,0.77,0.17,0.43,0.04,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,24,25,1.21,0.24,2.48,0.19,1.39,0.07,1.09,0.2,0.25,0.03,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,25,26,1.2,0.22,3.53,0.22,1.3,0.07,2.23,0.23,0.21,0.04,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,26,27,1.19,0.2,4,0.25,1.48,0.1,2.52,0.27,0,0,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,27,28,1.18,0.24,4.39,0.25,1.25,0.07,3.14,0.26,0,0,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,28,29,1.17,0.24,5.31,0.28,1.45,0.09,3.86,0.29,0,0,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,29,30,1.16,0.23,4.69,0.24,1.43,0.08,3.27,0.25,0,0,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,30,32,1.15,0.2,3.84,0.23,1.45,0.07,2.4,0.24,0.25,0.03,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,32,34,1.13,0.2,3.98,0.21,1.21,0.07,2.77,0.22,0,0,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,34,36,1.11,0.21,2.73,0.2,1.11,0.06,1.63,0.21,0,0,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,36,38,1.09,0.26,2.04,0.14,1.31,0.06,0.73,0.16,0,0,0,0
MARSH,3,2,12/8/2015,42.74134648,-70.83016904,38,40,1.07,0.46,1.83,0.1,1.76,0.04,0.07,0.11,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,0,1,1.14,0.09,6.44,0.5,1.26,0.14,5.18,0.52,0,0,3.11,0.88
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,1,2,1.13,0.15,3.08,0.29,1.12,0.11,1.96,0.31,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,2,3,1.12,0.24,2.01,0.2,1.09,0.07,0.92,0.22,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,3,4,1.11,0.24,2.57,0.28,1.51,0.11,1.06,0.3,0.24,0.06,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,4,5,1.1,0.26,2.78,0.26,2.35,0.1,0.42,0.28,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,5,6,1.09,0.31,1.52,0.15,1.15,0.07,0.38,0.16,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,6,7,1.08,0.25,1.57,0.25,1.55,0.12,0.02,0.28,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,7,8,1.07,0.29,1.3,0.14,1.57,0.09,-0.27,0.17,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,8,9,1.06,0.29,1.36,0.16,1.63,0.08,-0.27,0.17,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,9,10,1.05,0.3,1.74,0.17,1.39,0.07,0.35,0.18,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,10,11,1.04,0.23,1.13,0.14,1.13,0.08,0,0.16,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,11,12,1.03,0.29,1.45,0.21,1.16,0.09,0.3,0.23,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,12,13,1.02,0.29,1.28,0.12,1.19,0.05,0.09,0.13,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,13,14,1.01,0.28,1.5,0.16,1.37,0.09,0.14,0.18,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,14,15,1,0.33,1.38,0.17,1.31,0.07,0.07,0.18,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,15,16,0.99,0.25,1.29,0.17,1.49,0.09,-0.19,0.19,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,16,17,0.98,0.26,2.18,0.27,1.42,0.1,0.76,0.29,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,17,18,0.97,0.16,1.76,0.23,2.11,0.14,-0.35,0.27,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,18,19,0.96,0.23,1.37,0.13,1.59,0.08,-0.22,0.15,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,19,20,0.95,0.18,1.57,0.19,1.31,0.08,0.27,0.21,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,20,21,0.94,0.15,1.36,0.19,1.36,0.19,0,0.27,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,21,22,0.93,0.17,1.38,0.25,0.4,0.07,0.98,0.26,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,22,23,0.92,0.18,1.61,0.19,1.42,0.1,0.19,0.22,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,23,24,0.91,0.19,1.79,0.23,1.81,0.13,-0.02,0.26,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,24,25,0.9,0.18,1.69,0.25,1.56,0.11,0.13,0.27,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,25,26,0.89,0.15,1.55,0.24,1.34,0.12,0.21,0.27,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,26,27,0.88,0.19,1.33,0.33,1.22,0.12,0.1,0.35,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,27,28,0.87,0.21,1.44,0.21,1.64,0.11,-0.2,0.24,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,28,29,0.86,0.22,1.29,0.17,1.17,0.11,0.12,0.2,0,0,0,0
POND,1,NaN,7/16/2014,42.73796176,-70.84701132,29,30,0.85,0.21,0,0,0,0,0,0,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,0,1,1.2,0.1,12.85,0.58,1.16,0.13,11.69,0.59,0,0,2.35,0.73
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,1,2,1.19,0.18,8.03,0.37,1.01,0.1,7.01,0.38,0.22,0.08,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,2,3,1.18,0.16,4.06,0.26,0.94,0.08,3.12,0.27,0.15,0.04,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,3,4,1.17,0.2,3.36,0.22,1.21,0.08,2.16,0.23,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,4,5,1.16,0.22,1.61,0.18,1.2,0.11,0.41,0.21,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,5,6,1.15,0.21,1.97,0.23,1.65,0.1,0.33,0.25,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,6,7,1.14,0.18,2.04,0.24,1.2,0.11,0.84,0.26,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,7,8,1.13,0.16,1.26,0.23,1.21,0.12,0.05,0.26,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,8,9,1.12,0.19,1.29,0.21,1.38,0.1,-0.09,0.24,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,9,10,1.11,0.26,1.65,0.34,1.87,0.13,-0.21,0.37,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,10,11,1.1,0.27,2.32,0.23,1.48,0.1,0.84,0.25,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,11,12,1.09,0.41,1.92,0.2,1.79,0.08,0.13,0.21,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,12,13,1.08,0.34,1.94,0.26,1.74,0.1,0.2,0.28,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,13,14,1.07,0.5,1.9,0.21,1.96,0.08,-0.06,0.23,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,14,15,1.06,0.45,2.2,0.14,2.1,0.06,0.1,0.15,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,15,16,1.05,0.52,1.61,0.12,1.73,0.05,-0.12,0.13,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,16,17,1.04,0.5,1.97,0.14,1.98,0.05,-0.01,0.15,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,17,18,1.03,0.48,2.05,0.15,2,0.06,0.05,0.16,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,18,19,1.02,0.53,1.57,0.14,1.61,0.05,-0.04,0.15,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,19,20,1.01,0.38,1.66,0.19,1.48,0.08,0.18,0.21,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,20,21,1,0.27,2.34,0.22,1.74,0.09,0.61,0.24,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,21,22,0.99,0.52,2.01,0.2,1.69,0.06,0.32,0.21,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,22,23,0.98,0.31,1.95,0.22,1.86,0.1,0.09,0.24,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,23,24,0.97,0.45,1.73,0.19,1.84,0.08,-0.11,0.2,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,24,25,0.96,0.38,0,0,0,0,0,0,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,25,26,0.95,0.37,0,0,0,0,0,0,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,26,27,0.94,0.3,2.05,0.19,2.12,0.07,-0.07,0.2,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,27,28,0.93,0.45,1.77,0.15,1.83,0.06,-0.06,0.16,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,28,29,0.92,0.32,1.91,0.18,1.81,0.07,0.1,0.2,0,0,0,0
POND,2,NaN,7/16/2014,42.73743074,-70.84619211,29,30,0.91,0.37,0,0,0,0,0,0,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,0,1,1.17,0.22,11.53,0.37,1.4,0.1,10.13,0.38,0.17,0.05,1.29,0.39
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,1,2,1.16,0.23,8.3,0.31,0.46,0.06,7.84,0.32,0.21,0.05,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,2,3,1.15,0.16,4.66,0.32,1.03,0.11,3.62,0.34,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,3,4,1.14,0.21,4.62,0.38,0.87,0.12,3.75,0.4,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,4,5,1.13,0.13,3.77,0.39,1.14,0.14,2.63,0.41,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,5,6,1.12,0.15,2.76,0.36,1.23,0.12,1.54,0.38,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,6,7,1.11,0.17,2.81,0.23,1.06,0.1,1.76,0.25,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,7,8,1.1,0.14,3.45,0.26,0.44,0.06,3.01,0.27,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,8,9,1.09,0.2,2.94,0.26,1.05,0.1,1.89,0.28,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,9,10,1.08,0.16,2.25,0.26,1.26,0.1,0.99,0.28,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,10,11,1.07,0.24,2.14,0.26,0.66,0.07,1.48,0.26,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,11,12,1.06,0.21,2.1,0.22,1.12,0.08,0.98,0.24,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,12,13,1.05,0.25,2.04,0.22,1.23,0.09,0.8,0.24,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,13,14,1.04,0.27,2.06,0.27,1.37,0.18,0.68,0.32,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,14,15,1.03,0.36,1.81,0.2,1.6,0.08,0.21,0.21,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,15,16,1.02,0.36,0,0,0,0,0,0,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,16,17,1.01,0.26,1.88,0.16,1.64,0.09,0.24,0.18,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,17,18,1,0.34,1.42,0.17,1.31,0.07,0.11,0.19,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,18,19,0.99,0.24,1.65,0.18,1.66,0.09,-0.01,0.2,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,19,20,0.98,0.17,1.86,0.33,0.81,0.09,1.05,0.34,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,20,21,0.97,0.25,1.68,0.18,1.46,0.1,0.22,0.21,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,21,22,0.96,0.29,1.65,0.15,1.62,0.09,0.03,0.17,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,22,23,0.95,0.21,1.41,0.2,0.73,0.09,0.68,0.21,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,23,24,0.94,0.21,1.24,0.16,1.51,0.11,-0.28,0.19,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,24,25,0.93,0.24,2.14,0.28,1.28,0.11,0.86,0.3,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,25,26,0.92,0.27,1.63,0.18,1.51,0.09,0.12,0.2,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,26,27,0.91,0.2,1.79,0.15,1.64,0.1,0.15,0.18,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,27,28,0.9,0.18,1.36,0.19,1.51,0.09,-0.16,0.21,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,28,29,0.89,0.19,0,0,0,0,0,0,0,0,0,0
POND,3,NaN,7/16/2014,42.74133674,-70.83030015,29,30,0.88,0.27,0,0,0,0,0,0,0,0,0,0
