"[Abbreviations: ID, identification; g-water/g-wet, grams of water per grams of wet sediment; cm^3-voids/cm^3-wet, cubic centimeters of voids per cubic centimeter of wet sediment; g/cm^3, grams per cubic centimeter; g-OM/g-dry, grams of organic matter per gram of dry sediment]",,,,,,
Core ID,"Depth
 (cm)","Water 
Content 
(g-water/g-wet)",Porosity (cm^3-voids/cm^3-wet),"Dry Bulk 
Density 
(g/cm^3)","Loss On 
Ignition 
(g-OM/g-dry)",
16CCT07-GB308M,40-41,0.42,0.64,0.82,0.051,
16CCT07-GB308M,41-42,0.42,0.64,0.85,0.051,
16CCT07-GB308M,41-42a,,,,0.051,
16CCT07-GB308M,42-43,0.43,0.65,0.85,0.057,
16CCT07-GB308M,43-44,0.42,0.65,0.83,0.055,
16CCT07-GB308M,44-45,0.39,0.61,0.89,0.045,
16CCT07-GB308M,45-46,0.40,0.62,0.90,0.048,
16CCT07-GB308M,45-46a,,,,0.050,
16CCT07-GB308M,46-47,0.47,0.69,0.73,0.074,
16CCT07-GB308M,47-48,0.50,0.71,0.67,0.096,
16CCT07-GB308M,48-49,0.43,0.65,0.83,0.067,
16CCT07-GB308M,49-50,0.45,0.67,0.76,0.092,
16CCT07-GB308M,50-51,0.48,0.70,0.67,0.106,
a = replicate analysis,,,,,,
