study_id,site_id,core_id,latitude,longitude,year,habitat,country,admin_division
Donato et al 2011,DCD11 B2 Core 4,M1486,-2.8,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B2 Core 5,M1487,-2.8,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B2 Core 6,M1488,-2.8,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B3 Core 1,M1489,-2.8,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B3 Core 2,M1490,-2.8,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B3 Core 3,M1491,-2.8,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B3 Core 4,M1492,-2.8,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B3 Core 5,M1493,-2.8,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B3 Core 6,M1494,-2.8,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B4 Core 1,M1495,-2.9,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B4 Core 2,M1496,-2.9,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B4 Core 3,M1497,-2.9,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B4 Core 4,M1498,-2.9,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B4 Core 5,M1499,-2.9,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B4 Core 6,M1500,-2.9,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B5 Core 1,M1501,-2.7,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B5 Core 2,M1502,-2.7,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B5 Core 3,M1503,-2.7,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B5 Core 4,M1504,-2.7,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B5 Core 5,M1505,-2.7,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Donato et al 2011,DCD11 B5 Core 6,M1506,-2.7,111.7,2009,mangrove,Indonesia,Kalimantan Tengah
Nsombo et al 2016,ENN16 Tran2Well1,M0540,4.457111111111112,8.902583333333334,2014,mangrove,Cameroon,Cross River
Nam et al 2016,CG.1.13 Plot 1,M1590,10.4833,106.94244,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.1.13 Plot 2,M1591,10.483467,106.942305,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.1.13 Plot 3,M1592,10.483633,106.942149,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.1.13 Plot 4,M1593,10.483808,106.942027,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.1.13 Plot 5,M1594,10.483983,106.941889,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.1.13 Plot 6,M1595,10.484147,106.941746,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.1.14 Plot 1,M1596,10.43691,106.93222,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.1.14 Plot 2,M1597,10.436698,106.932185,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.1.14 Plot 3,M1598,10.436465,106.932159,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.1.14 Plot 4,M1599,10.436235,106.932136,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.1.14 Plot 5,M1600,10.43598,106.932127,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.1.14 Plot 6,M1601,10.435749,106.932101,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.2.13 Plot 1,M1602,10.44025,106.85522,2013,mangrove,Vietnam,Ho Chi Minh
Nam et al 2016,CG.2.13 Plot 2,M1603,10.440309,106.854987,2013,mangrove,Vietnam,Ho Chi Minh
Nam et al 2016,CG.2.13 Plot 3,M1604,10.440359,106.85477,2013,mangrove,Vietnam,Ho Chi Minh
Nam et al 2016,CG.2.13 Plot 4,M1605,10.44044,106.854549,2013,mangrove,Vietnam,Ho Chi Minh
Nam et al 2016,CG.2.13 Plot 5,M1606,10.440532,106.854346,2013,mangrove,Vietnam,Ho Chi Minh
Nam et al 2016,CG.2.13 Plot 6,M1607,10.440599,106.854126,2013,mangrove,Vietnam,Ho Chi Minh
Nam et al 2016,CG.2.14 Plot 1,M1608,10.532235,106.929324,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.2.14 Plot 2,M1609,10.532437,106.929391,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.2.14 Plot 3,M1610,10.532654,106.929425,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.2.14 Plot 4,M1611,10.532867,106.929471,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.2.14 Plot 5,M1612,10.533075,106.929515,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.2.14 Plot 6,M1613,10.53328,106.929588,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.3.13 Plot 1,M1614,10.50244,106.82172,2013,mangrove,Vietnam,Ho Chi Minh
Nam et al 2016,CG.3.13 Plot 2,M1615,10.502406,106.821957,2013,mangrove,Vietnam,Ho Chi Minh
Nam et al 2016,CG.3.13 Plot 3,M1616,10.502351,106.822206,2013,mangrove,Vietnam,Ho Chi Minh
Nam et al 2016,CG.3.13 Plot 4,M1617,10.502328,106.822433,2013,mangrove,Vietnam,Ho Chi Minh
Nam et al 2016,CG.3.13 Plot 5,M1618,10.502308,106.822654,2013,mangrove,Vietnam,Ho Chi Minh
Nam et al 2016,CG.3.13 Plot 6,M1619,10.502291,106.822872,2013,mangrove,Vietnam,Ho Chi Minh
Nam et al 2016,CG.3.14 Plot 1,M1620,10.52122,106.89813,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.3.14 Plot 2,M1621,10.521428,106.898161,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.3.14 Plot 3,M1622,10.521644,106.898196,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.3.14 Plot 4,M1623,10.521859,106.898217,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.3.14 Plot 5,M1624,10.522081,106.898239,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,CG.3.14 Plot 6,M1625,10.522298,106.898256,2013,mangrove,Vietnam,Dong Nai
Nam et al 2016,KV.1.18 Plot 1,M1626,8.64705,105.11574,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.18 Plot 2,M1627,8.647165,105.115549,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.18 Plot 3,M1628,8.647262,105.115347,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.18 Plot 4,M1629,8.64737,105.115167,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.18 Plot 5,M1630,8.647484,105.114976,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.18 Plot 6,M1631,8.647595,105.114797,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.19 Plot 1,M1632,8.64931,105.11043,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.19 Plot 2,M1633,8.649527,105.11045,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.19 Plot 3,M1634,8.649741,105.110462,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.19 Plot 4,M1635,8.649968,105.110475,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.19 Plot 5,M1636,8.650187,105.110509,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.19 Plot 6,M1637,8.650406,105.110528,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.20 Plot 1,M1638,8.63814,105.07847,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.20 Plot 2,M1639,8.638097,105.0787,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.20 Plot 3,M1640,8.638037,105.078924,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.20 Plot 4,M1641,8.637978,105.079145,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.20 Plot 5,M1642,8.637904,105.079365,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.1.20 Plot 6,M1643,8.637833,105.079576,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.18 Plot 1,M1644,8.64982,105.11601,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.18 Plot 2,M1645,8.650037,105.115958,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.18 Plot 3,M1646,8.650242,105.115893,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.18 Plot 4,M1647,8.65045,105.115826,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.18 Plot 5,M1648,8.65067,105.115765,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.18 Plot 6,M1649,8.650876,105.115695,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.19 Plot 1,M1650,8.6444,105.09716,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.19 Plot 2,M1651,8.644171,105.097168,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.19 Plot 3,M1652,8.643938,105.097172,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.19 Plot 4,M1653,8.6437,105.097181,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.19 Plot 5,M1654,8.643472,105.097191,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.19 Plot 6,M1655,8.643238,105.097198,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.20 Plot 1,M1656,8.64114,105.08813,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.20 Plot 2,M1657,8.641345,105.088185,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.20 Plot 3,M1658,8.641559,105.088243,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.20 Plot 4,M1659,8.641762,105.088294,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.20 Plot 5,M1660,8.641973,105.088343,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.2.20 Plot 6,M1661,8.642187,105.088378,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.18 Plot 1,M1662,8.65302,105.12052,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.18 Plot 2,M1663,8.653127,105.120322,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.18 Plot 3,M1664,8.653236,105.120141,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.18 Plot 4,M1665,8.653369,105.119961,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.18 Plot 5,M1666,8.653502,105.119798,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.18 Plot 6,M1667,8.653649,105.119635,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.19 Plot 1,M1668,8.63989,105.07353,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.19 Plot 2,M1669,8.640095,105.073532,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.19 Plot 3,M1670,8.640304,105.073549,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.19 Plot 4,M1671,8.640519,105.073562,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.19 Plot 5,M1672,8.64074,105.073562,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.19 Plot 6,M1673,8.640958,105.073551,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.20 Plot 1,M1674,8.6447,105.10495,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.20 Plot 2,M1675,8.644481,105.104865,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.20 Plot 3,M1676,8.644259,105.104822,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.20 Plot 4,M1677,8.644029,105.104785,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.20 Plot 5,M1678,8.64379,105.104773,2013,mangrove,Vietnam,Ca Mau
Nam et al 2016,KV.3.20 Plot 6,M1679,8.643554,105.104764,2013,mangrove,Vietnam,Ca Mau
Duncan et al 2016,ERMNAT1,M1743,10.794296,122.684414,2014,mangrove,Philippines,Iloilo
Duncan et al 2016,ERMNAT2,M1744,10.794248,122.684556,2014,mangrove,Philippines,Iloilo
Duncan et al 2016,ERMNAT3,M1745,10.794219,122.684816,2014,mangrove,Philippines,Iloilo
Duncan et al 2016,ERMNAT4,M1746,10.794139,122.685087,2014,mangrove,Philippines,Iloilo
Duncan et al 2016,ERMNAT5,M1747,10.79401,122.685537,2014,mangrove,Philippines,Iloilo
Duncan et al 2016,ERMNAT6,M1748,10.79393,122.685771,2014,mangrove,Philippines,Iloilo
Duncan et al 2016,ERMNAT7,M1749,10.793782,122.686257,2014,mangrove,Philippines,Iloilo
Duncan et al 2016,ERMNAT8,M1750,10.793571,122.686167,2014,mangrove,Philippines,Iloilo
Duncan et al 2016,BAKNAT1,M1751,11.71984,122.38720000000001,2015,mangrove,Philippines,Aklan
Duncan et al 2016,BAKNAT2,M1752,11.71921,122.386399999999,2015,mangrove,Philippines,Aklan
Duncan et al 2016,BAKNAT3,M1753,11.7185799999999,122.3877,2015,mangrove,Philippines,Aklan
Duncan et al 2016,BAKNAT4,M1754,11.71782,122.38705,2015,mangrove,Philippines,Aklan
Duncan et al 2016,BAKNAT5,M1755,11.71718,122.3877,2015,mangrove,Philippines,Aklan
Duncan et al 2016,BAKNAT6,M1756,11.71681,122.38858,2015,mangrove,Philippines,Aklan
Duncan et al 2016,BAKNAT7,M1757,11.7163,122.38728,2015,mangrove,Philippines,Aklan
Duncan et al 2016,BAKNAT8,M1758,11.7163,122.3889,2015,mangrove,Philippines,Aklan
Rovai et al 2022,SC1,S25L1MG1,-27.452245,-48.522762,2012,mangrove,Brazil,Santa Catarina
Rovai et al 2022,SC1,S25L1MG2,-27.452245,-48.522762,2012,mangrove,Brazil,Santa Catarina
Rovai et al 2022,SC1,S25L1MG3,-27.452245,-48.522762,2012,mangrove,Brazil,Santa Catarina
Rovai et al 2022,SC2,S25L2MG1,-26.183504,-48.623635,2012,mangrove,Brazil,Santa Catarina
Rovai et al 2022,SC2,S25L2MG2,-26.183504,-48.623635,2012,mangrove,Brazil,Santa Catarina
Rovai et al 2022,SC2,S25L2MG3,-26.183504,-48.623635,2012,mangrove,Brazil,Santa Catarina
Rovai et al 2022,SC3,S25L3MG1,-25.870301,-48.630632,2012,mangrove,Brazil,Paraná
Rovai et al 2022,SC3,S25L3MG2,-25.870301,-48.630632,2012,mangrove,Brazil,Paraná
Rovai et al 2022,SC3,S25L3MG3,-25.870301,-48.630632,2012,mangrove,Brazil,Paraná
Rovai et al 2022,BA1,S10L1MG1,-17.769699,-39.332558,2012,mangrove,Brazil,Bahia
Rovai et al 2022,BA1,S10L1MG2,-17.769699,-39.332558,2012,mangrove,Brazil,Bahia
Rovai et al 2022,BA1,S10L1MG3,-17.769699,-39.332558,2012,mangrove,Brazil,Bahia
Rovai et al 2022,BA2,S10L2MG1,-17.788452,-39.331621,2012,mangrove,Brazil,Bahia
Rovai et al 2022,BA2,S10L2MG2,-17.788452,-39.331621,2012,mangrove,Brazil,Bahia
Rovai et al 2022,BA2,S10L2MG3,-17.788452,-39.331621,2012,mangrove,Brazil,Bahia
Rovai et al 2022,BA3,S10L3MG1,-17.773427,-39.215733,2012,mangrove,Brazil,Bahia
Rovai et al 2022,BA3,S10L3MG2,-17.773427,-39.215733,2012,mangrove,Brazil,Bahia
Rovai et al 2022,BA3,S10L3MG3,-17.773427,-39.215733,2012,mangrove,Brazil,Bahia
Rovai et al 2022,PA1,S0L1MG1,-0.667411,-48.0314,2012,mangrove,Brazil,Pará
Rovai et al 2022,PA1,S0L1MG2,-0.667411,-48.0314,2012,mangrove,Brazil,Pará
Rovai et al 2022,PA1,S0L1MG3,-0.667411,-48.0314,2012,mangrove,Brazil,Pará
Rovai et al 2022,PA2,S0L2MG1,-0.637209,-47.561023,2012,mangrove,Brazil,Pará
Rovai et al 2022,PA2,S0L2MG2,-0.637209,-47.561023,2012,mangrove,Brazil,Pará
Rovai et al 2022,PA2,S0L2MG3,-0.637209,-47.561023,2012,mangrove,Brazil,Pará
Rovai et al 2022,PA3,S0L3MG1,-0.700967,-47.11727,2012,mangrove,Brazil,Pará
Rovai et al 2022,PA3,S0L3MG2,-0.700967,-47.11727,2012,mangrove,Brazil,Pará
Rovai et al 2022,PA3,S0L3MG3,-0.700967,-47.11727,2012,mangrove,Brazil,Pará
Rovai et al 2022,LG1,N10L1MG1,9.590426,-82.59787,2013,mangrove,Costa Rica,Limón
Rovai et al 2022,LG1,N10L1MG2,9.590426,-82.59787,2013,mangrove,Costa Rica,Limón
Rovai et al 2022,LG1,N10L1MG3,9.590426,-82.59787,2013,mangrove,Costa Rica,Limón
Rovai et al 2022,LG2,N10L2MG1,9.588138,-82.59752,2013,mangrove,Costa Rica,Limón
Rovai et al 2022,LG2,N10L2MG2,9.588138,-82.59752,2013,mangrove,Costa Rica,Limón
Rovai et al 2022,LG2,N10L2MG3,9.588138,-82.59752,2013,mangrove,Costa Rica,Limón
Rovai et al 2022,LG3,N10L3MG1,9.588788,-82.59588,2013,mangrove,Costa Rica,Limón
Rovai et al 2022,LG3,N10L3MG2,9.588788,-82.59588,2013,mangrove,Costa Rica,Limón
Rovai et al 2022,LG3,N10L3MG3,9.588788,-82.59588,2013,mangrove,Costa Rica,Limón
Rovai et al 2022,GN1,N11L1MG1,9.824509,-84.914033,2013,mangrove,Costa Rica,Puntarenas
Rovai et al 2022,GN1,N11L1MG2,9.824509,-84.914033,2013,mangrove,Costa Rica,Puntarenas
Rovai et al 2022,GN1,N11L1MG3,9.824509,-84.914033,2013,mangrove,Costa Rica,Puntarenas
Rovai et al 2022,GN2,N11L2MG1,9.826671,-84.917696,2013,mangrove,Costa Rica,Puntarenas
Rovai et al 2022,GN2,N11L2MG2,9.826671,-84.917696,2013,mangrove,Costa Rica,Puntarenas
Rovai et al 2022,GN2,N11L2MG3,9.826671,-84.917696,2013,mangrove,Costa Rica,Puntarenas
Rovai et al 2022,GN3,N11L3MG1,9.827158,-84.920191,2013,mangrove,Costa Rica,Puntarenas
Rovai et al 2022,GN3,N11L3MG2,9.827158,-84.920191,2013,mangrove,Costa Rica,Puntarenas
Rovai et al 2022,GN3,N11L3MG3,9.827158,-84.920191,2013,mangrove,Costa Rica,Puntarenas
Rovai et al 2022,GP1,S13L1MG1,-13.493223,-38.911237,2015,mangrove,Brazil,Bahia
Rovai et al 2022,GP1,S13L1MG2,-13.493223,-38.911237,2015,mangrove,Brazil,Bahia
Rovai et al 2022,GP1,S13L1MG3,-13.493223,-38.911237,2015,mangrove,Brazil,Bahia
Rovai et al 2022,GP2,S13L2MG1,-13.454386,-38.89258,2015,mangrove,Brazil,Bahia
Rovai et al 2022,GP2,S13L2MG2,-13.454386,-38.89258,2015,mangrove,Brazil,Bahia
Rovai et al 2022,GP2,S13L2MG3,-13.454386,-38.89258,2015,mangrove,Brazil,Bahia
Rovai et al 2022,GP3,S13L3MG1,-13.473796,-38.906864,2015,mangrove,Brazil,Bahia
Rovai et al 2022,GP3,S13L3MG2,-13.473796,-38.906864,2015,mangrove,Brazil,Bahia
Rovai et al 2022,GP3,S13L3MG3,-13.473796,-38.906864,2015,mangrove,Brazil,Bahia
Rovai et al 2022,SP1,S23L1MG1,-24.691084,-47.513154,2015,mangrove,Brazil,São Paulo
Rovai et al 2022,SP1,S23L1MG2,-24.691084,-47.513154,2015,mangrove,Brazil,São Paulo
Rovai et al 2022,SP1,S23L1MG3,-24.691084,-47.513154,2015,mangrove,Brazil,São Paulo
Rovai et al 2022,SP2,S23L2MG1,-25.018879,-47.917862,2015,mangrove,Brazil,São Paulo
Rovai et al 2022,SP2,S23L2MG2,-25.018879,-47.917862,2015,mangrove,Brazil,São Paulo
Rovai et al 2022,SP2,S23L2MG3,-25.018879,-47.917862,2015,mangrove,Brazil,São Paulo
Rovai et al 2022,SP3,S23L3MG1,-25.230937,-48.022265,2015,mangrove,Brazil,São Paulo
Rovai et al 2022,SP3,S23L3MG2,-25.230937,-48.022265,2015,mangrove,Brazil,São Paulo
Rovai et al 2022,SP3,S23L3MG3,-25.230937,-48.022265,2015,mangrove,Brazil,São Paulo
Adaime 1978,Cananéia / Pta. Arrozal,MC 18,-25.0367,-47.93,1974,marsh,Brazil,São Paulo
Adame et al 2013,Sian kaan Tular 1,Tul1S1,19.79358333,-87.5743,2011,marsh,Mexico,Quintana Roo
Adame et al 2013,Sian kaan Tular 1,Tul1S2,19.79363333,-87.57433333,2011,marsh,Mexico,Quintana Roo
Adame et al 2013,Sian kaan Tular 1,Tul1S3,19.79373333,-87.57438333,2011,marsh,Mexico,Quintana Roo
Adame et al 2013,Sian kaan Tular 1,Tul1S4,19.793816669999998,-87.57441667,2011,marsh,Mexico,Quintana Roo
Adame et al 2013,Sian kaan Tular 1,Tul1S5,19.79391667,-87.57445,2011,marsh,Mexico,Quintana Roo
Adame et al 2013,Sian kaan Tular 1,Tul1S6,19.794,-87.5745,2011,marsh,Mexico,Quintana Roo
Adame et al 2015,La Encrucijada,Encrucijada 1,15.03188056,-92.70791111,2012,marsh,Mexico,Chiapas
Adame et al 2015,La Encrucijada,Encrucijada 2,15.0323186,-92.70890655,2012,marsh,Mexico,Chiapas
Adame et al 2015,La Encrucijada,Encrucijada 3,15.03238417,-92.70855934,2012,marsh,Mexico,Chiapas
Adame et al 2015,La Encrucijada,Encrucijada 4,15.03238417,-92.70855934,2012,marsh,Mexico,Chiapas
Adame et al 2015,La Encrucijada,Encrucijada 5,15.03238417,-92.70855934,2012,marsh,Mexico,Chiapas
Adame et al 2015,La Encrucijada,Encrucijada 6,15.03263889,-92.70883056,2012,marsh,Mexico,Chiapas
Adame et al 2021,Arco,Arco 10m,30.4578789257437,-116.025855087149,2018,marsh,Mexico,Baja California
Adame et al 2021,Arco,Arco 30m,30.4577021252893,-116.025837227569,2018,marsh,Mexico,Baja California
Adame et al 2021,Arco,Arco 50m,30.4575242986184,-116.025812689808,2018,marsh,Mexico,Baja California
Adame et al 2021,Arco,Arco 70m,30.4573420866107,-116.025789898268,2018,marsh,Mexico,Baja California
Adame et al 2021,Arco,Arco 90m,30.4571622874464,-116.025769382576,2018,marsh,Mexico,Baja California
Adame et al 2021,Chapala,Chapala 10m,30.5133740346101,-115.982799611524,2018,marsh,Mexico,Baja California
Adame et al 2021,Chapala,Chapala 30m,30.5134371431058,-115.982996190987,2018,marsh,Mexico,Baja California
Adame et al 2021,Chapala,Chapala 50m,30.5135044541256,-115.983188326967,2018,marsh,Mexico,Baja California
Adame et al 2021,Chapala,Chapala 70m,30.5135684380306,-115.983386083945,2018,marsh,Mexico,Baja California
Adame et al 2021,Chapala,Chapala 90m,30.513634712485,-115.983579700134,2018,marsh,Mexico,Baja California
Adame et al 2021,Kenton,Kenton 10m,30.4653149710291,-115.98006346212,2018,marsh,Mexico,Baja California
Adame et al 2021,Kenton,Kenton 30m,30.465416832222,-115.980235827254,2018,marsh,Mexico,Baja California
Adame et al 2021,Kenton,Kenton 50m,30.4655152128799,-115.980405848819,2018,marsh,Mexico,Baja California
Adame et al 2021,Kenton,Kenton 70m,30.4656175841831,-115.980580505587,2018,marsh,Mexico,Baja California
Adame et al 2021,Kenton,Kenton 90m,30.4657176916862,-115.98075191678,2018,marsh,Mexico,Baja California
Azevedo 2015 unpublished,Patos Lagoon,MC 58,-32.0211,-52.1056,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 59,-32.0211,-52.1056,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 60,-32.0211,-52.1056,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 61,-32.0211,-52.1056,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 62,-32.0211,-52.1056,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 63,-32.0211,-52.1056,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 64,-32.0512,-52.0849,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 65,-32.0512,-52.0849,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 66,-32.0512,-52.0849,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 67,-32.0512,-52.0849,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 68,-32.0512,-52.0849,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 69,-32.0512,-52.0849,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 70,-32.0464,-52.1024,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 71,-32.0464,-52.1024,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 72,-32.0464,-52.1024,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 73,-32.0464,-52.1024,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 74,-32.0464,-52.1024,2012,marsh,Brazil,Rio Grande do Sul
Azevedo 2015 unpublished,Patos Lagoon,MC 75,-32.0464,-52.1024,2012,marsh,Brazil,Rio Grande do Sul
Copertino unpublished,Patos Lagoon,MC 55,-32.019,-52.1002,2005,marsh,Brazil,Rio Grande do Sul
Copertino unpublished,Patos Lagoon,MC 56,-32.004,-52.1944,2005,marsh,Brazil,Rio Grande do Sul
Copertino unpublished,Patos Lagoon,MC 57,-32.023,-52.2376,2005,marsh,Brazil,Rio Grande do Sul
Cuellar-Martinez et al 2019,Ensenada,SQM1,30.45444,-116.0242,2018,marsh,Mexico,Baja California
Cuellar-Martinez et al 2019,Ensenada,SQM2,30.43611,-116.0161,2018,marsh,Mexico,Baja California
Cuellar-Martinez et al 2020,Laguna de Terminos,LTME1,18.79306,-91.46389,2018,marsh,Mexico,Campeche
Cuellar-Martinez et al 2020,Laguna de Terminos,LTME2,18.80611,-91.4575,2018,marsh,Mexico,Campeche
Kauffman et al 2020 Brazil,Marisma High,JBK Marisma High 1,-1.162222,-46.84444,2017,marsh,Brazil,Pará
Kauffman et al 2020 Brazil,Marisma High,JBK Marisma High 2,-1.161111,-46.8425,2017,marsh,Brazil,Pará
Kauffman et al 2020 Brazil,Marisma High,JBK Marisma High 3,-1.16,-46.83917,2017,marsh,Brazil,Pará
