"ID","TREEID","COMPID","BIOMASS","EQID","C_CONT","C_CONCID","NOTES"
44681,22153,7,0.87,5,0.34,6,
44682,22154,1,20.72,41,10.36,8,
44683,22154,7,0.87,5,0.34,6,
44684,22155,1,12.07,41,6.03,8,
44685,22155,7,0.48,5,0.19,6,
44686,22156,1,12.07,41,6.03,8,
44687,22156,7,0.48,5,0.19,6,
44688,22157,1,12.07,41,6.03,8,
44689,22157,7,0.48,5,0.19,6,
44690,22158,1,23.32,41,11.66,8,
44691,22158,7,0.99,5,0.38,6,
44692,22159,1,20.72,41,10.36,8,
44693,22159,7,0.87,5,0.34,6,
44694,22160,1,16.05,41,8.03,8,
44695,22160,7,0.66,5,0.25,6,
44696,22161,1,16.05,41,8.03,8,
44697,22161,7,0.66,5,0.25,6,
44698,22162,1,20.72,41,10.36,8,
44699,22162,7,0.87,5,0.34,6,
44700,22163,1,20.72,41,10.36,8,
44701,22163,7,0.87,5,0.34,6,
44702,22164,1,20.72,41,10.36,8,
44703,22164,7,0.87,5,0.34,6,
44704,22165,1,20.72,41,10.36,8,
44705,22165,7,0.87,5,0.34,6,
44706,22166,1,16.05,41,8.03,8,
44707,22166,7,0.66,5,0.25,6,
44708,22167,1,20.72,41,10.36,8,
44709,22167,7,0.87,5,0.34,6,
44710,22168,1,20.72,41,10.36,8,
44711,22168,7,0.87,5,0.34,6,
44712,22169,1,20.72,41,10.36,8,
44713,22169,7,0.87,5,0.34,6,
44714,22170,1,20.72,41,10.36,8,
44715,22170,7,0.87,5,0.34,6,
44716,22171,1,18.30,41,9.15,8,
44717,22171,7,0.76,5,0.29,6,
44718,22172,1,20.72,41,10.36,8,
44719,22172,7,0.87,5,0.34,6,
44720,22173,1,18.30,41,9.15,8,
44721,22173,7,0.76,5,0.29,6,
44722,22174,1,32.21,41,16.10,8,
44723,22174,7,1.40,5,0.54,6,
44724,22175,1,16.05,41,8.03,8,
44725,22175,7,0.66,5,0.25,6,
44726,22176,1,16.05,41,8.03,8,
44727,22176,7,0.66,5,0.25,6,
44728,22177,1,16.05,41,8.03,8,
44729,22177,7,0.66,5,0.25,6,
44730,22178,1,20.72,41,10.36,8,
44731,22178,7,0.87,5,0.34,6,
44732,22179,1,20.72,41,10.36,8,
44733,22179,7,0.87,5,0.34,6,
44734,22180,1,13.98,41,6.99,8,
44735,22180,7,0.57,5,0.22,6,
44736,22181,1,16.05,41,8.03,8,
44737,22181,7,0.66,5,0.25,6,
44738,22182,1,35.56,41,17.78,8,
44739,22182,7,1.56,5,0.61,6,
44740,22183,1,7.92,36,3.96,8,
44741,22183,7,5.42,20,2.11,6,
44742,22184,1,28.57,23,14.28,8,
44743,22184,7,14.28,20,5.57,6,
44744,22185,1,20.72,41,10.36,8,
44745,22185,7,0.87,5,0.34,6,
44746,22186,1,20.72,41,10.36,8,
44747,22186,7,0.87,5,0.34,6,
44748,22187,1,20.72,41,10.36,8,
44749,22187,7,0.87,5,0.34,6,
44750,22188,1,20.72,41,10.36,8,
44751,22188,7,0.87,5,0.34,6,
44752,22189,1,20.72,41,10.36,8,
44753,22189,7,0.87,5,0.34,6,
44754,22190,1,20.72,41,10.36,8,
44755,22190,7,0.87,5,0.34,6,
44756,22191,1,20.72,41,10.36,8,
44757,22191,7,0.87,5,0.34,6,
44758,22192,1,20.72,41,10.36,8,
44759,22192,7,0.87,5,0.34,6,
44760,22193,1,28.57,23,14.28,8,
44761,22193,7,14.28,20,5.57,6,
44762,22194,1,26.09,41,13.05,8,
44763,22194,7,1.12,5,0.43,6,
44764,22195,1,26.09,41,13.05,8,
44765,22195,7,1.12,5,0.43,6,
44766,22196,1,26.09,41,13.05,8,
44767,22196,7,1.12,5,0.43,6,
44768,22197,1,26.09,41,13.05,8,
44769,22197,7,1.12,5,0.43,6,
44770,22198,1,26.09,41,13.05,8,
44771,22198,7,1.12,5,0.43,6,
44772,22199,1,25.61,23,12.80,8,
44773,22199,7,12.93,20,5.04,6,
44774,22200,1,29.06,41,14.53,8,
44775,22200,7,1.26,5,0.49,6,
44776,22201,1,29.06,41,14.53,8,
44777,22201,7,1.26,5,0.49,6,
44778,22202,1,20.72,41,10.36,8,
44779,22202,7,0.87,5,0.34,6,
44780,22203,3,111.46,11,55.73,8,
44781,22203,7,475.60,20,185.48,6,
44782,22204,1,35.56,41,17.78,8,
44783,22204,7,1.56,5,0.61,6,
44784,22205,1,35.56,41,17.78,8,
44785,22205,7,1.56,5,0.61,6,
44786,22206,1,35.56,41,17.78,8,
44787,22206,7,1.56,5,0.61,6,
44788,22207,1,35.56,41,17.78,8,
44789,22207,7,1.56,5,0.61,6,
44790,22208,1,35.56,41,17.78,8,
44791,22208,7,1.56,5,0.61,6,
44792,22209,1,35.56,41,17.78,8,
44793,22209,7,1.56,5,0.61,6,
44794,22210,1,55.28,41,27.64,8,
44795,22210,7,2.52,5,0.98,6,
44796,22211,1,26.48,36,13.24,8,
44797,22211,7,17.34,20,6.76,6,
44798,22212,1,22.17,36,11.08,8,
44799,22212,7,14.61,20,5.70,6,
44800,22213,1,541.90,36,270.95,8,
44801,22213,7,317.29,20,123.74,6,
44802,22214,1,429.63,41,214.81,8,
44803,22214,7,23.01,5,8.97,6,
44804,22215,1,368.01,23,184.01,8,
44805,22215,7,143.34,20,55.90,6,
44806,22216,1,368.01,23,184.01,8,
44807,22216,7,143.34,20,55.90,6,
44808,22217,3,27.86,11,13.93,8,
44809,22217,7,102.08,20,39.81,6,
44810,22218,1,158.55,36,79.27,8,"Decay reduction factor applied (0.95)."
44811,22218,7,102.08,20,39.81,6,
44812,22219,1,35.56,41,17.78,8,
44813,22219,7,1.56,5,0.61,6,
44814,22220,1,12.07,41,6.03,8,
44815,22220,7,0.48,5,0.19,6,
44816,22221,1,12.07,41,6.03,8,
44817,22221,7,0.48,5,0.19,6,
44818,22222,1,166.89,36,83.44,8,
44819,22222,7,102.08,20,39.81,6,
44820,22223,1,80.28,41,40.14,8,
44821,22223,7,3.77,5,1.47,6,
44822,22224,1,31.22,36,15.61,8,
44823,22224,7,20.32,20,7.92,6,
44824,22225,1,18.30,41,9.15,8,
44825,22225,7,0.76,5,0.29,6,
44826,22226,1,91.83,41,45.91,8,
44827,22226,7,4.35,5,1.70,6,
44828,22227,1,26.48,36,13.24,8,
44829,22227,7,17.34,20,6.76,6,
44830,22228,3,19.35,11,9.67,8,
44831,22228,7,68.10,20,26.56,6,
44832,22229,1,111.47,23,55.73,8,
44833,22229,7,48.78,20,19.02,6,
44834,22230,1,80.28,41,40.14,8,
44835,22230,7,3.77,5,1.47,6,
44836,22231,1,109.62,36,54.81,8,
44837,22231,7,68.10,20,26.56,6,
44838,22232,1,80.28,41,40.14,8,
44839,22232,7,3.77,5,1.47,6,
44840,22233,1,74.73,23,37.36,8,
44841,22233,7,34.01,20,13.26,6,
44842,22234,1,55.28,41,27.64,8,
44843,22234,7,2.52,5,0.98,6,
44844,22235,1,42.84,41,21.42,8,
44845,22235,7,1.91,5,0.74,6,
44846,22236,1,28.79,36,14.39,8,
44847,22236,7,18.80,20,7.33,6,
44848,22237,1,91.83,41,45.91,8,
44849,22237,7,4.35,5,1.70,6,
44850,22238,1,110.90,41,55.45,8,
44851,22238,7,5.34,5,2.08,6,
44852,22239,1,255.06,23,127.53,8,
44853,22239,7,102.96,20,40.15,6,
44854,22240,1,55.28,41,27.64,8,
44855,22240,7,2.52,5,0.98,6,
44856,22241,1,59.54,23,29.77,8,
44857,22241,7,27.70,20,10.80,6,
44858,22242,1,69.62,41,34.81,8,
44859,22242,7,3.23,5,1.26,6,
44860,22243,1,19.55,42,9.77,8,
44861,22243,7,13.25,20,5.16,6,
44862,22244,1,13.25,36,6.62,8,
44863,22244,7,8.90,20,3.47,6,
44864,22245,1,69.62,41,34.81,8,
44865,22245,7,3.23,5,1.26,6,
44866,22246,1,15.89,42,7.94,8,
44867,22246,7,11.09,20,4.32,6,
44868,22247,1,36.24,42,18.12,8,
44869,22247,7,22.50,20,8.77,6,
44870,22248,1,39.15,42,19.57,8,
44871,22248,7,24.04,20,9.37,6,
44872,22249,1,180.00,36,90.00,8,
44873,22249,7,109.79,20,42.81,6,
44874,22250,1,28.31,42,14.15,8,
44875,22250,7,18.21,20,7.10,6,
44876,22251,1,7.92,36,3.96,8,
44877,22251,7,5.42,20,2.11,6,
44878,22252,1,97.95,41,48.97,8,
44879,22252,7,4.67,5,1.82,6,
44880,22253,1,73.33,36,36.66,8,
44881,22253,7,46.24,20,18.03,6,
44882,22254,1,67.65,42,33.82,8,
44883,22254,7,38.43,20,14.99,6,
44884,22255,1,147.48,41,73.74,8,
44885,22255,7,7.26,5,2.83,6,
44886,22256,1,99.77,36,49.88,8,
44887,22256,7,62.20,20,24.26,6,
44888,22257,1,109.62,36,54.81,8,
44889,22257,7,68.10,20,26.56,6,
44890,22258,1,20.18,36,10.09,8,
44891,22258,7,13.35,20,5.20,6,
44892,22259,1,32.21,41,16.10,8,
44893,22259,7,1.40,5,0.54,6,
44894,22260,1,20.18,36,10.09,8,
44895,22260,7,13.35,20,5.20,6,
44896,22261,1,10.39,36,5.19,8,
44897,22261,7,7.05,20,2.75,6,
44898,22262,1,272.99,42,136.50,8,
44899,22262,7,127.18,20,49.60,6,
44900,22263,1,20.18,36,10.09,8,
44901,22263,7,13.35,20,5.20,6,
44902,22264,1,45.39,42,22.69,8,
44903,22264,7,27.29,20,10.64,6,
44904,22265,1,51.40,36,25.70,8,
44905,22265,7,32.84,20,12.80,6,
44906,22266,1,320.29,41,160.14,8,
44907,22266,7,16.76,5,6.53,6,
44908,22267,1,342.94,36,171.47,8,
44909,22267,7,204.23,20,79.65,6,
44910,22268,1,10.39,36,5.19,8,
44911,22268,7,7.05,20,2.75,6,
44912,22269,1,7.54,42,3.77,8,
44913,22269,7,5.85,20,2.28,6,
44914,22270,1,13.25,36,6.62,8,
44915,22270,7,8.90,20,3.47,6,
44916,22271,1,13.25,36,6.62,8,
44917,22271,7,8.90,20,3.47,6,
44918,22272,1,13.25,36,6.62,8,
44919,22272,7,8.90,20,3.47,6,
44920,22273,1,111.82,42,55.91,8,
44921,22273,7,59.15,20,23.06,6,
44922,22274,1,13.25,36,6.62,8,
44923,22274,7,8.90,20,3.47,6,
44924,22275,1,20.18,36,10.09,8,
44925,22275,7,13.35,20,5.20,6,
44926,22276,1,12.68,42,6.34,8,
44927,22276,7,9.14,20,3.56,6,
44928,22277,1,16.51,36,8.25,8,
44929,22277,7,11.00,20,4.29,6,
44930,22278,1,13.25,36,6.62,8,
44931,22278,7,8.90,20,3.47,6,
44932,22279,1,13.25,36,6.62,8,
44933,22279,7,8.90,20,3.47,6,
44934,22280,1,13.25,36,6.62,8,
44935,22280,7,8.90,20,3.47,6,
44936,22281,1,13.25,36,6.62,8,
44937,22281,7,8.90,20,3.47,6,
44938,22282,1,37.11,41,18.56,8,
44939,22282,7,1.64,5,0.64,6,
44940,22283,1,32.83,41,16.41,8,
44941,22283,7,1.43,5,0.56,6,
44942,22284,1,44.12,41,22.06,8,
44943,22284,7,1.97,5,0.77,6,
44944,22285,1,47.90,41,23.95,8,
44945,22285,7,2.16,5,0.84,6,
44946,22286,1,50.51,41,25.25,8,
44947,22286,7,2.28,5,0.89,6,
44948,22287,1,53.21,41,26.60,8,
44949,22287,7,2.41,5,0.94,6,
44950,22288,1,53.21,41,26.60,8,
44951,22288,7,2.41,5,0.94,6,
44952,22289,1,55.62,23,27.81,8,"Decay reduction factor applied (0.95)."
44953,22289,7,27.28,20,10.64,6,
44954,22290,1,145.99,23,72.99,8,
44955,22290,7,62.27,20,24.28,6,
44956,22291,1,26.07,41,13.03,8,
44957,22291,7,1.12,5,0.43,6,
44958,22292,1,514.04,23,257.02,8,"Decay reduction factor applied (0.95)."
44959,22292,7,202.98,20,79.16,6,
44960,22293,1,55.99,41,27.99,8,
44961,22293,7,2.55,5,0.99,6,
44962,22294,1,34.94,41,17.47,8,
44963,22294,7,1.53,5,0.59,6,
44964,22295,1,21.79,41,10.89,8,
44965,22295,7,0.92,5,0.36,6,
44966,22296,1,33.87,41,16.94,8,
44967,22296,7,1.48,5,0.58,6,
44968,22297,1,12.11,41,6.05,8,
44969,22297,7,0.49,5,0.19,6,
44970,22298,1,32.83,41,16.41,8,
44971,22298,7,1.43,5,0.56,6,
44972,22299,1,30.81,41,15.40,8,
44973,22299,7,1.34,5,0.52,6,
44974,22300,1,30.81,41,15.40,8,
44975,22300,7,1.34,5,0.52,6,
44976,22301,1,29.82,41,14.91,8,
44977,22301,7,1.29,5,0.50,6,
44978,22302,1,28.86,41,14.43,8,
44979,22302,7,1.25,5,0.48,6,
44980,22303,1,26.98,41,13.49,8,
44981,22303,7,1.16,5,0.45,6,
44982,22304,1,37.00,23,18.50,8,
44983,22304,7,18.04,20,7.03,6,
44984,22305,1,23.45,41,11.72,8,
44985,22305,7,1.00,5,0.39,6,
44986,22306,1,28.86,41,14.43,8,
44987,22306,7,1.25,5,0.48,6,
44988,22307,1,22.61,41,11.30,8,
44989,22307,7,0.96,5,0.37,6,
44990,22308,1,1408.38,42,704.19,8,
44991,22308,7,546.10,20,212.98,6,
44992,22309,1,18.06,23,9.03,8,
44993,22309,7,9.44,20,3.68,6,
44994,22310,1,21.79,41,10.89,8,
44995,22310,7,0.92,5,0.36,6,
44996,22311,1,19.62,23,9.81,8,
44997,22311,7,10.18,20,3.97,6,
44998,22312,1,19.67,40,9.83,8,
44999,22312,7,,1001,,6,
45000,22313,1,24.30,41,12.15,8,
45001,22313,7,1.03,5,0.40,6,
45002,22314,1,24.30,41,12.15,8,
45003,22314,7,1.03,5,0.40,6,
45004,22315,1,20.99,41,10.49,8,
45005,22315,7,0.88,5,0.34,6,
45006,22316,1,12.70,41,6.35,8,
45007,22316,7,0.51,5,0.20,6,
45008,22317,1,24.30,41,12.15,8,
45009,22317,7,1.03,5,0.40,6,
45010,22318,1,18.51,40,9.25,8,
45011,22318,7,,1001,,6,
45012,22319,1,20.20,41,10.10,8,
45013,22319,7,0.85,5,0.33,6,
45014,22320,1,10.43,23,5.21,8,
45015,22320,7,5.75,20,2.24,6,
45016,22321,1,26.07,41,13.03,8,
45017,22321,7,1.12,5,0.43,6,
45018,22322,1,20.20,41,10.10,8,
45019,22322,7,0.85,5,0.33,6,
45020,22323,1,36.02,41,18.01,8,
45021,22323,7,1.58,5,0.61,6,
45022,22324,1,13.91,41,6.95,8,
45023,22324,7,0.56,5,0.22,6,
45024,22325,1,33.87,41,16.94,8,
45025,22325,7,1.48,5,0.58,6,
45026,22326,1,13.29,41,6.65,8,
45027,22326,7,0.54,5,0.21,6,
45028,22327,1,17.95,41,8.97,8,
45029,22327,7,0.75,5,0.29,6,
45030,22328,1,11.97,23,5.98,8,
45031,22328,7,6.51,20,2.54,6,
45032,22329,1,15.85,41,7.93,8,
45033,22329,7,0.65,5,0.25,6,
45034,22330,1,16.54,41,8.27,8,
45035,22330,7,0.68,5,0.26,6,
45036,22331,1,26.07,41,13.03,8,
45037,22331,7,1.12,5,0.43,6,
45038,22332,1,18.22,40,9.11,8,
45039,22332,7,,1001,,6,
45040,22333,1,41.71,41,20.85,8,
45041,22333,7,1.86,5,0.72,6,
45042,22334,1,41.71,41,20.85,8,
45043,22334,7,1.86,5,0.72,6,
45044,22335,1,69.55,41,34.77,8,
45045,22335,7,3.23,5,1.26,6,
45046,22336,1,36.02,41,18.01,8,
45047,22336,7,1.58,5,0.61,6,
45048,22337,1,26.98,41,13.49,8,
45049,22337,7,1.16,5,0.45,6,
45050,22338,1,26.07,41,13.03,8,
45051,22338,7,1.12,5,0.43,6,
45052,22339,1,45.36,41,22.68,8,
45053,22339,7,2.03,5,0.79,6,
45054,22340,1,14.54,41,7.27,8,
45055,22340,7,0.59,5,0.23,6,
45056,22341,1,27.91,41,13.95,8,
45057,22341,7,1.20,5,0.47,6,
45058,22342,1,36.02,41,18.01,8,
45059,22342,7,1.58,5,0.61,6,
45060,22343,1,50.51,41,25.25,8,
45061,22343,7,2.28,5,0.89,6,
45062,22344,1,55.99,41,27.99,8,
45063,22344,7,2.55,5,0.99,6,
45064,22345,1,53.41,23,26.70,8,
45065,22345,7,25.13,20,9.80,6,
45066,22346,1,64.84,41,32.42,8,
45067,22346,7,2.99,5,1.16,6,
45068,22347,1,33.87,41,16.94,8,
45069,22347,7,1.48,5,0.58,6,
45070,22348,1,15.04,40,7.52,8,
45071,22348,7,,1001,,6,
45072,22349,1,14.54,41,7.27,8,
45073,22349,7,0.59,5,0.23,6,
45074,22350,1,30.81,41,15.40,8,
45075,22350,7,1.34,5,0.52,6,
45076,22351,1,17.24,41,8.62,8,
45077,22351,7,0.71,5,0.28,6,
45078,22352,1,26.07,41,13.03,8,
45079,22352,7,1.12,5,0.43,6,
45080,22353,1,1245.77,42,622.88,8,
45081,22353,7,491.55,20,191.70,6,
45082,22354,1,939.60,23,469.80,8,
45083,22354,7,334.19,20,130.33,6,
45084,22355,1,237.00,42,118.50,8,
45085,22355,7,118.42,20,46.18,6,
45086,22356,1,21.79,41,10.89,8,
45087,22356,7,0.92,5,0.36,6,
45088,22357,1,15.19,41,7.59,8,
45089,22357,7,0.62,5,0.24,6,
45090,22358,1,21.79,41,10.89,8,
45091,22358,7,0.92,5,0.36,6,
45092,22359,1,33.87,41,16.94,8,
45093,22359,7,1.48,5,0.58,6,
45094,22360,1,25.18,41,12.59,8,
45095,22360,7,1.08,5,0.42,6,
45096,22361,1,20.20,41,10.10,8,
45097,22361,7,0.85,5,0.33,6,
45098,22362,1,26.07,41,13.03,8,
45099,22362,7,1.12,5,0.43,6,
45100,22363,1,13.29,41,6.65,8,
45101,22363,7,0.54,5,0.21,6,
45102,22364,1,19.43,41,9.71,8,
45103,22364,7,0.81,5,0.31,6,
45104,22365,1,72.80,41,36.40,8,
45105,22365,7,3.39,5,1.32,6,
45106,22366,1,29.18,23,14.59,8,
45107,22366,7,14.56,20,5.68,6,
45108,22367,1,26.07,41,13.03,8,
45109,22367,7,1.12,5,0.43,6,
45110,22368,1,16.54,41,8.27,8,
45111,22368,7,0.68,5,0.26,6,
45112,22369,1,38.23,41,19.11,8,
45113,22369,7,1.69,5,0.66,6,
45114,22370,1,19.43,41,9.71,8,
45115,22370,7,0.81,5,0.31,6,
45116,22371,1,21.79,41,10.89,8,
45117,22371,7,0.92,5,0.36,6,
45118,22372,1,10.67,38,5.33,8,
45119,22372,7,7.23,20,2.82,6,
45120,22373,1,18.37,23,9.19,8,"Decay reduction factor applied (0.8)."
45121,22373,7,11.73,20,4.57,6,
45122,22374,1,20.99,41,10.49,8,
45123,22374,7,0.88,5,0.34,6,
45124,22375,1,20.20,41,10.10,8,
45125,22375,7,0.85,5,0.33,6,
45126,22376,1,18.68,41,9.34,8,
45127,22376,7,0.78,5,0.30,6,
45128,22377,1,15.19,41,7.59,8,
45129,22377,7,0.62,5,0.24,6,
45130,22378,1,15.19,41,7.59,8,
45131,22378,7,0.62,5,0.24,6,
45132,22379,1,12.70,41,6.35,8,
45133,22379,7,0.51,5,0.20,6,
45134,22380,1,21.50,38,10.75,8,
45135,22380,7,14.68,20,5.72,6,
45136,22381,1,11.00,38,5.50,8,
45137,22381,7,7.46,20,2.91,6,
45138,22382,1,94.39,38,47.20,8,
45139,22382,7,65.36,20,25.49,6,
45140,22383,1,4.78,38,2.39,8,
45141,22383,7,3.22,20,1.25,6,
45142,22384,1,56.00,38,28.00,8,
45143,22384,7,38.58,20,15.04,6,
45144,22385,1,53.21,41,26.60,8,
45145,22385,7,2.41,5,0.94,6,
45146,22386,1,34.94,41,17.47,8,
45147,22386,7,1.53,5,0.59,6,
45148,22387,1,57.41,41,28.71,8,
45149,22387,7,2.62,5,1.02,6,
45150,22388,1,45.34,38,22.67,8,
45151,22388,7,31.18,20,12.16,6,
45152,22389,1,104.10,23,52.05,8,
45153,22389,7,45.89,20,17.89,6,
45154,22390,1,30.46,38,15.23,8,
45155,22390,7,20.87,20,8.13,6,
45156,22391,1,77.84,41,38.92,8,
45157,22391,7,3.64,5,1.42,6,
45158,22392,1,69.55,41,34.77,8,
45159,22392,7,3.23,5,1.26,6,
45160,22393,1,66.39,41,33.19,8,
45161,22393,7,3.07,5,1.19,6,
45162,22394,1,21.50,38,10.75,8,
45163,22394,7,14.68,20,5.72,6,
45164,22395,1,41.71,41,20.85,8,
45165,22395,7,1.86,5,0.72,6,
45166,22396,1,28.75,38,14.37,8,
45167,22396,7,19.69,20,7.67,6,
45168,22397,1,245.89,40,122.94,8,
45169,22397,7,,1001,,6,
45170,22398,1,228.53,40,114.27,8,
45171,22398,7,,1001,,6,
45172,22399,1,214.07,40,107.03,8,
45173,22399,7,,1001,,6,
45174,22400,1,1146.56,42,573.28,8,
45175,22400,7,457.78,20,178.53,6,
45176,22401,1,6.63,38,3.31,8,
45177,22401,7,4.47,20,1.74,6,
45178,22402,1,51.28,38,25.64,8,
45179,22402,7,35.30,20,13.77,6,
45180,22403,1,88.47,23,44.23,8,
45181,22403,7,39.62,20,15.45,6,
45182,22404,1,4.78,38,2.39,8,
45183,22404,7,3.22,20,1.25,6,
45184,22405,1,9.71,38,4.86,8,
45185,22405,7,6.58,20,2.56,6,
45186,22406,1,49.59,23,24.79,8,
45187,22406,7,23.50,20,9.16,6,
45188,22407,1,37.82,38,18.91,8,
45189,22407,7,25.96,20,10.12,6,
45190,22408,1,274.10,38,137.05,8,
45191,22408,7,191.72,20,74.77,6,
45192,22409,1,10.93,23,5.46,8,
45193,22409,7,6.00,20,2.34,6,
45194,22410,1,11.33,38,5.66,8,
45195,22410,7,7.69,20,3.00,6,
45196,22411,1,11.67,38,5.83,8,
45197,22411,7,7.92,20,3.09,6,
45198,22412,1,14.20,38,7.10,8,
45199,22412,7,9.66,20,3.76,6,
45200,22413,1,14.98,38,7.49,8,
45201,22413,7,10.19,20,3.97,6,
45202,22414,1,,1000,,8,
45203,22414,7,,1001,,6,
45204,22415,1,64.84,41,32.42,8,
45205,22415,7,2.99,5,1.16,6,
45206,22416,1,39.37,41,19.68,8,
45207,22416,7,1.74,5,0.68,6,
45208,22417,1,37.11,41,18.56,8,
45209,22417,7,1.64,5,0.64,6,
45210,22418,1,38.23,41,19.11,8,
45211,22418,7,1.69,5,0.66,6,
45212,22419,1,39.37,41,19.68,8,
45213,22419,7,1.74,5,0.68,6,
45214,22420,1,37.11,41,18.56,8,
45215,22420,7,1.64,5,0.64,6,
45216,22421,1,40.53,41,20.26,8,
45217,22421,7,1.80,5,0.70,6,
45218,22422,1,49.19,41,24.59,8,
45219,22422,7,2.22,5,0.86,6,
45220,22423,1,30.81,41,15.40,8,
45221,22423,7,1.34,5,0.52,6,
45222,22424,1,64.84,41,32.42,8,
45223,22424,7,2.99,5,1.16,6,
45224,22425,3,4.87,11,2.43,8,
45225,22425,7,1.25,5,0.48,6,
45226,22426,1,27.91,41,13.95,8,
45227,22426,7,1.20,5,0.47,6,
45228,22427,1,41.71,41,20.85,8,
45229,22427,7,1.86,5,0.72,6,
45230,22428,1,60.32,41,30.16,8,
45231,22428,7,2.77,5,1.08,6,
45232,22429,1,28.86,41,14.43,8,
45233,22429,7,1.25,5,0.48,6,
45234,22430,1,49.19,41,24.59,8,
45235,22430,7,2.22,5,0.86,6,
45236,22431,1,36.02,41,18.01,8,
45237,22431,7,1.58,5,0.61,6,
45238,22432,1,28.86,41,14.43,8,
45239,22432,7,1.25,5,0.48,6,
45240,22433,1,30.81,41,15.40,8,
45241,22433,7,1.34,5,0.52,6,
45242,22434,1,31.81,41,15.90,8,
45243,22434,7,1.38,5,0.54,6,
45244,22435,1,32.83,41,16.41,8,
45245,22435,7,1.43,5,0.56,6,
45246,22436,1,33.87,41,16.94,8,
45247,22436,7,1.48,5,0.58,6,
45248,22437,1,33.87,41,16.94,8,
45249,22437,7,1.48,5,0.58,6,
45250,22438,1,34.94,41,17.47,8,
45251,22438,7,1.53,5,0.59,6,
45252,22439,1,36.02,41,18.01,8,
45253,22439,7,1.58,5,0.61,6,
45254,22440,1,36.02,41,18.01,8,
45255,22440,7,1.58,5,0.61,6,
45256,22441,1,17.95,41,8.97,8,
45257,22441,7,0.75,5,0.29,6,
45258,22442,1,16.54,41,8.27,8,
45259,22442,7,0.68,5,0.26,6,
45260,22443,1,29.82,41,14.91,8,
45261,22443,7,1.29,5,0.50,6,
45262,22444,1,20.99,41,10.49,8,
45263,22444,7,0.88,5,0.34,6,
45264,22445,1,81.31,41,40.65,8,
45265,22445,7,3.82,5,1.49,6,
45266,22446,1,11.55,41,5.77,8,
45267,22446,7,0.46,5,0.18,6,
45268,22447,1,17.24,41,8.62,8,
45269,22447,7,0.71,5,0.28,6,
45270,22448,1,26.98,41,13.49,8,
45271,22448,7,1.16,5,0.45,6,
45272,22449,1,26.98,41,13.49,8,
45273,22449,7,1.16,5,0.45,6,
45274,22450,1,26.07,41,13.03,8,
45275,22450,7,1.12,5,0.43,6,
45276,22451,1,26.07,41,13.03,8,
45277,22451,7,1.12,5,0.43,6,
45278,22452,1,24.30,41,12.15,8,
45279,22452,7,1.03,5,0.40,6,
45280,22453,1,20.99,41,10.49,8,
45281,22453,7,0.88,5,0.34,6,
45282,22454,1,20.99,41,10.49,8,
45283,22454,7,0.88,5,0.34,6,
45284,22455,1,16.16,41,8.08,8,"Decay reduction factor applied (0.8)."
45285,22455,7,0.85,5,0.33,6,
45286,22456,1,20.20,41,10.10,8,
45287,22456,7,0.85,5,0.33,6,
45288,22457,1,20.20,41,10.10,8,
45289,22457,7,0.85,5,0.33,6,
45290,22458,1,27.91,41,13.95,8,
45291,22458,7,1.20,5,0.47,6,
45292,22459,1,13.29,41,6.65,8,
45293,22459,7,0.54,5,0.21,6,
45294,22460,1,12.11,41,6.05,8,
45295,22460,7,0.49,5,0.19,6,
45296,22461,3,6.60,11,3.30,8,
45297,22461,7,1.86,5,0.72,6,
45298,22462,1,25.18,41,12.59,8,
45299,22462,7,1.08,5,0.42,6,
45300,22463,1,17.95,41,8.97,8,
45301,22463,7,0.75,5,0.29,6,
45302,22464,1,13.29,41,6.65,8,
45303,22464,7,0.54,5,0.21,6,
45304,22465,1,12.11,41,6.05,8,
45305,22465,7,0.49,5,0.19,6,
45306,22466,1,13.91,41,6.95,8,
45307,22466,7,0.56,5,0.22,6,
45308,22467,1,14.54,41,7.27,8,
45309,22467,7,0.59,5,0.23,6,
45310,22468,1,15.85,41,7.93,8,
45311,22468,7,0.65,5,0.25,6,
45312,22469,1,49.19,41,24.59,8,
45313,22469,7,2.22,5,0.86,6,
45314,22470,1,17.24,41,8.62,8,
45315,22470,7,0.71,5,0.28,6,
45316,22471,1,83.08,41,41.54,8,
45317,22471,7,3.91,5,1.52,6,
45318,22472,1,13.79,41,6.89,8,"Decay reduction factor applied (0.8)."
45319,22472,7,0.71,5,0.28,6,
45320,22473,1,12.70,41,6.35,8,
45321,22473,7,0.51,5,0.20,6,
45322,22474,1,18.68,41,9.34,8,
45323,22474,7,0.78,5,0.30,6,
45324,22475,1,11.55,41,5.77,8,
45325,22475,7,0.46,5,0.18,6,
45326,22476,1,13.91,41,6.95,8,
45327,22476,7,0.56,5,0.22,6,
45328,22477,1,11.55,41,5.77,8,
45329,22477,7,0.46,5,0.18,6,
45330,22478,1,12.11,41,6.05,8,
45331,22478,7,0.49,5,0.19,6,
45332,22479,1,13.29,41,6.65,8,
45333,22479,7,0.54,5,0.21,6,
45334,22480,1,13.91,41,6.95,8,
45335,22480,7,0.56,5,0.22,6,
45336,22481,1,15.19,41,7.59,8,
45337,22481,7,0.62,5,0.24,6,
45338,22482,1,20.99,41,10.49,8,
45339,22482,7,0.88,5,0.34,6,
45340,22483,1,20.99,41,10.49,8,
45341,22483,7,0.88,5,0.34,6,
