Site,Status,ID,Date,Lat,Lon,Depth,Elevation,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e,wtC,wtN,13C,15N,Age,Age_e,VAR,MAR,CAR,Year
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,4.5,55.9,0.4075,10.0504,0.2161,1.4488,0.0558,8.6016,0.2232,2.2783,0.0538,0,0,   ,   ,   ,   ,18.8,1.1,3.1,1261,,1999.1
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,5.5,54.9,0.4251,15.034,0.2481,1.2495,0.0557,13.7845,0.2542,6.1129,0.0813,0,0,   ,   ,   ,   ,25.1,1.4,1.6,679,,1992.8
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,6.5,53.9,0.5258,7.5014,0.1628,1.5956,0.0487,5.9057,0.1699,5.1527,0.0665,0,0,9.25,0.7,-21.56,6.76,29,1.5,2.6,1353,125,1988.9
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,7.5,52.9,0.6323,3.6556,0.1433,1.6108,0.0451,2.0448,0.1502,2.4757,0.0421,0,0,   ,   ,   ,   ,30.7,1.6,5.7,3576,,1987.2
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,8.5,51.9,0.6719,1.7492,0.1186,1.515,0.048,0.2342,0.128,1.1429,0.0349,0,0,   ,   ,   ,   ,31,1.6,45.1,30266,,1986.9
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,9.5,50.9,0.819,1.9925,0.1082,1.5126,0.0422,0.48,0.1161,0.823,0.0268,0,0,5.64,0.49,-17.18,6.74,31.5,1.6,17.8,14591,824,1986.4
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,10.5,49.9,0.7228,2.12,0.1266,1.4578,0.0429,0.6621,0.1336,0.491,0.1375,0,0,   ,   ,   ,   ,32.2,1.7,14.4,10372,,1985.7
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,11.5,48.9,0.8015,2.1524,0.0981,1.5789,0.0392,0.5735,0.1057,0.2116,0.0196,0,0,   ,   ,   ,   ,32.9,1.7,14.6,11719,,1985
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,12.5,47.9,0.6644,2.5083,0.1322,1.4829,0.0434,1.0255,0.1391,0.3014,0.0203,0,0,5.94,0.51,-17.83,6.89,33.9,1.8,9.6,6381,379,1984
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,13.5,46.9,0.7589,2.3239,0.1227,1.5001,0.0491,0.8238,0.1321,0.2884,0.0259,0,0,   ,   ,   ,   ,34.9,1.8,10.2,7696,,1983
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,14.5,45.9,0.5519,2.2232,0.1634,1.5252,0.0511,0.698,0.1712,0.2729,0.0245,0,0,   ,   ,   ,   ,35.5,1.8,16.1,8858,,1982.4
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,15.5,44.9,0.6764,2.4305,0.1684,1.5653,0.054,0.8651,0.1769,0.2643,0.0252,0,0,5.32,0.46,-17.86,7.09,36.5,1.9,10.3,6972,371,1981.4
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,16.5,43.9,0.7235,2.8796,0.1316,1.5149,0.0511,1.3648,0.1412,0.2093,0.026,0,0,   ,   ,   ,   ,38.2,2,5.9,4239,,1979.7
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,17.5,42.9,0.7524,2.9514,0.1709,1.6678,0.052,1.2836,0.1786,0.2641,0.0242,0,0,   ,   ,   ,   ,40,2.1,5.7,4270,,1977.9
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,18.5,41.9,0.6895,3.2173,0.1766,1.6125,0.0601,1.6048,0.1866,0.2625,0.0303,0,0,6.02,0.52,-18.02,6.93,42.1,2.2,4.7,3214,193,1975.8
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,19.5,40.9,0.5153,3.4241,0.1791,1.7039,0.068,1.7202,0.1916,0.2768,0.0298,0,0,   ,   ,   ,   ,43.9,2.4,5.5,2819,,1974
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,20.5,39.9,0.6581,2.9056,0.1061,1.6172,0.0375,1.2884,0.1125,0.2643,0.0193,0,0,   ,   ,   ,   ,45.8,2.5,5.4,3554,,1972.1
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,21.5,38.9,0.5586,3.2938,0.111,1.6952,0.0368,1.5985,0.1169,0.15,0.0169,0,0,5.53,0.49,-17.83,6.84,47.9,2.7,4.8,2695,149,1970
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,22.5,37.9,0.7145,3.162,0.1015,1.6788,0.0334,1.4832,0.1069,0.1706,0.0176,0,0,   ,   ,   ,   ,50.5,2.9,3.8,2699,,1967.4
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,23.5,36.9,0.6777,3.2106,0.1024,1.6472,0.0394,1.5634,0.1097,0.1947,0.0183,0,0,   ,   ,   ,   ,53.4,3.2,3.5,2349,,1964.5
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,24.5,35.9,0.6639,3.1403,0.1143,1.7035,0.0363,1.4368,0.1199,0.2165,0.0165,0,0,5.39,0.46,-17.88,6.59,56.2,3.4,3.5,2338,126,1961.7
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,25.5,34.9,0.4832,3.3401,0.1844,1.6834,0.0667,1.6567,0.1961,0.2078,0.0308,0,0,   ,   ,   ,   ,58.8,3.7,3.9,1863,,1959.1
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,26.5,33.9,0.6581,2.9394,0.1323,1.4568,0.0508,1.4826,0.1417,0.1464,0.0212,0,0,   ,   ,   ,   ,62.3,4.1,2.9,1895,,1955.6
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,27.5,32.9,0.5839,2.6862,0.1614,1.6745,0.0563,1.0117,0.171,0.1339,0.0272,0,0,5.3,0.47,-17.65,6.4,64.6,4.5,4.4,2537,135,1953.4
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,28.5,31.9,0.706,2.7714,0.1643,1.5592,0.0569,1.2122,0.1739,0.2,0.0272,0,0,   ,   ,   ,   ,68.2,5,2.7,1931,,1949.7
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,29.5,30.9,0.5717,2.7694,0.177,1.632,0.0612,1.1374,0.1872,0.1881,0.027,0,0,   ,   ,   ,   ,71.3,5.5,3.3,1852,,1946.6
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,30.5,29.9,0.5138,3.0087,0.1886,1.7223,0.0637,1.2864,0.1991,0.1138,0.0225,0,0,5.15,0.44,-17.74,6.04,74.7,6.1,2.9,1479,76,1943.2
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,31.5,28.9,0.4048,2.6717,0.1619,1.6657,0.0671,1.006,0.1753,0,0,0,0,   ,   ,   ,   ,77.1,6.6,4.3,1727,,1940.9
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,32.5,27.9,0.3912,2.5493,0.1904,1.5853,0.069,0.9641,0.2025,0,0,0,0,   ,   ,   ,   ,79.4,7.1,4.3,1675,,1938.5
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,33.5,26.9,0.5687,2.297,0.1585,1.2841,0.0602,1.0129,0.1695,0,0,0,0,6.02,0.48,-17.72,5.33,83.3,8,2.6,1447,87,1934.6
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,34.5,25.9,0.5772,2.6356,0.1568,1.4078,0.0574,1.2278,0.167,0,0,0,0,   ,   ,   ,   ,88.9,9.6,1.8,1029,,1929.1
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,35.5,24.9,0.6243,2.3571,0.1596,1.4772,0.0579,0.8799,0.1698,0,0,0,0,   ,   ,   ,   ,93.9,11.2,2,1215,,1924
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,36.5,23.9,0.421,2.8887,0.1996,2.1135,0.0761,0.7752,0.2136,0,0,0,0,6.51,0.52,-17.12,5.08,97.4,12.5,2.9,1205,78,1920.5
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,37.5,22.9,0.4549,2.1179,0.1978,1.989,0.0742,0.1289,0.2113,0,0,0,0,   ,   ,   ,   ,98.1,12.8,15.1,6789,,1919.8
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,38.5,21.9,0.5719,2.672,0.1916,1.7813,0.07,0.8906,0.204,0,0,0,0,   ,   ,   ,   ,104.5,15.6,1.6,880,,1913.4
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,39.5,20.9,0.5662,2.0669,0.1745,1.5619,0.064,0.5051,0.1858,0,0,0,0,5.81,0.47,-16.8,4.77,108.8,17.9,2.3,1310,76,1909.2
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,40.5,19.9,0.4586,1.8556,0.1492,1.6539,0.0536,0.2016,0.1585,0,0,0,0,   ,   ,   ,   ,110.3,18.8,6.6,2994,,1907.6
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,41.5,18.9,0.6165,1.9886,0.0992,1.5025,0.0398,0.4861,0.1069,0,0,0,0,   ,   ,   ,   ,115.7,22.3,1.8,1114,,1902.2
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,42.5,17.9,0.4834,1.7995,0.1314,1.7469,0.0463,0.0526,0.1393,0,0,0,0,5.63,0.43,-16.41,4.67,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,43.5,16.9,0.6451,2.0516,0.1171,1.7698,0.0474,0.2818,0.1264,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,44.5,15.9,0.4762,2.263,0.1358,1.7189,0.05,0.5441,0.1447,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,45.5,14.9,0.4807,2.1025,0.1737,1.7154,0.0654,0.3871,0.1856,0,0,0,0,7.29,0.52,-16.48,5.33,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,46.5,13.9,0.5411,1.9672,0.144,1.5569,0.0589,0.4104,0.1556,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,47.5,12.9,0.614,2.2044,0.1484,1.8226,0.0592,0.3818,0.1597,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,48.5,11.9,0.5722,1.9276,0.1704,1.676,0.0714,0.2516,0.1848,0,0,0,0,7.25,0.54,-15.76,5.34,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,49.5,10.9,0.4431,2.484,0.2144,1.8607,0.0735,0.6233,0.2266,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,50.5,9.9,0.4276,1.9968,0.2035,1.7777,0.0748,0.2191,0.2168,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,51.5,8.9,0.3311,1.8636,0.1666,2.0152,0.0806,-0.1516,0.1851,0,0,0,0,8.05,0.55,-15.79,4.75,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,52.5,7.9,0.3536,1.9394,0.1963,1.7427,0.0774,0.1967,0.211,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,53.5,6.9,0.2401,1.2423,0.2504,1.6074,0.1083,-0.3651,0.2729,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Wet Shrub,HRHKB,10/27/2017,41.94313,-70.05098,54.5,5.9,0.4271,1.6593,0.1868,1.5683,0.0764,0.091,0.2018,0,0,0,0,8.98,0.54,-16.27,4.37,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,0,83.3,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,2015.5
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,0.5,82.8,0.2604,17.5597,0.5268,0.9999,0.1134,16.5598,0.5389,1.2655,0.0895,0,0,21.89,1.69,-28.16,5.74,6,1.5,1.7,432,95,2009.5
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,1.5,81.8,0.2248,16.1706,0.6112,0.7506,0.1351,15.42,0.626,0.6817,0.1083,0,0,   ,   ,   ,   ,11.8,1.7,1.7,386,,2003.7
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,2.5,80.8,0.5609,13.5064,0.3458,1.016,0.0755,12.4904,0.3539,1.3633,0.0673,0,0,17.82,1.42,-27.42,6,28.3,2.8,0.6,340,,1987.2
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,3.5,79.8,0.421,8.9644,0.2949,1.2228,0.0832,7.7415,0.3064,1.5846,0.0813,0,0,   ,   ,   ,   ,40.3,4,0.8,351,,1975.2
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,4.5,78.8,0.6165,6.025,0.2458,1.218,0.0703,4.807,0.2557,1.4059,0.0596,0,0,14.18,1.12,-25.55,6.51,57.4,6.8,0.6,362,51,1958.2
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,5.5,77.8,0.5877,3.2871,0.1598,1.3836,0.0607,1.9034,0.1709,0.8822,0.0403,0,0,   ,   ,   ,   ,67.2,9.3,1,597,,1948.3
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,6.5,76.8,0.6704,2.6191,0.1522,1.4918,0.0543,1.1272,0.1616,0.6011,0.031,0,0,7.23,0.64,-21.14,5.16,76.1,12.2,1.1,752,54,1939.4
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,7.5,75.8,0.6413,2.2955,0.1194,1.4911,0.0523,0.8044,0.1303,0.3439,0.0266,0,0,   ,   ,   ,   ,84,15.7,1.3,811,,1931.5
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,8.5,74.8,0.6113,1.7141,0.0535,1.5748,0.0491,0.1393,0.0726,0.2217,0.0224,0,0,3.55,0.34,-18.91,5.19,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,9.5,73.8,0.8042,1.9124,0.1107,1.5236,0.0404,0.3888,0.1179,0.1675,0.0164,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,10.5,72.8,0.7306,1.4884,0.1758,1.4695,0.0686,0.019,0.1887,0.1537,0.0324,0,0,4.62,0.46,-17.75,5.06,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,11.5,71.8,0.6942,1.8027,0.1617,1.6083,0.0751,0.1945,0.1783,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,12.5,70.8,0.6631,1.9181,0.1709,1.6719,0.0757,0.2462,0.1869,0,0,0,0,4.86,0.47,-17.44,5.14,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,13.5,69.8,0.9496,2.167,0.1677,1.474,0.0659,0.693,0.1802,0,0,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,14.5,68.8,1.1732,1.7619,0.1563,1.4235,0.0514,0.3385,0.1645,0.0509,0.0157,0,0,3.43,0.33,-17.84,5.62,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,15.5,67.8,0.9559,1.518,0.133,1.4289,0.0457,0.089,0.1406,0.0553,0.0128,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,16.5,66.8,0.7724,1.2752,0.1538,1.4001,0.063,-0.1248,0.1662,0,0,0,0,3.79,0.37,-17.08,5.88,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,17.5,65.8,0.3263,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,18.5,64.8,0.6256,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,3.88,0.38,-16.93,5.84,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,19.5,63.8,1.0879,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,20.5,62.8,0.6641,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.43,0.43,-16.68,5.88,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,21.5,61.8,0.8576,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,22.5,60.8,0.6689,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.92,0.44,-16.68,5.92,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,23.5,59.8,0.7902,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,24.5,58.8,0.6657,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.42,0.44,-17.01,6.03,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,25.5,57.8,0.7621,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,26.5,56.8,0.5772,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.82,0.48,-17.23,6.23,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,27.5,55.8,0.8248,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,28.5,54.8,0.5022,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.46,0.45,-17.16,6.02,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,29.5,53.8,0.7631,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,31,52.3,0.6428,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,3.93,0.42,-17.13,6.12,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,33,50.3,0.6579,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,35,48.3,0.6071,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,37,46.3,0.7827,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.16,0.45,-17.19,5.99,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,39,44.3,0.6035,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,41,42.3,0.7365,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,43,40.3,0.7999,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.23,0.45,-17.66,6.03,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,45,38.3,0.6928,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,47,36.3,0.6207,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,49,34.3,0.8159,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,3.74,0.4,-17.02,5.86,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,51,32.3,0.5931,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,53,30.3,0.6704,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,55,28.3,0.7371,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.13,0.44,-17.19,6.09,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,57,26.3,0.7015,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,59,24.3,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,61,22.3,0.6179,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,3.81,0.41,-17.07,6.09,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,63,20.3,0.6705,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,65,18.3,0.5713,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,67,16.3,0.6485,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.19,0.44,-17.46,5.97,   ,   ,  ,,,   
Herring River,Forest,HRHTA,6/18/2015,41.9434,-70.05682,69.5,13.8,0.8452,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4.2,0.45,-17.12,5.89,   ,   ,  ,,,   
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,0,83.3,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,2015.5
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,0.5,82.8,0.1917,24.7989,0.7712,0.5714,0.1215,24.2275,0.7808,0.5357,0.082,0,0,33.34,1.84,-29.19,4.09,4.2,1,2.4,453,151,2011.3
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,1.5,81.8,0.188,24.4286,0.5936,0.6127,0.0994,23.8159,0.6019,0.4586,0.0662,0,0,   ,   ,   ,   ,8.9,1.2,2.1,402,,2006.6
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,2.5,80.8,0.2053,23.4117,0.6977,0.81,0.1273,22.6017,0.7092,0.6851,0.0889,0,0,27.05,1.67,-29.15,4.51,14.6,1.4,1.8,360,97,2000.9
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,3.5,79.8,0.3283,20.4778,0.4689,0.8316,0.0909,19.6462,0.4777,1.102,0.0789,0,0,   ,   ,   ,   ,24.7,1.8,1,325,,1990.8
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,4.5,78.8,0.404,13.4408,0.3521,0.9833,0.0773,12.4575,0.3605,2.122,0.0796,0,0,13.26,0.95,-28.08,5.05,35.6,2.6,0.9,370,49,1979.9
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,5.5,77.8,0.3173,11.2082,0.3037,1.0606,0.0758,10.1476,0.3131,2.0918,0.0738,0,0,   ,   ,   ,   ,45.2,3.4,1,330,,1970.3
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,6.5,76.8,0.5516,6.9029,0.1878,1.089,0.0507,5.8138,0.1945,1.7139,0.0511,0,0,9.58,0.75,-26.08,5.58,59,5.2,0.7,402,38,1956.6
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,7.5,75.8,0.6599,4.5779,0.1556,1.2763,0.0503,3.3016,0.1636,1.8866,0.0451,0,0,   ,   ,   ,   ,73.4,8.2,0.7,457,,1942.1
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,8.5,74.8,0.7306,3.2303,0.1499,1.2025,0.0503,2.0277,0.1581,1.564,0.046,0,0,5,0.41,-23.74,5.55,89.1,13.4,0.6,467,23,1926.5
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,9.5,73.8,0.8268,2.1797,0.1293,1.1593,0.0456,1.0204,0.1371,1.0309,0.0341,0,0,   ,   ,   ,   ,103.3,21,0.7,582,,1912.3
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,10.5,72.8,0.8516,1.6833,0.1069,1.1352,0.0426,0.548,0.1151,0.4997,0.0265,0,0,5.58,0.5,-20.67,5.63,115.1,30.3,0.8,721,40,1900.4
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,11.5,71.8,0.7644,1.6952,0.0612,1.2308,0.0444,0.4644,0.0756,0.3063,0.0251,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,12.5,70.8,0.6692,1.9699,0.1349,1.5506,0.0532,0.4194,0.145,0.2998,0.0244,0,0,5.42,0.49,-19.14,5.49,   ,   ,  ,,,   
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,13.5,69.8,0.6208,1.9315,0.159,1.5481,0.0602,0.3834,0.17,0.1744,0.029,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,14.5,68.8,0.6564,1.8187,0.1488,1.5489,0.0576,0.2698,0.1595,0.1876,0.023,0,0,5.4,0.5,-18.13,5.37,   ,   ,  ,,,   
Herring River,Forest,HRHTB,6/18/2015,41.94368,-70.05676,15.5,67.8,0.6012,1.641,0.1219,1.6878,0.0469,-0.0468,0.1306,0.1425,0.0251,0,0,   ,   ,   ,   ,   ,   ,  ,,,   
