Province,Wetland,Site,Soil depth,"TN 
(g kg-1)","LOC 
(g kg-1)","MBC 
(mg kg-1)","DOC
(mg kg-1)","TP
(g kg-1)",C:N ,pH,"EC
(μS cm-1)",Soil water content (%),"Bulk density
(g cm-3)","Clay 
(%)","Silt
(%)","Sand 
(%)","Λ8
(g kg-1 OC)",S/V,C/V,(Ad/Al)v,(Ad/Al)s,
Tianjin, Duliujian River ,9 ,40—60,0.55 ,nd,48.67 ,33.54 ,0.73 ,9.56 ,9.19 ,3164 ,27.18 ,1.63 ,9.69 ,53.56 ,36.76 ,4.82 ,1.14 ,0.50 ,0.47 ,0.24 ,
Tianjin, Duliujian River ,9 ,60—80,0.62 ,nd,48.12 ,44.95 ,0.70 ,8.45 ,9.24 ,3381 ,27.10 ,1.63 ,9.83 ,53.14 ,37.02 ,5.92 ,1.18 ,0.60 ,0.44 ,0.25 ,
Tianjin, Duliujian River ,9 ,80—100,0.50 ,nd,39.52 ,51.82 ,0.68 ,9.85 ,9.27 ,3466 ,26.69 ,1.65 ,10.84 ,51.83 ,37.31 ,6.31 ,1.18 ,0.53 ,0.40 ,0.21 ,
Tianjin, Duliujian River ,10 ,0—10,0.56 ,2.44 ,51.68 ,26.58 ,0.70 ,8.28 ,8.46 ,5725 ,27.67 ,1.48 ,7.77 ,54.46 ,37.77 ,2.56 ,1.25 ,0.41 ,0.52 ,0.26 ,
Tianjin, Duliujian River ,10 ,10—20,0.49 ,2.12 ,9.30 ,17.59 ,0.68 ,7.99 ,8.69 ,4370 ,18.63 ,1.78 ,9.77 ,61.32 ,28.89 ,2.71 ,1.23 ,0.45 ,0.45 ,0.19 ,
Tianjin, Duliujian River ,10 ,20—30,0.52 ,2.11 ,16.13 ,18.45 ,0.67 ,6.29 ,8.68 ,4317 ,21.72 ,1.65 ,10.63 ,55.18 ,34.19 ,4.13 ,1.05 ,0.34 ,0.53 ,0.23 ,
Tianjin, Duliujian River ,10 ,30—40,0.58 ,2.20 ,24.69 ,24.16 ,0.66 ,7.16 ,8.70 ,4334 ,22.19 ,1.61 ,10.98 ,56.01 ,33.00 ,5.00 ,1.18 ,0.50 ,0.63 ,0.33 ,
Tianjin, Duliujian River ,10 ,40—60,0.50 ,nd,30.30 ,27.79 ,0.70 ,8.89 ,9.16 ,4074 ,22.53 ,1.66 ,9.72 ,54.85 ,35.43 ,5.41 ,1.28 ,0.66 ,0.52 ,0.35 ,
Tianjin, Duliujian River ,10 ,60—80,0.45 ,nd,9.82 ,19.62 ,0.68 ,7.91 ,9.35 ,3108 ,23.53 ,1.70 ,9.62 ,50.92 ,39.49 ,4.35 ,1.27 ,0.55 ,0.50 ,0.29 ,
Tianjin, Duliujian River ,10 ,80—100,0.60 ,nd,24.87 ,54.10 ,0.66 ,7.04 ,9.39 ,2952 ,25.20 ,1.67 ,10.54 ,52.19 ,37.28 ,10.55 ,1.38 ,1.08 ,0.37 ,0.25 ,
Tianjin, Duliujian River ,11 ,0—10,0.48 ,2.39 ,11.75 ,23.10 ,0.66 ,8.86 ,8.83 ,3993 ,22.46 ,1.54 ,8.52 ,48.89 ,42.56 ,5.16 ,1.06 ,0.40 ,0.66 ,0.35 ,
Tianjin, Duliujian River ,11 ,10—20,0.40 ,2.12 ,14.62 ,22.31 ,0.69 ,10.07 ,8.68 ,4506 ,20.73 ,1.75 ,8.58 ,51.20 ,40.21 ,4.27 ,1.23 ,0.46 ,0.63 ,0.32 ,
Tianjin, Duliujian River ,11 ,20—30,0.45 ,1.76 ,22.67 ,19.05 ,0.65 ,8.36 ,8.50 ,5234 ,19.13 ,1.76 ,5.05 ,53.51 ,41.42 ,2.79 ,1.24 ,0.41 ,0.58 ,0.39 ,
Tianjin, Duliujian River ,11 ,30—40,0.53 ,2.20 ,18.19 ,22.74 ,0.70 ,7.14 ,8.78 ,4442 ,20.14 ,1.70 ,8.90 ,48.64 ,42.46 ,3.76 ,1.18 ,0.36 ,0.57 ,0.31 ,
Tianjin, Duliujian River ,11 ,40—60,0.49 ,2.40 ,42.91 ,42.38 ,0.66 ,10.27 ,9.27 ,4745 ,30.72 ,1.64 ,10.43 ,56.73 ,32.83 ,5.20 ,1.25 ,0.46 ,0.48 ,0.28 ,
Tianjin, Duliujian River ,11 ,60—80,0.54 ,2.12 ,41.96 ,43.71 ,0.66 ,9.28 ,9.27 ,4523 ,30.44 ,1.64 ,10.41 ,52.24 ,37.37 ,7.12 ,1.39 ,0.62 ,0.42 ,0.26 ,
Tianjin, Duliujian River ,11 ,80—100,0.52 ,2.47 ,39.94 ,51.98 ,0.69 ,9.39 ,9.34 ,4426 ,29.69 ,1.65 ,11.09 ,55.13 ,33.82 ,7.40 ,1.18 ,0.79 ,0.44 ,0.20 ,
Tianjin, Duliujian River ,12 ,0—10,0.18 ,2.56 ,15.22 ,8.45 ,0.57 ,8.79 ,8.92 ,5269 ,17.63 ,1.76 ,4.43 ,23.41 ,72.16 ,3.81 ,1.41 ,0.24 ,0.30 ,0.12 ,
Tianjin, Duliujian River ,12 ,10—20,0.27 ,2.39 ,10.93 ,8.40 ,0.56 ,7.03 ,8.70 ,5374 ,24.31 ,1.64 ,6.06 ,33.38 ,60.59 ,3.43 ,1.26 ,0.25 ,0.45 ,0.15 ,
Tianjin, Duliujian River ,12 ,20—30,0.60 ,2.20 ,19.58 ,17.88 ,0.63 ,9.57 ,8.57 ,6628 ,21.59 ,1.68 ,10.54 ,50.85 ,38.61 ,1.91 ,1.13 ,0.26 ,0.57 ,0.31 ,
Tianjin, Duliujian River ,12 ,30—40,0.74 ,4.71 ,32.28 ,23.67 ,0.69 ,8.69 ,8.52 ,8142 ,36.85 ,1.34 ,15.92 ,59.75 ,24.36 ,2.06 ,1.07 ,0.27 ,0.56 ,0.32 ,
Tianjin, Duliujian River ,12 ,40—60,0.67 ,nd,61.22 ,38.48 ,0.66 ,8.73 ,9.05 ,8059 ,40.21 ,1.61 ,16.63 ,62.81 ,20.53 ,2.07 ,1.12 ,0.28 ,0.43 ,0.25 ,
Tianjin, Duliujian River ,12 ,60—80,0.63 ,nd,43.99 ,39.12 ,0.70 ,8.12 ,9.08 ,7559 ,41.31 ,1.64 ,15.45 ,65.48 ,19.05 ,2.13 ,1.17 ,0.28 ,0.48 ,0.27 ,
Tianjin, Duliujian River ,12 ,80—100,0.60 ,nd,47.56 ,31.26 ,0.69 ,8.68 ,9.12 ,7890 ,40.75 ,1.63 ,15.00 ,60.57 ,24.47 ,1.90 ,1.14 ,0.26 ,0.55 ,0.25 ,
Hebei,Nandagang Wetland,1 ,0—10,1.35 ,3.90 ,118.95 ,74.42 ,0.63 ,8.17 ,8.31 ,261 ,27.46 ,1.32 ,9.24 ,54.08 ,36.69 ,7.79 ,1.11 ,0.43 ,0.15 ,0.13 ,
Hebei,Nandagang Wetland,1 ,10—20,1.68 ,6.99 ,408.99 ,102.60 ,0.68 ,9.04 ,8.65 ,236 ,30.34 ,1.23 ,9.70 ,56.30 ,33.97 ,10.05 ,1.13 ,0.42 ,0.18 ,0.16 ,
Hebei,Nandagang Wetland,1 ,20—30,2.13 ,9.37 ,184.37 ,158.49 ,0.67 ,8.04 ,8.44 ,301 ,49.22 ,1.20 ,14.03 ,50.02 ,35.92 ,4.63 ,1.02 ,0.35 ,0.20 ,0.14 ,
Hebei,Nandagang Wetland,1 ,30—40,1.51 ,6.56 ,167.51 ,232.82 ,0.59 ,9.06 ,8.55 ,307 ,47.21 ,1.26 ,12.15 ,54.23 ,33.63 ,3.36 ,1.54 ,0.60 ,0.26 ,0.12 ,
Hebei,Nandagang Wetland,1 ,40—60,1.28 ,5.12 ,nd,174.04 ,0.54 ,8.51 ,8.50 ,491 ,36.06 ,1.32 ,10.18 ,53.43 ,36.39 ,2.71 ,1.00 ,0.34 ,0.19 ,0.13 ,
Hebei,Nandagang Wetland,1 ,60—80,1.10 ,3.79 ,nd,134.70 ,0.53 ,7.74 ,8.52 ,405 ,33.26 ,1.38 ,8.27 ,53.64 ,38.07 ,2.65 ,1.04 ,0.38 ,0.16 ,0.10 ,
Hebei,Nandagang Wetland,1 ,80—100,0.94 ,3.37 ,nd,75.78 ,0.54 ,7.51 ,8.63 ,236 ,34.94 ,1.41 ,9.24 ,57.11 ,33.61 ,1.82 ,1.14 ,0.42 ,0.17 ,0.10 ,
Hebei,Nandagang Wetland,2 ,0—10,1.83 ,6.85 ,716.96 ,60.49 ,0.52 ,8.65 ,8.43 ,272 ,28.36 ,1.22 ,12.39 ,47.19 ,42.53 ,10.96 ,1.24 ,0.38 ,0.30 ,0.29 ,
Hebei,Nandagang Wetland,2 ,10—20,1.78 ,8.45 ,418.52 ,136.54 ,0.67 ,8.14 ,8.28 ,394 ,33.81 ,1.25 ,8.15 ,52.88 ,39.00 ,7.65 ,1.12 ,0.42 ,0.30 ,0.24 ,
Hebei,Nandagang Wetland,2 ,20—30,1.48 ,6.61 ,312.15 ,150.88 ,0.58 ,7.74 ,8.23 ,367 ,36.78 ,1.31 ,6.99 ,55.69 ,37.33 ,4.67 ,1.11 ,0.64 ,0.26 ,0.16 ,
Hebei,Nandagang Wetland,2 ,30—40,1.24 ,7.83 ,430.01 ,123.57 ,0.56 ,9.38 ,8.29 ,569 ,33.54 ,1.30 ,10.28 ,51.26 ,38.49 ,4.71 ,1.17 ,0.68 ,0.24 ,0.17 ,
Hebei,Nandagang Wetland,2 ,40—60,1.08 ,4.00 ,nd,109.85 ,0.53 ,7.85 ,8.83 ,207 ,29.33 ,1.38 ,6.75 ,54.78 ,38.45 ,2.77 ,1.09 ,0.48 ,0.24 ,0.18 ,
Hebei,Nandagang Wetland,2 ,60—80,1.08 ,4.06 ,nd,70.20 ,0.49 ,6.87 ,8.54 ,281 ,28.79 ,1.40 ,8.97 ,54.81 ,36.24 ,1.50 ,0.98 ,0.41 ,0.29 ,0.21 ,
Hebei,Nandagang Wetland,2 ,80—100,1.10 ,4.25 ,nd,72.09 ,0.61 ,6.98 ,8.59 ,347 ,28.09 ,1.39 ,7.24 ,60.63 ,32.11 ,1.72 ,1.10 ,0.39 ,0.27 ,0.17 ,
Hebei,Nandagang Wetland,3 ,0—10,1.64 ,8.42 ,417.15 ,77.36 ,0.80 ,9.46 ,8.27 ,1254 ,31.28 ,1.23 ,9.24 ,57.87 ,32.88 ,14.87 ,1.51 ,1.09 ,0.24 ,0.29 ,
Hebei,Nandagang Wetland,3 ,10—20,1.28 ,5.52 ,121.72 ,162.45 ,0.65 ,7.85 ,8.29 ,856 ,32.05 ,1.34 ,9.16 ,66.47 ,24.36 ,7.47 ,1.25 ,0.66 ,0.34 ,0.26 ,
Hebei,Nandagang Wetland,3 ,20—30,0.85 ,3.01 ,18.19 ,83.35 ,0.66 ,7.10 ,8.13 ,696 ,31.58 ,1.44 ,5.04 ,39.46 ,55.48 ,5.58 ,1.26 ,0.59 ,0.36 ,0.24 ,
Hebei,Nandagang Wetland,3 ,30—40,0.93 ,3.45 ,51.68 ,58.47 ,0.65 ,7.02 ,8.46 ,574 ,34.03 ,1.42 ,6.95 ,45.51 ,47.50 ,4.09 ,1.14 ,0.64 ,0.46 ,0.30 ,
Hebei,Nandagang Wetland,3 ,40—60,1.05 ,4.74 ,nd,65.61 ,0.71 ,7.77 ,8.31 ,646 ,35.40 ,1.38 ,6.73 ,57.10 ,36.16 ,5.01 ,1.16 ,0.70 ,0.36 ,0.26 ,
Hebei,Nandagang Wetland,3 ,60—80,1.14 ,4.63 ,nd,70.82 ,0.72 ,7.24 ,8.38 ,433 ,35.75 ,1.38 ,6.99 ,57.12 ,35.92 ,4.15 ,1.09 ,0.65 ,0.40 ,0.28 ,
Hebei,Nandagang Wetland,3 ,80—100,1.08 ,3.49 ,nd,81.88 ,0.66 ,6.52 ,8.57 ,370 ,33.02 ,1.41 ,5.60 ,46.96 ,47.46 ,4.49 ,1.07 ,0.61 ,0.36 ,0.25 ,
Shandong,Yellow River Estuary,1 ,0—10,0.37 ,2.20 ,24.69 ,8.40 ,0.67 ,7.56 ,8.93 ,6077 ,21.17 ,1.69 ,21.16 ,37.98 ,41.42 ,5.00 ,1.23 ,0.26 ,0.51 ,0.33 ,
Shandong,Yellow River Estuary,1 ,10—20,0.45 ,2.44 ,23.13 ,37.83 ,0.69 ,5.81 ,9.03 ,4823 ,22.39 ,1.64 ,10.90 ,57.87 ,30.60 ,8.45 ,1.35 ,0.41 ,0.66 ,0.33 ,
Shandong,Yellow River Estuary,1 ,20—30,0.56 ,2.39 ,19.58 ,60.52 ,0.58 ,5.10 ,8.91 ,5093 ,21.26 ,1.70 ,3.17 ,60.51 ,36.05 ,5.00 ,0.92 ,0.34 ,0.56 ,0.30 ,
Shandong,Yellow River Estuary,1 ,30—40,0.40 ,3.60 ,10.93 ,36.24 ,0.69 ,6.73 ,8.90 ,5032 ,25.75 ,1.57 ,18.02 ,71.32 ,10.84 ,9.17 ,1.13 ,0.55 ,0.66 ,0.37 ,
Shandong,Yellow River Estuary,1 ,40—60,nd,nd,nd,nd,nd,nd,nd,nd,18.90 ,1.64 ,nd,nd,nd,nd,nd,nd,nd,nd,
Shandong,Yellow River Estuary,1 ,60—80,nd,nd,nd,nd,nd,nd,nd,nd,18.75 ,1.64 ,nd,nd,nd,nd,nd,nd,nd,nd,
Shandong,Yellow River Estuary,1 ,80—100,nd,nd,nd,nd,nd,nd,nd,nd,18.52 ,1.65 ,nd,nd,nd,nd,nd,nd,nd,nd,
Shandong,Yellow River Estuary,2 ,0—10,0.62 ,3.60 ,123.74 ,66.40 ,0.66 ,11.91 ,9.04 ,521 ,25.26 ,1.52 ,6.52 ,37.98 ,55.54 ,9.07 ,1.36 ,0.88 ,0.36 ,0.35 ,
Shandong,Yellow River Estuary,2 ,10—20,0.60 ,1.80 ,23.13 ,56.79 ,0.61 ,5.94 ,8.87 ,905 ,24.37 ,1.64 ,6.34 ,39.31 ,54.34 ,13.81 ,1.23 ,0.62 ,0.40 ,0.38 ,
Shandong,Yellow River Estuary,2 ,20—30,0.49 ,2.21 ,137.39 ,43.01 ,0.64 ,9.04 ,8.84 ,907 ,25.50 ,1.54 ,4.23 ,47.02 ,48.77 ,15.39 ,1.14 ,0.64 ,0.35 ,0.38 ,
Shandong,Yellow River Estuary,2 ,30—40,0.37 ,1.16 ,44.65 ,46.37 ,0.56 ,6.62 ,8.89 ,650 ,21.13 ,1.61 ,3.92 ,25.98 ,70.09 ,9.32 ,0.92 ,0.49 ,0.52 ,0.41 ,
Shandong,Yellow River Estuary,2 ,40—60,0.49 ,1.56 ,nd,35.62 ,0.60 ,6.30 ,8.67 ,832 ,18.81 ,1.55 ,4.86 ,41.32 ,53.82 ,10.24 ,1.07 ,0.49 ,0.46 ,0.38 ,
Shandong,Yellow River Estuary,2 ,60—80,0.41 ,1.62 ,nd,28.54 ,0.57 ,5.83 ,8.51 ,1234 ,16.11 ,1.64 ,5.11 ,43.40 ,51.48 ,8.26 ,1.02 ,0.59 ,0.40 ,0.31 ,
Shandong,Yellow River Estuary,2 ,80—100,0.27 ,1.70 ,nd,29.51 ,0.59 ,5.98 ,8.53 ,1005 ,16.50 ,1.74 ,5.13 ,40.70 ,54.17 ,6.37 ,0.66 ,0.27 ,0.48 ,0.29 ,
Shandong,Yellow River Estuary,3 ,0—10,0.68 ,2.97 ,23.45 ,19.05 ,0.69 ,7.44 ,8.47 ,2664 ,22.03 ,1.60 ,15.08 ,50.20 ,35.40 ,8.69 ,1.36 ,0.93 ,0.58 ,0.30 ,
Shandong,Yellow River Estuary,3 ,10—20,0.51 ,1.66 ,23.13 ,24.16 ,0.64 ,5.43 ,8.62 ,1204 ,21.38 ,1.77 ,18.39 ,66.35 ,15.94 ,2.70 ,1.26 ,1.11 ,0.59 ,0.36 ,
Shandong,Yellow River Estuary,3 ,20—30,0.49 ,2.32 ,131.22 ,47.43 ,0.60 ,7.17 ,8.64 ,940 ,24.39 ,1.56 ,18.04 ,67.92 ,14.54 ,6.72 ,1.28 ,1.37 ,0.52 ,0.37 ,
Shandong,Yellow River Estuary,3 ,30—40,0.45 ,3.60 ,137.39 ,71.30 ,0.57 ,5.76 ,8.59 ,1146 ,25.73 ,1.58 ,16.09 ,56.30 ,27.57 ,6.27 ,1.25 ,0.64 ,0.35 ,0.28 ,
Shandong,Yellow River Estuary,3 ,40—60,nd,nd,nd,nd,nd,nd,nd,nd,18.07 ,1.69 ,nd,nd,nd,nd,nd,nd,nd,nd,
Shandong,Yellow River Estuary,3 ,60—80,nd,nd,nd,nd,nd,nd,nd,nd,18.43 ,1.65 ,nd,nd,nd,nd,nd,nd,nd,nd,
Shandong,Yellow River Estuary,3 ,80—100,nd,nd,nd,nd,nd,nd,nd,nd,16.96 ,1.67 ,nd,nd,nd,nd,nd,nd,nd,nd,
Shandong,Yellow River Estuary,4 ,0—10,1.38 ,5.15 ,118.95 ,17.57 ,0.83 ,6.38 ,8.64 ,1339 ,52.31 ,1.08 ,4.31 ,30.79 ,64.90 ,19.29 ,1.62 ,1.01 ,0.32 ,0.32 ,
Shandong,Yellow River Estuary,4 ,10—20,0.61 ,2.00 ,25.61 ,112.13 ,0.69 ,6.91 ,8.90 ,429 ,32.56 ,1.45 ,4.45 ,30.66 ,64.91 ,15.57 ,1.28 ,0.59 ,0.35 ,0.32 ,
Shandong,Yellow River Estuary,4 ,20—30,0.78 ,1.66 ,14.62 ,60.47 ,0.68 ,5.87 ,9.02 ,337 ,29.68 ,1.50 ,3.07 ,24.99 ,71.93 ,11.93 ,1.38 ,0.87 ,0.37 ,0.38 ,
Shandong,Yellow River Estuary,4 ,30—40,0.37 ,2.12 ,27.20 ,57.79 ,0.64 ,5.54 ,9.15 ,488 ,29.83 ,1.56 ,3.13 ,27.76 ,69.10 ,7.30 ,0.65 ,0.38 ,0.41 ,0.33 ,
Shandong,Yellow River Estuary,4 ,40—60,0.40 ,2.13 ,nd,41.94 ,0.67 ,6.39 ,8.78 ,883 ,24.10 ,1.62 ,4.77 ,58.13 ,37.14 ,4.66 ,0.78 ,0.31 ,0.53 ,0.34 ,
Shandong,Yellow River Estuary,4 ,60—80,0.41 ,2.00 ,nd,30.33 ,0.57 ,6.91 ,8.55 ,924 ,24.97 ,1.59 ,5.68 ,60.69 ,33.65 ,5.98 ,0.83 ,0.42 ,0.53 ,0.45 ,
Shandong,Yellow River Estuary,4 ,80—100,0.32 ,2.01 ,nd,27.50 ,0.70 ,5.96 ,8.96 ,608 ,25.92 ,1.70 ,3.83 ,45.42 ,50.72 ,5.11 ,0.62 ,0.28 ,0.52 ,0.31 ,
Shandong,Yellow River Estuary,5 ,0—10,1.05 ,5.30 ,14.62 ,21.34 ,0.70 ,8.28 ,8.78 ,3668 ,59.32 ,0.94 ,16.96 ,75.89 ,7.15 ,24.01 ,1.64 ,1.84 ,0.29 ,0.27 ,
Shandong,Yellow River Estuary,5 ,10—20,0.85 ,3.28 ,44.65 ,82.53 ,0.68 ,6.37 ,8.74 ,5319 ,49.95 ,1.14 ,15.57 ,62.04 ,22.37 ,13.67 ,1.41 ,2.02 ,0.35 ,0.36 ,
Shandong,Yellow River Estuary,5 ,20—30,0.64 ,3.20 ,51.68 ,45.15 ,0.65 ,7.61 ,8.79 ,4531 ,38.41 ,1.36 ,13.97 ,58.16 ,27.86 ,6.48 ,1.17 ,1.11 ,0.39 ,0.38 ,
Shandong,Yellow River Estuary,5 ,30—40,0.75 ,2.78 ,27.20 ,38.99 ,0.66 ,5.59 ,8.74 ,5777 ,38.84 ,1.27 ,16.53 ,59.64 ,23.81 ,10.29 ,1.33 ,1.01 ,0.45 ,0.31 ,
Shandong,Yellow River Estuary,5 ,40—60,0.53 ,2.58 ,nd,41.53 ,0.66 ,6.03 ,8.71 ,5029 ,32.43 ,1.54 ,9.86 ,54.07 ,36.05 ,6.07 ,0.97 ,0.78 ,0.47 ,0.27 ,
Shandong,Yellow River Estuary,5 ,60—80,0.34 ,1.36 ,nd,37.82 ,0.62 ,7.59 ,8.76 ,4500 ,26.12 ,1.62 ,5.06 ,37.71 ,57.23 ,4.99 ,0.80 ,0.51 ,0.45 ,0.21 ,
Shandong,Yellow River Estuary,5 ,80—100,0.32 ,1.36 ,nd,26.60 ,0.66 ,6.80 ,8.71 ,4287 ,29.37 ,1.67 ,6.41 ,49.93 ,43.67 ,3.90 ,0.69 ,0.30 ,0.47 ,0.16 ,
Shandong,Yellow River Estuary,6 ,0—10,0.49 ,2.32 ,14.62 ,41.73 ,0.65 ,6.15 ,8.80 ,4975 ,24.76 ,1.66 ,7.90 ,59.77 ,32.48 ,3.60 ,1.05 ,0.58 ,0.53 ,0.33 ,
Shandong,Yellow River Estuary,6 ,10—20,0.40 ,2.12 ,106.85 ,52.37 ,0.67 ,5.09 ,8.94 ,3302 ,25.98 ,1.65 ,18.04 ,42.55 ,40.11 ,3.64 ,1.07 ,0.40 ,0.56 ,0.31 ,
Shandong,Yellow River Estuary,6 ,20—30,0.73 ,2.12 ,9.30 ,60.47 ,0.68 ,2.54 ,8.77 ,3546 ,31.89 ,1.53 ,6.95 ,70.12 ,21.99 ,6.26 ,1.35 ,1.49 ,0.50 ,0.39 ,
Shandong,Yellow River Estuary,6 ,30—40,0.61 ,2.32 ,25.61 ,36.24 ,0.69 ,3.43 ,8.80 ,3227 ,28.93 ,1.55 ,9.03 ,74.29 ,16.24 ,6.79 ,1.30 ,1.49 ,0.64 ,0.33 ,
Shandong,Yellow River Estuary,6 ,40—60,nd,nd,nd,nd,nd,nd,nd,nd,20.68 ,1.68 ,nd,nd,nd,nd,nd,nd,nd,nd,
Shandong,Yellow River Estuary,6 ,60—80,nd,nd,nd,nd,nd,nd,nd,nd,18.35 ,1.78 ,nd,nd,nd,nd,nd,nd,nd,nd,
Shandong,Yellow River Estuary,6 ,80—100,nd,nd,nd,nd,nd,nd,nd,nd,16.89 ,1.87 ,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Linhong River Estuary,1 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Sheyang River Estuary,2 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Doulong Harbor,3 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Dafeng,4 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Qidong,5 ,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Wanggang Wetland,6 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Wanggang Wetland,7 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Wanggang Wetland,8 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Yancheng Wetland,9 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Yancheng Wetland,10 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Yancheng Wetland,11 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Yancheng Wetland,12 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Yancheng Wetland,13 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Yancheng Wetland,14 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Yancheng Wetland,15 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Yancheng Wetland,16 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Yancheng Wetland,17 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Yancheng Wetland,18 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Yancheng Wetland,19 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Yancheng Wetland,20 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Yancheng Wetland,21 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Jiangsu,Dafeng Wetland,22 ,0—100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,
Shanghai,Chongming Island,1 ,0—10,1.61 ,3.50 ,385.96 ,180.95 ,0.99 ,12.47 ,7.92 ,4200 ,51.31 ,0.68 ,19.68 ,73.05 ,7.27 ,nd,nd,nd,nd,nd,
Shanghai,Chongming Island,1 ,10—20,2.13 ,6.04 ,391.50 ,193.86 ,1.00 ,12.55 ,8.02 ,3860 ,45.05 ,0.81 ,18.71 ,72.15 ,9.15 ,nd,nd,nd,nd,nd,
Shanghai,Chongming Island,1 ,20—30,1.34 ,3.11 ,334.32 ,106.47 ,0.90 ,14.71 ,8.23 ,2930 ,46.15 ,0.82 ,18.23 ,69.03 ,12.74 ,nd,nd,nd,nd,nd,
Shanghai,Chongming Island,1 ,30—40,1.20 ,2.64 ,328.90 ,105.34 ,0.87 ,15.61 ,8.32 ,3180 ,41.27 ,0.95 ,16.94 ,66.08 ,16.99 ,nd,nd,nd,nd,nd,
Shanghai,Chongming Island,2 ,0—10,1.73 ,2.70 ,459.70 ,209.82 ,0.88 ,13.23 ,7.90 ,5700 ,58.38 ,0.55 ,16.81 ,74.64 ,8.55 ,nd,nd,nd,nd,nd,
Shanghai,Chongming Island,2 ,10—20,1.68 ,3.75 ,384.23 ,246.78 ,0.93 ,13.17 ,8.00 ,4620 ,48.44 ,0.72 ,16.95 ,67.13 ,15.92 ,nd,nd,nd,nd,nd,
Shanghai,Chongming Island,2 ,20—30,0.92 ,3.05 ,437.73 ,90.33 ,0.90 ,18.10 ,8.29 ,3050 ,38.40 ,1.08 ,12.21 ,63.57 ,24.22 ,nd,nd,nd,nd,nd,
Shanghai,Chongming Island,2 ,30—40,0.91 ,2.30 ,488.92 ,83.68 ,0.88 ,18.03 ,8.39 ,2990 ,36.70 ,1.02 ,12.16 ,56.56 ,31.28 ,nd,nd,nd,nd,nd,
Shanghai,Chongming Island,3 ,0—10,1.72 ,4.24 ,389.78 ,183.05 ,0.97 ,12.01 ,7.89 ,5550 ,51.55 ,0.63 ,13.22 ,78.21 ,8.58 ,27.67 ,1.74 ,1.24 ,0.23 ,0.26 ,
Shanghai,Chongming Island,3 ,10—20,2.23 ,7.17 ,332.92 ,180.99 ,1.00 ,12.39 ,7.92 ,4090 ,45.74 ,0.70 ,15.79 ,75.80 ,8.41 ,50.70 ,2.09 ,1.67 ,0.25 ,0.35 ,
