Province,Wetland,Site,Soil depth,"SOC content 
(g kg-1)",SOC density (Mg ha-1),Reference,,,,,,,,,,,,
Shanghai,Hengsha Island,3 ,40—60,nd,35.81 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,3 ,60—80,nd,35.29 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,3 ,80—100,nd,35.10 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,4 ,0—10,19.80 ,21.98 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,4 ,10—20,21.35 ,23.42 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,4 ,20—30,18.85 ,20.99 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,4 ,30—40,19.22 ,20.37 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,4 ,40—60,nd,34.08 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,4 ,60—80,nd,33.57 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,4 ,80—100,nd,33.31 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,5 ,0—10,19.62 ,20.53 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,5 ,10—20,15.34 ,14.47 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,5 ,20—30,19.59 ,20.30 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,5 ,30—40,19.20 ,22.02 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,5 ,40—60,nd,32.08 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,5 ,60—80,nd,31.58 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,5 ,80—100,nd,31.24 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,6 ,0—10,19.20 ,21.89 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,6 ,10—20,18.91 ,25.08 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,6 ,20—30,18.86 ,23.20 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,6 ,30—40,19.51 ,23.61 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,6 ,40—60,nd,36.57 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,6 ,60—80,nd,36.05 ,This study,,,,,,,,,,,,
Shanghai,Hengsha Island,6 ,80—100,nd,35.89 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,1 ,0—10,14.43 ,12.55 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,1 ,10—20,13.08 ,11.38 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,1 ,20—30,12.60 ,10.29 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,1 ,30—40,12.80 ,10.79 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,1 ,40—60,nd,19.30 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,1 ,60—80,nd,18.87 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,1 ,80—100,nd,18.00 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,2 ,0—10,12.41 ,7.49 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,2 ,10—20,10.96 ,6.76 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,2 ,20—30,11.17 ,6.22 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,2 ,30—40,11.24 ,7.04 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,2 ,40—60,nd,13.09 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,2 ,60—80,nd,12.70 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,2 ,80—100,nd,11.57 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,3 ,0—10,14.69 ,12.63 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,3 ,10—20,13.37 ,11.99 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,3 ,20—30,12.57 ,11.52 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,3 ,30—40,12.94 ,11.30 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,3 ,40—60,nd,20.15 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,3 ,60—80,nd,19.72 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,3 ,80—100,nd,18.89 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,4 ,0—10,12.86 ,8.53 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,4 ,10—20,11.52 ,6.57 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,4 ,20—30,11.10 ,8.11 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,4 ,30—40,11.16 ,9.41 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,4 ,40—60,nd,14.90 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,4 ,60—80,nd,14.50 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,4 ,80—100,nd,13.45 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,5 ,0—10,14.51 ,13.11 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,5 ,10—20,13.54 ,10.42 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,5 ,20—30,12.94 ,11.91 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,5 ,30—40,13.08 ,10.77 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,5 ,40—60,nd,19.72 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,5 ,60—80,nd,19.29 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,5 ,80—100,nd,18.43 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,6 ,0—10,12.09 ,6.89 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,6 ,10—20,11.22 ,7.96 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,6 ,20—30,11.09 ,8.39 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,6 ,30—40,11.08 ,8.90 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,6 ,40—60,nd,14.74 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,6 ,60—80,nd,14.34 ,This study,,,,,,,,,,,,
Zhejiang,Yueqing Bay,6 ,80—100,nd,13.28 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,1 ,0—10,25.12 ,16.84 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,1 ,10—20,20.32 ,10.01 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,1 ,20—30,18.65 ,13.66 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,1 ,30—40,20.51 ,13.22 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,1 ,40—60,nd,22.38 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,1 ,60—80,nd,21.94 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,1 ,80—100,nd,21.19 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,2 ,0—10,24.39 ,18.60 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,2 ,10—20,24.21 ,18.16 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,2 ,20—30,21.06 ,17.23 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,2 ,30—40,22.43 ,18.70 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,2 ,40—60,nd,29.09 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,2 ,60—80,nd,28.62 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,2 ,80—100,nd,28.15 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,3 ,0—10,30.57 ,20.54 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,3 ,10—20,21.84 ,14.84 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,3 ,20—30,24.92 ,18.95 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,3 ,30—40,23.06 ,18.96 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,3 ,40—60,nd,29.31 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,3 ,60—80,nd,28.83 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,3 ,80—100,nd,28.37 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,4 ,0—10,19.51 ,13.84 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,4 ,10—20,31.80 ,26.22 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,4 ,20—30,21.34 ,18.65 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,4 ,30—40,21.57 ,18.85 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,4 ,40—60,nd,30.83 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,4 ,60—80,nd,30.34 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,4 ,80—100,nd,29.94 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,5 ,0—10,30.89 ,20.73 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,5 ,10—20,18.04 ,11.25 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,5 ,20—30,18.65 ,12.60 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,5 ,30—40,20.87 ,14.11 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,5 ,40—60,nd,24.14 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,5 ,60—80,nd,23.68 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,5 ,80—100,nd,23.01 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,6 ,0—10,29.58 ,18.12 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,6 ,10—20,20.11 ,14.56 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,6 ,20—30,20.72 ,14.42 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,6 ,30—40,20.82 ,13.46 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,6 ,40—60,nd,24.80 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,6 ,60—80,nd,24.34 ,This study,,,,,,,,,,,,
Fujian,Minjiang River Estuary,6 ,80—100,nd,23.70 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,1 ,0—10,19.97 ,14.64 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,1 ,10—20,18.75 ,14.88 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,1 ,20—30,17.15 ,14.06 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,1 ,30—40,15.21 ,12.02 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,1 ,40—60,nd,23.04 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,1 ,60—80,nd,22.60 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,1 ,80—100,nd,21.88 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,2 ,0—10,13.60 ,9.93 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,2 ,10—20,14.95 ,12.61 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,2 ,20—30,14.92 ,10.64 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,2 ,30—40,16.72 ,10.09 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,2 ,40—60,nd,18.68 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,2 ,60—80,nd,18.25 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,2 ,80—100,nd,17.36 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,3 ,0—10,21.78 ,15.10 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,3 ,10—20,18.76 ,12.69 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,3 ,20—30,20.24 ,14.64 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,3 ,30—40,18.88 ,14.91 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,3 ,40—60,nd,23.66 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,3 ,60—80,nd,23.21 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,3 ,80—100,nd,22.52 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,4 ,0—10,14.79 ,8.43 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,4 ,10—20,14.11 ,10.02 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,4 ,20—30,14.76 ,10.33 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,4 ,30—40,15.40 ,9.29 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,4 ,40—60,nd,16.84 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,4 ,60—80,nd,16.43 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,4 ,80—100,nd,15.45 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,5 ,0—10,18.34 ,13.45 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,5 ,10—20,18.76 ,13.57 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,5 ,20—30,16.04 ,12.73 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,5 ,30—40,15.60 ,10.92 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,5 ,40—60,nd,21.30 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,5 ,60—80,nd,20.86 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,5 ,80—100,nd,20.07 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,6 ,0—10,13.36 ,10.11 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,6 ,10—20,13.78 ,11.07 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,6 ,20—30,16.34 ,11.44 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,6 ,30—40,18.25 ,11.25 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,6 ,40—60,nd,18.89 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,6 ,60—80,nd,18.47 ,This study,,,,,,,,,,,,
Fujian,Jiulong River Estuary,6 ,80—100,nd,17.58 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,1 ,0—10,23.32 ,16.56 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,1 ,10—20,23.29 ,16.38 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,1 ,20—30,22.69 ,14.90 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,1 ,30—40,18.19 ,13.46 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,1 ,40—60,nd,25.06 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,1 ,60—80,nd,24.61 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,1 ,80—100,nd,23.97 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,2 ,0—10,22.72 ,13.79 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,2 ,10—20,17.15 ,11.83 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,2 ,20—30,15.97 ,10.70 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,2 ,30—40,14.28 ,11.14 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,2 ,40—60,nd,20.16 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,2 ,60—80,nd,19.73 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,2 ,80—100,nd,18.89 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,3 ,0—10,23.88 ,17.27 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,3 ,10—20,21.33 ,15.72 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,3 ,20—30,18.05 ,13.66 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,3 ,30—40,17.39 ,14.61 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,3 ,40—60,nd,25.05 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,3 ,60—80,nd,24.59 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,3 ,80—100,nd,23.95 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,4 ,0—10,23.94 ,16.36 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,4 ,10—20,18.59 ,12.09 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,4 ,20—30,17.07 ,13.26 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,4 ,30—40,14.05 ,10.26 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,4 ,40—60,nd,21.75 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,4 ,60—80,nd,21.32 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,4 ,80—100,nd,20.54 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,5 ,0—10,25.26 ,18.95 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,5 ,10—20,21.04 ,15.43 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,5 ,20—30,18.12 ,14.56 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,5 ,30—40,17.32 ,12.76 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,5 ,40—60,nd,25.20 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,5 ,60—80,nd,24.75 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,5 ,80—100,nd,24.12 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,6 ,0—10,24.92 ,12.54 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,6 ,10—20,17.18 ,11.57 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,6 ,20—30,15.82 ,10.44 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,6 ,30—40,14.28 ,11.09 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,6 ,40—60,nd,19.52 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,6 ,60—80,nd,19.09 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,6 ,80—100,nd,18.23 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,7 ,0—10,19.12 ,16.96 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,7 ,10—20,19.18 ,15.92 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,7 ,20—30,21.05 ,15.58 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,7 ,30—40,18.03 ,15.80 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,7 ,40—60,nd,26.11 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,7 ,60—80,nd,25.65 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,7 ,80—100,nd,25.06 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,8 ,0—10,21.25 ,16.57 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,8 ,10—20,15.90 ,14.90 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,8 ,20—30,14.93 ,14.48 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,8 ,30—40,16.45 ,13.54 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,8 ,40—60,nd,24.42 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,8 ,60—80,nd,23.97 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,8 ,80—100,nd,23.31 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,9 ,0—10,19.47 ,16.03 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,9 ,10—20,19.31 ,15.71 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,9 ,20—30,19.19 ,15.35 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,9 ,30—40,18.91 ,14.44 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,9 ,40—60,nd,25.14 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,9 ,60—80,nd,24.68 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,9 ,80—100,nd,24.05 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,10 ,0—10,19.37 ,15.50 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,10 ,10—20,16.35 ,13.46 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,10 ,20—30,15.78 ,13.83 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,10 ,30—40,15.69 ,13.86 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,10 ,40—60,nd,23.41 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,10 ,60—80,nd,22.97 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,10 ,80—100,nd,22.26 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,11 ,0—10,20.31 ,19.70 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,11 ,10—20,19.01 ,14.26 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,11 ,20—30,19.18 ,16.37 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,11 ,30—40,20.31 ,12.80 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,11 ,40—60,nd,25.71 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,11 ,60—80,nd,25.25 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,11 ,80—100,nd,24.64 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,12 ,0—10,21.22 ,17.33 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,12 ,10—20,16.56 ,13.97 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,12 ,20—30,15.86 ,14.27 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,12 ,30—40,17.39 ,14.95 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,12 ,40—60,nd,24.79 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,12 ,60—80,nd,24.33 ,This study,,,,,,,,,,,,
Fujian,Zhangjiang River Estuary,12 ,80—100,nd,23.69 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,1 ,0—10,17.88 ,12.75 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,1 ,10—20,17.24 ,12.18 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,1 ,20—30,17.83 ,9.69 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,1 ,30—40,16.85 ,12.70 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,1 ,40—60,nd,20.11 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,1 ,60—80,nd,19.68 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,1 ,80—100,nd,18.84 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,2 ,0—10,17.41 ,10.27 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,2 ,10—20,18.61 ,11.04 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,2 ,20—30,14.43 ,8.56 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,2 ,30—40,12.86 ,9.56 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,2 ,40—60,nd,17.32 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,2 ,60—80,nd,16.91 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,2 ,80—100,nd,15.95 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,3 ,0—10,17.58 ,12.25 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,3 ,10—20,16.93 ,11.46 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,3 ,20—30,17.02 ,12.37 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,3 ,30—40,17.64 ,10.94 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,3 ,40—60,nd,20.00 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,3 ,60—80,nd,19.57 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,3 ,80—100,nd,18.73 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,4 ,0—10,16.85 ,8.99 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,4 ,10—20,15.98 ,8.95 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,4 ,20—30,16.20 ,9.40 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,4 ,30—40,16.75 ,10.10 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,4 ,40—60,nd,16.61 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,4 ,60—80,nd,16.20 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,4 ,80—100,nd,15.22 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,5 ,0—10,18.16 ,12.65 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,5 ,10—20,18.36 ,12.30 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,5 ,20—30,16.14 ,10.98 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,5 ,30—40,15.39 ,10.05 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,5 ,40—60,nd,19.64 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,5 ,60—80,nd,19.21 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,5 ,80—100,nd,18.35 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,6 ,0—10,16.82 ,9.81 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,6 ,10—20,16.60 ,9.46 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,6 ,20—30,17.01 ,10.55 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,6 ,30—40,16.56 ,10.65 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,6 ,40—60,nd,17.69 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,6 ,60—80,nd,17.27 ,This study,,,,,,,,,,,,
Guangdong,Zhanjiang,6 ,80—100,nd,16.33 ,This study,,,,,,,,,,,,
Guangxi,Beihai,1 ,0—10,10.61 ,13.05 ,This study,,,,,,,,,,,,
Guangxi,Beihai,1 ,10—20,10.65 ,12.28 ,This study,,,,,,,,,,,,
Guangxi,Beihai,1 ,20—30,7.41 ,11.46 ,This study,,,,,,,,,,,,
Guangxi,Beihai,1 ,30—40,2.43 ,3.72 ,This study,,,,,,,,,,,,
